,title,addr1,mapx,mapy,firstimage,overview,addr2
0,강릉 3.1운동 기념공원,강원특별자치도 강릉시 저동,128.9002178,37.79729959,http://tong.visitkorea.or.kr/cms/resource/65/2900665_image2_1.JPG,"경포대 아래 가시연 습지로 가는 길목에 강릉 지역의 독립 만세운동을 기념하는 공원이 조성되어 있다. 경포호 전경을 가장 잘 볼 수 있는 곳에 있는 이 공원은 100년  전 독립만세운동의 함성이 전해지는 곳이다. 강릉의 3.1 만세운동은 신교육을 받은 청년들과 감리교인 들을 중심으로 전개되었고, 1919년 서울에서 만세운동이 시작된 지 한 달 후인 4월 2일을 시작으로 다섯 차례에 걸쳐 6회 이상 일어났다. 공원에는 1999년 만들어진 강릉3.1독립만세운동기념탑이 우뚝 솟아있고 그 뒤로 강릉의 독립투사 십여 명의 얼굴 동상이 진열되어 있다. 또한 일본군 위안부 피해자를 기리기 위하여 건립된 평화비도 조성되어 있다.",강릉시
1,강릉 경포대,강원특별자치도 강릉시 경포로 365,128.8965126,37.79556916,http://tong.visitkorea.or.kr/cms/resource/86/2596286_image2_1.jpg,"경포대는 관동팔경의 하나로 경포호수 북쪽 언덕에 있는 누각이다. 고려 충숙왕 13년(1326)에 강원도의 한 관리였던 박숙정이 당시 방해정 뒷산 인월사 옛터에 세웠던 것을 조선 중종 3년(1508)에 강릉부사 한급이 지금의 자리에 옮겼고, 여러 차례의 중수 끝에 현재의 모습을 갖추었다. 앞면 5칸·옆면 5칸 규모로 지붕은 옆면이 여덟 팔(八)자 모양인 팔작지붕이다. 모두 48개의 기둥으로 이루어졌으며 마루의 높이를 달리하는 입체적 평면을 하고 있다. 이름인 ‘경포대’ 전자체 현판은 유한지의 글씨이고, 해서체 현판은 이익회의 글씨이다.경포대 내부에는 숙종의 직접 지은 ''어제시''와 율곡 이이가 10세에 지었다는 ''경포대부''를 비롯해, 조하망의 상량문 등 수많은 명사와 시인묵객의 글이 게시돼 있다. 누각 주위에는 소나무와 상수리나무 들이 알맞게 우거져 운치있는 경관을 이루고 있다. 경포대와 주변호수는 1981년 강원 도립공원으로 지정됐고, 바닷가에는 유명한 경포해수욕장(길이 6km)이 있다.
 * 시대 - 조선 중종3년(1508)",강릉시
2,강릉 경포해수욕장,강원특별자치도 강릉시 창해로 514,128.9074446,37.80572931,http://tong.visitkorea.or.kr/cms/resource/22/2671422_image2_1.jpg,"동해안 최대 해변으로 유명하며 강문동, 안현동에 있고 시내에서 북으로 6km, 경포대에서 1km 되는 곳에 동해의 창파를 가득 담고 펼쳐진 명사오리(明沙五里)이다. 모두를 삼키기라도 하려는 듯 밀려오는 파도, 이를 쓸어 안은 길이 1.8km, 면적 1.44㎢의 하얀 모래밭과, 시끄러운 일상을 조용히 차단하는 울창한 송림병풍의 조화가 해변 특유의 아름다움을 자아낸다. 경포대 해변은 백사장이 1.8km에 평균 수심이 1~2m로 적당한 깊이와 완만한 경사 때문에 해마다 많은 인파가 찾아오는 곳이다. 해변 주변에는 소나무 숲이 우거져 해수욕과 산림욕을 동시에 즐길 수 있어 피서지로 안성맞춤이다. 매년 여름마다 경포 해변 상설무대에서 여름밤 예술제가 열려 문화적인 볼거리도 다양하다. 경포호 주변에서 자전거를 대여하여 즐기는 하이킹 또한 하나의 명물이다. 또한, 주변에 설악산, 오대산 국립공원이 있어 산, 바다, 계곡 등을 두루두루 돌아 볼 수 있다.",강릉시
3,강릉 굴산사지,강원특별자치도 강릉시 구정면 학산리,128.8918047,37.70726817,http://tong.visitkorea.or.kr/cms/resource/80/179780_image2_1.jpg,"굴산사는 강릉시내에서 남서쪽으로 6km 정도 떨어져 있다. 범일국사가 신라 문성왕 9년(847년) 창건한 사찰로 신라의 불교 종파인 5교 9산 중 9본산의 하나였다. 굴산사가 폐사된 연대는 확실치 않으나 고려 말이나 조선 초기 쯤으로 추정된다. 굴산사 일대는 현재 농경지로 변해 확실한 규모와 가람배치는 알 수 없으나 영동 지역 최대의 사찰로 전해지고 있다. 현재 이곳에는 굴산사지 당간지주(보물), 굴산사지 석불좌상(강원도 문화재자료)등이 남아 있다. 범일국사 탄생설화가 얽힌 학바위와 석천(石泉)이 있어 굴산사 당시의 규모를 짐작할 수 있다.현재 이 곳은 태풍 루사의 피해로 석천이 유실되었으며, 임시로 복구해놓은 상태이다.",강릉시
4,강릉 대기리마을,강원특별자치도 강릉시 왕산면 용수길 11,128.7785935,37.58786588,http://tong.visitkorea.or.kr/cms/resource/50/2050650_image2_1.jpg,"대기리는 옛날의 강릉군 주정면 지역으로 큰 터가 있어서 한때 한터, 큰터, 대기라 했다. 강원도 최고의 산간마을이자 고랭지 채소와 씨감자 재배마을로 유명한 곳으로 푸른 고원산촌 체험장이 마을의 핵심 역할을 맡고 있다. 대기리 중심의 벌망릉에는 대기초등학교가 있었으나 학생수 감소로 폐교가 되자, 마을주민들은 정성들여 정비를 하고 이 곳을 농업과 관광을 연계한 도. 시민의 체험장으로 휴양 시설로 탈바꿈시켰다.호랑이가 살았던 대화실산의 서쪽 자락에 들어선 마을답게 여름철에도 서늘한 기온을 유지,피서지로도 안성맞춤이다. 봄철 나무심기와 야생화탐사도 돋보이는 프로그램이다. 왕산면의 왕산저수지에서 오르건, 삽당령  남쪽의 고단리에서 오르건, 또는, 정선군 북면구절리에서 찾아가건 간에 채소밭과 백두대간 산자락이 주변 풍경으로 게속 전개되어 매우  이채롭다.",강릉시
5,강릉 대도호부 관아,강원특별자치도 강릉시 임영로131번길 6,128.8921226,37.75327674,http://tong.visitkorea.or.kr/cms/resource/69/2368669_image2_1.jpg,"강릉 대도호부 관아는 고려 시대부터 조선 시대에 걸쳐 중앙의 관리들이 강릉에 내려오면 머물던 건물터이다. 1994년 강릉 임영관지라는 이름으로 사적 지정되었다가, 2014년 11월 27일 강릉 대도호부 관아로 명칭이 변경되었다. 건물지 유구가 양호한 상태로 다양하게 나오고 있어 고려 시대 이후 관아 연구에 귀중한 자료를 제공해 준다. 강릉 대도호부 관아는 관아와 공해, 객사 등을 합해 모두 313칸 규모에 달하는 강릉 도심의 행정 중심공간이었으나 일제강점기에 객사문인 임영관 삼문(국보)과 칠사당(강원도 유형문화재)을 제외하고 대부분 훼손되었다. 강릉 임영관 객사문은 현존하는 가장 오래된 객사문으로 그 가치가 매우 높다. 현재 문화재청이 일제강점기에 의도적으로 훼손된 강릉 대도호부 관아를 2023년까지 복원에 나서기로 해 공사가 한창 진행 중이다.",강릉시
6,강릉 명주동 거리,강원특별자치도 강릉시 명주동,128.8927254,37.75113811,http://tong.visitkorea.or.kr/cms/resource/20/2688020_image2_1.jpg,"명주동은 고려 시대부터 행정과 문화의 중심지 였으며, 명주예술마당, 햇살박물관,작은공연장,강릉커피축제,명주프리마켓 등 각종 콘서트와 공연을 열어 많은 관광객들이 방문하고 있다. 명주동 여행은 골목길을 따라 걸으며 이색카페, 문화공간, 역사를 느낄 수 있는 핫 플레이스로 각광받고 있다.",강릉시
7,강릉 모래내 한과마을(갈골한과),강원특별자치도 강릉시 사천면 한과마을길 20,128.8328345,37.81382969,http://tong.visitkorea.or.kr/cms/resource/14/1584014_image2_1.jpg,"강릉시 사천면은 모래가 많은 냇물이 흐른다하여 모래내라고 불리는 시골마을이다. 지금은 모래내한과마을로 더 유명해진 이 곳은 30여년전만해도 가난한 마을이었다. 130년전부터 마을에서 이어져온 전통한과제조 기술의 명맥을 이어 마을 전체가 “1군 1명품” 사업에 참여해 전통방식 그대로의 한과를 생산하는 모래내한과마을로 탈바꿈해 호당 농가소득이 50백만원에 이르는 부채없는 고소득의 마을로 탈바꿈 했다.* 갈골한과점차 서구화되는 우리의 음식문화속에서 100여년을 한결같이 변함없는 전통의 맛을 잇고 있는 갈골한과는 명인의 손맛을 4대째 이어오고 있는 명인의 집이다. 강릉한과체험전시관은 강릉과줄마을에서 전래되어온 명인의 제조기술을 보존, 계승하기 위한 정책적 지원의 일환으로 중앙정부와 강원도, 강릉시의 재정적 협조를 받아 영구적으로 우리 고유의 전통먹거리를 계승하고 널리 홍보할 수 있는 계기를 마련하고자 설립되었다.",강릉시
8,강릉 복사꽃마을,강원특별자치도 강릉시 신리천로 527-3 복사꽃정보마을센타,128.7773763,37.88013482,http://tong.visitkorea.or.kr/cms/resource/46/2480146_image2_1.jpg,"복사꽃마을이 있는 장덕리에는 마을을 가로질러 흐르는 커다란 하천, 신리천이 있다. 이 하천을 건너려면 마을 어른들이 놓은 옛날 나무다리를 이용해야 한다. 나무를 엮어 만든 다리라서 비가 많이 오는 여름날엔 가끔씩 끊어지기도 하고 장마 후에는 다시 마을을 이어주는 소중한 다리이다. 천변에 만들어 놓은 파이프 악기를 두드리며 신나게 춤을 춰보기도 하고, 신리천에 풍덩 들어가 물고기 잡기도 하며 더위를 잊을 수 있다. 마을 위쪽에 자리한 소푸개울은 마을 농기구전시장이 있어 우리마을 어른들이 어떻게 농사를 지었는지 알 수 있는 것은 물론, 오가는 길에 더위에 지친 몸을 쉬어갈 수 있는 약수터도 만날 수 있다.과일수확이 이루어지는 동안 마을을 찾는다면 직접 과일을 따 먹을 수 있는 수확체험을 할 수 있다. 이밖에도 허수아비 만들기, 바람개비 만들기 등의 놀이체험과 녹차로 퇴비 만들기, 과일나무에 우유 뿌리기 등 다른 곳에서 경험하기 힘든 친환경 농사체험도 할 수 있다. 여름 논에 찾아오는 불청객들을 쫓아줄 허수아비를 만들어 세우는 것도 재미있다.매년 4월 중순경에 열리는 복사꽃 축제는 장덕리로 들어서 마을회관으로 가기 전 왼쪽으로 이어지는 솔숲 너머에서 열린다. 그 아래 너른 공터에 마련된 마을 축제 주차장에 차를 세우고 천천히 솔향을 음미하며 언덕을 걸어가면 고갯길을 넘자마자 도원경이 펼쳐진다. 가족체험객을 위한 아이들과 복사꽃구조 살펴보기, 바람개비 만들기 등등 다양한 체험행사도 있다.* 허수아비축제매년 8월 초에는 허수아비축제가 열린다. 봄 복숭아축제가 마을을 홍보하기 위한 것이라면 여름 허수아비축제는 과수를 판매하기 위한 축제이다. 허수아비 축제와 함께 허수아비인형 만들기, 신리천변 시원한 물놀이, 마을 전통농기구전시장 돌아보기 등 다양한 체험프로그램이 함께 진행된다.",강릉시
9,강릉 선교장,강원특별자치도 강릉시 운정길 63,128.8850778,37.78655887,http://tong.visitkorea.or.kr/cms/resource/93/2687993_image2_1.jpg,"선교장은 강원도 지역에서 가장 잘 남아 있는 품위 있는 사대부 가옥이다. 강릉시에 경포 쪽으로 4km쯤 떨어진 선교장은 조선시대 상류층의 가옥을 대표하는 곳으로, 국가 민속문화재로 지정되었다. 경포호가 지금보다 넓었을 때, “배 타고 건넌다""라고 하여 이 동네를 배다리 마을(船橋里)이라 불렀는데, 선교장이란 이름은 바로 여기서 유래한다. 선교장은 조선 영조 때(1703년) 효령대군의 후손인 이내 번이 족제비 떼를 쫓다가 우연히 발견한 명당자리에 집을 지은 후, 그 후손이 지금도 살고 있다. 총 건평 1,051.24m²(318평)으로, 긴 행랑에 둘러싸인 안채, 사랑채, 동별당, 가묘 등이 정연하게 남아있고, 문밖에는 수백 평의 연못 위에 세워진 활래정이라는 정자가 있어, 정원까지 갖춘 완벽한 구조를 보여 준다. 선교장은 건물뿐 아니라 조선 후기의 주거생활과 생활용구를 연구하는데 귀중한 자료가 되고 있으며, 주변 경관과 어우러진 풍치가 아름답다. 선교장의 사랑은 열화당이라 하며, 여기에는 용비어천가, 고려사 등 수천 권의 책, 글, 그림 등이 소장되어 있다.* 안채안채는 1700년 이전에 건립된 건물로 세종의 형인 효령 대군의 10대손인  이내번이 창건한 것으로 선교장 건물 중 가장 서민적인 성격을 띠고 있으며 안방과 건너방이 대청을 사이에 두고 있으며 부엌이 안방에 붙어 있다.* 열화당(悅話堂)열화당은 남주인 전용의 사랑채로서 내번의 손자 후가 순조15년(1815)에  건립하였으며 당호인 열화당은 도연명의 귀거래사 중 (悅親戚之情話)에서 따왔다고 한다. 열화당은 3단의 장대석 위에 세워진 누각형식의 건물로 아주 운치있는 모습을 하고 있다.* 동별당(東別堂)안채와 연결된 주인 전용의 별당건물로 이근우가 1920년에 지은 ㄱ자형 건물이다. 동쪽에 2개, 서쪽에 1 개의 온돌방을 만들고 앞면에는 넓은 툇마루를, 뒷면과 동쪽은 좁은 툇마루를 돌렸다.* 활래정(活來亭)활래정은 선교장 정원에 판 인공 연못 위에 세운 정자로  순조16년(1816) 열화당을 세운 다음해에 세웠다. 정자명은 주자의 시 (관서유감) 중  ""爲有頭源活水來"" 에서 땄다고 한다. 이 건물은 마루가 연못 안으로 들어가  돌기둥으로 받친  누각형식의 ㄱ자형 건물이다. 활래정은 벽면 전부가 분합문의 띠살문으로 되어 있으며 방과 마루를 연결하는 복도옆에 접객용 다실이 있다.* 기타안채와 열화당 사이에 서재겸 서고로 사용하던 서별당이 있는데 소실되었다가 1996년에 다시 복원하였으며, 건물의 전면에는 행랑채가 있다. 또한 건물의 측면에는 원래 창고였으나 개화기때 신학문을 가르치던 동진학교(東進學校)터가 있다.",강릉시
