,title,addr1,mapx,mapy,firstimage,overview,addr2
0,노봉해변,강원특별자치도 동해시 망상동,129.1002341,37.58635287,http://tong.visitkorea.or.kr/cms/resource/85/1813585_image2_1.jpg,"망상해변과 붙어있는 해변으로 길이 350m, 폭 50m의 백사장을 품은 아담한 해변이다.모래가 곱고 수온이 적당하며 수심이 얕아 가족 휴양지로 알맞다. 또한 망상해변 인근에 위치하여 편의시설 등이 매년 새롭게 확충되고 있어 피서객들이 즐겨찾고 있다.",동해시
1,대진마을,강원특별자치도 동해시 대진항길 46,129.1115971,37.58185917,http://tong.visitkorea.or.kr/cms/resource/46/2494346_image2_1.jpg,"대진항 남쪽 끝에 서울 경복궁 근정전의 정동방을 알리는 표지석이 있어, 관광객들이 즐겨찾는 대진마을. 동해시 회타운인 어달동과 망상해수욕장 사이의 이 마을은 해수욕장과  해양 레포츠과 가능한 다목적 복합 어항이 함께 어우러진 까막바위, 관광등대, 횟집명소거리, 해수욕장 등의 관광지가 있다.",동해시
2,도째비골스카이밸리,강원특별자치도 동해시 묵호진동 2-109,129.11915,37.55530404,http://tong.visitkorea.or.kr/cms/resource/20/2742020_image2_1.jpg,"묵호등대와 월소택지 사이에 있는 도째비골에 동해의 아름다운 풍광을 즐길 수 있도록 각종 체험시설을 조성한 관광지다. 이름의 ‘도째비’는 ‘도깨비’의 방언이다. 2021년 5월에 개방한 도째비골 스카이밸리는 체험시설인 스카이워크와 스카이사이클, 자이언트 슬라이드를 중심으로 음식 및 기념품을 판매하는 도깨비아트하우스, 매표소 등의 편의시설을 아우른다. 도째비골 스카이밸리의 강점은 경관 조망과 이색 레포츠를 겸비했다는 점이다. 광활한 동해를 바라보는 약 59m 높이의 스카이워크, 양쪽 구조물을 잇는 케이블 와이어를 따라 하늘 위를 달리는 자전거인 스카이사이클, 원통 슬라이드를 미끄러져 약 30m 아래로 내려가는 자이언트 슬라이드를 통해 동해시의 푸른 하늘과 바다를 배경으로 짜릿한 체험을 즐길 수 있다. 바다를 향해 난 스카이워크는 주요 지점 바닥을 투명 유리로 만들어 하늘을 걷는 듯한 스릴을 안겨준다.",동해시
3,동해 해암정,강원특별자치도 동해시 촛대바위길 19,129.1590182,37.47917748,http://tong.visitkorea.or.kr/cms/resource/24/2601824_image2_1.jpg,"1979년 5월 30일 강원도유형문화재로 지정되었다. 삼척심씨(三陟沈氏) 종중에서 관리하고 있다. 고려 공민왕 10년 삼척심씨의 시조 심동로(沈東老)가 낙향하여 건립한 정자이다. 심동로의 자는 한(漢)이요, 호는 신제(信齊)이다. 어려서부터 글을 잘하여 한림원사(翰林院使) 등을 역임하고 고려 말의 혼란한 국정을 바로잡으려 하였으나 권세가의 비위를 거슬려 벼슬을 버리고 낙향하였다. 이때 왕이 이를 만류하다가 동로( 東老:노인이 동쪽으로 간다는 뜻)라는 이름을 하사하였다. 낙향한 후에는 후학의 양성과  풍월로 세월을 보냈다. 왕은 다시 그를 진주군(眞珠君)으로 봉하고 삼척부를 식읍(食邑)으로 하사하였다. 지금의 해암정(海岩亭)은  본래 건물이 소실된 후  조선 중종 25년(1530)에 어촌(漁村)심언광(沈彦光)이 중건하고, 정조 18년(1794) 다시 중수한 것이다.  건물은 낮은 1단의 석축 기단 위에 세운 정면 3칸, 측면 2칸의 팔작지붕을 얹은 정자 형식이다. 4면 모두 기둥만 있고 벽면은 없다. 뒤로 지붕보다  조금 높은 바위산이 있어  운치를 더해 주며, 이곳에서 보는 일출 광경은 장관이라 한다. 전하는 바에 의하면 현종 때 송시열(宋時烈)이 덕원(德原)으로 유배되어 가는 도중 이곳에 들러 '草合雲深逕轉斜 (초합운심경전사 : 풀은 구름과 어우르고 좁은 길은 비스듬히 돌아든다)'라는 글을 남겼다 한다.* 규모/양식 - 단층 8작지붕 초익공 양식, 정면 3간, 측면 2간 * 시대 - 조선 중종 25년 (1530년)",동해시
4,동해무릉건강숲,강원특별자치도 동해시 삼화로 455,129.0312662,37.46511272,http://tong.visitkorea.or.kr/cms/resource/55/2731355_image2_1.jpg,"무릉계곡 입구에 자리한 환경성질환 예방 관리 센터로 동해시가 직접 운영하는 곳이다. 환경성질환은 아토피, 천식, 알레르기 비염 등 환경적 요인으로 생기는 질병을 말한다. 약 24,000㎡ 부지에 친환경 힐링숙박동을 비롯해 테마체험실, 건강상담실, 온열테라피실, 건강자연식당 등이 모여 있다. 황토와 편백나무 등의 친환경 자재로 지은 숙박동은 건강한 잠자리를 제공한다.테마체험실은 돌과 흙, 소금 등 자연의 재료를 활용한 찜질방이다. 원적외선과 천연 음이온을 방출하는 화이트견운모찜질방, 체내 독소 제거에 효과적인 황토찜질방, 나노 소금입자가 호흡기를 세척해주는 소금동굴 등의 체험실이 환경성질환 개선에 도움을 준다. 온열테라피실에서는 캡슐 형태 침대에 누워 열기로 몸의 혈액 순환을 증진시킨다. 상주 간호사가 기초 검사를 토대로 무료 건강상담도 해준다. 숙박하지 않고도 자연물을 이용한 만들기 체험, 테마체험실·건강상담·건강자연식 체험 등에 참여할 수 있다. 여름철에 운영하는 오선녀탕은 무릉계곡 물을 이용해 만든 자연 친화적 물놀이장이다.",동해시
5,동해약천온천실버타운,강원특별자치도 동해시 석두골길 145,129.0669813,37.59420687,http://tong.visitkorea.or.kr/cms/resource/64/2731364_image2_1.jpg,"강원도 동해시 북쪽, 망운산 자락 아래 위치한 온천이다. 영동선·KTX 묵호역에서 차로 12분, 영동선 망상역에서는 차로 5분가량 떨어져 있다. 같은 이름의 노인복지시설 안에 자리한 온천은 (주)동해샘물과 시설이 함께 관리해 깨끗한 수질을 보장한다. ‘동해약천온천’이라고도 불리는 이곳의 온천은 26.5℃의 중탄산나트륨천이다. 나트륨, 칼슘, 마그네슘이 풍부한 온천에는 치유 효과가 좋은 광물질이 다량 함유되어 있다. 온천 종류는 여섯 가지다. 온탕, 열탕, 냉탕은 기본이고, 심층해수탕, 황토탕, 수중 안마탕까지 갖춰 다양한 온천을 넘나들며 몸속에 쌓인 피로를 풀 수 있다. 심층해수탕은 동해의 맑은 바닷물을 끌어왔고, 황토탕은 혈액순환과 피부미용에 도움이 된다. 옥사우나·자수정사우나·소금사우나·황토사우나, 총 4개 사우나는 땀을 쭉 빼 몸속 노폐물을 밖으로 빼낸다. 여름에 개방하는 야외 온천풀장은 온천과 물놀이를 함께 즐길 수 있어 가족 단위 여행객에게 인기가 높다. 온천에서 차로 10분 안에 망상해수욕장, 망상오토캠핑리조트&망상해변한옥마을이 닿는다.",동해시
6,두타산성,강원특별자치도 동해시 삼화로,129.0015692,37.45519384,http://tong.visitkorea.or.kr/cms/resource/16/2371216_image2_1.jpg,"두타산성은 국민관광지 무릉계곡 내에 있는 석성으로 동석산성이라고도 불린다. 102년(신라 파사왕 23년)에 처음 쌓았다고 전해지는데, 1414년(조선 태종 14년)에 삼척부사로 왔던 김맹균이 높이 1.5m, 둘레 2.5km의 산성을 다시 쌓았다고 한다.1592년(선조 25년) 임진왜란 때 왜군이 이곳에 쳐들어와서 많은 사람들이 이 산성으로 피난하였다. 당시 아군은 허수아비를 만들어 남북15리 절벽에 도열시켜 적에게 위세를 보이자, 왜군들은 공격을 포기하고 백복령 방면으로 퇴각했다. 빨래하던 노파가 이 산성의 사정을 제보하듯이 이방의 계략대로 알려주었더니 왜군은 이기령을 넘어 우회 침공하였다. 그러나 그것은 치밀한 계략. 왜군들은 성중에서 전멸했다고 한다. 이처럼 이 고장 청년들이 의병을 조직하여 왜군을 격침했다는 항쟁지로,  현재 성터가남아 있고 호국의 얼이 담겨 있는 곳이다.",동해시
7,두타산협곡마천루,강원특별자치도 동해시 삼화로 584,129.0145372,37.46362368,http://tong.visitkorea.or.kr/cms/resource/18/2773918_image2_1.jpg,"2021년 06월 10일 두타산의 새로운 비경, 두타산 협곡 마천루가 세상에 아름다운 자태를 드러냈다. 두타산의 베틀 바위 일원부터 박달령 구간은 험준한 지형으로 인해 일반 등산객의 접근이 어려웠는데, 동해시와 동부지방산림청이 베틀 바위와 수도골, 박달령, 용추폭포를 잇는 5.34km의 안전한 등산로 코스를 정비한 것. 자연 친화적으로 조성된 이들 등산로에는 자연을 훼손하지 않는 재료를 활용한 안전 밧줄과 계단이 설치됐다. 전망대도 만들어져 하늘 높이 솟은 협곡 마천루를 한눈에 담을 수 있다. 특히 사람의 옆모습을 닮은 독특한 형태의 암석은 등산객들의 눈길을 사로잡는다. 싱그러운 초록빛 수목과 청명한 하늘빛 사이로 웅장히 흐르는 쌍폭포와 용추폭포도 한 폭의 동양화처럼 아름답다. 청년 의병들이 왜군에 맞서 싸웠던 두타산성과 백곰바위, 고매한 정취를 더하는 소나무도 놓치면 안 될 볼거리다.",동해시
8,만경대,강원특별자치도 동해시 공단4로,129.1366228,37.48717612,http://tong.visitkorea.or.kr/cms/resource/48/555048_image2_1.jpg,"동해 시청에서 동쪽으로 1km쯤 떨어진 동해안에 있는 만경대는 조선 광해군 5년(1613년) 김훈이 만들어 세운 것으로, 그동안 풍파로 폐허가 된 것을 60년 전에 삼척 김 씨들이 다시 세웠다. 정자에 올라 동쪽을 바라보면 망망대해가 파도치는 모습이 눈앞에 보인다. 구미 후산 53번지 성산봉에 우뚝 선 만경대는 조선조 광해군 때 삼척 김 씨 김훈이 창건한 정자이다.

공의 자는 원충(元忠), 호는 신당 (新堂)이며, 官은 통훈대부사복사첨정(通訓大夫司僕寺僉正)이고, 실직군왕위옹(悉直郡王渭翁)의 17세손이다.  부군인 오산량필공(梧山良弼公)은 1510년(중종 5년) 삼포왜란 때 공을 세운 사람이다. 신당 공 훈은 성품이 영매하여 청렴하고 곧은 지조로 관리로 일하다가 1613년(광해군 5년)에 향리에 돌아와 동 회리(신당촌)에 살면서 만경대를 창건하고 풍광을 즐기면서 갈매기를 벗 삼아 낚시로 세월을 보냈다.

동은 끝없는 동해바다이고, 북은 긴 해변 푸른 소나무가 10리가량 펼쳐지며, 서로는 장엄한 두타산 경관이 뒷뜰과 함께 눈 앞에 펼쳐지고, 높은 벼랑 아래 전천강이 유유히 동해로 흐르니, 만경대는 삼척의 죽서루와 쌍벽을 이루어, 시인묵객의 발길이 끊이지 않았다고 한다. 1660년(헌종 1년) 부사 허목은 이곳을 관상하여 만경이라 하였고, 1796년(정조 20년)부사 유한전은 시를 읊어 현판으로 남겼다. 1872년(고종9년) 정자를 중건하였는데, 해석 이돈상은 정자 후면에 만경대 액판을 걸었고, 공판 김원식은 상량문을 지었으며 한성부윤 이남식은 ""해상명구(海上名區)"" 현판을 걸었다. 1924년에 다시 정자를 중건하니, 명유 홍정현은 상량문을 지었으며 당 대명필 옥람 한일동은 정자 전면에 만경대 액판을 걸었다. 이 만경대는 현재삼척 김씨 부사공파 송정종중 후손들이 관리, 보존하고 있다.

동은 끝없는 동해바다이고, 북은 긴 해변 푸른 소나무가 10리가량 펼쳐지며, 서로는 장엄한 두타산 경관이 뒤뜰과 함께 눈앞에 펼쳐지고, 높은 벼랑 아래 전천강이 유유히 동해로 흐르니, 만경대는 삼척의 죽서루와 쌍벽을 이루어, 시인 묵객의 발길이 끊이지 않았다고 한다. 1660년(헌종 1년) 부사 허목은 이곳을 관상하여 만경이라 하였고, 1796년(정조 20년)부 사 유한전은 시를 읊어 현판으로 남겼다. 1872년(고종9년) 정자를 중건하였는데, 해석 이돈상은 정자 후면에 만경대 액판을 걸었고, 공판 김원식은 상량문을 지었으며 한성부윤 이남식은 ""해상 명구(海上名區)"" 현판을 걸었다. 1924년에 다시 정자를 중건하니, 명유 홍정현은 상량문을 지었으며 당 대명필 옥람 한일동은 정자 전면에 만경대 액판을 걸었다. 이 만경대는 현재 삼척 김 씨 부사공파 송정 종중 후손들이 관리, 보존하고 있다.",동해시
9,망상해변,강원특별자치도 동해시 동해대로 6270-10,129.089671,37.59226865,http://tong.visitkorea.or.kr/cms/resource/40/2671440_image2_1.jpg,"망상해변은 묵호항에서 북쪽으로 3km쯤 떨어져 있는 국민관광지로서 부근의 옥계, 경포 등과 함께 동해안의 유명 관광지이다. 넓은 백사장과 울창한 송림(수령 20~30년), 청정한 해수, 얕은 수심(경사도 2~4도, 평균 물 깊이 0.5~1.5m) 등 동해안 해수욕장  중 가장 넓고 쾌적한 환경을 갖추었으며, 주차장, 야영장, 샤워장, 공중화장실 등과 각종 편의시설이 잘 갖춰져 있어 관광객들이 이용하기에 편리하다.해수욕장 바로 위에는 오토캠핑장이 있어 가족단위 관광객들에게 인기가 있다. 인근 천곡 자연동굴, 무릉계곡과 추암 촛대바위를 비롯하여 남쪽으로 간이 해수욕장(노봉, 대진, 어달, 한섬, 감추, 추암 해수욕장)이 즐비하다. 인근의 묵호항과 더불어 강릉~삼척을 잇는 해안 관광지 중 하나이며 오징어, 소라, 해삼, 멍게, 광어 등의 풍부한 해산물로 풍요로움과 넉넉함이 묻어난다.",동해시
