,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가곡유황온천&스파,강원특별자치도 삼척시 가곡면 탕곡리,129.2062296,37.15074949,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,"가곡 유황온천&스파는 자연에서 솟아나는 유황온천을 즐길 수 있는 곳이다. 가곡면의 멋진 풍광을 함께 즐길 수 있는 메인 풀장부터 어린아이도 함께할 수 있는 키즈 스파, 동굴 스파, 쿨링 스파, 인피니티 풀, 자쿠지 풀까지 다양한 테마의 시설이 준비되어 있다. 스낵 코너에서 간단한 식사도 가능하다. 근처에 가곡 국민여가캠핑장도 조성되어 있어 가족과 자연 속에서 알찬 휴가를 보내기에 손색이 없다. 1일 2회 시간제 코스로 삼척 시티투어버스도 운영중이어서 접근성 또한 좋다. 다만 온천장 이용 시 수축기 혈압 170 이상, 심장병(심근경색, 협심증) 등의 심신이 허약한 경우에는 입장이 불가하다.",삼척시
1,감성공작소,강원특별자치도 삼척시 대학로 9-1 마스터컷,129.1633412,37.44199018,http://tong.visitkorea.or.kr/cms/resource/70/2820170_image2_1.jpg,"감성공작소는 친환경과 상생을 중시하는 삼척의 경력 단절 여성들이 모여서 만든 사업체이다. 
감성공작소를 방문 하면 첫 번째로, 삼척 바다의 푸른 모습을 지킬 수 있는 비치코밍이 스며든 체험 상품을 만날 수 있다. 바다에 버려진 유리 조각이나 조개 껍데기등을 활용해 그립톡을 직접 만들어 볼 수 있으며, 재료들을 체험객이 직접 바다에서 주어오면 체험비를 할인해주고 있다. 비치 코밍을 통해 관광객들이 환경에 대한 의미를 생각해 볼 수 있도록 하며 지구를 아끼고 바다를 생각하는 마음들을 공유하고자 한다. 두 번째로 감성공작소만의 유니크한 기념품들. 조합원들이 자체적으로 개발해 디자인을 적용한 오랍드리꽃, 이사부사자 테마를 적용한 기념품들과 직접 수공예로 만든 유니크한 제품들을 만날 수 있다. 이외에도 지역 주민과 관광객을 대상으로 다양한 예술 교육 수업도 운영하고 있는데 모든 체험과 교육은 예약제로 운영되고 있다.",삼척시
2,검봉산자연휴양림,강원특별자치도 삼척시 원덕읍 임원안길 525-145,129.2854064,37.22609239,http://tong.visitkorea.or.kr/cms/resource/05/2480205_image2_1.jpg,"검봉산(劍奉山)은 해발 681.6m 재량폭포를 휘몰아 승지골 천봉 사금산 응봉산 육백산으로 장쾌하게 연결되는 산능성길이는 그 웅장함을 가능할 수 있으며 MTB 매니아에겐 도전의 대상이되고 있다. 산능선엔 철쭉과 솔붓꽃, 애기풀, 제비꽃 등의 꽃들이 아기자기하게 피어 있다. 검봉산 정상에는 동쪽으로 끝없이 보이는 바다와 남쪽은 뾰족하게 솟은 응봉산(998.5m)와 서쪽으로는 사금산(1,092m)이 하늘을 가린다. 또한 임원해수욕장이 차량으로 5~10분거리로 여름철 해변휴양과 연계하여 이용하기 좋은 곳이다. 정상에서 15분쯤 내려서면 임도 삼거리가 나타나며, 이동통신탑과 수방자재 보관을 한 컨테이너가 있다. 모서리에는 동부지방산림관리청에서 설치한 대리석 임도지도 표석이 있다. 상서기 방향 중간 임도를 따라 369.2m봉으로 뻗어내린 지능선을 찾아 임도를 버리고 왼쪽 숲길로 든다. 오른편 계곡에는 상서기와 하서기 마을이 있다.",삼척시
3,고포마을,강원특별자치도 삼척시 원덕읍 월천리,129.3615827,37.14282843,http://tong.visitkorea.or.kr/cms/resource/39/2613139_image2_1.jpg,"고포마을은 경상도의 가장 북쪽 마을이자 강원도 동해안의 가장 남쪽 마을이기도 하다. 전체 20여 가구밖에 되지 않는 동네 하나가 두 개의 도에 걸쳐 있는 것이다. 즉, 동네의 한복판을 흐르는 작은 개울을 경계로 해서 북쪽은 강원도 삼척시 원덕읍 월천2리이고, 남쪽은 경북 울진군 북면 나곡6리이다. 그러나 주민들 간에는 같은 마을 사람이라는 유대감과 공동체 의식을 갖고 있다. 예컨대 월천2리에 하나뿐인 포구를 나곡6리 주민들도 아무 거리낌없이 이용하고, 월천 2리에 사는 사람들의 농토는 대부분 나곡6리에 몰려 있다. 서로 말씨나 풍속도 똑같을  뿐만 아니라 마을 잔치를 열거나 미역을 채취하는 따위의 공동작업도 도(道)의 구분없이 전체 주민들이 함께 참여한다.  

 그러나 행정구역의 구분은 아주 엄격해서 주민들이 감내하는 불편이 이만저만 한게 아니다. 바로 앞집에 전화를 걸 때도 지역번호를 먼저 눌러야 하고, 군청이나 읍.면사무소에 볼 일이 있거나 선거를 할 때도 이 집은 삼척, 저 집은 울진으로 나가야 한다. 마을 이장도 두 사람이다. 마을에서 남쪽 5㎞ 쯤 떨어진 북면 부구리에는 원자력발전소가 들어섰는데, 발전소 인근 마을에 대한 지원금도 월천2리 주민들에게는 한푼도 돌아가지 않는다. 이런 특이 상황이 외지인들에게는 흥미로운 얘깃거리로만 들릴지도 모르겠지만, 고포마을의 주민들에게는 하루 빨리 벗어나고픈 현실이다.

 주민들에 따르면, 주민투표를 실시 결과 월천2리의 주민 가운데 90% 이상이 나곡6리로의 통합을 찬성했다고 한다. 주민들은 투표 결과를 바탕으로 작성한 진정서를 청와대 등의 행정관청과 기관에 수십 차례나 접수시켰다. 마침내 문민정부시절에 대통령이 직접 월천2리와 나곡6리의 통합을 적극적으로  검토하라는 지시를 해당 부서에 내렸다고 한다. 그러나 당시 내무부(행정자치부)의 담당실무자가 후속 조처의 실시를 계속 미루다가 결국 유야무야 돼버렸다.  지금도 이곳 주민들은 그 실무자가 강원도 출신이어서 통합이 무산됐다고 믿고 있다. 게다가, 삼척시에서도 ""마을의 통합은 반대하지 않지만, 삼척시의 어로구역은 한 치도 내줄 수 없다""면서 사실상 적극적인 반대 의사를 표명했다고 한다.

이 마을은 바닷가까지 뻗어내려간 산자락 아래의 작은 골짜기를 비집고 들어 앉아있다. 주민들이 처한 현실은 참으로 답답하지만, 마을의 정경은 한없이 평화롭고 아름답다. 동쪽의 해변을 제외한 서·남·북쪽이 산자락에 둘러싸여 있어서 고향 같은 아늑함도 느껴진다. 그리고 마을 앞 바닷가엔 콩알만한 갯돌과 고운 모래가 뒤섞인 아담한 백사장이 펼쳐져 있고 곳곳에 갯바위들이 많아서 해수욕과 갯바위 낚시를 즐기기에 좋다. 그냥 둘러보는 것만으로도 느낌이 좋지만, 무더운 여름철이라면 해변에다 텐트를 치고 하루 이틀쯤 머물고 싶은 마을이다.

이곳은 원래 돌미역의 생산지로 유명하다. 고포미역은 임금께도 진상했던 명품이다. 이곳 바다는 수심이 얕고 물빛이 맑아서 햇빛이 물속 깊숙이 비춘다. 게다가 동해안에서는 조류가 가장 빨라서 양질의 돌미역이 자랄 수 있는 천혜의 조건을 갖추었다는 것이다. 고포미역의 명성이 드높다보니 고포 미역에다 슬쩍 타지의 미역을 끼워 파는 얌체 상술도 적지 않다. 주민들 말로는 ""고포어촌계""의 직인이 찍혀 있는 것이 진짜 고포미역이라고 한다.",삼척시
4,궁촌해변(궁촌해수욕장),강원특별자치도 삼척시 근덕면 궁촌해변길 65,129.2671939,37.3243002,http://tong.visitkorea.or.kr/cms/resource/29/185829_image2_1.jpg,"삼척에서 남쪽 방향인 울진 방향 국도를 따라가다 보면 약 15km 지점에 무한히 펼쳐지는 해안의 백사장과 송림이 보이는데 이곳이 바로 궁촌 해변이다. 고개 밑 궁촌 다리 앞에서 하차하여 해안 쪽으로 200m 정도를 걸어 들어가면 천혜의 자연경관을 자랑하는 해수욕장에 진입할 수 있으며, 교통 편의를 위해 해수욕장 내의 백사장까지 차량이 들어갈 수 있도록 하고 있다. 특히 해수와 민물이 교차하는 지점으로 가족이 함께 즐기기에 더없이 좋은 곳이다. 수심이 얕고 바닷물이 깨끗한 궁촌해수욕장은 여름 피서객에게는 아직 잘 알려지지 않은 청정해수욕장이다.",삼척시
5,나릿골 감성마을,강원특별자치도 삼척시 나리골길 12,129.1878558,37.4393743,http://tong.visitkorea.or.kr/cms/resource/14/2649014_image2_1.jpg,"나릿골은 삼척 정리항 영진안과 벽너머 사이 어항의 배를 정박하는나루가 있어서붙여친 명칭으로 거주민 30%가 어업에 종사하고 있으며 60~70년대생화 정취가남아있는 계단과 골목길, 담장 등을 간직하고 있는 전형적인 항구문화가 남아있는아름다운 경치의 어촌 산마을입니다.",삼척시
6,내평계곡,강원특별자치도 삼척시 근덕면 내평길,129.2144541,37.32634615,http://tong.visitkorea.or.kr/cms/resource/34/1581534_image2_1.jpg,"마읍천의 맑고 풍부한 수량의 계곡을 중심으로 자연경관이 빼어난 크고 작은 산들이 동서로 줄기차게 뻗어 있고 곳곳에 기암괴석이 산재하고 있어 장관을 이룬다.
맹방해수욕장과 덕산해수욕장이 인접하고 있다. 신라시대에 창건된 사찰인 신흥사는 영화 '봄날은 간다' 촬영지로 사찰 규모에 비해 영화 배경지 관광을 나선 이들에게 인기를 끄는 장소가 됐다.
산과 계곡, 그리고 동해를 동시에 즐길 수 있으며,  국도 및 지방도로변에 위치하고 있어 교통이  편리하다.",삼척시
7,대금굴 (대이리 동굴지대),강원특별자치도 삼척시 신기면 환선로 800,129.0205714,37.32595353,http://tong.visitkorea.or.kr/cms/resource/35/2994035_image2_1.JPG,"강원도 삼척시 대이리 동굴 지대에 위치한 대금굴은 인근에 있는 환선굴, 관음굴과 비슷한 시기에 형성된 동굴로 동굴 발견까지 4년, 시설물 설치 3년, 총 7년의 준비 기간 끝에 일반에 개방하였다. 동굴 내부에는 종유석, 석순, 석주 등 동굴 생성물이 잘 발달되어 있으며, 특히 지하에는 근원지를 알 수 없는 많은 양의 동굴수가 흘러 여러 개의 크고 작은 폭포와 동굴 호수가 형성되어 있는 것이 특징이다. 현재 대금굴은 모노레일로만 접근이 가능, 최소 방문 하루 전에 온라인 예매를 해야 입장이 가능하다. ※ 대금굴 예매 시간은 모노레일 출발시간이며, 도보 이동을 위해 반드시 30분 전까지 매표소에 도착해야 한다.",삼척시
8,덕산해변,강원특별자치도 삼척시 근덕면 덕산해변길 114,129.240961,37.38586761,http://tong.visitkorea.or.kr/cms/resource/82/608382_image2_1.jpg,"삼척 시내에서 9km 가량의 거리에 위치한 곳으로서 평균수심 1~2m 정도이며 연장 580m, 폭 50m의 백사장을 보유하고 있고, 주변에는 맹방해변과의 사이에 덕봉산을 경계로 하고 있어 경관이 수려하며 인접되어 있는 덕산항(남애포)이 있어 매일같이 싱싱한 활어도 맛볼 수 있다. 150여 가구의 대단위 민박촌으로 형성되어 있어 서비스가 잘 된 곳으로 평가되고 있으며, 인접지역 해수욕객의 민박도 부담하고 있는 지역이다.",삼척시
9,덕풍계곡,강원특별자치도 삼척시 가곡면 덕풍길 44,129.1583542,37.12226849,http://tong.visitkorea.or.kr/cms/resource/87/1425587_image2_1.jpg,"자연경관이 수려하고 마을과 멀리 떨어져 있어 조용하며 경관이 뛰어난 여러 개의 폭포가 산재해 있다. 병풍처럼 둘러싸인 산세가 수려하여, 등산을 겸한 가족 단위 피서지로 적합한 곳이다. 진입로인 풍곡1리까지는 416번 지방도를 이용할 수 있다. 계곡 입구에서 계곡 안까지는 약 8㎞정도 된다. 덕풍마을은 총11가구로 이루어진 작은 부락으로  아직까지  나무를 땔감으로 사용하는 오지마을이다. 마을 앞에 흐르는 덕풍 계곡의  맑은 냇물에는  물고기가 떼지어  다니고 마을 사람들의 후한 인심은  찾는이들에게 좋은 추억거리를 제공한다. 덕풍계곡과 용소골은 도전하는 젊음을 위한 트래킹 코스로서 더할 나위 없이 좋은 곳이다. * 의상대사와 나무비둘기 설화전하는 말에 의하면 신라 진덕왕 때 의상대사가 이곳에 와서 나무로 만든 비둘기 3수를 날린 즉,  1수는 울진 불영사에 떨어지고 1수는 안동 흥제암에 날아가고 1수는 이곳 덕풍용소에 떨어졌는데,  그로 하여금 용소골일대는 천지의 대변혁이 일어나 오늘과 같은 아름다운 산수의 조화를 이룩했다고 한다.",삼척시
