,title,addr1,mapx,mapy,firstimage,overview,addr2
0,광치계곡,강원특별자치도 양구군 남면,128.0608167,38.13691342,http://tong.visitkorea.or.kr/cms/resource/77/2566477_image2_1.jpg,"양구의 명산, 대암산 자락 광치계곡은 등산로를 따라 길게 이어져 산을 타는 내내 서늘함과 청청함을 등산객들에게 선사한다. 넓지 않은 좁은 길을 따라 흐르는 계곡의 수량은 비록 많지는 않지만 깊게 이어져 있으며 계곡 초입에는 민박집 등 여러가지 휴양시설이 갖춰져 있어 산을 즐기기에 부족함이 없다. 또한 물가 근처의 토속음식을 파는 작은 음식점들이 또 하나의 재미로 이곳에서 맛보는 매운탕과 민물회는 광치산의 매력을 더한다. 이곳은 물놀이보다는 가을 산행을 즐기기에 적합하여 가을 등산객에게 더 인기가 많은 곳이다. ",양구군
1,광치자연휴양림,강원특별자치도 양구군 국토정중앙면 광치령로1794번길 265,128.0709684,38.14372115,http://tong.visitkorea.or.kr/cms/resource/09/1813309_image2_1.JPG,"표고 800m의 광치령은 다양한 폭포와 계곡을 형성하고 있으며 울창한 원시림과 함께 양구와 인제, 원통을 연결하는 광치터널을 통하여 동해 안을 찾는 이동통로로서 사계절이수려한 이곳에 자연휴양시설을 설치하여 수도권 관광객의 유치 및 지역주민과 도내 이용객에게 휴식공간을 제공 하고 지역경제를 활성화 하고자 자연휴양림을 개장하였다.",양구군
2,국토정중앙천문대,"강원특별자치도 양구군 국토정중앙면 국토정중앙로 (127, 국토정중앙)",128.0296994,38.06899296,http://tong.visitkorea.or.kr/cms/resource/46/1583246_image2_1.jpg,국토정중앙천문대는 우리나라의 중심에서 하늘을 바라보기 위해 국토정중앙 부근에 위치한다. 주망원경의 80cm 반사망원경이 설치되어 있으며 최신의 천문정보와 더불어 여러 학습 체험이 가능한 전시실과 디지털 가상 밤하늘을 감상할 수 있는 천체투영실이 설치되어 있다.,양구군
3,두무리산촌생태마을,강원특별자치도 양구군 국토정중앙면 두무리 산12,128.0676713,38.05827826,http://tong.visitkorea.or.kr/cms/resource/23/2793223_image2_1.jpg,"양구군 남면 두무리는 두무동 고개와 소양강 상류에 둘러싸여 있는 전형적인 산촌마을이다. 40년 전인 1973년 소양강댐이 건설되면서 두무리와 붙어있는 인제군 남면 관대리 일원에 물이 차게 됐고 두무리는 산과 강으로 둘러싸인 오지 중의 오지로 손꼽히게 됐다. 청정 자연이 마을을 품고 있다 보니 이곳에서 생산되는 모든 농산물과 산채 등도 전국 최고의 맛과 품질을 자랑한다. 두무리에서는 주로 고추, 수박, 곰취, 오이 등이 생산 판매하고 있다.",양구군
4,두타연 (강원평화지역 국가지질공원),강원특별자치도 양구군 방산면 두타연로 297,127.981715,38.24684076,http://tong.visitkorea.or.kr/cms/resource/15/2668215_image2_1.jpg,"민통선 지역으로 양구안보관광지 통합예약사이트에서 사전 출입 신청 또는 당일 현장접수 가능하며, 방문 당일 금강산안내소에서 출입 신청서와 서약서를 작성하고 GPS 착용 후 인솔에 따라 금강산안내소에서 정시에 출발하여 두타연주차장 -> 생태탐방로 -> 두타연주차장 구간인 생태탐방로를 약 1시간 관광 후 정해진 시간에 복귀해야 한다.두타연은 수입천의 지류인 사태천이 산간지방을 굽이쳐 흐르는 과정(감입곡류하는 과정)에서 굽어진 물굽이가 절단(곡류절단)되어 형성된 폭포와 폭호(瀑壺, plunge pool)이다. 폭호는 폭포 밑에 깊게 파인 둥글고 움푹한 물웅덩이를 가리키며, 이는 낙하한 물이 자갈 등과 함께 폭포 아래 부분을 갈아내거나(마식작용을 하거나) 수압으로 뜯어내는 작용(굴삭작용)을 함에 따라 형성된다. 한편, 두타연이라는 지명은 부근에 두타사라는 사찰이 있었다는 것에서 유래하였다.<출처 : 강원평화지역 국가지질공원>",양구군
5,두타연 평화누리길,강원특별자치도 양구군 방산면,127.983571,38.22690424,http://tong.visitkorea.or.kr/cms/resource/53/2953253_image2_1.jpg,"평화누리길은 강원도 양구 두타연의 금강산 가는 길목이다. 민간인 통제구역으로 6,25전쟁 이후 50여 년간 출입이 통제되어 오다가 2004년 개방되어 원시 자연을 그대로 간직한 DMZ 생태계 보고로 청정한 자연의 신비와 아름다움을 만끽할 수 있는 자연 생태 누리길이다.",양구군
6,백석산지구 전투전적비,강원특별자치도 양구군 방산면 송현리 233,127.9356332,38.24414853,http://tong.visitkorea.or.kr/cms/resource/48/2668048_image2_1.jpg,"백석산 전투에서 산화한 장병들을 추모하기 위해 육군 제3군단에서 세운 전투전적비로, 강원도 양구군 방산면 송현리에 위치하고 있다. 백석산전투는 1951년 8월 18일부터 10월 28일까지 백석산에서 벌어진 전투로, 국군 제7사단 3연대, 5연대, 8연대, 제16포병대대, 제8사단, 미 제96야전포병대대와 북한 제12사단, 제32사단, 중공군 611연대가 이 전투에 동원되었다.피탈당하고 점령하는 격전끝에 백석산과 그 일대를 점령하게 되었으며,중공군은 어은산 방면으로 퇴각하고 10월 25일부터 휴전회담이 재개되어 백석한 일대의 전투가 종료되었다. 이 전선은 휴전협정 조인 시까지 유지되다가 군사분계선으로 결정되었다. 적군 사살 1, 460명, 포로 101명이었으며 아군측도 전사 244명, 부상 1, 165명, 실종 14명에 이르렀다.(* 출처 : 국가보훈처 현충시설 정보서비스)",양구군
7,사명산,강원특별자치도 양구군 양구읍 월명리,127.9061993,38.07724244,http://tong.visitkorea.or.kr/cms/resource/96/2566496_image2_1.jpg,"사명산은 해발이 1,198m이다. 양구, 화천, 춘천 일대와 멀리 인제군 4개 고을을 조망할 수 있다는 데서 사명산이란 이름이 연유한다. 춘천에서 배후령을 넘어 추곡 약수를 지나면 사명산 산행기점인 선정사가 반긴다. 계곡의 등로를 따라 2시간 정도 오르면 파로호가 보이는 주능선에 닿고 거기서 계속 올라가면 널찍한 평지를 이룬 정상이다. 정상에서의 전망은 파로호와 멀리 설악산, 점봉산 등이 보인다. 소양호 물줄기와 청평사가 있는 오봉산도 보인다. 봄에는 진달래와 철쭉이, 가을에는 단풍이 절경이다. 설경 또한 아름다워 겨울산행도 적합하다.

이 산의 정상에는 두 개의 커다란 돌이 대문같이 서 있는 문바위가 있고, 여기서 더 올라가면 여러 겹의 바위가 겹쳐 있는 첩바위가 있다. 이 산은 임진왜란 당시 이 고장 사람들이 침략해 온 왜군에 대항해 싸운 전장이기도 하다. 하산은 추곡 약수로 잡는다. 추곡 약수는 약 1백여년 전에 발견된 것으로 위장병과 빈혈, 신경통과 고혈압에 좋다고 한다.",양구군
8,소양호(양구),강원특별자치도 양구군 양구읍 석현리,128.0221877,38.01944581,http://tong.visitkorea.or.kr/cms/resource/71/176171_image2_1.jpg,"지난 1973년 동양 최대의 사력댐인 소양강 다목적댐 건설로 생긴 소양호는 춘천∼양구 간 주요 교통로이자 수상관광의 명승지이다. 소양댐은 1967년 4월에 착공, 6년 6개월만인 1973년 10월에 준공되었으며, 당시 총 공사비가 268억원 투입됐고 저수량 269억 톤, 발전시설 용량이 20만kw이다. 이 댐의 건설로 춘천∼양구 간 44km의 도로가 수몰된 대신 소양호 뱃길이 생기고, 1974년 양구읍 석현리에 선착장이 신설되었다. 소양댐까지 30분이면 닿을수 있는 공기부양식 여객선 쾌룡호가 정기적으로 운항되고 있다. 소양댐∼양구간 27km는 호수를 달리며 폭염도 잊고 내륙수운 관광을 즐길 수 있는 국내에서 드문 관광코스이다. 자동차로 1시간 걸리는 춘천∼양구간을 30분이면 주파하는 쾌룡호에 올라서면 관광객들의 환희가 뱃전에 가득하다.공기를 배 밑으로 쏟아내면서 일으키는 무지개 빛의 상쾌한 물보라를 맞으면 짜릿한 냉기 속에 환호성이 절로 난다. 녹염을 마음껏 뽐내는 계곡을 비집고 들어가면 드문드문 떠 있는 섬 사이로 가두리 양식장과 월척의 꿈을 안은 낚시꾼들의 한가로운 모습이 눈에 들어온다. 향어, 잉어, 뱀장어, 빙어 등 50여종의 민물고기가 잡히는 호수주변은 계곡마다 낚시터로 한창 낚시꾼이 모일때는 불야성을 이룬다. 수위가 늘어나면 인제 신남까지로 뱃길이 늘어나 호숫가로 펼쳐진 내설악의 절경도 맛볼 수 있어 수많은 관광객과 지역 주민들이 여객선을 이용하고 있으며, 소양호의  사시사철 변해가는 주변 경관이 아름다워 여객선 안에서 느끼는 감흥은 이루 말할 수 없이 절묘하다.",양구군
9,소지섭길,강원특별자치도 양구군 방산면 두타연로 8,127.983571,38.22690424,http://tong.visitkorea.or.kr/cms/resource/03/2566503_image2_1.jpg,"소지섭길은 강원도 DMZ일대를 배경으로 2010년 출간된 소지섭의 포토에세이집 '소지섭의 길'이 발단되었으며, 천혜의 자연을 간직한 양구의 아름다움과 따뜻함에 반한 소지섭이 이를 통해 자신의 이야기를 들려주고자 가장 좋아하는 숫자 51을 소지섭길의 총거리로 확정했다.",양구군
