,title,addr1,mapx,mapy,firstimage,overview,addr2
0,강원 영월 김삿갓면 [슬로시티],강원특별자치도 영월군 김삿갓면 옥동장터길 36,128.5701372,37.12568181,http://tong.visitkorea.or.kr/cms/resource/85/2026085_image2_1.jpg,"영월군은 산과 물, 계곡이 조화롭게 어우러진 곳입니다. 수려한 자연경관은 물론이며 어린 나이에 왕위를 빼앗기고 죽임을 당한 비운의 임금인 단종과 조선 후기 방랑 시인이자 천재 시인인 김삿갓의 발자취를 느낄 수 있다. 또한 천연기념물로 지정된 고씨동굴 및 김삿갓 유적지 등 청정한 자연 환경이 잘 보존되어 있어 고즈넉함과 여유로움을 느끼기에 가장 최적화된 곳이다. 해학과 풍자의 시선 김삿갓의 시대 정신과 문화 예술혼을 추모하고 문학적 가치를 재조명하기 위한 문화제도 매년 10월에 개최하는 등 다양한 문화자원도 두루 갖추고 있어 이러한 보존 가치를 대외적으로 인정받아 국제슬로시티로 지정되었다.영월은 박물관 고을 특구입니다. 핵심콘텐츠 지역인 김삿갓면에만 자그마치 8개의 박물관이 있다. 박물관 고을 육성 사업을 통해서 지역 특성을 반영한 박물관을 유치하고 경쟁력을 강화하고 있으며, 인재 육성 및 활용과 네트워크 구축, 테마 체험 프로그램 및 문화 상품 개발 등 눈에 보이지 않는 것에서 가치를 찾아내고 있다. 별마로천문대, 난고김삿갓문학관, 영월 Y파크, 단종역사관, 동강사진박물관, 영월동굴생태관, 강원도탄광문학촌, 동강생태정보센터, 영월라디오스타박물관, 예술창작스튜디오 등 다양한 콘텐츠의 박물관이 운영되고 있다.<출처 : 슬로시티>",영월군
1,강원도 탄광문화촌,강원특별자치도 영월군 북면 밤재로 351,128.4669118,37.26313626,http://tong.visitkorea.or.kr/cms/resource/22/1583322_image2_1.jpg,"과거 번성했던 석탄 산업과 탄광촌 광부들의 생활상을 재현한 박물관이다. [영월 마차리 탄광촌의 흔적]이라는 주제로 석탄 산업과 광부들의 집, 마차리의 옛모습을 실감나게 돌아 볼 수 있다. 실제 갱도의 입구 부분을 체험 전시관으로 만들어 애환과 땀이 서린 광산 갱도와 작업과정에 대한 체험을 해볼 수도 있다.
",영월군
2,계족산(영월),강원특별자치도 영월군 영월읍 정양리 451,128.496926,37.16181516,http://tong.visitkorea.or.kr/cms/resource/06/1841606_image2_1.jpg,"계족산은 영월읍 동쪽에 병풍을 친 듯 화성(火星)의 모습으로 수석처럼 우뚝 솟은 산이다. 백두대간 함백산에서 서쪽으로 가지를 친 한개의 능선이 두위봉, 망경대산, 응봉산을 거쳐 남한강에 막혀 더 이상 뻗지 못하고 지맥을 다하여 험준한 산세를 이루고 있으며, 산자락에는 고구려의 산성인 왕검성과 정조대왕태실비 등의 유적이 있으며, 영월화력발전처가 자리하고 있다. 영월읍에서 88번 지방도를 따라 승용차로 20분 거리인 정양리에 도착하면 영월화력발전처가 있으며 발전소 담장이 끝나는 곳에 계족산 산행 안내도가 서 있고, 주차장이 마련되어 있다. 콘크리트로 포장된 길을 따라 30m 정도 북쪽으로 걸어가면 정양마을이 나타나고, 가래골 골짜기 위로 계족산 정상부근이 한 눈에 들어오고 산새를 가늠하기 쉽다.정양마을을 뒤로 하고 가래골 계곡 좌측으로 난 오솔길을 따라 10여분 걸어가면 우측 아래로 10m 가량의 폭포가 나타난다. 폭포를 내려다보며 산길을 올라 15m 폭포 상단부에서 다시 왼쪽 계류를 건너게 된다. 고르지 못한 바위사면길을 밟으며 5~6분 정도 오르면 우측계곡에 2개의 폭포와 탕이 시야에 들어온다. 이곳의 폭포는 평소에 수량이 적은 것이 흠이다. 그러나 장마철에는 굉장한 볼거리를 제공한다. 폭포와 탕을 뒤로하고 15m 정도 오르면 폐허된 묵밭이 나오고 집터가 나타난다. 집터샘에서 식수를 준비하고 10여 분 오르면 계족산 서남릉묘지가 있는 안부에 닿는다.",영월군
3,고씨굴 (강원고생대 국가지질공원),강원특별자치도 영월군 김삿갓면 영월동로 1117,128.5353791,37.13074446,http://tong.visitkorea.or.kr/cms/resource/85/483785_image2_1.jpg,"고씨굴은 1969년 6월 4일에 천연기념물로 지정되어 국가로부터 보호를 받고 있는 학술적, 자연유산적 가치가 뛰어난 동굴이며, 1974년 5월 15일에 일반인들에게 공개되었다. 고씨굴은 여러 층으로 이루어진 다층 구조를 보이며 제일 아래층에는 지하수가 작은 하천처럼 흐른다. 주굴은 대부분 석회암 내에 발달한 절리면(석회암이 힘을 받아 깨진 부분)을 따라 형성되었으며, 가지굴은 층리면(퇴적암에 나타나는 편평한 면)을 따라 발달한다. 고씨굴 내에는 종유관, 종유석, 석순, 석주, 동굴산호, 유석, 커튼, 곡석 등이 다양한 동굴생성물이 자라며, 비공개 구간에서 자라는 흑색을 띄는 동굴생성물은 고씨굴만의 자랑이다.<출처 : 강원고생대 국가지질공원>",영월군
4,구룡산(강원),강원특별자치도 영월군 무릉도원면 운학리 1111-5,128.1907403,37.32985391,http://tong.visitkorea.or.kr/cms/resource/54/1841554_image2_1.jpg,"* 깊은 산세와 강의 아름다움이 절경을 이루는  산, 구룡산 (강원 영월) *  강원도와 경상북도에 걸쳐있는 구룡산은 태백산,  청옥산, 각화산, 옥석산 등과 함께 태백산맥에서 소백산맥이 갈라져 나가는 곳에  있다. 구룡산은 영월의 서쪽 수주면 운학리와 도원리 사이에 운학천과 구절양장 굽이치는  섬안이강에 감싸여 그 아름다움을 더하고 있다. 구룡산 남쪽 산자락 끝에 위치한  '섬안'이라는 마을을 동, 남, 서쪽으로 감싸 흐르는 강줄기 이름이 서만이 강인데  옛날 명칭은 '섬안이 강'이라고 전해지고 있다.   이 산 정상에 오르면 서쪽으로는 치악산이 보이고,  북쪽으로는 백덕산과 사자산이 한눈에 들어온다. 남쪽으로는 비산 넘어 용두산이  보여 전망이 좋은 산이다.   * 구룡산을 맛볼 수 있는 추천 산행 * 산행기점인 두산약수는 육각정 건물에 거북이 입에서  물이 나오도록하여 더욱 신비스러우며 주차장과 목재화장실이 있다. 두산약수에서  동쪽 계곡길을 따라 5분 거리에 조립식 패널건물과 좌측산자락에 폐농가가 있다.    농가를 지나면 자연미가 살아있는 급경사 바위지대가  나타나고, 이곳을 지나면 “구룡산 0,5km”라고 쓰인 안내판이 보이고 노송과 바위지대가  있는 구룡산 서릉을 밞는다. 동쪽 급경사길을 따라 10여 분 거리의 바위지대를 좌측으로  돌아 진달래가 군락을 이룬 곳을 통과하여 30분 거리에 이르면 20여 평 넓이의 헬기장이  있는 정상에 도착한다.",영월군
5,구봉대산,강원특별자치도 영월군 엄둔길 38,128.236187,37.30177467,http://tong.visitkorea.or.kr/cms/resource/91/175591_image2_1.jpg,"* 각각의 봉우리에 불교의 이름이 있는 산, 구봉대산 *구봉대산(870m)은 영월군 수주면 법흥리 사자산  법흥사 적멸보궁의 천하복지 명당터를 보호하는 우백호의 역할을 하는 산으로 아홉  개의 봉우리로 이루어져 있어, 구봉대산이라는 이름을 얻게 되었다. 백덕산-사자산  능선의 연장선상에 있는 지능선으로 법흥리의 적멸보궁과 법흥사를 싸안으며 계속  뻗어나가 한 줄기는 주천강을 향해 가고 한 줄기는 법흥리의 버스 주차장 남쪽으로  뻗어 있다.   구봉산은 각 봉우리마다 사람이 태어나서 죽을 때까지의  과정을 봉우리 명칭으로 사용하여 이색적인 감흥을 주고 있다. 인간은 태어나 유년과  청년, 중년, 노년의 단계를 거쳐 죽어서 다시 태어나는 불교의 윤회설에 따라 9개의  봉우리마다 심오한 인생의 뜻을 담아놓은 주능선은 기암과 노송의 군락이 어우러져  동양화의 화폭에 들어와 있는 착각을 일으킬 정도로 아름다운 산이다.   산행은 클라이밍이 필요한 봉우리도 있어 모두 오르기는  어렵다. 위험한 코스일 경우 길이 바위 아래로 나 있어 별 어려움은 없다. 코스를  따라 쉽게 올라갈 수 있는 암봉들은 테라스 형이고 연화봉·백덕산 쪽은 단애를  이루고 있어 전망이 좋다.* 불교의 윤회설에 따른 봉우리 이름 *구봉산은 불교의 윤회설에 따라 봉우리의 이름을  지었다. 제1봉은 양이봉이다. 양이봉은 인간이 어머님 뱃속에 잉태함을 나타낸다.  제2봉 “아이봉”은 인간이 세상에 태어남을 나타내며, 제3봉 “장생봉”은 인간이  유년, 청년기를 지나는 과정을 의미한다. 제4봉 “관대봉”은 인간이 벼슬길에 나아감을  의미하며, 제5봉 “대왕봉”은 인간이 인생의 절정을 이룬 뜻을 의미한다. 제6봉  “관망봉”은 지친 몸을 쉬어감을 의미하며, 제7봉 “쇠봉”은 인간의 병들고 늙음을  의미하며, 제8봉 “북망봉”은 인간이 이승을 떠남을 의미한다. 마지막으로 제9봉은  “윤회봉”으로 인간으로 다시 태어난다는 불교의 윤회설에 근거를 둔 것이다.",영월군
6,국지산,강원특별자치도 영월군 남면 국지골길,128.4464007,37.14011392,http://tong.visitkorea.or.kr/cms/resource/67/1841567_image2_1.jpg,"* 산세가 부드러워 가족 산행으로 적합한, 국지산 * 국지산(626m)은 조선조 제6대 임금 단종의 유배지인  청령포 남쪽 약 5km에 솟은 산이다. 산세가 유순하고 부드러워 가족산행지로 최적의  코스이다. 정상에서의 조망은 참나무 숲에 가려 전망이 별로 좋지 않으므로 이전  망바위에서 조망을 감상하는 것이 좋다.   북으로는 영월읍을 감싸고 있는 봉래산과 계족산이  보이고, 그 사이로 완택산, 고고산 정상이 하늘금을 그리고, 계족산 오른쪽으로는  응봉산과 망경대산이 긴 능선을 그리며 이어지고 있다. 남동쪽 흥월리 건너 태화산의  모습이 병풍처럼 듬직하게 자리잡고 오른쪽 멀리 신선봉, 국망봉, 소백산으로 이어지는  소백산 주능선이 시야에 들어온다. 전망바위에서 정상에서 바라본 동남쪽 조망 50여미터  올라서면 삼각점이 있는 정상이다.   * 가족이 함께 가면 좋을 국지산의 추천 산행 * 산행의 시작은 흥월리 뒤뜰마을 상촌마을에서 시작한다.  상촌마을 계곡을 따라 500m정도 들어서면 남쪽 지능선 사면을 따라 10여분 올라서면  “순천 박씨 지묘”란 비석이 서있는 무덤이 있는 능선에 올라선다. 무덤 뒤 뚜렷한  능선길을 따라 약 30여분 거리에서 왼쪽 급사면으로 이어진 길을 따라 5분여 거리에  이르면 태화산으로 이어지는 능선상의 문고개에 도착한다. 문고개에서 북쪽으로 이어진  능선길을 따라 10여분 거리에 이르면 쓰러진 송전탑이 나타난다. 송전탑에서 가파른  능선길을 따라 20분 가까이 올라서면 전망대이다.",영월군
7,금강공원에코스튜디오,강원특별자치도 영월군 영월읍 영흥리 80,128.477266,37.18604811,http://tong.visitkorea.or.kr/cms/resource/38/2774038_image2_1.jpg,"동강이 내려다보이는 언덕에 자리한 금강공원이 지난 2020년 에코 스튜디오로 재탄생했다. 영월의 다양한 역사 문화 자원들이 어우러진 이곳엔 야외무대와 나무정원, 에코 놀이터, 라디오스타 박물관 등이 자리한다. 그중에서도 공원 가운데 자리한 사운드 허그가 단연 눈길을 사로잡는데, 이는 단순한 조형물이 아니라 실제로 음악을 들을 수 있는 초대형 스피커다. 사운드 허그에는 K-pop부터 발라드, 트로트 등 모든 세대가 함께 즐길 수 있도록 엄선된 인기 가요 6곡이 내장돼 있다. 거대한 스피커 안으로 들어가 공원을 가득 채우는 음악을 감상하는 경험은 오직 금강공원 에코 스튜디오에서만 가능한 특별한 추억이 된다. 또 조선 전기에 세워진 팔작지붕 형태의 누정, 금강정에 오르면 아래로는 동강이 흐르고 그 앞으로는 계족산과 태화산이 그림 같은 풍광을 선사한다.",영월군
8,김삿갓 계곡,강원특별자치도 영월군 김삿갓면 와석리,128.6085978,37.12051091,http://tong.visitkorea.or.kr/cms/resource/09/2675209_image2_1.JPG,"김삿갓 묘가 위치하여 유명해진 인근 계곡이다. 김삿갓과 관련된 유적은 강원도 남부와 충청북도 경계지대에 분산되어 있는데 남대천 (南大川)을 사이에 두고 북쪽 영월군 하동면 어둔리 선래골 (선락동)에는 집터가 있고, 근처 와석리 노루목에는 묘소가 있다. 그리고 냇물 건너 단양군 영춘면 접경에는 기념시비가 세워졌다. 최근 김삿갓에 대한 문학적, 역사적 관심이 높아지면서 이 지역을 찾는 등산객, 답사 여행객이 증가하여 대야리 - 인근 마대산(해발1,052m, 강원도,충북, 경북 3도의 접경을 이루는 산) - 김삿갓생가터 - 김삿갓묘역을 연결하는 등산로가 개발되고 있으며, 곰봉 (곰의 모양을 한 봉우리)도 탐방이 잦아지고 있다. 와석리는 10여 가구가 살고 있는 조촐한 오지 마을로서 옛 시골의 정취를 간직하고 있는 마을이다.

김삿갓 계곡은 김삿갓이 생전에 ""무릉계""라 칭했을 만큼 빼어난 경치를 지녔다. 관광지로 지정되지 않았지만 오염이 안되고 보존이 잘 되어 청정지대임을 자랑한다. 인근 내리계곡의 크낙새와 법흥사 적별보궁 오르는 길의 딱따구리, 그외 동강과 서강이 기암을 돌아 흐르는 곳에 사는 수달, 수리부엉이, 비오리, 검독수리, 작은소쩍새, 올빼미, 황조롱이, 오리떼 등은 이 지역이 있는 그대로의 생태박물관임을 입증한다. 영월군은 이 계곡과 내리계곡 등 인근의 계곡을 번갈아가며 휴식년제를 취하고 있으므로 확인 후 출발해야 한다.

* 우리나라 최고의 풍류시인 김삿갓에 대하여 *

김삿갓의 본명은 병연(炳淵), 호는 난고(蘭皐)이다. 1807년(순조7년)3월 13일 경기도 양주군 회동면에서 출생한 김삿갓은 6세 때 조부 김익순이 선천부사로 있다가 홍경래 난을 진압하지 못하고 오히려 투항한 것과 관련하여 폐족을 당한 후 황해도 곡산, 경기도 가평, 광주, 강원도 평창등을 전전하다 영월 삼옥리(三玉里)에 정착하여 화전을 일구며 살게 되었다.

조부의 행적을 모르고 자랐던 선생은 20세 때 영월동헌에서 열리는 백일장에서 “홍경래난 때, 순절한 가산 군수 정공의 충절을 찬양하고, 항복한 김익순을 규탄하라.”(論鄭嘉山忠節死 嘆金益淳罪通于天)는 시험 제목의 향시(鄕試)에서 장원을 했다. 이 소식을 들은 어머니로부터 김익순이 조부라는 것을 알게 되자 조상을 욕되게 하여 하늘을 쳐다 볼 수 없다고 삿갓을 쓰고 방랑생활을 하며 벼슬길을 포기하였다. 김삿갓은 57세로 객사할 때까지 전국 각지를 떠돌아 다니면서 방랑 걸식하였다. 지친 몸으로 말년에 들른 곳이 전라남도 화순군 동복면 구암리였는데, 그곳 명소 ""적벽(赤璧)""에 매료되어 다른 곳으로 가지 않고 이 곳에서 생을 마감하였다. 훗날 그의 차남이 영월 고향 땅으로 이장하여 이곳 김삿갓묘에 안치하였다.",영월군
9,난고 김삿갓 유적지,강원특별자치도 영월군 김삿갓로 216-22 난고김삿삿문학원,128.6017552,37.07954327,http://tong.visitkorea.or.kr/cms/resource/87/2026087_image2_1.jpg,"김삿갓 유적지는 강원도 영월군 하동면 와석리 노루목에 있으며, 이곳은 차령산맥과 소백산맥 준령의 북단과 남단에 위치하며, 경북 영주시와 충북 단양군과 경계를 이루는 3도 접경지역으로 산맥의 형상이 노루가 엎드려 있는 듯한 모습이라 하여 노루목이라 불려오고 있다. 또한 김삿갓 유적지내에 흐르는 '곡동천'은 여름철에는 유리알처럼 맑고 풍부한 수량이 기암괴석 사이로 넘치고 가을에는 형언각색 단풍으로 인하여 보는 이의 가슴을 평온하게 만들어 주는 신비로운 곳이다.이처럼 산자수려한 고산준령 풍운 속에 청운의 푸른 꿈을 접고 해학과 재치와 풍류로 한 세상을 살다간 조선 후기 방랑시인이자 천재시인인 김삿갓의 체취를 느낄 수 있는 난고 김병연 묘소와 주거지가 있다. 난고 김병연 선생은 원래 전라도 동복(지금의 전라도 화순군)에서 돌아가셨지만 아버지를 찾아 전국을 떠돌던 둘째 아들 익균이 주거지인 하동면 노루목 바로 이 곳 골짜기에 묻어 주었으며, 그의 묘소는 1982년 영월의 향토사학자 정암 박영국선생의 노력으로 처음으로 발견되었다.
김삿갓의 시대정신과 “문화예술 魂”을 추모하고 문화적 가치를 재조명 하고, 산자수명(山紫水明)한 김삿갓 계곡을 자연문화의 중심지, 문예인의 순례지, 김삿갓의 향기를 느낄 수 있는 우리나라의 대표하는 시선(時仙)으로 승화시켜 문화관광자원을 널리 알리기 위해 지난 `98년도부터 매년 10월초에는 ""난고 김삿갓문화큰잔치""가 개최된다. 또한, 강원도 시책사업인 『강원의 얼 선양사업』이 2001년부터 2003년까지 추진되어 유적지내 조경 및 도로포장 등 기반시설이 조성되어 쾌적한 관광지로 탈바꿈 하였으며 특히, 2003년 10월 <난고 김삿갓 문학관>이 개관되어 선생의 문학세계를 한 곳에 연구적으로 전시해 관광객들에게 교육 효과를 거양하고 있다.
김삿갓유적지내에는 소박한 서민들의 애환과 재미있는 풍자와 기교가 물씬 풍기는 조선시대 민화 500여점이 전시되어 있는 「 조선민화박물관 」과 전통 한국화가인 묵산 임상빈씨의 작품활동 공간이 동시에 150여점의 한국화와 주변 풍경을 담아 낸 수묵화가 전시되어 있는「 묵산미술관 」이 있어 가족단위 여행에 적합한 지역이며, 계곡의 맑은 물과 아기자기한 폭포수와 함께 백두대간을 등산할 수 있는 마대산(해발 1,052m)과 곰봉(해발930.3m) 등산로가 잘 정비되어 있어 등산동호인들에게 인기가 있다.

* 우리나라 최고의 풍류시인 김삿갓에 대하여 *
김삿갓의 본명은 병연(炳淵), 호는 난고(蘭皐)이다. 1807년(순조7년)3월 13일 경기도 양주군 회동면에서 출생한 김삿갓은 6세 때 조부 김익순이 선천부사로 있다가 홍경래 난을 진압하지 못하고 오히려 투항한 것과 관련하여 폐족을 당한 후 황해도 곡산, 경기도 가평, 광주, 강원도 평창등을 전전하다 영월 삼옥리(三玉里)에 정착하여 화전을 일구며 살게 되었다.조부의 행적을 모르고 자랐던 선생은 20세 때 영월동헌에서 열리는 백일장에서 “홍경래난 때, 순절한 가산 군수 정공의 충절을 찬양하고, 항복한 김익순을 규탄하라.”(論鄭嘉山忠節死 嘆金益淳罪通于天)는 시험 제목의 향시(鄕試)에서 장원을 했다. 이 소식을 들은 어머니로부터 김익순이 조부라는 것을 알게 되자 조상을 욕되게 하여 하늘을 쳐다 볼 수 없다고 삿갓을 쓰고 방랑생활을 하며 벼슬길을 포기하였다. 그후 김삿갓은 57세로 객사할 때까지 전국 각지를 떠돌아 다니면서 방랑 걸식하였다. 지친 몸으로 말년에 들른 곳이 전라남도 화순군 동복면 구암리였는데, 그곳 명소 ""적벽(赤璧)""에 매료되어 다른 곳으로 가지 않고 이 곳에서 생을 마감하였다. 훗날 그의 차남이 영월 고향 땅으로 이장하여 이곳 김삿갓묘에 안치하였다. ",영월군
