,title,addr1,mapx,mapy,firstimage,overview,addr2
0,간현관광지,강원특별자치도 원주시 소금산길 12,127.8340575,37.36462936,http://tong.visitkorea.or.kr/cms/resource/51/2531651_image2_1.JPG,"원주시에서 서쪽으로 18km 떨어져 있는 간현관광지는 남한강 지류인 섬강과 삼산천이 합쳐지는 지점에 자리한 유원지이다. 강 양쪽에 40-50m 높이의 기암괴석들이 울창한 고목, 검푸른 강물과 조화를 이루며 강변에는 넓은 백사장이 펼쳐져 있어 경관이 빼어나다. 또한, 맑은 강물이 흐르고 백사장이 넓어 여름철이면 물놀이 피서객으로 붐빈다.

★ 간현관광지의 즐길거리 ★
관광 단지 맞은편의 간현암은 37개소의 바윗길이 생겨 암벽타기를 할 수 있다. 또한 수시로 변하는 유수의 흐름과 수심의 변화로 매우 위험하여''삼산천 에서의 물놀이는 매우 각별한 주의가 필요하며, 하천에서의 야영,취사,모닥불 피우기, 낚시 등도 금지되어 있다. 간현관광지 내 소금산 등산로 입구에 있는 소금산 출렁다리는 왕복 1시간20분 정도가 걸리며 산악도보교 중 국내 최장, 최고의 규모(높이100m, 길이200m, 폭1.5m)를 자랑한다. 교랑바닥은 이용객들에게 짜릿함을 주기위한 스틸그레이팅으로 특수제작 했으며, 바닥을 내려보는 아찔함과 스릴을 온몸으로 느낄 수 있다.

★ 간현관광지의 이용코스 ★
  - 주간코스: 소금산 그랜드밸리
  - 야간코스: 나오라쇼",원주시
1,감악산(원주),강원특별자치도 원주시 신림면 황둔리,128.1500301,37.23303098,http://tong.visitkorea.or.kr/cms/resource/73/1536673_image2_1.jpg,"* 가족이 함께 등산하기 좋은 산, 감악산(원주) *

감악산(945m)은 충북 제천시 봉양읍과 강원도 원주시 신림면 경계를 이루는 곳에 위치해 있다. 보통 감악산으로 통하고 있지만 국립지리원 지도에는 감악봉으로 되어있다. 가족과 함께 여유있게 등산할 수 있어 예부터 계절에 관계없이 등산인들로부터 인기높은 등산코스이다. 아쉽게도 중앙고속도로가 비끼재와 명암리를 지나 개통되면서, 감악산 산행의 백미였던 명암리-벽련사 구간이 최근에 등산코스로서의 가치가 줄었으나 오히려 시간이 바쁜 등산객은 산행시간을 마음대로 조절할 수 있는 잇점이 있어 꾸준한 인기를 누르고 있다.

감악산 자락은 민간신앙, 천주교, 불교가 한데 자리할만큼 성스러운 곳이다. 서쪽의 신림면은 신성한 숲이라는 이름의 마을이다. 남쪽 봉양쪽에는 배론성지가 있는데, 대원군의 천주교 박해시 천주교인들이 생활하던 곳을 성지화한 곳이다. 그리고 감악산 밑에는 신라 고찰 백련사가 자리잡고 있다. 백련사는 의상조사가 창건했다고 전하는데 창건 시 아래 연못에서 백련이 피어나 이름을 붙였다고 한다. 감악산 산행 중 둘러보는 것도 좋다. 산행을 마치고 앞쪽에 위치한 매봉산장, 치악산관광농원과 송계리에 서마니강이 있어 여름 휴양지로 각광을 받는 곳에 들를 수 있다.

* 감악산의 등산코스 *

정상까지의 거리가 짧고 경사도 완만하여 산행 초보자도 쉽게 오를 수 있다. 산행기점은 백련사이다. 백련사에서 정상까지는 약 30분 걸린다. 하산은 885봉, 요부골을 거쳐 비끼재로 내려가는 길과 재사동으로 내려가는 길이 있다. 비끼재를 따라 좀 더 내려오면 가나안농군학교 앞에 이르고 학산리 국도로 나오게 된다.",원주시
2,경천묘,강원특별자치도 원주시 귀래면 미륵산길 200,127.8641739,37.1837758,http://tong.visitkorea.or.kr/cms/resource/34/484034_image2_1.jpg,"경천묘는 강원도 원주시 귀래면 주포리에 있는 경순왕의 영당이다. 귀래면의 귀래는 귀한 사람이 오셨다는 뜻으로 원주시에서 경천묘를 복원 할 때 귀래면 지명의 뜻에 따라 이곳을 복원하였다. 원주를 방문하는 관광객들은 이 경천묘를 보기위해 많이 몰려든다.신라의 마지막 왕 경순왕(재위 927~935)의 영정을 모신 영정각이다. 2008년 3월 발족한 원주시 향토유적보호위원회가 원주시향토유적 제1호로 지정하였다. 경순왕은 신라를 태조 왕건에게 넘기고, 원주 용화산(지금의 미륵산)으로 들어가 학수사와 고자암을 세웠다. 그때 한 화승이 그린 경순왕의 영정을 고자암에 모시고 제사를 지낸 것이 영정각의 시초였고, 영조13년에 이르러 경천묘라 이름 붙였다 한다. 원주시는 18세기 말부터 행방이 묘연해진 경순왕의 영정을 모사하여 다시 제작하고, 경천묘를 복원시켰다.",원주시
3,관음사·국형사계곡,강원특별자치도 원주시 행구동,128.0055204,37.34336555,http://tong.visitkorea.or.kr/cms/resource/05/194705_image2_1.jpg,"치악산국립공원과 인접한 산간계곡으로 국형사, 관음사, 보문사, 연암사 등 이름난 사찰이 소재해 있으며, 기암괴석과 청정한 계곡수 등 경관이 뛰어나 여름 피서객에게 각광을 받고있는 계곡이다.

* 인근의 문화재 및 국형사 *
관음사/국형사 계곡이 있는 행구동에는 다양한 문화재가 있다. 우선 보문사 청석탑(普門寺靑石塔:강원유형문화재 103)이 있다. 1970년경 옛  보문사 절터 위에 현재의 보문사 절을 신축하던 중 땅 속에서 출토되어 복원하였는데 1∼5층의 옥개석과 2∼4층의 탑신석, 상대갑석·하대갑석은 본래의 것이나 나머지는 당시에 새로 만들었다. 원래 보문사는 신라 경순왕 때 무착(無着)대사가 창건했다고 한다. 국형사(아랫고문절)의 위쪽이 되므로 '웃고문절'이라고도 한다.  국형사(國亨寺)는 행구동 98번지 석경 마을의 고문골에 있는데, 신라 경순왕 때 무착(無着)대사가 창건하여 고문암(古文庵)이라고 하였다 하며, 고문절·웃고문절(보문사) 아랫쪽이므로 '아랫고문절'이라고도 한다. 조선 태조때 동악신을 봉한 관계로 국형사로 불리게 되었으며, 1680년(숙종 6)에 왕명으로 중건하였으며, 1949년에 자항(慈航)대사가 중창하고 1974년에 김용호가 중수하였다.",원주시
4,구 조선식산은행 원주지점,강원특별자치도 원주시 중앙로 88,127.9514585,37.34902501,http://tong.visitkorea.or.kr/cms/resource/63/2390363_image2_1.JPG,"조선식산은행은 1918년에 설립한 특수한 은행으로, 일제강점기 일제의 경제적 침략에 큰 역할 했던 곳이다. 조선식산은행 원주지점은 2층 건물로 1934년 원주 지역에서 가장 처음 세워진 은행이다. 1943년에는 한국인 150명을 포함하여 498명의 행원을 채용하였으며, 조선총독부 산하 최대의 금융기관으로 활동해왔다. 1948년 광복 이후 일본으로부터의 자본 도입이 소멸하면서 은행업무를 제대로 수행하지 못하다가 1954년 ‘한국산업은행법’에 따라 한국산업은행으로 재출범해 오늘에 이르렀다.건물 외관은 전체적으로 좌우 대칭을 이루고 있으며, 상하로 긴 창문을 반복 배치하여 수직성을 강조하고 있다. 내부 공간은 천장을 높게 처리하고, 외벽은 인조석 질감의 몰탈 마감 등 일제강점기 은행건축이 가지고 있는 전형적인 특징을 잘 보여주는 건물이다.",원주시
5,구룡사,강원특별자치도 원주시 소초면 구룡사로 500,128.0498676,37.39950434,http://tong.visitkorea.or.kr/cms/resource/53/2391453_image2_1.jpg,"신라 문무왕 8년(668)에 의상대사가 창건한 사찰로 대웅전 자리에 9마리의 용이 살고 있는 연못을 메우고 사찰을 창건하여 구룡사(九龍寺)라 하였으나, 조선 중기에 거북바위 설화와 관련하여 현재의 명칭인 구룡사(龜龍寺)로 개칭하였다고 전해진다. 또한 『치악산구룡사사적』에 따르면 신라말의 고승 도선국사에 의해 창건되었다고 기록하고 있다. 현재는 강희45년 글자가 새겨진 와당이 출토되어 숙종 32년(1706)에 구룡사가 중건되었음을 알 수 있다. 대웅전 앞 좌우에는 서상원과 보광루, 적묵당, 심검당의 승사가 있으며 이밖에도 원통문, 국사단, 사천왕문, 범종각, 응진전 등이 있다. 절 입구에는 조선시대에 만들어진 부도군이 있고, 또 구룡사의 전설을 말해주는 거북바위와 폭포아래에 용소가 있다. 또한 조선시대에 만든 황장금표가 있는데 이것은 치악산 일대의 송림에 대한 무단벌채를 금하는 표식이다.* 구룡사 이름 속 숨어있는 전설 *의상과 아홉용에 얽힌 전설이 전해온다. 원래 대웅전 자리에는 연못이 있었다. 그 곳에는 아홉 마리 용이 살고 있었다고 한다. 의상은 치악산을 향해 가던 중 사방을 살펴보니 동쪽으로는 주봉인 비로봉이 솟아 있고, 다시 천지봉의 낙맥이 앞을 가로질은 데다가 계곡의 경치 또한 아름다워 이곳은 절을 세울만한 곳이라고 생각을 했다. 그래서 연못을 메워 절을 지으려고 용들과 도술시합을 했다. 용들이 먼저 솟구쳐 올랐다. 그러자 뇌성벽력이 치고 산들이 모두 물에 잠겨버렸다. 용들이 흐뭇해하며 주변을 살피니, 의상은 비로봉과 천지봉에 줄을 걸어 배를 매놓고 그 안에서 자고 있었다. 다음은 의상이 움직였다. 부적을 한 장 그려 연못에 넣었다. 그러자 연못이 부글부글 끓기 시작했고 용들이 뜨거워 날뛰었다. 그때 놀란 용 여덟 마리가 절 앞산을 여덟조각 내면서 동해로 도망치고, 한 마리는 눈이 멀어 함께 도망가지 못하고 못에 머물렀다. 그래서 절 이름도 구룡사(九龍寺)라 했고 한다. 세월이 흘러 절이 퇴락하게 되었고, 어느 날 한 노인이 나타나 절 입구의 거북바위 때문에 절의 기가 약해졌으니 그 혈을 끊으라 했다. 그대로 했더니 절이 더 힘들어졌고 폐사가 되려 했다. 이번에는 한 도승이 나타나 훈수를 했다. 거북의 혈맥을 끊어서 절이 쇠락해졌으니 다시 그 혈맥을 이으라는 것이다. 그래서 절 이름을 구룡사(龜龍寺)로 바꾸었다고 한다. ",원주시
6,국립 백운산자연휴양림(원주),강원특별자치도 원주시 판부면 백운산길 81,127.9421225,37.27721368,http://tong.visitkorea.or.kr/cms/resource/99/1583399_image2_1.jpg,"강원도 원주시 판부면과 충북 제천시 백운면의 경계에 위치한 해발 1,087m의 백운산 자락에 위치한 백운산자연휴양림은 사통팔달의 교통 요충지인 원주시내에서 15분, 중앙-영동고속도로와 연결되는 남원주 IC에서 10분거리에 위치하며, 원주-충주간 19번 국도와도 연하여 있어 접근성이 좋다. 백운산 정상에서 북쪽으로 흐르는 계곡을 용수골이라 한다. 용의 전설이 서린 대용소와 소용소가 있으며 울창한 숲과 맑은 물, 기암괴석이 어우러져 비경을 이룬다. 용수골의 하류는 계곡물이 넓게 흐르고 수량이 많아 사계절 가족단위 휴양공간으로 각광받아 왔다.백운산자연휴양림 내에는 다양한 수종들이 분포하고 있다. 조림목과 천연활엽수가 적당히 혼효를 이루고 있어 아름다운 원경을 제공하며, 진입로를 따라 휴양지구까지는 1.7km에 걸쳐 병꽃나무와 산벚나무가 분포하여 만개시 아름다움을 자아낸다. 휴양림내에서는 고라니와 멧돼지,너구리 등을 쉽게 목격할 수 있으며, 다양한 활엽수 금낭화, 매발톱, 노루귀 등 각양각색의 야생화가 분포하고 있다.",원주시
7,국형사,강원특별자치도 원주시 고문골길 155,128.0135005,37.33433897,http://tong.visitkorea.or.kr/cms/resource/73/484073_image2_1.jpg,"* 신라 경순왕 때의 사찰, 국형사 *
신라 경순왕 대에 무착대사에 의해 창건되어 고문암(古文庵)이라 하였고 무착대사는 이곳을 호법대도량으로 하여 불도에 정지하였다고 한다. 창건연대가 신라시대라고 하지만 이를 증명하는 당시의 유물, 유적은 현재 남아있지 않은 형편이다. 조선조 태조(太祖)가 이 절에 동악단(東岳壇)을 쌓아 동악신을 봉인하고, 매년 원주와 횡성, 영원, 평창, 정선고을의 수령들이 모여 제향을 올렸다고 한다. 한편 조선 정조의 둘째 공주인 희희공주가 병을 얻자, 절에서 백일기도를 하게 되었는데 정종(政宗)이 절을 크게 중창하였다는 전설도 있다.
1907년 벽하(壁河)와 응송(應松)이 중창하였으며 1945년 자항(慈航)이 1974년에는 김용호가 각각 중수하였다고 한다. 현존하는 건물로는 대웅전과 무애당, 관음전, 요사 등이 있으며, 진암당대선 사영주탑과 그 옆에는 망실된 부도 1기가 있다. 그리고 봄과 가을에 호국대제를 봉행하는 동악단이 있다. 대웅전은 정면 3칸, 측면 3칸이며 관음전은 정면 5칸, 측면 2칸의 8작집이다. 이 건물의 대부분은 보영(普英) 주지 스님이 최근에 중창한 것이다.

* 국형사 동악제단에 대하여 *
동악제단은 현재 원주시 행주동 국형사 (98번지) 근처에 자리해 있다. 동악단에는 조선 정종 때 공주의 신병을 치료하기 위해 이곳에서 100일 기도를 드려 동악산 신령의 가호에 의해 완치되었다는 전설이 있다. 건물은 근년에 신축한 것으로 토단만 남아있어 동악단을 지었지만 2001년 7월 뇌전으로 불에 탄 이후 10월부터 복원작업에 들어갔다. 정면 3칸, 측면 2칸 규모의 맛배집으로 좌우에는 방풍판이 있고, 주변을 돌담으로 에워싸 신단의 분위기를 자아낸다.

* 가장 오래된 부도 국형사 잔암사부도 *
잔암사 부도는 국형사 경내에 자리해 있다. 국형사에 남아있는 가장 오래된 부도로써, 석종형으로 전체 높이 1.74m의 중형부도이다. 탑신 표면에는 '진암당대선사영주탑' (晋庵堂大禪師靈珠塔)이라는 글자가 왼쪽에는 '승정삼기미사월립'이라고 기록되어 있다. 즉 이 부도가 진암당대사의 묘탑이며 조선 정조 23년(1799)에 건립된 사실을 알 수 있다.",원주시
8,금대계곡,강원특별자치도 원주시 판부면 금대리,128.0156185,37.2827894,http://tong.visitkorea.or.kr/cms/resource/87/529887_image2_1.jpg,"* 치악산국립공원 내 가장 유명한 계곡, 금대계곡 *
원주에서 간현과 더불어 가장 많은 사람들이 찾는 계곡이 금대리 계곡이다. 맞은편에는 치악산 자연 휴양림까지 자리잡고 있어 원주뿐만 아니라 경기와 서울에서도 많은 사람이 찾는 휴식공간이 된 곳이다. 원주에서 제천으로 넘어가는 옛길을 타면 우리나라에서 두 번째로 높은 철교인 백척교가 있던 자리에 시멘트로 지어진 큰 다리를 보게 된다. 이 다리 아래서 왼쪽 계곡안으로 들어서면 금대 유원지가 시작된다. 이곳은 치악산의 남쪽 자락으로 영원사와 남대봉으로 오르는 입구가 된다. 또한 치악산국립공원 내에서는 가장 이름난 계곡유원지이기도 하다.
계곡으로 들어서면 오른쪽으로 식당가를 지나 매표소와 주차장이 서 있고 주차장 옆으로 오토캠핑장 시설이 잘 갖추어져 있다. 여름 피서 기간이 아니라면 차를 가지고 영원사까지 들어갈 수 있다. 매표소 안쪽으로 들어가면 여관이 크게 보이고 여관을 돌아 서면서부터 본격적인 계곡풍경이 펼쳐진다. 크고 작은 바위들이 계곡주변으로 즐비하게 박혀있어 발 담그고 쉬기에는 더없이 좋은 곳. 거기다 대부분 얕은 개울이어서 아이들이 놀기에도 딱 좋은 계곡이다.
계곡 초입 청운산장 아래의 작은 폭포 앞에서 잠시 숨을 고르고 오르다 보면 가끔씩 산촌농가가 보이고, 소쩍새 소리가 정적을 깨기도 한다. 조금 더 오르면 ‘소쩍새마을’이 나온다. 소쩍새마을 위에 금대계곡의 마지막 민박이 있다. 민박 바로 지나서 작은 갈림길이 나오는데, 오른쪽 길을 택하면 영원사를 지나 남대봉에 오르는 길이다. 중간 능선 갈림길에서 상원사를 거치는 길과 남대봉으로 바로 오르는 갈림길이 하나 더 나오는데, 어느 쪽으로 가나 시간 차이는 30분 내외다.

* 금대계곡 주변의 볼거리 *
금대계곡을 따라 오르면서 가장 먼저 만나는 유적이 영원사. 영원 산성을 수호하기 위해 의상조사가 창건한 고찰이다. 영원사에서 왼쪽길로 오르면 영원산성이 있다. 시간 여유가 있다면 영원산성도 들러볼 만하다. 신라 문무왕 때에 북방 방위를 위해 쌓았다고 전해지는데, 6.25때 까지도 중요한 방어진지 였다고 한다. 성 안에는 크고 작은 우물 5~6개가 있다. 영원사에서 울창한 숲길을 따라 1시간 정도를 오르면 상원사에 닿는다. 금대리에는 세계적으로 유일하게 기차철로가 굴속에서 한번 회전하여 고도를 높여가는 또아리굴이 있는데, 이를 회전글, 회전터널, 회륜굴이라고 하며, 그 속에 종유동굴이 있어 관광지 개발 잠재력을 가지고 있다.",원주시
9,돼지문화원,강원특별자치도 원주시 지정면 송정로 130,127.8687369,37.3915991,http://tong.visitkorea.or.kr/cms/resource/86/2603186_image2_1.bmp,"아주 오래전부터 다복의 상징으로 여겨진 돼지는 기쁠 때나 슬플 때나 서민들의 배 뿐만 아니라 마음까지 채워주는 우리 생활 속에 아주 가깝게 자리 잡고 있는 동물입니다. 이러한 돼지를 음식으로 만이 아닌 보고, 듣고, 즐길 수 있도록 설립한 장소가 ""돼지문화원"" 입니다. 돼지문화원은 전국 최초로 돼지를 컨셉으로 가족, 친구, 연인 누구나 함께 즐길 수 있는 레저, 숙박, 교육, 쇼핑 공간을 갖춘 멀티 복합문화 공간입니다. 아이들에게는 꿈과 희망을 주고, 어른들은 낭만을 즐길 수 있는 특별히 꾸며진 공간입니다.",원주시
