,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가리왕산,강원특별자치도 정선군 정선읍 가리왕산로 707,128.5634778,37.4618263,http://tong.visitkorea.or.kr/cms/resource/87/1690887_image2_1.jpg,"정선읍 회동리, 북평면 숙암리에 위치하면 우리나라의 명산으로 널리 알려진 가리왕산은 각종 수목이 울창하고 산삼을 비롯한 약초, 산나물이 풍부하다. 청명한 날에는 정상에서 동해바다를 관망할 수 있으며, 회동계곡의 깨끗한 물과 가리왕산 자연휴양림의 통나무집의 숙박이 오는 이들의 발길을 붙잡는 곳이다.
(해발 1561.85m) 회동계곡은 용탄천의 발원지며 맑은 물에는 천연기념물인 열목어가 서식하고 있고 주변에는 봄에는 철쭉이 만발하고 가을에는 단풍, 겨울에는 백설의 은세계를 이루어 4계절 장관을 이루고 있으며 1993년부터 회동계곡에 휴양림이 조성되어 있으며 통나무집, 야영장, 캠프화이어장 등 각종 편의시설이 갖추어져 하계휴양지로서 크게 각광을 받고 있는 지역이기도 하다.
또한, 맑은 계곡으로는 북평면 항골계곡과 북면 자개골의 경치도 가히 견줄 만하다. 가리왕산 8경이 전해질 만큼 경관이 수려하고, 활엽수 극상림이 분포해 있으며, 전국적인 산나물 자생지로 유명하다. 특히, 백두대간의 중심으로 주목군락지가 있어 산림유전자원보호림과 자연휴양림으로 지정되는 등 경관·생태적으로 가치가 큰 점에서 산림청 100명산 중 하나로 선정되었다.",정선군
1,개미들마을,강원특별자치도 정선군 남면 광락로 354,128.6927566,37.31902024,http://tong.visitkorea.or.kr/cms/resource/95/2731295_image2_1.jpg,"개미들마을은 지장천(동남천)이 굽이쳐 흐르는 마을이다. 물이 맑고 산세가 빼어나다. 마을사람들 역시 자연을 닮았다. 마을 지명 낙동리는 ‘여민동락(與民同樂)‘에서 왔다. 마을 사람들이 서로 돕고 살았다는 의미다. 또 다른 이름 개미들 역시 마을 주민이 개미처럼 부지런하다는 뜻이다. 지금도 마을사람들이 한데 어울려 유기농법으로 농사를 짓고, 도시의 어린이와 가족들에게 농촌 체험의 기회를 제공하고 있다. 대표적인 체험 프로그램은 떡공예체험, 맨손숭어잡기체험, 수공예체험 등이 있다. 떡공예는 푹 쪄낸 맷쌀에 색소를 넣어 재미난 떡을 만드는 체험이다. 꽃, 나비, 당근 등 아이들의 상상력에 따라 다양한 모양의 떡이 만들어진다. 맨송송어잡기체험은 마을 계곡에서 맨손으로 송을 잡고 직접 송어회, 튀김 등을 만들어 시식한다. 물론 파종이나 수확체험 등 계절별 농사를 체험할 수 있는 기회도 있다. 여러 가지 체험을 한꺼번에 즐기고 싶을 때는 패키지프로그램을 이용해 복수의 체험프로그램을 한꺼번에 경험하는 것도 방법이다. 숙박시설도 다양하다. 동화 속 집을 닮은 노래하는베짱이(아토피팜션), 전통한옥으로 지은 선비촌(개미들전통한옥), 숲 속의 솔향기캠핑장 등이 있어 하루를 묵어가며 잠시나마 마을사람처럼 살아볼 수 있다. 일부 체험은 일정 인원 이상이어야 진행하므로 미리 문의한 후 방문하는 게 좋다.",정선군
2,고고산,강원특별자치도 정선군 신동읍 고림길,128.5854691,37.22310979,http://tong.visitkorea.or.kr/cms/resource/86/175586_image2_1.jpg,"고고산은 영월군 중동면 연상리와 정선군 신동읍 고성리와 경계를 이루는 곳에 솟은 산으로 아름다운 미구(美九)마을을 품고 있다. 영월에서 석항방면 38번 국도를 따라가면 연하역을 못미쳐 철도밑으로 콘크리트 포장도로가 나오는데 이 길을 따라 다리를 건너면 복덕원 마을에 도착한다. 이 곳에서 골안으로 이어진 비포장 광산길을 따라 20여분 거리에 이르면 석회석 채광을 하였던 광산터에 도착한다.광산터를 지나 작은 계곡 옆 북쪽으로 난 길을 따라 고도감을 높이면서 20여분 힘들 게 오르면 능선 안부에 이른다. 이 길을 넘어서면 길운 마을로 가는 길이고 좌측은 완택산으로 가는 등산로이다.안부에서 동쪽 방면으로 난 길을 따라 작은 암봉을 올라서면 921봉이 뾰족하게 솟아 고고산으로 이어지는 주능선이 한 눈에 들어온다. 이 암봉에서 동쪽방면으로 내려서서 급경사길을 20여분 올라가면 동쪽사면이 절벽으로 이루어진 봉우리에 도착한다. 이 곳에서 좌측으로 암봉을 내려서서 절벽 밑을 우회하는 길을 따라 내려서면 입석같이 보이는 바위를 우회하여 조금은 힘들 게 20여분 올라서면 921봉에 도착한다.921봉 동쪽으로 까마득한 절벽으로 이루어진 발아래 38번 국도와 연하천이 실날같이 내려 보인다. 921봉에서 북쪽방면으로 이어진 부드러운 능선길을 따라 30여분 가면 고고산 정상이다. 30여평 넓이의 헬기장으로 이루어진 정상은 사방나무가 가로막혀 조망이 좋지 않다. 하산길은 정상에서 동쪽 능선을 타고 잠시 벗어나면 암릉지대를 만난다.이 암릉지대에서는 미구마을로 이어지는 능선에 헬기장이 내려보이고 목장의 초원지대로 이루어진 미구마을의 푸른 초원이 시야에 들어오고 , 멀리 고고산의 모산인 두위봉과 남쪽으로는 망경대산, 응봉산, 계족산으로 이루어지는 능선이 하늘금을 그리고 있다. 암릉지대를 벗어나 10여 분 내려서면 헬기장에 도착한다. 철쭉과 진달래나무가 군락을 이룬 능선을 따라 30여분 거리에 이르면 작은 돌탑이 서 있는 미구치에 당도한다. 미구치에서 남쪽으로 난 길로 내려서면 목장지대가 나타나고 수레길을 따라 20여분 내려서면 미구마을 계곡에 도착하고 , 이 길을 따라 30여 분 내려오면 38번 국도와 만나는 미구계곡 초입이다.",정선군
3,구미정,강원특별자치도 정선군 임계면 봉산리,128.8263955,37.47323559,http://tong.visitkorea.or.kr/cms/resource/11/1824811_image2_1.jpg,"면 소재지에서 6km 떨어진 봉산리에 위치하고 있는 구미정은 조선 숙종 때 공조 참의를 역임한 수고당 이자선생이  관직을 사직하고 정선에 내려와 은거생활 중 휴양하던 곳으로 주변에는 9가지 특색의 절경과 4km 정도의 계곡이 형성되어 있고, 구미 정자에 앉아 언덕 아래의 9가지 자연 경관을 한 눈에 바라볼 수 있어 보는 이로 하여금 감탄을 자아낸다.* 9가지 美 어량, 전주, 반서, 층대, 평암, 등담, 취벽, 열수, 석지1) 어량 - 폭포에 물고기가 위로 올라가기 위해 비상할 때, 물 위에 삿갓(통발)을 놓아 잡는 경치2) 전주 - 밭두둑 (전원경치)3) 반서 - 넓고 평평하게 된 큰 돌4) 층대 - 층층이 된 절벽5) 석지 - 구미정 뒷편 반석위에 생긴 작은 연못의 경치6) 평암 - 넓고 큰 바위7) 등담 - 정자에 등불을 밝혀 연못에 비치는 경치8) 취벽 - 구미정 앞 석벽 사이에 있는 쉼터의 경치9) 열수 - 구미정 주변 암벽에 줄지어 있는 듯이 뚫려 있는 바위구멍의 아름다움",정선군
4,국립 가리왕산자연휴양림,강원특별자치도 정선군 정선읍 가리왕산로 707,128.5700394,37.42684713,http://tong.visitkorea.or.kr/cms/resource/18/582618_image2_1.jpg,"갈왕(葛王)이 피신하였다하여 갈왕산이라 명명된 후, 일제강점기를 거치면서 가리왕산으로 불리어진  해발 1,561m의 가리왕산은 상봉, 중봉, 하봉, 청옥산, 주왕산을 거느린 거대한 육산으로 태백산맥의 지붕 역할을 하고 있으며 경사도가 완만하여 등산로로 유명하다. 산 능선에는 고산식물인 주목, 잣나무, 단풍나무, 갈참나무, 박달나무, 자작나무 등 각종 수목이 울창하며 산삼 등 많은 산약초가 자생하고, 회동리 입구에는 자연휴양림이 조성되어 각종 편의시설이 설치되어 있고,  등산로 산행시간은 총 7시간 정도 소요된다. 숙암방면 입구는 약 4km 구간에 철쭉이 밀집 자생하고 있다.

청명한 날에는 정상과 중봉에서 동해바다를 관망할 수 있으며,품질이 좋은 재래봉의 산지로 유명하다. 또한 가리왕산 자연휴양림은 가리왕산에서도 골짜기가 가장 깊은 남쪽, 회동계곡에 마련되어 있는 총 9,449ha의 광대한 면적을 자랑하는 휴양림이다. 휴양림 내에 여러가지 시설도 잘 되어 있지만 가장 눈에 띄는 것은 계곡을 따라 숲속으로 호젓하게 난 산책로이다. 숲길은 두사람이  나란히 걸을 만큼 좁고 호젓한데, 위로는 하늘이 보이지 않을 정도로 울창하고 공기가 상쾌하다. 산 하부는 소나무림을 비롯하여 잘 가꾸어진 인공림이  질서정연하게 배치되어 있고 정상부로 오를수록 희귀수목인 주목, 마가목, 음나무 등이 다량 분포되어 있으며 고급 산나물 및 야생화가 전국적으로 유명한 명산이다.

 * 구역면적 - 9,372 ha",정선군
5,기우산(정선),강원특별자치도 정선군 정선읍 용담길 102-22,128.6746431,37.3589514,http://tong.visitkorea.or.kr/cms/resource/29/175629_image2_1.jpg,"평생 마르지 않는 기우산(869.9m) 약수물과 기우산성, 석이바위 전망대에서 보는 비봉산은 마치 봉황이 날아와 앉는 형국이다. 또한, 정상에서 보는 정선읍 전경은 아름답다. 옛날 기우제를 지냈던 곳으로 기우산성은 애산성과 함께, 정선 고을 사수를 위해 중요한 곳으로 사시사철 등산을 즐길 수 있다.",정선군
6,덕산기 계곡,강원특별자치도 정선군 정선읍,128.7195971,37.36955382,http://tong.visitkorea.or.kr/cms/resource/23/1311523_image2_1.jpg,"덕산기는 총연장 12km로 100m 이상 되는 층암절벽(뼝대) 병풍으로 둘러싸여 있으며, 중간부에 은둔의 땅인 덕산기 마을, 대자연의 정취를 느낄 수 있는 상류는 100m 이상 되는 울창한 낙엽송지대와 바위너래지대를 형성하며, 옥빛 자갈위로 맑고 깨끗한 물이 흐르는 수려한 자연경관을 가지고 있다.",정선군
7,덕우리체험마을,강원특별자치도 정선군 정선읍 백오담길 27,128.7140868,37.35975762,http://tong.visitkorea.or.kr/cms/resource/65/2733765_image2_1.jpg,"덕우리체험마을은 ‘자연에 기대어 살아가는 마을’이다. 정선 동계 12경 중 8경에 속할 만큼 자연 풍경이 빼어나다. 물 맑은 어천과 기암절벽인 석봉은 마치 신선이 사는 세계인 양한다. 그 천혜의 자연이 알음알음 소문나며 tvN <삼시세끼>, MBC <아빠 어디가?>등을 촬영했다. 영화배우 원빈과 이나영이 스몰웨딩을 올린 곳도 덕우리다. 물론 각종 촬영지 이전에 가족 단위 농촌 체험 마을로 먼저 알려졌다. 덕우리체험마을의 체험 프로그램은 야외활동체험, 공예체험, 음식체험 등으로 나뉜다. 특히 여느 농촌 마을과는 다른 톡톡 튀는 아이디어가 돋보인다. 야외활동체험은 덕우리 어천에서 이뤄지는 황금물고기 낚시, 어항체험 등과 더불어,  마그누스 효과를 이용한 종이컵비행기 만들기, 드론강사와 함께하는 드론체험이 눈길을 끈다. 음식체험은 꽃바람떡이나 도토리묵을 만드는 체험 외에, tvN <삼시세끼>처럼 맷돌로 원두를 갈고 커피를 내리는 맷돌커피 바리스타 체험, 커피로 전통 양갱을 만드는 커피양갱만들기 체험 등이 있다. 공예체험 역시 옥수수 섬유로 만든 양말에 패브릭 마카로 그림을 그려 만드는 옥수수 양말 꾸미기가 인기다. 중식을 포함한 당일 프로그램이나 1박2일, 2박3일 프로그램도 있어 하루를 묵어가며 자연과 좀 더 가까워지는 시간도 가져볼 수 있다.",정선군
8,도롱이연못,강원특별자치도 정선군 사북읍 사북리 산 155-3,128.814541,37.19737823,http://tong.visitkorea.or.kr/cms/resource/50/2774050_image2_1.jpg,"도롱이 연못은 1970년대 석탄을 캐던 갱도가 지반 침하로 주저앉으면서 만들어진 생태연못이다. 도롱이란 이름은 화절령 일대에 살고 있던 광부 아내들이 이곳 연못의 도롱뇽이 살아있으면 남편도 무사할 거라는 믿음으로 기도했던 데서 유래했다. 고지대에 자리해 더욱더 신비로운 풍경을 간직한 도롱이 연못은 노루와 멧돼지 같은 야생동물들의 쉼터이자, 계절마다 갖가지 야생화가 만발하는 천상의 화원이기도 하다. 연못 둘레에는 키가 큰 나무들이 즐비해 때 묻지 않은 자연과 상쾌한 숲의 공기까지 함께 즐길 수 있다. 도롱이 연못은 구름 위로 걷는 길, 운탄고도와도 연결된다. 운탄고도는 석탄 산업이 활발했던 당시 채굴한 석탄을 나르기 위해 트럭들이 지나던 길로 해발 1,100m의 고지와 능선을 걷는 색다른 경험을 즐겨볼 수 있다.",정선군
9,도사곡휴양림,강원특별자치도 정선군 사북읍 지장천로 436-27,128.7957168,37.22668006,http://tong.visitkorea.or.kr/cms/resource/88/1822288_image2_1.jpg,"자연 청정지역인 사북 두위봉 자락에 자리 잡고 있는 곳으로 시원하게 트인 두위봉의 계곡 위로 아늑한 분위기를 연출하는 통나무 형태의 방과 가족이 함께 즐길 수 있는 주방시설과 거실을 지닌 독립 별장형 통나무 집이다. 1급수의 맑은 물이 흐르는 계곡에서 훼손되지 않은 아름다운 자연 그대로를 만끽할 수 있다. 철쭉과 산나물로 유명하여 등산객들이 끊이지 않고 오르며 두위봉 자락에 위치한 도사곡휴양림 펜션에서의 하룻밤은 결코 잊을 수 없는 추억이 될 것이다. 또한, 도사곡 주변에는 화암약수, 화암동굴, 동강, 정암사 등 정선의 여러 관광명소가 인접해 있으며, 도사곡 휴양림에서 휴식을 취하며 국내 최고의 카지노와 자연을 만끽할 수 있다.",정선군
