,title,addr1,mapx,mapy,firstimage,overview,addr2
0,검룡소 (강원고생대 국가지질공원),강원특별자치도 태백시 창죽동,128.9354542,37.23061007,http://tong.visitkorea.or.kr/cms/resource/86/2480186_image2_1.jpg,검룡소는 용신이 사는 못이라 하여 붙여진 이름으로 한강은 이곳에서 발원되어 서해로 흘러간다. 검룡소에서 솟아오른 물살이 석회암을 침식시켜 돌개구멍을 만들어 암반 위를 용이 기어가듯 흘러내린다.검룡소 지역의 계곡은 석회암으로 이루어져 있다. 석회암은 빗물에 잘 녹아서 지하에는 동굴이 만들어진다. 검룡소에서 흘러내리던 계곡물이 바닥에 만들어진 작은 동굴로 스며들어 지하수가 되어 흐르다가 지하통로가 막히면 다시 지표면으로 솟아올라 계곡수가 되어 흐르고 있다.검룡소의 암석에는 금이 가있는데 이 금을 층리라고 한다. 강하게 흘러내리는 물살은 규칙적으로 약한 층리면을 따라 암석이 부서지게 해서 계단식의 통로를 만들게 되었다. 통로의 모양이 동그랗게 파여져 있다. 석회암 지역의 강이나 계곡에는 이렇게 동그란 구멍이 잘 나타난다. 석회암 바닥의 작은 틈으로 모래와 자갈이 들어가서 빠르게 흘러내리는 물과 함께 소용돌이 치면서 암석을 깎아 이런 돌개구멍(포트홀)이 만들어진다.<출처 : 강원고생대 국가지질공원>,태백시
1,구문소 (강원고생대 국가지질공원),강원특별자치도 태백시 동태백로 11,129.0395323,37.09499988,http://tong.visitkorea.or.kr/cms/resource/06/2611506_image2_1.jpg,"천연기념물로 지정된 구문소 전기 고생대 지층 및 하식지형은 약 5억~4억4천만년 전인 전기 고생대 오르도비스기의 막골층(석회암)과 직운산층(셰일)이 드러나 있는 곳으로 막골층에는 건열, 물결흔, 스트로마톨라이트, 새눈구조, 생교란작용, 소금흔, 석고흔, 습곡 등의 퇴적구조가 잘 발달해 있으며 직운산층에는 삼엽충류, 완족류, 두족류, 복족류, 필석류 등 다양한 화석이 대량 산출 되고 있다. 태백 구문소는 한반도의 지사(20~5억년)를 유일하게 관찰할 수 있는 국내 최고 지질학의 보고지이다.<출처 : 강원고생대 국가지질공원>",태백시
2,구문소마을,강원특별자치도 태백시 사군드리길 7,129.0380047,37.09329449,http://tong.visitkorea.or.kr/cms/resource/12/2610112_image2_1.bmp,"태백의 남쪽 관문이자 강원도의 최남단 접경지로서 천혜의 명소 구문소(자연유산 제 417호)에 접해있는 역사 깊은 촌락이다. 옛 지명 퉁점마을에서 유래한 동점이라 불리다가 근래 새농촌건설운동을 계기로 ‘구문소마을’로 이름짓고 건강한 자립공동체 마을로 가꾸어가고 있다.예약을 통해 마을숙박 및 고추장담그기, 과즐만들기 등 여러 체험이 가능하다.",태백시
3,금대봉야생화 군락지,강원특별자치도 태백시 창죽동 산 1-1 삼수동 일대,128.935521,37.22521903,http://tong.visitkorea.or.kr/cms/resource/89/2658989_image2_1.jpg,"한반도 등줄기를 이루며 힘차게 남하하던 백두대간은 두타, 청옥, 덕항산을 지나 매봉산(천의봉)에서 낙동정맥을 갈라놓고 다시 힘을 모아 금대봉(1418.1m)으로 불끈 솟구친다. 금대봉은 이웃의 대덕산과 더불어 태백시가 자랑하는 식물의 보고로 유명하다.(18과 480여종의 식물이 자생 - 자연생태계 보전지역)『봄이면 보도 듣도 못한 꽃들의 향연이 늦가을 까지 숨 가쁘게 이어지고 여름엔 바람과 구름이 머물고 가을이면 현란하지는 않지만 애잔한 단풍이 맑은 물에 떠가고 겨울이면 은색의 나라가 된다.』해서 이 산은 산행뿐 아니라 검룡소를 둘러보고 다양한 꽃과 식물을 촬영하려는 생태 탐방객들이 즐겨 찾는 곳이다.",태백시
4,금천골 석탄층,강원특별자치도 태백시 금천길 93-24,128.9969915,37.09881528,http://tong.visitkorea.or.kr/cms/resource/05/2917605_image2_1.jpg,"1928년 일본인 지질기사에 의해 태백시에 가장 먼저 석탄이 발견된 지역으로 석탄이 지표면에 노출되어 있어 비가오면 개천물이 검게 되어 거무내 또는 검천이라 불리었다. 금천골 지역은 고생대 석탄기의 만항층, 만항층을 정합으로 덮고 있는 금천층, 금천층을 부정합으로 덮고 있고생대 페름기의 장성층, 장성층을 정합 또는 부정합으로 덮고 있는 함백산층으로 구성되어 있다. 금천골 도로 절개면에는 고생대의 석탄층과 식물화석, 당시에 생성된 퇴적암의 지질상을 관찰할 수 있다.
<출처 : 국가지질공원>",태백시
5,매봉산풍력발전단지(바람의 언덕),강원특별자치도 태백시 매봉산길 206,128.9702237,37.21658736,http://tong.visitkorea.or.kr/cms/resource/23/2773223_image2_1.jpg,"백두대간에 낙동정맥이 분기하는 매봉산은 천의봉(하늘 봉우리)이라고도 하며 남한강과 낙동강의 근원이 되는 곳이다.  태백의 산들이 두루 들어오는 탁 트인 전망과 거대한 풍력발전단지, 산아래부터 정상 근처까지 펼쳐진 40만여 평의 고랭지채소밭이 어우러져 장관을 이룬다.",태백시
6,삼방동전망대,강원특별자치도 태백시 삼방1길 2-28,129.0382401,37.11527252,http://tong.visitkorea.or.kr/cms/resource/01/2612401_image2_1.bmp,"철암역 건너편 삼방동 언덕에 있는 전망대로 철암역과 역두선탄장, 철암역사촌 전경을 한 눈에 조망할 수 있는 곳이다.삼방동은 다닥다닥 붙어있는 집들 사이로 좁은 골목길이 미로처럼 얽혀있는 달동네인데, 건너편 철암역사촌 까치발 건물과 더불어 사람은 넘치고 주택이 부족했던 광산촌 전성기를 짐작하게 한다.",태백시
7,삼수령,강원특별자치도 태백시 된각길 81,128.9869388,37.22061499,http://tong.visitkorea.or.kr/cms/resource/49/2719849_image2_1.jpg,"백두산에서부터 뻗어내린 백두대간은 태백시의 중심부에 이르러 서쪽으로 방향을 틀면서 동남쪽으로 낙동정맥을 분기한다. 이로 인해, 우리나라에서는 유일하게도 삼해로 물길을 가르는 분수령을 이루는 이곳이 삼수령(일명 피재)이라고 한다.삼수령의 높이는 약 935m. 태백시내(평균 해발 700m)에서 35번 국도를 타고 오를 때는 잠깐 사이에 정상에 이르러 그 높이를 실감할 수 없으나 정상 부근에서 동쪽으로 가파른 절벽과 확 트인 절경은 지나는 이들로부터  절로 발길을 멈추고 감탄을 자아내게 만든다.삼수령에서 북류하는 골지천은 정선 아우라지를 거쳐  남한강을 이루어 황해에 이르게되며 남류하는 황지천은 우리나라에서 유일한 천천동굴(하천수가 바위를 뚫어 생긴 동굴)인 구문소를 거쳐 낙동강을 이루어 남해에 이르며  동류하는 오십천은 청정해역 동해에 이른다.『하늘이 열리고, 우주가 재편된 아득한 옛날 옥황상제의 명으로 빗물 한가족이 대지로 내려와 아름답고 행복하게 살겠노라고 굳게 약속을 하고, 하늘에서 내려오고 있었다.이 빗물 한가족은 한반도의 등마루인  이곳 삼수령(三水嶺)으로 내려 오면서 아빠는 낙동강으로, 엄마는 한강으로, 아들은 오십천강으로 헤어지는 운명이 되었다.한반도 그 어느 곳에 내려도 행복했으리라. 이곳에서 헤어져 바다에 가서나 만날 수 밖에 없는 빗물가족의 기구한 운명을 이곳 삼수령만이 전해주고 있다.』한편 삼수령은 피재라고도 불리웠는데,  이는 옛날부터 황지지역은 도참설에 의해 ""이상향"" 으로 여겨져서 시절이 어수선하면 삼척지방 사람들이 난리를 피하기 위해 이 재를 넘어 피난을 온 고개라는 뜻에서 유래 되었다.",태백시
8,오로라파크,강원특별자치도 태백시 통리길 72,129.0385133,37.1736325,http://tong.visitkorea.or.kr/cms/resource/54/2773954_image2_1.jpg,"오로라 파크는 철도 유휴부지 활용 관광 자원화 사업의 일환으로 폐역인 통리역에 조성된 문화체험공원이다. 약 2km 떨어진 통리 탄탄파크와 통합으로 운영된다. 파크 내에선 갱차도 체험할 수 있는데, 두 사람이 번갈아 가며 손잡이를 위아래로 움직이면서 이동한다. 백두대간 및 동해안 지역의 산세를 조망할 수 있는 눈꽃 전망대는 높이 49.2m로 태백시 유일의 타워 전망대다. 태백의 밤하늘을 주제로 꾸며져 있으며 해발 680m에 지어진 통리역의 특성에 맞춰 미국 파이크스 피크역, 호주 쿠란다역, 중국 탕구라역 등 세계 5국의 고원 역사를 소개하는 콘텐츠도 소개한다. 전망대는 걸어서 혹은 엘리베이터로 이용할 수 있다. 눈꽃 전망대를 제외한 고원 역사 콘텐츠와 공원은 무료로 이용할 수 있으며, 색색깔 조명이 켜지는 오로라 파크의 야경도 아름답다.",태백시
9,용연동굴 (강원고생대 국가지질공원),강원특별자치도 태백시 태백로 283-29,128.9418876,37.20893213,http://tong.visitkorea.or.kr/cms/resource/85/2494985_image2_1.jpg,강원도기념물로 지정된 용연동굴은 석회암지층으로 국내 최고(最高)지대에 위치한 건식 자연석회동굴이며 내부에는 긴다리장님좀먼지벌레 등 진귀한 생물 38종이 서식하고 있다 인근 생태경관보전지역인 대덕산금대봉은 천상의 화원이라 불리는 야생화가 장관을 이루고 있다.<출처 : 강원고생대 국가지질공원>,태백시
