,title,addr1,mapx,mapy,firstimage,overview,addr2
0,감자꽃 스튜디오,강원특별자치도 평창군 평창읍 고길천로 105,128.4388807,37.36885132,http://tong.visitkorea.or.kr/cms/resource/00/2531500_image2_1.jpg,"감자꽃 스튜디오는 옛 산촌폐교(노산분교) 건물을 재생한 소규모 복합문화공간이다. 다양한 장르의 창작 연구활동이 이어져 왔으며, 문화향유의 공간과 워크숍과 관람등의 장소로 쓰이고 있다.",평창군
1,강따라 방림 가는길,강원특별자치도 평창군 대화면 가평로 181-8,128.458657,37.44968403,http://tong.visitkorea.or.kr/cms/resource/98/2798998_image2_1.JPG,"굽이치는 대화천과 자연 그대로의 모습을 간직하고 있는 금당계곡이 합류된 평창강을 따라 고봉과 절벽이 조화된 멋진 경관을 연출하고 있는 구간으로 주변경관을 조망하며 강변을 따라 걷는 길이다. 특히, 제3구간은 제방길과 강변길로 이루어져 있어 자전거 투어를 즐기기에 더 없이 좋은 곳이다. 주변의 산과 계곡에서 불어오는 시원한 바람을 가르며 자연의 정취와 멋진 풍경을 가슴에 담을 수 있는 길이다.",평창군
2,계방산(평창),강원특별자치도 평창군 용평면 운두령로 1243,128.444545,37.70715122,http://tong.visitkorea.or.kr/cms/resource/63/1172063_image2_1.jpg,"해발 1579.1m 의 계방산은 태백산맥의 한줄기로 동쪽으로 오대산을 바라보고 우뚝 서 있으며, 한라, 지리, 설악, 덕유산에 이은 남한 제 5위봉이다. 계방산 서쪽에는 남한에서 자동차가 넘는 고개로서는 꽤나 높은  운두령(해발 1,089m)이 있으며, 북쪽에는 수미상의 반달곰이 서식한다는 깊은 골짜기 을수골이 있고, 남쪽에는 몸에 좋다는 방아다리 약수와 신약수 등 약수가 두 곳이나 있다.계방산은  각종 약초와 야생화가 자생하는 곳으로, 특히 산삼이 유명하여 사철 심마니들이 모여드는 곳이기도 하다. 또한 이산에는 회귀목인 주목, 철쭉나무들이 군락을 이루며 자라고 있는 곳으로 산세가 설악산 대청봉과 비슷하며, 이 일대가 생태계 보호지역으로 지정될 만큼 환경이 잘 보호되어 있는 곳이다.계방산은 겨울철에만 만끽할 수 있는 환상적인 설경이 이른 3월 초순까지 이어져 등산인들에게 인기를 더하고 있다. 여기에다 어지간한 산 높이에 해당되는 해발 1,089m의 운두령에서 정상까지 표고차가 488m에 불과하기 때문에 크게 힘들이지 않고도 오를 수 있다는 장점을 가지고 있다. 이 산 정상에 오르면  백두대간 등줄기를 한 눈에 볼 수 있어  인근에서는 최고의 전망대로  손꼽히는데 북쪽으로 설악산, 점봉산, 동쪽으로 오대산 노인봉과 대관령, 서쪽으로 회기산과 태기산이 파노라마를 연출한다.",평창군
3,고랭길,강원특별자치도 평창군 봉평면 태기로 254-1,128.336278,37.58034994,http://tong.visitkorea.or.kr/cms/resource/40/2798940_image2_1.JPG,"고랭길은 표고 600m 이상의 높고 한랭한 고랭지인 평창의 특성을 살려 부르는 이름이다.고랭길은 휘닉스파크 앞에서 시작하여 작은 산을 넘고 숲길을 따라 걸으며 삼림욕을 즐기며 메밀꽃 피는 봉평으로 이어지는 길이다.
오르막과 내리막을 반복하는 코스로 울창한 숲으로 뒤덮여 자연과 함께하는 즐거움이있고 흙길이어서 걷기에도 무리가 없는 곳이다.고랭길 끝자락에는 이효석 문학의 숲이 조성되어 있고 소설‘ 메밀꽃 필 무렵’의 실제 무대인 봉평 효석문화마을까지 이어진다. 옛날 봉평장이 서는 날이면 면온에서 봉평까지 이 길을 넘기도 했다고 한다.",평창군
4,고랭지만두체험.휴양마을,강원특별자치도 평창군 대관령면 갈골길 33-5,128.6919648,37.69032181,http://tong.visitkorea.or.kr/cms/resource/78/2798278_image2_1.png,"청정지역인 해비 700 평창 중에서도 2018년 동게올림픽 개막식을 치룬 대관령지역에 위치한다.고랭지채소, 씨감자 생산지이다. 맑은 공기와 푸르름, 겨울이면 하얀 눈 속에서 몸과 마을을 쉬고 건강한 먹거리로 즐거운 여행을 할 수 있다. 영동고속도로 횡계 IC에서 3분, 수도권으로부터 2시간 30분, 강릉까지는 20분, Ktx진부역과 10분거리로 접근성이 좋다.",평창군
5,고마루 카르스트,강원특별자치도 평창군 미탄면 고마루길 2,128.5054628,37.29969389,http://tong.visitkorea.or.kr/cms/resource/62/2770462_image2_1.jpg,"미탄면에서 42번 국도를 타고 정선방면으로 2.8㎞ 이동한 후 백운삼거리에서 우회전, 기화리 방면으로 1.4㎞ 직진하면 한탄3교가 보이는데 여기서 우회전하여 2.8㎞ 더 간 후, 작은 사거리에서 좌회전하여 임도로 2.3㎞ 이동하면 고마루 카르스트 지대가 나온다. 고마루카르스트는 고마루길의 주변에 분포하고 있다.고마루 지역은 영월형 조선누층군 영흥층의 암회색 괴상 석회암층 위에 수십 기의 돌리네와 우발라, 대형의 싱크홀이 분포하며, 주변에는 천연동굴이 있는 등 약 2㎢ 규모의 국내 대표적인 카르스트 지대이다.카르스트란 석회암 지역에 발달하는 용식 지형, 즉 빗물이나 지하수 따위에 의하여 암석, 광물, 토양 등이 용해되고 침식되어 이루어진 특수한 지형을 말한다.이곳은 석회암(하부 고생대 오르도비스기의 영흥층)이 분포하고 재치산(750.9m) 남쪽의 산꼭대기에 있는 편평한 지대에 발달한다.
재치산 남사면 고마루 일대는 해발고도 530~750m의 산간지대로, 빗물이나 지하수에 석회암이 녹으면서 만들어지는 아주 독특한 지형이다.석회암이 녹아 웅덩이 모양으로 만들어지는 돌리네, 그리고 두 개 이상의 돌리네가 합쳐져서 형성된 우발라, 지하에 만들어지는 석회동굴 등이 나타난다.",평창군
6,광천선굴어드벤처테마파크,강원특별자치도 평창군 고대동길 119,128.4516722,37.51882592,http://tong.visitkorea.or.kr/cms/resource/13/2987913_image2_1.jpeg,"강원도 평창군 대화면 대화리에 위치한 광천선굴은 전체 규모는 850m이며 주굴(주요통로) 330m, 지굴(가지처럼 뻗어진 통로) 520m로 전국 개방동굴들 가운데 중상위 그룹에 속하며 평창군에서는 백룡동굴(약1.8km)과 섭동굴(약1.4km) 다음으로 큰 동굴이다.		
방문자 센터에서 티켓을 구매할 수 있으며 동굴 안내 섹션이 있어 입장 전 광천선굴이 어떻게 형성됐는지, 내부에서 무엇을 관람할 수 있는지 살펴볼 수 있다. 방문자센터 왼편으로 광천선굴 입구에 안전모가 비치되어 있어 안전모 착용 후 입장할 수 있다. 동굴 내부에는 석순과 석주, 종유석들을 구경할 수 있으며 박쥐도 볼 수 있다.",평창군
7,국립 두타산자연휴양림,강원특별자치도 평창군 진부면 아차골길 132,128.5758765,37.55969301,http://tong.visitkorea.or.kr/cms/resource/68/1177168_image2_1.jpg,"두타산(박지산)자연휴양림은 강원도 평창군 진부면과 정선군의 경계에 해발1357.0m의 두타산 자락에 위치한 산악형 자연휴양림으로 관광자원이 풍부하고, 진부IC에서 20분거리에 위치하며, 진부~정선간 59번 국도와 접하고 태백산맥의 서쪽에 위치하며 오대산에서 흘러내리는 옥수같은 맑은 물을 근원으로 청정계곡과 레저산업의 중심축을 이루는 곳에 위치하고 있다. 강원도 평창은 영서지방의 오대산을 중심으로 형성된 문화유적지 월정사와 명산으로 어우러진 노동계곡, 신기계곡, 수항계곡, 막동계곡, 장전계곡, 봉산계곡이 어우러져 산촌지역의 정서와 명맥을 유지하고 있는 지역이다. 오대산에서 발원한 물줄기가 첩첩협곡을 누비며 남한강에 합류하는 길목, 평창군 진부면 수항리에서 아차골로 접어들면 해발 1,394m의 박지산 칠성대가 눈앞에 아른거린다. 오소리 너구리 멧돼지 산토끼 등 산짐승과 무수한 약초들 아름들이 박달나무, 잣나무, 피나무가 버티고 있어 생태적으로 건강하고 든든한 산림의 한축을 볼 수 있는 곳이며, 지피식생으로는 이름도 알 수 없는 이끼류가 양탄자와 같이 바닥에 깔려 있고, 사람의 인기척이 없는 곳에 자리잡은 아차골의 선녀탕, 토끼가 쉬어가는 샘터와 사계절 계속되는 야생화의 향연은 볼만하다.",평창군
8,국민의 숲 트레킹 코스,강원특별자치도 평창군 대관령마루길 340,128.740694,37.68460952,http://tong.visitkorea.or.kr/cms/resource/95/2798895_image2_1.JPG,"국민의 숲 트레킹 코스는 사람의 생체리듬에 가장 좋다는 해발 700m 대관령 자락 (구)대관령휴게소 인근에 조성된 트레킹 코스이다. 산허리를 감싸는 흙길을 따라 걷다보면 전나무와 주목, 독일가문비나무, 잣나무, 일본잎갈나무, 자작나무숲이 나타나고 곳곳에 야생화도 가득피어 자연과 하나됨을 느낄 수 있다. 특히 피톤치드가 풍부한 침엽수가 주종을 이루는 길로 이곳을 걷기만 해도 몸과 마음이 치유되는 트레킹 코스이다.약 3.95km, 소요시간 약 1시간 30분 정도의 트레킹 코스로 남녀노소 누구나 아름다운 대관령의 자연을 즐길 수 있는 명품길이다.",평창군
9,금당계곡,강원특별자치도 평창군 대화면 금당계곡로 766-2,128.3942007,37.48246236,http://tong.visitkorea.or.kr/cms/resource/45/1177245_image2_1.jpg,"해발 1,173m의 금당산 서쪽 기슭을 흐르는 심산유옥이 금당계곡이다. 평창군 봉평면과 용평면 대화면 사이를 굽어치는 이 골짜기는 평창강의 상류지역에 위치하고 있다. 금당계곡은 제법 넓은 편이고 대체로 잔잔히 흐르는 물줄기가 기암괴석이 돌출한 지점에서는 급류를 이루기도 한다. 3월 하순부터 봄의 정취가 무르익기 시작하는 이곳은 4월 말 경이면 철쪽이 온 산천을 덮는다. 금당계곡은 장평에서 평창강 물줄기를 따라 내려가는 방법도 있고 안미초등학교에서부터 거꾸로 올라가는 방법도 있다. 일단, 대화면 소재지에서 평창읍 방면으로 내려가다 보면 상안미와 하안미리 등으로 나뉘는 사거리가 나오는데 일명 “새추거리”라 한다. 
여기에 금당계곡 입구 안내판이 서 있어 길찾기는 어렵지 않다. 안미 초등학교 방면으로 우회전하여 개수교까지 포장도로가 이어진다.  비포장도로는 국도변에서 13.5km 되는 지점에서 시작된다. 여기에서 조금 더 올라가면, 강 건너로 “봉황대”라는 이름의 기암이 솟아 있다. “옛날에 어떤 사람이 묘자리를 쓰려고 이 근처 땅을 팠는데  갑자기 봉황이 날아갔다”해서 이름 지어졌다 한다.  봉황대를 뒤로 하고 상류로 올라가면 총 연장 8.4km의 비포장도로가 나타난다. 계곡 맞은편에는 물길을 따라 기암괴석과 절벽이 병풍처럼 펼쳐지고, 맑은 물이 흐른다. 이곳은 천연기념물인 수달의 주요 서식지이고 메기도 많이 잡힌다.",평창군
