,title,addr1,mapx,mapy,firstimage,overview,addr2
0,감성마을 이외수 문학관,강원특별자치도 화천군 상서면 감성마을길 157,127.5162822,38.16657749,http://tong.visitkorea.or.kr/cms/resource/93/2566293_image2_1.jpg,"작가 이외수의 작업실은 문하생들과 독자들, 여행객들이 다녀가는 곳으로 일찍부터 유명했다. 화천을 경유하던 이들은 반드시 그의 집에 들러 밥 한 그릇을 청하곤 했다. 그래서 아예 그를 촌장으로 한 감성테마 문학공원을 만들어 보다 많은 이들이 이곳을 찾게 했으니 그게 바로 감성테마 문학공원이다. 화천군 상서면 다목리에 위치하고 있는 이곳은 작가의 집필실과 방문객들을 만나는 자리인 모월당, 모월교, 생태주차장 등으로 구성되어 있다.",화천군
1,곡운구곡 (강원평화지역 국가지질공원),강원특별자치도 화천군 사내면 용담리,127.5387169,38.05326058,http://tong.visitkorea.or.kr/cms/resource/01/2566301_image2_1.jpg,"곡운구곡(谷雲九曲)은 북한강의 지류하천인 지촌천의 일부구간에 해당된다. 이 곳은 단단한 화강암으로 이루어진 강바닥을 따라 다채로운 하천지형이 발달하고 있으며, 선캠브리아기 변성암의 습곡 및 단층구조를 관찰할 수 있는 중요한 지질명소에 해당된다.곡운구곡은 조선시대의 성리학자인 김수증(金壽增, 1624~1701)의 호 ‘곡운’을 딴 것으로, 그가 1670년부터 화천군 사내면 영당동에 거주하며너 지촌천의 물굽이 9개에 각각 이름[방화계(榜花溪), 청옥협(靑玉峽), 신녀협(神女峽), 백운담(白雲), 명옥뢰(鳴玉瀨), 와룡담(臥龍潭), 명월계(明月溪), 융의연(隆義淵), 첩석대(疊石坮)]을 지어 곡운구곡이라 칭한 데서 유래하고 있다.이는 속세를 떠나심산유곡으로 몰입해 은둔과 안닉을 통해 학문을 정진하고자 하는 성리학의 이상을 구현하기 위한 것이다.곡운구곡 일대는 하천의 규모가 작은 편에 속하고 일부 남아있던 지형이 도로 개설 과정에서 소실되었지만 전체적으로 화강암을 기반으로 한 수려한 암석 경관, 청정함 등으로 인해 구곡문화의 측면뿐만 아니라 지형경관지원 측면에서도 손색이 없는 우수한 자원으로 손꼽히고 있다. 전체 9곡 중에서 가장 경관이 뛰어난 곳은 화강암 지대에 위치한 제3곡인 신녀협과 제4곡인 백운담이다. 한편, 제1곡과 제3곡 사이의 변성암(호상편마암)지대에서는 변성작용 중에 일어난 습곡과 단층 구조를 관찰할 수 있다.<출처 : 강원평화지역 국가지질공원>",화천군
2,광덕계곡,강원특별자치도 화천군 사내면 포화로 582,127.4817103,38.07631517,http://tong.visitkorea.or.kr/cms/resource/95/172295_image2_1.jpg,"광덕계곡은 백운산과 광덕산 사이에 위치하며 자연경관이 수려하고 오염되지 않은 작은 폭포, 작은 소 등 깨끗한 물이 일품이다. 가을에는 주위의 백운산, 광덕산, 무학봉,  번암산,감투봉, 상해봉 등의 단풍이 장관이며, 여름에는 계곡피서가 적합하다. 민박 마을내에서는 산나물, 토종꿀 등 무공해 식품을 구입할 수 있고 숙박 시설이 마련되어 있어 여름 피서지로서 안성맞춤이다.",화천군
3,광덕산(화천),강원특별자치도 화천군 사내면,127.4394352,38.11500709,http://tong.visitkorea.or.kr/cms/resource/17/2566317_image2_1.jpg,"강원 화천군과 철원군, 경기 포천군의 군계(郡界)를 이루는 산으로 높이는 1,046m이며 복주산(伏主山)·석룡산(石龍山)·가리산(加里山) 등과 함께 태백산맥에서 갈라지는 광주산맥의 일부를 구성하며, 산용(山容)이 웅장하다. 북한강 수계와 한탄강 수계의 분수계에 위치하여 양 하천의 지류들이 발원한다. 광덕산은 주로 규암석으로 이루어져 있고 가을이면 단풍, 겨울이면 설경이 아름답다. 상해봉은 정상을 이룬 바위지대가 마치 망망대해에 떠 있는 암초와 같다 해서 붙여진 이름이다. 대체적으로 능선이 암벽으로 이어져 스릴을 주며 광덕재에서의 광덕산 그리고 백운산에 이르는 능선에는 억새밭이 펼쳐져 있다. 광덕산은 산 높이가 1,000m가 넘지만, 해발 620m 되는 광덕동에서 산행을 시작하므로 쉽게 오를 수 있다. 정상까지 2시간이면 오를 수 있고, 정상은 광장처럼 넓고 사방이 탁 트여 조망이 좋다. 하산은 올라온 길로 되돌아 내려가거나 상해봉을 거쳐 하산할 수 있다.",화천군
4,낭천산림욕장,강원특별자치도 화천군 화천읍 중리 221,127.7129937,38.10957115,http://tong.visitkorea.or.kr/cms/resource/18/172318_image2_1.jpg,"화천 시가지를 조망할 수 있는 절산을 이용하여 등산로, 팔각정, 평상, 이정표 등과 산림자원 등 학습자료 시설들을 설치하여 가족 및 연인들이 함께 산림욕을 즐길 수 있는 산 교육장이다. 화천읍 칠성루와 더불어 화천읍 시가지를 한눈에 조망할 수 있는 산림욕장으로 산림욕을 즐기면서 등반을 겸할 수 있을뿐더러 화천 읍내에서 5분 거리에 위치하고 있어 이동하는데도 수월하여 경로자 및 심신 허약자, 어린이에게 부담 없는 코스이다.",화천군
5,대성산지구 전적비,강원특별자치도 화천군 상서면 다목리 산1-1,127.5405936,38.17751556,http://tong.visitkorea.or.kr/cms/resource/23/2566323_image2_1.jpg,"6.25 전쟁 때 일어났던 대성산지구 전투 장병들의 영웅적인 전공을 높이 찬양하고 조국 수호를 위해 목숨을 바친 호국영령들의 넋을 추모하면서 그 위훈을 자손만대에 길이 전하고자 세운 비(碑). 1983년 10월 1일에 화천군에 있는 육군 제8305부대에서 건립했으며, 보병 제15사단(6685부대)에서 관리하고 있다.대성산지구 전투는 1951년 6월 9일 국군 2사단 2, 3대대가 1041고지에서 활동 중인 중공군 제20군 58사단 177연대의 적군 병력을 섬멸하기 위해 벌였던 전투다. 당시 국군은 선제공격을 개시해 1041고지와 신월동 및 865고지를 탈취했다.",화천군
6,동구래마을,강원특별자치도 화천군 하남면 호수길 329,127.6638864,38.04102267,http://tong.visitkorea.or.kr/cms/resource/31/2566331_image2_1.jpg,"동구래마을은 '동그란'에서 유래되어 모든 사물의 시작인 씨앗과 꽃을 상징하며 마을의 주인이 꽃이라 할 만큼 꽃들이 아름답게 피어있다. 약 1,000평 정도 되는 규모에 복수초, 금낭화, 매발톱꽃, 초롱꽃 등 50여 종에 달하는 토종야생화를 볼 수 있는 야생화단지로 우리 토종야생화 종자를 보존하고 증식하는 데 큰 역할을 하고 있다.",화천군
7,딴산,강원특별자치도 화천군 화천읍 대이리,127.7609195,38.12235667,http://tong.visitkorea.or.kr/cms/resource/09/2020509_image2_1.jpg,"화천읍에서 약 4㎞ 떨어진 딴산은 파로호와 평화의댐 진입로에 위치하고 있으며, 산이라기 보다는 섬같이 물가에 떠 있는 조그만 동산이다.구전에 의하면 옛날에 바위가 울산에서 금강산으로 가던 중 금강산 일만이천봉이 다 채워졌다하여 이 곳을 지나가다 머물렀다 한다. 물가에 홀로 섬처럼 두둥실 떠 있는 딴산의 모습도 이채롭지만 일대의 산 그늘과 강물이시원해 쉼터로 부각되고 있다.",화천군
8,딴산유원지,강원특별자치도 화천군 화천읍 대이리 산1-1,127.7588419,38.12320376,http://tong.visitkorea.or.kr/cms/resource/73/2785673_image2_1.JPG,"화천 읍내에서 평화의 댐 쪽으로 4km 정도 가면 딴산 유원지가 있다. 딴산은 산이라기보다는 물가에 자리하는 조그만 동산이다. 마치 섬처럼 두둥실 떠 있는 모습이 인상적이다. 앞으로 잔잔한 풍산천이 흐르고 있어, 낚시나 물놀이가 가능하고, 피크닉이나 캠핑을 하려 찾는 사람들이 많다. 인공 폭포가 있어 주말이나 휴가철에는 시원한 폭포를 감상할 수 있다.",화천군
9,만산동계곡,강원특별자치도 화천군 상서면 만산동로 406-38,127.5603456,38.14312272,http://tong.visitkorea.or.kr/cms/resource/23/1583823_image2_1.jpg,"만산동계곡은 화천읍에서 5km 떨어진 곳에 위치하고 있으며, 높이 100m, 폭 150m의 기암괴석을 한 만산동계곡과 조화를 이루고 있으며, 계곡변의 빼어난 경치가 마치 한폭의 그림을 상상케 한다.이 계곡은 여름 피서지로 적합하며, 마을내에서는 산나물, 토종꿀 등 무공해 식품을 값싸게 구입할 수 있어 매년 계곡을 찾는 관광객이 증가함에 따라  1992년부터 마을관리휴양지로 지정하여 위탁관리하고 있다.",화천군
