,title,addr1,mapx,mapy,firstimage,overview,addr2
0,강원참숯,강원특별자치도 횡성군 갑천면 정포로 327,128.1016119,37.52922365,http://tong.visitkorea.or.kr/cms/resource/46/2519246_image2_1.JPG,40년 전통의 강원참숯은 질 좋고 깨끗한 참숯과 숯가마의 맑은 연기를 받아 목초액을 만들어 판매한다. 또한 참숯 제조 후 가마에 남은 잔열로 찜질 체험을 할 수 있도록 제공 하고 있어 이색 체험지로 각광받고 있다. 숯가마는 바닥부터 천정이 황토로 되어 있어 이곳에서 나오는 원적외선이 어혈 및 산후조리에 좋다. 가마의 강한 열로 순식간에 구워 내는 삼겹살 또한 인기 만점이다.,횡성군
1,고라데이마을,강원특별자치도 횡성군 청일면 봉명로 375-1,128.1396326,37.64884662,http://tong.visitkorea.or.kr/cms/resource/56/2629756_image2_1.bmp,"살아 숨쉬는 청정자연과 함께 화전민의 문화가 잘 보전되어 있는 시골인심 넘치는 횡성 고라데이마을은 해발998m의 발교산 등이 병풍처럼 둘러 쌓여 있으며, 힐링의 명소이기도 한 산골마을이다.섬강의 발원지계곡을 따라 흐르는 1급수 맑은 물과 발교산 중턱의 봉명폭포에서 맛볼 수 있는 청량감은 자연의 소중함과 가치를 온 몸으로 느끼게 해준다.굽이치는 산세골골마다 화전민의 후손들이 순박함으로 살아가는 인심 넉넉한 고라데이마을은 사계절 화전을 테마로 한 다양하고 즐거운 농촌체험을 할 수 있으며,1급수에 볼 수 있는 버들치와 반딧불이가 반기는 냇가가 바로 곁에 있으며 또한 향토음식마을로 지정받은 고라데이맛집은 산골마을의 토속 식재료를 활용한 웰빙식단이 또한 큰 자랑이다. 심마니체험, 화전움막체험, 산골운동회, 버섯체험, 어고들, 우드버닝체험, 밤도깨비랑 담력훈련, 명상체험 등 30여개의 체험을 4계절 진행하며, 펜션을 비롯한 민박 등의 숙박시설(10개동 120명 동시숙박가능)과 체험시설이 잘 갖춰진 체험관에서 편안한 휴양을 통해 지친 심신의 회복은 물론 충만한 활력을 얻어 가실 수 있다. 야영장으로 정식등록(2015년)되어 캠핑도 가능하다.",횡성군
2,국립 청태산자연휴양림,강원특별자치도 횡성군 둔내면 청태산로 610,128.2919115,37.52251412,http://tong.visitkorea.or.kr/cms/resource/21/2657021_image2_1.jpg,"해발 1,200m의 청태산을 주봉으로 하여 인공림과 천연림이 잘 조화된 울창한 산림을 바탕으로 한 국유림 경영 시범단지로서 숲속에는 온갖 야생 동식물이 고루 서식하고 있어 자연박물관을 찾은 기분을 느낄 수 있다. 영동고속도로 신갈기점 강릉방향 128km 지점에 위치하고 있어 여름철 동해안 피서객들이 잠시 쉬었다 가기에 편리하고, 청소년의 심신수련을 위한 숲속교실도 설치되어 있으며 울창한 잣나무 숲속의 산림욕장은 한번왔다간 사람은 누구나 매료되어 찾는 곳이기도 하다.* 구역면적 - 403 ha",횡성군
3,국립횡성숲체원,강원특별자치도 횡성군 둔내면 청태산로 777,128.2867116,37.53727343,http://tong.visitkorea.or.kr/cms/resource/31/2553931_image2_1.jpg,"청태산 해발 850m에 위치하고 있는 국립횡성숲체원은 한국산림복지진흥원에서 운영하는 국가 제1호 산림교육센터다.  늘솔길(탐방로)의 하늘로 뻗은 잣나무 숲길을 따라 올라가다보면, 청태산 치유의숲내 산림치유센터에서 스트레스 타파 산림치유 프로그램을 즐길수 있다. 유아와 청소년의 생태감수성 발달과 신체 건강을 위한 산림교육 프로그램도 다양하게 제공한다. 또한 낙엽송과 졸참나무 사이로 떨어진 도토리와 다람쥐를 볼수 있으며, 층층나무, 자작나무를 찾아 걷다보면 계곡에 발을 담글수도 있다. 아이들과 함께 온 가족들은 숲오감체험장에서 즐거운 시간을 가질 수 있으며, 무장애 데크로드는 교통약자를 배려하여 남녀노소 누구나 숲을 만끽할 수 있다.",횡성군
4,둔내자연휴양림,강원특별자치도 횡성군 둔내면 청태산로466번길 33,128.2727383,37.52034457,http://tong.visitkorea.or.kr/cms/resource/90/2795290_image2_1.jpg,"1994년 5월 개장한 민간휴양림으로 해발 1,200m 높이의 청태산 남쪽 기슭에 위치해있다. 잣나무와 낙엽수 등의 우거진 수목이 각종 야생동물의 주요한 서식지를 만들며 숲을 이룬다. 등산로, 오솔길, 자연관찰원, 삼림욕장, 눈썰매장 등이 있으며 MTB를 타기에도 좋다. 전망대에 오르면 동서로 뻗은 영동고속도로와 태기산이 한눈에 내려다 보인다. 레크리에이션 강사가 상주하고 있으며, 겨울에는 눈썰매를 즐길 수 있다. 휴양림 입구에 수영장, 사우나 시설과 음악감상실을 갖춘 유스호스텔이 있어 대규모 단체 숙박이 가능하다. 주변에 오대산 월정사, 치악산 구룡사, 강릉 경포대, 휘닉스 평창 등의 관광지가 있어 함께 둘러보기에 수월하다.",횡성군
5,망향의 동산(횡성),강원특별자치도 횡성군 갑천면 태기로구방5길 40,128.0673506,37.54602939,http://tong.visitkorea.or.kr/cms/resource/72/2604872_image2_1.jpg,"2000년초 횡성댐이 완공되어 담수를 시작하면서 갑천면 구방리, 중금리, 화전리, 부동리, 포동리 등 5개리 258세대는 영원히 물속에 잠기게 됐다.고향이 물속에 잠기게 된 수몰민들은 고향을 떠나면서 고향에 대한 정을 잊지 않기 위해 구방리 옛 화성 초등학교 옆 야산에 망향의동산을 만들었다. 수몰민들의 애환이 깃든 가구와 수몰되기 전의 흔적들을 전시해 놓은 공간이다. 망향의 동산에는 기념비와 더불어 중금리 탑둔지에 있던 중금리 3층 석탑 2기와  화성정이 건립되어있다.",횡성군
6,병지방계곡,강원특별자치도 횡성군 갑천면 병지방리,128.0635938,37.59793442,http://tong.visitkorea.or.kr/cms/resource/46/485646_image2_1.jpg,"병지방계곡은 어답산을 끼고 굽이쳐 흐르는 산세깊은 골이다. 크고 작은 바위 사이로 흐르는 계곡물은 그 맑기가 명경지수와 같다. 계곡 주위로 병풍처럼 둘러쳐 있고, 특히 선녀탕주위는 기암괴석과 들꽃이 어울려 절경을 이루고, 물이 많아 여름철 피서객에게 인기있는 곳이다. 어답산 정상을 넘어 계곡을 따라 내려오는 등산로는 어느 명산 못지않게 아름답다. 외부와의 접근이 어려운 특성을 지니고 있는 체류형 산촌휴양지로, 오토캠핑장, 주차장, 음료수대, 운동시설 등의 시설을 갖춘 종합캠핑장이 있어 가족단위의 캠핑장으로 인기가 있다. 또한 병지방리는 때묻지 않은 토속마을로 토종닭, 토종꿀, 촌두부등 먹을거리도 다양해 시골풍경을 한껏 느낄 수 있는 곳이다. 병지방을 둘러싼 어답산 뒷자락에 횡성온천이 2002년 3월 개장하여 여행길에 온천욕으로 피로를 줄일수 있다.",횡성군
7,봉복사(횡성),강원특별자치도 횡성군 청일면 청일로 909-88,128.2262458,37.59759864,http://tong.visitkorea.or.kr/cms/resource/54/181254_image2_1.jpg,"청일면 신대리에 있는 봉복사는 덕고산(현재 태기산) 서쪽 기슭에 있는데, 횡성군에 있는 현존 사찰  중에서 가장 역사가 오래되고 규모 또한 큰 사찰이다. 봉복사의  창건연대는 이 사찰에 소장되어 있는 사지(寺誌)에 따르면, 647년(신라 선덕여왕 16년)에 자장율사(慈藏律師)가 덕고산 신대리에 창건하고 삼상(三像)을 조성하여 봉안한 뒤에 오층석탑을 조성하고 봉복사(鳳腹寺)라 하였다.  652년(진덕여왕 6년)에 낙수대(落水臺, 천진암(天眞庵)  등의 암자를 지었고, 669년(문무왕 9년) 소실되어 동왕 (同王) 11년과 12년에  원효조사(元曉祖師) 가 중건(重建) 하였다고 한다. 1034년(고려 덕종 3년)에는 도솔암(兜率庵,낙수암(落水庵) 이 소실되었다.  1747년(조선 영조 23년)에는 서곡선사(瑞谷禪師)가  중건하였으나 1907년(대한제국 융희 원년) 에 소실되었다고 한다.봉복사(鳳腹寺)의 사찰명에 대해 신증동국여지승람(新增東國輿地勝覽)과 범우고 (梵宇攷) 에는 ‘奉福寺在德高山’으로, 횡성읍지(橫城邑誌) 와 여지도서(輿地圖書) 에는‘奉福寺在縣北七十里五房’으로, 관동지(關東誌) 와 관동읍지(關東邑誌) 에서는 ‘鳳腹寺在縣北七十里五房今爲單房’으로 기록되어 있는 것으로 보아 처음에는 ‘봉복사(奉福寺)로 불려지다가‘봉복사(鳳腹寺)'로 변경되었음을 알 수 있다. 사찰 주변에는 맷돌 등  석조물과 기와 조각이 흩어져 있다. 와편은 수지문(樹枝文) 과 기하학적 문양의 평와편(平瓦片)으로 고려시대에서 조선시대의 것들이 대부분이다. 사찰 입구의 부도군(浮屠群)에는 부도 7기와 비석 1기가 있는데, 모두 조선후기의 부도이다.* 봉복사(鳳腹寺) 부도(浮屠) - 1당초 봉복사에 있던 6기의 부도 외에 1988년 조성된 것으로 사승(寺僧) 서운(瑞雲)이 입적한 후 수습한 14과(顆)의 사리(舍利)를 봉안하였다고 한다.방형(方形)의 기단(基壇) 위에 연화문(蓮花文) 받침을 두고 상단과 하단의 폭을 줄인 원통형 탑신(塔身) 위에 8각의 옥개석을 얹은 간략한 모습이다. 총높이는 143㎝이다.* 봉복사(鳳腹寺) 부도(浮屠) - 2원당형(圓堂形) 부도(浮屠)로 선곡당(瑞谷堂) 찬연(粲淵, 1702～1768)의 부도이다. 서곡당은 조선 영조 23년(1747)에  봉복사를 중건한 스님으로  봉복사와 수타사(水墮寺)에서 주석(住錫)하였으며  수타사에서 입적하였는데, 사리 2과(顆)가  나와서 봉복사와  수타사에 하나씩 안치하였다. 현재 수타사에도 찬연 스님의 부도와 탑비가 남아 있다.  부도는 하대석을 결실한 듯 지대석  위에 바로 6각의  중대석을  놓았는데 중대석  하단에는 ‘서곡당탑(瑞谷堂塔)’이라는 명문(銘文)이 남아 있다.  상대석 역시 6각으로 측면과 윗면에는 연화문을 배치하고 그 위에 구형(球形)의  탑신(塔身)을 올렸다.  옥개석은 상륜부와  1석으로 만들었는데 6각이며 둔후하고 탑신보다 커서 균형감을 잃고 있다.  총 높이는 161㎝이다.* 봉복사(鳳腹寺) 부도(浮屠) - 3종형(鐘形) 탑신(塔身)에  작은 보주형(寶珠形) 상륜(相輪)을 1석으로 만든 석종형(石鐘形) 부도로서 탑신 전면의 중앙에 ‘원명당탑(圓明堂塔)’이란 명문이 남아 있다.  높이는 106㎝이다.* 봉복사(鳳腹寺) 부도(浮屠) - 48각의  지대석 위에 종형 탑신을 올린 석종형(石鐘形) 부도(浮屠)로 탑명(塔銘)이 없다. 탑신은 원형이나 중심부를 4각으로 평평하게 만들었으며, 상륜은 뾰족하게 만들었다. 총 높이는 145㎝이다.* 봉복사(鳳腹寺) 부도(浮屠) - 5석종형 부도로서 탑신 전면의 중앙에 ‘서암당탑(西岩堂塔)’이란 명문이 있다. 총 높이는 130㎝이다.* 봉복사(鳳腹寺) 부도(浮屠) - 6자연석 기단의 윗면에 원형의 탑신받침을 두고 그 위에 종형 탑신을 올린 석종형 부도이다. 둥근 상륜은 작고 낮게 만들었다. 탑명(塔銘)은 없다. 총  높이는 130㎝이다.* 봉복사(鳳腹寺) 부도(浮屠) - 7원당형 부도로 지대석 위에 6각의 하대석을 1석으로 만들었는데, 하대석의 윗면에는  각변 3판(瓣)씩 총 18판의 복련(覆蓮)을 조각했다. 중대석과 상대석은 6각으로 중대석에는 아무런 조식(彫飾)이 없다. 상대석의 측면에는 앙련(仰蓮)을 두었는데, 연판(蓮瓣)의 배치는 중앙에 1판의 연판을 두고 모서리에도 1판씩 배치하여 총 12판(瓣)을 두었다. 탑신은 크고 구형(球形)이며 위에는 상륜부와 1석으로 된 옥개석을 갖추고 있는데, 옥개석의 크기가 알맞아 이 부도군에서는 균형감이 가장 뛰어난 부도이다. 총 높이는 170㎝이다.* 비석(碑石) 현재 하단부가 묻혀 있어 정확한 크기를 알 수 없다. 명문은 심하게  마멸되어 판독하기 어렵다. 현재 높이는 55㎝, 폭은 36㎝, 두께는 15㎝이다.",횡성군
8,새말관광농원,강원특별자치도 횡성군 우천면 전재로90번길 49,128.0805415,37.43749775,http://tong.visitkorea.or.kr/cms/resource/89/1583989_image2_1.jpg,"원주의 진산인 치악산 서북쪽 자락 매화봉 아래 자리잡고 있다. 새말IC가 내려다보이는 396,696m² 넓은 농원은 밤나무숲 사이로 이어지는 각종 편의시설과  사슴목장, 염소방목장 등이 어우러져 자연 그대로인 농촌 풍광이 펼쳐지고 있다. 독실한 기독교 신자인 주인 부부가 농원개원과 함께 설립한  임마누엘 수도원이란 집회장소가 마련되어 있어 교회단체 행사가 자연스런 농원이기도 하다. 편리한 시설과 함께 음식도 평화로운 농장 분위기와  유기농산물로 지은 소박한 메뉴도 가족이나 단체식으로 무난하다. 봄, 가을 야유회와 여름 휴가철 행사는 연초에 미리 예약을 해 놓아야 사용에 무리가 없다.",횡성군
9,섬강(섬강유원지),강원특별자치도 횡성군 횡성읍 문예로,127.977738,37.49276721,http://tong.visitkorea.or.kr/cms/resource/72/187272_image2_1.jpg,"횡성읍을 양쪽으로 가로질러 가는 하천 중에 춘천 서울 방향으로 가다보면 횡성교(뒷내교)가 나오는데 이 횡성교 밑으로 흐르는 강이 섬강이다.  태기산이 발원지인  섬강은 원주로 이어져 남한강과 합수가 된다. 섬강에는 기암괴석과 맑은 물이 흘러내려 여름철에는 섬강을 찾는 사람들이 더위를 피해 많이 찾고있다.
이곳 강가에는 송림 속에 고색 창연한 운암정을 필두로 2㎞ 남짓, 때묻지 않은 태고의 신비를 간직한 자연 그대로의 모습이 강을 따라 펼쳐져 있다. 용의 모습을  닮은 용바위 주변의 기암괴석 주변에는 봄이면 요염하기만한 진홍색 철쭉꽃이 만개해 보는 이로 하여금 절로 탄성을 자아내게 하고 있다. 
또한 섬강에는 둔치와  체육시설 등이 설치되었으며, 종합운동장이 옆에 있어 체육활동을 하기에 적지이고, 주변에는 횡성의 유명한 식당들이 많이 있다. 이곳은 수려한 경관도 일품이지만 물 반 고기  반이라는 말이  있을 정도로 메기, 꺽지, 피라미, 잉어, 붕어 등 민물고기들이 많이 서식해 여름이면 수많은  사람들이 천렵지로  이곳을 찾고 있다.",횡성군
