,title,addr1,mapx,mapy,firstimage,overview,addr2
0,고려 공양왕릉,경기도 고양시 덕양구 호국로1121번길 95-61 (원당동),126.8390916,37.68021908,http://tong.visitkorea.or.kr/cms/resource/88/1149688_image2_1.jpg,"고려의 마지막 왕인 공양왕과 순비 노씨의 능이다. 이 릉은 왕과 왕비를 쌍릉 형식으로 모셨으며, 능앞에는 비석 1기와 상석이 놓여있고, 장명등 1기가 서 있다. 또한 양쪽에 문.무인석이 2구, 석호 1기가 있으며, 석물의 양식과 수법은 간략하고 소박해서 고려 여러 왕릉의 전통적인 모습을 지니고 있다. 한편 강원도 삼척시 근덕면에도 공양왕릉으로 전해지는 무덤이 있어, 어느 쪽이 진짜 공양왕의 무덤이냐에 대한 논란이 계속되고 있다.",고양시
1,고봉산,경기도 고양시 일산동구 성석로 141,126.7914374,37.68897277,http://tong.visitkorea.or.kr/cms/resource/90/2734990_image2_1.jpg,"해발 208m의 고봉산은 산책하듯 누구나 쉽게 오를 수 있다. 태미산이나 성산으로도 불리며 산 정상에는 삼국시대에 설치된 봉화, 봉수대가 있으나 군사시설 지역에 포함돼 있어 일반인 출입은 금지돼 있다. 정상을 둘러 가며 산성이 축조되어 있고 고봉 누리길은 황룡산과 이어져 있다. 영천사와 안곡습지공원도 둘러볼 수 있다.",고양시
2,고양 벽제관지,경기도 고양시 덕양구 벽제관로 34-16,126.9003437,37.7042646,http://tong.visitkorea.or.kr/cms/resource/83/720483_image2_1.jpg,"조선시대에 중국으로 가는 관서로(의주로, 연행로)에 있던 10여개 역관 가운데 하나로, 사적으로 지정된 서울에서 가장 가까운 곳에 있었던 관서이다. 1960년 경까지 객관문이 남아 있었으나 무너지고 현재는 객관의 윤곽과 터만 남아 있다. 임진왜란 때 왜군이 명나라 군을 대파한 장소로서 널리 알려져 있다.* 소유자 - 국유  * 시대 - 조선시대 ",고양시
3,고양 서삼릉(장경왕후) [유네스코 세계문화유산],경기도 고양시 덕양구 서삼릉길 233-126,126.8685255,37.66399094,http://tong.visitkorea.or.kr/cms/resource/85/1150385_image2_1.jpg,"유네스코 세계유산이자 사적인 「고양 서삼릉(西三陵)」은 중종의 계비이며 인종의 생모인 장경왕후의 희릉(禧陵), 인종과 인성왕후의 효릉(孝陵), 철종장황제와 철인장황후의 예릉(睿陵)이 조성되면서 3릉(희릉, 효릉, 예릉)이 한양의 서쪽에 있다하여 ‘서삼릉’이라는 명칭을 얻게 되었다.이후 의소세손의 의령원(懿寧園)과 문효세자의 효창원(孝昌園)이 서삼릉에 옮겨와 있다.또한 서삼릉 비공개지역에는 소현세자의 소경원(昭慶園)이 조성되어 있으며, 이후 연산군 사친 폐비윤씨의 회묘(懷墓) 등 왕의 후궁들과 자녀들의 묘, 그리고 태실이 옮겨와 있다.[출처 : 문화재청 궁능유적본부]",고양시
4,고양 서오릉 [유네스코 세계문화유산],경기도 고양시 덕양구 서오릉로 334-32,126.900782,37.62361011,http://tong.visitkorea.or.kr/cms/resource/88/1589188_image2_1.jpg,"서오릉이란 조선 왕조의 다섯릉 즉 경릉, 창릉, 익릉, 명릉, 홍릉을 일컫는 말이다. 오릉 이외에도 명종의 첫째 아들 순회세자의 순창원이 경내에 있고, 영조 후궁 영빈 이씨(사도세자의 생모)의 수경원이 있으며, 최근 숙종의 후궁인 장희빈의 대빈묘도 이곳으로  이장 되었다.  위치상 서울 시내와 다름없을 만큼 가까워서 산책이나 조깅 코스로 좋다.* 서오릉 약사(사적)1) 경릉 - 덕종(추존)과 비 소혜왕후(추존) 한씨의 능이다. 덕종은 세조의 원자로 태어났으나 20세에 돌아가시고(1457) 뒤에 그의 아들 성종이 즉위 하면서 덕종으로 추존되었다. 소혜왕후 한씨는 서원부원군 한확의 딸로서 월산대군과 성종형제를 두었으나 성종이 즉위한 뒤 왕비로 추존되면서 소혜왕후라 일컫게 되었다.2) 익릉 - 숙종의 원비 인경황후 김씨(1661-1680)의 능이다. 인경왕후는 광성부원군 김만기의 딸로서 현종 12년(1671)에 세자빈으로 책봉되었으며 숙종 즉위와 함께 왕비로 책봉되었다. 숙종 6년(1680) 경희궁에서 20세에 승하하였다.3) 창릉 - 예종과 그의 계비 안순왕후 한씨(?-1498)의 능이다.  예종은 세조의 둘째아들로 세조3년(1457)에 왕세자로 책봉되고 세조 14년(1468)에 즉위하였다.  안순왕후는 우의정 청주부원군 한백륜의 딸로서 예종 즉위년(1468)에 왕비로 책봉되었다.4) 명릉 - 숙종(1674-1720)과 그의 계비 인현왕후 민씨 그리고 제 2계비 인원왕후  김씨의 능이다. 숙종과  인현왕후는  쌍분으로 되고 인원왕후의 능은 옆에 따로 있어 같은 언덕에 배치된 형식이다. 숙종은 현종의 아들로 태어나 현종8년(1677) 세자로 책봉되었고 예론이 한창 일어나 장희빈을 중심으로 한때 인현왕후 민씨를 몰아낸 사건을 겪었으나, 상평통보를 주조하고 백두산정계비를 세우는 등 업적을 남겼다. 인현왕후 민씨(1667-1701)는 여양부원군 민유중의 딸로 태어나 숙종 7년에 숙종의  계비가 되었다. 숙종 15년 왕자 균(뒤의 경종) 책봉 문제에 장희빈의 무고로 폐위당하였으나, 후에 장희빈이 몰락하면서 복위된(1694)뒤 35세로 승하하였다.5) 홍릉 - 영조(1724-1776)의 비 정성왕후 서씨 능이다. 정성왕후는 달성부원군  서종제의 딸로서 경종 원년 (1721)에 세자빈으로 책봉되었고,  1724년 영조가 즉위하자 왕비가 되었다.  왕후는 소생이 없이 영조 33년에 경복궁에서 승하하였다.6) 수경원 - 영조의 후궁인 영빈 이씨의 산소이다. 영빈 이씨는 영조 11년(1735)에 사도세자를  낳았으며 영조 40년 69세로 승하하였다.7) 순창원 - 명종(1545-1567)의 원자 순회세자와 공회빈 윤씨의 산소이다. 순회세자는 명종 12년에 세자로 책봉되었으나 13세에 승하했고,  공회빈 윤씨는 윤옥의 딸로서 선조 25년(1592년) 3월 3일 승하했다.8) 대빈묘 - 숙종의 후궁인 희빈 장씨(1701)의 묘이다. 숙종은 궁녀 장소의에게서 숙종 14년에 왕자 균(경종)을 얻어 이듬해 균을 세자로 책봉하면서 장소희를 희빈으로 대하였다. 그후 왕비 인현왕후를 폐비하고 장희빈을 왕비로 책봉하였으나 이를 후회하고 숙종 27년(1701)에 인현왕후를 복위시키고 장희빈은 사사되었다. 원래 경기도 광주군 오포면 문형리에 있었는데 1969년 6월 이곳으로 옮긴 것이다.",고양시
5,고양 피크닉시민공원,경기도 고양시 일산서구 성저로 47,126.7553019,37.68671405,http://tong.visitkorea.or.kr/cms/resource/26/2736526_image2_1.jpg,"고양시에서 유일하게 취사까지 가능한 공원으로, 숲과 꽃밭 사이를 걸으며 새소리를 듣고, 심신을 마음껏 힐링할 수 있는 고양시 최고의 숨은 명소이다. 18,200 제곱미터 부지의 숲 속에 조성된 이곳은 어린이를 위한 놀이 시설은 물론 어르신들이 즐길 수 있는 게이트볼 경기장, 청소년들을 위한 농구 코트, 족구장까지 구비되어 있고, 미니 인공암벽등반 시설과 야외 공연무대 등이 구비되어 있다.?",고양시
6,고양생태공원,경기도 고양시 일산서구 대화로 315,126.7441419,37.68400028,http://tong.visitkorea.or.kr/cms/resource/72/2735172_image2_1.jpg,"고양생태공원은 도심 속 나대지를 활용하여 사람과 자연이 함께 살아가는 생태공간이다. 생물들에게 안정적이고 다양한 서식처를 제공함으로써 시민들이 자연 속에서 살아가는 생물들을 쉽게 관찰, 체험할 수 있는 생태공원이다.",고양시
7,고양향교,경기도 고양시 덕양구 대양로285번길 33-13 (고양동),126.8948164,37.70372568,http://tong.visitkorea.or.kr/cms/resource/72/1591672_image2_1.jpg,"조선 숙종 때 현유(賢儒)의 위패를 봉안, 배향하고 지방의 중등교육과 지방민의 교화를 위해서 창건되었다. 창건 이후의 자세한 역사는 전하지 않지만 여러 차례의 보수가 있었고, 1970년 담장을 보수하였다. 현존하는 건물은 5칸의 대성전을 중심으로 동재(東齋)·서재·내삼문(內三門) 등이 있으며, 명륜당은 없다. 대성전 안에는 5성(五聖)의 위패가, 동무서무에는 송조2현(宋朝二賢) 및 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 전답과 노비·전적 등을 지급받아 교관이 교생을 가르쳤으나 현재는 교육적 기능은 없어지고, 봄·가을에 석전(釋奠)을 봉행(奉行)하고 초하루·보름에 분향을 올리고 있으며, 전교(典校) 1명과 장의(掌議) 수명이 운영을 담당하고 있다. 이 향교는 경기도 문화재자료로 지정되어 있다.",고양시
8,공릉천,경기도 고양시 덕양구 신원동,126.8792767,37.68453874,http://tong.visitkorea.or.kr/cms/resource/97/2566197_image2_1.jpg,"공릉천이 시작되는 곳은 덕양구 고양동, 신도동과 양주시 장흥면의 경계선이며, 관산동, 사리현동, 지영동을 거쳐 파주시 교하면에서 한강과 만난다.(총 길이 30.5Km). 파주 삼릉에 있는 공릉의 명칭을 따서 공릉천으로 부른다. 주변의 퇴적 평지대는 화훼단지와 논으로 이용되고 있다. 경기도 양주시,고양시,파주시에 흐르는 하천으로 한강의 제1지류이다. 힘차게 내달리는 공릉천의 물소리를 따라 걷다 보면 백로와 기러기떼 등 겨울 철새와 원앙,비오리 등 천연기념물을 쉽게 만날 수 있다.",고양시
9,노래하는분수대,경기도 고양시 일산동구 호수로 731,126.7604548,37.66450006,http://tong.visitkorea.or.kr/cms/resource/79/2745379_image2_1.png,일산 호수공원에 위치한 여름 밤에 펼쳐지는 ‘노래하는 분수대’는 어린이들의 놀이 공간이자 어른들의 힐링 장소이다. 밤 8시 정각. 장엄하면서 경쾌한 음악과 함께 화려한 불빛과 시원한 물줄기로 화려한 분수쇼를 만들어 낸다. 울려퍼지던 음악이 클라이맥스로 다다르자 물줄기는 하늘로 솟구쳐 오르면서 조명의 불빛이 시시각각 변하며 화려한 퍼포먼스와 힘찬 안무가 그려지는 것 같다. 고양 꽃축제와 함께 가족과 즐길 수 있는 호수공원의 명소이다. 기상악화시 분수쇼 공연은 취소된다.,고양시
