,title,addr1,mapx,mapy,firstimage,overview,addr2
0,경기광주 한옥마을,경기도 광주시 새오개길 39,127.2292768,37.43892358,http://tong.visitkorea.or.kr/cms/resource/09/2739309_image2_1.jpg,400년이 넘은 충남 광천의 사대부 한옥을 그대로 옮겨 복원시켰다. 1000년 수령의 느티나무와 소나무들이 한옥과 어우러져 계절마다 새로운 옷을 갈아입는다. 수려한 자연 속에서 한옥의 고즈넉한 정취를 느끼며 삶의 여유를 느껴볼 수 있다.,광주시
1,경안근린공원,경기도 광주시 경안로98번길 30,127.2512396,37.40946628,http://tong.visitkorea.or.kr/cms/resource/66/2745366_image2_1.png,"도심지에 있는 공원이다. 유아들을 위한 유아 숲 체험원과 열매 학습장이 있다. 다목적 운동장과 농구장이 있어 운동도 할 수 있다. 여름 한 철 유아들과 분수대에서 물놀이도 할 수 있게 일시적으로 시설을 개방한다. 물놀이 후 젖은 옷을 갈아입을 수 있는 탈의장도 마련되어 있다. 광주시립 중앙 도서관, 광주 초등학교와 광주 중학교가 접해 있다.",광주시
2,경안천 습지생태공원,경기도 광주시 퇴촌면 정자동길 119,127.3030029,37.45896703,http://tong.visitkorea.or.kr/cms/resource/90/2648890_image2_1.jpg,"경안천 습지생태공원은 경안천을 통하여 팔당호 상수원으로 유입되는 오염물질을 수변식물을 통해 수질을 개선하여, 동·식물들에게 깨끗한 서식처를 제공하고, 도시민에게 인간과 자연이 공존하는 친환경적이고 안락한 휴식처를 제공하기 위하여 조성하였다.   공원 입구에는 조성 목적과 산책로 지도가 그려진  안내판이 있고 주차장, 화장실, 벤치 등 편의시설이 갖추어져 있다. 약 2km에 이르는  산책로에는 소나무, 왕벚나무, 단풍나무, 감나무, 왕버들, 선버들 등이 우거져 있고  연밭 위를 지나는 목재 데크, 갈대 군락과 부들 군락, 철새조망대 등이 설치되어 있다. 또, 탐방로를 비롯해 어류서식처, 조류관찰대 등 자연을 직접 체험하여 느낄 수 있는 학습장으로 주말을 맞은 가족단위 관람객들이 유익한 즐거움을 얻기에 충분하다. 특히 7~8월경에 개화되는 연꽃은 아름다운 주변경관과 어우러져 습지공원의 정취를 물씬 느끼게 한다.산책로 중간중간에는 갈대습지의 수질정화 원리를  비롯하여 경안천에 사는 새와 곤충, 자생식물 등에 관한 자료를 배치하여 탐방객들의  이해를 돕고 있다. 주변에 얼굴박물관, 분원백자자료관, 경기도자박물관 등의 명소가  있다.",광주시
3,곤지바위,경기도 광주시 곤지암로 72,127.3387611,37.34959424,http://tong.visitkorea.or.kr/cms/resource/93/2862193_image2_1.jpg,곤지암 바위는 경기도 광주시 곤지암읍 곤지암로 72에 있다. 옛날에는 고양이 모양으로 생겼다 하여 묘(猫) 바위라고도 불렸다고 한다. 전설에 의하면 이 바위에서부터 동북쪽 약 1km 지점에 임진왜란 초기 도순변사(都巡邊使)로 충주(忠州) 달천(達川) 탄금대에서 순사(殉死)한 신립(申砬) 장군의 묘가 있는데 이 바위 앞을 말을 타고 지나려 하면 말굽이 땅에 붙어 움직이지 않으므로 말에서 내려 걸어서 다녔다고 한다. 그러던 어느 날 지나가던 어떤 선비의 말이 이 바위 앞에서 말굽이 떨어지지 않자 이 선비는 말에서 내려 바위를 향하여 장군의 원통함이 아무리 크고 영력이 대단하다 할지라도 무고한 행인들의 말발굽을 움직이지 못하게 함은 온당치 못하니 영력을 거두어야 한다고 핀잔하자 뇌성벽력과 함께 폭우가 쏟아지며 벼락이 바위 윗부분을 내리쳐 정상부가 땅에 떨어진 후부터는 말을 타고 다니는 행인의 통행이 자유롭게 되었다는 전설이 내려오고 있다. 예전에는 주위에 연못이 있고 도로변에 있었으나 도시개발에 밀려 지금은 쪼개진 바위와 400년 된 향나무만이 철책에 둘려 곤지암 초등학교 옆 뒤안길에 가려져 있다.,광주시
4,곤지암리조트,경기도 광주시 도척면 도척윗로 278,127.292224,37.33748369,http://tong.visitkorea.or.kr/cms/resource/28/2658428_image2_1.jpg,"* 수도권 최대 스키장, 곤지암리조트 *
곤지암리조트는 중부고속도로 곤지암IC에서 4Km 거리에 위치해 서울 강남에서 불과 40분만에 도착한다는 점이 가장 큰 매력으로 수도권 최대규모인 스키장과 476실의 콘도미니엄, 스파와 수목원 등 다양한 부대시설을 갖춘 종합 프리미엄 리조트이다.
라스베이거스 시저스 팰리스(미국), The Palace of the Lost City(남아공), 제주 롯데호텔 등 리조트 디자인 분야에서 탁월함을 인정받고 있는 WAT&G(Wimberly Allison Tong & Goo)가 설계한 곤지암리조트는 북미 스타일의 이국적이고 차별화된 분위기의 리조트이다.

※ 코로나19 확산 예방을 위해 부대업장 영업시간 한시 변경
※ 내용 : 홈페이지 참조",광주시
5,곤지암반디숲,경기도 광주시 신대길 139-22,127.3309531,37.36352304,http://tong.visitkorea.or.kr/cms/resource/48/2867648_image2_1.jpg,"경기 광주시 곤지암읍 신대리에 있는 숲 체험 문화공간이다. 산책로, 피크닉 타운과 캐빈, 물놀이장, 북카페가 있어 다양한 볼거리와 즐길 거리가 있다. 비양산(231.7m) 동편에 생태계가 잘 보존되어 있어 서어나무가 군락을 이루고, 반딧불이 밤하늘을 밝게 비추는 청정지역이기도 하다. 입장료에 음료수 가격이 포함되어 있다. 여름철에는 어린이 물놀이장을 무료로 이용할 수 있어 인기다. 본관 2층은 카페와 물놀이장이 있고 1층은 북카페와 예술문화 공간으로 운영되고 있다. 카페에는 커피와 주스, 약초차 등의 메뉴가 있다. 숲 곳곳에 캐빈과 피크닉 타운이 있으며 예약할 수 있다. 날씨가 좋은 계절에 피크닉 하기 좋다. 50년 이상 된 전나무 숲에서의 힐링은 지쳐있는 현대인들에게 잠시 쉼을 제공한다. 약 30~40분 산책코스와 약1-2시간의 약용, 특용작물 탐방로 및 무갑산(경기 8 경중 5경, 해발 580m)으로 이어지는 등산로가 있다. 어린이들의 자연 체험학습 및 공동생활 교육을 위한 잔디 쉼터 공간도 있다.",광주시
6,곤지암생활체육공원,경기도 광주시 곤지암읍 평촌길 12-137,127.3211735,37.35968442,http://tong.visitkorea.or.kr/cms/resource/72/2742472_image2_1.jpg,"종합 체육시설로 축구장, 테니스장, 농구장 등을 갖추고 있어 다양한 체육활동이 가능하다.  인조잔디가 깔린 축구장 2면, 테니스장 3면, 농구장 1면, 씨름장, 족구 및 배드민턴장 1면이 마련되어 있고, 야간 조명시설도 갖추어져 있어 지역주민들이 손쉽게 운동하며 휴식을 취할 수 있는 공간이다.",광주시
7,광남생활체육공원,경기도 광주시 장지7길 63-2,127.2360776,37.38954887,http://tong.visitkorea.or.kr/cms/resource/16/2739316_image2_1.jpg,"종합 체육시설로 축구장, 테니스장, 농구장 등 다양한 체육활동 가능한 곳이다. 지역주민들이 운동과 휴식을 동시에 즐길 수 있는 공간이다.",광주시
8,광주 산두른마을 [농촌전통테마],경기도 광주시 도척면 추곡길 38,127.2913729,37.27925986,http://tong.visitkorea.or.kr/cms/resource/68/2480268_image2_1.jpg,"너른 고을 광주시는 산이 높고 골이 깊은 고장으로 이곳 산두른 마을 또한 경기속의 강원도라 불릴 정도로 자연경관이 아름다운 청정지역으로남아있는 전형적인 농촌 산골마을이다.마을 어귀에는 350년생 느티나무 고목이 군락을 이루고 있으며, 태화산만이 연출하는 독특한 사계를 감상할 수 있다. 특히 겨울 설화와 어우러진 산두른 마을의 포근함인 활쏘기 시합과 동화놀이(달집태우기) 등이 옛날 어릴 적 고향마을의 향수를 연상시킨다.마을로 들어서는 입구에는 유정저수지가 그림처럼 펼쳐져 있으며, 마을내에 있는 추곡저수지는 인근의 많은 낚시객들이 찾고 있다. 주위로는 태화산이 마을을 감싸 안고 있어 매우 포근하고 아늑한 분위기를 느낄 수 있으며, 다양한 등산로를 이용하여 누구나 쉽게 즐길 수 있는 산행이 가능하다.산두른마을의 체험프로그램 산두른마을의 체험프로그램은 크게 별과 함께 체험프로그램과 농촌체험프로그램으로 나뉜다. 별과함께 프로그램은 별을 테마로 한 각종 체험과 짚, 나무를 이용한 공예체험으로 별찾기와 별점, 별보며 산행하기, 공예체험(공예시범 및 야생화체험) 등이 있으며, 농촌체험은걸어서 마을 한바퀴, 당나귀 마차를 이용한 산두른 답사, 각종 농산물 체험, 느티마당놀이 등 다양한 농촌 문화를 체험할 수 있는 기회를 제공한다.",광주시
9,광주용화선원,경기도 광주시 오포읍 봉골길 228,127.1945655,37.3620513,http://tong.visitkorea.or.kr/cms/resource/62/2764162_image2_1.png,"경기도 광주시 오포읍 문형산 등산로 입구에 위치한 선원으로 고려 시대에 창건하였다고 전해진다. 이후 사설사암으로 유지해 오다가 2008년 중창 불사를 시작하여 2010년 광주 용화선원 봉불 및 개원식을 하였다. 비구 스님 선원과 신도 선원을 운영하고 있으며 진리의 법당 법보전, 참선의 처소 선화당 등 작고 아담하지만 도량 깊은 사찰로 알려져 있다.",광주시
10,국청사(경기),경기도 광주시 남한산성면 남한산성로780번길 105,127.1771803,37.48407018,http://tong.visitkorea.or.kr/cms/resource/51/1954551_image2_1.jpg,"국청사는 인조2년(1624) 남한산성 축성시에 창건된 7개 사찰 중 하나로 당시 성내에는 망월사와 옥정사가 있었는데, 1624년 8도의 승군을 동원하여 남한산성의 축성의 전담케 하였기 때문에 7개 사찰을 창건하여 모두 9개 사찰에서 승군의 숙식, 훈련 및 외적의 침입에 대비하고 비밀리에 무기와 화약, 군량미 등을 보관하였다고 한다. 국청사는 그 후 을사조약때 의병의 군기고로 사용되다가 비밀이 누설되어 일본군에 의해 방화 소실된 것을 근래에 중건하였다. 사찰내에는 대웅전과 삼성각 및 종무소, 요사체가 있다. 절터는 작은 능선 사이에 완만하고 넓은 대지를 형성하고 있는데, 주변에 기와파편등이 많이 보이고 있으며, 1996.7.24 광주군수가 세운 표석이 있다.",광주시
11,남한산성 전통음식마을,경기도 광주시 남한산성면 남한산성로 731,127.1883878,37.47669068,http://tong.visitkorea.or.kr/cms/resource/40/1957740_image2_1.jpg,"* 산의 풍광을 즐기며 맛보는 전통음식, 남한산성 전통음식마을 * 삼국시대 이래로 우리민족사의 주요 군사요충지인  남한산성은 조선 선조에서 순조에 이르기까지 국방의 보루로 제16대 인조때 완공되어  300년 여의 역사를 가진 문화유산으로서 전통한옥으로 지어진 음식점에서 쌀밥, 도토리묵,  토종닭 등 전통음식을 맛볼 수 있다. * 남한산성에 대하여 *경기도 광주시 중부면(中部面) 산성리(山城里) 남한산에  있는 조선시대의 산성으로 1963년 1월 21일 사적 제57호로 지정되었다. 북한산성(北漢山城)과  더불어 서울을 남북으로 지키는 산성 중의 하나로, 신라 문무왕(文武王) 때 쌓은  주장성(晝長城)의 옛터를 활용하여 1624년(인조 2)에 축성(築城)하였다.",광주시
12,남한산성도립공원 [유네스코 세계문화유산],경기도 광주시 남한산성면 남한산성로 731,127.188385,37.47666846,http://tong.visitkorea.or.kr/cms/resource/56/2612856_image2_1.jpg,"과거 한양을 지키던 4대 요새 중 하나인 남한산성을 품은, 남한산성도립공원이 있다. 북쪽의 개성, 남쪽의 수원, 서쪽의 강화, 동쪽의 광주였다. 동쪽의 광주에는 남한산성이 있었다. 서울에서 동남쪽으로 24km, 성남시에서 북동쪽으로 6km 떨어져 있는 남한산에 위치하고 있으며, 길이는 총 12.4km(본성 8.9km, 외성 3.2km, 신남 산성 0.2km), 높이는 7.3m이다. 원래 2천여 년 전, 고구려 동명왕의 아들 백제의 시조 온조의 왕성이었다는 기록이 있고, 나당전쟁이 한창이던 신라 문무왕 13년(673)에 한산주에 쌓은 주장성이라는 기록도 있다. 그 옛 터를 활용하여 후대에도 여러 번 고쳐 쌓다가, 조선조 광해군 때(1621) 본격적으로 축성하였다 한다. 석축으로 쌓은 남한산성의 둘레는 약 12km이다. 자연석을 써 큰돌을 아래로, 작은 돌을 위로 쌓았다. 동서남북에 각각 4개의 문과 문루, 16개의 암문을 내었으며 동서남북 4곳에 장대가 있었다. 성 안에는 수어청을 두고 관아과 창고, 행궁을 건립했다. 유사시에 거처할 행궁은 상궐 73칸, 하궐 154칸, 좌전 26칸으로, 모두 252칸을 지었다. 80개의 우물, 45개의 샘을 만들고 광주읍의 행정처도 산성 안으로 옮겼다. 이쯤 되면 남한산성의 중요성과 성안이 유치 가능 인구도 짐작해 볼 수 있을 것이다. 산성이 축조되고 처음으로 시행(인조 17년, 1639)된 기동 훈련에 참가한 인원만 해도 12,700명이었다. 그러나 지금 성내에 남아 있는 건물은 불과 몇 안 된다. 동·남문과 서장대, 현절사, 연무관, 장경사, 지수당, 영월정, 침괘정, 숭렬전 이서 장군사당, 보, 루, 돈대 등이 남아있다. 그중 4대 문과 수어장대, 서문 중간쯤의 일부 성곽은 원형이 잘 보존되어 있다. 남한산성은 사적과  도립공원으로 지정되어 있다.",광주시
13,남한산성벚꽃길,경기도 광주시 남한산성면 검복길 11,127.1939235,37.47417996,http://tong.visitkorea.or.kr/cms/resource/63/2764163_image2_1.png,경기도 광주시  남한산성 길에 있는 벚꽃길로 광주시가 1997년부터 산벚나무를 심어 조성한 길이다. 남한산성 동문부터 남한산성 입구까지  하천을 끼고 약 8Km 가량 이어져 있으며 팔당호 주변 10Km의 팔당호 벚꽃길까지 이어진 드라이브 코스는 경기도 Top 5에 들 정도이다. 4월 중순 경부터 약 1주일가량 절정을 이루며 하천 모습과 벚꽃 가로수가 조화롭게 펼쳐져 봄이면 관광객들이 많이 찾는 곳이다.,광주시
14,남한산성행궁,경기도 광주시 남한산성면 산성리 935-1,127.18153,37.47889863,http://tong.visitkorea.or.kr/cms/resource/85/2764185_image2_1.png,"행궁은 한양도성을 임시로 대신할 용도로 조선 인조 4년 (1626)에 건립되었고 병자호란 때 아픈 역사를 품고 있으며, 일제 강점기 때 파괴되었다가 10여 년의 공사기간을 거쳐 현재 모습으로 복원되었다. 약 30,000㎡ 부지에 상궐, 하궐로 나뉘는데 정자, 좌전, 광주 유수의 집무사, 외행전, 임금의 처소인 내행전, 정문인 한남루 등이 있다. 행궁을 둘러보기 위해서는 행궁 매표소를 거쳐야 한다.",광주시
15,도자누리,경기도 광주시 경안천로 126,127.2734346,37.41656308,http://tong.visitkorea.or.kr/cms/resource/00/2820600_image2_1.jpg,"도자누리는 지역 장애인 가정들이 모여 관광 기념품을 개발 및 판매하는 특수한 마을 공동체 기업이다. 틀림이 아닌 다른 관점으로 장애인 가정의 섬세한 손길과 뜨거운 열정을 감동으로 체험할 수 있는 의미 있는 기념품을 구매할 수 있다. 체험 공방 또한 운영하고 있어, 남녀노소, 장애인/비장애인 누구나 쉽게 배울 수 있는 도자기 프로그램으로 멀게만 느껴졌던 도자기와 가까워 질 수 있다.",광주시
16,도척그린공원,경기도 광주시 도척면 도척로 676,127.3277914,37.29480039,http://tong.visitkorea.or.kr/cms/resource/84/2764184_image2_1.png,"경기도 광주시 도척면 유정리에 위치한 도척 면민의 쉼터이자 체육공원이다.  
지역주민들의 화합과 건강증진, 여가생활을 위해 완공한 그린 공원으로 약 30,000㎡ 부지에  체육시설을 갖춰 2013년에 완공했다. 인조잔디가 깔린 국제 규격의 축구장이 있고 야구장, 실내 게이트볼장, 테니스장, 씨름장이 있다. 지역주민들의 체육대회가 열리는 곳으로 휴식공간과 샤워실, 화장실이 갖춰져 있고  팔각정과 연못, 산책로와 쉼터가 있어 가족단위로 여가를 즐길 수 있는 곳이다.",광주시
17,무갑리계곡,경기도 광주시 초월읍 무갑길140번길 12,127.3237382,37.42119679,http://tong.visitkorea.or.kr/cms/resource/91/2764191_image2_1.png,"경기도 광주시 초월읍 무갑리에 있는 약 1km 정도 이어지는  계곡이다. 왼쪽으로는 관산, 오른쪽으로는 무갑산이 있다. 주차장이 따로 없어 공터나 길가에 주차를 해야 한다. 강수량에 따라 차이가 있지만 어른 무릎 높이의 물이 흐르고 있어 아이들과 물놀이하기에 적당하다. 주변에 음식점이나 카페가 없어 먹을 음식은 따로 준비가 필요하고. 넓게 자리를 펴고 앉을 곳이 없어 물 위에 놓을 수 있는 캠핑용 의자와 테이블을 지참하는 것이 좋다.",광주시
18,백향꽃누르미갤러리,경기도 광주시 도척면 얼음골길19번길 33,127.3070257,37.32711849,http://tong.visitkorea.or.kr/cms/resource/51/2398151_image2_1.JPG,"백향꽃누르미갤러리는 꽃누르미 명인이 운영하는 전시관이다. 18년 동안 만든 꽃누르미 액자 작품 100여 점이 전시되어 있다. 꽃누르미란 생화를 말려 수분과 공기를 제거하여 꽃의 색감과 아름다움을 그대로 유지시키고, 이러한 말린 꽃을 활용하는 예술 활동을 말한다. 액자 외에도, 브로치, 팔찌, 목걸이, 귀걸이, 가구 등에 활용하여 다양한 형태의 작품을 창작하고 있다.",광주시
19,분원리 붕어찜마을,경기도 광주시 남종면 산수로 1633-20,127.2991161,37.4959349,http://tong.visitkorea.or.kr/cms/resource/97/2481297_image2_1.jpg,"* 전국적으로 유명한 붕어찜을 먹어보자, 분원리 붕어찜마을 *분원리는 경기도 광주시 남종면에 있는 마을로 대부분의 지대가 비교적 완만한 구릉성 지형으로 이루어져 있으며, 마을 서쪽은 한강과 접하고 있다. 자연 마을로는 대추나뭇골, 안골, 장터 마을 등이 있다. 대추나뭇골 마을은 대추나무가 많다 하여 붙여진 지명이며, 안골 마을은 분원리 안쪽에 위치한다 하여 이름 붙여지게 되었다. 장터 마을은 옛날 장이 섰던 곳이라는 의미에서 불리워진 이름이다.* 분원리 붕어찜마을에 대하여 *분원리는 원래 조선백자 도요지였으나 1976년도 붕어찜 조리법이 경기도 향토지적재산으로 등록되고 1980년대에는 입소문을 타고 전국으로 유명해져 관광객들이 많이 찾고 있다. 현재 붕어찜 전문 음식점은 총 38개소에 달한다.",광주시
