,title,addr1,mapx,mapy,firstimage,overview,addr2
0,군포 조선백자 요지,경기도 군포시 산본동 1057-4번지,126.9285421,37.37497559,http://tong.visitkorea.or.kr/cms/resource/30/2733530_image2_1.jpg,"수리산 남동쪽 해발 91∼98m의 구릉에 자리한 이 가마터는 조선시대 자기를 굽던 곳으로, 비교적 가파른 암반 위에 있다. 가마 이외에 주변관련 유구는 확인할 수 없다. 가마는 7칸으로 아궁이 쪽이 좁고, 굴뚝부분이 넓은 조선 백자 가마의 일반구조를 보이지만, 아궁이 구조가 특이하다.  주로 대접과 접시종류가 많이 나왔고 항아리편이나 합으로 된 여러 종류의 자기가 발견 되었다.  특히 청화백자 조각이 많이 있었고, 대접에 복(福), 제(祭)의 여러 글자들이 씌어 있다. 이는 이 가마터가 일상 생활용기만 만든 것이 아니라, 특수용도의 그릇도 만들었음을 알려주는 것이다. 경기도 광주에 있는 나라에서 관리하던 가마터(관요)인 금사리 가마터에서도 이러한 자기류와 가마구조를 보이고 있어, 같은 시기(18세기 전반)에 제작되었음을 알려주며, 관요와 일반가마터의 관계 상황을 보여주고 있다. 산본동 가마터는 심한 파괴에도 불구하고 가마 제작방법과 관요와 일반가마터의 관계를 보여주는 조선후기 중요한 유적이다. 또한 일반가마터에서도 특수용도의 그릇을 만들었음을 알 수 있다.",군포시
1,누리천문대,경기도 군포시 대야2로 139,126.915314,37.33031109,http://tong.visitkorea.or.kr/cms/resource/83/2480883_image2_1.jpg,"누리란 “세상” 을 뜻하는 순수한 우리 옛말로 누리천문대는 인간 세상과 별 세상을 연결해주는 열린 천문대란 의미이다. 군포시를 대표하는 과학문화공간으로 천문대, 천문우주체험관, 4D 입체상영관, 플라네타리움 등 아담하고 알찬 시설을 갖추고 있다.칠흙같은 어둠 속에서 밤하늘의 별들이 반짝반짝 빛나고 말로만 듣던 북극성과 안드로메다 은하, 토성의 고리를 두 눈으로 확인하는 것도 신기하고 재미있는 일이다. 경기도 군포시 대야도서관 부설 누리천문대는 실생활에서  경험하지 못하는 신비한 과학의 세계를 보여주고, 아동과 청소년들의 잠재된 과학적 소질을  일깨워 주는 천문과학 프로그램을 제공하는 곳이다.",군포시
2,매쟁이골,경기도 군포시 속달로 347-34,126.9007399,37.34369817,http://tong.visitkorea.or.kr/cms/resource/45/2751145_image2_1.jpg,"매쟁이 골'은 경기도 군포시 속달동에 위치한 수리산 공원과 숲속 놀이터를 이르는 말이다.울창한 숲속 놀이터는 창의력을 발휘해 자유롭게 즐길 수 있도록 다양한 공간을 마련해 두었다.데크 산책길은 유모차를 끌고 여유 있게 산책할 수 있게 배려하였고 화장실과 음수대를 구비해 누구나 편안하게 공원을 이용할 수 있게 하였다. , 공원 주변에 매점이 없어 물이나 간식은 미리 챙겨 가는 게 좋다.",군포시
3,복합생활스포츠타운,경기도 군포시 군포로 339,126.9365229,37.33882993,http://tong.visitkorea.or.kr/cms/resource/57/2751157_image2_1.jpg,"'복합생활스포츠타운'은 경기도 군포시 부곡동에 위치해 있는 체육공원이다. 
여름에는 물놀이장, 겨울에는 눈썰매장을 개장한다. 실내체육시설인 군포 국민체육센터에는 수영장, 다목적 체육관, 탁구장, 헬스장, 다목적실, 문화교실, 스피팅실, 배드민턴장, GX룸, 요가실이 있고 실외에는 인조잔디축구장과 육상 트랙, 인조 잔디 풋살장, 게이트볼장, 그리고 배드민턴장, 테니스장, 농구장과 같은 실외 다목적 시설을 갖췄다. 육상 트랙이 있어 걷거나 인라인스케이트를 즐길 수 있지만 트랙 내부는 안전을 위해 반려동물과 자전거 출입은 제한된다. 단, 공원 내에서는 반려동물과 동반 입장과 산책이 가능하다. 봄이면 벚꽃동산과 철쭉 동산에서의 꽃구경도 볼만하다 .",군포시
4,산본IC체육공원,경기도 군포시 산본로 486,126.9288087,37.37544777,http://tong.visitkorea.or.kr/cms/resource/71/2751171_image2_1.JPG,"산본 IC 체육공원은 경기도 군포시 산본동에 위치한 체육공원이다. 외곽 순환도로 산본 IC 교각 아래에 2009년에 조성되어 산본 IC 체육공원으로 불린다. 배드민턴장 3면, 족구장 6면,  농구장 1면과 함께 다양한 운동기구가 설치되어 있다. 트랙 주변으로 지압 길을 포함한 산책로가 있고 인라인스케이트를 탈 수 있는 공간도 마련해 두었다. 여름에는 간이 물놀이장을 오픈한다. 주차가 무료라는 것도 공원의 장점이다",군포시
5,수리사(경기),경기도 군포시 속달로 347-181,126.89699,37.35410801,http://tong.visitkorea.or.kr/cms/resource/00/1252700_image2_1.jpg,"신라 진흥황 때 창건된 사찰로 수리산 남서쪽 중턱에 위치하고 있다. 그 뒤 어느 왕손이 이 절에서 기도하던 중 부처님을 친견했다고 하여 산 이름을 불견산이라고 했으나, 1940년대에 절 이름을 따서 수리산으로 바꾸었다. 대웅전 외에 36동의 건물과 산 내에 132개의 암자가 있는 대찰이었으나,  임진왜란 때 전소되었고 곽재우 장군이 말년에 입산하여 중창하고 수도한 곳이다. 그 후 6.25전쟁으로 다시 전소되었으며, 현재 산내에는 주춧돌, 불족석판, 석수각, 기와편 등이 대량 발견되고 있으며 1955년 다시 재건되었다. 수리사 입구 외길은 산림이 무성하고 계곡을 끼고 있어 경관이 뛰어나고 사찰을 두르고 있는 수리산은 병풍을 치고 있는 듯한 느낌을 주고 있다.",군포시
6,수리산 상상마을,경기도 군포시 수리산로 112,126.919435,37.35926892,http://tong.visitkorea.or.kr/cms/resource/79/2751179_image2_1.png,"수리산 상상마을은 다양한 세대가 경계 없이 만나 지식을 공유하고 어울리며 아이디어를 실험할 수 있는 열린 공간이다. 유익한 프로그램을 준비해 장기 혹은 단기 수강생과 함께 하며 어린이, 청년, 성인이 경계 없는 창작 활동을 마련해 서로 소통해 나아가는 것에 목적을 두고 있다.평생학습을 통해 시민 성장을 지원하고, 어린이 창의예술센터를 통해 어린이와 가족, 예술가가 함께 하는 가족친화적인 공간을 만들어 간다. 또 청년들의 새로운 도전을 모색하고 지원한다. 전시실이나 대강당 대관도 가능하고 다양한 전시 행사와 입주 단체의 활동도 함께할 수 있는 곳이다. 수리산 상상마을은 한마디로 평생학습과 어린이 문화예술교육, 건강한 학습 문화 생태계를 만들어 가는마을 광장이다.",군포시
7,수리산도립공원,경기도 군포시 속달로 347-4,126.9005398,37.34804766,http://tong.visitkorea.or.kr/cms/resource/53/1253553_image2_1.jpg,"군포 시민은 물론이고 안양, 안산 시민들에게 마음의 안식처로 사랑받고 있는 수리산은 군포시를 병풍처럼 둘러싸고 있는 군포시의 진산이다. 수리산 명칭 유래는 수리산의 빼어난 산봉의 방위가 마치 독수리같아 ""수리산""이라 하는 설이 있고, 또 신라 진흥왕 때 창건한 현재 속달동에 위치하고 있는 절이 신심을 닦는 성지라 하여 수리사라고 하였는데 그 후 산명을 ""수리산"" 이라 칭하였다는 설이 있는가 하면 조선조 때에는 왕손이 수도를 하였다하여 ""수李산""이라 부르기도 한다. 수리산 지형은 청계산(618m), 광교산(582m), 관악산(629m), 백운산(564m)등 광주산맥을 구성하고 있는 중요한 산지 중의 하나로, 군포시 북서쪽에 위치하고 있는 가장 큰 산으로 태을봉(해발 489m)을 중심으로 남서쪽으로 슬기봉(해발 451.5m), 북쪽으로는 관모봉(해발 426.2m), 북서쪽으로는 수암봉(해발395m) 등으로 구성되어 있다.산계는 수리산(태을봉 489m, 슬기봉 451.5m)이 군포시 서측에 남북으로 형성되어 안산시, 안양시와 경계를 이루며 수리산 능선이 동서로 뻗어 군포시를 양분하고 있으며  수리산은 평지에서 갑자기 솟아 오른듯한 산계를 이루고, 봉우리 및 절벽은 대체로 규암이고 계곡지대에는 풍화에 약한 흑운모호상 편마암이나 안구상 편마암이 많으며, 부분적으로 백운모 및 흑운모 편암이 협재되어 있다.수리산의 임상은 활엽수림 45%, 혼효림29%, 침엽수림 26%로 구성되어 있으며, 속달동에는 경기도유림 327ha가 있어 경기도 산림환경연구소에서 각종 수목에 대한 연구 . 조사를 하고 있으며, 속달동 '구릉터 당숲'은 지금도 음력 10월 1일이면 이틀간 동제(洞祭)가 치러지는 아름다운 마을 숲이다. 약 100년에서 300년 가량 된 고목들이 우거져 있는 이 숲은 조선 중기의 문신 정재륜(鄭載崙,1648~1723)과 그의 부인 숙정(淑靜)공주의 무덤 부근에 조성한 숲이라는 역사적인 배경 말고도 민속학적인 가치를 지니고 있어 주의를 끌고 있다. 숲의 가장 깊숙한 곳에 당집이 자리잡고 있고,  이곳은 중부지방 서해안 일대에 발달된 '터줏가리당'이며, 2002년에는 생명의 숲 및 산림청에서 주최한 『제3회 아름다운 숲』 전국대회에서 우수상을 수상할 정도의 아름다운 숲이 있다.",군포시
8,철쭉동산,경기도 군포시 고산로 470,126.9250124,37.35545835,http://tong.visitkorea.or.kr/cms/resource/02/2751302_image2_1.JPG,"군포의 철쭉동산은 수리산 등산로와 이어져 잇는 작은 언덕에 인공으로 조성한 철쭉 단지이다. 
20,000㎡의 동산에 자산홍, 영산홍, 산철쭉, 백 철쭉 등 약 15만 그루를 심어 철쭉으로 채웠다.
4월 말에서 5월 초 철쭉이 만개하면 양지공원과 연계하여 각종 음악공연과 전시회 체험행사 같은 다양한 문화행사가 열리고  방송 프로그램에도 소개되고 있다.
철쭉 동산은 군포 8경 중 하나로 꼽힐 만큼 장관이다.
야외무대와 분수대가 설치돼 있어 시민들의 휴식공간으로 이용되고 있다.",군포시
9,초막골생태공원,경기도 군포시 초막골길 130,126.918291,37.34912285,http://tong.visitkorea.or.kr/cms/resource/09/2751309_image2_1.jpg,"초막골 생태공원은 수리산이 갖고 있는 자연환경과 역사유적 등의 문화유산을 겸비한 생태문화공간으로 수리산 도립공원, 철쭉공원과 연결된 군포시의 새로운 랜드마크이다. 또한 군포시의 새로운 랜드마크로 생태·역사·문화 스토리를 담아 문화의 다양성과 생태의 다양성을 통해 미래 비전을 제시하고 있다. 
아름다운 숲의 전경을 감상하는 것은 물론 미로 찾기나 책 읽기, 9홀 규모의 파크골프장 등 다양한 활동이 가능하고 어린이를 위한 놀이터와 숲 체험장이 있어 가족 모두가 자신의 눈높이에 맞춰 공원을 즐길 수 있다.",군포시
