,title,addr1,mapx,mapy,firstimage,overview,addr2
0,경인아라뱃길유람선 현대크루즈호,경기도 김포시 고촌읍 아라육로270번길 74,126.7871265,37.59767221,http://tong.visitkorea.or.kr/cms/resource/76/2377576_image2_1.jpeg,"경인아라뱃길의 유일한 유람선 운항선사인 현대유람선은 1983년 설립되었으며, 국내 최초의 해양관광 유람선사업자로 34년간 1,300만명의 이용실적을 보유하고 있다. 설립이래 34년간 단 한건의 선박사고 없이 언제나 안전을 최우선으로 운항하고 있으며, 경인아라뱃길을 통해 한강에서 서해까지 운항 할 수 있는 유일한 여객·유람선사이다. 1,358톤급 (1,040인승)의 대형 유람선에서 펼쳐지는 외국인 공연단의 흥겨운 댄스공연과 마술쇼, 변검, 라이브 가수 공연 등 화려한 볼거리와 다양한 프로그램을 즐길 수 있다.",김포시
1,김포 덕포진,경기도 김포시 대곶면 덕포진로103번길 130,126.5366757,37.64983669,http://tong.visitkorea.or.kr/cms/resource/60/1591760_image2_1.jpg,"덕포진은 서해로부터 강화만을 거쳐 서울로 진입하는 길목인 손돌항에 천혜의 지형을 이용한 군사의 요충지로, 창설 시기는 임진왜란의 쓰라린 체험을 겪은 조선 왕조의 선조조로 추정된다. 그후 영조36년(1760)에는 덕포진에 종 3품의 수군첨사가 수군 316명을 지휘하였으며, 부에서 전속 방어 거리는 남쪽으로 15리에 이르렀다. 병인양요(1866)와 신미양요(1871) 격전을 치루었던 곳이며, 1980년에 발견되어 옛 모습대로 복원하였다. 발굴 당시 탄약고 및 포대에 불씨를 공급하기 위한 불씨 보관 장소 파수청지가 발굴되었고 소포, 중포, 포탄 및 상평통보가 출토되었다. 당시 발굴된 6문은 국립중앙박물관에, 덕포진 전시관에 1문이 보관중이다.",김포시
2,김포 사색의 길,경기도 김포시 김포한강11로 455,126.6993635,37.65483621,http://tong.visitkorea.or.kr/cms/resource/10/2653110_image2_1.bmp,"김포한강야생조류생태공원 내에 위치한 에코센터에서 용화사까지 이르는 길로, 한강을 두루고 있는 철책을 바라보며 산책할 수 있는 길이다. 옛 김포에서 대표 길로 뽑히던 48국도와 제방도로 중 공원 속 제방도로가 ''사색의 길''이라는 이름으로 재탄생되어 왕복 2시간여의 산책을 즐길 수 있는 장소로 변화했다. 산책을 하며 야생조류들이 서식하기 좋은 깨끗한 자연환경을 볼 수 있다.",김포시
3,김포 장릉(인헌왕후) [유네스코 세계문화유산],경기도 김포시 장릉로 79,126.7128301,37.61173314,http://tong.visitkorea.or.kr/cms/resource/42/2640342_image2_1.jpg,"장릉은 추존 원종과 인헌왕후 구씨의 능이다. 장릉은 같은 언덕에 왕과 왕비의 봉분을 나란히 조성한 쌍릉의 형식이다. 진입 및 제향공간에는 홍살문, 판위, 향로와 어로, 수복방, 정자각, 비각이 배치되어 있다. 능침은 병풍석과 난간석을 생략하고 호석만이 둘러져 있는데, 이는 원종이 왕으로 추존 되기 전 흥경원을 조성할 때의 호석이다. (출처: 문화재청)",김포시
4,김포레코파크,경기도 김포시 감암로 127,126.7094545,37.64296,http://tong.visitkorea.or.kr/cms/resource/72/2736572_image2_1.jpg,"※김포시는 하수처리시설 용량 부족과 분뇨처리시설 악취 문제해결을 위해서 분뇨처리시설 신설 및 공공하수처리장 증설공사를 추진 중에 있다. 
2021년 8월 말 착공하여 2024년 6월 준공예정이다.
레코파크(Recopark)란 (Recycle+Eco+Friendly+Park) 합성어로 하수를 께끗한 물로 재생하여 환경을 아름답게하고 시민과 함게하는 휴식공간이라는 똣의 하수처리장의 새로운 명칭이다. 하수처리장을 지상 또는 지하에 두고 여분 공간을 활용하여 운동시설을 접목한 곳이다. 하수처리장을 주민들의 여가활동을 위한  체육시설로 변화시킨 테마공원이다. 김포레코파크 외에 통진과 고촌에도 있다. 게이트볼장 파크골프장 주변으로 가벼운 산책길도 있어 풍광이 아름답다.",김포시
5,김포한강야생조류생태공원,경기도 김포시 김포한강11로 455,126.6993635,37.65483621,http://tong.visitkorea.or.kr/cms/resource/09/2653109_image2_1.bmp,"김포한강야생조류생태공원은 신도시 환경영향평가에서 환경부의 철새 서식환경 보전 요구에 따라 야생조류 취·서식공간을 보전하고, 생태 체험학습의 장소를 마련하여 시민과 생태가 공존하도록 조성된 공원이다.
① 사색의 길 (벚나무 산책길)
3.4km의 왕벚나무 산책길이자, 철책선을 배경으로 산책할 수 있는 제방도로로, 에코센터에서 용화사까지로 구성되어 있다.
② 습지생태원
기존 한강하구 간척농경지였던 곳을 다양한 습지식물과 어류등이 서식하며 사계절 생태계의 변화를 관찰할 수 있다.
③참나무류 숲
도토리를 맺는 나무, 참나무(도토리나무)가 모여진 숲으로, 신도시가 조성되면서 운양동·장기동·구래동 지역에 자라던 나무들을 모아 숲으로 조성했다.
④송송(松松)숲
김포시 대곶면 쇄암리 수묘장에서 100그루, 고촌읍 신곡리에서 신도시 개발로인해 옮겨진 소나무 400그루를 옮겨심어 울창한 숲을 조성하고 있다.
⑤낱알들녘
철새들의 먹이터전으로 계절에 따라 큰 기러기, 쇠기러기, 백로, 왜가리, 저어새, 노랑부리저어새 등 다양한 철새들과 고라니, 너구리 등의 야생동물이 서식하고 있다.
⑥오방원(五方園)
오방색에서 착안하여 열매, 꽃, 잎, 나무줄기등의 색깔과 이미지를 바탕으로 나무를 배치한 공원이다.",김포시
6,김포함상공원,경기도 김포시 대곶면 대명항1로 110-36,126.5393174,37.64075724,http://tong.visitkorea.or.kr/cms/resource/51/2396851_image2_1.jpg,"김포함상공원은 지난 62년간 바다를 지켜오다 2006년 12월 퇴역한 상륙함(LST)을 활용하여 조성한 수도권 최초의 안보의식 체험장 함상공원이다. 다양한 볼거리와 안보체험 등 독특한 경험을 할 수 있다. 문화관광해설사가 있어 해설사의 설명을 들으며 영상관, 선실재현공간, 한국전쟁 홍보관, 한주호 준위 추모관 등 전시관을 보다 재미있게 관람 할 수 있다. 상갑판을 지나 조타실, 전탐실을 올라가면 군인들이 생활하던 공간이 있고 이 공간을 통해 간접적으로 해군의 생활을 엿볼 수 있다. 운봉함의 가장 꼭대기인 함교에 올라서면 서해바다의 정취를 눈앞에서 느낄 수 있다.",김포시
7,김포향교,경기도 김포시 북변중로25번길 38,126.7099244,37.6247288,http://tong.visitkorea.or.kr/cms/resource/91/1591691_image2_1.jpg,"1398년(태조 7)에 현유(賢儒)의 위패를 봉안, 배향하고 지방의 중등교육과 지방민의 교화를 위해 창건되었다. 1979년에 부속건물을 신축, 보수하고 1980년에 재실(齋室)을 신축함과 동시에 전체 건물을 보수하였다. 현존하는 건물로는 대성전·명륜당·동재(東齋)·서재(西齋)·내삼문(內三門)·제기고(祭器庫) 및 기타 부속건물이 있다. 대성전에는 5성(五聖), 송조 2현(宋朝二賢), 우리나라 18현(十八賢)의 위패를 봉안하고 있다. 조선시대에는 국가로부터 전답과 토지·전적 등을 지급받아 교관이 교생을 가르쳤으나, 현재는 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행(奉行)하고 있으며, 전교(典校) 1명과 수명의 장의(掌議)가 운영을 담당하고 있다. 이 향교에서는 방학 동안 명륜학당(明倫學堂)을 개설하여 지방의 중등학생들에게 전통교육 등을 실시하고 있다.",김포시
8,라베니체광장,경기도 김포시 태장로 810,126.6773548,37.63761838,http://tong.visitkorea.or.kr/cms/resource/77/2781777_image2_1.jpeg,"김포 한강신도시가 개발되며 조성된 한강중앙공원은 수변산책길의 금빛수로와 라베니체 상가까지 멋진 산책길로 이어진다. 총 길이 2.68km 산책길로 이어지는 금빛수로 라베니체는 남단과 북단까지 다양한 풍경이 펼쳐진다. 물의 도시 베니스를 모티브로 조성하였다는 라베니체는 왕복 1.7km 수변을 따라 다양한 상점들이 이어진다. 센트럴플라자 중앙광장을 중심으로 수변 좌우로 생활소품과 음식점, 맥줏집 등으로 가벼운 산책 후에 쇼핑과 함께 힐링타임을 즐기기에 최적인 곳이다.",김포시
9,마송중앙공원,"경기도 김포시 마송공원길 50 토탄농경유물전시관,김포마송제1공원화장실",126.5983996,37.68715844,http://tong.visitkorea.or.kr/cms/resource/91/2853091_image2_1.jpg,"마송공원은 김포 마송아파트 단지 중앙에 있는 근린공원이다. 마송공원은 입구가 따로 정해져 있지 않아 가까운 곳으로 들어가면 된다. 공원에 들어서면 커다란 나무들이 꽤 많이 보이고 잔디와 분수 등이 잘 갖추어져 있어 애견과 함께 산책하기 좋은 곳이다. 공원에는 다양한 꽃들과 특이한 조형물들, 그리고 곳곳에 설치된 분수가 매시간 가동되며 운치를 더한다. 벼농사가 발달했던 김포 지역의 농경문화와 생활을 알 수 있는 관련 유물들이 토탄 농경유물전시관에 전시되어 있다. 여름에는 한시적으로 아이들이 신나게 뛰어놀며 즐길 수 있도록 공원 내 물놀이장도 운영된다. 김포마송공원은 분수 시설과 수경시설이 많은 근린공원으로 아이들과 산책하며 소풍을 즐겨도 좋다.
※반려동물 동반 가능 (목줄, 배변봉투 지참한 이용객에 한하여 허용)",김포시
10,모담공원,경기도 김포시 전원로 43 김포시 주제공원5호(모담공원) 공중화장실,126.6847344,37.64801175,http://tong.visitkorea.or.kr/cms/resource/30/2854730_image2_1.jpg,"모담공원은 운양동에 신도시를 조성하며 모담산을 중심으로 개발한 공원이다. 김포시에서 가장 큰 규모의 공원으로 북쪽으론 운양역과 남쪽에는 운양동 카페거리, 동쪽으로는 김포한옥마을과 김포아트빌리지가 있다. 공원 서쪽에는 여름 더위를 식혀주는 유명한 모담폭포가 있고 곳곳에 체력장이 설치되어 있다. 테마를 따라 소소한 즐길 거리가 많은 모담공원은 숲길 산책로를 따라 향토 유적 '심응사당'을 지나 전망대까지 가족과 함께 천천히 걷기며 즐길 수 있다. 심응사당은 조선 중기 무신인 양호공 심응 선생의 위패를 모신 사당으로 모담산에 묘소와 신도비가 있다.  
※ 반려동물 동반가능(목줄, 배변봉투 지참)",김포시
11,문수산,경기도 김포시 월곶면 문수산로 90-19,126.5389063,37.73914021,http://tong.visitkorea.or.kr/cms/resource/59/2736559_image2_1.jpg,한남정맥의 최 북서쪽에 위치한 문수산은 해발고도는 376m로 아기자기한 등산의 맛을 주며 사계절 경치가 아름다워 김포의 금강산이라 불린다. 정상에 오르면 산 아래에 염하강과 한강물이 유유히 흐르고 맑게 개인 날 한강 건너엔 손에 닿을 듯 북한 개성의 송악산까지 볼 수 있어 분단의 아픔을 느낄 수 있다. 문수산에는 조선 19대 숙종 20년(1694)에 바다로 들어오는 외적을 맞고 강화도 방어를 위해 쌓은 문수산성이 있어 외세의 침략에 저항한 옛 조상들의 숨결을 느낄 수 있다. 등산로 초입에는 산림욕장이 조성되어 있어 피톤치드와 음이온 등을 받으며 가벼운 휴식과 산책하기에도 제격이다.,김포시
