,title,addr1,mapx,mapy,firstimage,overview,addr2
0,고강선사유적공원,경기도 부천시 고리울로8번길 92,126.8184535,37.52446739,http://tong.visitkorea.or.kr/cms/resource/40/2736540_image2_1.jpg,"청동기에서 초기 철기시대(기원전 6세기~3세기)에 걸치는 마을 유적이다. 부천시 고강동에서 발굴 된 기원전 1,300여 년 전(3,300 년전)의 유적으로, 1996년부터 2005년까지 7차에 걸친 발굴조사를 통해 발견된 청동기시대의 집단취락지로, 한강유역 초기국가단계의 문화를 엿볼 수 있는 유적지다. 희귀한 제사 유적으로 보이는 적석환구가 작동 쪽 산꼭대기에서 발굴되었고, 청동기시대의 유물로는 갈아서 만든 반달돌칼, 돌칼, 돌도끼, 돌화살촉, 구멍 뚫린 토기, 점토띠토기, 제기형토기 등이 발견되었다. 공원 내 재현 모형과 체험시설이 많다. 부천문화둘레길 내 코스라 가볍게 가족과 함께 둘러 볼만한 관광지이다.",부천시
1,까치울 먹거리촌 (작동 먹거리촌),경기도 부천시 작동,126.813582,37.51482675,http://tong.visitkorea.or.kr/cms/resource/80/2480780_image2_1.jpg,"까치울은 작동산,지향산 등이 마치 병풍을 쳐놓은 듯 마을을 품에 안은 전원마을이다. 옛부터 까치가 유난히 많은 작고 아름다운 마을이라하여 까치울이라는 이름이 붙었으며, 성종의 다섯째 딸인 경숙옹주의 묘와 영조의 열번째 옹주인 화유옹주의 묘가 안장되어 있는 유서깊은 마을로 20여개의 음식점이 다양한 메뉴로 성업을 이루고 있다. 특히 오리를 이용한 보양식집이 주를 이루며, 경기도 지정 음식문화거리로 지정되며 시민들이 안심하고 믿고 즐겁게 외식할 수 있는 음식 안전지대, 마을가꾸기 특화사업(꽃밭,꽃길 조성 등).까치울 음악회 개최 등을 통해 아름다운 청정 농촌마을에서 온가족이 기쁨을 만끽할 수 있는 힐링공간 제공과, 행복한 밥상을 선보이기 위해 지속적으로 노력하고 있다.",부천시
2,나눔농장,경기도 부천시 대장로 111,126.7883474,37.54099271,http://tong.visitkorea.or.kr/cms/resource/35/2742435_image2_1.jpg,"서울 근교에 있어 접근성이 좋으며 동물들에 직접 먹이를 줄 수 있는 체험활동이 가능한 동물 친화적인 농장이다. 직접 부화하는 병아리를  관찰할 수도 있으며 강아지는 물론, 양, 염소, 칠면조, 닭, 오리 등 다양한 동물들을 직접 만날 수 있고, 먹이 주기, 젖 먹이기 등의 다양한 체험을 통해 자연학습을 경험할 수 있다.",부천시
3,남부수자원생태공원,경기도 부천시 연동로 89,126.8274069,37.47032106,http://tong.visitkorea.or.kr/cms/resource/69/2736469_image2_1.jpg,"서울 서남부 거점지역인 부천 옥길지구의 바로 옆에 있는 남부수자원생태공원은 넓은 잔디마당과 피라미드 수로, 풋살경기장, 농구장, 인라인스케이트장, 정원, 실개천과 자전거 도로 등 다양한 체육시설과 쉴 수 있는 공간으로 꾸며져있다. 역곡 배수구역과 오류3 배수분구에서 유입되는 하수를 2급수 수질로 처리하는 시설을 친환경적인 친수공간으로 조성하였다.  아이들이 물장구치며 놀 수 있는 물놀이장도 있다.",부천시
4,도당공원,경기도 부천시 소사로593번길 124,126.789962,37.51227941,http://tong.visitkorea.or.kr/cms/resource/46/759946_image2_1.jpg,"6월 초여름이면 도당산 백만송이 장미원은 장미내음이 짙어진다. 6만6천㎡에 20만여본의 장미가 빽빽히 식재되어 있으니 당연한 일일 것이다. 일단 장미원이 있는 도당공원까지 가면 중앙의 분수대를 중심으로 왼편으로‘부천향토역사관’이 눈에 들어온다. 아담한 크기의 건물이지만 안으로 들어가면 선사사대부터 현재까지 부천의 모든 역사가 각종 유물과 사진, 문서자료를 통해 고스란히 담겨 있다. 도당공원에 들어서서 분수를 중심으로 왼쪽길로 접어들면 장미가 양쪽에 심어진 좁은 소롯길을 만날 수 있다. 여기가 바로 장미원의 입구. 좁은 소롯길에 실망하며 장미원에 접어들면 실망은 곧 환호성으로 바뀐다. 도당산 북측 능선전체가 여러 가지 색깔의 장미꽃으로 가득 뒤덮혀 있는 모습은 실로 장관이다.",부천시
5,무릉도원수목원,경기도 부천시 춘의동,126.8182152,37.50335317,http://tong.visitkorea.or.kr/cms/resource/00/2782000_image2_1.jpg,"2012년 10월 개원하였으며, 총면적은 210,298㎡에 1,334종의 수목을 보유하고 있다. 수목원 입구에 있는 오리연못에는 무릉도원 수목원의 상징인 절리석의 기암절벽과 폭포가 있다. 수목원 중앙을 흐르는 계류에서는 꽃창포 등 다양한 수생식물을 관찰할 수 있으며, 좀 더 상류 쪽으로 가면 산부추, 단양쑥부쟁이, 도라지 등 600여 종의 숙근초 등이 있는 숙근초 화원을 볼 수 있다.",부천시
6,백만송이장미원,경기도 부천시 성곡로63번길 99,126.7932088,37.51710113,http://tong.visitkorea.or.kr/cms/resource/02/2736602_image2_1.jpg,"단일 장미공원으로는 국내 최대 규모로 면적 14,270㎡에 161종의 다양한 품종의 장미들이 아름다운 자태로 뽐내고 있는 곳이다. 보통 장미 개화 기간은 5월 말부터 6월 초까지다. 장미원은 상시 무료 개방으로 도당 근린공원 내에 위치하고 있다. 7호선 까치울역에 내려 마을버스 013-3 번을 타면 장미공원에 갈 수 있다. 공원 입구에 들어서면 도당근린공원의 안내도가 있고, 근린공원 내에 백만송이장미원이 자리해 있다.",부천시
7,볼베어파크,경기도 부천시 조마루로 2,126.7442498,37.50002169,http://tong.visitkorea.or.kr/cms/resource/59/2767659_image2_1.jpeg,"볼 베어 파크는 경기도 부천시에 있는 국내 최대의 테마파크이다. 어린이들이 좋아하며 가족들과 함께 즐기기에 좋은 다양한 체험 프로그램과 놀이 기구가 있다. 스포츠존, 챌린저존, 디지털존, 영유아존으로 구성되어 있으며 주말 및 공휴일에만 운영되는 볼 베어 파크 톨앤핏이 있다. 스포츠존은 스포츠 테마파크로 온 가족이 함께 즐길 수 있는 스포츠 활동으로 구성되어 있으며, 챌린저존, 디지털존은 대형 볼풀장, 카레이싱뿐만 아니라 디지털 AR, VR 등을 즐길 수 있다. 수도권에서 멀지 않으며 경기도 부천뿐만 아니라 서울에도 있어 나들이 장소로 좋다.",부천시
8,부천 동물테마파크 하이주,경기도 부천시 원미구 길주로 105,126.7537932,37.506435,http://tong.visitkorea.or.kr/cms/resource/06/2002706_image2_1.jpeg,"우리나라에 이색적인 동물원이 있다. 아직은 낯선 행동 자율형 동물원 하이주는 아이들의 정서지능 향상과 동물과 인간의 공존을 위해 진짜 교감을 느낄 수 있도록  푸른마음 정서지능연구소와 함께 신발을 벗고 맨발로 걷는 동물원을 만들어 냈다. 선진국의 Micro Zoo를 기반으로 대형 동물원과는 달리 부천 상동역 7~8번출구 앞 세이브존 백화점 실내에 350여평 규모로 운영되는 실내 동물원으로,  동선을 따라 전시된 동물을 관람하는 것이 아니라 동물들 앞에 아이들이 마주 앉거나 눕고, 뒹굴며 다양한 행동 속에서 동물을 접할 수 있도록 설계하여 반려동물을 키우는 가정의 아이들이 하고 있는 다양한 행동을 똑 같이 체험되도록 시도 한 것이다. 익히 알고 있듯 아이들의 정서지능 발달에 좋다는 동물과의 교감은 기존 대형 동물원의 전시와 체험형 동물원의 반짝 체험으로 이루어지는 것이 아니라 아이들이 반려동물과 함께 자라며 이루어지는 부모들의 조언과 다양한 행위 속에서 시작되게 된다. 하이주는 이러한 행동자율형 동물원이라는 개념을 탄생시키며 아이들은 물론 부모들까지 기존 동물원의 관람방식을 진짜 교감을 시도 할 수 있는 관람 문화로 이끌어가고 있는 동물원이다. 선진국의 Micro Zoo의 개념대로 도시 밀착형을 위해 커피숍 카페 형태로 개발된 하이주 김해점과 함께 다양한 모델을 확장시키고 있다.",부천시
9,부천 원미공원,경기도 부천시 원미구 소사로 456,126.7978866,37.49754515,http://tong.visitkorea.or.kr/cms/resource/38/2705838_image2_1.jpg," 원미공원은 주변에 중앙도서관이 있으며 축구장, 테니스장, 농구장, 현충탑 등이 있다. 등산코스도 가꿔져 있고 삼림욕장도 있어 가벼운 마음으로 산에 오르기가 좋고 곳곳의 약수터도 인기를 끈다. 이처럼 부천 원미공원은 시민들의 휴식처와 어린이들의 교육장으로 인기가 높다. 원미산 아래 왕복 6차선 멀뫼길 옆에 자리잡은 이 공원은 휴식과 스포츠를 동시에 즐길 수 있는 곳으로 23,800여평의 부지에 조성돼 있다. 원미공원 내 현충탑에서 곧바로 올라가면 원미산 등산로와 연결된다. 정상까지의 거리는 4km로 부담없는 산책 코스라 하겠다.어린이 교통공원도 화제거리이다. 이 어린이 교통공원은 평일에는 부천과 인근 유치원생들이 찾아와 교통질서 의식과 법규를 배우고 개별적으로 찾아도 10명 이상이면 교통질서 비디오를 상영해 준다.",부천시
