,title,addr1,mapx,mapy,firstimage,overview,addr2
0,거북섬,경기 시흥시 정왕동 2724,126.6794357,37.32182734,http://tong.visitkorea.or.kr/cms/resource/50/2782050_image2_1.jpg,"거북섬은 경기도 시흥시 시화 MTV(Multi Techno Valley)에 조성된 거북이 모양으로 생긴 인공섬이다. 시흥시에서는 거북섬 일원에 세계적인 해양레저 복합단지를 조성하여 지역관광산업 부흥을 도모하고 일자리 창출 등 지역경제 활성화에 기여하는 개발사업을 진행하고 있다. 현재 거북섬에는 세계 최대 규모의 아시아 최초 인공서핑장인 웨이브파크가 있고, 근처에 다양한 카페와 식당이 있어 여름휴양지로 부상하고 있다.",시흥시
1,관곡지,경기도 시흥시 관곡지로 93,126.8040693,37.40265906,http://tong.visitkorea.or.kr/cms/resource/92/760292_image2_1.jpg,"조선 전기의 명신이며 농학자로 널리 알려진 강희맹(1424~1483) 선생이 세조 9년 진헌부사가 되어 명나라에 다녀올 때 남경에 있는 전당지에서 전당연의 씨를 가지고 들어와 지금의 하중동에서 연 재배를 시작하여 점차 펴지게 되었다. 이 연못은 강희맹 선생의 사위인 권만형(사헌부감찰) 가(家)에서 대대로 관리되어 오고 있으며, 옛 지명과 연계하여 '관곡지'로 불린다. ",시흥시
2,맑은물상상누리,경기도 시흥시 공단2대로 14,126.696692,37.33721753,http://tong.visitkorea.or.kr/cms/resource/11/2648311_image2_1.bmp,"맑은물상상누리는 시흥 맑은물관리센터 내 유휴공간을 활용하여 조성된 공간이다. 관제탑과 소화조로 사용하던 시설은 맑은물상상누리의 주제관인 ‘비전타워’가 되어, 시화지구의 역사 및 맑은물상상누리의 옛 모습을 볼 수 있는 곳으로 재탄생했다. 그밖에 하수처리과정을 체험형 전시를 통해 알아볼 수 있는 ‘창의센터’, 가스저장소가 즐거운 체험공간으로 재탄생한 ‘놀이통’, 물의 기원에 대해 다시 생각해 볼 수 있는 설치작품이 전시된 ‘문화관’ 등 다양한 볼거리가 있다.",시흥시
3,물왕동 토속음식마을,경기도 시흥시 동서로 865-76,126.8453882,37.38492296,http://tong.visitkorea.or.kr/cms/resource/95/2481195_image2_1.jpg,"1950년대 이승만 대통령의 전용낚시터로 유명하며 산과 호수가 어우러진 물왕저수지 토속음식마을은 매운탕, 오리탕, 닭백숙, 장어구이, 한식 등 향토음식을 맛볼 수 있다.",시흥시
4,물왕호수,경기도 시흥시 물왕동,126.8301258,37.38283126,http://tong.visitkorea.or.kr/cms/resource/07/1960107_image2_1.jpg,"화려한 조명을 받은 저수지의 야경이 아름다워 또 오고 싶은 물왕호수에는 저수지 구석 구석 숨은 맛집을 찾아다니는 재미가 있다.
시흥시에서 가장 규모가 큰 물왕호수의 다름 이름은 흥부 저수지. 저수지를 설치할 당시 1945년에 행정구역이 시흥군과 부천군이었기 때문에 시흥의 '흥'자와 부천군의 '부'자를 취한 것이다.  비갠 후 물왕호수에 걸쳐 뜨는 무지개는 가히 신선경이라 할 수 있다.",시흥시
5,미생의다리,경기도 시흥시 방산동 779-21,126.7507853,37.40081666,http://tong.visitkorea.or.kr/cms/resource/05/2750905_image2_1.jpg,"미생의 다리의 '미생'은 시흥시의 슬로건인 '미래를 키우는 생명도시'의 줄임말로, 경기도 시흥시 방산동에 있다. 자전거 모양처럼 생겼다 하여, 자전거 다리라고도 불린다. 이곳에서 보는 일출과 일몰이 아름다워 출사지로 유명하다. 또 다른 시흥의 관광지인 갯골생태공원이 가까이에 있어서 함께 둘러보기 좋다.",시흥시
6,배곧생명공원,경기도 시흥시 배곧2로 25,126.7214971,37.37137234,http://tong.visitkorea.or.kr/cms/resource/52/2748752_image2_1.jpeg,"배곧생명공원은 '생명을 품은 도시'를 지향하는 배곧 신도시에 조성된 생태 공원으로 배곧 마루, 스카이데크, 갈대 산책로, 공연장 등으로 구성되어 있다. 도란뜰이라는 가족 피크닉장이 마련되어 있어 가족 단위로 즐기기에 좋으며, 다양한 야생화를 감상할 수 있는 갈대랑길과 하늘마루 등이 조성되어 자연 속에서 산책할 수 있다. 이 외에도 갈대 습지원과 새봄 마루에서는 기수역 공원에서 볼 수 있는 다양한 생물들을 관찰할 수 있다. 배곧생명공원의 정상인 배곧 마루는 높이 29m의 평평한 잔디밭으로 조성되어 소규모 야외 행사 및 현장 학습이 가능하다. 배곧생명공원은 자연 환경을 보존하며, 인간과 자연이 함께하는 공원으로 ‘생명-참여-문화’라는 슬로건을 내세우고 있다. 이러한 취지에 어울리게 인간만을 위한 공원이 아니라 다양한 동·식물이 함께 사는 생명 공원으로 조성되었으며, 공원 곳곳의 길 이름은 공모를 통해 시민이 직접 지은 이름을 사용하였다. 또한 2015년 개장 이후 배곧 마루 생명 콘서트, 대한민국 도시농업박람회, 해넘이 행사, 마라톤 대회 등 각종 다양한 문화 행사가 열리는 문화의 장 역할을 하고 있다.",시흥시
7,법륭사,경기도 시흥시 하중로173번길 11,126.8041472,37.39630702,http://tong.visitkorea.or.kr/cms/resource/19/2750819_image2_1.jpg,"경기도 시흥시 하중동에 위치한 '법륭사'는 1986년에 덕기대화상에 의해 창건된 사찰이다. 대한불교조계종 직지사의 말사이다. 법륭사는 여느 사찰들과 달리 지역 주민의 생활 터전에 자리하고 있다. 주택가에 자리한 생활형 사찰으로 부설 유치원인 아란 유치원은 2018년에 졸업생 1,000명을 배출하였고, 법륭사 신도회 봉사단을 주축으로 다양한 봉사활동을 펼치고 있다.",시흥시
8,비둘기공원,경기도 시흥시 비둘기공원7길 47,126.7941024,37.44154048,http://tong.visitkorea.or.kr/cms/resource/68/2748768_image2_1.jpg,"비둘기공원은 경기도 시흥시 은행동에 위치한 근린공원으로, 넓은 공간에 각종 체육시설과 야외무대, 장미원 등이 조성된 시흥시를 대표하는 시민공원이다. 또한 비둘기공원은 베리어 프리 공원으로서 고령자나 장애인, 유모차 이용자 등의 사회적 약자들이 불편함 없이 이용할 수 있다.",시흥시
9,산들공원,경기도 시흥시 군자로466번길 20-1,126.7800814,37.34727895,http://tong.visitkorea.or.kr/cms/resource/45/2771045_image2_1.jpg,"경기도 시흥시 거모동에 있는 '산들공원'은 공원, 녹지 시설이 부족한 주거밀집지역 내 도심 속 오아시스를 제공하고자 조성되었다. 주요시설로는 운동시설(풋살구장, 배드민턴장, 체력단련장, 산책로), 유희 시설(물놀이시설, 놀이 시설), 휴게시설(잔디광장, 야외무대, 수변 데크), 편익시설(화장실, 관리사무소) 등이 조성되어 시민들의 여가와 휴식, 운동 공간으로 사랑받고 있다.",시흥시
