,title,addr1,mapx,mapy,firstimage,overview,addr2
0,4.16희망목공소(4.16희망목공협동조합),경기도 안산시 단원구 순환로 416,126.8349848,37.34369145,http://tong.visitkorea.or.kr/cms/resource/67/2698667_image2_1.bmp,"4.16희망목공소는 안산의 버려진 나무를 활용하여 제품 및 목공 체험으로 새 생명을 부여하는 곳이다. 목공을 통해 더불어 사는 따뜻한 세상을 만들고자 2015년부터 세월호 엄마아빠들이 모였고 2019년 5월 개소를 통해 목공소를 운영하게 되었다.  목공소의 든든한 파파스머프 미지아빠(유해종), 투털이지만 묵묵히 작품을 만드는 민정아빠(김병준), 열정 넘치는 수연아빠(이재복) 세 명의 목수가 주축이 되어 세월호의 정신과 아이들의 꿈, 세상을 향한 희망을 목공을 통해 전달하고 있다. 톱질과 사포질 하나하나에 그리움과 희망을, 더 나은 사회를 향한 꿈을 담아내고 있다.",안산시
1,각골공원,경기도 안산시 상록구 본오동,126.8741021,37.29147042,http://tong.visitkorea.or.kr/cms/resource/69/2863969_image2_1.JPG,"각골공원은 경기도 안산시 상록구 본오동에 있는 근린공원이다. 다양한 운동기구가 있어 간단한 운동을 즐길 수 있다. 산책로가 있고, 곳곳에 정자와 쉼터가 있어 산책을 즐기기 좋다. 산책코스를 따라 올라가면 데크 전망대 겸 쉼터가 있다. 데크 전망대부터는 산 능선 길로 이어진다. 주요 시설로는 테니스장, 체육관, 주차장이 있다. 체육관에서는 배드민턴교실, 탁구교실, 라인댄스, 다이어트댄스, 일일 배드민턴, 일일 탁구 프로그램을 운영하고 있다. 공원 내 주차장이 있어 편하게 방문할 수 있다. 
※반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)",안산시
2,개미허리아치교,경기도 안산시 단원구 구봉길 240,126.5476266,37.28055204,http://tong.visitkorea.or.kr/cms/resource/60/2761360_image2_1.jpg,"개미허리 아치교는 경기도 안산시 단원구 구봉도에 위치한 교량으로, 다리가 마치 개미허리를 닮았다 하여 개미허리 아치교라고 불린다. 만조때에는 이곳을 거쳐 안산의 9경 중 하나인 구봉도 낙조 전망대에 갈 수 있으며 이곳을 지날 때는 마치 바다 위를 걷는 듯한 느낌을 준다. 낙조 전망대는 서해안의 아름다운 낙조와 대부도의 비경을 가장 잘 감상할 수 있는 곳이다. 대부 해솔길 1코스에 포함되며 이곳과 낙조 전망대를 거쳐 종현 어촌체험 마을에 도착하게 된다.",안산시
3,고래뿌리선착장,경기도 안산시 단원구 대부남동 529-2,126.5692296,37.19999509,http://tong.visitkorea.or.kr/cms/resource/69/2761569_image2_1.png,"고래뿌리 선착장은 경기도 안산시 대부도의 서남쪽 끝단에 있는 선착장이다. 뾰족한 해변 모양이 고래의 입을 닮았다고 해서 고랫부리라는 이름이 붙여졌다고 한다. 썰물 때 등대까지 가는 길이 드러나 걸어가거나 차량으로 이동할 수 있고, 바다로 이어진 선착장 길을 따라 산책할 수 있다. 또 개인적으로 낚시를 할 수도 있으며 가을철 망둥어 낚시로 유명하다.",안산시
4,구봉솔숲해수욕장,경기도 안산시 단원구 대부북동 1870-87,126.5540398,37.28192699,http://tong.visitkorea.or.kr/cms/resource/43/2761543_image2_1.jpg,"구봉솔숲해수욕장은 경기도 안산시 단원구 대부북동에 있는 해수욕장이다. 해수욕과 갯벌 체험을 할 수 있고, 아름다운 낙조를 감상할 수 있어 대부도의 낙조 명소로 유명하다. 해수욕장 앞으로 카페나 식당이 있어 바다를 보며 식사를 하거나 휴식을 취할 수 있다. 또 오토캠핑장과 야영장이 근처에 있어 캠핑이나 차박을 할 수도 있다. 대부해솔길 1코스로 걸어가면 멀리서 해수욕장을 감상할 수 있다.",안산시
5,그랑꼬또 와이너리 그린영농조합,경기도 안산시 단원구 뻐꾹산길 107,126.5821435,37.25708037,http://tong.visitkorea.or.kr/cms/resource/75/2947975_image2_1.jpeg,"그랑꼬또 와이너리에서는 간단한 테이스팅에서부터 와이너리 투어까지 다양한 체험을 할 수 있으며 체험을 하면서 음식 문화와 와인에 대해서, 또한 한국에서 재배되고 있는 포도 품종 등 기존에 많이 접하지 못했던 정보와 한국 와인에 대해 잘 알 수 있는 유익한 시간을 보낼 수 있다. 와이너리 투어와 와인 테이스팅은 성인에 한하여 체험이 가능하며, 와인병 공예, 머그컵 만들기 등의 체험은 어린이도 가능하다.",안산시
6,누에섬 등대전망대,경기도 안산시 단원구 선감동,126.6322686,37.18727823,http://tong.visitkorea.or.kr/cms/resource/54/1589654_image2_1.jpg,"출입항 어선의 안전을 도모하고 도시민에게 쾌적하고 볼거리 있는 어촌관광이 되도록 하여 지역경제 활성화 및 어업외 소득원을 창출하고자 ""누에섬 등대전망대""를 건립하였다.* 규모 - 지상3층, 등탑 (대지면적 2175.2㎡, 건축면적 274.4㎡) ",안산시
7,단원조각공원,경기도 안산시 상록구 성호로 131,126.8596389,37.31508131,http://tong.visitkorea.or.kr/cms/resource/39/2763339_image2_1.jpg,"단원조각공원은 경기도 안산시 상록구에 있다. 조각공원이라는 이름에 걸맞게 다양한 조각들이 공원 산책로를 따라 전시되어 있다. 전시된 조각들은 국내 최고 작가의 작품이나 단원미술대전의 수상 작품들로, 산책하며 조각 작품을 살펴보는 재미가 있다. 공원 근처에는 안산식물원, 성호기념관이 있어 여유롭게 걸으며 둘러보기 좋다.",안산시
8,대부광산퇴적암층,경기도 안산시 단원구 대부황금로 74,126.6452588,37.19864936,http://tong.visitkorea.or.kr/cms/resource/44/2762644_image2_1.jpg,"대부광산 퇴적암층은 경기도 안산시 단원구 선감동에 있다. 이곳은 원래 대부광산의 채석장이었던 곳으로 암석 채취 중 초식공룡 케니리키리움의 발자국 1족이 발견, 신고된 이후, 총 23개의 공룡발자국 및 식물화석 클라도플레비스(Cladophlebis)가 발견되었다. 대부광산 퇴적암층은 서울 근교에서 유일하게 중생대 지질층과 화산암체를 종합적으로 볼 수 있고, 인근 화성의 시화호 공룡알 화석지(천연기념물)와 관련되어 당시의 식생 및 환경을 판단해 볼 수 있는 실마리를 제공하는 중요한 지질층이며, 대부도의 대표적인 비경 중 하나이다.",안산시
9,대부도,경기도 안산시 단원구 대부황금로 1531,126.5852714,37.24372086,http://tong.visitkorea.or.kr/cms/resource/32/2656732_image2_1.jpg,"안산의 하와이로 불리는 대부도는 시화방조제로 연결이 되어 육지가 된 섬이지만 아직도 섬이 가진 낭만과 서정이 곳곳에 남아있는 곳이다. 무엇보다도 대부도 가는 길목은 섬과 섬을 잇는 색다른 드라이브를 즐길 수 있다. 특히 돌이 검다는 탄도, 부처가 나왔다는 불도, 신선이 노닐었다는 선감도를 비롯해 섬 여섯개가 마치 형제처럼 어깨를 맞대고 서해에 있다 해서 불리는 육도, 겨울이 되면 굴과 바지락을 채취하기 위해 인근 도리도로 이주했다가 이듬해 설이 되기전에 돌아오는 독특한 생활방식을 가진 풍도 등은 독특한 멋을 간직한 곳이다.
대부도는 갯벌에서 맛조개, 동죽 등을 직접 잡을 수 있고, 그 외에도 고동, 조개 등을 손쉽게 잡을 수 있으며, 망둥이, 넙치, 우럭, 놀래미, 등을 바다낚시로 즐길 수 있다. 대부도 지역은  다양한 특산물로 유명한데 육도는 바지락과 굴이, 풍도는 소라젓과 천연 둥글레차가, 대부도는 특히 바지락칼국수가 시원함을 자랑한다. ",안산시
