,title,addr1,mapx,mapy,firstimage,overview,addr2
0,건강나라,경기도 안성시 죽산면 죽양대로 136-16,127.43689,37.09311178,http://tong.visitkorea.or.kr/cms/resource/54/757254_image2_1.jpg,"건강나라는 자연 속에서 편안하고 따뜻한 마음가짐을 가지고 함께 여유롭고 차분하게 휴식을 취할 수 있는 공간이자 건강을 염두에 둔 문화 공간으로서 안성시 죽산면 매산리 부지에 문을 연 건강 체험시설이다. 매산리 야산 아래 넓은 주차장과 기와 지붕을 얹은 산뜻한 2층 건물로서 찾아오는 이들의 마음을 시작부터 편안하게 해주고 있으며 실내 또한 여러 종류의 체험실이 다양하게 마련되어 있어 기호와 취향, 특성에 맞게 각자의 건강 관리를 할 수 있다. 뿐만 아니라 체험실의 바닥은 옥돌과 황토로 깔려 있어 기 순환에 좋으며 실내 인테리어와 편의시설 등도 분위기 있고 환하게 꾸며놓았다.",안성시
1,경앙사,경기도 안성시 양성면 덕봉리,127.1787758,37.0444683,http://tong.visitkorea.or.kr/cms/resource/67/757267_image2_1.jpg,"경앙사(景仰祠)는 1964년 석농(石農) 오진영(吳震泳)선생의 문인들이 선생의 학덕(學德)을 기리기 위해 세운 사당으로 매년 음력 3월 10일에 춘제(春祭)를 드리고 있다고 한다. 현재 이 곳에서는 석농 오진영 선생과 그의 스승인 전우선생과 오희상 선생 등 세 분을 모시고 있다. 건물의 총 건평은 26㎡(8평)으로 겹처마 맞배 지붕의 한옥이며 홍살문, 삼문, 사당 등이 차례로 배치되어 있다. 특히 현판 액자는 석농(石農)의 제자인 월헌(月軒) 이보림(李普林)선생이 썼다고 전해지는데 여기서 ‘경앙’은 “(高山仰止 景行行止) 즉, 산은 사람을 우러러 보고 길은 사람이 많이 다니므로 천하 만인에게 존경을 받는다”라는 의미를 나타낸다고 한다.",안성시
2,고삼저수지,경기도 안성시 고삼면 고삼호수로 108,127.2968169,37.08364923,http://tong.visitkorea.or.kr/cms/resource/75/2739075_image2_1.jpg,"1963년 준공된 광활한 저수지로 인근 지역 들에 물을 공급하고 있다. 수초가 많아 물고기가 살기 좋다. 영화 <섬>이 촬영지로 유명하다. 안개가 자욱한 새벽의 몽환적인 풍경은 한 폭의 그림 같다. 때문에 사진작가들이 많이 찾는 촬영지로 유명하다. 호수 둘레길을 아침 새소리와 함께 산책해도 좋다.  오토캠핑, 차박지로  알려지고 있다. 저수지에는  3개의 섬 (바석섬, 팔자섬, 동그락섬)이 있다. 호수의 면적이 넓어  육지 속에 바다 같은 느낌을 준다. 호수 둘레는 14km로 차량으로 25분이 소요된다.  벚꽃 드라이브코스가 유명하다. 무료 야영지가 있고, 해돋이 해넘이 관람 장소이기도 하다.",안성시
3,고삼호수,경기도 안성시 고삼면 향림길 50,127.2849678,37.08844291,http://tong.visitkorea.or.kr/cms/resource/36/1893536_image2_1.jpg,"경기도 안성에 자리한 고삼호수는 60년에 준공한 94만 평 규모로, 몽환적이고 서정적인 신비감을 간직한 천혜의 장소이다. 김기덕 감독의 영화 섬의 주 무대인 고삼호수는 푸른 물과 그 위에 떠있는 좌대의 풍경이 인상적이다. 고삼호수는 낚시터로 유명하지만, 영화가 개봉된 후 관광코스로도 알려지기 시작했다. 서울 시내에서 비교적 가까운 곳에 위치해 당일코스로 가능하며, 영화에서는 호수 모두를 오픈세트화 해 원형 그대로 고즈넉한 분위기를 즐길 수 있다. 이 곳은 깨끗한 수질에 수심이 얕고 연안에 수초가 잘 형성되어 있어 붕어와 잉어가 특히 많다. 주변의 잉어통구이, 토종닭, 장어구이, 매운탕집 등의 상점이 있다. 주변의 명승지로는 세계에서 유일하게 자생적으로 새로운 종교를 받아들이게 되었다는 평판을 들을 정도로 신앙심이 깊었던 우리나라 천주교인들의 성지인 미리내가 있으며,  지난 84년 로마 교황청으로부터 천주교 성인으로 봉인된 103위의 천주교 성인의 성전과 초대 신부인 김대건 신부의 묘와 경당, 그리고 사제관, 수도원 등이 자리하고 있다. 또한, 미산호수 등 인근에 낚시터가 많아 강태공의 발걸음이 끊이지 않는 곳이다.",안성시
4,국사암,경기도 안성시 삼죽면 텃골길 80-100,127.3422686,37.07136258,http://tong.visitkorea.or.kr/cms/resource/53/486053_image2_1.JPG,"국사봉 정상으로 향하면 국사암이라는 작은 절이 바위 틈새를 비집고 앉아 있다.법당 오른쪽 옆으로 국사봉의 궁예미륵이라 불리는 세 개의 아담한 미륵이 있다. 그러나 이 미륵은 미륵이라기보다 석인상에 걸맞을 정도로 몸의 전체적인 비례에 비해 모자가 거대하고 손 모양도 수인이 아니라 선비들이 합장을 하고 있는 듯한 모습이다. 목도 지나치게  짧으며 얼굴의 윤곽에는 불상이 주는 이미지나 친근미가 나타나 있지 않는다. 석불의 발목 이하는 땅에 매몰되어 있다. 지상에 노출된 본존의 높이는 320cm이고, 3단의 원형보개를 육계부분에 끼워 놓았다. 얼굴은 타원형으로 두 귀가 어깨까지 늘어져 있으며, 수인은 오른손을 가슴에서 손가락을 안으로 모으고, 왼손은 배에 대고 손가락을 쫙 펴고 있다.법의는 양어깨를 덮은 통견으로, 양팔에 도식적인 주름을 도시적으로 새기고 있다. 하반신에 U자형으로 주름에 있는 것으로 봐서 군의를 가슴 부위에서 묶은 것으로 보는데, 허벅지 위에 커다란 연화문을 새겨놓았다. 우협시와 좌협시 역시 둥근 보개를 쓰고, 본존과 동일한 표현자세를 하고 있는데 크기가  약간작고, 들고 있는 지물 육화장과 합이 다를 뿐이다. 불상의 후면에는 아무런 조각을 가하지 않았다. 이 석조삼존 입상은 조각수법이나 형태를  보아 조선후기나 근대에 미륵신앙의 유행과 더불어 제작된 것으로 보인다.",안성시
5,금광관광농원,경기도 안성시 금광면 현곡길 344,127.3609007,36.95944804,http://tong.visitkorea.or.kr/cms/resource/69/1048969_image2_1.jpg,"안성시 현곡리는 칠현산 서쪽 자락에 깊숙히 들어앉은 곳으로 경기도 내에서도 손꼽히는 오지다. 입구는 금광저수지가 있고 저수지 상류인 맑은 물줄기를 따라오르며 2~3개의 작은 부락을 지나면 계곡의 맨 끝자락이 관광농원이다. 맑고 청정하기로 견줄 데가 없는 모습이다. 원시림 같은 자연수림이 사방으로 드리웠고, 계곡물을 이용한 수영장, 그림 같은 가족 낚시터, 잔디구장,  식당 등을 고루 갖춰 놓아 평일은 중소 기업체나 대기업의 부서별 야유회, 야외행사, 향우회, 동창모임 등 크고 작은 행사장으로 줄을 잇고 주말은 가족 나들이장소로 자리를 굳히고 있다. 상설 음식점과 숙박시설을 고루 갖추고 있어 숙식의 불편 없이 야외행사를 치러낼 수 있다.* 특징 - 중소기업체, 유치원 및 종교단체의 연수모임과 야유회, 주말 가족나들이 적합 ",안성시
6,금광호수,경기도 안성시 금광면,127.3354991,36.99767651,http://tong.visitkorea.or.kr/cms/resource/63/190763_image2_1.jpg,"1965년 9월에 준공된 금광호수는 V자 계곡형 호수로서 물낚시와 얼음낚시가 잘 되어 겨울철 빙어 낚시터로 많이 찾는 곳이다. 도로에 인접해 교통이 편리하고, 좌대, 연안 낚시 모두 좋다. 봄철 산란기에는 최상류 수초밭에서 떡붕어 월척이 대량으로 낚이고 여름철에는 최상류보다는 중ㆍ하류에서 호황을 보인다. 포인트 이동이 쉽다. 또한 금광호수 주변에는 소문난 맛집들이 많고, 조각공원과 음악이 잔잔한 청학대 미술관도 둘러볼 수 있다. 금광호수를 끼고 산림이 우거진 도로변을 따라 진천방향으로 향하는 드라이브 코스도 일품이다. 경기도투어호텔로 지정된 금강모텔과 비치호텔 등 고급 숙박시설이 갖추어져 있다.",안성시
7,낙원역사공원,경기도 안성시 낙원길 78,127.2732573,37.00541339,http://tong.visitkorea.or.kr/cms/resource/08/2480308_image2_1.jpg,"낙원역사공원(안성공원)에는 모두 46기의 공덕비 선정비, 문인석, 송덕비가 있고, 소설가 이봉구 님의 문학비가 있다. 고려시대의 삼층석탑, 흩어져 있던 좌대 불상 광배들을 모아 만든 석불좌상, 석남사에서 출토되었다는 광배와 좌대 등이 남아 있어 많은 볼거리와 이야깃거리를 전해준다. 그 중 특히 유념해서 볼 것이 오명항선생(1673~1728)송공비라 할 것인데, 이는 원래 동본동에 있던 것으로 1969년에 이곳으로 이전, 복원하였다. 선생은 영조 4년(1728)에 이인좌의 난을 평정한 4도 도순무사로 분무1등공신이 되었으며 송공비는 이를 기리기 위하여 1744년(영조 20년)에 만들어진 것이다. 소설가 이봉구님은 안성 출신으로 일제하에서는 농촌계몽운동을 펼치기도 하였으며 작품으로는 실명소설 ‘명동 에레지’, ‘방가로’ 등이 있으며, 안성을 무대로 한 ‘안성장날’이 있다. ",안성시
8,너리굴 문화마을,경기도 안성시 보개면 너리굴길 100,127.2788641,37.04064832,http://tong.visitkorea.or.kr/cms/resource/43/1954543_image2_1.jpg,"너리굴문화마을은 비봉산 자락에 자리잡고 있다. 너리굴문화마을에서 '너리굴' 이란 말은 안성 토박이 말로, 백두산 천지부터 시작된 산맥이 차령산맥의 끝부분인 비봉산 자락에서 넓은 골짜기가 되었는데 그것을 '너리굴'이라고 표현한 것이다. 너리굴문화마을은 자연과 예술이 한데 어울려 있는 마을이라고 말할 수 있다.* 엄마목장너리굴 엄마목장은 사슴이 살기 좋은 최적의 환경을 지니고 있다. 비봉산 정상에서  샘솟는 청정한 약수, 주변의 공장이나 마을, 논밭,과수원, 축사 등과 완벽하게 분리된 공간지형, 질 좋은 사료를 제공해주는 풍부한 야초들과 울팡한 나무들이 사슴우리 주변을  감싸고 있는 것, 자연방목 방식으로 자유롭게 넓고 푸른 초원을 뛰어다니는 사슴들은 일상에 지친 도시인들에게는 목가적인 풍경의 휴식처이자, 어린이들에게는 자연학습의 장이 되어 준다.* 산책로등산로가 버거운 사람들은 가벼운 기분으로 산책로를 이용할 수도 있다.  숲 사이에 가르마처럼 난 오솔길 산책로가 산을 빙 둘러 나있다.  엄마목장이 끝나는 자락에 오른쪽으로 좁은 길이 나오는데 이곳이 바로 산책로로 들어가는 입구, 무엇보다 주변경관이 뛰어나고 길이 평탄해 힘들이지 않고 가볍게 산책을 즐길 수 있다. 특히 산 중턱에서 만나게 되는 탁 트인 공간은 안성 시내의 고즈넉한 변두리 풍경을 그림처럼 펼쳐 보여준다.너리굴 미술관은 현대적인 양식의 세련된 절제미 속에 고아한 아취를 담고 있는 미술전시공간이다. 개관 이래 작가 권용자의 <누드 크로키 전> 등 국내외에서 활발한 활동을 펼치고 있는 신진 중견작가들의 작품을 전시해왔다.  특히 예술가들의 집성촌이라고 불릴 정도로 많은 예술인들이 모여있는 안성 내에서 쓰임새 많고 특색있는 전시 발표 공간 역할을 하고 있다.너리굴아트숍은 단순히 다양한 종류의 소품을 판매하는 장소가 아니다. 너리굴에서 행해지는 여러가지 문화 예술프로그램의 결과물들이 한데 모여있는  독특하고 이색적인 공간이다.  원하는 사람들은 저렴한 가격에 물건을 구입할 수도 있으며 도자기, 액세사리, 생활소품 뿐만 아니라 무형문화재 이경자 선생의 금속공예 작품들도 감상할 수 있다. 이 이외에도 동물농장, 입사박물관, 야외공연장, 조각공원 등 여러가지 볼거리가 많다.  또 금속공방, 조소공방, 조각공방, 도자기공방들은 여러가지 재료를 이용해서 우리생활에 사용되는 다양한 물건들을 직접 만들어 볼 수 있는 곳으로 자신이 손수 만든 여러가지 소품과 생활용품들은 세상에서 단 하나밖에 없는 특별함이 있고 귀중한 체험의 시간이 될 수 있을 것이다. 또한, 학생들에게 유익한 전통문화교실과 과학교실은 전문 선생님들의 재밌는 강의와 실습으로 이루어져 학생들에게 유익한 학습의 장 역할도 한다.",안성시
9,덕봉서원,경기도 안성시 양성면 덕봉리 108,127.192169,37.04622667,http://tong.visitkorea.or.kr/cms/resource/42/1954542_image2_1.jpg,"1695년(숙종 21) 지방유림의 공의로 오두인(吳斗寅)의 충절과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 1697년에 ‘德峰(덕봉)’이라고 사액되어 사액서원으로 승격되었으며 1794년(정조 18) 강당을 중수하였다. 이 서원은 흥선대원군의 서원 철폐 시 훼철되지 않고 존속한 47개 서원 중의 하나이며, 선현배향과 지방교육의 일익을 담당하여왔다. 그 뒤 1979년 사우(祠宇)를 중건하고 1984년에 동재(東齋)와 서재(西齋)를 중건하여, 오늘에 이르고 있다. 경내의 건물로는 6칸의 사우(祠宇), 10칸의 정의당(正義堂), 동재·서재·외삼문(外三門)·내삼문(內三門)·홍살문［紅箭門］ 등이 있으며, 사우에는 오두인의 위패가 봉안되어 있다.",안성시
