,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가남체육공원,경기도 여주시 가남읍 대명산길 98,127.5349142,37.20170935,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,"가남체육공원은 가남면 태평리에 위치한 주민들을 위한 다목적 체육활동 공원이다. 2003년 설립되어 2010년 확장 준공을 마쳤으며 태극기공원과 운동장으로 이루어져있 다. 족구장, 테니스장, 국궁장을 보유하고 있으며 약 500석의 관람석과 1,200명의 수용이 가능한 인조잔디 축구장이 있다. 또한, 봄이면 공원에 피는 벚꽃들로 인한 절경을 감상할 수 있다.",여주시
1,금은모래강변공원,경기도 여주시 강변유원지길 164,127.6719438,37.28941284,http://tong.visitkorea.or.kr/cms/resource/61/2781861_image2_1.jpg,"여주 남한강 주변의 자연공원이다. 우리나라 최대 생태공원으로, 아이누리놀이터, 순환산책로 등이  있다. 또한 계절별로 다양하고 특색있는 식물들은 금은모래강변공원의 볼거리이다. 남한강을 따라 자리잡고 있기 때문에 저녁시간에는 남한강의 일몰 풍경을 감상할 수 있다. 공원의 주변에는 폰박물관, 명성황후생가유적지, 신륵사, 여주아울렛 등이 있다. 뿐만아니라 공원의 옆으로는 여주 금은모래캠핑장이 자리하고 있어서 금은모래강변공원 안팎으로 다양한 즐길거리가 있다.",여주시
2,대법사,경기도 여주시 가남읍 안금3길 3-43,127.6045766,37.22896026,http://tong.visitkorea.or.kr/cms/resource/30/1591430_image2_1.jpg,"* 명성황후의 출생 전설과 관련된 사찰, 대법사 *대법사는 1971년에 창건된 신생사찰이다. 하지만 원래 이곳은 통일신라 때부터 절이 있었다고 전하고 있다. 창건 시기는 정확하지 않으나 통일신라시대 진성여왕 때 창건되었으며 창건 당시에 높이 0.9m의 미륵입상을 조성하여 ‘미륵당’으로 불렀다고 전해진다. 1971년부터 대웅전과 요사채, 1988년에 지장전과 종각을 세웠으며 1989년 대웅전을 중수하였다.경내에 구조물로는 일주문, 국사당, 범종각, 대웅전, 지장전, 삼성각 등이 있다. 대웅전은 정면 5칸, 측면 3칸 건물로 다포계 팔작지붕으로 되어 있으며 석가여래, 관음보살, 대세지보살이 봉안되었다. 대웅전 앞에는 석등, 삼층석탑, 약사여래좌상이 있다. 지장전은 정면 3칸, 측면 2칸의 익공계 팔작지붕 건물이며 지장보살, 지장탱화, 칠성탱화, 시왕도, 범종을 봉안하고 있다. 삼성각은 정면 2칸, 측면 1칸에 콘크리트 건물로 독성상, 산신상을 봉안하고 있다.* 대법사와 명성황후의 이야기 *대법사가 유명한 이유는 민비, 즉 명성황후와 그의 아버지인 민치록과 인연이 깊은 곳이기 때문이다. 대법사가 여흥민씨와 인연을 맺게 된 것은 조선 숙종 때의 일로 사찰인근에 인현왕후의 오빠인 민진후(閔鎭厚)의 묘를 쓰면서 부터이다. 이후 묘소를 관리하며 살아가던 명성황후의 부친 민치록(閔致祿)이 꿈에 미륵불을 현몽하고는 땅을 파서 미륵불을 발견하였다. 이 후 법당을 새로 지어 불상을 봉안했는데 부인 한산이씨가 정성으로 불공을 드려 낳은 자식이 바로 명성황후라고 한다.그 후 명성황후가 후일 고종의 비로 책봉되자 절을 원당사(願堂寺)로 개칭하였으며, 민씨 일가의 성원으로 절은 더욱 번성하게 되었던 것이다.그러나 세월의 흐름 속에 원당사는 사라지고 오늘날의 대법사로 거듭나게 되었는데 절을 새로 창건한 대원(大元)스님 또한 어느 날 꿈에 현몽한 대법사라는 서책을 보고 절의 이름을 지었다고 한다. 현재 원당사의 발자취는 대웅전에 모셔진 미륵불을 통해 느껴볼 수 있다. 이 석불은 한때 사찰에서 석고를 발라 좌불을 만들고 금칠을 해 모시기도 했으나 세월이 흐르면서 석고는 떨어져나가고 원래의 모습인 지금의 돌부처만 남게 되었다고 한다.",여주시
3,매산서원,경기도 여주시 능서면 능서로 94-8,127.5764019,37.30640635,http://tong.visitkorea.or.kr/cms/resource/02/2724102_image2_1.jpg,"세조 때에 경상남도 거창과 산청지방 유림의 공의로 문익점(文益漸)의 학문과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 그 뒤 이색(李穡)을 추가 배향하고 ‘매산(梅山)’이라고 사액되어 선현배향과 지방교육의 일익을 담당하였다. 병자호란 때 문익점의 후손인 문겸(文謙)이 현재의 소재지로 이건하였으며, 대원군의 서원철폐령으로 1868년(고종 5)에 훼철되었다. 1952년에 여주경찰서장으로 취임한 문상규(文相圭)가 복원하여 오늘에 이르고 있다. 경내의 건물로는 3칸의 매산사(梅山祠), 12칸의 강당, 내신문·외신문 및 동·서 협문 등이 있다. 사우인 매산사에는 문익점과 이색의 위패가 봉안되어 있으며, 강당은 유림의 회합 및 학문의 토론장소로 사용되고 있다. 매년 3월 중정(中丁)에 향사를 지내며, 제품(祭品)은 6변(?) 6두(豆)이다.",여주시
4,명성황후 생가,경기도 여주시 명성로 71,127.6556516,37.26049366,http://tong.visitkorea.or.kr/cms/resource/56/184956_image2_1.jpg,"* 명성황후 생가에 대하여 *명성황후 생가는 조선 고종(재위 1863∼1907)의 비 명성황후(1851∼1895)가 태어나서 8살 때까지 살던 집이다.명성황후는 민치록의 딸로 철종 2년(1851)에 태어나 16살에 고종의 왕비가 되었다. 그 후 정치에 참여하여 개화정책을 주도해 나갔으나, 고종 32년(1895) 을미사변 때 일본인에 의해 살해되었다. 능은 청량리에 있었다가 1919년 고종황제가 세상을 떠나자 홍릉으로 함께 합장되었다.명성황후 생가는 숙종 13년(1687)에 처음 지어진 집으로, 그 당시 건물로는 안채만이 지금까지 남아 보존되고 있다. 1996년에 안채는 수리되었고 행랑채와 사랑채, 별당채 등이 함께 지어져 원래의 모습을 되찾았다.명성황후 생가는 조선 중기 살림집의 특징을 잘 보여주고 있는 집이다.* 명성황후 기념관에 대하여 *왜곡된 역사를 바로잡아 올바른 역사관을 정립하고자 건립하였으며 명성황후(明聖皇后, 1851~1895) 생가 맞은편에 위치해 있다. 전시실은 면적 520㎡로 명성황후와 고종의 어진 등의 유물·같은 시기에 활약하였던 여흥 민씨들의 유물과 관련 자료들을 전시한다. 명성황후의 친필과 시해당일 일본인이 사용했던 일본도(복제품), 시해장면을 재현한 매직비젼 영상물 등 당시 시대상황을 알 수 있는 각종 자료가 전시되어 있다. 기념관 옆에 있는 161석의 공연장에서는 명성황후와 관련된 영상물을 단체 관람객들에게 상영하고 있으며, 그 주변으로 명성황후의 개화사상과 민족 자주정신을 계승하기 위하여 명성황후 조각공원을 조성하여 볼거리를 제공하고 있다. 생가 옆에 “명성황후탄강구리” <명성황후가 태어나신 옛 마을>이라 새겨진 비석이 세워져 있어 명성황후가 이곳에서 태어났다는 것을 증명하고 있다. 그 옆에는 인현왕후의 아버지 민유중 선생의 신도비가 있고, 그곳으로부터 우측 산쪽 150m 지점에 그분의 묘가 있다.",여주시
5,봉서정,경기도 여주시 금사면 수부촌길 35,127.5316867,37.39855875,http://tong.visitkorea.or.kr/cms/resource/28/1111628_image2_1.jpg,"봉서정은 경기도 여주시 금사면 이포리 수부말마을 내에 세워져 있는  고려시대의 정자이다. 원래의 정확한 위치를 알 수 없어 광주 이씨 문중이 1995년 지금의 위치에 2층 누각으로 중수한 것이다. 팔작지붕에 정면 3칸, 측면 2칸의 규모로 단청을 화려하게 채색하였으며, 정면엔 이형재(李衡載)가 쓴 “봉서정(鳳棲亭)” 현판이 걸려 있다.봉서정은 고려말의 학자, 둔촌(遁村) 이집(李集, 1314~1387)이 이포(梨浦)로 낙향해서 세운 정자이다. 이집의 본관은 광주(廣州), 자는 호연(浩然)으로 1349년(충목왕 3)에 과거급제해서 관직에 진출하였고 포은 정몽주(1337~1392), 목은 이색(1328~1396) 등과 교유했다. 1368년(공민왕 17) 신돈(辛旽, ?~1371)의 전횡을 비판하여 미움을 받자, 이에 생명의 위협을 느껴 경상도 영천의 천곡(泉谷) 최원도(崔元道) 집으로 피신하여 4년간 은둔하였다. 1371년 신돈이 주살되자 다시 정계에 복귀하여 판전교사사(判典校寺事)에 임명되었으나 곧 사직하고 여주의 천령현(川寧縣, 지금의 이포 일대)으로 내려가 봉서정을 짓고 논시강학(論詩講學)하며 주경야독으로 소일하였다. 정몽주가 봉서정으로 이집을 심방(尋訪)하여 국정의 자문을 받기도 하였다. 또한, 이색의 침류정(沈流亭)과 척약재(?若齋) 김구용(金九容, 1338~1284)의 육우당(六友堂)도 이웃에 있었다고 전한다.",여주시
6,사슴마을,경기도 여주시 금사면 장흥로 94,127.4734537,37.37548536,http://tong.visitkorea.or.kr/cms/resource/32/2481332_image2_1.jpg,"* 메기와 가재를 잡을 수 있는 청정 마을,사슴마을 *여주시와 광주시의 경계에 솟은 천덕봉(635m) 북동쪽에
들어선 산골마을이다. 총면적의 86.4%가 산림으로 둘러싸인 주록(走鹿) 마을은 지명에서도 알 수 있듯이 깊은 산과 깨끗한 물에 사슴이 뛰어노는 듯 아름다운 풍경을 지녔다. 마을의 실개천은 가재가 살고 있을 정도로 청정 지역이다. * 사슴마을의 다양한 체험 프로그램 *농림부와 산림청이 각각 녹색농촌체험마을, 산촌휴양마을로 지정해서 향토 민박과 체험 프로그램이 풍부한 곳이다. 인근의 금사저수지에서는 60cm 급 메기가 잡히고 계절별로 과일 따기, 고구마 캐기 등 농사체험을 할 수 있다. 여름철이면 도시에서 방문한 아이들의 물놀이터 구실을 하는 등 아이들에게 다양한 체험을 제공한다. 이러한 청정 환경과 체험 프로그램으로 단골 방문객들도 꾸준히 증가하고 있다. 매년 가을마다 김장체험 프로그램을 운영하는 것도 특징이다.",여주시
7,세종천문대,경기도 여주시 강천면 부평로 3,127.7542484,37.25735972,http://tong.visitkorea.or.kr/cms/resource/91/1955791_image2_1.jpg,"* 최대 규모를 자랑하는 사설 천문대, 세종 천문대 *
세종천문대(Sejong Astronomical Observatory)는 1998년 6월에 경기도 여주시 강천면 부평리의 여주청소년수련원 내에 설치된 사설천문대이다. 천문대에는 국내 민간최대의 26인치 ‘불곡천체망원경’ 등의 최첨단 천체 관측시설을 갖추고 있다. 사설 천문대로는 최대 규모의 시설과 다양한 프로그램을 보유하고 있으며, 천체관측 및 별자리공부를 할 수 있다. 또한, 500여 명을 수용할 수 있는 대규모 숙박시설 등의 부대시설을 갖추고 있는 국내 최대 규모의 종합 천문교육시설이다.

* 세종천문대의 다양한 프로그램 *
세종천문대 외에 도자기 실습장, 양초 공예장, 영농체험장, 대운동장, 극기체험장, 수영장, 서바이벌 게임장 등의 시설을 보유하고 있다. 그리고 섬강을 접하고 있기 때문에 래프팅을 즐길 수도 있다. 이러한 시설을 기반으로 다양한 프로그램을 운영하고 있다. 프로그램은 주로 청소년을 대상으로 하고 있으나, 기업 
및 일반단체, 가족을 위한 프로그램도 있다.",여주시
8,여주 고달사지,경기도 여주시 북내면 상교리 421-8,127.6551784,37.39303944,http://tong.visitkorea.or.kr/cms/resource/23/750423_image2_1.jpg,"현재는 폐사된 고달사가 있던 사찰터. 고달사는 764년(경덕왕 23)에 창건되었던 사찰로 고달원(高達院)이라고도 한다. 고려시대에 광종(光宗) 이후 역대왕들의 비호를 받던 사찰이었으나, 언제 폐사되었는지는 분명하지 않다. 절터는 여주시 혜목산(慧目山) 산자락에 있다. 고달사 석조물은 모두 고달이란 석공이 조성했다는 전설이 있다. 고달은 가족들이 굶어 죽는 줄도 모르고 불사에 혼을 바쳤다고 한다. 불사를 끝내고 스스로 머리를 깎고 스님이 되었으며, 훗날 도를 이루어 큰 스님이 되었으니 고달사라 불렀다는 전설이다.창건 당시의 사찰은 실로 광대하여 지금의 상교리 일대가 전부 사역으로 추정되며 절 부근에 큰마을이 형성되었음을 짐작케 한다.
지금 광활한 사역에는 유물만 남아 있다. 현재 절터는 복원을 위한 발굴 조사가 조직적으로 진행 중이다.고달사터에는 고려시대의 부도를 대표하는 국보인 고달사지 부도와 보물인 유물들이 있으며, 이들 석조 유물들은 하나같이 넘치는 힘과 호방한 기상이 분출하는 가운데 화려하고 장엄한 기운을 간직하고 있다.원감국사의 부도로 추정되는 고달사지 부도는 빼어난 균형미와 아름다움을 인정받아 국보로 지정되었다. 우리나라에서 가장 거대한 석불대좌(보물), 강렬한 힘을 간직하고 있는 원종대사 혜진탑비 귀부 및 이수(보물), 비교적 온전히 보존되고 원종대사 혜진탑(보물)이 있다.",여주시
9,여주 늘향골마을,경기도 여주시 점동면 도리길 152,127.7056982,37.22349607,http://tong.visitkorea.or.kr/cms/resource/68/2481768_image2_1.jpg,"* 천혜의 땅에서의 다양한 체험, 도리 늘향골마을 *도리 늘향골마을은 명성황후와 같은 여흥 민씨의 집성촌이며, 가남면 안금리 일대에 살던 조상들이 강변으로 이주해 와서 정착한 마을이기도 하다. 돛단배의 모양을 한 마을에는 여전히 들고 나는 길이 하나이며 아홉사리 고개에 핀 구절초는 늘향골마을의 상징이 되었다. 또한 늘향골마을은 여러 차례의 전화를 겪으면서도 한 번도 외침의 피해를 입지 않은 천혜의 요충지이다. 마을 뒤쪽으로는 큰 강이 흐르고, 동네 앞 저만큼에는 소무산 ‘아홉사리’고개가 가로막아 진입이 쉽지 않았던 탓이다. 도리마을에서는 일찍부터 땅콩농사를 많이 지어왔다. 땅콩이 자라기에 안성맞춤인 토질 덕분에 고소한 맛과 영양을 자랑한다.추수 끝난 후 채 떨지 않은 땅콩총대를 들고 강가로 나가 자갈밭에 불 피워 놓고 구워먹다보면, 손이며 입가로 그을음 잔뜩 묻히고서도 좋아라 깔깔대던 어릴 적 땅콩서리에 대한 기억을 떠올릴 수 있을 것이다. 마을 뒤편 강가는 수심이 얕고 백사장이 넓어 한여름 물놀이 장소로 제격이다. 마을 들판은 농약을 거의 사용하지 않는 탓에 마을 앞 들녘엔 메뚜기며 미꾸리가 많은데, 잡은 민물고기로 매운탕을 끓여 먹는 맛도 그만이다. 겨울에는 철새들이 날아드는데, 늘향골마을에서는 강변을 따라 철새탐조 코스를 조성해 생태 체험을 겸하게 하고 있다. 수자원 보호구역이며 남한강과 청미천이 
만나는 합수머리에 위치해 수많은 동식물들과 철새들이 살고 있는 자연친화 청정마을로 농촌체험· 자연생태체험 학습장으로 천혜의 자연경관(산·들·강)을 활용한 풍부한 체험프로그램이 있다.* 도리 늘향골마을의 다양한 볼거리 *도리마을에는 몇 가지 볼거리가 있는데, 그 중 으뜸은 
남한강이다. 삼합리쪽에서 섬강과 만나는 남한강은 강천쪽의 물과 도리쪽의 물이 완전히 다른 빛입니다. 특히 청미천과 만나면서 여울을 이루는 도리 강변의 풍경은 이루 말할 수 없는 낭만을 연출한다. 두 번째의 볼거리는 마을 동쪽 산등성이인 중군이봉. 중군이봉의 마지막 능선안부를 거치면 가파른 절벽 위쪽의 신선바위를 만나게 된다. 신선바위는 먼 옛날부터 신선들이 내려와 노닐던 곳이라는 전설을 가진 바위이다. 혹자는 공룡의 발자국이라고 부르기도 하는 거대한 두 개의 구멍이 바위 위에 나 있는데, 그 구멍에는 언제나 물이 마르지 않고 샘솟는다고 했다.",여주시
