,title,addr1,mapx,mapy,firstimage,overview,addr2
0,1.21 무장공비 침투로,경기도 연천군 장남면 반정리 294,126.8281566,37.97020173,http://tong.visitkorea.or.kr/cms/resource/72/2690272_image2_1.jpg,"※ 민통초소에 신분증 제시하여 출입 가능 (25인 이상 출입시 일주일 전 신청서 제출 요망)

고랑포에서 서남쪽으로 3.5km지점에 위치한 무장공비침투로는 1968년 1월 17일 23시 북한군 제124군 소속 김신조 외 30명이 남방 한계선을 넘어 침투한 곳이다. 북한은 당시 김신조 외 30명의 무장공비를 1968년 1월 21일 서울로 잠입시켜 대통령 관저(청와대) 폭파와 요인 암살 및 주요 기관 시설을 파괴하고자 하였다. 그러나 1968년 1월 19일 21시경  파주시 법원리에 거주하는 나무꾼이 신고하여 군·경 합동으로 무장공비 소탕작전이 1968년 1월 20일부터 1월 30일까지 전개되어 사상자 29명, 도주 1명, 체포 1명(김신조)의 전과가 있었으나 우리 군·경의 피해도 적지 않았다.

현재 무장공비침투로에는 그 당시 이곳에 주둔한 미군 제2사단 방책선 경계부대에서 설치한 경계 철책과 철조망을 뚫고 침투한 무장공비의 모형물을 만들어 전시하고 있다. 관할 군부대에서는 1999년 10월 1일자로 민통선 북방 지역 출입 통제를 일부 완화하여 사전 신청에 의한 견학이 가능하다.

* 사건개요
1) 침투일시 - 1968년 1월 17일 23:00
※서울잠입 - 1968년 1월 21일
2) 침투부대 - 북한 제124군 소속 김신조 외 30명
3) 침투경로 - 황해도 연산 출발 1968년 1월 16일 14:00 방책선 통과 법원리 뒷산 도착1월 18일 노고산 비룡에서 1박, 청와대 위치 확인 후 서울 청운동까지 침투
4) 침투목적
- 대통령 관저 폭파 및 요인 암살
- 주한 미 대사관 폭파 및 대사관 직원 암살
- 육군본부 폭파 및 고급지휘관 사살
- 서울교도소 및 서빙고 폭파
- 북한 간첩 대동 월북
5) 발견 - 1968년 1월 19일 21:00 파주시 법원리
6) 작전기간 - 1968년 1월 20일 ~ 1월 31일(12일간)
7) 전과 - 생포 1명, 사살 29명, 도주 1명
8) 피해 - 15연대장 이익수, 종로경찰서장 최규식, 민간인 5명 사망,시내버스 4대 완파 및 승무원 피해
9) 복원사업 - 사업량 - 도로포장 147m, 석축 165m, 철조망 600m, 망루 1개소, 조형물 1식(7인), 펜스 81m, 안내판 및 편의시설 등",연천군
1,38선마을,경기도 연천군 백학면 노곡로42번길 5,126.9236082,37.99528941,http://tong.visitkorea.or.kr/cms/resource/87/2690587_image2_1.jpg,"38선마을은 연천군 서남쪽에 위치하여 9km 전방에 휴전선과 마을 입구에 임진강이 흐르고 야산과 농지로 구성되어 있으며 인근에 제1땅굴 및 전곡리 구석기유적지, 경순왕릉, 숭의전 등 문화재가 소재하고 있어 도시민들의 관광과 휴식지역으로 최적지이다.  특히 지역 특산품인 병배를 비롯한 수박, 참외 등과 같은 농산물을 도시 지역에 판매하여 연간 8억원 내외의 매출실적을 올리고 있다. 비무장 지대와 인접한 청정지역으로 생산되는 농·축산물은 품질이 우수하고 신선도가 높아 도시민들에게 판매가 적합하여 주민 소득증대에 크게 기여하고 있다.",연천군
2,고대산,경기도 연천군 신서면,127.1520647,38.19730051,http://tong.visitkorea.or.kr/cms/resource/97/1859997_image2_1.jpg,"금강산 가는 길목, 경원선 철도가 끊겨 있는 철도중 단점인 연천군 신탄리역에 인접한 고대산(832.1m)은 천혜의 자연경관을 간직하고 있으며 생태계가 잘 보존된 곳이고 등산으로 북녘땅을 바라볼 수 있는 국내 유일한 곳으로 등산여행에는 안성맞춤이다. 고대산(高臺山)의 유래는 ""큰고래"" 라고 부르고 있으나, 이것은 신탄(薪炭)지명에서 연루된 것으로 보이며 ""방고래""(땔나무를 사용하는 온돌방 구들장 밑으로 불길과 연기가 통하여 나가는 고랑을 고래하고 함)를 이르는 것으로 고대산은 골이 깊고 높아 고대산(高臺山)이라고 한다.지형도에는 ""높은 별자리와 같다"" 는 뜻과 의미가 담긴 곳이라 하여 고태(高台)라고도 표기하였다.  고대산은 옛부터 광범한 산록과 울창한 산림으로 말미암아 임산자원이 풍부할 뿐만 아니라, 목재와 숯을 만드는데도 적합한 곳으로 부락으로 형성된 주막집들이 있다하여 신탄막(薪炭幕)이라는 지명으로 불리웠으며, 실질적으로 한국전쟁 이전에는 참숯이 유명했던 고장으로 널리 알려진 곳이다. 또한, 1907년 11월 4일 의병진 150명과 임진강에서 의병들을 토벌하러 파견된 일본군 보병 제20연대 8중대와 연천에서 격전한 후 신탄막에서 흩어지고 의병진 60명이 고대산에서 다시 일본 군대와 치열하게 교전한 곳으로서, 우리 선열들의 용맹스러운 민족정기가 서려있는 곳이기도 하다.",연천군
3,군남홍수조절지 두루미테마파크,경기도 연천군 군남면,127.0207184,38.10393125,http://tong.visitkorea.or.kr/cms/resource/41/2480741_image2_1.jpg,"휴전선에서 불과 6km 떨어진 접경지역에 위치한 군남홍수조절지는 댐 유역의 97%가 북한땅으로, 임진강 본류의 홍수조절능력 확보 및 북측 황강댐에 의한 불규칙한 물흐름을 개선하는 효과가 있다. 이 지역은 우리나라 대표적인 겨울철새인 두루미(천연기념물), 재두루미(천연기념물), 흑두루미(천연기념물)가 매년 겨울 최대 200마리 이상 월동하는 대표적인 곳으로, 남북한 접경지역이라는 지리적 여건과 임진강 자연환경이 만들어 낸 특수성으로 인해 수달, 고라니, 두루미, 어름치 등 각종 동식물이 서식하는 천혜의 자연생태지역이다. 2011년 10월 준공한 군남홍수조절지 테마파크는 “두루미가 들려주는 평화와 사랑 이야기”를 주제로 스토리텔링하였으며, 평화의 북, 소원나무, 두루미 조형물 등 다양한 이야기 시설물과 두루미 대체서식지, 어도생태원, 생태습지 등의 우수한 환경영향 저감시설들이 조성되어 있다.",연천군
4,그리팅맨,경기도 연천군 군남면 옥계리,127.0355665,38.1220183,http://tong.visitkorea.or.kr/cms/resource/60/2841260_image2_1.jpg,"그리팅맨은 임진강 연강 나룻길이 조성되며 북한과 4km 떨어진 해발 200m의 옥녀봉에 설치된 인공 조형물이다. 연천 그리팅맨은 10m 높이로 북녘을 바라보고 머리를 숙여 인사하는 거인의 모습을 하고 있다. 향후 임진강 건너편인 북녘땅, 황해북도 장풍 마량산에 그리팅맨이 건립되면 남북에 서로 마주 보고 인사하는 조형물로 한반도 평화를 상징하는 상징물이 될 것이다. 그리팅맨이 15도 각도로 고개 숙여 인사하는 모습은 상대방을 존중하면서도 자신을 잃지 않는 상태를 의미한다. 주변에 연천삼곶리돌무지무덤과 임진강 댑싸리공원, 군남홍수조절지 두루미테마파크 등이 있다.",연천군
5,당포성 (한탄강 유네스코 세계지질공원),경기도 연천군 미산면 동이리 778,126.9856073,38.02367333,http://tong.visitkorea.or.kr/cms/resource/19/2369319_image2_1.jpg,"당포성은 지형을 최대한 활용하여 수직단애를 이루지 않는 평지로 연결된 동쪽에만 돌로 쌓아 성벽을 축조했습니다. 동측 성벽은 길이 50m, 잔존높이 6m정도이며 동벽에서 성의 서쪽 끝까지의 길이는 약 200m에 달하고 전체둘레는 450m 정도입니다. 성 축조에 이용한 돌은 대부분 주변에서 흔히 구할 수 있는 현무암을 가공하여 쌓았는데 이는 고구려 성의 큰 특징 중에 하나입니다. 당포성의 배후에는 개성으로 가는 길목에 해당하는 마전현이 자리하고 있어 양주분지 일대에서 최단거리로 북상하는 적을 방어하기에 당포성은 필수적이라 할 수 있습니다. 반면에 남하하는 적을 방어하는데도 매우 중요한 위치이므로 신라의 점령기에도 꾸준히 이용되었던 것으로 보입니다.
<출처 : 한탄강지질공원>",연천군
6,동막골 응회암 (한탄강 유네스코 세계지질공원),경기도 연천군 연천읍 동막리,127.1114269,38.0969004,http://tong.visitkorea.or.kr/cms/resource/48/2616248_image2_1.bmp,응회암을 화산에서 뿜어져 나온 암석 부스러기가 쌓여 만들어진 암석을 말한다. 동막리 일애데 응회암이 넓게 나타나는 것은 이 부근에서 화산활동이 활발했다는 것을 보여주는 예가 된다.,연천군
7,동막골유황천,경기도 연천군 연천읍 동막로25번길 181,127.0812438,38.08965902,http://tong.visitkorea.or.kr/cms/resource/37/2735337_image2_1.JPG,"경기도 연천에 위치한 웰빙건강 가족레저타운 찜질방이다. 초대형 시설 9,900제곱미터 규모로 680미터에서 나오는 온천수인 청정자연수와 최고 시설을 자랑한다. 인근 군부대의 신병교육수료자와 가족들이 편해 지낼 수 있는 편의시설이 있다. 동막사거리에서 연천교차로 방향 우측에 위치하고 있으며, 셔틀버스를 운행하고 주차는 무료이다. 소금방 황토방 등 다양한 찜질방과 대형 탈의실이 있으며 노래방과 책 코너도 갖추고 있다.",연천군
8,망곡산둘레길,경기도 연천군 연천읍 연천로285번길 52,127.0718137,38.10277121,http://tong.visitkorea.or.kr/cms/resource/22/2566622_image2_1.jpg,망곡산은 구한말 고종황제와 순종황제의 국상을 당했을 때 주민들이 이 산에 올라 서울을 바라보며 통곡했다 하여 망곡산이라 부른다. 연천역에서 바라본 망곡산은 봄에는 벚꽃이 만개한다. 연천역 뒤편으로 경원선 철길 건너편에 위치한 이곳은 근린공원으로 조성한 숲 등산로가 있다. 전망대까지 완만하게 10여 분 정도 오르면 되기 때문에 부담 없이 산책할 수 있는 길이기도 하다. 특히 망곡산에는 사색의 오솔길이라는 자그마한 소로길과 체육공원 정상의 팔각정 등이 조성되어 있어 일상의 상념에서 벗어나기에 부담이 없는 코스이다.,연천군
9,모아베리교육농장,경기도 연천군 황지로55번길 45-1,127.0416936,38.03131512,http://tong.visitkorea.or.kr/cms/resource/01/2966301_image2_1.jpg,"친환경농법으로 재배한 딸기가 주작목으로 딸기 외에도 블루베리, 패션후르프(백향과), 꽃 등을 재배하고 있으며, 모아베리 교육농장에서는 학교 교과와 연계한 다양한 교육 프로그램을 운영하고 있다. 유치원부터 성인까지 다양한 계층으로 진행되는 교육농장으로 인증을 받은 곳으로, 화원과 모아베리 교육농장을 함께 운영하고 있다.",연천군
