,title,addr1,mapx,mapy,firstimage,overview,addr2
0,경희천문대,경기도 용인시 기흥구 덕영대로 1732,127.0786766,37.24188536,http://tong.visitkorea.or.kr/cms/resource/68/1939868_image2_1.jpg,"무한대에 가까운 우리 우주에서는 조그만 티끌도 안 되는 행성이 지구이다.  이런 지구에서 살아가고 있는 우리들이 우주를 이해하고 알아간다는 것은  우주의 구성원으로서 꼭 해야 할 당연한 일일 것이다. 이러한 필요에 의해 경희대학교는 1992년 국내 대학 최대의 천체망원경과 관련 관측 장비들을 구비한 천문대를 건립하였다. 천문대 건립 후 우주에 대한 학문적 연구 외에 보다 많은 사람들에게 우주에 관한 흥미와 관심을 불러일으키기 위해  추가로 일반관람객을 위한 전시장을 2개 층에 걸쳐 설치하였고 다양한 교육프로그램을 개발하여 운영하고 있다. 주업무는 전자영상장치를 이용한 천체화상관측 및 분광기를 이용한 분광관측, 천체물리연구, 천문DATA CENTER, 천체사진 및 화상전시, 신천체관측 및 홍보, 지자기 실험 및 연구, 전시장 관람객의 안내 및 전시시설 관리 등이다.",용인시
1,고기리계곡,경기도 용인시 수지구 샘말로131번길 15,127.0425795,37.35595206,http://tong.visitkorea.or.kr/cms/resource/42/2732542_image2_1.jpg,광교산과 백운산을 품은 고기리 계곡은 낙생저수지를 따라 5km를 이어지다 동막천으로 연결된다. 손기동과 고분현 일부를 합쳐 고기리라 부른다. 고기리계곡은 서울에서 인접하여 접근하기 쉬운 계곡으로 많은 관광객들에게 사랑받고 있는 계곡이다. 계곡 주변으로 맛집들과 카페들이 많아 관광을 하기 좋은 장소이다.,용인시
2,기흥레스피아호수공원,경기도 용인시 기흥구 하갈로 79,127.0964747,37.25216227,http://tong.visitkorea.or.kr/cms/resource/22/2774022_image2_1.jpg,"기흥레스피아호수공원은 순환산책로와 반려견 놀이터가 있어 용인 시민들이 즐겨 찾는 수변공원이다.  걷기 좋은 길 뿐 아니라 자전거와 퀵보드를 탈 수 있는 도로가 잘 정비되어 있다.  산책로는 조정경기장에서 기흥레스피아를 거쳐 생태학습장까지 3개 코스로 조성되어 있다. A코스는 10km 거리로 도보 4시간, B코스는 7.7km 거리로 도보 3시간, C코스 1.4km 거리로 도보 50분이 소요된다. 특히 호숫가 노을이 아름다워 노을명소로 사랑받고 있다.",용인시
3,기흥맛깔촌,경기도 용인시 기흥구 상갈동,127.1063206,37.26847167,http://tong.visitkorea.or.kr/cms/resource/53/2480753_image2_1.jpg,"경기도박물관과 한국민속촌, 백남준미술관이 위치하고 있는 오산천변을 중심으로 경기도가 2007년에 음식문화 시범거리로 지정 해물탕, 장어구이, 한식 등 향토음식을 맛볼 수 있다. ",용인시
4,기흥호수공원,경기도 용인시 기흥구 동탄기흥로 923,127.0998275,37.24091918,http://tong.visitkorea.or.kr/cms/resource/23/2739023_image2_1.jpg,"용인 기흥구 주민들이 즐겨 찾는 호수공원이다. 원래 농업용수를 공급하던 저수지로 신갈저수지, 기흥저수지로 더 많이 알려져 있다. 용인시에서 이곳을 공원으로 개발해, 저수지 둘레를 산책길로 조성했다. 또한 한국농어촌공사가 시행 중인 '기흥저수지 수질 개선사업'의 일환으로 약 4만 제곱미터 규모의 제2 매립지를 조성 중이다. 계절별로 아름다운 꽃들을 감상할 수 있도록 꽃밭을 조성해 놓은 공원 내 물빛정원은 용인 8경 명소로 꼽히고 있다. 10여 Km에 이르는 둘레길은 A,B,C 코스로 나뉘어져 있어 각자 컨디션에 맞게 선택 할 수 있다.",용인시
5,기흥호수공원 반려동물놀이터,경기도 용인시 기흥구 하갈로 79-1,127.0961802,37.25412592,http://tong.visitkorea.or.kr/cms/resource/73/2738873_image2_1.jpg,"용인 기흥호수공원 내에 있는 대규모 반려동물 놀이터로 시민들이 반려동물과 자유롭게 산책하고 야외활동을 즐길 수 있다. 소형견과 대형견 놀이터가 분리되어 있으며, 반려견 놀이터 출입시 배변 봉투와 안전줄 지참은 필수다.  또한 배설물은 이용객이 직접 치워야 한다. 배변 봉투가 없을 경우, 놀이터 내에 설치된 배변봉투함 비닐을 사용할 수 있다. 개인 돗자리 설치와 음식물 반입은 금지하고 있다.",용인시
6,다이노스타 (용인),경기도 용인시 수지구 동천로 581,127.0520314,37.3544524,http://tong.visitkorea.or.kr/cms/resource/18/2609118_image2_1.bmp,"다이노스타는 아이들이 좋아하는 공룡을 테마로 만든 테마파크이다.시설 곳곳에 전시되어 있는 공룡들로 아이들의 흥미와 호기심을 유발시키며 자연속에서 놀이를 즐길 수 있다. 다이노 어드벤쳐 다이노 포레스트로 구성된 놀이 시설 중 실외 놀이 시설이 모여있는 다이노 포레스트는 다이노 클라이밍, 다이노 네트, 다이노 골프 등 다른 시설에서 즐길 수 없는 다이나믹한 놀이 시설로 구성되어 있다.",용인시
7,동도사(용인),경기도 용인시 처인구 이동읍 어진로 842,127.198364,37.1077058,http://tong.visitkorea.or.kr/cms/resource/17/2690217_image2_1.jpg,"동도사는 대한불교태고종 소속의 사찰로 경기도 용인시 이동면에 있다. 주변은 남쪽의 신선봉(308m), 동남쪽의 봉황산(256m), 동북쪽의 묘봉(228.6m) 등 높고 낮은 산이 감싸고 있다. 북쪽은 이동저수지에 바로 면하고 있다. 산이 저수지와 어울려 아름다운 풍경을 자아내고 있는 곳이다. 원래 법화종 소속의 사찰이었으나 현재는 태고종으로 소속을 옮겨 등록하였다. 동도사는 1963년에 옛 어비리사지가 이동저수지 조성으로 수몰될 때 車壯業 居士가 절터에 있던 석탑과 석불, 석등 등을 현재의 위치로 옮겨와 창건하였다. 어비리사지가 이동저수지의 조성을 수몰되기에 이르자 차장업 거사는 석탑과 석불, 석등 등이 수몰되는 것을 안타까워하여 원력을 발휘하여 옛 절터의 유물을 모두 이곳 동도사로 옮겨온다. 그리하여 동도사는 새로이 창건된 사찰이지만 신라 때 사찰의 법등을 새로이 잇게 된 것이다. 절이 위치한 곳은 용인의 산속 깊고 높은 곳으로 앞의 이동저수지를 비롯하여 주변의 산을 한눈에 내려다 볼 수 있는 곳이다. 시야가 탁 트여 시원스러움을 맛볼 수 있는 곳이라 하겠다.",용인시
8,동백호수공원,경기도 용인시 기흥구 동백중앙로 239,127.1500498,37.27501614,http://tong.visitkorea.or.kr/cms/resource/31/2774031_image2_1.jpg,"용인경전철 어정역~동백역 구간과 인접하고 있어 전철을 이용해 찾아갈 수 있는 도심 속 공원이다. 호숫가를 따라 산책로가 조성돼 있어, 가족, 연인과 함께 여유로이 산책을 즐기기에 좋다. 공원 내에 음악분수와 야외무대가 설치돼 있고, 호수 주변에는 분위기 좋은 카페와 식당이 즐비해 연인들의 데이트코스나 가족 나들이 장소로 애용되고 있다. 또한 신갈천 자전거도로가 연결되어 있어 자전거 타기에도 좋다.",용인시
9,동천자연식물원,경기도 용인시 수지구 동천로 233,127.0794516,37.33744931,http://tong.visitkorea.or.kr/cms/resource/89/2774089_image2_1.jpg,"'자연은 아이들의 가장 큰 스승'을 모토로 하며, 동식물을 직접 접하고 체험할 수 있는 기회를 제공한다. 작은 돼지, 염소, 토끼, 거북이를 비롯 파충류, 앵무새 등 평소 접하기 힘든 동물에게 먹이주기 체험을 할 수 있다. 수도권에서 가깝고 교통이 편리해 어린이가 많이 찾는 곳이다.",용인시
