,title,addr1,mapx,mapy,firstimage,overview,addr2
0,꾸메숲 버섯나라,경기도 이천시 모가면 서경리,127.4860921,37.15751357,http://tong.visitkorea.or.kr/cms/resource/26/2491726_image2_1.JPG,"경기도 이천에 위치한 꾸메숲 버섯나라는 건강하게 표고버섯을 키우는 버섯농장이다.이곳에서는 농부가 되어 버섯을 직접 수확해 볼 수 있는 버섯농부체험, 종균접종을 체험 해 볼 수 있는 버섯과학자체험 등 체험객들을 위한 다양하고 재미있는 체험 프로그램들이 준비되어있다. 또한 넓은 공간에 잔디밭, 놀이터, 동물농장, 벚나무숲, 소나무숲, 이팝나무숲, 숲 속 카페와 작은 어린이 도서관이 마련되어 있어 단체가 체험학습을 위해 방문하기에도 좋다.",이천시
1,단내성지,경기도 이천시 호법면 이섭대천로155번길 38-13,127.3946958,37.21978805,http://tong.visitkorea.or.kr/cms/resource/30/2764130_image2_1.png,"경기도 이천시 호법면에 있는 천주교 성지이다. '정 은 바오로' 순교자를 그의 아들 둘이 산소를 모신 곳이다. 박해를 피해 숨어 지내던 ‘검은 바위’, ‘옥시울 양지골’, ‘굴바위’가 그대로 남아 있다. 순례길을 따라 과거 천주교 신자들이 박해를 피해 숨어 지냈던 피신처의 모습을 볼 수 있는 곳이다. 오래된 수도원 같은 느낌으로 시냇물이 흐르고 숲이 울창한 계곡과 능선을 따라 이어지는 총연장 5.2km의 순례 코스가 조성되어 있다. 월요일을 제외하고 매일 11시에 미사가 있다.",이천시
2,덕평공룡수목원,경기도 이천시 마장면 작촌로 282,127.3372035,37.23231612,http://tong.visitkorea.or.kr/cms/resource/19/2554019_image2_1.jpg,"덕평공룡수목원은 동맥이산 자락에 있으며 범바위 동굴이 위치한 곳이다. 참나무와 전나무,밤나무,잣나무 등 3000여종의 식물자원이 자생하고 있으며, 자생 야생화 수십종이 분포하고 있다.또한, 다육 식물과 선인장 약 1000여종이 온실에서 관리되고 있으며 커피나무나 파파야와 같은 우리나라에서 보기 어려운 열대 식물도 100여종이 있다.덕평공룡수목원은 25만 평방미터 중 13만 평방미터는 개발되지 않은 천연의 상태로 산림욕장의 리프레쉬 기능을 담당하고 있고 나머지 공간에는 주요테마인 공룡들이 수목원 내에 조성되어 아이들과 가족들에게 재미와 추억을 제공하고 있다.또한 같이 조성된 곤충관에서는 신기한 곤충의 생활을 볼 수 있는 교육적 경험을 하고, 동물 친구들과는 정서적 교감도 체험할 수 있는 기회를 제공한다.",이천시
3,덕평자연휴게소,경기도 이천시 마장면 덕이로154번길 287-76,127.3897234,37.24140491,http://tong.visitkorea.or.kr/cms/resource/89/2382889_image2_1.jpg,"덕평자연휴게소는 영동고속도로에 위치한 고속도로 복합 휴게시설로, 강릉방향과 인천방향에서 모두 진입할 수 있는 휴게시설이다. 신갈JC에서 강릉방향 영동고속도로 35Km 지점에 위치하고 있으며, 호법 JC에서는 인천방향으로 2km 지점에 위치하고 있다. 휴게소는 24시간 운영되며 (푸드코트 일부와 편의점), 쇼핑 매장은 오전 9시에서부터 저녁 9시까지 운영되고 있다. 달려라 코코와 캐주얼 식당, 전문식당도 저녁시간까지 운영 중이다. 덕평자연휴게소는 휴게소로써의 역할뿐만 아니라 쇼핑시설, 체험시설 및 각종 야외 휴식시설로 더욱 주목받고 있다. 쇼핑몰에는 아웃도어·스포츠·골프·캐쥬얼 브랜드 등 다양한 브랜드 샵이 위치하고 있으며, 자연휴게소라는 이름에 걸맞게 선셋 전망대, 선바위 전망대, 호프트리, 파인 허그 등 다양한 테마가 있는 산책로와 아름답게 꾸며진 정원이 있다. 또한 국내 최초로 교육을 테마로 하는 애견 체험장과 애견 놀이터가 있는 '달려라 코코'가 있어 관광지로서의 역할도 톡톡히 하고 있다.※ 반려견 동반 여행 정보- 유료로 운영되는 국내 최대의 애견카페- 친환경 애견놀이터, 소형견(12kg 이하) 전용 행동놀이터, 소형견 물놀이장, 애견체험관(애견입장 제한) 등 시설 - 잔디운동장, 애견박물관, 애견호텔, 애견 용품 샵",이천시
4,도드람산(저명산),경기도 이천시 마장면 서이천로,127.3925641,37.26700478,http://tong.visitkorea.or.kr/cms/resource/29/2617229_image2_1.JPG,"저명산은 보통 도드람산으로 더 알려져 있는데 도드람산은 돗(猪) 울음(鳴)이 세월이 지나면서 변형된 것으로 보이며, 옛날 이 산중에 살던 고승(또는 효자라고도 함)이 약초를 캐는데 절벽 위에 몸을 묶은 밧줄이 모서리와의 마찰로 다 끊어져 목숨이 위태롭게 된 것을 난데없이 산돼지가 울어 고승의 목숨을 건져주었다는 전설을 간직하고 있다. 마장면 동쪽에 위치한 설봉산과 마주하고 있으며 해발 49m로 그리 높지는 않으나 봉우리를 이루는 기암괴석이 절묘한 경관을 이루고 있어 외부로부터 많은 등산객들이 찾아드는 이천의 명산으로 이름 나 있고 특히 산 중턱에 있는 영보사 뒷편 절벽 아래서 샘솟는 차고 시원한 석관수의 맛이 일품이며,  능선을 따라 바위를 오르는 등산객의 아기자기함이
 산행의 묘미를 만끽하게 해준다.

옛날 삼각산 신령님이 삼각산을 처음 만들때 마고할미에게 지리산, 도드람봉을 옮겨오도록 명하였는데 마고할미가 도드람봉을 끌고 오던 중 삼각산이 이미 완성되었다는 소식을 듣고 그 자리에 버린 것이 지금의 도드람산이 되었다는 재미있는 전설이 전해내려오기도 한다. 옛 문헌에 저명산에는 정악사라는 절이 있다고 했는데, 지금은 없어지고 산 남쪽기슭에 사지의 흔적이 남아 있으며 이곳을 정악골이라는 명칭으로 부르고 있다.",이천시
5,도드람테마파크,경기도 이천시 부발읍 경충대로 1917,127.502541,37.24124309,http://tong.visitkorea.or.kr/cms/resource/51/2763951_image2_1.png,"경기도 이천시 부발읍에 있는 돼지복합문화 공간이다. “돼지”를 테마로 돼지의 일생과 다양한 정보를 이해하고 직접 수제 햄을 만들 수 있는 체험스쿨과 키즈랜드, 신선한 농축산물을 구매할 수 있는 하나로마트, 맛과 품질의 도드람 한돈을 숯불과 함께 즐길 수 있는 도드람 바베큐하우스로 구성된 공간이다. 건물 층별로 1층에에 하나로마트와 바베큐하우스가, 2층과 3층에는 키즈랜드가, 4층에는 체험스쿨이 있다.",이천시
6,도예공방 들꽃마을,경기도 이천시 신둔면 도자예술로5번길 95,127.3861778,37.29357103,http://tong.visitkorea.or.kr/cms/resource/74/2655274_image2_1.bmp,"한국의 찬란한 문화유산인 도자기의 본고장인 경기도 이천에 위치해 있으며 공방에서 도자기 만들기 체험, 숙박을 동시에 해결할수 있고 주변관광지로는 설봉공원, 이천온천, 산수유마을이 근거리에 위치하고 있다. 특히 도예공방 들꽃마을에서 도자기 만들기 체험은 도자기를 대학및 대학원에서 전공하시고 오랜기간동안 도자기를 만드신 선생님의 체계적인 지도로 우리 전통 도자기와 현대공예를 접목시켜 고객이 원하는 교육과 나이가 어린 유치원생부터 젊은 연인커플, 직장인, 외국인, 단체, 동아리, 친목모임, 어르신까지 수준에 맞는 맞춤교육을 실시하고 있다. 넓은 정원시설과 푸른잔디장,현대식 갤러리 공방건물이 있으며, 전시실도 운영하고 있다.",이천시
7,도예촌 쌀밥거리,경기도 이천시 신둔면 경충대로 3194,127.400951,37.31134147,http://tong.visitkorea.or.kr/cms/resource/23/2480923_image2_1.jpg,한국전통 도예의 요람인 이천도예촌을 중심으로 전통한옥으로 지어진 쌀밥거리는 전통 쌀밥정식을 맛볼 수 있다.,이천시
8,민주화운동기념공원,경기도 이천시 모가면 공원로 30,127.4426205,37.17516074,http://tong.visitkorea.or.kr/cms/resource/47/2764147_image2_1.png,"민주화를 위해 산화한 열사를 추모하고 기념하기 위해 조성된 공원으로 경기 이천시 모가면에 있다. 약 42,000㎡ 공간에 기념관, 민주묘역, 유영봉안소, 방문객 휴게소, 관리사무소 등이 있다. 기념관은 휴무일이 있지만, 묘역, 야외 조형물, 민주 광장 등은 연중 개방한다. 전체를 대략 관람하는데 약 3시간 정도 소요된다. 중부고속도로 남이천IC에서 차량으로 1분 거리에 있다.",이천시
9,별빛정원우주,경기도 이천시 마장면 덕이로154번길 287-76,127.3897873,37.24136047,http://tong.visitkorea.or.kr/cms/resource/79/2545879_image2_1.JPG,"별빛정원 우주(OOOZOOO)는 빛과 자연 테마의 신개념 문화 공간이다. 낮에는 다양한 꽃과 식물들로 이루어진 유럽형 컨테이너 가든, 밤에는 반짝이는 조명과 미디어아트 체험 시설을 즐길 수 있는 일루미네이션 테마파크 별빛정원 우주를 만나보자. 바쁜 일상에서 벗어나 새롭고 행복한 경험을 선사한다.",이천시
