,title,addr1,mapx,mapy,firstimage,overview,addr2
0,고덕수변공원,경기도 평택시 고덕동,127.048207,37.04645741,http://tong.visitkorea.or.kr/cms/resource/96/2865096_image2_1.jpg,"고덕수변공원은 고덕국제신도시 안에 주민들의 건강을 증진하고 여유를 즐길 수 있도록 만들어진 공간이다. 수변공원이라는 이름에 맞게 공원 가운데로 천이 흐르고 있다. 산책길이 잘 만들어져 있어 혼자 걷기도 좋고, 반려견과 함께 산책하기에도 좋고, 조깅을 해도 좋다. 시민들을 위한 체육 시설들이 설치되어 있으며, 아이들을 위한 그늘막이 설치된 모래놀이장과 놀이터도 있다. 어린이 놀이터는 여름(7월~8월)에는 한시적으로 물놀이터로 운영된다. 주변에 간식을 살 수 있는 편의점과 치킨점이 있다.
※ 반려동물 동반가능",평택시
1,고잔저수지,경기도 평택시 청북읍 청북중앙로 785,126.9076442,37.06542217,http://tong.visitkorea.or.kr/cms/resource/11/2750711_image2_1.png,"경기도 평택시 청북동에 위치한 저수지이다. 1953년 축조되었으며, 자연 상태를 유지하고 있어 날 것 느낌의 경치를 즐길 수 있다. 저수지를 따라 드라이브를 하다가 적당한 곳에 차를 세우고 물과 나무, 하늘을 보면서 가벼운 걷기를 하면서 힐링할 수 있는 곳이다. 저녁시간 물위로 떨어지는 해를 바라보면 감성적인 분위기를 느낄 수 있다.",평택시
2,권관마을,경기도 평택시 현덕면 평택호길 159,126.9222885,36.92148072,http://tong.visitkorea.or.kr/cms/resource/72/1939872_image2_1.jpg,"평택시 현덕면 권관리는 평택시의 휴식공간으로 자리 잡아가고 있다. 평택호 유원지는 1973년 평택과 아산 사이에 아산만 방조제가 건설되면서 만들어진 평택호 주변에 들어선 유원지이다. 호수 주변에 산책로를 잘 정비해서 호수를 따라 산책을 즐길 수도 있고, 보트장이 들어서 있어 보트놀이를 즐길 수도 있다. 야외 자동차 전용극장이 문을 열어 한결 다채로운 유원지가 되어가고 있으며, 평택호 유원지는 인근에 밀집되어 있는 횟집들이 유명하다. 권관 마을은 주변이 바다와 호수가 연접해 있고, 서해대교 위에 걸쳐있는 낙조가 새롭게 떠오르는 명소이다.",평택시
3,금암체육공원,경기도 평택시 서탄면 서탄로 326-41,127.0351647,37.11199128,http://tong.visitkorea.or.kr/cms/resource/08/2750408_image2_1.png,"평택시 서탄면 금암리에 있는 체육공원이다. 아이들과 산책하며 놀 수 있는 간단한 어린이 놀이 시설부터 각종 운동기구가 있고, 족구장, 게이트볼장, 농구장 겸 배드민턴장, 인조잔디 구장의 체육시설이 있다. 체육시설을 이용하려면 서탄면 사무소에 문의 후 사용 할 수 있다.",평택시
4,내리문화공원,경기도 평택시 팽성읍 내리길 64-23,127.0325743,36.97530424,http://tong.visitkorea.or.kr/cms/resource/37/2750437_image2_1.png,"평택시에 있으며, 안성천을 바라볼 수 있는 곳에 있는 공원이다. 너른 잔디마당에서 공연과 행사가 열린다. 자전거길,  뮬리 정원, 정자, 산책로가 있어 강을 보며 산책하기에 좋은 곳이다. 전망대에 올라 안성천의 물을 바라보며 힐링할 수 있다. 가을에는 핑크빛이 일렁이는 뮬리 정원에 꽃이 피어 사진찍기 좋다. 바로 옆에는 내리 캠핑장이 있다.",평택시
5,당거리나루터,경기도 평택시 오성면 당거리 226-1,126.9824478,36.99258469,http://tong.visitkorea.or.kr/cms/resource/74/2750474_image2_1.png,"평택시 안성천에 있는 옛 나루터다. 봄이면 안성천을 따라 펼쳐진 길 가로수에는 벚꽃이 피고, 강변에는 노란 유채꽃이 가득 핀다. 벚꽃을 보며 드라이브를 하다가 주차를 하고, 둑 넘어 안성천의 강물을 보며 유채꽃을 구경해도 좋다. 가을이면 강변 가득 코스모스가 핀다. 안성천을 따라 자전거 길이 조성되어있다.  유채꽃 피는 봄과 코스모스가 피는 가을에 각각 축제와 강변 달리기 대회 등의 행사가 열린다.",평택시
6,덕동산근린공원,경기도 평택시 비전동 산84-14,127.1000037,36.99772229,http://tong.visitkorea.or.kr/cms/resource/95/2750495_image2_1.png,"평택시 비전동에 위치한 도심지 근린공원이다. 어린이 공원과 유아 숲 체험장, 맹꽁이 연못, 잔디광장, 야생화 동산이 있어 어린이와 함께 즐길 수 있다. 나무가 많아 맑은 공기를 마시며 산책하기 좋다. 농구장과 배드민턴장이 운동시설로 갖추어져 있다. 산책을 하다가 독서쉼터에서 책을 읽으며 쉬어갈 수도 있다.",평택시
7,동말근린공원,경기도 평택시 고덕면 율포리 1213,127.0301749,37.06013885,http://tong.visitkorea.or.kr/cms/resource/09/2750509_image2_1.png,"평택 고덕 신도시에 있는 근린공원이다. 2020년 10월 ""정원, 경계를 품다"" 라는 주제로 LH 가든 쇼가 개최되었던 곳으로, 아홉 개의 정원 작품이 있어 SNS 용 사진 찍기에 좋다. 인라인스케이트, 스케이트보드를 탈 수 있는 엑스게임장도 있다.  곳곳에 가든 쇼 당시에 선보인 작품들이 있다.",평택시
8,마안산,경기도 평택시 현덕면 신왕리 412-3,126.9587654,36.93546864,http://tong.visitkorea.or.kr/cms/resource/19/2750519_image2_1.png,"평택호에 인접한 낮은 산이다. 정상 높이는 해발 126m이고, 등산로는 3.4km로, 왕복 1시간 정도 걷는 코스이다. 가는 길이 가파르지 않아 쉽게 산을 오르내릴 수 있어서 편한 마음으로 갈 수 있다. 가는 길에 운동기구가 있으며, 종종 넓게 펼쳐진 평택호를 살짝살짝 볼 수 있다. 정상에 올라서면 남쪽으로 평택호의 멋진 풍광을 볼 수 있다. 인근에 카페가 있어 차 한잔하면서 쉬어가도 좋다.",평택시
9,만기사철조여래좌상,경기도 평택시 진위면 진위로 181-82,127.1011477,37.10832899,http://tong.visitkorea.or.kr/cms/resource/32/2750532_image2_1.png,"만기사는 942년 (고려 태조25년) 에 창건된 사찰이다. 만기사 대웅전에 모셔진 철조여래좌상은 높이 1.43m이다. 원래 철로 조성된 것이었지만, 현재는 금으로 도금하고, 최근에 두 손과 오른팔도 보수했다. 불상은 고려 시대에 제작된 철불상의 특징이 잘 나타나 동시대의 것으로 추정된다. 절 입구는 무봉산 청소년 수련원과 인접해 있는데, 봄에는 절로 들어가 가는 길에 핀  벚꽃을 감상할 수 있다.",평택시
