,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가리산(포천),경기도 포천시 이동면 장암리,127.4028046,38.04330089,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image2_1.jpg,"백운산과 국망봉 사이에 위치한 신로봉에서 서쪽인 이동면 장암리 방면으로 뻗어내린 능선상에 우뚝 솟은 가리산(774.3m)은 험준한 암릉으로 이루어진 산이다. 산 아래에서 볼때 정상 주위는 두 개의 암봉으로 되어 있으며 정상에서 서쪽과 북쪽 지역은 민간인 출입금지구역으로 주의를 요하는 곳이다.
 정상에서의 사방 조망은 경기 제일의 고봉인 화악산, 명지산에 이어 세번째로 높은 국망봉(1,168m)과 신로봉으로 이어지는 능선이 파노라마를 이룬다. 도평교를 하산 지점으로 잡을 경우 하산길은 지루함을 느낄만큼 계곡길의 연속이다. '가리산' 이란 명칭은 현재 폐광된 산 입구의 가리광산에서 유래됐다는 설이 전해진다. 가리란 바로 비료의 주성분 가운데 하나인 칼륨의 일본식 발음이다. ",포천시
1,계류리 예술창고,경기도 포천시 신북면 양지말길 66-72,127.1720532,37.9573428,http://tong.visitkorea.or.kr/cms/resource/87/2687487_image2_1.jpg,"계류리 예술창고는 이름과는 다른 갤러리 카페이다. 입장료를 내면 음료 한 잔과 여러 예술 작품들을 감상할 수 있다. 갤러리 카페 곳곳에 작품들이 전시되어 있어 보는 재미가 있고, 카페 바로 앞에 청보리밭이 넓게 펼쳐져 있어 여유로움을 만끽할 수 있다.",포천시
2,고남산 자철석 광산 (한탄강 유네스코 세계지질공원),경기도 포천시 관인면 교동길 46,127.2129176,38.09922976,http://tong.visitkorea.or.kr/cms/resource/68/2616468_image2_1.bmp,"포천시 관인면 삼율리에 위치한 금속광산으로 국내 희소광물인 함티탄자철광을 생산하는 광산이다. 이곳에서 채굴되는 광물은 일련의 생산과정을 거쳐 국내 및 국외로 수출되고 있다. 현재 가행되고 있는 광산이기 때문에 일반인의 출입은 불가능하여, 교동가마소 인근에 체험장을 설치하여 탐방객들에게 제공하고 있다.",포천시
3,고모저수지,경기도 포천시 소흘읍 죽엽산로 452,127.1638252,37.79907221,http://tong.visitkorea.or.kr/cms/resource/94/765594_image2_1.jpg,"소흘읍 동쪽의 해발 600m인 죽엽산 중심부에 있는 1,300천톤 저수량의 저수지로 5만 5천 여평이며, 몽리면적은 53만 4천여평으로 전천후 농업을 도모하고 있다. 등산코스로도 무리없고 탐방 또는 휴양지로도 쾌적하여 당일 코스 여행지로 알맞은 곳이다.",포천시
4,고모호수공원,경기도 포천시 소흘읍 고모리,127.1643115,37.79403114,http://tong.visitkorea.or.kr/cms/resource/94/2914794_image2_1.jpg,"경기도 포천시 고모리 죽엽산(해발 600m) 중심부에 있는 공원이다. 고모저수지 주변에 조성된 호수주변공원으로  고무저수지는 면적 0.18㎢에 저수량 1,300톤 규모이다. 고모는 어떤 사람이 늙은 고모님(한자로 할미 '고')을 모시고 산 밑에 살았다 하여 붙여진 이름이다. 이 할미가 외로이 세상을 떠났는데  할미를 매장한 묘 앞에 있는 마을이라하여 이곳을 고모리라 부르게 되었다고 한다. 저수지 주변으로 2.6km 길이의 고모저수지 둘레길과 광장, 분수대, 쉼터, 운동시설 등을 갖추고 있다. 분수는 4월 중순부터 11월 중순까지 휴일 12:00~17:30에 30분 간격으로 가동한다. 주변에 카페 갤러리, 레스토랑 등이 많아 나들이 겸 산책코스로 많은 사람들이 방문하고 있다.
※ 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비해야 함)",포천시
5,관음산,경기도 포천시 이동면,127.3111023,38.02857314,http://tong.visitkorea.or.kr/cms/resource/88/1955788_image2_1.jpg,"관음산(733m)은 경기 포천군, 영중면, 일동면, 이동면, 영북면등 4개면 경계에 솟아있다. 주위의 명성산 국망봉, 백운산 그늘에 가려 별로 알려지지 않은 산이지만 그만큼 호젓한 산행을 즐기기에 좋다. 관음산의 특징은 바위가 별로 없는 '육산'이라는 점이다. 정상에서 북쪽 사자락에는 관광명소인 산정호수가 자리잡고 있으며, 남쪽으로는 드라이브 코스인 영평천이 흐르고 있어, 볼거리가 많다. 관음산에서 동쪽으로 이어지는 사향산은 군사시설로 입산이 통제되고 있는 곳이다.산행 들머리는 영중면 파주골, 영북면 산정리와 쇠골, 낭유고개 등이다. 이 중 파주골은 후고구려를 건국한 궁예가 명성산에서 왕건에게 패한 후 도주했던 곳이라 해서 패주동으로 불리다가 훗날 파주골로 되었다. 파주골 식당을 지나 계곡 초입에는 폐광터가 있다. 여기서 두갈래 길이 나오는데 왼쪽은 쇠골로 넘어가는 길이고 오른쪽은 500봉으로 오르는 길이다.능선을 올라서서 500봉까지는 50분쯤 걸린다. 500봉에서 15분쯤 완만한 능선길을 따라가면 관음골재다.  여기서 오르막길을 다시 15분쯤 가면 우물목과 관음산으로 갈라지는 3거리가 나온다. 3거리에서는 명성산이 잘 보인다. 서쪽으로는 불무산이 한눈에 들어온다.3거리에서 관음산 정상까지는 15분 거리다. 경사도 완만한데다 중간중간 전망이 트여 있어 지루하지 않다. 남쪽으로는 바위에서 바람이 솟아난다는 풍혈산, 북쪽으로는 낭유 고개 너머 사향산과 명성산이 솟아있다.",포천시
6,교동 가마소 (한탄강 유네스코 세계지질공원),경기도 포천시 관인면 중리 290,127.2094734,38.10031846,http://tong.visitkorea.or.kr/cms/resource/43/2566243_image2_1.jpg,"교동가마소의 지질·지형적인 특징으로는 용암 가스튜브가 있다. 가스튜브는 용암이 식을 때 용암내의 가스가 용암외부로 빠져나간 통로이다. 교동가마소의 현무암에서는 이러한 가스튜브가 정말 많이 보인다. 또한 하나의 용암덩어리에서 안쪽은 괴상의 용암이고 외부는 미쳐 빠져나가지 못한 가스기공이 남아 있는 것을 볼 수 있으며, 지형적으로는 하천의 흐름방향을 알 수 있는 현무암 침식면이 있는 것을 볼 수 있다. 이는 과거부터 하천이 어느 방향으로 흘렀는지 유추할 수 있게 해준다.

<출처 : 한탄강지질공원>",포천시
7,구라이골 (한탄강 유네스코 세계지질공원),경기도 포천시 창수면 운산리,127.2034447,38.05663456,http://tong.visitkorea.or.kr/cms/resource/51/2566251_image2_1.jpg,"구라이골은 굴+아위의 합성어로 굴바위라고도 불리며 수풀이 우거지는 여름철에는 협곡이 굴처럼 생겼다하여 붙여진 이름이다.구라이골은 한탄강의 지천에 형성된 소규모 현무암 협곡으로 서로 냉각과정이 다른 3매의 용암을 잘 관찰 할 수 있는 곳 중 하나이다.가장 상부에서 관찰되는것은 약 5m의 두께를 가지며, 주상절리가 발달되어 있지 않으며 괴상으로 쪼개지는 특징이 있다. 또한 하부에 미약하게 클링커가 발달되어 있다. 중하부에는 실린더 형태의 분리구조가 잘 관찰되는데 이는 비교적 서서히 냉각되었음을 지시하는 것이다. 주상절리의 발달 유무 및 특징에 따라 상·중·하부로 구분된다.하부와 중부는 주상절리가 잘 발달되어 있는 하부가 중부에 비해 상대적으로 크고 불규칙하게 발달되어 있으며,  중부는 직경 20~30cm크기의 주상절리가 규칙적으로 발달해 있다. 상부의 최상부는 2~3겹의 용암껍질층이 관찰되고 그 아래 주상절리가 발달해 있으나, 중부의 주상절리에 비해 직경이 크게 나타타난다.<출처 : 한탄강지질공원>",포천시
8,국립 운악산자연휴양림,경기도 포천시 화동로 184,127.3027879,37.88445091,http://tong.visitkorea.or.kr/cms/resource/04/1900204_image2_1.jpg,"현등산(운악산)은 해발 934.7m의 기암과 봉으로 이루어져 있으며, 산세가 아름다워 소금강이라고도 불리워져 왔다. 궁예의 성터가 남아있어 옛 후고구려의 역사적 유래가 남아 있다. 또한, 주봉인 만경대를 중심으로 우람한 바위들이 봉우리마다 구름을 뚫고 솟아있는 골짜기 주변으로 하늘을 가리는 활엽수림은 가을이면 단풍으로 물들어 만산홍엽으로 지역축제인 운악산 단풍제가 매년 10월 중순경에 포천시 화현면 운악산 입구에서 산신제 및 사물놀이, 꽃 전시회, 특산물 전시 및 판매 등 다양한 내용으로 관광객의 사랑을 받고 있다. 4월 중순의 자목련, 5월 경 진달래와 산목련이 계곡과 바위마다 수놓은 꽃길은 정말로 장관이다. 또한, 관악산, 치악산, 화악산, 송악산과 더불어 중부지방의 5대 악산 중의 하나로 많은 사람들의 사랑을 받는 산이다.",포천시
9,국립수목원(광릉숲),경기도 포천시 광릉수목원로 415,127.169415,37.75184725,http://tong.visitkorea.or.kr/cms/resource/94/2031794_image2_1.jpg,"국립수목원은 광릉시험림의 천연림을 이용하여 수목원을 조성하였다. 수목원 내에는 산림에 관한 모든 자료를 전시한 산림박물관이 있다. 수목원과 박물관 공사는 1985년 10월 25일에 착수하여 1987년 4월 5일 개장하였고, 뒤를 이어 1989년 삼림욕장을 개장하였고, 1991년에는 산림동물원을 개원하여 산림에 대한 대국민 홍보에 지대한 역할을 하여왔다. 그러나 숲의 보존이 무엇보다 큰 문제로 대두되면서 1997년부터 삼림욕장을 폐쇄하였으며, 주말과 공휴일 입장을 제한하고 5일 전 예약제를 도입하여 1일 입장객을 5,000명 이하로 제한하였다. 또한, 식물 자원화를 위한 다양한 식물종의 확보가 세계적인 관심사로 대두되면서, 이에 대처하기 위하여 1999년 5월 24일에는 임업연구원 중부임업시험장 수목원과에서 산림청 수목원으로 신설 개원되었다.

국립수목원은 면적이 1,157㏊이며 침엽수원 관상수원 맹인식물원 등 15개의 전문수목원으로 구성되어 있다. 수목의 종류는 목본류 1,660종, 초본류 1,323종 등 총계 2,983종이 있으며 이 중 도입종이 963종이다. 산림박물관은 동양 최대의 규모로서 면적이 1,400평이며 자연에 순응한 한국의 전통 양식으로 설계하고, 내부와 외부를 모두 국산의 목재와 석재로 마감하였다. 수목원 시설은 1전시실(살아있는 숲과 자원식물), 제2전시실(산림과 인간), 제3전시실(세계의 임업), 제4전시실(한국의 임업), 제5전시실(한국의 자연, 싸이버수목원) 표본실, 특별전시실, 시청각실로 구성되어 있다.

* 주요 야생화 - 피나물, 벌깨덩굴, 꽃범의 꼬리, 광릉요강꽃",포천시
10,국망봉자연휴양림(포천),경기도 포천시 이동면 늠바위길 207-28,127.3962195,38.02889134,http://tong.visitkorea.or.kr/cms/resource/76/219076_image2_1.jpg,"광주산맥의 주능선으로 경기도 내에서 세번째로 높은 국망봉(1,168m)은 암봉이 거의 없는 육산으로 코스는 험하지 않으나 해발이 높아 산행이 쉽지 만은 않은 산이다. 하지만 주능선의 길이만도 15㎞에 이를 정도로 산세가 웅장해서 일명 ""경기의 지리산"" 이라고도 불린다.국망봉을 오르내리는데는 최소한 5시간이 소요된다. 육중한 산세에 고산의 면모를 고루 갖추어 어느 계절에 찾아도 웅장한 맛을 느끼지만, 특히 겨울철에는 많은 적설량과 함께 주능선 일대의 설화와 상고대를 흔히 볼 수 있다.
국망봉은 강원도쪽 봉우리인 백암산, 대성산 등을 광덕산 - 백운산에서 이어받아 강씨봉 - 귀목봉 - 청계산 - 운악산으로 이어주는 구실을 한다. 국망봉 정상으로 가는 능선길은 해발 1천m가 넘는 곳으로 조망이 좋다. 정상에 서면 주위의 산들은 물론이고 날씨가 좋으면 백운대가 있는 북한산까지도 보인다.",포천시
11,금주산,경기도 포천시 영중면 금주리,127.2737217,37.95822511,http://tong.visitkorea.or.kr/cms/resource/79/1900179_image2_1.jpg,"금주산은 산세가 아담하며 산기슭에 금룡사와 청학동계곡 등이 있어 온가족이 함께 떠나는 당일 산행지로 알맞다. 포천읍에서 북쪽으로 약 10km 떨어졌으며 해발 569.2m의 나지막한 산으로 교통이 편리하고 산길이 짧아 산을 처음 오르는 사람이나 여성들에게 인기가 높다. 33m²(10평) 정도 넓이의 정상에 서면 북쪽으로 명성산, 광덕산, 백운산, 국망봉, 화악산, 명지산, 운악산 등이 마치 부채살을 펼친 듯 보이고, 서쪽으로는 종현산과 소요산, 왕방산이 보인다.",포천시
12,깊이울유원지,경기도 포천시 신북면 깊이울로 221,127.1687963,37.92054148,http://tong.visitkorea.or.kr/cms/resource/80/2777980_image2_1.jpg,"깊이울 유원지는 포천 신북면 심곡리 왕방산 계곡을 따라 자리하고 있다. 심곡리는 포천시의 다른 마을들처럼 사방이 산에 둘러싸여 있다. 남쪽으로는 해발 737m의 왕방산, 서쪽으로는 국사봉, 북쪽과 동쪽으로는 하늘봉과 덕령산 등이 에워싸고 있다. 심곡리는 깊은 계곡 속에 자리한 마을이라는 뜻이다. 왕방산 자락에 자리하여 산세가 빼어나고, 잣나무와 소나무로 둘러싸인 계곡에는 1급수의 맑은 물이 흐르는 곳이다. 송어가 여유롭게 헤엄치는 저수지와 둘레길, 꽃길이 아름답다. 빼어난 경치와 청정한 자연환경을 따라 계곡, 둘레길과 각종 편의 시설을 두루 갖추고 있는 최고의 휴양지이다. 계곡 내 왕방산 캠핑장은 마을에서 함께 운영하는 곳으로 일반 야영장과 카라반 시설을 두루 갖추어 캠핑을 즐기는 이들이 즐겨 찾는 곳이다.",포천시
13,누구나투어,경기도 포천시 중앙로 168,127.2064823,37.90042229,http://tong.visitkorea.or.kr/cms/resource/56/2820256_image2_1.jpg,"㈜누구나투어는 MZ세대 개별 여행자를 대상으로 맞춤형 여행 상품을 온라인으로 판매하고 누구나그래퍼, 누구나소믈리에, 누구나아티스트, 누구나플로깅, 누구나스토리안, 누구나플레이어와 같은 누구나 이용할 수 있지만 포천 지역에서만 만나볼 수 있는 여행 상품을 판매하는 주민 여행사이다. 포천 지역의 다양한 기관이나 주민들과 협업하는 상품 개발하여 로컬 여행을 선두하고 ESG를 실천하고자 하는 여행자들의 가치 여행을 지향한다.",포천시
14,도성사,경기도 포천시 화현면 화동로 548-47,127.3121972,37.91416151,http://tong.visitkorea.or.kr/cms/resource/82/2752882_image2_1.jpg,경기도 포천시 운악산 줄기에 자리 잡고 있는 도성사는 지장보살을 모신 지장 도량이다. 영가의 극락왕생도와 자손의 발복을 기원하는 납골당을 운영하는 불교 사찰로 기존 불교 종단에 속하지 않고 독자적으로 납골 사찰을 운영하고 있다. 사찰의 운영과 살림은 재단법인 도천불교문화재단이 분리하여 운영하고 있다.용문 관광단지와 연계하여 트레킹을 함께 할 수 있는 관광 명소이다.,포천시
