,title,addr1,mapx,mapy,firstimage,overview,addr2
0,검단산,경기도 하남시 천현동,127.2343828,37.50392446,http://tong.visitkorea.or.kr/cms/resource/06/2667406_image2_1.jpg,"하남시청 동쪽에 위치한 높이 657m로 하남시의 대표적인 명산으로 유명하다. 백제 한성시대 하남 위례성의 숭산(崇山), 진산(鎭山)으로서 왕이 하늘에 제사를 지내던 신성한 산으로 전해진다. 검단산 정상에서는 남한강과 북한강이 합류하는 양수리와 하남시는 물론이고 서울과 양평 일대, 팔당호 주변의 경관도 감상할 수 있어 서울 근교의 하루 등반 코스로 각광받고 있다. 서울 근교에 있고 교통이 편리하며, 등산로가 잘 정비되어 있을 뿐 아니라 코스도 그다지 어렵지 않아 일일 산행으로 가족 나들이하기에 좋다. 산행은 하산곡동의 산곡 초등학교 쪽과 팔당댐 건너 아래배알미쪽 등산로를 이용할 수 있는데 전자가 교통이 더 편리하다. 이 밖에 창우동의 한국애니메이션고등학교 방면에서 시작되는 현충탑 등산로도 있다. 하산곡동에서 출발하는 산행은 처음에는 경사가 매우 가파르지만 산 중턱에는 노송이 길을 덮어 쉬어가기 좋다. 넓고 평평한 정상에 서면 멀리 북한산과 도봉산 줄기가 한눈에 보인다. 동쪽으로는 팔당댐이 보이고, 남쪽으로 뻗은 능선에는 용마산(龍馬山)이 솟아 있으며, 서쪽으로는 중부고속도로가 힘차게 달린다. 본래 세종대왕의 능을 이곳에 쓰려다 여주로 옮겨가게 되어 닦아 놓은 능 터가 지금도 남아 있어 역사를 말해주고 있으며, 《서유견문》을 쓴 유길준(兪吉濬)의 묘가 있다.* 검단산의 유래 *백제 때 검단선사(黔丹禪師)가 이곳에 은거하였다 하여 검단산으로 불리게 되었다. 높이는 관악산(冠岳山:629m)과 비슷하지만 《동국여지승람(東國與地勝覽)》에서 광주목의 진산(鎭山)이라고 일컬을 정도로 산세가 특이하다. 가파른 경사를 지나 능선에 올라서면 사방의 전경이 시원하게 열리고, 서서히 정상에 이르는 길이 매우 다채롭다.",하남시
1,곱돌광산약수터,경기도 하남시 창우동,127.2429982,37.52157535,http://tong.visitkorea.or.kr/cms/resource/18/739018_image2_1.jpg,"곱돌약수터는 하남시 검단산 내에 위치한 약수터이다. 검단산은 하남시청 동쪽에 위치한 높이 657m로 하남시의  대표적인 명산으로 유명하다. 백제 한성시대 하남 위례성의 숭산(崇山), 진산(鎭山)으로서  왕이 하늘에 제사를 지내던 신성한 산으로 전해진다.  검단산 정상에서는 남한강과 북한강이 합류하는 양수리와 하남시는 물론이고 서울과 양평 일대, 팔당호 주변의 경관도 감상할 수  있어 서울 근교의 하루 등반 코스로 각광 받고 있다.   서울 근교에 있고 교통이 편리하며, 등산로가 잘  정비되어 있을 뿐 아니라 코스도 그다지 어렵지 않아 일일 산행으로 가족 나들이하기에  좋다. 산행은 하산곡동의 산곡초등학교 쪽과 팔당댐 건너 아래배알미쪽 등산로를  이용할 수 있는데 전자가 교통이 더 편리하다. 이밖에 창우동의 한국애니메이션고등학교  방면에서 시작되는 현충탑 등산로도 있다.  하산곡동에서 출발하는 산행은 처음에는 경사가  매우 가파르지만 산 중턱에는 노송이 길을 덮어 쉬어가기 좋다. 넓고 평평한 정상에  서면 멀리 북한산과 도봉산 줄기가 한눈에 보인다. 동쪽으로는 팔당댐이 보이고,  남쪽으로 뻗은 능선에는 용마산(龍馬山)이 솟아 있으며, 서쪽으로는 중부고속도로가  힘차게 달린다. 본래 세종대왕의 능을 이곳에 쓰려다 여주로 옮겨가게 되어 닦아  놓은 능터가 지금도 남아 있어 역사를 말해주고 있으며, 《서유견문》을 쓴 유길준(兪吉濬)의  묘가 있다.",하남시
2,구산성지,경기도 하남시 미사강변북로 99,127.1894627,37.57295175,http://tong.visitkorea.or.kr/cms/resource/14/1591614_image2_1.jpg,"2001년 4월 9일 하남시 향토유적 제4호로 지정되었다. 기해박해(己亥迫害) 때 순교한 김성우(안토니오)聖人의 고향(故鄕)이고 묘소(墓所)가 있는 곳으로 신앙공동체의 모습을 200여 년을 간직하고 있는 평화의 은혜가 가득한 성지이다.평화의 은혜가 가득한 구산성지는 김성우 안토니오 성인과 여덟 분의 순교자가 묻힌 거룩한 聖地(성지)이다. 이곳 뒷산이 거북 형상을 닮았다하여 거북 구(龜)자와 뫼 산(山)자를 써서 '구산' 이라고 하였다. 구산은 한강변 미사리 조정 경기장 옆에 위치해 있으며 서울에서 불과 20분 거리 내에 있으며, 시원스레 뚫려있는 강변도로와 중부고속도로, 구리-판교 고속도로를 이용해 쉽게 찾아볼 수 있는 교통의 편리함이 구산성지를 찾는 순례자들에게 매력적인 요소이기도 하다. 한국전쟁 때는 원로 신부들의 피신처로도 이용되었다. 서울대학교 미대 학장을 지낸 김세중(金世中)이 조각한 성모자상(聖母子像)이 유적지 내 잔디밭 한가운데 있다. 교통이 편리하여 순례자들이 끊이지 않으며, 조경이 아름다워 드라마와 광고, 영화의 배경으로 자주 등장한다. 인근에 미사리 카페촌과 조정경기장이 있다.",하남시
3,당정뜰(팔당팔화수변공원),경기도 하남시 미사동 2-13,127.2224381,37.55075215,http://tong.visitkorea.or.kr/cms/resource/05/2775405_image2_1.jpg,"덕풍천과 한강이 만나는 곳에 있는 삼각형 모양의 넓은 수변공원으로 물길과 돌이 모래를 옮겨와 자연적으로 생긴 생태공원이다. 2017년부터 2019년까지 서울지방국토 관리처에서 '한강(팔당) 지구 하천 정비사업'으로 연못, 산책로, 자전거 도로, 조류 관찰대 등의 시설을 정비하였다. 팔당팔화수변공원으로 불리던 이곳은 2020년에 하남시민을 대상으로 명칭 공모를 하여 '당정뜰'이 정식 지명이 되었다. 한강 변을 따라 조성된 산책로를 걷다 보면 메타세쿼이아 길과 갈대숲을 만날 수 있다.",하남시
4,덕풍공원,경기도 하남시 덕풍공원로 100 덕풍근린공원 제2공영주차장,127.1994157,37.53614509,http://tong.visitkorea.or.kr/cms/resource/76/2902476_image2_1.jpg,"덕풍공원은 하남시 덕풍동 아파트 단지들 사이에 있는 동네 근린공원이다. 주차는 덕풍공원 공영주차장이 세 곳이나 있어 편리하게 이용할 수 있다.  공영주차장 위에 배드민턴장, 다목적 운동장, 체력단련장이 있다. 산 오솔길 같은 산책로가 아기자기한 작은 공원이다. 공원을 한 바퀴 도는데 약 1시간 정도 소요되어 주민들이 동네 산책 코스로 이용하기 좋다. 전망대에서는 덕풍동이 한눈에 내려다 보인다. 어린이 놀이터도 있어 어린이와 같이 산책하기에도 좋다. 2005년 4월 하남시 향토 유적 제9호로 지정된 선성군 묘역이 근처에 있다. 
※반려동물 동반 가능",하남시
5,미사한강공원2호,경기도 하남시 미사강변한강로 45,127.1807495,37.57682059,http://tong.visitkorea.or.kr/cms/resource/95/2900495_image2_1.jpg,"?미사 한강공원 2호는 경기도 하남시 선동 IC에서 나오자마자 있는 근린공원이다. 주차는 무료로 개방되어 있는 공원 공영주차장에 하면 된다. 미사 한강공원은 1호부터 5호까지 있는데 공원이 모두 연결되어 있다. 근처 아파트가 많아 아파트 주민들뿐 아니라 미사에 놀러 온 이들에게 산책과 운동을 할 수 있는 공간이다. 공원 2호에는 숲속 놀이터와 숲속 도서관이 있어 어린이들에게 인기가 많은 곳이다. 플라워 갤러리는 공원을 찾는 이들의 포토존으로 사랑받고 있다. 공원의 탁 트인 공간을 조망할 수 있는 미사 강변 마루가 바로 옆에 있다.
※ 반려동물 동반 가능",하남시
6,선법사,경기도 하남시 서하남로588번길 125,127.2086959,37.51804736,http://tong.visitkorea.or.kr/cms/resource/65/2795865_image2_1.jpg,"경기도 하남시에 자리한 한국불교 태고종 소속의 사찰이다. 산의 초입에 자리해 풍경소리와 새들의 지저귐이 맴도는 조용하고 그윽한 곳이다. 이곳에 있는 작은 약수를 백제 온조왕이 마셨다 하여 어용 샘으로 부르고 있다고 한다. 사찰 내에 있는 마애 약사여래좌상이 유명한데, 질병에서 모든 중생을 구제해 준다는 약사불을 형상화한 것으로 바위 남쪽면에 전체 높이 93㎝로 새겨져 있다. ‘태평 2년 정축 7월 29일’이라는 명문이 새겨져 있는데, 이를 통해 만든 시기가 고려 경종 2년(977) 임을 알 수 있으며, 최소한 그 이전부터 사찰이 있었을 것으로 추정하고 있다.",하남시
7,스몹 하남,경기도 하남시 미사대로 750 스타필드 하남,127.2237576,37.54548889,http://tong.visitkorea.or.kr/cms/resource/12/2858912_image2_1.jpg,"하남 스타필드점을 시작으로 고양, 안성, 대전 4개 파크를 오픈한 스포츠 몬스터가 호기심 넘치는 브랜드 Smob으로 변신했다. 스포츠마저 놀이로 만들어버리는 공간, 스몹에서는 모두가 플레이어가 된다. 스몹은 세계 최초 어른들의 놀이터로 어디에서도 볼 수 없는 스포츠 컨텐츠로 가득찬 유니크하고 컬러풀한 공간에 플레이어를 초대한다.",하남시
8,아쿠아필드 하남,경기도 하남시 미사대로 750,127.2237576,37.54548889,http://tong.visitkorea.or.kr/cms/resource/88/2444088_image2_1.jpg,청량한 물소리와 하늘빛 자연을 한눈에 품은 아쿠아 필드는 감각 있는 사람들의 오감만족 힐링 클럽이다. 하늘과 맞닿은 인피니티 풀에서 느긋이 즐기고 신비로운 오로라부터 구름 위의 휴식까지 8가지 테마의 찜질 스파를 경험하는 곳 들어서는 공간마다 색다른 휴식이 기다리는 아쿠아 필드에서 삶의 진짜 멋과 여유를 누릴 수 있다.,하남시
9,창우동 한식마을,경기도 하남시 충군동,127.1857285,37.52074108,http://tong.visitkorea.or.kr/cms/resource/87/2482887_image2_1.jpg,"산곡천이 상산곡동과 하산곡동, 창우동을 거쳐 한강으로 유입된다. 산과 강을 접하고 있어 자연환경이 아름답고, 면적에 비해 인구밀도가 낮다.조선시대에는 광주군 동부면에 속하였다가 1914년 행정구역 개편에 따라 광주군 동부면 창우리가 되었다. 1989년 광주군 동부읍과 서부면,중부면의 상산곡리가 병합해 하남시가 신설되면서 법정동으로 승격하였다. 법정동인 천현동·하산곡동·상산곡동·배알미동과 함께 지역의 일부가 행정동인 천현동 관할 하에 있다. 자연부락으로 산골·작평리·물문깨·창모루·안창모루·바깥창모루 등이 있다. 한국애니메이션고등학교·하남초등학교·창우초등학교·하남중학교·하남정보산업고등학교 등 교육기관이 많으며, 산 아래쪽에 사찰 호국사와 한국일보 창업주이자 경제기획원장관·부총리를 지낸 장기영(張基榮)의 묘와 개화기 학부·내부대신을 지낸 유길준(兪吉濬)의 묘가 있다. 짝수 해의 음력 10월 초하루에 검단산 산신을 위한 산신제를 올린다.창우동 한식마을에 대하여 1972년도 팔당댐 완공으로 주변지역이 수몰됨에 따라 만들어진 자연경관과 팔당호 조망이 일품이며 하남시 명소인 검단산 등산로에 위치한 한식마을은 매운탕, 잉어찜, 오리탕 등 향토음식을 맛볼 수 있다.",하남시
