,title,addr1,mapx,mapy,firstimage,overview,addr2
0,개나리공원,경기도 화성시 반송동 29,127.0655481,37.20958053,http://tong.visitkorea.or.kr/cms/resource/54/2739054_image2_1.JPG,"동탄센트럴파크 인근에 위치한 공원으로 주택가에 있어 주민들의 접근성이 용이하다. 어린이 놀이터를 비롯해 스케이트보드 스팟, 운동기구, 지압로 등을 갖추고 있어 건강 관리 및 체력단련에 좋은 장소이다.  또한 봄에는 개나리와 벚꽃이 만개하고 가을엔 낙엽이 아름다운 곳으로 여유와 낭만을 즐길 수 있다. 화창한 날엔 종종 버스킹 공연이 펼쳐지고 분수대 주변 벤치에 앉아 느긋한 휴식을 취할 수 있다.",화성시
1,국화도,경기도 화성시 우정읍 국화길 8,126.5589899,37.06107767,http://tong.visitkorea.or.kr/cms/resource/13/2387513_image2_1.JPG,"국화도는 경기도 화성시 우정읍 소재지에서 남서부 28㎞ 지점에 위치함. 섬 동쪽은 당진군 석문면, 북쪽은 입파도와 인접된 유인도로 바지락?굴 등 어패류 채취를 주업으로 하는 도서지역 어촌마을이다. 꽃이 늦게 피고 늦게 진다고 해서 늦을‘만(晩)’자를 써 만화도라 불렸으나 일제시대 국화가 많이 피는 섬이라 해서 국화도라 바꿔 부르게 되었는데, 실제로 섬 전체에 들국화가 지천으로 피어있다. 국화도는 배를 타고 장고항에서 10분, 궁평항에서 1시간 거리에 위치하며, 걸어서 2시간이면 섬 전체를 돌아볼 수 있는 작은 섬이다. 장고항에서 여객선으로 10분정도 거리지만 잘 알려져 있지 않은 섬으로 장고항에서 바라보는 국화도는 섬을 온통 뒤덮고 있는 소나무숲 때문에 사람이 살지 않는 섬처럼 보인다.나들이 명소로 손색이 없는 풍광을 자랑하는 국화도는 당일치기 코스로도 좋지만 하루 이틀 섬에 머무르며 고즈넉하고 소박한 어촌마을의 정취를 느끼고 휴식시간을 보낼 수도 있다. 경사가 심하지 않고 물이 맑은 해수욕장에서 안전하게 물놀이를 즐기고, 아이와 함께 호미를 들고 나가 고둥과 조개 등 다양한 해산물을 잡거나 어선을 타고 낚시를 즐길 수 있는 곳이 바로 시리도록 예쁜 들국화 외딴섬 국화도이다.",화성시
2,궁평리 해수욕장,경기도 화성시 서신면 수문개길 81-36,126.6848101,37.12339765,http://tong.visitkorea.or.kr/cms/resource/85/1784785_image2_1.jpg,"궁평해수욕장은 궁평항 앞에 있는 아담한 해변으로 길이 2㎞, 폭 50m의 백사장과 100년 이상 된 해송 500여 그루가 바닷가 바로 옆에 자리하고 있다. 간조시에 약 2km 뻘바닥에서 갯벌 체험 등 다양한 체험이 가능하고 궁평항 전망대 카페에서 뉘엿뉘엿 지는 해를 바라보며 여유로움을 즐길 수 있다.",화성시
3,궁평유원지,경기도 화성시 서신면 궁평리 513-9,126.6833017,37.12849426,http://tong.visitkorea.or.kr/cms/resource/88/2757388_image2_1.jpg,"궁에서 직접 관리하던 땅이 많아 '궁평' 도는 '궁들'이라고 불렸던 곳이 지금의 궁평리이다. 서해안의 아름다운 해안과 갯벌을 자연 그대로 유지하고 있어 바지락, 맛조개, 낙지, 칠게 등을 채취하는 어촌 체험을 더욱 재미있게 즐길 수 있다. 길이 2km 백사장을 갖춘 해수욕장이 있으며, 해수욕장 주변으로 촘촘히 심어져 있는 소나무 밭에서 힐링 산책을 할 수 있다.",화성시
4,궁평항,경기도 화성시 서신면 궁평항로 1069-17,126.6789136,37.11540126,http://tong.visitkorea.or.kr/cms/resource/49/1956849_image2_1.jpg,"낙조가 아름다운 곳으로 유명한 궁평항은 2008년 국가 어항으로 지정되었으며 싱싱하고 맛 좋은 수산물들이 가득한 수산시장이 잘 갖춰져 있는 작은 항구다. 조그만 배와 낚시꾼들을 유혹하는 매력적인 다리인 피싱피어에서 낚시를 하는 즐거움을 만끽할 수 있으며, 풍경이 아름다워 산책을 하거나 하이킹하는 사람들의 쉬어가는 길목으로 사랑받는 곳이다.

궁평리 해수욕장
백사장 2km, 너비 50m를 자랑하는 궁평리 해수욕장은 평소에도 많은 관광객들이 찾는 대표적인 해수욕장이다. 갯벌체험과 함께 다양한 체험이 가능하고 궁평항 전망대 카페에서 뉘엿뉘엿 지는 해를 바라보며 여유로움을 즐길 수도 있다.

궁평리 해송 군락지
궁평항 해수욕장에 자리 잡은 100년 이상 된 아름드리 해송. 특히 해수욕장에서 바라보는 낙조와 함께 어울리는 해송들은 그 어떤 동양화도 비교할 수 없을 정도로 아름다운 경관을 제공한다. 번잡함을 피해 해송숲을 걷거나 조용한 휴식을 취하기에 좋은 곳이다.",화성시
5,궁평항광장,경기도 화성시 궁평항로 1069-11 궁평리어촌체험안내소,126.6833854,37.11620957,http://tong.visitkorea.or.kr/cms/resource/23/2863623_image2_1.jpg,"경기도 화성시 궁평항에 있는 광장이다. 궁평항은 1991년부터 시작된 남양만 화옹지구 간척사업으로 만들어진 어항이다. 2008년 12월 19일 국가어항으로 지정되었다. 광장에는 어린이 물놀이 시설과 수산물직판장이 있다. 광장에서 연결된 방파제 끝으로 나 있는 해상 전망 데크와 바닷가에 있는 궁평낙조길을 따라 바닷길 산책이 가능하다. 사진 촬영이나 바다낚시, 근교 나들이 등으로 항시 방문객이 많은 곳이다. 주말에는 공영주차장에 주차가 어려운 경우도 많다. 해질 무렵에는 낙조가 아름다운 곳이다. 모터보트, 아르고, 어린이낚시, 갯벌 체험 등의 프로그램이 있다.",화성시
6,궁평해송군락지,경기도 화성시 서신면 궁평리 660-41,126.6850462,37.12096461,http://tong.visitkorea.or.kr/cms/resource/11/2783011_image2_1.JPG,시원한 바닷바람이 실어 오는 솔향을 맡으면서 700m 구간의 산책로를 걸을 수 있는 해송 군락지이다. 썰물 때 드러나는 약 2km 개펄은 자연학습장으로 이용되고 하루 2시간가량 밀물 때는 해수욕을 즐길 수 있다. 인근 궁평항은 화성 8경 중 4경으로 낙조가 유명하다.,화성시
7,기배역사공원,경기도 화성시 기안동,126.9836471,37.21469237,http://tong.visitkorea.or.kr/cms/resource/03/2902403_image2_1.jpg,"경기도 화성시 융건릉 자락에 있는 공원이다. 융건릉에서 도보로 20분 거리에 있다. 체력 증진을 위한 게이트볼장과 여러 운동시설, 편안한 산책로 등을 두루 갖추고 있다. 게이트볼장 외에 홍재원, 대나무정원, 빗물 정원 등의 시설이 있다. 홍재원은 조선 제22대 임금 정조의 첫 번째 호인 홍재의 이름을 빌려 조성한 공간으로 전통 정원의 고즈넉한 분위기와 함께 휴식과 사색을 할 수 있는 공간이다. 빗물 정원은 빗물을 모아 땅에 스며들게 해 다양한 정화 식물을 키우는 곳이다. 주차장 왼쪽으로는 넓은 잔디 광장이 조성되어 있다. 어린이들이 마음껏 뛰어놀기에 좋고 가족 피크닉 장소로로 좋은 광장이다. 융건릉과 용주사를 방문하는 길에 함께 방문하면 좋다. 대중교통을 이용할 경우에는 수원시 환승센터에서 마을버스 승차 후 수원대 방향으로 가다가 융건로 버스 정류장에서 하차하면 된다.
※ 반려동물 동반 가능 (단, 놀이마당A는 불가)",화성시
8,남양성모성지,경기도 화성시 남양읍 남양성지로 112,126.8167597,37.20496276,http://tong.visitkorea.or.kr/cms/resource/07/2480807_image2_1.jpg,"남양 성모 순례지는 병인년(1866년) 대박해 때 많은 순교지들이 피 흘리며 죽어간 무명 순교지이다. 이곳에서는 많은 신자들이 순교하였는데 치명일기(致命日記)와 증언록에 기록이 전해지는 남양의 순교자는 충청도 내포 사람 김 필립보와 박 마리아 부부, 용인 덧옥돌 사람 정 필립보, 수원 걸매리 사람 김홍서 토마 네 사람뿐이다. 남양 순교지는 다른 순교지와는 달리 무명 순교자들의 치명터였기 때문에 오랜 세월 동안 무관심 속에 방치되어 오다가, 1983년부터 성역화되기 시작하였다. 그 후로 많은 어려움 속에서 작은 정성들을 모아 가꾸어져 오던 남양 순교지는 1991년 10월 7일 로사리오의 복되신 동정 마리아 축일에 성모께 봉헌되고 한국 천주교회 사상 처음으로 성모 순례지로 공식 선포되었다. 뿐만 아니라, 이곳은 화성시에서 화성8경 중의 하나로 지정하여 홍보하고 있을 만큼 아름답게 가꾸어져 있는 곳이기도 하다.이곳은 남양순교성지의 상징이라고 할 수 있는 화강암의 대형묵주알, 그리스도왕상, 성모동굴, 오솔길 소자상, 요셉성인상 등이 있으며, 아늑하고 성스러운 분위기 조성을 위한 성지 조성사업을 대대적으로 실시, 성모님 품 같이 아늑하고 포근한 경관을 지닌 곳으로 시민은 물론 전국의 천주교 신도들의 순례지 겸 휴식장소로도 잘 알려져 있다.
* 순교지로서의 남양조선조 때 남양은 서해안의 군사적 요충지로서 행정과 사법권을 부여받은 종삼품의 도호부사가 부임했던 곳이다. 남양부사는 경기도 관찰사의 감독 아래 이반행정에 관한 권한 외에도 민사소송과 형사범을 다루는 사법권까지 갖고 있었다. 그래서 남양은 물론 그 인근에서 붙잡은 천주교인들을 도호부사가 있던 남양으로 끌어다가 처형했다. 그리고 남양은 지리적으로도 신앙 활동이 자유로웠던 중국과의 연락이 용이한 서해안에 위치하고 있었기 때문에 조선조 당시 이곳에는 많은 천주교인들이 찾아들었을 것으로 추측된다. 또한 남양과 이웃해서 백학 교우촌이 있던 것도 이곳이 순교지가 된 중요한 이유 중의 하나이다.
※ 기록에 나타난 순교자들- 김 필립보(1818~1868) 충청도 내포사람으로 조모의 가르침에 따라 입교하려 했으나, 부친의 반대로 어려움을 겪은 후 후일 반대하던 부친과 함께 교리를 배워 영세했다. 전교도 열심히 했고 사제의 공소 방문 때는 사제의 성무를 도왔으며 교우들이 바른 성사를 받을 수 있도록 도와주었다. 병인년 대박해 때 피신하여 살다가 1868년 남양 감영 포졸에게 아내 박 마리아와 함께 붙잡혀 남양으로 끌려왔다. 이 부부는 온갖 형벌에도 배교치 않았으며 한달 동안의 옥고 끝에 교수형으로 순교했다. 당시 나이 50세였다. - 박 마리아(1818~1868) 순교자 김 필립보의 아내로 1868년 남편과 같이 남양 감영 포졸에게 잡혀서 남편과 함께 남양으로 끌려와 한달 동안의 옥고와 가혹한 형벌을 이겨내고 남편 김필립보와 같이 교수형으로 순교했다. 당시 나이 50세였다. - 정 필립보(?~1867) 경기도 용인의 것옥골에서 살았는데, 1866년 11월 남양 감영의 포졸에게 붙잡혀 가옥한 형벌에도 굴하지 않고 다음 해 1867년 1월에 교수형으로 순교했다. - 김홍서 토마(1830~1868) 수원 갈매리 사람으로 1868년 남양 감영의 포졸에게 아내와 함께 감옥에 끌려왔다. 아내는 배교하여 풀려났으나, 김홍서 토마는 끝내 배교치 않고 김 필립보 부부와 함께 교수형으로 순교했다. 배교한 아내는 김홍서 토마가 순교하자 시신을 찾아 장례를 치렀다. 순교자 김홍서의 나이는 38세였다.",화성시
9,남양향교,경기도 화성시 남양읍 글판동길15번길 18-3,126.7998141,37.20413755,http://tong.visitkorea.or.kr/cms/resource/92/1593292_image2_1.jpg,"1397년(태조 6)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 남양도호부의 동쪽 역골［驛谷］에 창건되었다. 1873년에 현재의 위치로 이건하였으며, 현존하는 건물로는 대성전·동재(東齋)·서재(西齋)·내삼문(內三門)·외삼문(外三門)·홍살문［紅箭門］ 등이 있고 명륜당은 1973년에 멸실되었다. 5성(五聖), 송조2현(宋朝二賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있는 대성전은, 맞배지붕의 목조와가(木造瓦家)로서 1976년과 1983년에 보수하였다. 내삼문은 1976년에, 외삼문은 1980년에, 동재는 1981년에 각각 개축되었고 홍살문은 1980년에 중건되었다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤으나, 현재는 교육적 기능은 없어지고 봄가을에 석전(釋奠)을 봉행(奉行)하고 초하루·보름에 분향을 하고 있으며, 전교(典校) 1명과 장의(掌議) 수명이 운영을 담당하고 있다. 이 향교는 경기도 문화재자료로 지정되어 있다.",화성시
