,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가라산,경상남도 거제시 남부면 다대리,128.6303347,34.74105029,http://tong.visitkorea.or.kr/cms/resource/96/217696_image2_1.jpg,"거제의 최남단 해변에 위치한 가라산은 거제에서 제일 높은 산으로 그 높이는 585m이며, 노자산과 같은 준령에 있는데 학동마을 뒷산은 노자산이고 다대마을 뒷산은 가라산이다. 가라산이란 지명의 유래는 서기 503년대의 가야시대까지 거슬러 올라간다. 그 당시 금관가야의 국경이 북으로는 해인사 뒷산(가야산), 남으로 거제도의 남쪽 끝 산까지 였는데, 남쪽의 가야산이 가라산으로 변음되었다는 말이 구전되고 있다. 가라산에서 내려본 해금강은 여의주를 문 청룡이 동해를 향하여 날아가는 형상으로 동으로는 길게 뻗어 내린 능선이 마치 용트림을 한 듯 서로 감고 있다. 3부 능선은 잡목으로 이어져 있으며 가파르고 정상은 바위산이다. 정상에는 봉수대가 있으며 거제도가 한눈에 내려다보인다. 그리고 남해안의 다도해가 안개 속에 가물 그린다. 멀리 남해를 비롯하여 고성만과 한려수도가 그림같이 펼쳐진다. 남서쪽은 한산도 비진도, 매물도, 가오도, 대소병대도 등 많은 섬들이 파도에 춤추며 밀려 오는 듯하다.",거제시
1,가조도,경상남도 거제시 사등면 가조로 1298,128.5206885,34.95770189,http://tong.visitkorea.or.kr/cms/resource/13/2755213_image2_1.jpg,"거제시 사등면에 있는 섬으로 면적 5.82㎢, 해안선 길이 19.5km이며 주로 보리와 고구마가 재배되고, 연안에는 굴과 홍합 양식이 활발하다. 이름의 유래는 더할 가(加)와 도울 조(助)로 보좌한다는 의미이며, 거제도에 부속된 섬 중에서 두 번째 큰 섬이다. 고려사에 성종 때 말을 방목하는 목장을 설치했다는 기록이 남아있다. 가조도의 대표적인 관광지는 아름다운 일몰을 볼 수 있는 노을이지는 언덕과 계도어촌체험마을, 옥녀봉 정상에 선녀가 구름 치마를 입고 춤추며 놀던 자리라고 전해지는 정자나루와 선착장 주변에 있는 수협 효시 공원 그리고 가조도와 형제섬을 연결하는 출렁다리 등이 있다. 2000년 7월에 섬의 남쪽과 거제도의 성포리를 연결하는 가조연륙교가 개통되었으며 창촌마을에서 서쪽을 바라보면 양쪽의 섬과 함께 그 가운데 고성으로 떨어지는 일몰의 모습이 장관이다.",거제시
2,가조도선착장,경상남도 거제시 사등면 가조로2길 62,128.5261915,34.92857469,http://tong.visitkorea.or.kr/cms/resource/24/2755224_image2_1.jpg,"거제도 본섬에서 가조연륙교를 건너면 왼쪽에 가조도선착장이 보인다. 진두마을에 있는 이 선착장은 경상남도 거제시 사등면 창호리에 있는 어촌 정주 어항이다. 선착장 주변은 가볍게 산책하기 좋으며 감성돔 낚시 명소로도 유명하다. 더불어 둘러볼 곳은 2008년 거제수협 탄생 100주년을 맞이하여 조성된 수협 효시 공원이다. 카페, 도서관, 포토존, 주차장 등 다양한 편의시설이 마련된 복합 커뮤니티 문화공간으로 수려한 자연경관과 아름다운 일몰을 감상할 수 있는 전망대 역할을 한다. 최근 가조도를 찾는 많은 관광객이 꼭 둘러보는 핫플레이스다.",거제시
3,거가대교,경상남도 거제시 장목면 유호리,128.7190862,35.0175821,http://tong.visitkorea.or.kr/cms/resource/14/2369214_image2_1.jpg,"침매터널로, 4.5km 구간은 사장교와 접속교 및 육상터널로 건설되었다. 거가대교 덕분에 부산-거제와의 거리가 140km에서 60km로 단축돼 교통이 편리해졌다.특히 부산 가덕도-중죽도-대죽도를 잇는 3.7km 구간의 침매터널은 길이 180m의 세계 최장 함체, 48m의 가장 깊은 수심, 세계 최초 2중 조인트 합체 연결 등 5가지의 세계 신기록을 보유하고 있다.거가대교가 개통되면서 부산과 거제, 통영의 여러 관광지를 편하고 빠르게 둘러볼 수 있고, 낮에는 눈앞에 확 트인 수평선을 바라보며 드라이브할 수 있게 되었다. 또한, 거가대교의 화려한 조명과 밤바다가 만들어내는 야경은 아름답기로 유명해 많은 관광객이 이곳을 찾는다.",거제시
4,거제 계도어촌체험마을,경상남도 거제시 사등면 가조로 837,128.5174966,34.9748138,http://tong.visitkorea.or.kr/cms/resource/07/2484307_image2_1.jpg,"통영에서 거제대교를 건너면 우리나라 두 번째로 큰 섬 거제도가 나온다. 마을 뒷산이 닭(鷄)처럼 생겼다하여 계도마을이라고 불리는데 마을 지형과 관련하여 또 다른 재미있는 이야기는 마을 앞 섬이 지네처럼 생겨서 꼭 닭이 마을로 달려드는 지네를 잡아먹으려고 하는 형상이라는 이야기도 있다. 마치 닭 앞에 맛있는 먹이가 널려있는 것처럼 이 마을 인근 해역은 볼락, 도다리, 노래미, 감성돔 등 제철 어족자원이 풍부하다. 특히 맑고 깨끗한 해역에서 자란 미더덕과 홍합은 지역 특산 수산물로 손꼽히고 있다.계도어촌체험마을은 바다낚시에 관한 모든 체험을 즐길 수 있다. 먼저 콘도형 좌대낚시가 있다. 해상 펜션형 낚시로 알려지기도 한 콘도형 좌대낚시는 가족이나 모임 단위로 와서 바다 위에서 안전하게 1박을 하면서 낚시를 즐길 수 있다는 것이 매력이다. 낚시의 재미와 여행자간의 추억을 동시에 가져갈 수 있는 프로그램이다. 노배낚시는 우리나라 전통 노로 배를 저어 나가 낚시를 하는 프로그램으로 유유자적 세월을 낚기에 딱 좋다. 가두리식 낚시나 낚시데크는 가두리 안에 적당량의 물고기를 가두어 두고 안전하게 낚시를 즐기는 것으로 어린이나 여성들이 즐기기에 좋은 프로그램이다. 이와 함께 양식장 견학, 통발체험, 어민생활체험 등 다양한 어촌체험과 더불어 미더덕 가공시설, 견학 및 구매, 수산물 직판, 바베큐장을 이용한 지역특산 해산물의 요리 및 시식 체험도 제공하고 있다.",거제시
5,거제 구조라관광어촌마을,경상남도 거제시 일운면 구조라로4길 3-1,128.6944774,34.80530539,http://tong.visitkorea.or.kr/cms/resource/14/2484314_image2_1.jpg,"구조라 마을은 다른 관광지와의 교통 연계성이 뛰어나 여행이 편리하다. 특히, 이곳에서 유람선을 이용하면 내도, 외도를 비롯한 해금강 등을 두루 관광할 수 있다. 구조라에서 해금강까지는 유람선을 타고 20분이 소요되며 해금강에는 썰물 때 모습을 드러내는 십자동굴, 사자바위, 환상적인 일출과 유명한 일월봉 등이 있다. 특히 거제도 하면 학동 흑진주 몽돌해변을 빼놓을 수 없는데, 구조라 테마 해변(해수욕장)에서 해안 도로를 따라 10분쯤 가면 학동 흑진주 몽돌해변이 나타난다. 학동 흑진주 몽돌해변에서 해금강까지 바다를 보며 드라이브할 수 있는 학동 해금강 국도가 있다. 2월 하순에 꽃이 피기 시작하여 3월 중순에 만개하는 동백꽃과 6월에 왔다가 9월에 가는 팔색조로 유명하다. 여름에 ''바다로 세계로''행사를 주로 구조라에서 개최한다.",거제시
6,거제 명진리 느티나무,경상남도 거제시 거제면 명진리 220,128.6103892,34.84459671,http://tong.visitkorea.or.kr/cms/resource/36/749536_image2_1.jpg,"명진리 마을 앞 들 가운데 서 있는 이 나무는 높이 14m, 둘레 7.7m, 수관은 동서 23m, 남북 20m이며, 수령은 약 600년 정도이다. 지상 1m 높이에서 사방으로 굵은 가지가 뻗어 있어 마치 우산을 펼쳐 놓은 듯한 느낌을 준다. 이 곳 명진리는 신라시대 명진현이 있던 곳이다. 이 나무는 명진마을을 지키는 수호목이라 믿고 있다. 그래서 이 마을에 시집오는 새색시는 제일 먼저 이 나무 밑에 와서 고신제를 지내 왔다고 한다.* 습성 : 산기슭이나 골짜기 또는 마을 부근의 흙이 깊고 진땅에서 잘 자란다. 높이는 26m, 지름이 3m이다. 굵은 가지가 갈라지고, 나무껍질은 회백색이고 늙은 나무에서는 비늘처럼 떨어진다.* 소유주 : 거제시",거제시
7,거제 쌍근어촌체험마을,경상남도 거제시 남부면 남부해안로 1094,128.5893265,34.76249161,http://tong.visitkorea.or.kr/cms/resource/27/2484327_image2_1.jpg,"쌍근어촌체험마을은 경남 거제시 남부면의 왕조산 자락에 자리잡고 있으며 여름철에도 바닷가의 시원한 바람을 느낄 수 있는 조용하고 아름다운 전형적인 어촌마을이다. 한려해상국립공원의 중심권역으로 기암절벽과 몽돌해수욕장 등 아름다운 자연경관과 더불어 청정해역 등의 자연조건을 지니고 있다. 예부터 멸치 잡는 마을로 유명하며 쌍근멸치는 임금님 진상에 올랐다고 한다. 멸치잡이를 하면서 부락이 형성되고 50년간 풍요로운 마을이 되었다. 그 외에도 마을 앞바다는 황금어장으로 유명해 갯벌에는 바지락, 댕가리, 돌게, 개고동 등 다양한 패류가 서식하고 바다에는 멍게, 멸치, 노래미, 도다리, 볼락, 망상어 등 어류가 서식하고 있다.음력 정월 대보름이면 주민들이 마을 회관에 모여서 제를 올리고 당산나무를 돌며 마을의 평안을 기원하는 풍습이 있는데, 매년 시행되고 있다.2000년에는 마을에서 분교(폐교)를 매입하여 2006년 정부의 지원을 받아 어촌체험마을로 선정되면서 체험관 숙박시설을 마련했다. 4층 건물의 이 숙박시설은 넓은 잔디운동장, 운동기구, 어린이놀이시설 및 축구·족구장이 있어 이용이 가능하며 탁 트인 바닷가 전망과 조용하고 깨끗한 마을로 방문객들을 맞이할 수 있다. 이러한 노력들로2009년 제4회 우수어촌체험마을 선정대회에서 ‘최우수상’을 수상한바 있다.체험프로그램으로는 갯벌체험으로 바지락 캐기와 자망체험이 있다.",거제시
8,거제 어구낚시마을,경상남도 거제시 어구길 4-1,128.5059656,34.82084193,http://tong.visitkorea.or.kr/cms/resource/39/2484339_image2_1.jpg,"청정해역 속의 거제, 그 서남쪽 끝머리에 자리잡은 어구낚시마을은 아늑하고 조용한 낚시터라는 수식이 제격인 아담한 어촌마을이다. 어구낚시마을에서 바라보는 바다는 청정해역으로 양식어업, 낚시어업 등이 활성화되어 있어 마을주민에게는 어업소득이 주를 이루고 있다.
어구마을의 주 특산물인 굴과 멍게는 청정해역에서 생산되어 어느 지역과도 비교할 수 없는 품질과 맛을 자랑한다. 인근 해역에서는 감성돔, 도다리, 노래미, 우럭, 참돔, 볼락 등이 잡히며, 거제 액젓과 새우젓이 유명하다. 주변에는 산방산, 폐왕성지, 시인 유치환 선생의 생가인 청마생가, 방하리 고분군, 술역리 지석묘, 화도 봉수대 등의 볼거리가 있다. ",거제시
9,거제 외간리 동백나무,경상남도 거제시 거제면 외간리,128.5731892,34.86110808,http://tong.visitkorea.or.kr/cms/resource/31/749731_image2_1.jpg,"동백나무는 예부터 우리나라 남쪽 바닷가 주민들이 그 나뭇가지를 혼례상에 차려 놓고 신랑 신부의 무병장수와 굳은 약속의 징표로 삼아왔다. 외간리 이정묵씨집 터에 동서로 각각 한 그루씩 서 있는 이 나무는 높이 7m, 수관(樹冠)은 동서7m, 남북 6m, 수령은 약 350년으로 지엽이 무성하고 지상 40cm 부분의 나무둘레는 2m이다. 동네 사람들은 이 나무를 부부나무라고 하여 가정의 화목과 마을의 안녕을 지켜주는 수호목으로 받들고 있으며, 매년 섣달 그믐날이면 동산제를 이 나무 밑에서 지닌다. 또한 동백나무의 꽃이 골고루 피면 그해 풍년이 들고 어느 한쪽만 피면 흉년이 든다는 전설이 전해지고 있다. 

나무껍질은 회백식이며 겹눈은 선상 긴 타원형이다. 잎은 어긋나고 타원형 또는 긴 타원형이다. 잎가장자리에 물결 모양의 잔 톱니가 있고 윤기가 있으며 털이 없다. 꽃은 이른 봄 가지 끝에 1개씩 달리고 적색이다. 꽃잎은 5∼7개가 밑에서 합쳐져서 비스듬히 퍼지고, 수술은 많으며 꽃잎에 붙어서 떨어질 때 함께 떨어진다. 암술대는 3개로 갈라진다

* 습성
쌍떡잎식물 측막태좌목 차나무과의 상록교목
- 분류 : 차나무과
- 분포지역 : 한국(남부지방) ·중국 ·일본",거제시
10,거제 우제봉전망대,경상남도 거제시 남부면 해금강3길 23,128.6745865,34.73665436,http://tong.visitkorea.or.kr/cms/resource/84/2530584_image2_1.jpg,"우제봉전망대에 오르면 해금강의 모습을 내려다 볼 수 있다. 우제봉 정상은 해발 107m, 천천히 걸어도 30분이면 도착한다. 높지도 힘들지도 않은 길이라 아이부터 노인까지 부담이 없다.",거제시
11,거제 학동리 동백나무 숲 및 팔색조 번식지,경상남도 거제시 동부면 거제대로 684-22,128.6375446,34.76062879,http://tong.visitkorea.or.kr/cms/resource/80/749480_image2_1.jpg,"거제시 동부면 학동리의 14번 국도변에 위치한 이 동백숲은 천연기념물로 지정돼 있다. 팔색조는 매년 6월 중순경에 찾아와 보금자리를 마련하는데, 새소리가 특이해서 소리만 듣고도 팔색조임을 알 수 있다. 또한 사시사철 윤기 나는 상록수림인 동백숲은 11월부터 이듬해 6월까지 꽃이 피며,  개화한 꽃은 10여 일 만에 낙화한다. 햇빛을 받으면 은빛을 발산하는 동백 군림은 양봉 업자들의 월동을 위한 곳이기도 하다. 꽃은 향기가 없는 것이 특색이며 색깔은 붉은 것이 많으나흰 꽃도 볼 수 있다. 열매는 채취하여 기름을 짜 기계 기름, 귀부인의 머리 기름으로도 사용했다.",거제시
12,거제도,경상남도 거제시 거제면 거제도,128.5172415,34.85482444,http://tong.visitkorea.or.kr/cms/resource/69/1978569_image2_1.jpg,"거제도는 모래알만큼이나 많은 남해안의 섬 중에 가장 크고 넓다. 우리나라에서는 제주도 다음으로 큰 섬이다. 하지만 그곳이 섬이라는 사실을 실감하려면, 적잖은 다리품을 아끼지 말아야 한다. 한강 다리만 한 신거제대교를 건너고, 고속도로처럼 시원스레 뚫린 국도를 한참동안 달려도 고층건물들이 즐비한 시가지와, 중후장대(重厚長大)한 조선소만 잇따라 나타나기 때문이다. 그러나 장승포항을 지나면 전혀 다른 거제도에 들어선다.

우선 길부터가 다르다. 해안선의 굴곡을 따라  자연스레 구부러지고 오르내리는 2차선 도로로 바뀐다. 그리고 장승포항에서 거제 해금강까지의 칠십리 길은 줄곧 전망 좋은 바닷가를 따라 이어지는데, 이 길가에는 팔색조가 깃드는 동백숲과 맑은 해조음으로 귀를 씻어주는  몽돌해변이 자리잡고 있다. 예나 지금이나 거제도의 대표적인 절경은 역시 해금강이다. 면적은 0.1㎢ 에 불과하고 전체가 깎아지른 기암절벽의 무인도지만 섬 머리께의 울창한 숲과 절벽아래의 해식동굴이 북녘 해금강에 못지 않은 절경으로 소문나 있다.

동부 해안의 선착장에서 출항하는 유람선에 몸을 실으면 이곳 해금강의 절경을 한눈에 감상할 수 있다. 그러나 해금강은 훤한 대낮보다도 동틀녘이나 달밤에 더 운치있고, 뭍에서 바라보는 해금강은 뱃전에서 본 것과는 사뭇 다른 아름다움이 느껴진다. 맨 남쪽의 무지개마을과 여차마을 간에는 그림같은 해안절경과 환상적인 드라이브코스가 감춰져 있다. 남해안 전체를 통틀어서도  이보다 풍광좋은 해안도로를 만나기가 어렵다. 그리고 여차마을의 몽돌해변은 여름철에 해수욕과 야영을 즐기기에도 안성맞춤이다. 장승포항의 남동쪽 바다에 떠 있는 지심도는, 남해안의 여러 동백섬 중 가장 아름답다. 길이 1.5㎞, 너비 500m의 섬이 온통 동백나무로 덮여 있어 해마다 3월경이면 섬뜩할 만큼 아리땁고 요염한 동백꽃이 하늘과 땅을 붉게 물들인다.

외도해상농원은 오늘날 거제도에서 가장 인기있는 관광지이다. 155,372m²(47,000평) 규모의 농원 안에는 3,000여 종이나 되는 식물들이 있는데, 대부분 이름조차 생소한 외국식물들이다. 또한 모든 건물들이 지중해양식으로 지어져 있어 이국적인 정취를 물씬 풍긴다. 거제도를 여행하기에는 동백꽃 피는 3월경이 가장 제격이다.  그 즈음에는 남부면과 일운면을 지나는 14번 국도 주변의 바닷가와 산자락마다  진달래·복사꽃·산벚꽃도 화사하게 피어난다. 또한 길 사정도 여유롭고 바다의 빛깔도 짙푸른 쪽빛이라 섬다운 풍정을 느낄 수 있다.",거제시
