,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가섭암지 마애여래삼존입상,경상남도 거창군 위천면 상천리,127.7941371,35.73454859,http://tong.visitkorea.or.kr/cms/resource/66/1611166_image2_1.jpg,"금원산 북쪽 골짜기 큰 바위굴에 새겨져 있는 마애불이다. 뒤의 돌계단을 오르면 바위굴이 있고 안쪽 남향 바위에 삼존불이 새겨져 있다. 삼존불의 부분을 삼각선으로 그어 구획하고, 가운데는 보주형으로 다듬어 세 분의 부처를 새겼다. 중앙의 부처가 두 보살을 좌우로 거느린 모양이다. 중앙은 아미타여래, 오른쪽은 관음보살, 왼쪽은 지장보살로 보인다. 연꽃 수미단 대좌 위의 본존불은 넓적한 얼굴에 삼각형의 코, 얼굴에 비해 작은 눈과 입, 크지만 밋밋한 귀가 토속적 인상을 준다. 좌우 보살의 얼굴도 비슷한데 화려한 옷자락은 조금은 번잡한 느낌이다. 삼존불 모두 도드라지게 새겼으나 전체적으로는 납작하게 표현되었다. 본존불의 각진 어깨, 밋밋한 가슴, 부자연스레 가슴에 모은 팔, 막대 같은 다리, 좌우로 벌린 발등과 같은 도식적인 처리는 고려시대 부처상의 특징이다. 오른쪽에 새긴 글에는 1111년에 제작한 것으로 되어 있다. 아래의 가섭암 자리는 1770년대까지 절이 있었다는데, 지금도 당시의 것으로 보이는 몇 개의 석재가 남아 있다. 지금 위천초등학교에 옮겨진 삼층석탑은 비슷한 고려시대의 탑으로 추정되고 있다. 마애삼존불은 가섭암과 같이 고려시대에 있었던 절의 일부였을 것이다.",거창군
1,가조 백두산천지온천,경상남도 거창군 가조면 온천길 161,128.0229318,35.69853454,http://tong.visitkorea.or.kr/cms/resource/50/2042650_image2_1.jpg,"가조 백두산천지온천은 위에서 내려다볼 때 가조 일대가 백두산 천지의 모습을 그대로 재현하고 있어 백두산의 신비로움을 간직한 온천이다. 우두산, 비계산, 미녀봉 중간에 위치한 가조온천은 물 좋기로 소문난 전국 제일의 강알카리성((ph 9.7) 온천으로 피로회복, 신경통, 류머티즘, 알레르기성 피부염, 만성습진 등에 탁월한 효과를 경험할 수 있으며, 관내에는 등산코스로 이름난 의상봉, 금원산자연휴양림, 위천수승대, 월성계곡 등 천혜의 자연경관이 있다.",거창군
2,감악산 풍력발전단지,경상남도 거창군 신원면 덕산리 산57번지,127.9163996,35.59128366,http://tong.visitkorea.or.kr/cms/resource/34/2675634_image2_1.jpg,"경상남도 거창군 신원면 과정리, 덕산리 일원에 조성된 풍력 발전단지이다. 과거 해발 900m의 황무지였던 곳에 감국, 아스타 구절초, 샤스타데이지, 억새, 소국, 등을 식재하여 경관을 개선하였다. 전방으로는 거창읍의 전경이 후방으로는 합천호가 보여 아름다운 경관을 볼 수 있다. 또한 곳곳에 포토존이 설치되어 있어 사진찍기에 좋다.",거창군
3,감악산(거창),거창군 남상면 무촌리 산295번지 일원(신원면 구사리 산12-1 인근),127.9295566,35.5964222,http://tong.visitkorea.or.kr/cms/resource/05/2860205_image2_1.jpg,"* 거룩한 산이라는 뜻의 감악산 *
감악산(952m)은 남상면 무촌리 신원면 과정리를 안고 있는 거창의 안산이다. 거창분지의 남쪽에서 서쪽 대용산과 동쪽 대덕산 돌마장산 매봉산들을 거느리고 한 일자로 흐르고 있다. 산 고스락 감악평전에는 1983년 6월에 세워진 KBS, MBC TV 중계탑이 있다.

신라 애장왕 3년 감악조사가 감악산에 절을 짓고 조사의 이름을 따서 감악사라 하였다고 한다. 감악산 감악조사가 지었다는 감악사는 지금의 명소로 자리한 연수사 이전의 절이다. 

산, 절, 절을 지은 스님 이름이 모두 감악이란 이름으로 같다. 신라는 통일신라 전쟁 때 원병으로 왔던 당나라 장수 설인귀를 산신으로 삼고 사당을 지어 제사를 지냈던 민간신앙이 있었다. 그 폐단이 너무 커서 고려 충선왕 때 이를 금하게 되었다는 얘기가 있다. 

이로 미루어 볼 때 남쪽 감악산에 산신제를 지내오다 그것을 금한 뒤로 절을 짓고 감악사라 한 것으로 보인다. 신라 때 지은 감악사는 망하고 고려 공민왕 때 벽암선사가 연수사를 중창하였다. 

감악산의 산 이름은 거룩한 산, 신령스런 산, 큰 산의 뜻이 되는 감뫼로 곧 여신을 상징한다. 감악산의 전설로는 연수사 샘물로 신라 헌강왕이 중풍을 고쳤다하는 얘기와 고려 왕손에 출가한 여승과 유복자와의 사연을 담고 있는 연수사 은행나무가 유명하다. 연수사는 절 이름에 ‘물 수’(水)자를 넣어 지었듯이 샘과 인연 깊은 사찰이다.

감악산은 거창군 남부권의 명산으로 지리산, 덕유산, 가야산에 둘러싸여 있고, 근거리에는 거창읍 전경과 합천댐을 볼 수 있는 조망권을 자랑하는 곳입니다. 감악산 등산로인 물맞이길을 따라 올라가면 중턱에는 신라시대 사찰인 연수사에서 전설을 지닌 약수와 은행나무를 볼 수 있습니다. 그리고 정상부근에는 항노화웰니스체험장이 조성되어 있어 가을이 되면 낮에는 화려한 국화꽃과 거창읍 전경을, 밤에는 하늘의 별빛과 거창읍 야경을 관람할 수 있습니다.
     
※ 주변관광지 : 연수사, 항노화웰니스체험장, 거창CC, 거창사건추모공원",거창군
4,감악산항노화웰니스체험장,경상남도 거창군 신원면 연수사길 456,127.9199604,35.5901644,http://tong.visitkorea.or.kr/cms/resource/73/2774673_image2_1.JPG,"거창 항노화 웰니스 체험장은 거창의 명산으로 불리는 해발 952미터 감악산 정상 부근에 있다.
황무지였던 터에 감국, 아스타, 구절초 등을 심어 가꾼 산상화원으로 가을이면 보라색 아스타 국화가 아름답다. 풍력 발전소가 자리 잡은 정상이지만 차량 진입이 가능해 접근성이 좋은 곳으로
차박과 피크닉이 가능하고 거창 시내 전경과 합천호의 아름다운 경관을 한눈에 감상할 수 있다.
거창에서 가장 아름다운 일몰을 감상할 수도 있는 곳으로 밤이면 은하수와 별빛 체험을 위해 가족이나 연인들이 많이 찾는다.",거창군
5,거열산성군립공원,경상남도 거창군 거창읍 거안로 1173-47,127.8786197,35.6928937,http://tong.visitkorea.or.kr/cms/resource/95/2484295_image2_1.jpg,"거창군은 경남 서북부의 내륙 산간지방으로 덕유산국립공원을 경계로 경상북도, 전라북도와 접해있다. 북쪽은 덕유산, 월봉산, 수도산, 서쪽은 기백산, 금원산, 동쪽은 의상봉, 비계산 등이 솟아있으며 남쪽은  비교적 낮은 보록산, 철마산들로 둘러싸여 산간분지를 형성하고 있다. 거열산성 군립공원은 거창읍의 서편으로 3km 정도 떨어져 있는 공원으로 백제의 충신 열사와 의용군들이 나라를 재건하려는 목적으로 축성한 거열성 일대이다.거열성은 백제 패망 후 3년간 항전하다가 신라 문무왕 3년(663)에 신라 장수 김흠순, 천존 등에 함락되었고, 백제 부흥군 700여명이 참수당한 치열한 전투가 벌어진 역사의 산 교육장이기도 하다. 현존하는 유적으로 길이 2.1km, 폭 7m의 산성이 부분적으로 원형을 간직하고 있으며, 망루터 자리 7개소, 우물 2곳이 있다. 또한 자전거 전용도로변에 위치한 거창조각공원이 형성되어 있어 대자연의 아름다움을 감상할 수 있다.",거창군
6,거창 Y자형 출렁다리,경상남도 거창군 가조면 의상봉길 830,128.0409208,35.73666388,http://tong.visitkorea.or.kr/cms/resource/29/2649829_image2_1.jpg,"해발 620m에 설치된 출렁다리는 등산로가 상봉과 마장재로 갈리는 지점에 있다. 깎아지른 협곡을 세 방향으로 연결한 국내 유일의 산악 보도교다. 지상 높이 60m, 총 길이 109m다. 최대 하중 60t, 75kg 어른 800명, 동시 최대 수용 인원은 230명이다.",거창군
7,거창 동계 종택(정온선생고택),경상남도 거창군 위천면 강동1길 13,127.8289029,35.75499411,http://tong.visitkorea.or.kr/cms/resource/58/976958_image2_1.jpg,"이 집은 정온(1569~1632)선생의 생가로 그의 후손들이 그의 생가를 1820년에 중창하여 오늘에 이르고 있다. 솟을대문의 대문간 채를 들어서면 남향한 사랑채가 있다. ㄱ자형 평면이며, 정면 6칸, 측면은 2칸 반이고, ㄱ자로 꺾여 나온 내루(內樓)부분이 간반(間半) 규모이다. 이 집에서 주목되는 점은 두 줄로 된 겹집이며 전퇴를 두었다는 것과 내루에 눈섭지붕이 따로 만들어졌다는 점이다. 안채도 남향인데, 정면 8칸, 측면 3칸 반의 전·후퇴 있는 두 줄의 겹집으로 사랑채의 평면구성과 함께 주목된다. 거창은 남쪽지방인데도 북쪽지방에서 많이 보이는 겹집의 형태를 갖추고 있어 주목된다. 그러나 안채나 사랑채는 기단이 낮은 반면  툇마루가 높게 설치되어 남쪽지방의 특색에서 벗어나지는 않았다. 안채로 들어가려면 사랑채 좌측의 중문을 통하도록 되어 있으며, 중문채는 3칸이다. 중문을 들어서면 네모의 안뜰인데,사랑채와 안채 사이의 내정 좌우로 각각 부속건물이 있다. 서쪽에는 정면 4칸, 측면 2칸의 큼직한 곡간이 있다.  곡간 뒤편에는 화장실이 있다. 마당 동쪽에는 서향한 뜰 아래채가 있는데 4칸 집이다. 사당은 안채의 향원에 삼문을 짓고 그안에 있는데, 전퇴가 있는 3칸 집이다. 규모가 큰 기와집들이 부재도 넉넉하면서 장대하고 훤칠해 보인다. 학술적  가치는 집 전체의 평면구성에 있다.* 규모 - 7동(棟)* 시대 - 조선시대 * 분류 - 목조건조물",거창군
8,거창 서변마을,경상남도 거창군 거창읍 주곡로 220-14,127.9168157,35.71507521,http://tong.visitkorea.or.kr/cms/resource/49/2484349_image2_1.jpg,"거창 서변은 높은 산들로 둘러싸인 분지형으로 예로부터 농업이 발달하고 인물이 많이 나왔으며, 많은 문신 학자들을 배출한 고장이기도 하다. 또한, 국난 시에는 많은 의병이 일어난 곳으로 이 일대에 산성이 많이 남아 있는 것으로 보아도 알 수 있다. 물 맑고, 공기 좋고, 아름답고 쾌적한 천혜의 자연환경을 지닌 거창 서변은 일교차가 심한 청정의 산골로서 과실과 농작물의 생육.결실을 돕는 천연의 기후 조건으로 신선도와 당도 및 저장성이 뛰어나며 맛과 영양이 풍부한 최고의 농산물을 생산하고 있는 곳이기도 하다.",거창군
9,거창 요수정,경상남도 거창군 위천면 은하리길 100,127.8309665,35.76225166,http://tong.visitkorea.or.kr/cms/resource/03/1954903_image2_1.jpg,"요수정은 요수 신권 선생이 풍류를 즐기며 제자를 가르치던 곳으로 1542년 구연재와 남쪽 척수대 사이에 처음 건립하였다. 임란 때 소실되었고 그 뒤 다시 수파를 만나 1805년 후손들이 수승대 건너편 현 위치로 이건하였다. 상량문에 1800년대 후반에 수리한 기록이 있다.요수정은 수승대 건너편 솔숲에 부속건물 없이 홀로 세워진 중층의 정자이다. 평면은 정면 3칸, 측면 2칸으로 정면 어칸의 배면에 1칸의 방을 들이고, 나머지는 모두 마루로 구성하였다. 방은 판방으로 구성하여 배면을 제외한 3면에 문을 내었다. 누의 바닥에는 우물마루를 깔았고 배면 좌측의 출입구 일부를 제외한 4면 모두 계자난간을 둘렀다.요수정은 자연 암반 위에 바로 세운 건물로 초석을 사용하지 않았다. 특별히 기단을 조성하지는 않았으며 다만, 배면 쪽에 경계의 표시와 굴뚝을 겸하는 낮은 돌담을 쌓았을 뿐이다. 기둥은 원기둥과 각기둥을 사용하였는데, 단칸의 방을 구성한 4본은 각기둥으로 하고 나머지는 모두 원기둥을 사용하였다. 누하기둥은 직경을 상부기둥보다 크게 하여 구조적 안정을 꾀하고 있다.요수정은 수승대의 경치를 완상하고 시회와 교육 등을 위해 솔숲에 만들어진 전형적인 정자 건물로 형태가 매우 아름답다. 전통적인 정자건물 형식을 잘 유지하고 있으며, 산간지역의 기후를 고려하여 정자의 내부에 방을 들이고 있어 이 지역의 건축적 특징을 반영하고 있다.",거창군
