,title,addr1,mapx,mapy,firstimage,overview,addr2
0,고성 덕명리 공룡과 새발자국 화석 산지,경상남도 고성군 하이면 덕명5길 65,128.1547578,34.9089897,http://tong.visitkorea.or.kr/cms/resource/12/1978612_image2_1.jpg,"고성 덕명리의 고생물화석 산출지는 중생대 백악기 공룡발자국 산지로는 양적으로나 다양성에 있어서 세계적으로 손꼽히는 곳이며 중생대 새발자국 화석지로는 세계최대이다. 기타 다양한 퇴적 구조를 보이며, 생흔 화석들이 다수 산출되고 있어 공룡서식 당시의 공룡의 생활상, 자연환경, 퇴적환경, 해륙분포, 새의 진화 과정 등을 알 수 있는 학술적으로 귀중한 화석지 이며 또한 청정 바다를 바라보며 기암괴석, 해식동굴 등 해안절경을 가지고 있어 경관상 가치가 큰 곳으로 이를 보존하고자 하는 것이다.고성군 하이면 덕명리에 가면 잔잔한 한려수도의 절경인 바다와 연하여 펼쳐진 넓은 암반을딛고 상시 조수에 씻겨 닳을대로 닳은 조약돌을 밟으며 서남쪽으로 약 300m 전진하면 해안에 작은 산이 내달아 바다에 뻗어 있고 전면 층암단에 깊숙이 암굴이 뚫려 있는데 이곳이바로 상족암(床足岩)이라 불리는 곳이며 이 상족암에는 애틋한 이야기가 전하여 온다.하늘의 옥황상제께서는 새로운 옷을 즐겨 입기를 좋아 하셨는데 하루는 지상의 세계를 내려보고 계시다가 이 상족암의 절경에 감탄하여 저곳에서 베를 짜서 옷을 입으면 양질의 옷이될 것이라 하시면서 선녀들을 하강시켜 상족암에서 베를 짜라 하시고 베틀과 함께 지상으로내려보냈다. 선녀들은 옥황상제께서 내려주신 베틀로 하루도 쉬지 않고 옥황상제가 입으실금의를 짜기 시작하였다. 그러나 옥황상제는 하루에 한벌씩 금의를 갈아입으시기 때문에 선녀들의 손으로는 매우 힘든 일이었다. 그러나 선녀들은 옥황상제의 엄중한 명령에 하루도 쉬지 못하고 열심히 금의를 짰으나 선녀들도 지상의 여자와 같이 한달에 한번씩 하는 생리현상 때는 도저히 금의를 짜지 못하는 것이었다. 그래서 베틀의 바로 옆에 여러개의 웅덩이를 파서 목욕을 하고 속옷도 씻었다 한다. 이렇게 애를 쓰면서 금의를 짜던 선녀들이 하나 둘씩 옥황상제의 명령에 의하여 1년에한번씩 교대로 금의를 짜서 옥황상제께 상납하였다는 전설이 전하여 내려오고 있다. 지금도상족암에 가면 그 시대 전설을 증명하기도하는 양 그 웅덩이에는 붉은 해초가 자라고 있으며상족암 암굴 안에는 그 당시의 베틀로 보이는 석직기(石織機)의 형상이 남아 있다.* 수량 / 면적 - 93필 124,307㎡",고성군
1,고성 솔섬,경상남도 고성군 하일면 자란만로 1622-11,128.2014781,34.93282119,http://tong.visitkorea.or.kr/cms/resource/27/2759627_image2_1.jpg,"경남 고성군 하일면에 위치한 자연 생태공원 솔섬은 '섬에 소나무가 많다'고 하여 붙여진 이름이다. 3~4월 유채꽃, 진달래를 시작으로 5~6월에는 하얀 이팝나무, 7~10월은 무궁화꽃이 만개하고 9~11월에는 구절초가 흐드러지게 피어 산과 바다를 품은 아담한 꽃섬이라고도 한다. 솔섬을 한 바퀴 도는데 약 40분 정도 소요되어 가벼운 산책 코스로 안성맞춤이다. 솔섬을 지도에서 검색해 보면 꼬리같이 길게 나와 있는 곳을 볼 수 있는데 이곳은 '장여'라는 곳으로 밀물 때 섬이 되고 썰물 때 바닷길이 열려 육지와 연결된다. 물이 빠지는 시간을 미리 확인하여 바닷길을 걷는 이색적인 체험을 할 수 있다.",고성군
2,고성 송학동 고분군,경상남도 고성군 고성읍 송학리 470,128.3213886,34.98039577,http://tong.visitkorea.or.kr/cms/resource/16/1611216_image2_1.jpg,"고성 송학동 고분군은 당시 정치적 세력자들의 무덤으로 추정되는 7기의 가야 무덤들로서 가야시대 대표적인 축조방법인 수혈식 석실분구조와 횡혈식, 횡구석상 등 다양한 형태의 고분이다. 만들어진 시기는 400년을 중심으로 앞뒤 50년의 범위를 넘지 않을 것으로 보이며, 가장 높은 곳에 전방후원분으로서 논란이 되어왔던 1호 무덤이 있고 점차 밑으로 내려가면서 나머지 6기의  무덤들이 자리잡고 있으며, 이 지역에서 북쪽으로 300m거리에 기원리 무덤들이 있고 동쪽으로 300~400m 거리에 송학동 조개더미가 있어, 삼국시대 소가야국의 자리를 나타내주고 있다.1호 무덤은 겉 모습에서 일본 고분시대에 많이 나타나는, 앞이 네모나고 뒤가 둥근 무덤인 전방후원형 무덤 으로 보여지기도 하나, 발굴조사 결과 흙을 쌓아 구릉처럼 만든 뒤 돌무덤방을 만든 것으로 나타났다. 이들 7기의 무덤은 1호무덤인 무기산 무덤과 가까운 관계에 있으며, 동시에 1호 무덤을 보호하도록 하는 딸린무덤(배총)의 역할을 한다고 할 수 있다. 특히, 1호분 B지구 고분은 횡혈식 석실분으로 내부가 양호한 상태로 보존되어 있으며, 국내 최초로 확인된 채색고분이다. 이곳에서 출토되는 유물이 신라, 백제, 일본, 가야지역의 다양한 유물로 확인되고 있어 일본과의 관계 확인을 위한 고고학계의 중요한 연구자료로 가치가 높아 일본학계에서도 많이 방문하고 있다.동북쪽에는 고성동외동 조개더미가 자리하고 있으며, 이 조개더미에서는 널무덤(토광묘).독무덤(옹관묘).돌널무덤(석관묘) 등의 유적과 청동 투겁창(청동광모).청동칼자루 끝 장식(검파두식).거울조각.불탄쌀.회색토기 등의 유물이 발견되어 이 지방의 문화를 짐작하게 한다.※ 1999~2000년 송학동 고분군 시굴 및 발굴조사 결과 전방후원분이 아니고 3개의 쌍분으로 형성되어 있는 것으로 추정 조사됨",고성군
3,고성 자란만,경상남도 고성군 하일면 용태1길,128.211477,34.94044552,http://tong.visitkorea.or.kr/cms/resource/74/1978574_image2_1.jpg,"삼천포항과 이웃한 고성군 하이면의 상족암군립공원에서 공룡발자국을 구경한 뒤에 잊지 말고 자란만 바다를 끼고 달리는 해안도로를 타고  해안드라이브도 즐겨봐야 된다. 이른 봄날, 차량 통행이 많지 않은 이 해안도로를 달리노라면 자란만 바다에 가득한 봄기운을 만끽할 수 있다. 청정해역의 대명사격인 자란만에는 맏형격인 자란도를 비롯해서  만아섬, 육섬, 죽도, 솔섬, 목섬, 밤섬, 보리섬, 괴암섬, 나비섬, 문래섬, 누은섬, 소치섬, 윗대호섬, 아랫대호섬 등 올망졸망한 섬들이 뭍을 그리워하며 조용히 누워 있다. 자란만의 섬과 섬 사이에는 굴 양식장이 발달해있다. 파란 바다 위에 점점이 떠 있는 흰점들은 대부분 굴 양식장의 부표이다. 

상족암군립공원에서 최근 노번이 새로 붙은 77번 국도를 타고 달리면 하일면 소재지를 거쳐 삼산면 소재지에 도착한다. 이곳 삼산초등학교 앞에서  국도를 버리고 남쪽 길로 접어들면 고성군의 남쪽 끝마을인 두포리 포교마을로 갈 수 있다. 포교마을은 반원을 그리는 자란만의 가장 동쪽  끝 지점에 자리잡고 있는 동네이다. 선창에는 50여 척의 배가 바닷바람에 살랑거리며 오수를 즐기고 있다. 이름난 여행지는 아니지만, 풀피리 소리라도 들릴 듯한 동구밖 언덕에 서면 그림엽서처럼 이쁜 60여 가구의 마을 풍경이 한눈에 들어온다.
봄이면 마을 여기저기에는 하얀 찔레꽃이 피어난다.

포교마을 고깃배들은  봄철이면 도다리, 5월부터 가을까지는 하모(갯장어),  가을부터 이듬해 1월까지는 사량도나 매물도까지 나가서 복어(참복)를 잡아온다.  특히 참장어(하모)는 장어보다 두 배 이상 비싼 물고기라 거의 일본으로 수출된다.  일본인들은 한국인들이 보신탕을 좋아하는 것 이상으로 하모를 좋아한다.  회나 구이로 먹고 팔팔 끓는 물에 살짝 데쳐 먹기도 한다. 아무리 많이 먹어도 물리지 않는 것이 하모요리라고 마을주민들은 자랑한다. 아직까지는 바다낚시 애호가들에게만 알려져 있지만, 고성군에서는 이 마을을 관광명소로 지정하기 위해 선창에 주차장을 널찍하게 조성해놨다.",고성군
4,고성당항포랜드,경상남도 고성군 회화면 당항만로 1116,128.3986687,35.05638586,http://tong.visitkorea.or.kr/cms/resource/97/2787697_image2_1.jpg,"당항포랜드는 고성 공룡엑스포를 위해 대규모로 구성된 관광지로써 다양한 볼거리와 즐길 거리를 갖추고 있는 물놀이 시설이다. 사계절 언제든 방문해도 좋겠으나, 아무래도 여름 휴가철에 가장 많이 찾게 되는데, 이곳에서 시원한 물놀이를 즐길 수 있어 가족 단위 피서객들에게 인기가 높다. 당항포관광지 입장료를 내 거나 오토캠핑장을 이용하면 대부분의 관람 시설은 무료이나, 일부 놀이기구와 야외풀장은 유료로 이용할 수 있다. 야외 풀장은 여름철 1개월간 한시적으로 운영되는데 2바퀴를 회전하며 내려오는 워터 슬라이드와 어린이용 미끄럼틀이 있고, 수심이 1m와 0.5m로 두 개로 나뉘어 있어서 가족 단위로 캠핑장을 찾은 경우 반나절이나 하루 정도를 이곳에서 물놀이로 충분히 즐길 수 있다. 주변에 공룡 관련 전시와 놀이공원, 박물관 등이 다양하여 휴가 계획을 알차게 세울 수 있는 곳이다. 수영복, 수영모, 구명조끼 등이 대여 가능하여, 준비하지 못했더라고 물놀이를 할 수 있도록 돕고 있다. 풀장 옆으로는 스탠드식 그늘막이 잘 설치되어 있고, 파라솔과 테이블도 준비되어 있어 휴식을 취하기 좋으나, 여름철에는 찾는 이들이 많아 일찍 입장하지 않으면 자리를 잡기 어려울 수도 있다. 풀장 내의 매점과 스낵바에서 간식과 음료 등의 구매가 가능하며, 외부음식물 반입도 가능하다.",고성군
5,고성소을비포성지,경남 고성군 하일면 동화리 398-4,128.1894716,34.90237717,http://tong.visitkorea.or.kr/cms/resource/15/2787715_image2_1.jpg,"고성에는 조선 초기에 지어진 것으로 추정되는 소을비포성지가 일부가 남아 있다. 왜구의 침입을 막고자 하는 목적으로 쌓은 성으로, 바닷가로 돌출된 낮은 산의 해안 경사를 따라 타원형으로 쌓아 올린 산성으로 앞쪽이 바다를 향하고 있어서 자연환경을 잘 활용한 방어시설이다. 난중일기와 조선왕조실록 등에도 남해안의 왜구 방비를 목적으로 진이나 보를 설치하였다고 기록이 남아 있는데 이곳이 그러한 군사시설 중에 하나로 보인다. 현재 남은 성은 규모 200m 둘레 3m 높이의 성벽과 북쪽 성문의 흔적이 남아 있다. 바로 앞에 사량도가 있어서 태풍의 영향을 받지 않고 파도가 잔잔한 지역이라 요즘도 기상이 좋지 않을 때는 이곳 앞바다로 어선들이 대피하기도 한다. 고성의 해안가를 따라가다 보면 이곳에 도착할 수 있는데, 주차장과 산책로가 잘 갖춰져 있어서 돌로 포장된 계단과 길을 따라 가볍게 언덕 위로 올라가면 금세 탁 트인 넓은 공터가 펼쳐진다. 봄 여름이면 이곳에 초록빛의 잔디로 가득해지고 성벽 너머로 맑고 고요한 바다가 펼쳐져 장관을 이룬다. 이곳에서 바다를 내려다보면 자연환경을 활용한 선조들의 지혜가 느껴진다.",고성군
6,구절산,경상남도 고성군 동해면 외곡1길 535,128.4199763,35.01468258,http://tong.visitkorea.or.kr/cms/resource/03/2794003_image2_1.jpg,"동해면에 위치해 있는 구절산은 해발 564.6m의 아담한 산으로 산행에 부담이 없고,주변 바다 풍경이 뛰어나며 정상에 서면 다도해를 비롯한 주변경관을 한눈에 볼 수 있다.구절산에서는 구절폭포를 만나게 되는데 이 폭포는 일명 용두폭포, 또는 사두암폭포로 불린다. 높이 10m 정상에서 떨어지는 물줄기가 장관이며 폭포에서 일어나는 물방울로 더위를 잊을 수 있다. 폭포 오른쪽에 백호굴이라는 석굴이 있으며, 절벽 왼쪽에는 100여 명이 한 자리에 앉을 수 있는 보덕굴이 있는데 신비한 약수가 솟아나고 있다. 이 굴 주변에 있는 흔들바위는 한 사람이 흔들 때나 열 사람이 흔들 때나똑같이 흔들린다.서산대사가 거처했다는 사두사라는 절터에 현재도 작은 암자 하나가 있다. 
구절산은 장기마을 뒷쪽에 자리 잡은 동해면을 대표하는 산으로 옛날에 구절도사라는 신선이 살고 있었다고 하는데 도사는 인간이 먹는 음식은 먹지 않고 오직 산에서 나는 산삼을 일년에 두 번씩 캐어먹고 살았다고 한다. 구절도사를 만나려면 아홉구비의 폭포에서 아홉번 목욕을 하고 절을 아홉번하고 도사를 아홉번 불러야 나타난다고 하여 구절도사라 불렀다고 하며, 그래서 산 이름을 구절산, 폭포를 구절폭포라 부르고 있다. 구절도사는 심술이 많아 구절산 구절령 줄기 아래에 있는 사람들이 외지에 나가면 출세를 못하게 하고 그 대신 구절도사는 인간의 생명을 존엄하게 여기는 도사로 동해면 출신이 전쟁터나 징용에 끌려가면 가족이 도사에게 빌면 소원을 들어주어 목숨을 잃는 일이 없이 안전하게 돌아오게 하는 효험이 있었다고 전하고 있으며 지금도 도사가 살았다는 조그마한 동굴이 구절산에 남아있다.
(출처: 경남고성군 문화관광)",고성군
7,그레이스 정원,경상남도 고성군 상리면 삼상로 1312-71,128.1690326,34.97473814,http://tong.visitkorea.or.kr/cms/resource/12/2722812_image2_1.jpg,"고성 백암산 뒤 쪽에 자리 잡은 그레이스 정원은 동화 속 비밀의 숲의 한편에 자리 잡은 아름다운 정원 같은 느낌을 주는 곳이다.  곧게 뻗은 메타세쿼이아 길은 물론, 계절별로 아름다운 꽃들이 반기는 사계절 여행지며, 정원의 반을 가득 채우는 화사한 수국 꽃송이는 아름다운 색을 뽐내고 있다. 정원의 예쁜 바닥과 돌담을 걸으며 인생샷을 남길 수 있는 핫플레이스다.",고성군
8,남산공원(고성),경상남도 고성군 고성읍 동외로47번길 70,128.3271579,34.96735845,http://tong.visitkorea.or.kr/cms/resource/11/1611211_image2_1.jpg,"고성읍을 한눈에 내려다 볼 수 있는 고성의 유일한 도시공원이다. 공원입구는 선인들의 행적비(行跡碑)가 가지런히 정비되어있고 84계단을  올라보면 한눈에 들어오는 대한불교조계종 옥천사의 말사인 보광사를 만날 수 있다. 보광사 우측에는 호국영령들의 넋을 기리기 위해 세운 충혼탑과  봉안각. 6.25 반공유적비 등이 세워져 있다.보광사 앞에는 남산을 찾는 사람에게 제공하는 옥수같이 맑은 지하수가 있어 음용수로 즐겨 사용하고, 최근에는 보광사 윗편 산등성이에 생활체육시설과 목련쉼터를 조성하여 체력단련과 함께 쉼터로서의 완벽한 휴식공간이 조성되어 많은 읍민들이 이용하고 있다. 이곳에서부터 산정(山頂)을 거쳐 수남리(철뚝)와 신월리까지 이어지는 3~4m폭의 산책로가 잘 닦여져 있으며 산책로의  완주시간은 약1시간으로 도심 속의 등산코스로서는 최고의 환경이며. 전문 육상선수들의 동계훈련장으로 각광을 받고 있다.정상에는 고성만과  고성시가지가 한눈에 내려다보이고 팔각정(八角亭)이 세위져 읍민들의 건강증진과 휴식은 물론, 산을 오르는 사람들에게는 이  곳을 떠나고 싶은  마음이 전혀 들지 않는 포근하고 아름다운 곳이다.",고성군
9,도연서원,경상남도 고성군 마암면 도전4길 152-41,128.3350075,35.06224517,http://tong.visitkorea.or.kr/cms/resource/36/2848536_image2_1.jpg,"이 서원은 조선 숙종 13년에 창건하였으나, 고종때 국령에 의하여 철폐되었다가 1920년에 중건하였으며, 정철공 호는 허기, 천산제 허천수, 이견와(利見窩) 허재를 봉안하여 제향하고 있다. 정면 5칸, 측면 3칸의 팔작지붕 목조 와가인 강당은 좌측면에 방 2칸 대청 2칸, 방 1칸으로 구성되었으며, 대청과 후면의 대청마루 후회칸 경계부분에 들어열개 삼분합문이 설치되어 있다. 정문인 일원문은 정면 3칸의 솟을대문으로 양측 1칸씩 방을 두고, 가운데 1칸을 출입문으로 사용하여 그 상부에 계자난간이 설치된 루대(樓臺)를 둔 것이 특이하다. 강당을 중심축으로 후면 높은 곳의 중앙에 정면 3칸, 측면 2칸의 2익공 맞배지붕인 추원사(追遠祠), 내삼문 전면좌우에 익랑채로 정면 3칸, 측면 2칸 팔작지붕의 돈화실(敦和室), 명성실(明誠室)이 비치되어 있다.",고성군
