,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가야의 거리,경상남도 김해시 봉황동,128.8725475,35.23554659,http://tong.visitkorea.or.kr/cms/resource/91/2020291_image2_1.jpg,"* 금관가야의 발상지를 기념하기 위해 조성된, 가야의 거리 * 김해시는 금관가야의 발상지로서 시가지 전역에 산재한 역사문화자원을 종합적으로 정비하고자 가야문화의 주요 유적지들을 연결하는 가로공원의 성격으로 가야의 거리를 조성하였다. 총연장 2.1km내에 찬란했던 가야 해상무역의 영화를 간직한 해반천과 더불어 주변에 산재한 봉황동 유적, 수로왕릉, 대성동고분군, 국립김해박물관을 아우르는 도시의 골격적 경관축으로서 도시의 과거와 현재가 공존하고 생활 속에 자연을 만끽할 수 있는 공간을 조성하였다. 철기문화를 상징하는 상징분수와 야간 경관조명 등으로 가야문화의 번영을 상징화하였으며, 타원형의 바닥분수, 가야인의 생활환경이 함축된 주제정원, 소광장, 쉼터들이 조성되어 있다. * 금관가야가 있던 역사의 고장, 가야 * 김해는 옛 금관가야가 있던 역사의 고장이다. 가야는 우리나라 고대문화의 커다란 줄기 가운데 하나였는데도 관심 밖에 머물다가 최근에 이목을 집중적으로 받고 있다. 가야는 520년 동 안 한반도에 존재했었다. 가야는 크게 전기 가야연맹과 후기 가야연맹으로 구분된다. 전기 가야 연맹시기는 김해의 금관가야가 중심이었고 후기 가야연맹 시기는 고령의 대가야가 맹주 자리를 차지했다.",김해시
1,글로벌푸드타운,경상남도 김해시 서상동 82-45,128.8820995,35.23458576,http://tong.visitkorea.or.kr/cms/resource/63/2794863_image2_1.jpg,"김해는 인구의 약 7%가 외국인일 정도로 다양한 국적을 가진 이민자들이 많은 도시다. 덕분에 외국인들의 왕래가 잦은 동상동에는 각 나라의 로컬 음식들을 맛볼 수 있는 가게들이 줄지어 있다. 비교적 우리에게 익숙한 베트남 음식부터 우즈베키스탄, 스리랑카, 필리핀처럼 조금 낯선 음식들까지 다채롭게 맛볼 수 있다. 대부분 식당에서 외국인 요리사가 직접 요리하기 때문에 현지의 맛을 제대로 즐길 수 있다는 점도 글로벌푸드타운만의 매력이다. 음식뿐만이 아니다. 글로벌푸드타운에 들어서면 이국의 언어를 쓰인 간판과 안내문, 거리를 가득 채운 외국인들이 마치 먼 나라로 여행을 떠나온 것 같은 착각을 불러일으킨다. 골목 곳곳마다 이색적인 향신료나 식자재들도 판매하고 있어 반나절 세계여행의 설렘을 즐기기에 제격이다.",김해시
2,기억저장소뜨듯 협동조합,경상남도 김해시 한림로401번길 11-1,128.8024929,35.32215502,http://tong.visitkorea.or.kr/cms/resource/83/2996283_image2_1.png,"기억저장소뜨듯은 따뜻한 기억이라는 뜻을 가지고 있다.지역의 예술인 ,디자인, 소프트웨어의 자원을 가지고 관광기념품, 반려동물 유골함 및 공공미술관련 체험 서비스에 주력하고 있다.현재 김해 화포천생태공원에서 서식하는 616종의 생물이미지를 이용한 문구류를 제작중에 있다.",김해시
3,김해 구지봉,경상남도 김해시 가야로157번길 31-16,128.8753215,35.26455449,http://tong.visitkorea.or.kr/cms/resource/62/749962_image2_1.jpg,"* 김수로왕 탄생설화의 중심지, 구지봉 *경상남도 김해시 구산동(龜山洞)에 있는 작은 산봉우리로 1983년 8월 6일 경상남도기념물로 지정되었다가 2001년 3월 7일 사적으로 변경되었다. 가야의 시조 수로왕(首露王)이 탄강(誕降)하였다고 전해지는 곳이다. 원래는 거북 머리 모양을 닮았다 하여 구수봉(龜首峰)이라 하였는데, 지금 수로왕비릉(首露王妃陵:사적 74)이 있는 평탄한 위치가 거북의 몸체이고, 서쪽으로 쭉 내민 봉우리의 형상이 거북의 머리 모양 같다고 하여 이같은 이름이 붙었다.정상부에는 기원전 4세기경의 것으로 보이는 남방식 고인돌이 있다. 고인돌은 5∼6개의 짧은 받침돌 위에 지름 2.5m 정도 되는 덮개돌이 덮여 있고 그 위에 한호(韓濩)가 쓴 것이라 전해지는‘구지봉석(龜旨峰石)’이라는 명문이 새겨져 있다.* 김해김씨의 시조, 김수로왕 탄생 설화 *『삼국 유사』 「가락국기」 부분에 기록되어 있는 김수로왕의 탄생 설화를 보면 다음과 같다.서기 42년인 신라 유리왕 19년 3월의 어느 날, 이 곳 마을 사람들은 북쪽 구지봉에서 이상한 소리가 나는 것을 들었다. 마을 사람들이 그 곳에 가보니, 사람은 보이지 않고, 산꼭대기 흙을 뿌리면서 노래를 부르고 춤을 추면 곧 대왕을 맞이하게 될 것이라는 소리만 들렸다. 마을 사람들이 그 말에 모두 기뻐하며 노래하고 춤을 추자,하늘에서 한 줄기 빛이 땅에 떨어졌고, 거기에는 붉은 보자기에 싸인 금합 (金盒)이 있었다. 그 뚜껑을 열자 황금빛 알이 6개가 있었는데, 후에 거기에서 아기가 나와 6가야국의 왕이 되었으며, 그 중 가장 처음 태어난 아기가 김수로 왕이다. 이처럼 구지봉은 비록 야트막한 구릉지에 불과하지만, 가야의 시조 탄생 설화의 주무대로서 오늘날까지도 이 지역 사람들에게 신성한 산으로 여겨지고 있다. 일제강점기에는 구지봉을 관통하는 도로공사로 거북의 목부분이 끊겼는데, 풍수지리상 좋지 않다 하여 도로 위에 인도를 놓아 끊어진 목 부분을 연결하였다. ",김해시
4,김해 롯데워터파크,경상남도 김해시 장유로 555,128.8291361,35.18104357,http://tong.visitkorea.or.kr/cms/resource/10/1921410_image2_1.jpg,테마파크 25년 노하우의 롯데월드가 운영하는 국내 최대급의 워터파크로써 남태평양 폴리네시아를 배경으로 한 테마에서 아찔한 즐거움과 색다른 휴식을 느낄 수 있다.,김해시
5,김해 봉황동 유적,경상남도 김해시 가락로63번길 50,128.8750558,35.23107213,http://tong.visitkorea.or.kr/cms/resource/60/1611260_image2_1.jpg,"* 철기시대의 가야문화, 봉황동 유적 *가야시대의 대표적인 조개무지로서 1920년 우리나라 고고학상 최초로 발굴조사된 회현리 패총과 금관가야 최대의 생활 유적지인 봉황대(구 문화재자료)가 합쳐져 2001년 2월 5일 사적으로 확대 지정된 유적이다. 또한 구릉 위에는 황세장군과 여의낭자 전설에 관령된 여의각, 황세바위 등이 남아있으며, 가야시대 고상가옥, 주거지 등이 발굴되기도 하였다. 철기시대 초기의 것으로, 높이가 7m, 동서의 길이 약 130m, 남북의 너비 약 30m의 낮은 언덕 위에 이루어져 있다. 구릉의 남쪽에는 회현동의 마을이 인접해 있고, 북동쪽 낭떠러지 밑에도 민가가 들어서 있어 패각층이 드러난 단면과 구릉 위에 흩어진 흰 조개껍데기를 볼 수 있다. 처음 알려진 것은 1907년이지만, 1920년에 있었던 본격적인 발굴조사를 비롯하여 그 뒤 몇 차례의 학술조사를 통하여 이 유적에 대한 문화적 성격과 연대의 개요가 밝혀져서, 한국 선사시대의 유적지 중에서 학술적 가치가 높은 유적지이다. 일련의 발굴을 통하여, 이른바 김해토기(金海土器)라고 명명(命名)된 토기의 조각들이 가장 많고, 도끼와 손칼과 같은 철기가 발견되었다. 따라서 철기가 이미 일상생활의 도구로서 큰 역할을 담당하고 있었고, 철기 이외에 골각제품(骨角製品)으로서도 골촉(骨鏃) ·골침(骨針) 등과 송곳 같은 찌르개류[尖頭類]가 함께 출토되었다. 김해토기는 종래의 민무늬토기보다 높은 온도로 구워서 만든 발달된 경질(硬質)의 토기로서, 그 특색은 문살무늬나 삿무늬 등의 타형(打形)무늬가 있다는 점이다. 타형무늬는 토기를 단단히 하기 위하여 무늬가 새겨진 방망이로 두드려서 생긴 것이다. 특히 후일에 와서 신라토기(新羅土器)의 모체가 되었다는 사실이 밝혀져 
원시신라토기라고도 한다.* 봉황동 유적의 가치*1920년의 발굴 때 왕망(王莽)의 신(新)나라 때의 돈인 화천(貨泉) 1개가 나와 이 패총의 상한연대(上限年代)가 밝혀졌고, 또 함께 발견된 탄화미(炭化米)는 한국의 벼를 연구하는 데 매우 중요한 자료가 되고 있다. 그 뒤 34 ·35년의 발굴을 통하여 한 무리의 돌널무덤과 그 옆의 독무덤이 발견되었는데, 그 중 한 개의 옹관에서 세형동검(細形銅劍)과 청동제품 등이 출토되었다. 이 외에도 남방식 고인돌[南方式支石墓]의 뚜껑돌로 보이는 한 개의 큰 돌이 현재에도 있다. 이 유적들 사이의 층위적 관계(層位的關係)는 아직도 연구할 여지가 많이 남아 있다.",김해시
6,김해 부경동물원,경상남도 김해시 유하로226번길 70,128.820197,35.21988072,http://tong.visitkorea.or.kr/cms/resource/94/2002694_image2_1.JPG,"김해에 있는 부경동물원에서는 다양한 동물들을 보고, 듣고, 만지고 직접 체험을 통해서 만나 볼 수 있는 기회를 제공하고 있다. 부경동물원은 체험테마동물원으로 철장속이 아닌 유리벽 하나의 사이로 호랑이 ,사자 , 하이에나 등 맹수를 눈앞에서 관람할수 있으며 맹수를 비롯하여 다양한 동물들에게 먹이주기 체험이 가능하다. 또한 직접 보고,듣고,만지고의 동물체험이 가능하며 스토리텔링을 통하여 동물생태 및 습성을 보다 더 자세히 알수 있는 체험테마 경남최고 동물원이다.",김해시
7,김해 분산성,경상남도 김해시 가야로405번안길 210-162,128.8925733,35.24614576,http://tong.visitkorea.or.kr/cms/resource/57/748357_image2_1.jpg,"분산성은 고려 우왕 3년(1377년) 박 위 부사가 왜구를 막기 위해 축성한 뒤 임진왜란 때 파괴되었던 것을 고종 8년(1871년) 정현석 부사가 개축한 것이다. 그러나 성의 기초 선정 방법이 삼국시대 산성의 주류를 이루고 있는 소위 테뫼식을 따르고 있음을 볼 때 최초 축성연대는 가야시대일 것으로 추정된다. 산꼭대기에 있는 평탄한 지형을 둘러서 그 주위에 남북으로 긴 타원형을 이룬 성벽으로, 수직에 가까운 석벽은 높이가 약 3∼4m인데 무너진 부분이 적지 않다. 이 곳에 세워진 ‘정국군박공위축성사적비(靖國君朴公?築城事蹟碑)’에 의하면, 이 산성은 조선 초기에 박위(朴?)가 고산성(古山城)에 의거하여 수축한 뒤 임진왜란 때 무너진 것을, 1871년(고종 8) 다시 현재의 성벽으로 고쳤다고 한다.
성기(城基)의 선정법은 삼국시대 산성의 주류를 이룬 테뫼식[鉢卷式]을 따른 점으로 미루어 그 시축(始築) 연대가 삼국시대임을 추측할 수 있다. 김해시내, 김해평야와 낙동강, 그리고 남해바다를 한 눈에 조망할 수 있는 분산의 정상부에 띠를 두르듯이 돌로 쌓은 테뫼식 산성으로, 현재는 시내 쪽 경사면에 약 900m 가량의 성벽이 남아 있고, 성안에는 남북의 2개 문지와 서편의 암문, 우물지 등 몇 개의 건물터도 남아있다. 성곽의 길이는 총 929m, 평균 폭은 약 8m이다.
산성 안에는 해은사가 있다. 해은사는 가락국의 허왕후가 바다에서 왔던 것을 기리는 뜻에서 세워졌다고 하며, 조선시대에 그려진 수로왕과 허왕후의 영정이 모셔져 있다. 임진왜란 때에는 이곳에 승병이 주둔 하였다고 전한다.

* 분산성의 또다른 이름 만장대 *
김해시민들에게는 ""만장대""라는 이름으로 더 친숙한데, 만장대는 조선시대에 대원군이 왜적을 물리치는 전진기지로 ''만길이나 되는 높은 대""라는 칭호를 내렸던 것에서 비롯되었다. 1999년에 복원된 봉수대 뒷편의 바위에는 만장대라 쓴 대원군의 친필과 동장이 새겨져있다.",김해시
8,김해 수로왕비릉,경상남도 김해시 가락로190번길 1,128.8775358,35.24292363,http://tong.visitkorea.or.kr/cms/resource/31/1611231_image2_1.jpg,"* 김수로왕의 왕비 허황옥의 묘, 수로왕비릉 *
김해시 구산동(龜山洞)에 있는 가야시대의 능묘로 가락국의 시조 김수로왕의 왕비 허왕후의 왕비릉(王妃陵-국가사적)이다. 대형의 원형 토분이며 능의 전면에는 장대석(長大石)으로 축대를 쌓고 주위에는 범위를 넓게 잡아 얕은 돌담을 둘렀다. 능 앞에는 1647년(인조 25) 수축 때 세운 '가락국수로왕비 보주태후허씨릉(駕洛國首露王妃 普州太后許氏陵 )'이라고 2행으로 각자(刻字)한 능비가 있다. 무덤에 딸린 부속건물로는 숭보제·외삼문·내삼문·홍살문이 있으며, 보통 평지에 있는 무덤과는 다르게 언덕에 위치하고 있다. 무덤 앞에는 인도에서 가져왔다고 전하는 파사석탁의 석재가 남아 있다. 세종 28년(1446)에 수로왕릉과 함께 보호구역이 넓혀졌으며, 임진왜란 때 도굴되었다는 기록이 있다. 지금의 비석과 상석 등은 인조 25년(1641)에 다시 정비하면서 설치하였다고 한다.
* 수로왕비 허황옥 *
수로왕비의 이름은 허황옥이며, 수로왕 7년인 서기 48년에 16세의 나이로 배를 타고 가락국에 도착하여 왕비가 되었고, 서기 189년에 세상을 떠났다고 한다. 지금의 릉은 조선 인조 19년에 수축되어 지금의 모습을 갖추었다. 왕비가 세상을 떠나기 직전 두 아들을 어머니의 성인 허씨를 따르게 하여 김해 허씨의 시조가 되었다고 한다.",김해시
9,김해 와인동굴,경상남도 김해시 생림면 마사로473번길 41,128.820865,35.37181645,http://tong.visitkorea.or.kr/cms/resource/07/2773807_image2_1.jpg,국내에서 처음으로 친환경 유기농 산딸기 인증을 받은 농장에서 운영하는 김해 와인 동굴은 입구가 긴 열차 카페로 연결되어 있어 더욱 흥미를 유발한다. 산딸기 주산지인 김해의 산딸기 재배방법을 교육하는 교육장이기도 하고 다양한 산딸기 가공품과 시음은 물론 동굴 안에 마련된 산딸기 마을에는 포토존이 많아 아이들에게 특히 인기 만점이다. 동굴 내부에는 화장실이 없고 재입장이 불가하니 아이와 동행 시 미리 다녀오는 것이 좋다. 또한 김해 낙동강 레일바이크와 같은 곳에 있어 함께 이용하기 편리하다.,김해시
