,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가지산 쇠점골계곡,경상남도 밀양시 산내면 얼음골로 177,128.9819618,35.58035429,http://tong.visitkorea.or.kr/cms/resource/33/2699933_image2_1.JPG,"쇠점골은 얼음골 호박소에서 오천평반석을 지나서 석남터널에 이르는 구간인데, 쇠점골이라는 지명은 말의 주석편자를 갈았다는 데서 생긴 이름이며, 중간에 오천평반석이라는 너럭바위가 있어서 오천평반석계곡 이라고도 한다.  쇠점골 트래킹은 백연사에서부터 시작된다. 4km에 달하는 쇠점골은 왕복 2시간 30분 정도 걸으면 되는 평탄한 계곡길이다. 호박소 갈림길 삼거리 구름다리를 지나 오천평반석을 경유해 석남터널 입구 소공원까지 가면 된다. 계곡이 비교적 평탄하고 길며, 수량도 매우 풍부하고, 이용객도 많지 않고, 특히 얼음골 인근이라 여름에도 시원해 산행 초보자도 비교적 트래킹이 용이한 힐링 산책길이다. 쇠점골 가을단풍길은 특히 버켓킷 리스트에 올려도 좋은 만큼 멋지다.",밀양시
1,가지산도립공원(밀양),경상남도 밀양시 산내면,128.9804564,35.58033482,http://tong.visitkorea.or.kr/cms/resource/41/1144541_image2_1.jpg,"경상남도 밀양시, 울산시 울주군과 경상북도 청도군의 경계에 있는 가지산(높이 1,240m)은 서남쪽으로 1,189m의 천황산과 이웃해서 태백산맥과 나란히 남단으로 매듭져 있다. 특히, 쌀바위에서 산 위를 잇는 능선 일대가 바위벽과 바위 봉우리로 이루어져 있으며, 온갖 형태의 바위, 석남사, 얼음골, 폭포들이 어울려 영남에서 으뜸가는 산으로 꼽히고 있다. 가지산에는 곳곳에 바위봉과 억새밭이 어우러져 운문산으로 이어지는 산줄기로 능선을 따라 갈 수 있다. 가을이면 석남고개에서 정상에 이르는 억새밭이 장관을 이루고, 기암괴석과 쌀바위는 등산객의 눈길을 이끈다.가지산 도립공원은 각각 통도사(通度寺) ·내원사(內院寺) ·석남사(石南寺) 등의 사찰을 기준으로 통도사지구 ·내원사지구 ·석남사지구로 나뉘어 각각 독립된 지구를 이룬다. 통도사지구는 통도사를 기준으로 영취산 일대 지구를 말한다. 통도사는 신라시대에 창건된 고찰로 한국 3대 거찰(巨刹)의 하나이다. 영취산 일대에는 통도사에 딸린 12개의 암자가 산재하며 비로폭포가 있다. 숙박 ·위락시설을 갖춘 종합국민휴양지로 개발하고 있다.내원사지구는 천성산 ·원효산이 이루는 지구로 자연경관이 빼어난 것으로 유명하다. 내원사는 통도사의 말사(末寺)인 여승(女僧)의 절로 경내에 사적 2점이 있다. 원효산은 그 정상부에서 동해를 조망하기 좋은 산으로, 산중에 유서 깊은 원효암과 홍룡사(虹龍寺) 등이 있고, 특히 그 남서쪽 계곡에 있는 홍룡폭포는 이름난 명소로 그 경관이 뛰어나며, 계곡 입구에는 주변 조망이 훌륭한 가홍정(駕紅亭)이 있다.석남사지구 가지산은 경북 청도군과 울산 울주군 및 경남 밀양시의 경계를 이루는 준봉으로 밀양강(密陽江)의 발원지이며 남쪽으로 천황산(天皇山:1,189m)과 이웃한다. 이 산 남쪽의 밀양강 상류를 이루는 산내천(山內川) 하곡부에는 한여름에도 얼음이 언다는 얼음골[氷谷]이 있고, 산중의 홍류폭포(紅流爆布)는 관광명소로 유명하다. 석남사는 가지산 동쪽 기슭에 있는 절로, 석남사 부도(浮屠:보물 369), 3층석탑(지방유형문화재 22) 등이 있고, 단풍 ·노송 등 수림경관이 훌륭하다.* 가지산(1,240m)* 영취산(靈鷲山:1,059m)* 원효산(元曉山:922m)* 천성산(千聖山:812m) * 통도사(通度寺)* 내원사(內院寺) * 석남사(石南寺)",밀양시
2,구만계곡(밀양),경남 밀양시 산내면 봉의2안길,128.8718042,35.60029167,http://tong.visitkorea.or.kr/cms/resource/26/2606926_image2_1.JPG,"* 임진왜란 당시 9만 명이 화를 피한 곳, 구만산 구만폭포 *구만산은 계곡이 유명하다. 임진왜란 당시, 구만 명의 사람이 이곳에서 전쟁에서 화를 피했다고 해서 이름 붙은 구만동은 8km가 넘는 골짜기 안에 온갖 비경을 간직하고 있다. 동쪽과 서쪽에 수직 암벽이 솟아 있고 좁은 협곡이 남북으로 뚫려 있어 마치 깊은 통속과 같다 하여 통수골이라 불리어지는 구만산 계곡에 높이 약42m의 수직폭포로 아름다운 비경이 자연의 신비로움을 느끼게 한다.벼락듬이, 아들바위, 상여바위, 병풍바위 등 천태만상의 기암과 넓은 암반, 곳곳에 자리잡은 소와 담은 설악산의 천불동과 닮아 있다. 또한 인근 유명관광지로 얼음골, 석골사 등이 있다.* 구만산의 명소, 구만산 계곡 *구만산(785m) 남쪽의 이 계곡은 2km정도의 바위계곡인데 골짜기가 좁고 길어서 일명 통수골이라 한다. 이 계곡에 임진왜란 때 9만명이나 되는 백성들이 피난을 하였다 하여 구만계곡이란 이름이 붙여졌으며, 계곡 가운데 구만폭포라는 장대한 폭포가 있는데 높이가 30~40m는 되고 폭포 아래에는 직경이 15m정도 되는 깊은 못이 형성되어 있다.",밀양시
3,구만폭포,경상남도 밀양시 산내면,128.8700264,35.60754082,http://tong.visitkorea.or.kr/cms/resource/05/2792305_image2_1.jpg,밀양과 청도의 경계를 이루는 구만산은 임진왜란 때 9만 명의 백성이 이곳으로 숨어들어 무사히 전란을 피했다는 이야기에서 유래한 이름이다. 실제로 구만산 동쪽과 서쪽에 깎아지른 듯 가파른 암벽이 솟아 있어 사람의 발길이 닿기 어려웠을 좁은 협곡을 따라 구만계곡이 펼쳐진다. 총 길이 8km에 이르는 구만계곡은 워낙 골짜기가 좁고 길어서 마치 깊은 통과 같다고 하여 통수골로도 불린다. 구만산 주차장에서 출발해 계곡을 따라 1시간 정도 걸으면 구만폭포가 모습을 드러낸다. 높이만 42m에 폭포 아래에는 깊은 못이 자리해 과연 전쟁도 비껴갈 만하다는 생각이 든다. 웅장한 바위틈을 따라 쏟아지는 세찬 물줄기는 한 폭의 동양화처럼 아름답다.,밀양시
4,금시당,경상남도 밀양시 활성로 24-183,128.7840484,35.48727222,http://tong.visitkorea.or.kr/cms/resource/46/2794946_image2_1.jpg,"밀양강변의 아름다운 풍광 속 아름드리 소나무가 숲을 이루고 있는 금시당은 자연 그대로의 순수함과 아름다움 그리고 유구한 역사까지 두루 갖춘 곳이다. 1996년 경남 문화재자료 제228호로 지정됐으며, 1566년 조선 중기 문신이었던 이광진 선생의 별업으로 세워진 곳이다. 현재 금시당은 그의 후손인 여주 이 씨 종중에서 소유· 관리하고 있으며, 선생의 사후, 아들 이경홍 선생이 선친의 뜻을 이어받아 후진을 양성하는 강학소로 사용하기 시작했다. 금시당 정원은 조용하고 절제된 운치와 여백의 미가 느껴지는 곳이며 정원 한곳을 차지하고 있는 460여 년 된 은행나무는 말문을 막히게 할 정도로 웅장함을 자랑하고 있다. 특히 이 은행나무는 이광진 선생이 직접 심었다고 전해지는 것으로, 아직도 여름이면 무성한 푸른 잎을 자랑하고, 가을이면 노랗게 물든 잎을 자랑한다.",밀양시
5,금시당유원지,경상남도 밀양시 활성동 584-4,128.7826457,35.48752773,http://tong.visitkorea.or.kr/cms/resource/24/2742624_image2_1.JPG,"'금시당'은 조선 명종 때 이광진 선생이 낙향하여 지은 별서건물을 말한다. 좌우로 산을 끼고 바로 앞으로는 밀양강을 한눈에 내려다보는 곳에 있다. 이곳을 가려면 밀양강 둑길을 거쳐서 가는데 그 둑길 주변 강가에 주차장이 있다. 이 주차장 주변을 금시당유원지라 한다. 이곳은 돌이 깔린 강바닥이라 물이 깨끗하고 바로 위로 지나가는 고속도로 교각이 그늘막 역할을 한다. 그래서 피서객들이 물놀이를 하다가 쉬기에 좋아서 많이 찾는 곳이다. 인근에 밀양시 국궁장 활쏘기 체험 프로그램을 이용하거나, 트레킹 코스인 금시당길(밀양아리랑3길)을 걸어보는 것도 좋다.",밀양시
6,대법사,경상남도 밀양시 무안면 무안서로 163-158,128.6064812,35.46662963,http://tong.visitkorea.or.kr/cms/resource/47/2606547_image2_1.bmp,"* 사명대사의 전설이 밴 사찰, 대법사 *

경남 밀양 일대는 사명대사의 영험한 전설이 구석구석 밴 곳이다. 땀 흘리는 표충비, 사명대사 생가 유적지 등 사명대사와 관련된 거의 대부분이 대법사가 위치한 무안면 일대에 남아 있다. 땀 흘리는 표충비에서 8km 정도 떨어진 영취산 대법사에는 사명대사가 50대에 가지고 있던 지팡이를 땅에 꽂아 놓은 것이 자라나 잎을 피웠다는(직접 심었다는 설도 있음) 아름드리 모과나무 한 그루가 대법사 경내 보광전 앞 마당에 서 있다. 높이가 2m20cm, 굵기는 3m20cm로 나무 밑동이 어른 두 사람이 양팔을 벌려야 마주 잡을 정도로 우람하다.

이 사찰은 신라시대 의상대사에 의해 창건된 후 900년이 지난 어느 날부터 사명대사가 10여 년간 머물렀던 곳이기도 한데, 열반 후 그 영정을 모신 곳이라 해서 조정에서 표충사(表忠詞)라는 이름을 하사하며 표충비를 세우고 사당을 세웠다가 후에 영정이 단장면의 현 표충사로 모셔지는 바람에 원래의 이름을 뺏기고 말았다. 초창 당시 학 3마리가 날아와 앉았다 해서 백하암(白霞庵)이라는 사명으로 불리던 이 사찰은 사명대사의 위상 덕에 오랜 세월 국가의 관심 속에서 중건을 거듭해 왔으나 국난의 영향과 조선조의 억불숭유 정책 등으로 인해 폐사되었다가 1968년 현 조실 지혜 스님이 주지로 부임하면서 시작된 대대적인 중창 불사를 통해 오늘날의 사격을 갖게 되었다.

* 대법사에 전해오는 모과나무 설화 *

사명대사의 정신이 깃든 이 대법사에 전설과도 같은 이야기 한편이 전해지니 바로 모과나무에 관한 설화이다. 해발 6백 m 고지에 자리하고 있는 대법사의 중창불사가 한창이던 더운 여름, 사명대사의 지팡이 나무라고 알려진 모과나무가 대웅전을 지으려는 자리 바로 앞을 가로막고 있어 모과나무를 다른 곳으로 옮겨야 했다. 나무 옮기는 것을 사람들은 대수롭지 않게 생각하였으나 스님은 1주일간 기도까지 드려가며 공사 일정을 잡았다. 그런데 인부들이 일하러 오기로 한 그날 새벽 기이한 현상이 벌어졌다. 요사채에서 잠을 자던 지혜 스님은 갑자기 산천이 울리는 듯한 소리에 눈을 떴다. 밖으로 나가 보니 적막하기만 한 산중에 갑자기 바람이 부는가 했더니 이내 잠잠해져 다시 방으로 들어왔는데 이번에는 호랑이가 포효하는 듯한 음성이 밖에서 들려왔다. ""
""내가 4백 년을 지켰는데 네 마음대로 하려느냐. 나는 절대 안 간다."" 지혜 스님은 등골이 싸늘해졌다. 목소리는 분명 모과나무쪽에서 들려왔다. 후닥닥 밖으로 나가보았더니 8월 한 여름철인데 모과나무에서 아주 차가운 바람이 불어왔다. 이토록 기이한 일을 겪게 된 스님은 새벽 6시 공사 감독에게 전화를 걸어 나무 옮기는 일을 취소시켰다. 바로 무더위가 극성을 부리던 1993년 8월 10일의 일이었다.

이 같은 이야기를 그냥 무시해버리기에는 현재의 대법사 구조가 참으로 이상하다. 대웅전이 있어야 할 자리에 선방이 들어섰고 모과나무는 그대로 놔둔 채 주전 각인 대웅보전은 멀찌감치 떨어진 곳에 지어졌기 때문이다. 수십억 원을 들여 대규모 불사를 하면서 본존불을 모시는 주전이각을 경내 중심에서 뚝 떨어진 곳에다 짓는, 전통사찰 건축양식에서 보면 크게 어긋나는 불사를 한 대법사의 이야기는 사명대사의 원력이 작용했다는 것 외에는 달리 설명할 길이 궁색하다. 사명대사의 혼을 잇고 있는 경남 밀양 대법사는 현재 조계종 원로회의 수석부회장을 맡고 있는 지혜 스님에 의해 불자들이 본분을 깨닫게 하는 청정수행도량으로 거듭나고 있다.",밀양시
7,만어사,경상남도 밀양시 삼랑진읍 만어로 776,128.8461077,35.45492423,http://tong.visitkorea.or.kr/cms/resource/41/2589441_image2_1.bmp,"* 김수로왕이 창건했다는 전설 속 사찰, 만어사 *만어사(萬魚寺)는 46년(수로왕 5)에 가락국의 시조인 수로왕(首露王)이 창건했다고 전하는 전설 속의 사찰이다. 『삼국유사』 「탑상(塔像)」편의 ‘어산불영(魚山佛影)’ 조에는 만어사의 창건과 관련된 기록이 다음과 같이 전하고 있다. 지금의 양산지역 옥지(玉池)라는 연못에 독룡 한 마리와 다섯 나찰(羅刹)이 서로 사귀면서, 농민들이 애써 지은 농사를 망치는 등 온갖 행패를 일삼았다. 이에 수로왕이 주술로 그들을 제거하려 했으나 뜻을 이루지 못하고 부처님께 설법을 청하여 이들로부터 오계(五戒)를 받게 하였다. 이때 동해의 수많은 고기와 용들이 불법의 감화를 받아 이 산중으로 모여들어 돌이 되었는데, 이들 돌에서는 신비로운 경쇠소리를 났다. 수로왕은 이를 기리기 위해 절을 창건하였는데, 불법의 감화를 받아 돌이 된 고기떼의 의미를 살려 이름을 만어사(萬魚寺)라 칭하게 되었다는 것이다. 부처님의 감화로 인해 수많은 물고기가 돌로 변해 법문을 듣는다는 신비로운 전설을 간직한 만어사. 이러한 전설을 뒷받침하듯 법당 앞 널찍한 너덜지대에는 물고기떼가 변한 어산불영(魚山佛影)이라는 돌더미가 있는데, 지금도 이를 두드리면 맑은 소리가 나기 때문에 종석(鐘石)이라고도 하며 현재 경상남도기념물로 지정되어 
있다.* 만어사에 가면 꼭 봐야할, 만어사 삼층석탑 *만어사에 있는 단층 기단(基壇)에 3층 석탑이며, 현재의 위치가 원래의 자리로 생각된다. 지대석(地臺石)은 4장으로 짜고, 2단의 각형(角形)받침을 마련하여 면석(面石)을 받쳤으며, 면석도 4장이다. 갑석은 2장이며 얇고 그 밑에는 부연(副椽)이 있다. 탑신부는 탑신과 옥개(屋蓋)가 모두 한 돌로 되어 있으며, 옥개석의 낙수면은 경사가 급히다. 탑신에는 각 층마다 우주형이 있을 뿐 다른 조각은 없다. 몸돌 모서리에는 기둥 모양이 새겨져 있으며, 상륜부(相輪部)에는 보주형(寶珠形) 석재가 놓여 있으나 후에 만든 것이다. 《삼국유사》 어산불영(魚山佛影)의 기록과 탑의 양식(樣式)으로 보아 1181년(명종 11)에 조성된 것으로 추정된다.",밀양시
8,만어사경석,경상남도 밀양시 삼랑진읍 만어로 776,128.8462744,35.45499645,http://tong.visitkorea.or.kr/cms/resource/59/2794959_image2_1.jpg,"밀양 3대 신비로 분류된 만어사 경석은 두드리면 종소리가 나는 신비한 바위다. 천연기념물 제528호로 지정된 만어사 경석은 ‘만어사 어산불영’이라고 불리기도 한다. 돌이 무너져 내려 쌓인 돌너덜 지대인 만어사 경석은 어떤 연유로 종소리가 나는지 지질학자와 전문가들도 아직까지 풀지 못한 신비를 간직하고 있어 여행객들의 호기심을 자아내게 한다. 만어사 경석은 만어사에서만 볼 수 있는 독특한 바위지대로 가야 수로왕 시절 창건됐다고 알려진 만어사의 이름을 짓게 된 연유도 이 오래된 전설에서 비롯되었다. 만어사 경석은 마치 견고한 요새처럼 만어사 일대를 빙 둘러싸고 있다. 바위의 크기는 각각 다르지만, 색깔은 검거나 회색 등으로 동일하고, 손에 쥘 수 있는 돌멩이로 두드린 자국을  때리면 마치 길고 긴 여운을 남기는 듯한 맑은 종소리를 들을 수 있다.",밀양시
9,무봉사,경상남도 밀양시 영남루1길 16-11,128.7565868,35.49169622,http://tong.visitkorea.or.kr/cms/resource/44/2606544_image2_1.bmp,"* 봉황이 춤을 추던 성지, 무봉사 *무봉사는 밀양 시내가 훤히 내려다보이는 밀양 최고의 명소 영남루와 인접한 탓에 손쉽게 찾을 수 있는 곳이다. 밀양강 상류 쪽 절벽 위에 아랑의 전설이 깃든 아랑각이 있고 계단을 올라서면 우리나라 3대 누각중의 하나인 훤칠한 영남루와 무봉사가 있다. 이곳에 가면 무봉사 참배 후 영남루와 밀양 박물관, 아랑각, 박시춘 생가지 등을 함께 둘러볼 수 있으며 강 아래로 펼쳐지는 대나무 숲과 강가 맞은편 공원 등을 한눈에 조망할 수 있다. 이 전통의 도시 중심부에 우뚝 솟아 밀양의 상징이 되고 있는 영남루는 에워싸듯 흐르고 있는 밀양강과 함께 감탄사가 절로 나올 정도로 아름답고 평온한 풍치를 자랑한다. 보물인 무봉사 석조여래좌상을 봉안하고 있는 무봉사는 밀양강의 흐름을 산 아래에 두고 그 강 언덕에 우뚝 솟은 영남루와 함게 그림같은 호산경색을 이루어 오랜 옛날부터 중국 악양루의 풍광으로 비유되면서 운치있는 사찰로서 시인묵객들의 많은 사랑을 받아왔다. 신라시대 때 법조선사가 당시 신라의 5대 명사 중에 하나였던 영남사에 주석하다 대낮에 큰 봉황새가 춤을 추며 이곳으로 날아와 앉아 상서로운 성지라 하며 법계로 삼았다는 이야기와 신라 혜공왕이 법조스님으로부터 받은 불은(佛恩)을 갚기 위해 영남루 자리에 가람을 짓고 무봉암으로 했다는 사적이 전해내려 온다. 강 언덕에 우뚝 솟은 영남루와 밀양강과의 조화로 그림같은 풍경을 지닌 사찰 무봉사는 경내에 보물인 통일신라시대 석조여래좌상을 주불로 봉안하고 있어 그 역사에 걸맞는 사격과 운치를 함께 보여주고 있다. * 무봉사의 대표 유물, 무봉사 석조여래좌상 *무봉사 석조여래좌상의 모습을 보면 결가부좌(結跏趺坐)하고 손은 항마촉지인을 하였다. 머리는 나발(螺髮)로 보발(寶髮)이 굵은 육계(肉?)를 갖추었고, 양미간에는 백호(白毫)가 있으나 최근 수정하여 새로 만들었으며, 목에도 삼도(三道)가 있다. 얼굴의 풍만함과 길게 늘어진 두 귀는 잘 조화되어 존엄한 상호를 보이고, 법의(法衣)는 통견의로서 그 옷무늬가 유려하고 가슴에 군의(裙衣)를 갖추었다. 전체적으로 손상이 없는 신라 말기의 우수한 불상으로, 광배는 주형광배(舟形光背)로서 화불이 배치된 화염이중윤광(火焰二重輪光)이며, 하부에는 구름모양의 문양이 있다. 특히, 광배에는 5구의 화불이 장식되어 있고, 이 화불도 주형광배에 항마촉지인의 수인(手印)과 합장한 손모양을 하고 있다. 또, 광배 뒷면에도 앙련화(꽃부리가 위로 향한 연꽃)에 결가부좌한 여래상이 양각되어 있는 것이 특이하다.",밀양시
