,title,addr1,mapx,mapy,firstimage,overview,addr2
0,각산,경상남도 사천시 수도골안길 24,128.0749417,34.93964041,http://tong.visitkorea.or.kr/cms/resource/78/2031478_image2_1.jpg,"각산산성과 각산봉수가 있고, 등산객들이 많이 찾는 편이며 삼천포 앞바다의 섬들이 한눈에 들어온다. 삼천포항 서쪽에 바다와 접하면서 실안동을 말발굽처럼 둘러싸고 있는 산이 각산(해발 398m)이다. 건너편 와룡산의 위세가 워낙 대단하여 일반에게 잘 알려져 있지 않지만 인근 주민들에게 사랑을 받고 있는 산이다. 산은 전형적인 육산으로 산세가 포근한 느낌을 주고 있다. 남릉에 위치한 각산산성과 봉화대가 이 산의 위치적 중요성을 더욱 일깨우고 있다.",사천시
1,거북선마을,경상남도 사천시 용현면 사천대교로 75-61,128.040621,34.99854986,http://tong.visitkorea.or.kr/cms/resource/98/2798498_image2_1.JPG,"경남 사천시 용현면 사천대교 아래의 사천 거북선 마을은 사천만을 끼고 있으면서 농업과 어업의 비율이 비슷한 반농반어의 시골 마을이다. 이곳은 임진왜란 당시(1592년) 이순신 장군이 최초로 거북선을 출전시켜 왜선을 격퇴한 사천해전이 펼쳐진 곳으로 영농조합 만들어 체험 마을로 거듭났다. 지역 특색을 살려 갯벌 체험, 최초 거북선 길 탐방, 거북선 열쇠고리 만들기 체험, 쑥 잡기 체험, 굴 체험, 농촌 체험 등 다양한 프로그램을 운영하며 해마다 ‘사천 거북선 마을 노을 축제’를 열고 있다. 또한, 다양한 시설을 갖추어 즐길 거리가 많다. 풋살장과 10면의 야영장도 준비돼 있어 바닷가에서의 캠핑을 즐길 수 있으며 사천만을 끼고 조성된 10㎞가량의 해안 산책로가 조성되어 있다. 또한 식당, 샤워장 등의 부대시설도 함께 갖추고 있는 어울림터에서는 각종 교육, 세미나, 실내 체험 활동이 가능하다. 이순신 장군의 승전지이며 넓은 갯벌과 아름다운 석양이 있는 힐링 명소로 농촌체험과 바다체험, 음식체험, 역사체험을 골고루 할 수 있는 공간이다.",사천시
2,구계서원,경상남도 사천시 사천읍 구암두문로 361-17,128.1253611,35.09116597,http://tong.visitkorea.or.kr/cms/resource/45/2739845_image2_1.jpg,"이 서원은 1606년(선조 39)에 세웠으며, 1611년(광해군 3) 사당인 구산사를 세웠다. 1676년(숙종 2)에 ‘구계’라는 현판을 나라에서 받아 사액서원으로 승격되었다. 1723년(경종 3)에는 김덕함(金德?의 위패를 추가로 모셨으며, 1868년(고종 5) 흥선대원군의 서원철폐령으로 폐쇄되었던 것을 1931년에 다시 세웠다.",사천시
3,남일대해수욕장,경상남도 사천시 남일대길 55,128.0963791,34.92670057,http://tong.visitkorea.or.kr/cms/resource/10/1611410_image2_1.jpg,"거대한 코끼리가 물을 먹고 있는 듯한 절묘한 코끼리바위는 사천시의 관광 명물이며, 이곳의 남일대 해수욕장은 맑고 깨끗한 바닷물, 부드러운 모래, 울창한 숲으로 어우러진 진널전망대와 낚시터가 주변에 있어 관광객이 상시 붐비고 있는 곳이다. 해수욕장 개장 기간에는 여름 해변 축제인 해변 가요제와 바다영화제가 열리고 있다. 인근 주변 명소로는 동양 최대의 다리인 창선. 삼천포대교와 한려해상국립공원을 둘러볼 수 있는 유람선 관광이 있다.",사천시
4,노산공원,경상남도 사천시 노산공원길 72,128.0744505,34.92486706,http://tong.visitkorea.or.kr/cms/resource/72/1998772_image2_1.jpg,"사천시는 1995년 5월 사천군과 삼천포시가 통합되어 탄생했으며 시내 중심부에 남해 바다인 사천만이 깊숙히 밀고 들어와 시내가 크게 둘로 나뉜다.  이처럼 사천시는 해안평야 지대인 만큼 청동기 시대의 유적, 그 가운데에서도 특히 고인돌이 많다. 노산공원은 사천시 시내 중심부인 서금동에 위치한 도시공원이다.바다를 향해 돌출한 언덕이며 언덕 위에는 잘 다듬어진 잔디밭과 시민의 산책로가 정비되어 있다. 노산공원의 맨위에서는 한려수도의 일부인 삼천포 앞바다를 한눈에 내려다 볼 수 있고, 공원 안에는 충혼탑과 판문점 자유의집 모양을 하고 있는 승공관(팔각정)이 있다.충무공 이순신장군의 동상도 늠름한 모습으로 삼천포 앞바다를 바라보고 있다.공원 아래에는 횟집들이 즐비하다.",사천시
5,늑도,경상남도 사천시 늑도길 53,128.0386759,34.9231444,http://tong.visitkorea.or.kr/cms/resource/38/2716338_image2_1.jpg,"늑도는 2개의 자그마한 구릉과 마을, 항구가 있는 어촌이다. 주변에는 마도, 초양도, 학섬 등 여러 유무인도들이 있다. 섬 내에는 선사시대 패총 유적이 볼만하고 특히 작은 방파제에서 감상하는 일출, 일몰이 일품이다. 또 1시간이면 섬을 둘러보는데 충분할 만큼 소소한 드라이브의 맛을 느낄 수 있는 섬이기도 하다. 

?일출&일몰&낚시&차박 캠핑 포인트: 
 - 늑도방파제(일출/일몰/낚시/차박 캠핑):사방이 바다로 둘러싸인 늑도방파제에서는 일출과 일몰 모두를 감상할 수 있다. 방파제 끄트머리에는 서로 마주하는 두 개의 등대가 있는데 하양 등대는 포토존으로, 빨강등대는 감성돔, 망상어 등을 잡을 수 있는 원투낚시터로 인기가 높으며 차박 캠핑도 가능하다.(시설: 주차장, 화장실)

?볼거리: 
 - 사천늑도유적:사천시 늑도동 47번지/청동기시대 말기~초기 철기시대의 무덤, 집단 단위의 집자리, 조개더미의 유적이 대규모로 형성되어 있다.",사천시
6,다맥 어촌체험마을,경상남도 사천시 서포면 다평로 2,127.9430745,34.97965304,http://tong.visitkorea.or.kr/cms/resource/66/2484966_image2_1.jpg,"사천시 서포면 다평리에 위치한 어촌체험마을이다. 바다와 섬, 갯벌이 어우러진 곳으로 경관이 수려하고 굴, 전어, 낙지 등이 유명하다. 어촌체험마을답게 바지락, 굴, 모시조개, 고둥 등 다양한 해산물을 직접 채취할 수 있어 아이들의 체험학습에도 좋으며, 낚시, 산악자전거 등 다채로운 체험을 즐길 수 있다. 마을 안에는 사천시 어촌체험 교육관이 있어 숙박시설로 이용할 수 있으며, 족구·배구·농구 등을 즐길 수 있는 체육시설과 주차장이 구비되어 있다.",사천시
7,다솔사(경남),경상남도 사천시 곤명면 다솔사길 417,127.9200793,35.08321879,http://tong.visitkorea.or.kr/cms/resource/56/2372756_image2_1.JPG,"다솔사는 신라 지증왕 때 범승 연기조사가 창건한 역사 깊은 고찰로, 임진왜란 때 소실되었는데 그로부터 10년이 지난 후인 숙종 12년(1686)에 승려들이 힘을 모아 10년 세월에 걸쳐 중창불사로 크게 중흥했다. 그러나 62년이 지난 후인 영조 24년(1748)에 큰 불로 말미암아 불행히도 큰 재앙을 겪었으며 같은 왕 34년(1758)에 여러 스님이 또 합심하여 명부전과 대양루 그리고 사왕문을 중건했다. 그런데 1914년 12월에 또 화재가 일어나 모든 전각이 불탔으나 다행히도 대양루는 소실되지 않았으며 그 이듬해부터 3년간 중건 끝에 현존하는 것이 이 건물이다.
* 주요 문화재 - 대양루, 극락전, 응진전, 보안암 석굴",사천시
8,다슬기 초량마을,경상남도 사천시 곤명면 초량길 27-3,127.9235979,35.10604406,http://tong.visitkorea.or.kr/cms/resource/71/2389971_image2_1.JPG,"경상남도 사천시 곤명면에 위치한 다슬기 초량마을은 조선조때 초량면의 소재지가 되었던 것을 연유하여 초량리라고 부르게 되었다. 과거 곤양군 초량면에 편입되어 있었으나 1914년 행정구역 정리에 따라 삼거리를 병합하여 초량리라 해서 현재는 사천군 곤명면에 편입되었다. 량마을 앞을 가로지르는?초량강(곤양천)이 있으며, 수질이 우수하고 다슬기와 민물고기가 많이 서식하고 있어 여름에는 관광객들이 많이 찾고 있다.",사천시
9,다자연 녹차단지,경상남도 사천시 곤명면 금성들길 55,127.9688708,35.14097426,http://tong.visitkorea.or.kr/cms/resource/63/2389963_image2_1.jpg,"흔히 녹차 하면 생각나는 보성과 하동이 아닌 경남 사천에 위치한 녹차 단지이다. 사천시 곤양면 금성리에 위치하여 있으며, 18만 1819㎡에 이르는 평지에서 재배되어 기계화가 가능하기 때문에 평당수확량이 월등히 차이나,  가격경쟁력이 뛰어난 것이 특징이다. 사천의 해양성 기후의 영향을 받아 여름에는 시원하고 겨울에는 온화한 환경에서 품질좋은 녹차가 재배되고 있으며, 공장옆에는 차를 시식하고, 다양한 체험을 할 수 있는 다자연문화센터를 갖추고 있다.  다자연 녹차단지에서는 직접 재배한 녹찻잎으로 만드는 녹차 제품은 물론, 녹차를 다양하게 활용하여 다기나 천연염색한 개량한복 등도 판매 중에 있다. ",사천시
