,title,addr1,mapx,mapy,firstimage,overview,addr2
0,거림계곡,경상남도 산청군 시천면 세석길,127.7306102,35.2821875,http://tong.visitkorea.or.kr/cms/resource/70/1890070_image2_1.jpg,"거림계곡은 지리산 10경중 네 번째인 철쭉으로 유명한 세석평전에서 시작되는 거림골을 본류로, 지리산 주능선상에 위치한 연하봉과 촛대봉에서 비롯되는 도장골, 세석평원에서 삼신봉으로 이어지는 능선상에 있는 한벗샘에서 발원한 자빠진 골 등의 지류가  모여 커다란 계곡을 이룬다.계곡의 본류만도 60여리에 이르는 거림골은 철쭉이 꽃을 피우는 봄이면, 등산객들의 발걸음이 계곡의 물 흐르는 소리가 묻힐 정도로 사람들이 많이 몰린다. 이곳에 가려면 산청군 시천면 덕산에서 중산리 방면으로 가다, 곡점마을 삼거리에서 왼쪽으로 들어서면 된다. 산꾼들은  마을 뒷산처럼 밋밋한 거림골 보다는 남부능선으로 오르는  자빠진골이나 촛대봉으로 오르는 도장골을 찾는다. '자빠진 골' 혹은 '엎어진 뜰' 로 부르는 남부능선상의 계곡은 이름 그대로 산이 자빠진 듯, 엎어진듯 완만한 경사를 보여준다. 그러나 계곡의 수려함은 어느 골짜기 못지않다. 골짜기가 자빠지고 엎어지면서 엉겹결에 파인 듯 원시성이 돋보이기 때문이다.  단지 아쉬움이라면 일반인들의 접근이 쉽지 않다는 점인데 계곡으로 가려면 거림마을 매표소를 지나 한동안 걸어야 하는 것은 물론, 지리산 등산로에도 나와 있지 않을 정도로 길이 감추어져 있으므로 경험자와 동행하는 것이 안전하다. 반면,도장골은 와룡폭포까지 등산로가 뚜렷해 찾기는 쉽다. 도장골은 거림마을 매표소를 지나 조그만 암자 뒤로 돌아 들어가면 있다. 계곡에 들어서면 처음 반기는 것이 밀금폭포다. 규모면에서 웅장할 뿐만 아니라, 거대한 물살이 물보라를 일으키며 내려 꽂히는 모습은 보는 이를 압도한다.또 폭포 위의 용소 역시 실제 용이 살았을 것만 같을 정도로 넓고 깊으며 주변에는 수백 명쯤 앉을 수 있는 반석이 깔려 있어, 휴식처로서는 최적의 조건을 갖추고 있다. 계곡 위쪽으로도 윗용소와 와룡폭포 등의 아름다운 경치를 보여주는 곳이 있으나, 길이 험하므로 등산이 아닌 휴식차 왔다면 용소주변에서 넉넉한 시간을 가지는 것이 좋다. 윗용소로 올라가면 전설적인 빨치산으로 불리는 이현상의 남부군 지휘소와 후생병원의 흔적을 볼 수 있기도 하다. 그만큼 도장골이 은밀하고 깊다는 것을 보여주는 증거물이기라도 하듯이, 늦가을 낙엽이 모두 떨어지고 나면 잡목들 사이로 토굴식 집과 돌담의 흔적이 빠끔히 보인다.",산청군
1,경호강,경상남도 산청군 산청읍 산청대로,127.8424062,35.48419167,http://tong.visitkorea.or.kr/cms/resource/26/2775426_image2_1.jpg,"지금의 경호강은 산청군 생초면 어서리 강정에서 진주의 진양호까지 80여리(약 32km)의 물길을 이르는 말이며 경호강은 국도 3호선과 진주에서 함양간 고속도로와 나란히 하기 때문에 차를 이용하시는 분들도 쉽게 아름다운 경호강을 볼 수 있다. 또한, 이곳 경호강은 강폭이 넓은데다 큰 바위가 없고 굽이굽이에 모래톱과 잔돌들이 퇴적돼 있어 유속은 빠르면서도 소용돌이치는 급류가 거의 없어 신종 수상 레저인 래프팅의 조건을 잘 갖추고 있으며 한강 이남에서는 유일한 래프팅 장소이기도 하다. 맑은 강물에 배를 띄우고는 굽이치는 물결 따라 요동치는 배를 부여잡고 코스를 잡아나가는 래프팅은 젊은이들의 모험심과 경호강의 거침없는 흐름이 일치된다 할 수 있어 래프팅을 위해 산청 경호강을 찾는 사람들의 발길이 끊이지 않고 있다.",산청군
2,고운동계곡,경상남도 산청군 시천면 반천로,127.7820181,35.2342077,http://tong.visitkorea.or.kr/cms/resource/76/1890076_image2_1.jpg,"고운(孤雲) 최치원(崔致遠)이 지리산을 소요하다 머물렀을 정도로 계곡이 빼어나다. 고운동이란 지명도 최치원의 호에서 따왔다. 지리산록에는 옥천대, 문창대, 세이암, 환학대 등 고운과 관련된 지명에 친필이라고 알려진 쌍계사 진감선사 대공탑비, 쌍계석문(雙磎石門), 광제암문(廣濟癌門)등의 글씨가 남아 있지만 그의 호를 딴 지명은 고운동이 유일하다. 그만큼 고운동의 경관이 뛰어나다는 뜻일 것이다.

고운이 지리산의 산신령이 되었다는 전설 때문인지, 그곳에 들어가면 전쟁도  없고, 먹을 것이 풍부하며, 상놈과 양반의 나눔이 없이 장수한다는 ‘청학동’이란 이상향을 찾는 사람들은 고운동을 이상세계 속의 ‘청학동’으로 여겼다. 이는 반대로 지리산자락에 있는 경상도와 전라도가 그만큼 전란에 많이 휩싸였음과 지배층의 수탈이 심했음을 말해 준다고 하겠다.

고운동 계곡은 덕산에서 중산리 방면으로 가다 외공리의 정각사 안내 표지판을 조금 지나서 지관광농원 안내표지판을 따라 들어가면 된다.중산리에서 내려오는 계곡물을 건너 반천마을로 들어서기 전에는 작은 골짜기 안에 널찍한 들과 마을이 있을까 싶다. 이것이 고운동계곡의 특징으로 배바위를 지나 고운동에 오르는 길 또한 초입의 좁아보이는  계곡에 비해 해발 800여m 상에 있는 분지에 올라서면 촌락이 있었던 곳 답게 넓다. 고운동 계곡의 참맛은 피리골에서 내려오는 계류와 고운동계곡의 본류가 만나는 배바위에서부터 느낄 수 있다. 계곡 군데군데에는 야영터도 조성 돼 있을 정도로 여름이면 피서객들로 붐빈다. 그러나 갑자기 소나기가 내리면 계곡물이 갑자기 넘치므로 한나절의 피서가 아닌 야영을 하려면 조심해야 한다. 또한, 계곡에는 배바위를 비롯한 너럭바위가 많으므로 연인끼리 가을 단풍놀이를 간다면 바위에 앉아 계곡에 가득한 단풍과 계류에 떠내려가는 단풍을 볼 수 있을 것이다.",산청군
3,구곡산,경상남도 산청군 시천면 지리산대로,127.7832614,35.27449763,http://tong.visitkorea.or.kr/cms/resource/21/2736821_image2_1.JPG,"글자 그대로 아홉계곡이 있다고하여 구곡산이다. 구곡산은 황금능선의 들머리로서 능선에 서면 지리산 천황봉이 손에 잡힐듯이 가까워 보이며, 구곡산 정상에 서면 장괘한 지리산 주능이 가장 가까이 조망되고 봄이면 철쭉, 가을이면 단풍등 후회없는 산행이 된다. 

 지리산 황금능선 코스는 새로운 산길이 뿜어내는 신선함과 영산이 주는 신령스러움이 한꺼번에 느껴지는 등반로이다. 이 길은 천왕봉 코밑까지 훨씬 가깝게 다가서는 데다 무성한 산죽 구간을 탐험하듯 헤쳐가는 산행 재미가 꽤 빼어나다.

* 산높이 961m",산청군
4,남사예담촌,경상남도 산청군 단성면 지리산대로2897번길 10,127.9364785,35.27419481,http://tong.visitkorea.or.kr/cms/resource/65/892865_image2_1.jpg,"남사예담촌은 고즈넉한 담장 너머 우리 전통 한옥의 아름다움을 엿볼 수 있어 표면적으로는 옛 담 마을이라는 의미를 담고 있으며, 내면적으로는 담장 너머 그 옛날 선비들의 기상과 예절을 닮아가자는 뜻을 가지고 있다. 지리산 초입에 자리잡은 남사예담촌은 안동하회마을과 더불어 경상도의 대표적인 전통한옥마을이다. 경남하면 산청남사 마을이라고 할 정도로 옛날부터 그 명성이 자자했던 이 마을은 양반마을로 또한 전통한옥마을로 유명하다.전통가옥이 하루가 다르게 사라져가는 요즘 평범하게 살아 가면서 전통가옥을 보존하고, 일부러 찾는 사람들을 따뜻하게 맞아주는 지리산 초입의 이 작은 마을이 유난히 정감 있고 고풍스럽게 느껴지는 이유는 해묵은 담장 너머 엿볼 수 있는 우리 조상들의 정서와 삶의 모습을 아직까지도 고스란히 간직하고 있어서가 아닐까 싶다.<농촌전통 테마마을로 지정된 ""남사 예담촌"" 은 고즈넉한 담장 너머 우리 전통 한옥의 아름다움을 엿볼 수 있어 표면적으로는 옛 담 마을 이라는 의미를 담고 있으며, 내면적으로는 담장 너머 그 옛날 선비들의 기상과 예절을 닮아가자는 뜻을 가지고 있다. 한옥은 수천 년의 우리 역사 속에서, 우리 민족의 정체성에 뿌리를 두고, 그 시대의 삶의 양식을 반영하며 변화해 왔다. 한 민족의 문화가 전통을 바탕으로 하여 현재를 딛고 미래로 이어지는 것이라면, 그 변화는 언제나 현재 진행형이어야 할 것 이다. 농촌 전통테마 마을 남사 예담촌은 변화하는 현재속에서 옛 것을 소중히 여기고 지켜나가는 배움의 휴식 터로 자리 하고자 한다.",산청군
5,단속사 정당매,경상남도 산청군 단성면 호암로673번길 12-1,127.8997221,35.32122775,http://tong.visitkorea.or.kr/cms/resource/45/2485045_image2_1.jpg,"경남 산청군 단성면 운리, 지리산 줄기가 힘차께 뻗어 내려오다가 멈춘 옥녀봉 아래 남향으로 자리한 단속사 절터에는 동.서의 삼층석탑과 주춧돌이 어지러이 놓인 가운데 매화나무 고목이 한 그루 서 있는데, 이것이 우리나라의 매화나무로서는 수령이 가장 오래된 정당매(政堂梅)이다.인재 강희안(1419~1464)의《양화소록(養花小錄에)》에 보면 우리 선조 통정공께서 소년시절에 지리산 단속사에서 글공부를 하실 때에 손수 매화 한 그루를 뜰 앞에 심어놓고, 시 한 수를 읊었다고 씌여 있다. 여기서 인재가 말하는 선조는 고려 말기의 문신인 통정(通亭) 강회백(1357~1402)으로 우왕2년(1376)에 문과에 급제하여 벼슬이 점점 높아져서 정당문학(政堂文學, 중서성과 문하성의 종2품 벼슬)겸 대사헌에 이르렀다. 공양왕 4년(1392) 정몽주가 살해된 뒤 진양에 유배되었다가 조선 건국 후 태조 7년(1398) 동북면 도순문사(都巡問使)가 되었다. 그는 경남 산청 출신으로 강희안의 조부가 되며 통정이 소년시절 정당매를 심고 시를 읊었다.통정집에 기록된 또 하나의 시는 그가 46세로 일생을 마치기 전에 손수 심은 정당매를 찾아와 읊은 시로써 읽는 사람으로 하여금 커다란 감동과 감회를 느끼게 한다. 단속사의 스님들이 공의 재덕(才德)을 생각하고 깨끗한 풍채와 고매한 품격을 사모하여 그 매화를 보면 곧 공을 본 듯 하였다. 해마다 흙으로 뿌리를 다져주고 북돋아 기르기를 때를 맞춰 알맞게 하였다. 그 가지의 모양이 가까스로 굽고 또 푸른 이끼가 나무줄기를 감싼 것이 《매보(梅譜)》에서 말한 고매(古梅)와 다름이 없으니 참으로 영남의 한 고물이라 하겠다. 이로부터 영남에 나랏일로 오는 사람들이 이 고을에 오면 누구든지 단속사를 찾아서 그 매화를 감상하고 우리 선조의 시운에 맞춰 시를 써서 문 위에 걸어놓곤 하였다. 이와 같이 단속사의 스님들은 이 매화나무를 극진히 보살피게 되었고, 통정공의 후손들과  영남에 내려오게 된 관리들이 정당매를 찾게 되었다.이 매화나무의 나이는 통정공이 소년시절 단속사에서 글을 읽을 때 심었다고 기록되어 있으므로 그가 이 절에서 공부한 시기를 20세 이전의 등과하기 전으로 본다면 대체로 1376년 이전에 식재된 것으로 볼 수 있어 그 수령은 630년이 넘었을 것으로 본다. 현재 정당매는 높이 8m에 둘레가 1.5m로서 근간에서 4본의 지간이 생겨 위로 혹은 옆으로 뻗었다. 꽃의 색깔은 백색이며 홑꽃이다. 3월 20일 전후이면 어김없이 꽃망울을 터뜨려 맑은 향기를 퍼뜨린다. 후손들은 이 정당매를 기념하기 위하여 비각을 짓고 비를 세웠다. 매각(梅閣)은 1915년에 매비의 건립과 함께 건립된 것으로 ‘정당매각(政堂梅閣)'이란 넉자로 된 현판이 걸려 있으며, 비각 안에는 매각을 세운 연유를 기록한 ‘정당매각기(政堂梅閣記)'와 통정공의 매화원운(梅花原韻)의 시와 후손들의 시 여러 편이 걸려 있다. 현재 이 정당매는 1982년 11월 10일자로 경상남도의 도나무(고유번호 12~41호)로서 보호수로 지정되어 있다.",산청군
6,대원사(산청),경상남도 산청군 삼장면 평촌유평로 453,127.8064933,35.3554028,http://tong.visitkorea.or.kr/cms/resource/42/793142_image2_1.jpg,"지리산의 천왕봉 동쪽 아래에 신라 제 24대 진흥왕 9년(548년)에 연기조사가 창건하여 평원사라고 했다. 그 뒤 1 천여년 동안 폐쇠되었던 것을 조선조 숙종 11년에 운권선사가 문도들을 데려와 평원사의 옛 절에 사찰을 건립, 대원암이라 개창하고 선불간경도량을 개설하여 영남의 강당이 되었다. 조선조 고종 27년에 혜흔선사의 암자가 무너져 크게 증건하 였다. 서쪽에는 조사영당을 보수, 동쪽에는 방장실과 강당을 건립하여 대원사라 개칭하고 큰스님을 초청하여 설교를 하니 전국위 수행승들이 모여들었다고 한다. 1914년1월12일 밤에 다시 불로 절이 모두 타버린 것을 여러 스님들이 다시 중창하여 1917년 전(殿), 누(樓), 당(當), 각(閣), 요사채 등 12동 184칸의 건물을 지었다. 여순반란사건과 한국전쟁 등으로 폐허가 되어 방치되다가 1955년 9월에 비구니 법일(法一)화상이 주지로 임명되어 1986년까지 대웅전, 사리전, 천광전, 원통보전, 봉상루, 범종각, 명부전을 지어 오늘에 이르고 있다.절 부근에는 옛적 선비들이 수학했다는 거연정(居然亭), 군자정(君子亭)이 있다.* 대원사계곡대원사입구 주차장에서 대원사까지 약2km에 이르는 대원사계곡은 산이 높고 물이 맑을 뿐 아니라 바위틈 사이로 뿜어내는 물과 괴암은 절경이다. 용이 100년간 살다가 승천했다는 용소, 가락국 마지막 구형왕이 이곳으로 와서 소와 말의 먹이를 먹였다고 하는 소막골 등이 위치하고 있다.* 주요문화재대원사다층석탑 보물, 삼장사지 3층석탑 경남도 유형문화재",산청군
7,대원사계곡,경남 산청군 삼장면,127.8101069,35.35632498,http://tong.visitkorea.or.kr/cms/resource/86/2671386_image2_1.jpg,"기암괴석을 감도는 계곡의 옥류소리, 울창한 송림과 활엽수림을 스치는 바람소리, 산새들의 우짖는 소리가 어우러지는 대자연의 합창을 들을 수 있는 계곡이 대원사계곡이다. 30여 리에 이르는 대원사계곡은 지리산 천왕봉에서 중봉과 하봉을 거쳐 쑥밭재와 새재, 왕등재, 밤머리재로 해서 웅석봉으로 이어지는 산자락 곳곳에서 발원한 계류가 암석을 다듬으며 흘러내린다. 조그만 샘에서 출발한 물길이 낮은 곳을 향해 흐르면서 신밭골과 조개골, 밤밭골로 모여들어 새재와 외곡마을을 지나면서는 수량을 더해 대원사가 있는 유평리에서부터 청정 비구니가 독경으로 세상을 깨우듯 사시사철 쉼없이 흐르는 물소리로 깊은 산중의 정적을 깨운다.",산청군
8,대장마을,경상남도 산청군 금서면 친환경로2506번길 85,127.8584761,35.41473591,http://tong.visitkorea.or.kr/cms/resource/19/2795919_image2_1.jpg,"경호강 물줄기에 자리한 이 마을은 신라 때 어느 대장이 쉬고 간 곳이라 해서 대장마을이라는 이름이 붙었다고 전해진다. 마을 곳곳 담벼락에 알록달록한 벽화가 그려져 정겹다. 경호강은 겨울에 언 강이 거울처럼 맑다는 뜻인데, 경호강 북쪽은 덕유산과 지리산자락이 병풍처럼 하늘을 가로막아 여름에 몰려오는 습한 비구름이 산자락에 부딪혀 넘어가면서 큰비를 뿌리는 지역이다. 대장마을은 이 경호강 상류에 위치해 강폭이 넓고 수량이 많으며, 유속이 빨라 여름철 수상레저인 래프팅을 즐기는 방문객들에게 인기가 많은 곳이다.",산청군
9,대포리민씨고가,경상남도 산청군 생초면 명지대포로236번길 7,127.8537668,35.46408581,http://tong.visitkorea.or.kr/cms/resource/24/2790524_image2_1.jpg,"대포리 민씨고가는 경남 산청군 생초면 대포리에 자리 잡고 있다. 조선 말기에 지은 것으로 추정하며, 1986년 경상남도 지정문화재 163호로 지정되었다. 한 칸으로 구성된 가옥의 첫 대문을 지나면 보이는 대문채가 인상적이다. 'ㄱ'자로 꺾인 부분이 맞배지붕으로 구성되며 대청이 만들어져 있어서 사랑채 용도로 사용되지 않았을까 추측된다. 안채는 앞면 4칸, 옆면 3칸 규모로 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양의 팔작지붕이며 'ㄱ'자형 평면을 갖추었다. 곳간채는 앞면 3칸, 옆면 1칸 규모다. 대문채는 앞면 6칸, 옆면 1칸 규모이며, 지붕은 옆면에서 볼 때 사람 인(人)자 모양을 한 맞배지붕이다.",산청군
