,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가산수변공원,경상남도 양산시 동면 가산리 799,129.0178749,35.29506481,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,"양산시 동면 양산천 낙동강 고수부지에 위치한 가산 수변공원은 2012년 4대강 사업 이후 낙동강 변에 조성된 수변공원이다. 면적은 610,000m², 자전거 길 3,802m², 산책로 2,554m² 규모로 조성되어 있으며 쉼터광장, 어린이 교통공원, 골프장, 축구장, 풋살장 등 다양한 생활 체육시설을 갖추고 있다. 체육시설은 공단 홈페이지를 통해 회원가입 후 이용할 수 있다. 낙동강의 자연경관을 보며 자전거를 타거나 산책을 하며 힐링 할 수 있는 편안한 휴식처를 제공한다.",양산시
1,가야진사,경상남도 양산시 원동면 용당들길 43-62,128.9023719,35.36753787,http://tong.visitkorea.or.kr/cms/resource/89/1227889_image2_1.jpg,"가야진사는 정면 1칸 측면 1칸의 목조로 된 맞배지붕 건물이다. 김해시 상동면과 양산시 원동면 경계의 낙동강 동쪽에 있다. 원래는 용당리의 비석골에 있었으나 1965년에 현재의 자리로 옮겨왔다.나루터신(津神)을 모시고 있는 제당으로, 신라가 가야(伽倻)를 정벌할 때 왕래하던 나루터가 있던 곳에 자리하고 있다. 앞면 1칸·옆면 1칸으로 구성되어 있고, 옆면에서 볼 때 지붕 선이 ‘사람인(人)’자 모양과 비슷한 맛배 지붕을 올린 목조건축물이다. 내부로 들어서면 제를 올릴 때 사용하는 제상이 있고, 그 위에 머리가 셋인 용을 그려 놓은 그림이 놓여 있다. 현재의 사당은 조선 태종 6년(1406)에 세운 것으로 전하며, 옛 건축물로서 민속신앙을 보여주는 좋은 예가 되고 있다. 지금도 마을 사람들은 이곳에서 제사를 지내고 있으며, 여름철 가뭄이 극심할 때에는 기우제를 지내기도 한다.",양산시
2,극락암,경상남도 양산시 하북면 통도사로 108,129.0646293,35.48868837,http://tong.visitkorea.or.kr/cms/resource/78/2784378_image2_1.JPG,"양산 극락암은 통도사의 여러 말사 중 하나이다. 통도사에서 서북쪽으로 1.5Km 떨어진 산속 암자이다. 고려 시대에 창건되어 조선 영조 때 철홍대사가 중창하였다는 기록이 전해진다. 1968년 이후 가람 전체를 경봉선사가 중건, 중수하였다. 풍수지리상으로 입지를 보면 연꽃이 물 위로 올라온 모양인 연화도수형의 지형에 자리 잡고 있다. 한강 이남의 제일가는 호국 선원이며 하안거와 동안거 도중에 일주일간 한숨도 자지 않고 깨어있는 용맹 정신이 끝나면 쉬지 않고 그 길로 등산을 하고 내려오는 것이 이곳의 전통이다. 극락암 안에 있는 극락영지와 홍교는 통도사 8경 중의 한 곳으로 경봉 스님이 71세에 탐욕과 노여움과 어리석음을 버리고 극락으로 가는 다리의 의미로 만들었다고 한다. 사계절 다 좋지만 봄에 피는 벚꽃이 유난히 아름다워 많은 사람이 찾아온다.",양산시
3,내원사(양산),경상남도 양산시 하북면 내원로 207,129.1041249,35.42437133,http://tong.visitkorea.or.kr/cms/resource/46/1227946_image2_1.jpg,"내원사는 대한불교조계종 제15교구 통도사의 말사로써 수려한 산수와 6Km에 달하는 아름다운 계곡으로 제2의 금강산이라 일컬어지는 천성산 기슭에 위치하고 있다. 1,300여 년 전 신라 선덕여왕 때 원효성사께서 창건하신 절이다.
1898년 석담유성(石潭有性) 선사가 설우(雪牛), 퇴운(退雲), 완해(玩海) 등과 더불어 수선사(修禪社)를 창설하여 절 이름을 내원사로 개칭하고 동국제일선원이라 명명한 후 선찰로써 이름을 떨치기 시작했다. 경허선사의 법제자인 혜월선사께서 조실로 주석하시면서 운봉, 향곡선사 등 한국 선종사의 선맥을 잇는 명안종사를 배출한 도량이다. 6ㆍ25사변으로 사원이 전소되자, 비구니 수옥스님의 원력으로 10년 만에 독립된 비구니 선원으로써 새롭게 중창되었다. 그 후 만공스님의 법제자인 법희, 선경스님등 납자들의 정진처가 되었다. 1979년 도용스님을 입승으로 모시고 18명의 스님들이 모여 삼년결사를 시작한 이후 1999년 여섯 번째 회향을 하였고 지금도 비구니 선객의 정진도량으로 선불장이 되고 있다.

* 원효대사와 비구니 수옥 스님의 이야기 *
1,300여 년 전 원효대사는 중국 태화사(太和寺)에서 건너온 1천 명의 대중들을 이끌고 이 산으로 들어와 대둔사(大屯寺)와 89개의 암자를 창건했다고 한다. 당시의 암자 가운데 상ㆍ중ㆍ하 내원암이 있었는데 조선 후기에 발생한 큰 수해로 대둔사와 89암자 대부분이 유실되고 하내원암만 남아, 여러 차례 중건을 거듭하여 오늘날의 내원사로 법등을 잇게 된 것이다. 한말에는 수선사(修禪社)를 창설하고 ‘동국제일선원’이라는 선찰(禪刹)로서 이름을 떨치기 시작했으나 6.25로 소실되고 말았는데, 오늘날의 내원사를 이야기하면서 빼놓을 수 없는 것은 이 시기에 이룩한 비구니 수옥(守玉) 스님의 업적이다. 스님은 어려운 시절에 전쟁으로 폐허화된 내원사를 중건하고 단절된 선원을 복원하여, 오늘날 명실공히 내원사를 비구니 수선도량(修禪道場)으로 일구어낸 분이기 때문이다.
이처럼 선원으로서 내원사는 근대 경허(鏡虛) 스님의 법제자인 혜월(慧月) 선사가 조실로 주석하며 운봉(雲峰)ㆍ향곡(香谷)ㆍ명안(明眼) 선사 등 한국 선종사의 선맥(禪脈)을 잇는 고승들을 배출하였다. 이러한 수행도량으로서의 가풍(家風)을 이어받아 오늘날에도 ‘동국제일선원’으로서 수많은 비구니 스님들이 깨달음을 향해 정진하고 있으며, 눈 푸른 선승들의 수행공간 구실도 아울러 담당하고 있다.",양산시
4,대운산자연휴양림 네트어드벤처,경상남도 양산시 탑골길 208-124,129.2089215,35.41786013,http://tong.visitkorea.or.kr/cms/resource/84/2638484_image2_1.jpg,"경상남도 양산시 용당동(龍塘洞)에 있는 자연휴양림이다. 해발 742m 가량의 대운산(大雲山) 내에 위치하며 숲속의 집 16동, 카라반5동, 산림문화휴양관 객실 5개실로 통26개의 객실이 있으며, 부대시설은 유아숲체험장, 바비뮤장, 네트어드벤처 체험시설, 야외무대, 잔디광장이 있다.",양산시
5,명동공원 / 명동근린공원,경상남도 양산시 명동 452-1,129.1665784,35.40290269,http://tong.visitkorea.or.kr/cms/resource/88/2784388_image2_1.JPG,"양산시 명동에 위치한 명동공원은 잔디광장, 연꽃단지, 미로원, 분수 2개 등을 갖추고 있으며 휴양 시설 및 어린이 놀이 시설, 체육시설, 야외무대, 편의시설, 관리 시설 등으로 이루어져 있다. 공원 숲길을 걸으면 맑은 공기와 탁 트인 풍경을 보며 힐링할 수 있으며 숲길 사이사이 벤치가 있어 쉬어가며 편하게 산책할 수 있다. 공원 안에는 양산 최초의 23m 워터 슬라이드 물놀이장 시설도 갖추었다. 또한 명동공원은 연못, 놀이터, 야외무대, 족구, 배드민턴장 등이 있어 가족, 친구, 연인들이 함께 방문하여 휴식과 스트레스를 풀 수 도 있고 다양한 이벤트를 경험할 수 있는 공원이다.",양산시
6,무지개폭포,경상남도 양산시 평산동,129.1471279,35.38170748,http://tong.visitkorea.or.kr/cms/resource/93/2797793_image2_1.jpg,양산시의 동부에 있는 무지개폭포는 인근 부산광역시 기장군과 경계를 이루고 울산광역시민의 식수원인 회야강의 발원지이기도 하다. 계곡이 깊고 물이 깨끗하며 기암괴석과 울창한 수목이 어우러진 수려한 계곡으로 여름철에는 좋은 피서지로 주목을 받고 있다. 무지개폭포로 가는 길목에서 우측으로 올라가면 계곡 주변에서 휴식을 즐길 수 있다. 무지개폭포는 뚜렷한 전설은 없으나 옛날 인근 주민들이 나무를 하고 쉬어가는 곳으로 휴식을 즐기고 있는 가운데 폭포에서 떨어지는 물이 떨어지면서 무지개가 형성되어 현재까지 무지개폭포로 알려져 있다.,양산시
7,미타암(양산),경상남도 양산시 주진로 379-61,129.1311814,35.40512122,http://tong.visitkorea.or.kr/cms/resource/31/2689531_image2_1.jpg,"* 천연 동굴에 조성한 석굴 사원, 미타암 *미타암은 경상남도 양산시 웅상읍 천성산(千聖山)에 자리 잡은 대한불교조계종 제15교구 본사 통도사의 말사이다. 646년(선덕여왕 15) 원효대사가 창건한 것으로 전하며, 원효대사가 창건한 89암자 가운데 하나로 본다. 920년(경명왕 4)에 지공 대사가 중창하였다. 1376년(우왕 2)에 중창했으며, 1888년(조선 고종 25)에 다시 정진(正眞)이 중창하였다. 구한말에 우리나라의 선사상을 부흥시킨 경허(鏡虛)의 제자 혜명(慧明, 1861~1937)이 주석했으며, 현재 그의 비석이 남아 있다. 미타암은 천연 동굴에 인공을 가해 조성한 석굴 사원이다. 현존하는 당우(堂宇)로는 대웅전·산신각·요사채 등이 있으며, 대웅전에는 석조 아미타여래 입상이 모셔져 있다. * 미타암의 주요 보물, 아미타불 *『삼국유사(三國遺事)』 「포천산 오비구(布川山 五比丘)」조에는 다섯 비구가 포천산의 석굴에서 아미타불을 염하며 수행한 결과 득도하여 극락으로 갔다는 설화가 전해지며, 이 포천산의 석굴이 지금의 미타굴로 추정되고 있는 것이다. 또한, 석굴 내부에 봉안된 아미타불(阿彌陀佛)은 신라 문성왕의 왕후가 병을 앓게 되자, 석굴에 부처님을 모시고 불공을 드리면 병을 나을 수 있다 하여 봉안하게 되었다는 일화를 지니고 있다.이 불상은 719년에 조성된 국보 감산사 석조아미타불입상(甘山寺石造阿彌陀佛立像)과 여러모로 닮아 있어 주목되며, 통일신라시대의 뛰어난 석조 예술로 평가되어 보물로 지정되어 있다. 또한, 미타굴은 신라의 불상을 봉안하고 있을 뿐만 아니라 석굴암의 성립시기인 경덕왕 대에 함께 존재하였다는 점 등에서 ‘양산의 석굴암’이라 불리기도 한다. 이처럼 미타암은 미타굴을 중심으로 이루어진 아미타 도량으로, 후세에 법당과 여러 당우를 지어 현재의 모습을 갖추게 되었다. 근세에는 많은 고승들이 수도와 정진으로 이곳을 거쳐 갔고, 오늘날에는 관음 기도 도량으로서 납자와 신도들의 발길이 이어지고 있다.",양산시
8,배내골,경상남도 양산시 원동면,128.9660139,35.45645405,http://tong.visitkorea.or.kr/cms/resource/75/1228175_image2_1.jpg,"* 영남알프스의 심장부, 배내골 *
배내골은 영남알프스의 심장부에 위치하고 있다. 맑은 계곡 옆으로 야생 배나무가 많이 자란다 하여 배내골이라 하고 한자음으로 이천리라고 한다. 이곳은 신불산~영축산의 남쪽 알프스와 밀양의 천황산~재약산을 잇는 서쪽 알프스 사이의 이십 리에 뻗친 협곡으로 피서철 사람들의 왕래가 많은 곳이다. 또한, 아직도 태고의 비경을 그대로 간직하고 있어 봄이면 고로쇠 수액이 나는 곳으로 알려지면서 이 물을 먹기 위해 관광객들이 많이 찾고 있다.

양산 시내에서 조금 떨어져 고갯길 넘어 산으로 둘러싸인 배내골에 닿으면 도심에서 벗어나 자연의 평화로움을 만끽하기에 충분하다. 배내골은 고지대 사이에 끼여있는 긴 골짜기이기 때문에 일조량이 다른 지방보다 2시간 이상이나 짧아, 여름에도 냉기가 감돈다. 이런 기후 조건을 활용하여 딸기 재배를 많이 한다.",양산시
9,배내골장선휴마을,경상남도 양산시 원동면 장선2길 30,128.9964711,35.50159676,http://tong.visitkorea.or.kr/cms/resource/52/2486152_image2_1.jpg,"영취산 자락에 숨은 듯 자리잡고 있는 배내골 마을은 아직도 저녁이면 밥짓는 연기가 모락모락 나고 그 냄새가 풍겨 나는 곳이다. 떨어지는 석양이 장관을 이룬다는 이 마을엔 배내골 계곡의 1급 청정수가 흐르는 곳이기도 하다. 이곳은 밀양댐 상류에 위치해 친환경 무공해 농법으로 유명한데 율무와 결명자, 들깨 등이 농약 없이 자라고 있다. 또 사과와 채소, 대추 등도 생산된다.맑은 개울 옆으로 야생 배나무가 많이 자란다 하여 배내골 (梨川洞) 이라 하는 이곳은 옛부터 산세가 험해 일반인들의 출입이 여의치 못한 관계로 아직까지 태고의 비경을 간직하고 있다. 특히 배내골에는 많은 명소가 있지만 대표적인 명소로 파래소폭포, 통도골, 철구소 등이 있다.*  배내골마을의 다양한 체험 프로그램 *양산시 배내골은 도시민을 위한 농촌 체험 프로그램 팜스테이에 참가하고 있다. 이 마을에서는 봄이면 가재나 개구리 잡기 등도 이뤄지고 산간마을답게 농사 체험은 감자·고구마·옥수수 심기, 가꾸기, 따기가 주종을 이룬다. 특히 마을 노인회가 준비하고 있는 윷놀이나 제기차기, 팽이돌리기, 자치기 등의 전통 놀이도 체험할 수 있다. 그리고 1급수에서만 서식하는 민물고기와 산가지, 탱가리, 메기, 가재, 소라등 보기 힘든 물고기를 볼 수도 있다.",양산시
