,title,addr1,mapx,mapy,firstimage,overview,addr2
0,벽계(찰비)계곡,경상남도 의령군 궁류면 벽계로 201,128.2081089,35.42604643,http://tong.visitkorea.or.kr/cms/resource/72/2689572_image2_1.jpg,"* 아름다운 경관으로 관광객이 많이 찾는 곳, 벽계(찰비)계곡 *

자굴산으로부터 이어지는 맥으로 산세가 웅장하고 골이 깊어 곳곳에 기암괴석이 연출하는 절경이 즐비한데 한우산을 끼고 흐르는 계곡이 찰비계곡이다. 이 계곡의 골짜기에는 천연의 요새처럼 석벽이 들러있어 그 모양이 성벽을 방불케하여 이름지어진 한우산성이 있다. 찰비계곡은 사시사철 맑은 물이 굽이치고 흘러서 폭포를 만들어 일대장관을 이루는 천하의 절경을 자랑하고 있다.
또한 흐르는 폭포수는 곳곳에 소를 만들어 놓았는데 각시소와 농소, 아소 등이 유명하고 여기에 얽힌 전설이 전해지고 있다. 이러한 폭포수와 웅덩이의 물이 너무 맑아 주위에 아름다운 숲들이 물에 비쳐서 선경을 그려내고 있다. 그래서 여름철과 가을철에 많은 관광객이 찰비계곡을 찾고 있다. 지금은 계곡아래쪽에 있는 벽계관광지와 벽계저수지 등으로 인해 종합 관광지로 발돋움하고 있어 야영객과 낚시꾼 등 많은 관광객들이 이곳을 찾아온다.

* 저수지와 계곡을 동시에 즐길 수 있는 여행코스, 의령 벽계관광지 *

의령군 궁유면과 유곡면 일원에 농업용수를 공급하기 위해 1979년에 만든 벽계저수지와 봉황대·벽계계곡 등을 연결하여 조성한 관광지이다. 저수지는 산과 산을 가로막아 만들었기 때문에 규모가 크고 잉어와 향어·빙어 등 어종이 다양하여 낚시터로 인기있다. 저수지를 따라 벚나무가 심어져 있어 봄에 경치가 아름답다. 저수지 상류에 야영장이 있고 남서쪽 상류에는 민속촌이 있다.",의령군
1,봉황대(의령),경상남도 의령군 궁류면 평촌리 산 62,128.2414002,35.43529321,http://tong.visitkorea.or.kr/cms/resource/92/2486192_image2_1.jpg,"의령읍에서 약 23km 떨어진 의령군 궁류면 평촌리의 벽계저수지 초입에 있는 단애(斷崖)이다. 거대한 기암괴석이 일대장관을 연출하는 봉황대는 모양이 봉황의 머리를 닮았다하여 붙여진 이름이다. 봉황대 돌계단을 따라서 오르면 암벽 사이로 자연동굴이 하나 있고, 이 동굴을 지나면 좁은 석문이 앞을 가로막는다. 이 석문을 간신히 빠져 나서면 또 다시 동굴을 하나 만나게 되는데 이곳에는 사시사철 넘쳐흐르는 약수터가 있어 봉황대를 찾는 이들에게 시원한 약수를 제공한다.봄철에는 기화요초가 만발한 경관이 일품이며, 여름철에는 녹음이 우거진 시원한 그늘을 드리운다. 그러나 봉황대의 진면목은 가을의 단풍이다. 만산홍엽에 뒤덮인 봉황대에 비치는 저녁노을은 가히 선경을 보여준다. 주변에도 경관이 빼어난 곳이 많다. 찰비계곡 내 무운바위, 용소, 각시소, 개기바위가 있으며, 촌닭백숙, 염소 불고기 등의 별미도 맛볼 수 있다. 가족단위로 관광과 휴양하기 좋아서 주말이면 인근 도시민들이 즐겨찾는 곳이다.봉황대 중턱에는 약간의 평지에 누대 하나를 마련해 두었는데 이것은 봉황루이다. 봉황루는 정면 3칸·측면 2칸 규모의 팔작지붕 건물인 누정(樓亭)이다. 봉황대의 볼거리 중 또다른 하나는 봉황대 아래쪽에 자리 잡고 있는 대한불교일붕선교종 사찰 일붕사이다. 이 사찰의 대웅전은 동양 최대의 동굴법당이라고 알려져 있다. 동굴법당의 규모는 넓이 456m², 높이 8m에 이른다고 한다.",의령군
2,수암사,경상남도 의령군 의령읍 수암로 248-17,128.2279186,35.30753236,http://tong.visitkorea.or.kr/cms/resource/24/2784424_image2_1.JPG,"경상남도 의령군 의령읍 수암로 벽화산 기슭에 있는 사찰로 2012년 '용국사'에서 '수암사'로 명칭이 변경되었다. 대지면적 26만 4,000㎡의 대규모 사찰이며 진입로 양쪽에 옥석으로 만든 높이 2.8m의 관음상 333개가 줄지어 서 있어 이곳을 방문하는 사람들은 그 웅장함에 놀란다. 수암사 입구 쪽에는 보물 제373호 의령 보천사지 삼층석탑과 보물 제472호 의령 보천사지 승탑이 있다. 사찰 내에서 가장 큰 대적광전 내부에 들어가면 수많은 불상을 볼 수 있으며 내부 출입은 30명 이내로 제한하고 있다. 산속에서 사찰이 주는 고즈넉함과 편안함을 느낄 수 있는 곳이다.",의령군
3,예동서원,경상남도 의령군 유곡면 마장로 226-14,128.295273,35.44329605,http://tong.visitkorea.or.kr/cms/resource/50/2708750_image2_1.jpg,"오랫동안 남계서원(藍溪書院)으로 알려졌는데 최근에 예동서원으로 바꾸었다. 학덕높고 절의의 큰 선비 표연말(表沿沫)을 추모향사하는 서원이다. 서원에는 경모당(景慕堂), 숭보사(崇報祠)와 기적비가 있다. 남계 표연말의 자는 소유(少游)이고 호가 남계(濫溪)로 1431년에 출생했고, 1498년 서거했다. 성종때 문과에 급제한 뒤 부제학, 이조참판겸 홍문관 예문관 대제학에 올랐고 연산군때 무오사화로 유배되어 그곳에서 세상을 떠났다. 중종때 신원됨과 함께 이조판서에 추증된 학덕높은 큰 선비였다. 김종직의 문인으로 김굉필, 정여창등과 함께 문행이 세상에 알려졌다. 묘소는 경북 상주에 있다.함양의 구천서원(龜川書院), 남계서원(濫溪書院)과 함창의 임호서원(臨湖書院)에서 표연말을 향사하였고 마장리에는 경모당과 숭보사와 기적비가 세워졌으며 예동서원에서 향사하고 있다.",의령군
4,유학사(의령),경상남도 의령군 부림면 여배로5길 2,128.3179054,35.50494506,http://tong.visitkorea.or.kr/cms/resource/42/2708742_image2_1.jpg,"미타산(彌陀山, 높이 662m) 중턱에 자리 잡고 있는 사찰로, 대한불교조계종 제12교구 본사인 해인사의 말사이다. 약 1300여 년 전 통일신라시대에 창건되었다고 전하는 고찰(古刹)이다. 조선 개국 직후 왕사를 지낸 무학대사 자초(自超 1327~1405)가 1399년(정종 1년) 창건하였다.

무학대사는 660년 원효대사가 창건한 미타사(彌陀寺)로부터 조금 떨어진 지금의 유학사 자리에 사찰을 건립하였다고 한다. 남향으로 자리 잡은 극락전을 중심으로 맞은편에 만세루, 극락전 왼쪽에 종각, 극락전 오른쪽으로 요사 두 동이 아래·위로 배치되어 있다. 칠성각은 요사 뒤쪽의 계단 위쪽에 있다. 주법당인 극락전은 정면 3칸·측면 2칸 규모의 팔작지붕집으로 내부 불단에 금동 아미타삼존불상을 모시고 있다. 원래 오동나무로 만든 목조 삼존불이 봉안되어 있었다가 1980년대에 어디론가 이운되었다 한다. 그때 삼존불 중 주존불을 본떠 석고상으로 남겨 두었는데 2002년 새로 조성한 현재의 주존불은 그 석고상과 같은 모습으로 만들어진 것이라 한다. 만세루(萬歲樓)는 루(樓)의 입지 즉 사찰의 정문에 해당하는 자리에 있지만 실제 누각 형식의 건물이 아니다. 단층 건물인 데다 누문도 없으며, 툇마루가 달린 요사채 형태를 취하고 있다. 건물 뒤편에 걸려 있는 편액도 유학사(留鶴寺)라고 되어 있지만 사찰에서는 만세루라고 부른다. 이 건물에는 1900년 이태현(李泰鉉)이 지은 ‘법당중수기’ 등 유학사의 연혁을 알려주는 현판들이 보관되어 있다.

*  무학대사와 유학사의 이야기 *
원래 유학사는 미타산의 8부 능선에 자리 잡고 있었으나 조선 초기 때 태조 이성계의 왕사(王師)를 지낸 무학대사가 이 유학사에 들려 사찰이 앉은 위치가 풍수지리에 맞지 않다고 하여 지금의 위치에 절을 옮겨지었다는 전설이 전하여 지고 있다. 무학대사는 풍수지리에 무척 밝았기 때문에 당시 이성계를 도와서 조선 개국과 함께 한양에 도읍을 정하는데 결정적인 역할을 하였다는 일화는 누구나 다 알고 있는 사실이니, 유학사의 전설 또한 전혀 근거 없는 것이 아닐 것으로 믿어진다. 전하는 바에 따르면 이 부근의 형세가 마치 날아가 학의 형상을 닮았다고 하고, 예전에 유학사가 있던 자리는 그 학의 머리 부분에 해당하였다 하니 학의 머리에 절이 앉아서는 아니 되고 지금의 위치에 사찰이 있어야만 학이 마치 절을 품고 있는 형상이 되어서 좋다는 것이다. 따라서 사찰의 이름도『학이 절을 품은 채 머무른다』는 뜻으로 유학사라 하였다고 한다. 이때가 조선 초기 정종 2년(1399년)이라 알려지고 있으며 그 뒤 무학대사는 오랫동안 이 유학사에 머물고 있다가 세상을 떠난 것으로 알려지고 있으나 이 말은 지금에 와서 상고할 길이 없고, 다만 그러한 전설이 구전되고 있다는 사실만 기록할 따름이다.",의령군
5,의령구름다리,경상남도 의령군 의령읍 서동리 644-1,128.2562521,35.31313501,http://tong.visitkorea.or.kr/cms/resource/25/2783925_image2_1.JPG,"의령천 정비사업의 일환으로 지난 2005년 준공된 의령 구름다리는 총 길이 258m, 주탑 높이는 48m에 달한다. 구조물의 붉은색은 임진왜란 최초의 의병장이자 의령 출신인 곽재우 장군이 여러 전투에서 입었다고 전하는 홍의를 모티프로 했다. 이 외에도 전통복식의 고유 색깔들을 차용해 의령천 주변의 빼어난 경치와 조화를 이루도록 했다. 주탑의 18개 흰색고리는 곽재우 장군과 17 장령을 상징하는 충익사 의병탑을 형상화 했다. 또 주탑과 보행로를 따라 400여개의 LED 조명을 설치해 밤에는 화려한 야경을 뽐낸다. 구름다리 인근에는 수변공원과 인공폭포, 산책로 등이 조성돼 있다. 특히 산책로는 남산 둘레길과 읍내를 연결해 주민들이 즐겨 걷는 코스다.",의령군
6,일붕사(의령),경상남도 의령군 궁류면 청정로 1180-42,128.2393031,35.43557369,http://tong.visitkorea.or.kr/cms/resource/61/1611461_image2_1.jpg,"일붕사는 천혜의 자연 요건을 갖춘 봉황산에 위치한 사찰이다. 이 사찰이 유명한 것은 동굴법당. 이 법당은 세계 최대 동굴법당으로 영국 기네스북에 등재돼 있다. 이 법당의 크기는 456.2m²(138평)과 297.5m²(90평). 현재 불자들의 소원성취를 위한 기도 도량으로 하루 평균 2백여 명의 불자들이 오고 있다. 일붕사는 사찰대지 16,529m²(5천평), 임야 99,174m²(3만여평), 신도수 2천여세대, 석굴 대웅전 456.2m²(138평), 석굴무량수전 297.5m²(90평), 제1요사, 제2요사, 조사전, 약사전, 북극전, 나한전, 산신각, 종각 등을 두루 갖추고 있다. 서기 727년 신라의 혜초스님이 창건한 성덕암이 현재 일붕사의 전신이다. 일붕사는 약 1330년 전에 나당 연합군이 백제를 침공할때 최고의 격전지였다. 당시 왕군이 봉황대 영역 안에 이 지역의 수많은 영령을 위로하기 위하여 사찰을 건립하였다고 한다. 태종 무열왕의 삼왕자가 계셨던 궁소 봉황대의 사찰에서 비로자나불을 안치시켜 호국 일념으로 성덕왕의 덕을 기렸고 성덕대왕이 봉황대의 산세가 빼어남과 선당의 얼이 베인 곳을 천추만대에 기념하자는 뜻에서 자신의 왕호를 내려 성덕사라는 귀족적 사찰을 지었으니 과히 그 명성을 짐작할 수 있을 정도이다.그러나 이러한 성덕사도 이조 성종25년 국령으로 불사 33개소를 회합함으로서 그 영향을 받아 승려를 학대하고 사찰을 파괴함으로서 봉황대 성덕사는 어쩔 수 없이 사찰을 궁류면 운계리 팔사곡 자사산으로 옮겨 정수암으로 그 이름을 바꾸게 되었다. 그 후 (148년전)에 장사곡 출신의 어떤 인물이 들어와 승을 축출하고 암자를 파괴할 때 쇠망치로 수없이 내려쳐도 미륵불상 한불이 도저히 넘어가지 않는 것을 보고 주승이 범상치 않은 일이라며 그 불상을 업고 합천군 연호사로 도망하였다고 한다. 지금의 연호사 불상 중 일부분이 성덕사 불상이라고 전해온다.오랜 세월이 흐르는 동안 암자로 있다가 1934년 8월 26일 당시의 면장이 산주와 더불어 봉황대의 덕경을 도우기 위하여 벚꽃나무를 심고 관세음보살상과 여래불상을 모셨으나 소실되어 다시 이야용 스님이 법당을 짓고 성덕사라 하였다. 그러나 1984년 10월 24일 누전으로 인하여 또다시 성덕사법당이 완전 소실되었으나 1986년 7월 26일 사단법인일붕선종회 (지금의 재단법인 일붕선교종) 창종주 일붕 서경보 종정 큰스님이 혜운 주지스님을 부임케하여 이 산 이름이 봉황산이라 산의 기가 너무 세어 사찰이 부지 못하니 기를 줄이기 위해 굴을 파야 한다고 하시므로 주지스님이 불사를 이룩, 사찰명을 일붕사로 명명하여 오늘에 이르고 있다.",의령군
7,정암루(솥바위),경상남도 의령군 의령읍 남강로 686,128.2949015,35.31395506,http://tong.visitkorea.or.kr/cms/resource/67/1611467_image2_1.jpg,"* 아름다운 경관으로 발길을 잡는 곳, 정암루남해고속도로 군북IC에서 내려 10분가량 달리면 충의의 고장 의령의 관문에 다다르게 된다. 남강물 유유히 흐르는 철교 아래 가마솥을 닮은 바위 하나가 물 위에 유유자적한 모습을 보이는데, 그 이름이 바로 솥바위이다. 물에 드러난 형상만 보고도 금방 솥 모양임을 알 수 있고, 물아래 감춘 형상 또한 세 발을 달고 있는 모습으로 영락없이 솥 모양이 나타난다. 이곳은 그 옛날 선인들이 나룻배를 타고 왕래했던 나루터지만 임진왜란 때는 나루에서 곽재우 장군이 왜장 혜경이 이끈 수많은 왜적을 잠복 끝에 몰살시킨 승전지로도 유명한 살아있는 역사의 현장이다. 더욱이 정암루에 올라 강물을 내려다보면 풍류가 절로 피어나 그만 노랫가락이 나올 법한데 낚싯대를 드리운 강태공 모습 또한 마냥 여유롭다. 이것도 잠시 지금은 시원하게 뚫린 2차선 아스팔트 도로 위를 분주히 오가는 차량의 행렬을 쫓다 보면 그 옛날 왜병들이 경상도에서 전라도의 곡창지대로 들어가려 기를 썼던 중요 길목임을 단번에 짐작할 수 있다.",의령군
8,충익사 의병탑,경상남도 의령군 의령읍 충익로 1,128.2613238,35.31575425,http://tong.visitkorea.or.kr/cms/resource/76/1611476_image2_1.jpg,"이 의병탑은 충익사 본건물을 짓기전에 이미 이곳에 세워졌던 것으로, 망우당 곽재우 장군과 휘하에있던 17장령의 위업을 기리기 위해 1972년에 의령군민들의 성금으로 건립한 것이다.탑의 모양은 곽재우 장군과 17장수를 상징하는 18개의 화능을 차례로 포개어 올렸으며 탑의 높이는 지상 27m, 탑명은 고 박정희 대통령의 친필 휘호이다.",의령군
9,충익사(의령),경상남도 의령군 의령읍 충익로 1,128.2613238,35.31575425,http://tong.visitkorea.or.kr/cms/resource/04/1954904_image2_1.jpg,"충익사는 임진왜란(1592)때 최초로 의병을 일으켜 나라를 지켰던 홍의장군 곽재우와 그 휘하 장병들의 위패를 모신 사당이다. 이곳에서는 1972년 이래 해마다 곽재우 추모행사를 거행하고 있다. 사당은 충익사당, 기념관, 충의각, 내삼문, 외삼문 등 9동의 건물로 구성되어 있다. 기념관에는 보물 ‘망우당(忘憂堂) 유물’이 전시되어 있다. 공포와 장식이 화려한 충의각에는 곽재우와 17명의 장수들에게 사후에 내린 관직명이 보관되어 있다. 이밖에 도기념물인 모과나무가 자리잡고 있으며 높이 27m에 이르는 충혼탑이 있다.* 임진왜란 당시의 의병장, 홍의장군 곽재우 *곽재우 장군은 명종 7년(1552) 경상남도 의령군 유곡면 세간리에서 출생하였는데 문무에 다같이 뛰어났으나 관직 없이 초야에서 지냈다. 선조 25년(1592) 4월13일 왜병이 침입하여 서울로 진격해오자 “나라를 지키는 일을 관군에게만 맡길 수 없다”고 분연히 일어나 전국 최초로 의병을 일으켜 왜병의 침공을 막았다. 장군은 홍의에 백마를 타고 휘하에 17명의 장수와 수천 의병을 거느리면서 정암진, 기강, 현풍, 창녕, 화왕산성, 진주성 등의 전투에서 실로 신출귀몰하는 전략, 전술로 적을 크게 무찌르고 백전백승함으로써 왜병의 전라도 진격을 저지하였다. 임진왜란이 끝난 후 진주 목사를 지냈고, 한성부 우윤, 함경도 관찰사를 일시 역임하였다. 장군은 사후에 병조판서 겸 지의금사에 추증되었다. 장군의 추모행사는 1972년 이래로 매년 거행하며 1978년 이곳에 사당을 마련하였다.",의령군
