,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가뫼골마을,경상남도 진주시 명석면 관덕길 174,128.0324121,35.25865659,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,"넉넉하고 훈훈한 시골인심을 그대로 간직한 가뫼골 녹색농촌체험마을이다. 농촌에서 보고, 듣고, 즐길 수 있는 다양한 프로그램을 체험할 수 있다. 체험마을은 세개의 마을로 형성되어 있으며 광제산 바로 아래에 토담과 그 아래에 엄목정 그리고 덕실재 넘어에 있는 소태골로 이루어져 있고, 광제산 정남하에 위치하며 덕재, 덕살이니 하는 덕자가 붙은 지명이 많은 것이 광제산을 연유하여 덕으로 널리 구제한다는 뜻으로 해석되고 있다.이곳은 녹색농촌체험마을과 팜스테이마을이 같이 연계를 하고 있어 농촌체험 활동을 하면서 숙박까지 할 수 잇는 곳이다.",진주시
1,강주연못,경상남도 진주시 정촌면 예하리,128.0949049,35.11353236,http://tong.visitkorea.or.kr/cms/resource/68/2367468_image2_1.jpg,"강주연못은 본래 강주의 영터(康州營基)라고 전한다. 진양지(晋陽誌)에 의하면 하륜(河崙:1347~1416)은 그의 촉석성 성문기(矗石城 城門記)에서 기미년(1379) 가을에 지밀직 배공(知密直 裵公, 裵克廉:1355~1392)이 강주진장(康州鎭將)으로 와 있으면서 목관에게 이첩하여 '촉석성'이 흙으로 된 것을 돌로서 쌓게 하였더니 역사가 반도되지 못하여 왜구에게 함락되었다.""고 한 것으로 보아 이곳이 고려말왕5년(1379년)에 배극렴이 진을 치고 있던 영터라는 것은 분명하며, 이곳이 석축된 오늘날의 진주성(晋州城)을 있게 한 근원지이다.강주연못이 언제 축조되었는지는 알 수 없으나 못둑에는 5~6백년 정도의 고목이 우거져 있고, 또 이곳의 이팝나무는 중국에서 가져온 것이라는 말이 전하는 것 등으로 이 강주연못 일대는 진주의 역사상 중요한 지역으로 평가되고 있다. 못 뚝에는 오래된 고목이 무성하고 여름에는 연꽃이 만발하여 경치가 좋아 연중 관람객이 많고 학생들의 소풍놀이 장소로도 이용되고 있다. 특히 2004년 생태공원의 조성으로 환경과 교육, 휴식이 어우러진 장소로 시민의 사랑을 받고 있다.",진주시
2,경상남도수목원,경상남도 진주시 이반성면 수목원로 386,128.2955472,35.15975296,http://tong.visitkorea.or.kr/cms/resource/56/1611556_image2_1.jpg,"경상남도수목원은 서부경남의 중심권인 이반성면 대천리 일원의 102ha의 면적에 전문수목원, 화목원,열대식물원, 무궁화공원  등 우리나라 온대 남부지역 수목위주로 국내·외 식물 3,100여 종을 수집하여 보전하고 있다. 주5일제 근무의 실시로 날로하는 레저인구의 여망에 부응, 특색있는 수목원으로 거듭나기 위하여 다양한 테마시설, 가족단위 체험시설과 경관숲, 생태숲, 분수 및 물순환시설 등 수목원 확충사업을 추진중에 있으며 수목원 고유기능인 식물유전자원의 보존증식은 물론 산림박물관, 야생동물원 등과 어우려져 자연학습과 가족단위의 건전한 휴식 명소로 부상하고 있다.",진주시
3,금호못유원지,경상남도 진주시 금산면 금산순환로587번길 10-6,128.154322,35.21448596,http://tong.visitkorea.or.kr/cms/resource/82/2746282_image2_1.JPG,"금산면 사무소로부터 약 400m 떨어진, 용아리에 소재한 금호지는 전체 면적이 204,937㎡에 달할 만큼 큰 규모를 자랑하는 저수지다. 둘레가 5km 정도지만 저수지의 전체를 한눈에 볼 수 없을 정도로 굴곡진 곳이 많다. 흑룡과 청룡의 전설이 전해져 내려올 만큼, 경관이 독특하며 오랫동안 사랑받고 있는 저수지이다. 주변을 둘러싸고 있는 울창한 송림과 벚나무는 아름다운 경관을 연출한다. 사시사철 변함없는 매력을 품고 있어 1년 내내 사람들의 발길이 끊이지 않는다. 최근에는 계곡 안쪽에 생태공원이 조성되었다.",진주시
4,금호지,경상남도 진주시 금산면 금산순환로587번길,128.1535528,35.20766171,http://tong.visitkorea.or.kr/cms/resource/22/1951122_image2_1.jpg,"금산면사무소로부터 약 400m 지점의 금산면 용아리에 소재한 금호지는 전체 면적이 204,937㎡에 달하는 큰 저수지이다. 금호지의 전설은 무척 흥미롭다. 
옛날 옛적에 황룡과 청룡(혹은 흑룡)이 하늘에서 치열한 싸움을 벌이고 있었다. 이것을 본 어느 용사가 ""싸움을 멈추라""고 소리치자 청룡이 놀라 아래를 보는 순간 황룡이 청룡의 목을 비수로 찔렀다. 청룡이 땅에 떨어지면서 꼬리를 치니 그 꼬리에 쓸려 갑자기 하나의 큰 못이 이루어 졌다고 한다. 이것이 오늘의 금호지로, 금호지는 청룡을 닮아 항상 물이 맑고 푸르다고 한다. 또한 사람이 죽어 저승에 가면, 염라대왕이 ""금호지를 둘러 봤느냐?""고 묻는다고 한다. 

""안둘러 봤다.""라고 하면 게으른 놈이라고 벌을 준다는 말이 있을 정도로 저승까지 이름이 난 저수지이고 보면 용이 있다는 전설이 당연한 일일지도 모른다. 금호지는 둘레 5km로 굴곡이 많아 한눈에 저수지의 전부를 볼 수 없다. 언제 만들어졌는지 정확하게 알 수 없지만 신라시대에 자연적으로 형성되었다는 추정만 하고 있다. 마을 사람들은 금호지가 워낙 깊어 명주실구리 3개가 들어갔다는 옛 전설을 이야기하고 있다. 주위에 울창한 송림으로 둘러싸여 경관이 아름다워 사시사철 이곳을 찾는 사람들이 줄을 잇는 명소이기도 하다.",진주시
5,남가람공원,경상남도 진주시 강남로 320,128.0821985,35.18724607,http://tong.visitkorea.or.kr/cms/resource/41/2894541_image2_1.jpg,"진주 남가람공원은 남강 바로 옆 대나무 숲길 쪽에 자리하고 있다. 남강 쪽은 자전거길이 있어 자전거를 타고 가는 것을 추천한다. 남가람공원에는 자전거 보관소는 있지만 전용 주차장이 따로 없다. 3월에 방문하면 벚꽃과 산책길 곳곳에 핀 다양한 꽃들을 구경할 수 있다. 공원 끝 쪽에는 화장실과 매점이 있고, 물놀이 분수대가 있어 여름에는 이곳에서 더위를 식힐 수 있다. 남가람공원에는 울창한 대나무숲이 있는 남가람 별빛 길이 있는데 꼭 한번 둘러봐야 한다. 빼곡하게 자리 잡은 대나무 숲길은 밤이 되면 숲길에 조명이 켜져 더욱 빛을 발한다. 또 공원 곳곳에 의자와 정자가 있어 편히 쉬어갈 수 있다. 특히 진주성을 배경으로 사진을 찍을 수 있는 포토존도 마련되어 남가람공원에 가면 꼭 가봐야 한다. 근처 경남지역의 역사와 문화를 전시한 국립진주 박물관도 가까이 있어 함께 방문하기 좋다.
※ 반려동물 동반 가능(목줄 착용 및 배변도구 지참)",진주시
6,남가람문화거리,"경상남도 진주시 망경동,칠암동 일대",128.0924948,35.1873518,http://tong.visitkorea.or.kr/cms/resource/72/2367472_image2_1.jpg,"역사, 문화, 예술도시인 진주의 전통과 독특한 문화적 개성을 지닌 도심 속의 문화, 휴식공간으로 전국에서 처음으로 시범 문화 예술거리로 지정되었다. 1992년부터 조성된 남가람 문화거리는 진광교 ~ 문화 예술 회관 ~ 진주교 ~ 천수교에 이르는 칠암, 망경 지구 남강변 일대(71,085㎡, 2.9km)에 죽림을 복원하고 야외공연장, 기념비, 조형물, 휴식공간, 진주성, 남강 전망대 등 문화공간을 조성해 문화 예술도시의 면모를 보여주고 있다. 도시의 중심부를 흘러가는 남강의 빼어난 자연환경, 경상남도 문화 예술 회관, 진주성 등이 근처에 자리 잡고 있어 친숙하고 유익한 삶의 질 향상에 기여하고 있다. 물론, 역사적 유물과 문화재가 산재한 고전적 도시로서 문화 관광을 겸한 명소로 각광받고 있다.",진주시
7,남가람별빛길,경상남도 진주시 강남로 320,128.0821985,35.18724607,http://tong.visitkorea.or.kr/cms/resource/08/2797008_image2_1.jpg,남가람 별빛길은 진주를 대표하는 관광지인 진주성 맞은편에 자리한다. 남강을 따라 길게 이어진 대나무 숲이 일 년 내내 싱그러운 초록빛을 뽐낸다. 산책로도 잘 다듬어져 있어 누구나 부담 없이 걷기 좋다. 한여름에는 하늘을 가릴 만큼 울창한 대나무 숲이 서늘한 그늘을 만들어준다. 이처럼 낮에는 시민들의 소중한 휴식처가 되어주던 대숲이 밤이면 환상적인 은하수를 선물한다. 대나무 잎에 빨강 파랑 초록의 작은 전구를 달아 마치 별빛처럼 반짝이는 하늘을 연출한다. 대나무 숲 사이로 보이는 진주성의 아름다운 야경이 더욱 낭만적인 분위기를 자아낸다. 산책로에는 달처럼 동그란 조명이 길을 밝혀준다. 해가 진 직후에 찾으면 보랏빛 하늘과 함께 인생 사진을 남기기에도 좋다.,진주시
8,남강댐노을공원,경상남도 진주시 내동면 삼계로 453,128.0304287,35.16127585,http://tong.visitkorea.or.kr/cms/resource/59/2790659_image2_1.JPG,"진주 남강과 진양호 사이에 자리한 남강댐 노을공원은 걷기 좋은 산책로와 널찍한 운동장, 보기만 해도 넉넉해지는 댐 풍경이 한데 어우러져 시민들이 즐겨 찾는 휴식처다. 공원 곳곳에 크고 작은 나무데크가 설치되어 주말이면 피크닉을 즐기려는 이들로 북적인다. 도심을 잠시 벗어나 울창한 숲길을 걷는 기분도 상쾌하다. 진양호를 한눈에 담을 수 있는 전망대와 곳곳에 자리한 포토존도 사진 찍기에 좋다. 동심을 자극하는 조각공원도 아이들과 함께 뛰어놀기에 제격이다. 무엇보다 가장 매력적인 것은 이름처럼 아름다운 노을이다. 해 질 녘 남강댐 노을공원에서 진양호를 바라보고 있노라면 붉게 타오르는 일몰이 황홀한 풍경을 빚어낸다. 특히 맑은 날 진양호에 비친 저녁 하늘은 아름다운 노을을 더욱더 화려하게 빛낸다.",진주시
9,남악서원,경상남도 진주시 금곡면 죽곡길 102,128.1779264,35.07631579,http://tong.visitkorea.or.kr/cms/resource/51/1951151_image2_1.jpg,"김유신·최치원의 영정과 홍유후·설총·문창후의 위패를 모시고 있는 서원이다. 680년경에 지었고 1919년 지방유림들이 다시 지었으며, 경주 서악서원의 이름을 본 따 남악서원이라고 이름지었다. 경내에는 사당, 서원 2동의 재, 솟을대문이 있다. 사당은 앞면 3칸·옆면 1칸의 규모이며 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕이다. 서원은 앞면 4칸·옆면 2칸 규모에 지붕은 팔작지붕이고, 대청이 없이 툇마루가 확장되어 대청의 기능을 한다. 서원 좌우에 마주보고 있는 재는 각각 앞면 4칸·옆면 2칸 규모이다.",진주시
