,title,addr1,mapx,mapy,firstimage,overview,addr2
0,관룡사,경상남도 창녕군 창녕읍 화왕산관룡사길 171,128.5534646,35.53196018,http://tong.visitkorea.or.kr/cms/resource/28/2563128_image2_1.jpg,"관룡사는 화왕산 군립공원 구룡산 병풍바위 아래 있는 고찰로 대한불교조계종 제15교구의 본사인 통도사(通度寺)의 말사이다. 신라 8대사찰의 하나로 394년(내물왕 39)에 창건되었다고 하나 확실하지는 않다. 583년(진평왕 5) 증법(證法)이 중창하고 삼국통일 후 원효가 중국 승려 1,000명에게 화엄경을 설법하여 대도량(大道?)을 이루었다. 748년(경덕왕 7) 추담(秋潭)이 중건하였다. 조선시대에 들어 1401년(태종 1) 대웅전을 중건하였으나 임진왜란 때 대부분 당우(堂宇)가 소실되어 1617년(광해군 9)에 영운(靈雲)이 재건하고 1749년(영조 25)에 보수하였다.* 관룡사의 볼거리 *관룡사에는 대웅전(보물)과 약사전(藥師殿, 보물)을 비롯하여 석조여래좌상(石造如來坐像, 보물)과 약사전 3층석탑(지방유형문화재), 용선대(龍船臺) 석조 석가여래좌상(보물) 등이 있다. 또한 관룡사 입구에는 고려 공민왕 때 개혁정치를 주도한 신돈(辛旽 ? ~ 1371년)이 출가한 사찰인 옥천사지(玉泉寺址)가 있으며, 또 신돈이 태어났다는 일미사지(一味寺址)가 있다. 주변의 깊은 옥천계곡은 많은 피서객이 찾아온다.",창녕군
1,놀러와외갓집(우리동네협동조합),경상남도 창녕군 서동4길 6,128.4784778,35.38803337,http://tong.visitkorea.or.kr/cms/resource/27/2995827_image2_1.jpg,"창녕우리동네협동조합은 창녕군 남지읍에 거주하는 남지 사람들이 모여 만든 협동조합이다. 매력적인 낙동강 강물이 흐르는 남지읍에서 편안한 휴식과 외할머니의 감성을 느낄 수 있는 음식 그리고 자연의 조화된 경험을 체험하는 하루 코스 투어상품과 1박2일 상품을 판매 중이다.  외할머니밥상 체험과 요가클래스, 쿠킹클래스, 캠프닉을 단순화하여 지역관광자원 활용도를 높여 시골외갓집 나들이를 리마인드하여 나를 위로하고 외갓집의 정을 나누고자 한다. 지역 특산물인 땅콩 등 농작물로 다양한 음료를 개발하여 판매. 편안한 스테이 공간을 보유하고 소규모 모임을 위한 공간대여 서비스가 가능한 외갓집 콘텐츠를 운영하고 있다.",창녕군
2,달창재(달창사랑 협동조합),경상남도 창녕군 곽천길 15-6,128.4870815,35.63528898,http://tong.visitkorea.or.kr/cms/resource/41/2995841_image2_1.jpg,"몇십년 동안 마을 한가운데에 방치되어 있던 100년 된 폐가를 대표자가 자비로 수리하여 정비 한 재천정을 중심으로 운영되는 한옥숙박업이다. 창녕과 달성군의 경계에 있는 곽천마을에 있는 달창사랑 협동조합은 창녕으로 귀촌한 엄철수 대표가 마을 사람들을 설득하여 재천정을 꾸미고, 경모재와 같이 한옥숙박업을 통해 창녕으로 유입되는 관광객을 맞이 하고 있다. 주변의 숲을 이용한 숲체험과 골프, 낚시, 트레킹이 가능한 달창재의 여러 프로그램을 즐길 수 있다.",창녕군
3,더 하리(더하리스토리 주식회사),경상남도 창녕군 화왕산로 170,128.5037856,35.53131768,http://tong.visitkorea.or.kr/cms/resource/84/2995484_image2_1.jpg,"더 하리는 경남 창녕군 화왕산의 맑고 푸르른 정기가 녹아있는 작고 소박한 하리마을에서 탄생했다. 더 하리의 심볼인 따오기는 멸종되었다가 창녕군이 복원하여 천혜의 환경이 유지되는 창녕에서만 서식하는 세계에서 귀한 새이다. 더 하리의 제품은 따오기가 살아갈 자연을 사랑하고 지키는 것을 목적으로 만들어 진다. 모든 제품에 자연의 진심을 담아, 엄선된 최상급 재료를 사용하여 ‘더하리’만의 수제방식으로 만들어 진다. 온라인쇼핑몰 스마트스토어, 아이디어스에서 제품을 구매할 수 있다.",창녕군
4,명덕생태수변공원,경상남도 창녕군 창녕읍 교리159,128.498919,35.54617148,http://tong.visitkorea.or.kr/cms/resource/99/2795099_image2_1.jpg,"창녕읍에 자리한 수변공원으로 주민들이 즐겨 산책하는 코스다. 과거 농업용수 공급을 위해 만들어졌던 명덕저수지를 현대적으로 공원화시켰다. 걷기 좋은 나무 데크길은 물론 저수지에 다양한 수생식물을 심어 계절마다 다채로운 풍광을 즐길 수 있다. 저수지 가운데로 아치형의 디자인이 돋보이는 구름다리가 놓였고, 그 양쪽으로 울타리를 설치해 안전하게 수변 경치를 즐길 수 있도록 했다. 구름다리 건너 팔각정에선 잠시 걸음을 쉬어가며 이야기를 나누기에도 좋다. 이처럼 낮에도 주민들의 휴식처가 되어주는 명덕 생태 수변공원은 밤이 되면 색다른 매력을 펼쳐 보인다. 구름다리에 알록달록한 조명을 설치해 로맨틱한 야경을 선사하는 것. 아름다운 야경이 저수지에 비쳐 일렁이는 모습도 눈과 마음을 사로잡는다.",창녕군
5,버들국수 (농업법인 주식회사 유화 ㈜),경상남도 창녕군 쟁반2길 13,128.4390484,35.57630032,http://tong.visitkorea.or.kr/cms/resource/36/2995836_image2_1.jpg,"농업법인 주식회사 유화는 송미령 대표자가 버드나무의 옳은 한길을 경영이념으로 사람 몸에 제품으로 이익을 추구하는 것을 설립이념으로 만든 회사이다. 우포늪에 자라는 버드나무의 효능을 일찍 발견하고 버들홍삼조청과 약차(건강차) 개발하여 판매 중이고, 앉은 뱅이 밀로 만든 버들국수를 맛 볼 수 있다.",창녕군
6,부곡온천 관광특구,경상남도 창녕군 부곡면 온천중앙로 77,128.5955105,35.44384033,http://tong.visitkorea.or.kr/cms/resource/25/2687425_image2_1.jpg,"부곡온천은 옛날부터 가마솥처럼 생겼다고 해서 부곡(釜谷)이라 불렸다. 전해오는 이야기에 따르면 마을에 뜨거운 물이 솟아나는 우물이 있어 옴 환자와 나병 환자들이 떼지어 몰려와 치료를 했다고 한다.부곡온천은 국내 유수의 온천들 중에서도 단연 최고의 수온인 78℃를 유지한다. 부곡온천 관광특구에는 호텔과 콘도, 골프장, 온천 분수대 등 온천을 기반으로 한 종합 휴양 시설과 다양한 온천장이 들어서 있다. 인근에는 진달래로 유명한 화왕산과 창녕 우포늪 등이 있어 다양한 여행 스케줄을 짤 수있다.

* 부곡온천 관광특구 현황
1) 범위 : 경상남도 창녕군 부곡면 거문리, 사창리, 부곡리 일원
2) 면적 : 4,819,000㎡
3) 관광특구 지정일 : 1997년 1월 18일",창녕군
7,산토끼 노래동산,경상남도 창녕군 이방면 이방로 623,128.3836227,35.57779081,http://tong.visitkorea.or.kr/cms/resource/84/2534884_image2_1.jpg,"창녕군 이방면 이방초등학교 뒷산에 자리한 산토끼노래동산은 동요 ‘산토끼’를 모티브로 한 체험 시설이다. 동요 ‘산토끼’는 1928년 고 이일래 선생이 창녕 이방초등학교에 재직하면서 작사, 작곡한 곡으로 지금까지도 모든 사람이 아는 국민동요다. 산토끼노래동산은 이름처럼 토끼를 주로 하는 공간을 선사한다. 토끼마을, 토끼동굴, 토끼먹이체험장 등 토끼와 관련된 다양한 체험을 할 수 있다. 주차장과 안내소가 있는 입구에서부터 다양한 체험을 즐기며 들어서면 산토끼동요관이 나온다. 산토끼의 서식환경을 살펴볼 수 있는 전시장과 이일래선생 기념관, 동요감상실, 생태환경전시관을 갖췄다. 언덕 가장 위쪽에는 근래에 완공한 작은 동물원을 운영한다.지정된 먹이를 주면서 동물과 교감할 수 있고 유리창 안 동물들의 생활을 엿볼 수 있다. 곳곳에 설치된 귀여운 조형물과 바닥에 그려진 트릭아트도 소소한 볼거리와 재미를 선사한다. 미로정원과 어린이놀이터 등 아이들이 마음껏 뛰어놀 수 있는 놀이시설과 편한 휴식을 취할 수 있는 편의시설도 마련했다. 밝고 명랑한 동요 소리가 동산 가득 울려 퍼져 남녀노소 누구나 동심으로 돌아간 듯 즐거운 시간을 만들기 좋다.",창녕군
8,연지못,경상남도 창녕군 영산면 서리 139-3,128.5281772,35.45466843,http://tong.visitkorea.or.kr/cms/resource/76/2797476_image2_1.JPG,"창녕의 연지못은 선조들이 영산 고을의 화재를 예방하고 농사에도 이롭게 하기 위해 만든 저수지이다. 그 모양이 벼루 모양을 닮았다 해서 연지(硯池)라 불렸으며 영산 호국공원과 인접하여 있다. 연못 가운데 다섯 개의 섬들이 떠 있어 아름답고 그중 가장 큰 섬 두 개는 다리로 연결돼 있어 산책로를 따라 들어가 볼 수 있다. 연못을 공원화하여 해마다 유등제가 열리고 있으며 놀이터와 운동기구, 건강 지압시설 등 다양한 부대시설이 마련되어 있어 사시사철 산책이나 나들이하기 좋다. 특히 수양벚꽃이 개화하는 시기엔 관광객이 붐빌 만큼 아름다운 풍경을 연출한다. 또한 반영 샷 한 장으로 핫플레이스가 된 영산만년교가 바로 앞에 있어 연지못을 한 바퀴 돌고 만년교로 이동하는 발길이 많은 곳이다.",창녕군
9,영산호국공원,경상남도 창녕군 영산면 원다리길 42,128.5296466,35.45327973,http://tong.visitkorea.or.kr/cms/resource/24/2488724_image2_1.jpg,"총 165만㎡의 면적으로 1973년 도시공원으로 지정되었으며, 1982년 5월 31일 전국 최초로 호국공원으로 재조성되었다. 규모는 크지 않지만, 한국의 호국공원 중 손꼽히는 곳이다. 3대 국란호국의 성지(聖地)로서, 임진왜란 호국충혼탑, 3·1운동 봉화대 및 기념비, 6·25전쟁 영산지구 전적비가 있다. 임진왜란 호국충혼탑 뒤로는 물레방아가 돌고 있다. 영산군이 경상남도 최초로 3·1운동이 일어났던 곳임을 기념하여 이곳에서는 매년 3·1절 기념식이 거행된다.공원 입구의 무지개형 다리는 보물인 만년교(萬年橋)로서, 조선 후기 남부지방의 홍예교(虹霓橋) 구축기술을 보인다고 하여 학술적 가치가 크다. 또한 인근에는 연지못, 영산 석빙고, 영산약수, 영축산성, 영산 읍성지, 영산 법화암 다층석탑, 부곡온천 관광특구, 우포늪 생태공원, 화왕산군립공원 등 여러 문화재와 관광지가 있다.",창녕군
