,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가고파 꼬부랑길 벽화마을,경상남도 창원시 마산합포구 성호서7길 15-8,128.5696553,35.2077664,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,"가고파 꼬부랑길벽화마을은 2013년 12월 추산동과 성호동 일대 30여 가구를 잇는 골목에 조성됐다. 여행은 벽화마을 안내도가 설치된 성호서10길과 성호서2길이 만나는 지점에서 시작한다. 미국 러시모어산의 큰바위얼굴에 조각가 문신과 천상병 시인 등 창원시와 인연이 있는 예술가의 얼굴을 그려 넣은 벽화가 있어 쉽게 찾을 수 있다. 450m 남짓한 골목과 계단에 다양한 그림이 가득하다. 무지개 색깔로 칠한 짧은 돌계단 끝에는 마을 주민이 1910년부터 사용하던 백년우물이 있다. 마산항이 바라보이는 백년우물 옆 물지게 벽화는 가고파 꼬부랑길벽화마을 최고의 포토존이다. 이 외에도 몬드리안의 작품을 연상케 하는 벽화와 등용문을 의미하는 물고기 벽화, 담벼락을 카페 입구처럼 꾸민 벽화 등 좁은 골목 곳곳에 예쁜 그림이 가득해 걷는 내내 마음이 즐겁다. 가고파 꼬부랑길벽화마을을 돌아볼 때는 마을 주민이 생활하는 공간이라는 사실을 명심하고 사생활을 침해하는 행동은 삼가야 한다.[출처 : 창원관광]",창원시
1,가포수변공원,경상남도 창원시 마산합포구 가포본동7길 11-13,128.5842832,35.15528922,http://tong.visitkorea.or.kr/cms/resource/30/2799930_image2_1.JPG,"가포수변공원은 넓은 정원과 바다, 해변 산책로가 잘 조성된 도심 인근의 수변 문화공간이다. 정자, 잔디 운동장, 어린이 놀이터, 수변 데크, 바닥분수, 야외무대 등을 갖추고 있으며 야외에서 책을 읽을 수 있는 한뼘도서관도 마련되어 있다. 바닥이 폭신한 재질로 되어 있어 그 위 놀이기구에서 아이들이 뛰어놀기에 안전하며, 어른들도 해변을 따라 운동과 산책을 하기에 더없이 좋은 공간이다. 해변 산책로를 따라 걸으며 밤에는 마창대교의 야경을 즐길 수 있어 데이트 코스로도 추천할 만하다. 마산합포구청에서 승용차로 10분 정도의 거리이다.",창원시
2,가포해안변공원,경상남도 창원시 마산합포구 드림베이대로 361,128.5901743,35.15755019,http://tong.visitkorea.or.kr/cms/resource/85/2864185_image2_1.JPG,"경상남도 창원시 마산합포구 가포신항도로 끝자락에 있는 가포해안변공원은 탁 트인 바다 조망과 일출을 볼 수 있어 새해가 되면 많은 해돋이 관광객들이 방문하는 곳이다. 해안을 보며 걸을 수 있는 가포해안변 공원은 흙포장 산책로와 나무 데크, 해안 전망대, 정자 등이 있어 가족이나 연인과 함께 방문하기 좋다. 해안로를 따라 걷다 보면 마창대교가 한눈에 보이고, 밤에는 마창대교의 멋진 야경을 즐길 수 있는 곳이다. 가포해안변공원 곳곳에 벤치와 테이블이 있어 쉬어갈 수 있고, 간단한 음식 등을 먹을 수 있어 좋다. 나무 데크 산책로를 따라 걷다 보면 가포수변공원으로 길이 이어진다. 연인들의 데이트 코스로도 유명한 곳으로 저녁에 방문한다면 스카이워크 전망대 위에서 마창대교와 멋진 야경을 꼭 봐야 한다.
※ 반려동물 동반 가능(목줄, 배변봉투 지참)",창원시
3,거락계곡,경상남도 창원시 마산합포구 진전면 거락2길 6,128.3721854,35.14162582,http://tong.visitkorea.or.kr/cms/resource/41/2799941_image2_1.JPG,"거락계곡은 수심이 얕고 취사가 가능해 가족 단위로 물놀이와 피서를 즐기기 좋은 명소이다. 400년이 넘은 버드나무 51그루가 늘어선 거락숲은 시원한 그늘을 조성할 뿐 아니라 하천 수질을 정화하고 친수 공간을 만들어 안전한 물놀이 환경을 제공한다. 숲 그늘 아래에 평상이 있어 임대해서 쓰거나, 평상이 놓이지 않은 곳에 그늘막을 칠 수 있다. 어른 무릎 정도인 수심은 물웅덩이 없이 안정적이며 수질도 깨끗해서 어린이들이 놀기에 좋다. 주차장과 화장실 등 편의시설이 갖추어져 있다.",창원시
4,경화역 벚꽃길,경상남도 창원시 진해구 진해대로 649,128.6866547,35.1590351,http://tong.visitkorea.or.kr/cms/resource/71/2668471_image2_1.jpg,"경남의 벚꽃명소로 유명해진 경화역은 경남 창원시 진해구 경화동에 있는 작은 간이역으로 2006년부터 여객업무는 하지 않고 있다. 성주사역과 진해역 사이에 위치하고 있으며 철길따라 쭉 펼쳐진 벚꽃이 터널을 이루어, 안민고개나 진해 여좌천 다리와 함께 벚꽃 사진명소로도 유명하다. 벚꽃이 만발한 철길 위를 자유롭게 거닐 수 있으며, 벚꽃이 떨어질때면 열차에 흩날리는 벚꽃이 환상적인 낭만을 느끼게 해준다. 영화 `소년, 천국에 가다`와 드라마 `봄의 왈츠` 촬영지인 경화역에서 세화여고까지 이어지는 약 800ｍ 철로변 벚꽃은 여좌천보다 한가하게 벚꽃을 즐길 수 있어 연인들과 가족단위 관광객들이 많이 찾고 있다. 매년 벚꽃이 필 무렵이면 구경하러 오는 관광객들이 점차 늘어나 2009년에는 군항제 기간에만 일시적으로 여객업무를 재개하기도 하였다. 군항제 기간 중에는 벚꽃축제 셔틀열차를 운행하며, 이 곳을 지나는 열차들은 모두 서행운전을 하여 관광객들이 벚꽃의 낭만을 마음껏 즐길수 있도록 하고 있다. 최근에는 관광객들이 이용하기 편한 깨끗한 화장실도 새로 마련하였다.",창원시
5,고현리 공룡발자국화석,경상남도 창원시 마산합포구 진동면 고현장터길 39,128.479091,35.10276544,http://tong.visitkorea.or.kr/cms/resource/54/2484454_image2_1.jpg,"공룡은 중생대의 쥐라기로부터 백악기에 걸쳐 번성했던 길이 5∼25m의 거대한 파충류를 통틀어 말한다. 고현리 공룡발자국 화석은 능지물 바닷가 바위 위에 있다. 공룡 20마리의 발자국 화석 400개가 발견되었다. 발자국의 주인은 두발로 걸어 다니는 초식성 공룡으로서, 발자국 화석에 의하면 이들은 무리 지어 살았던 것으로 보인다. 뒷발의 길이는 35㎝ 정도이고 폭은 32㎝ 정도이다. 고현리 공룡발자국 화석은 발자국의 내부 구조를 잘 보여주고 있어 보존가치가 높은 자료로 평가되고 있으며, 공룡생태 연구에 큰 도움을 주고 있다.
* 면적 - 540㎡ ",창원시
6,관해정,경상남도 창원시 마산합포구 관해정길 17,128.5617225,35.2112742,http://tong.visitkorea.or.kr/cms/resource/64/2484464_image2_1.jpg,"회원서원(會原書院)이 있었다하여 서원곡(書院谷)이라 부른다. 조선중기의 학자 한강(寒岡) 정구(鄭逑)(1543～1620) 선생을 추모하는 뜻으로 그의 문하생들인 장문재(張文哉)선생이 지은 것으로 전한다. 서원은 고종(高宗)때 대원군(大院君)의 서원 철폐령으로 없어지고 정자만 남아 있다. 정면 4칸, 측면 2칸의 팔작지붕 건물을 중심으로 외삼문(外三門), 관리사(管理舍) 등이 있다. 해마다 음력(陰曆) 3월과 9월에 한강(寒岡)과 그의 문하생인 미수 허목(許穆)의 향사(享祀)를 모시고 있다. 관해정 앞에 있는 수령(樹齡) 440년이 넘은 은행나무는 한강(寒岡)이 손수 심은 것으로 전해지고 있다.* 규모 - 1동 *  재료 - 목조와가 * 시대 - 조선시대",창원시
7,구복마을,경남 창원시 마산합포구 구산면 구복리,128.5678618,35.07290094,http://tong.visitkorea.or.kr/cms/resource/68/2484468_image2_1.jpg,"마산에서 통영 쪽으로 난 산복 도로를 타고 반동을 지나 서쪽 산기슭을 접어들면, 잔잔한 호수 같은 구복 마을이 나온다. 이곳에서 저도 연륙교를 건너면 절벽 위에 횟집들이 정겹게 늘어서 있다. 섬 안쪽으로 조금 더 들어가면 나룻배 낚시터에서 낚시를 즐길 수도 있고, 밤엔 횃불을 밝혀 꽃게도 많이 잡는다. 가을엔 갯가가 석화 밭으로 변해, 그 자리에서 굴을 따서 먹으면 향긋한 맛이 입안을 감친다.",창원시
8,군항마을 역사길,경상남도 창원시 진해구 충장로 71,128.6606238,35.15343804,http://tong.visitkorea.or.kr/cms/resource/85/2519985_image2_1.jpg,"군항마을은 근대 역사의 중심지로 일제강점기의 아픔이 서려 있는 곳이다. 1912년 일제강점기 당시 일본은 진해 중앙동에 계획도시를 건설 하였고, 이 과정에서 살고 있던 주민들은 강제로 쫓겨나고 시가지는 일본인들이 고스란히 차지하였다. 일본은 이곳에 있던 1200년 된 팽나무를 중심으로 여덟 갈래의 방사직교형 시가지 길을 만들었다. 그 잔재로 군항마을에서는 근대역사 건축물들을 볼 수 있다. 군항마을 역사길에는 일본군 초소로 사용 되었던 수양회관, 단픙 목조건물 진해우체국, 요항부 병원장 관사 등이 있다.",창원시
9,굿데이뮤지엄,경상남도 창원시 마산회원구 봉암공단2길 22,128.5975692,35.2186518,http://tong.visitkorea.or.kr/cms/resource/52/2030852_image2_1.jpg,"무학은 마산과 함께 성장해 온 향토 기업으로 세계 주류 박물관을 운영한다. 생생하게  재현된 이곳의 역사와 3,000여 종의 다양한 주류, 시음 공간이 마련되어 있어 눈과 입이 기분 좋은 취기에 젖어볼 수도 있겠다. 굿데이뮤지엄은 자유 관람, 야간 개장, 콘서트 등 다양한 자체 행사를 지속적으로 선보이고 있다. 또한 2018년도부터 교육청과 함께 고등학교 3학년 학생들을 대상으로 주도 교육을 실시하고 있다.",창원시
