,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가탄마을,경남 하동군 화개면 탑리,127.6380179,35.19514014,http://tong.visitkorea.or.kr/cms/resource/42/2788042_image2_1.jpg,가탄마을은 경상남도 하동군 화개면 탑리에 있다. 마을 옛 이름은 선경과 같은 아름다운 여울이라는 가여울(가탄)이었다. 지금도 주민들은 가여울·개롤이라 부른다. 신선이 살면서 아름다운 여울에 낚싯대를 담갔다하여 가탄이 되었다 한다. 이곳은 지리산 둘레길 가탄?송정 구간 시작점이다. 이 구간은 화개중학교에서 약 400여m 떨어진 가탄마을 길가슈퍼 앞에서부터 전라남도 구례군 송정마을을 잇는 10.6km의 길로 하동에서 구례를 넘나들었던 작은 재가 이어져 있다. 대부분 숲길이며 섬진강과 나란히 뻗어 있어 시야가 트이는 곳에선 섬진강을 조망할 수 있다. 제법 경사가 있는 길이지만 숲과 강이 있어 상쾌하게 걸을 수 있다. 깊은 산골이지만 걷다가 자주 묵답을 만나게 되고 주변에 화개천과 십리벚꽃길이 있다.,하동군
1,경남 하동 악양면 [슬로시티],경상남도 하동군 악양면 악양서로 357,127.7089347,35.16238673,http://tong.visitkorea.or.kr/cms/resource/06/2026206_image2_1.jpg,"하동군 1읍 12면의 1면이며 면적은 51.8㎢ (농경지 12.4,  임야 35.2,  기타 4.2)이다. 위치는 동(東)으로 적량면, 서(西)는 화개면, 남(南)은 하동읍과 섬진강을 건너 광양시 다압면, 북(北)은 청암면과 접하며 1도 1시 5읍면과 접하고 있다. 지세는 1면 1촌식으로 형성되었으며, 지리산 준령의 3면이 분지형 산악이며 중심부는 악양천이 흐르고 토지는 비옥하다. 행정구역은 14개 법정리동에 30개 자연부락 53개 반으로 구성되어 있으며 1,735세대 3,800여 명이 살고 있다.

*감 중의 으뜸 대봉감
대봉감은 ‘과실중의 으뜸은 감이요, 감중의 으뜸은 대봉감’이라 할 정도로 색깔과 모양이 아름답고, 감칠맛이 난다. 하동 전체의 80%이상의 대봉감을 생산하는 악양면은 삼면이 둘러싸인 분지형으로 바람의 피해가 적고, 겨울이 따뜻해서 품질이 우수한 대봉감을 생산하기 적격이다. 악양면 평사리공원에서는 매년 10월 말, 대봉감축제가 열리며 감따기, 곶감 만들기 등의 다양한 체험도 할 수 있다.

*심신이 맑고 편안해지는 하동 야생차
통일신라시대 흥덕왕 때 대렴이 당나라로부터 차 종자를 가져와 왕명에 의해 지리산에 심어진 것이 차의 시초로 알려져 있다. 하동은 섬진강과 함께 여러 지류가 있어 안개가 많고, 다습할 뿐 아니라 일교차가 커서 차나무를 재배하기 쉽고 차나무가 자라기 좋은 토질을 가지고 있다. 녹차는 곡우를 전후해 잎을 따기 시작해 덖음과 비비기(유념) 작업을 거친 뒤 건조하여 만든다. 발효를 통해 다른 맛과 향을 지니게 만드는 홍차는 차 잎에 있는 폴리페놀 성분이 산화되면서 화학반응을 일으켜 독특한 향과 맛을 만들게 된다. 온도와 습도가 높을수록 발효가 빨리 진행되지만 18시간 정도의 자연발효를 거쳐야 더 좋은 차를 얻는다.
※ 슬로시티(Slow City)는‘ 느리게 살기 미학’을 추구하는 도시를 가리킨다. 2009년 2월 6일 이태리의 감파니아주 카이아죠시에서 열린 슬로시티 국제조정이사회에서 하동군 악양면이 단독으로 상정되어 우리나라 5번째의 슬로시티로 인증받았다.",하동군
2,관동마을,경남 하동군 적량면 관리,127.7660206,35.08553804,http://tong.visitkorea.or.kr/cms/resource/71/2788071_image2_1.jpg,"경남 하동군 적량면 관리 관동마을은 지리산 둘레길 하동읍~서당 코스 중간쯤에 있는 마을로 간이캠프장과 식수대가 마련되어 있다. 둘레꾼이 가져온 텐트를 칠 수도 있고, 캠핑장 옆의 수돗물도 쓸 수 있어 지리산 탐방객들이 하루쯤 묵어가기 좋은 곳이다. 또한, 관동마을회관 인근과 마을 입구에는 각각 1기씩의 고인돌이 있으며 조선 후기 연안 차씨 문중의 재실인 차운암 별묘도 있다. 관동마을에서는 매년 정월 초하루 자시(밤 11시~오전 1시)에는 이곳에 있는 당산 할배와 당산 할매에서 마을의 안녕과 풍요를 기원하며 지내는 마을 제사를 올리기고 있다.",하동군
3,관점마을,경상남도 하동군 청암면 관점길 66,127.7982773,35.14380705,http://tong.visitkorea.or.kr/cms/resource/48/2796748_image2_1.jpg,하동 청암면 관점교를 건너면 바로 관점(冠店) 마을이다. 용소는 마을 앞 청암천에 있는데 전설에 의하면 용굴에 불을 때면 용소에서 연기가 났다고 하는데 이것은 용굴과 용소를 지하 통로를 통해서 내왕했다는 이야기다. 용소는 가뭄이 심해도 물이 줄지 않고 비가 많이 와서 큰 물이 져도 토사로 메워지지 않는다고 한다. 그 깊이는 명주실 꾸리 3개가 다 들어간다고 하니 얼마나 깊었는지 짐작이 간다. 가뭄이 심할 때에는 마을 사람들이 이 용소에서 기우제를 지냈다고 한다. 평촌에서 돌다리를 건너서 관점 마을로 향하는 둘레길은 지루함을 피할 수 있는 운치 있는 코스다. 개울을 건너기 위해 다리를 건너는 편리함을 마다하고 여러 모양의 돌을 의지하고 건너는 재미는 옛 시절의 향수를 느끼게 해 준다.,하동군
4,괴목마을,경상남도 하동군 적량면 적량로 530,127.7491465,35.10798245,http://tong.visitkorea.or.kr/cms/resource/40/2796740_image2_1.jpg,"서당마을에서 우계저수지를 지나 만날 수 있는 마을이 괴목마을이다. 우계저수지는 산골마을의 중요한 농업용수를 공급하는 젓줄과도 같다. 우계저수지에서 적량 쪽을 바라보면 갓논으로 불리는 다랭이 논들이 한눈에 들어온다. 다랭이논 너머로 하늘색과 주홍빛 슬레이트 지붕을 소박하게 이고 있는 집들이 옹기종기 들어앉은 곳이 괴목마을이다. 괴목마을 앞에는 마을 사람들과 생사고락을 같이 하고 있는 괴목(괴목)나무가 서 있다. 옛날 마을을 기목정 또는 기먹징이라 불렀는데, 느티나무의 다른 이름인 ‘기목’과 정자나무를 뜻하는 ‘정(亭)’이 경상도식으로 ‘징’으로 발음된 것이다. 마을의 앞 들이 우계저수지 축조로 편입되어 마을은 우계저수지에 바짝 붙어 자리 잡게 되고, 마을 뒤로 들이 더 넓은 모양새를 하고 있다.",하동군
5,구노량마을(노량어촌체험마을),경상남도 하동군 금남면 노량해안길 175-17,127.8735453,34.94790817,http://tong.visitkorea.or.kr/cms/resource/34/2790834_image2_1.jpg,구 노량마을은 경상남도 하동군 금남면 노량리에 자리 잡고 있다. 옛 문헌에 따르면 대가야시대부터 어선의 기항지였다고 전해지고 있으며 일본과 교역한 최대의 무역항이고 국제항이었다고 한다. 음식점 등이 성업 중인 신 노량과 달리 구 노량은 자그마한 어촌이다. 낚시를 즐기기 위해 찾아오는 사람들이 많다. 마을에서는 남해대교와 노량대교를 조망할 수 있다.,하동군
6,구재봉자연휴양림,경상남도 하동군 적량면 중서길 60-81,127.744113,35.12899666,http://tong.visitkorea.or.kr/cms/resource/32/2759632_image2_1.jpg,"지리산과 섬진강의 청정 산수 경관을 모두 감상할 수 있는 하동 구재봉에 위치한 자연휴양림은 자연 생태계를 그대로 보전하여 일상 속 긴장감과 스트레스를 내려놓기 좋은 곳이다. 구재봉 자연 휴양림은 지리산 자락을 따라 나무들이 울창하여 맑은 공기를 마시며 등산을 할 수 있다. 휴양관, 트리하우스, 집라인, 에코어드벤처, 모노레일 등 다양한 레저시설을 갖추어 온 가족이 마음껏 즐기며 휴식을 취할 수 있는 힐링 공간이다. 구재봉 자연휴양림만의 특징으로는 트리하우스 모양이 동화 속에 나오는 집처럼 독특하여 누구나 한 번쯤 들어가 보고 싶은 마음이 생긴다는 것이다.",하동군
7,국사암,경상남도 하동군 화개면 목압길 104,127.6501685,35.23772999,http://tong.visitkorea.or.kr/cms/resource/19/2790219_image2_1.jpg,"국사암은 신라 839년(문성왕 원년)에, 중국에 가서 공부하고 귀국한 진감선사(眞鑑禪師) 혜소(慧昭)가 암자를 세워 주석하니 당시 산 이름은 두류산이고 암자의 이름은 보월암이었다. 진감선사 혜소는 여러 차례 왕의 부름에도 나아가지 않았으나, 민애왕이 스승으로 봉하여 진감국사라고 칭하였기 때문에 그가 머물던 암자를 국사암(國師庵)이라고 이름을 붙였다. 국사암은 진감국사 혜소가 지리산 쌍계사보다 먼저 세우고 주석하였던 곳으로, 암자에는 혜소가 짚고 다니던 지팡이를 꽂아 두었더니 살아서 나무가 되었다는 천년 넘은 느릅나무가 있어서 이를 증명하고 있다. 1711년(숙종 37)에 의삼이 홍은·연민과 함께 1714년까지 전각을 짓고 푸른 기와를 얹어 4존상을 봉안·장엄하였다. 뒤를 이어 용담·하산·용은 등이 차례로 중창·중수하였다고 한다. 그밖에 편액과 목조여래좌상, 석조석가여래좌상, 석조미륵보살좌상, 석조십칠나한좌상, 석조제화갈라보살좌상, 석조동자입상 등은 모두 조선 후기에 조성되었다. 문수전·인법당·산신각·대문 등을 1983년에 고산이 모두 새롭게 중건하여 현재의 모습이 되었다.
[출처] 한국학중앙연구원 - 향토문화전자대전",하동군
8,궁항마을,경남 하동군 옥종면 궁항리,127.8088193,35.20473927,http://tong.visitkorea.or.kr/cms/resource/89/2788089_image2_1.jpg,하동군 금성면에 있는 궁항마을은 넓은 평야지에 자리한 자연마을이다. 지리산 둘레길 위태?하동호 구간에 있으며 하동호 관리사무소까지 6.9Km 거리에 있다. 궁항리는 활목이라는 곳으로 오대 주산 아래 유명한 오대사 절터가 있으며 사방이 높은 산으로 둘러싸인 산골로 철 광맥이 있어 쇠를 구운 흔적도 남아 있다. 이 마을의 볼거리는 궁항 댐이 있고 뒤로는 가을 단풍이 아름다운 오대산이 있다.,하동군
9,금오산전망대,경상남도 하동군 금남면 경충로 493-223,127.8709916,34.99203372,http://tong.visitkorea.or.kr/cms/resource/51/2759651_image2_1.jpg,"경남 하동군의 동남쪽 해안 연안에 외연히 자리 잡은 금오산은 웅장하며 산세가 넉넉하고 유순한 산이다. 금오산 전망대에 올라가면 남해 전체를 바라볼 수 있을 정도로 조망이 좋다. 금오산 전망대는 산행을 하지 않고도 차로 오를 수 있어 접근성이 좋으며 전망대에 오르면 우측으로는 광양, 좌측으로는 사천을 한눈에 볼 수 있다. 특히 금오산 전망대에서 바라보는 일몰과 일출 풍경이 뛰어나 구경 오는 사람들이 많다. 또한 하동 금오산에는 아시아 최장 길이(3.2km)의 집와이어가 있어 극한의 스릴과 함께 바다를 볼 수 있는 짜릿한 경험도 즐길 수 있다.",하동군
