,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가야산 소리길,경상남도 합천군 가야면 가야산로 1783,128.0909094,35.79111416,http://tong.visitkorea.or.kr/cms/resource/49/1963749_image2_1.jpg,"가야산소리길은 홍류동 옛길을 복원하고 다듬어서 홍류동 계곡을 따라 완만하게 걸을 수 있도록 조성한 저지대 수평 탐방로이다. 홍류동 계곡을 따라가는 가야산소리길에는 주요 문화자원인 농산정과 더불어 칠성대, 낙화담 등 가야산 19명소 중 16개 명소가 있으며 자연과 역사, 경관을 함께 보고 느끼며 남녀노소 누구나 쉽게 탐방(체험) 할 수 있는 길이다.",합천군
1,각사산촌행태체험마을,경상남도 합천군 가야면 야천로 101,128.1395944,35.77297821,http://tong.visitkorea.or.kr/cms/resource/70/2484270_image2_1.jpg,"합천해인사 인근에 위치한 자연부락으로서 천해의 자연조건과 수많은 문화유적지 그리고 가야산 국립공원이 있는 지역이다. 유래를 살펴보면 옛날 각사라는 절이 있었으므로 각사라고 불렀다. 절터의 흔적은 찾을 수가 없으며, 상세한 내용은 전해지지 않고 있다. 야천 2구를 웃각사, 건너편에 있는 황산 1구를 아랫각사라고 부르고 있는 것을 보면 양편에 절이 있었던 것으로 보이며, 뒷산의 전경이 아름답고 앞에는 가야천의 맑은 시냇물이 흐르고 있다.",합천군
2,고불암,경상남도 합천군 가야면 치인5길 194,128.0517958,35.80250383,http://tong.visitkorea.or.kr/cms/resource/80/2800280_image2_1.JPG,"해인사 고불암은 1200년 역사를 가진 해인사의 산내 암자로서 해인사 암자 중 가장 높은 해발 900m에 법당이 있으며, 전체적인 건축구조와 형상이 산내 암자 중 해인사와 가장 비슷하며 전통적인 목조건물과 현대적인 건축물이 조화를 이루고 있다. 전통사찰식 목조건물은 법당을 중심으로 양옆에 육화당, 벽안당이 있고 앞으로는 고불루가 있다.",합천군
3,내천못재,경상남도 합천군 율곡면 내천리,128.2343989,35.60938176,http://tong.visitkorea.or.kr/cms/resource/48/2484948_image2_1.jpg,"못재는 합천군 율곡면 내천리 서쪽 지산 정상에 있는 연못으로 면적이 약 4백여 평이고 화산이 폭발하여 생긴 화구호라고 하나, 자연함몰로 생긴 것으로 추정된다. ""순채""라는 식물이 자생하는데 예전에는 이 식물이 나병, 피부병, 황달병 등에 특효약이라 하여 많은 환자들이 병을 치료할 약재를 구하기 위해 찾아 왔으며, 주변 잔디밭에는 인근 주민들이 몰려와서 편을 갈라 민속놀이인 씨름경기로 친목을 다졌다고 한다. 또한 임진왜란 때에는 왜병이 진을 치고 맞은편 백마산성에 주둔한 우리 의병과 접전을 벌였던 곳이기도 하다. 주변 지산공원은 천지못 바로 북쪽에 위치한 면적 1000여평의 군민 편의시설로 팔각정이 있고, 잔디밭과 주변나무그늘이 좋아 인근 주민들이 소풍을 즐기는 공원이며, 천지못 정상 천지봉은 사방을 한눈에 볼 수 있는 절경으로 정월대보름에는 주민들이 달집을 태우며 그 해의 풍년과 무사태평을 기원하는 일명 달맞이봉이라고도 하는 등 주위경관은 물론 유래가 깊은 자연발생 유원지이다.",합천군
4,대기 농촌체험휴양마을,경상남도 합천군 가회면 대기2길 17-3,128.0018372,35.46215811,http://tong.visitkorea.or.kr/cms/resource/11/2485211_image2_1.jpg,"경남 합천군 가회면 중촌리에 위치한 ""대기 농촌체험휴양마을""은 모산재외 누룩덤이 병풍을 두루고 마을 앞 수백년이 된 소나무 숲에서는 사계절 푸르던 기운을 느낄 수 있다. 들판에는 옛선비들이 글을 읽고 학동들을 훈육한 서당 매양재의 흔적을 볼 수 있으며, 대기 저수지의 푸른 물에서는 강태공들이 낚시대를 드리우며 물속에 잠긴 모산재의 비경을 한껏 감상할 수 있는 곳이다. 청정 무공해 농산물을 비롯하여 주 특산품으로는 황매산 표고와 블루베리, 복분자 등이 생산되고 있다. 2005년부터 농색농촌 체험마을이 운영되고 있으며 각종 전통놀이 및 농사체험이 이루어지고 있다.",합천군
5,대기철쭉꽃산촌생태마을,경상남도 합천군 가회면 대기2길 17-3,128.0018399,35.46219977,http://tong.visitkorea.or.kr/cms/resource/32/2795232_image2_1.jpg,"우리나라에서 봄 여행지로 소문난 곳이 철쭉으로 유명한 황매산이다. 매년 철쭉이 만개할 때는 산 정상에서 축제가 열리는데 방문객들만도 수십만 명에 이른다. 대기 철쭉꽃 산촌생태마을은 바로 이 황매산 자락 해발 700m 고지대에 있다. 봄이 오면 대기마을에서는 철쭉꽃 향기를 맡으며 여러 가지 체험을 할 수 있다. 산나물과 고구마를 채집하고, 복분자와 블루베리를 직접 채집하는 체험을 할 수 있다. 이외에도 사계절 정신수양과 육체단련에 좋은 현무도를 수련할 수 있다. 마을 안 폐교를 활용해 녹색 체험관을 마련했고 방문객을 위한 통나무 펜션 3개 동도 별도로 갖추고 있다.",합천군
6,덕원서원,경상남도 합천군 청덕면 성태길 81,128.3189671,35.58565264,http://tong.visitkorea.or.kr/cms/resource/08/2740008_image2_1.jpg,"세조(재위 1455∼1468) 때 이시애의 난을 맞아 당시 선봉장으로 활약하다가 장렬히 전사한 강열공 차운력·문절공 차원부·문목공 차포온의 학문과 덕행을 추모하기 위해 세운 서원이다. 덕원서원은 숙종 18년(1692) 세웠는데, 처음에는 호남승평에 세워 오천서원이라 했다. 그 뒤 지방 유림이 순조 6년(1806)에 청덕면 성태리로 옮겨 지어 덕원서원이라 하였다. 고종 5년(1868) 대원군의 서원철폐령으로 자진 철폐하였고, 고종 39년(1902) 지방 유림이 복원하여 현재에 이르고 있다.",합천군
7,들꽃공방,경상남도 합천군 가야면 황산1길 71,128.1357839,35.76314036,http://tong.visitkorea.or.kr/cms/resource/25/2800725_image2_1.jpg,"가야산 해인사로 가는 들머리에 가야면 소재지가 있다. 주변에서 가장 큰 도시이자 대부분의 편의시설이 몰려있는 곳이다. 대장경테마파크도 이곳에 있다. 도심 중앙에 염색체험을 하는 들꽃공방이 있다. 일반 가정집을 체험장 겸 공방으로 사용하고 있는데, 작지만 꽤 알차게 준비가 되어 있다. 마당 한 편에는 쪽 풀까지 심어놓고, 빨랫줄에는 염색한 천들이 가지런히 걸려 있다. 손쉽게 해 볼 수 있는 염색은 스카프나 손수건이다. 만들고자 하는 문양을 생각한 다음, 고무줄로 천을 묶는다. 세로로 묶으면 세로 문양이 나오고, 네모나게 겹겹이 묶으면 마름모꼴이나 사각형 문양이 나온다. 염색 농도 차이로 문양을 만드는 과정이다. 접은 천을 염색액에 넣고 몇 번 담근 후 물에 헹궈 말리면 된다. 염색 체험뿐 아니라 들꽃공방에서는 공예가인 주인의 작품을 전시해 놓고, 소품들은 팔기도 한다. 가야산의 들꽃처럼 화려하진 않지만, 자연의 느낌이 나는 스카프와 손수건, 방석 등이 구비되어 있다.",합천군
8,미숭산관광지,경상남도 합천군 야로면 미숭산로 343,128.1916772,35.72606224,http://tong.visitkorea.or.kr/cms/resource/40/2486040_image2_1.jpg,"미숭산 주변에 조성된 관광지이다. 미숭산 정상에는 삼국시대에 돌로 쌓은 미숭산성(경남기념물)이 있다. 조선 건국에 반대하여 이미숭(李美崇)이 항거한 곳이라고 하며, 조선시대에는 봉수대를 설치하였던 곳이다. 산성 안에는 망향대와 갑검능·연병장·봉화대·사당·장군수·동문·서문·남문이 남아 있고, 관광지 안에는 경남학생종합유영장 등의 시설이 있다. 인근에 해인사·청량사·가야산국립공원 등의 관광지가 많다. 고령읍 쪽에는 능선 주위에 가야 고분군이 있고 등산로 입구에는 대가야 유물전시관이 있다. 또 산 일대에 삼림욕장과 체육공원이 자리하고 있다.",합천군
9,백련암(합천),경상남도 합천군 가야면 해인사길 118-116,128.106205,35.79801643,http://tong.visitkorea.or.kr/cms/resource/48/2687548_image2_1.jpg,"백련암은 산내 암자 가운데에서도 가장 높은 곳에 위치하여 한가할 뿐 아니라 경계 또한 탁 트여 시원하다. 특히 암자 주변에 우거진 노송과, 환적대, 절상대, 용각대,신선대와 같은 기암이 병풍처럼 에워싸고 있어 예부터 백련암터를 가야산의 으뜸가는 절승지로 일컬어 왔다. 백련암을 처음 창건한 연대는 잘 알 수 없고 다만 선조 38년 곧 서기 1605년에 서산대사의 문하였던 소암스님이 중건하였다는 기록이 남아 있을 뿐이다. 오래 전부터 고승들이 즐겨 수행처로 삼아 오던 이곳은 역대로 산중 어른들이 주석해 왔다. 몇해전 성철스님께서 입적하기 전까지 주석하였다.",합천군
