,title,addr1,mapx,mapy,firstimage,overview,addr2
0,경산 임당동과 조영동 고분군,경상북도 경산시 청운2로9길,128.7536717,35.84376755,http://tong.visitkorea.or.kr/cms/resource/89/1615489_image2_1.jpg,"경산분지의 중앙에 남북 방향으로 놓여 있는 압량 구릉의 말단부에 해당되는 경산시의 동북방 영남대학교 앞 구릉(해발 50~75m)에 봉토분들이 밀집해 있다. 이들 대형분들은 가장 서쪽의 임당동 고분군, 중앙의 조영동 고분군, 동쪽의 부적리 고분군으로 나누어진다. 이 가운데 임당동 고분군은 영남대학교 앞 구릉의 주능선에서 서남으로 뻗는 지맥의 능선이 경산들과 만나는 곳에 위치한 것으로  능선의 상부를 따라 조영된  7기의 대형 봉토분이 분포하고 있는데, 이들은 단일의 원형분으로 보이는 것들도 있으나  몇 기의 무덤을 가진 각 봉토들이 연결되어 하나의 커다란 동산과 같은 형태를 취하게 된 것도 있다.임당동 고분군 가운데 4기(2,5~7호분)의 봉토분이 영남대학교 박물관에 의하여 1982년 발굴조사되었다. 조사결과 2호분은 남분과 북분으로 구성된 표형분이고, 5~7호분은  6개의 봉분이 이어져 하나의 동산과 같이 거대한 봉분으로 보이게 된 다곽식이었다. 각 단일 묘곽에 씌어진 봉분의 크기는 지름이 17~20m, 높이 4~5m 정도였다.묘제는 암광 목곽묘가 중심으로 이 곳의 기반암인 청석암반층을 파서 묘광을 만들고 거기에 목곽을 설치한 것이다. 이것들은 단곽식도 있었으나 장방형의 주곽과 방형의 부곽을 창자형으로 배치한 주부곽식이 대부분이었다. 또 지상에 할석과 천석으로 쌓아 올린 횡구식 석실묘도 1기 조사되었다. 매장주체부의 크기는 주곽이 길이 4m, 너비 2m, 깊이 2m,  부곽은 길이 4m, 너비 4m, 길이 1.5m 정도였고 주곽에는 장대석으로 뚜껑을 하였다.  여기에서는 금동관과 관식, 금제 귀고리, 은제 허리띠, 금동제 신발,금·은제 반지 등의 화려한 장신구와 금동제 고리자루 큰칼, 은장식 철투겁창, 금동제 화살통장식 등의 무구류, 금동제와 철제의 각종 마구류, 삼두마 굽다리 접시를 비롯한 각종 토기류 등 약 4,000여 점의 유물이 출토되었다. 특이한 것은 각 무덤에는 피장자의 인골들이 고스란히 남아 있었는데, 대형의 무덤들에는 주곽과 부곽에 각각 1~3인이 순장된 것이  밝혀졌다. 출토된 유물과 묘제로 보아 발굴된 것들은 4~6세기에 조성된 것으로 「삼국사기」등에 전하는 압독국(압량소국) 지배자들의 무덤으로 추정된다. 그리고 출토 유물이 모두 신라문화권의 양식을 충실하게 따르고 있으나, 질적인 측면에서 경주의 대형분들에는 미치지 못하는 것으로 보아 압독국은 신라의 지배를 받던 소국의 형태로 이 때까지 남아 있었던 것을 알 수 있다. 조사된 고분들 가운데 일부를 복원하고, 영남대학교박물관에 전시실을 마련하여 그 무덤의 구조를 알아 볼 수 있도록 하였다.",경산시
1,경산포교당(보문사),경상북도 경산시 장산로26길 20,128.7393654,35.81685921,http://tong.visitkorea.or.kr/cms/resource/20/1967220_image2_1.jpg,"도심사찰의 어려움은 한두가지가 아니다. 더구나 전통사찰일 경우 포교와 연관되는 불사의 어려움도 함께 수반된다. 그럼에도 가없는 정진과 함께 포교의 원(願)을 놓지 않는 까닭은 부처님의 자비원력에 대한 숭고한 종교적 약속을 지키기 위함일 것이다.‘경산 보문사(普門寺)’라는 이름을 함께 쓰고 있는 경산포교당은 전통사찰임에도 열악한 환경을 극복하려 많은 방법을 모색하며 안간힘을 쓰고 있는 사찰이다. 하양포교당과 함께 조계종 제10교구본사 은해사의 포교당으로는 단 2곳인 이 곳 경산포교당은 도심 빌라 숲에 가리워 신음하고 있다. 또한 하양포교당과 달리 매우 협소한 장소에 위치해 있어 전통사찰이라는 이름이 부끄러워질 정도로 안타깝다는 생각이 든다.여기에 주석하고 있는 스님도 전통사찰이라 불사도 제대로 하지 못하고 어느새 좁은 골목길을 사이에 두고 다가선 주택건물로 인해 전통사찰로서 보호받지 못하고 있는 실정이다.경산시 삼북동 어느 동네 골목에 자리한 경산포교당은 지하1층 지상 2층의 단촐한 주택식 건물이다. 입지적으로 갖추어지지 않아서 그렇지 여느 사찰과 마찬가지로 경산포교당은 포교당으로서의 역할을 충분히 수행해나가고 있으며 어느 누가 사찰을 찾아와도 가족같은 분위기를 만끽할 수 있다. 아마도 공간이 협소한 까닭도 일조했으리라 여겨진다.이러한 이점을 살려 지난 20년간 어린이법회를 거르지 않고 봉행해와 미래불교의 새싹인 지역 어린이 포교에도 선두를 점하고 있다. 경산포교당은 앞으로도 사찰을 벗어나 지역주민들과 함께 복지사업, 자원봉사 등 뜻깊은 실천운동을 통해 부처님의 가르침을 실천해 나갈 예정이다.",경산시
2,경흥사(경산),경상북도 경산시 남천면 모골길 196-55,128.7056168,35.7722303,http://tong.visitkorea.or.kr/cms/resource/30/1967230_image2_1.jpg,"예로부터 무병장생를 의미했던‘십장생(十長生)’은 우리네 일상생활에 깊숙이 관여해 왔다. 특히 그 중 학(鶴)은 우리의 풍수와 접합해 사찰의 배치조건과도 깊은 연관성을 지니게 되었다. 학이 의미하는 것이 바로 도도한 기상과 높은 생존력을 의미한다고 하니 학이 지닌 풍수와 관계된 사찰은 그 사세와 밀접한 관련성를 가지고 있다 하겠다. 동학산 경흥사는 이러한 학과 연관된 풍수를 지니고 있는 사찰이다. 동학산은 학의 형상을 하고 있으며 경흥사는 학의 부리에 해당하는 자리에 위치해 있다. 거기다 학의 서기(瑞氣)를 막기 위한 병풍산이 건너편에 있어 경흥사는 외부와도 차단된 지형적인 특성도 아울러 가지고 있다.특히 경흥사는 학의 도도한 기상을 닮아서인지 임진왜란 당시 의승군(義僧軍)들이 이 곳에서 최초로 훈련해 전장에 나가 용감히 싸웠으며, 또 사찰의 규모 역시 대단했다고 한다.현재 경흥사에 남아있는 고승의 부도들이 이를 묵묵히 증명하고 있으며 동학산 언저리에 잔존하고 있는 경흥사의 광활한 옛 절터에서도 초석과 석축 등이 곳곳에서 발견되고 있어 이 곳이 결코 미미한 사세가 아니었음을 역시 반증하고 있다. 그러나 일제강점기 때 경흥사가 임란 때 승병을 훈련시켰다는 이유로 탄압하고 한국전쟁 전후의 극심한 도굴 등으로 인해 절은 점차 피폐해졌다. 그러나 예전의 사세를 회복하려는 스님들의 노력으로 현재 경흥사는 대웅전, 명부전, 독성전, 산령각, 종각 등 대부분의 불사가 모두 마무리되어 동학산 기슭에서 경산시청법우회 등의 법찰로 지역포교에 매진하고 있다.",경산시
3,남매지,경상북도 경산시 계양동,128.7467256,35.82484178,http://tong.visitkorea.or.kr/cms/resource/52/2795252_image2_1.jpg,"경상북도 경산 시내에 자리한 저수지이다. 남매지라는 이름에 얽힌 슬픈 이야기가 전해져 오고 있는데 조선시대 때 부모를 잃은 가난한 오누이가 있었다고 한다, 아버지의 빚을 갚기 위해 오빠가 한양으로 떠난 사이 여동생은 심보 고약한 빚쟁이의 첩이 되고 말았다. 자신의 처지를 비관한 여동생이 저수지에 몸을 던졌고, 이 소식을 들은 오빠도 함께 자결하면서 이들 오누이가 목숨을 잃은 저수지 이름이 남매지가 되었다고 한다. 비극적인 전설과 달리 지금의 남매지는 경산 시민들이 즐겨 찾는 휴식처이자 도심 야경 명소로 사랑받는 데이트 코스가 되고 있다. 다. 매일 저녁 7시가 되면 저수지의 동쪽과 서쪽을 잇는 가교에 알록달록한 조명이 켜지는데, 저수지 둘레를 따라 가로등까지 불을 밝히며 화려하게 변신한다.  저수지를 따라 산책 삼아 걷기 좋다",경산시
4,대부잠수교,경상북도 경산시 하양읍 대조리,128.7985248,35.8891438,http://tong.visitkorea.or.kr/cms/resource/20/2796620_image2_1.jpg,"대구에서 경산으로 들어가는 길목에 자리한 대부 잠수교는 계절의 정취를 만끽할 수 있는 산책코스가 잘 가꿔져 있어 인기다. 넓게 펼쳐진 공간에 4월 초까지는 파릇파릇한 보리 새싹들이 보는 이들의 마음을 설레게 하고, 5월 말이 되면 싱그러운 청보리가 반갑게 맞아준다. 강변을 타고 부는 바람과 청보리가 부딪히며 화음을 이루는 자연의 소리도 귀는 물론 마음까지 맑아진다. 여름이 되면 대부 잠수교는 다시 황금빛 해바라기가 물결을 이룬다. 고흐의 그림을 연상시키는 낭만적인 해바라기 옆으로는 화려한 꽃 칸나 가 붉은 열정을 자랑하며 끝없이 펼쳐진다. 단, 햇빛을 피할 수 있는 공간이 따로 마련되어 있지 않아, 오전에 방문하거나 양산과 모자를 미리 챙기는 것이 좋다. 가을에는 알록달록 코스모스가 시민들의 발길을 멈추게 한다. 산책과 휴식 그리고 인생 샷을 남길 수 있는 곳으로 유명하다",경산시
5,대부잠수교해바라기밭,경북 경산시 하양읍 부호리 592-6,128.7985523,35.89855107,http://tong.visitkorea.or.kr/cms/resource/70/2795270_image2_1.jpg,"경산 하양 환상리 묘목단지와 하양 대경로를 잇는 지름길 역할을 하는 대부잠수교는 교량 높이가 낮아 금호강 수위가 상승하면 물에 잠긴다고 해서 잠수교라는 이름이 붙었다. 해바라기밭은 대부 잠수교 둔치 근방에 있는 꽃밭으로, 봄에는 유채꽃, 여름이면 해바라기, 가을이면 코스모스가 피는 꽃놀이 명소이다. 대부 잠수교 둔치 앞 주차 공간에 주차할 수 있다. 몇 년 전부터 시민들을 위해 계절마다 꽃을 심기 시작해 이제는 아름다운 장관을 연출하는 장소가 되어 많은 사람이 찾는다.  넓은 부지 안에 가득 핀 꽃과 함께 인생 최고의 장면을 찍을 수 있는 사진 명소이기도 하다.",경산시
6,반곡지,경상북도 경산시 남산면 반곡리,128.8066633,35.78051457,http://tong.visitkorea.or.kr/cms/resource/06/2726206_image2_1.jpg,"사진찍기 좋은 녹색명소 남산 반곡지는 1903년에 만든 농업용 저수지로 유역 면적은 79ha, 저수량은 3만9300톤에 이른다.  수백년 된 왕버들 20여 거루가 줄지어 선 150m 가량의 나무터널 흙길을 걷다보면 한적한 농촌마을의 정취와 삶의 여유를 느낄 수 있다. 2011년 3월에 문화체육관광부의 「사진찍기 좋은 녹색명소」로 선정되었으며, 2013년 10월에는 안전행정부의 「우리마을 향토자원 Best 30선」에 선정되기도 했으며,  드라마 <아랑사또전> <대왕의 꿈>, 영화 <허삼관> 등을 촬영지로 유명하기도 하다.",경산시
7,반룡사(경산),경상북도 경산시 용성면 용전1길 60,128.9295416,35.77251776,http://tong.visitkorea.or.kr/cms/resource/21/1967521_image2_1.jpg,"반룡사는 경북 경산시 용전면 구룡산 자락(반룡산)에 위치한 사찰로 대한불교조계종 제10교구 본사 은해사의 말사이다. 설총 키워낸 원효스님 주석처, 구룡산(九龍山) 반룡사(盤龍寺) 그 옛날 신라는 삼국을 통일할 즈음 경세(經世)를 실천해 나갈 이념적 토대와 이를 전파해나갈 새로운 기능, 즉 문자가 필요했다. 설총이 우리 고유의 이두(吏讀)를 만들기 전까지 아직도 신라는 어려운 중국의 문자를 쓰고 있었으며 이를 타파할 새로운 문자의 창안이 시급했던 것이다. 이러한 상황에서 원효스님과 요석공주의 아들로 잘 알려진 설총이 이두를 고안해내어 신라가 불교 뿐 아니라 유학까지 깊이 연구하게 돼 국가의 기틀을 잡아나가는데 크게 일조했으며 우리 선인들의 문자생활을 비롯한 우리 문화의 발전을 한층 앞당겼다. 이는 원효스님이 요석공주를 만나기 전 저자거리를 돌며 “어느 누가 자루 없는 도끼를 내게 주려는가. 내가 하늘을 떠받칠 기둥을 찍으리라.”며 노래했던 그 의미가 아마도 설총을 생산함을 예견해 나라의 기둥을 삼고자 했던 것은 아닐까. 또 훗날 설총이 저 유명한 ‘화왕계’를 지어 스스로 백두옹을 자처하고 임금에게 간하고자 했던 것도 원효스님의 그러한 뜻과 맞닿아 있기 때문이 아닐까. 국가의 동량인 설총을 키워낸 반룡사도 원효스님과의 깊은 인연 때문에 설총의 유년을 여기에서 보내게 되었지만, 정신적 귀의처인 일개 사찰이 얼마나 국가에 이바지할 수 있는지 여실히 보여주는 대목이기도 하다.더구나 신라의 임금과 왕후가 인근 왕재(王峙)를 넘어 이 곳에서 설총 모자와 함께 불공을 드릴 정도로 열과 성을 다했으니 반룡사가 차지하는 위상도 상당했을 것으로 사료된다. 그러나 반룡사는 조선시대로 내려오면서 억불정책과 화재로 인해 쇠락을 거듭해 왔다. 일제 격변기 속에서 거의 멸실되다시피 한 반룡사가 다시 제3의 중창기를 맞이하게 된 것이다. 사하촌인 인근 용전마을까지 모두 사역에 해당되던 반룡사는 고작 480여평 정도의 경내지만 남아있으나 가람을 하나둘 중건하고 구룡산 자락에 작은 길도 내어 ‘해동 3반룡사(평양, 고령, 경산)’라는 명성을 이어가는 토대를 닦아가고 있는 것이다.",경산시
8,불굴사(경산),경상북도 경산시 와촌면 불굴사길 205,128.7792472,35.94515933,http://tong.visitkorea.or.kr/cms/resource/62/1967562_image2_1.jpg,"불굴사는 팔공산 남쪽 기슭에 있으며 자연으로 이루어진 석굴 안에 부처님을 모셨다고 하여 불리워진 이름이다.신라 신문왕 10년(690)에 창건한 것으로  흥성기에는 50여동의 와가(瓦家) 12개의 부속암자, 8대의 물방아를 갖춘 대사찰이었다고 전해 온다. 조선 영조 12년(1739년)에 홍수로 떠내려가 없어지게 되었으나, 그뒤 전라도 송광사 노스님이 다시 세웠다고 한다. 경내에는 보물로  지정된 불굴사 3층석탑과 부처님의 진신사리를 모신 적멸보궁, 약사여래입상 부도 등이 있으며, 원효대사가 수도한 석굴이라 전하는 굴이 있는데 이를 ""원효굴""이라 부르며, 석굴속의 약수터는 신라시대에 조성된 것으로 아동제일약수(我東第一藥水) 라는 글귀가 뚜렷하게 새겨져 있다.  구전에 의하면 이 약수는 장군수라고도 하는데, 김유신 장군이 이 물을 마시면서 삼국통일의 염원을 기도하였던 장소로도 알려져 있다.특이한 것은 불굴사 주변 일대에 우기가 있으면 불상의 얼굴 부분에 땀이 나고 특히 큰비가 오기 전에는 불상의 온몸이 흠뻑 젖는다고 하는데  지금도 비가 온다는 일기예보가 있거나 하면 반드시 석불의 몸에 습기가 가득 찬다고 한다.",경산시
9,선본사(경산),경상북도 경산시 와촌면 갓바위로 699,128.7391523,35.98731492,http://tong.visitkorea.or.kr/cms/resource/39/2671639_image2_1.jpg,"대한불교조계종 직영사찰이다. 491년(소지왕 13)에 극달(極達)이 창건하였으며, 1641년(인조 19)에 수청(秀廳)이 중창하였다. 현존하는 당우로는 극락전을 비롯하여 산신각·요사채 등이 있다. 중요문화재로는 보물 관봉석조여래좌상(冠峰石造如來坐像)을 비롯하여 경상북도 유형문화재인 3층 석탑, 석등대석(石燈臺石) 등이 있다. 이 중 ‘갓바위 부처’라고도 불리는 약사여래좌상은 원광의 제자 의현(義玄)이 돌아가신 어머니를 위하여 638년(선덕여왕 7)에 이 여래상을 조성하였다고 한다.",경산시
