,title,addr1,mapx,mapy,firstimage,overview,addr2
0,감포항,경북 경주시 감포읍 감포로,129.5040375,35.80783294,http://tong.visitkorea.or.kr/cms/resource/49/179449_image2_1.jpg,"감은사지 3층석탑을 음각화한 아름다운 등대가 우뚝 솟아있는 감포항은 드나드는 어선이 많은 동해남부의 중심 어항이다.  감포항 방파제는 동해 일출을 감상하기에 좋은 포인트로  예전부터 널리 알려져 왔다. 감포항에는 바다를 전경으로 한 고유의 재래시장이 들어서 있으며 문무대왕릉에서 감포항으로 이어지는 해안도로에도 횟집과 민박집이 즐비하게 늘어서 있어  식도락가의  발길을 붙잡는다.  3일과 8일에 장이 서는 감포장은 바다가 바로 인접해 새벽에 들어오는 오징어배와 멋진 일출이 어울릴 때면 가슴이 벅차오는 것을 느끼게 되는 곳이다. 도로를 따라 서는 시장은 경주를 비롯해  구룡포 등지에서 몰려든 상인들로 붐비며, 특히 포구가 바로 옆에 있어 갓 잡아온 싱싱한 생선류가 많은 것이 특징이다.
감포항 방파제가 있는 곳에 조성된 감포해상공원도 또 하나의 즐길거리이다. 2018년 공원 조성을 마치고 해안데크, 바람개비 동산, 감포항 조형물과 벤치, 화장실, 주차장 등을 갖추었다. 해상공원과 연결되는 감포항 방파제는 낚시인들의 천국이고, 여행자들에게는 감은사지 3층석탑을 음각화한 아름다운 등대를 만날 수 있기에 또 다른 천국이다.",경주시
1,건천편백나무숲,경상북도 경주시 건천읍 단석로 1694,129.0774047,35.83302202,http://tong.visitkorea.or.kr/cms/resource/35/2752135_image2_1.JPG,"경주 건천으로 가면 피톤치드를 듬뿍 느끼고 체험할 수 있는 숲이 있다. 송선리 단석산 자락에 자리 잡은 건천편백나무숲이다. 이곳에는 시원스럽게 줄기를 뻗은 편백나무가 빽빽이 들어서 있다. 편백나무 사이에 설치된, 데크로 이루어진 산책로는 500m가량이다. 곳곳에 정자도 마련되어 있어 잠시 머무르기에도 좋다.*사진제공(경주시) - 경주시 관광자원 영상이미지",경주시
2,경상북도 산림환경연구원,경상북도 경주시 통일로 367,129.2388606,35.8117358,http://tong.visitkorea.or.kr/cms/resource/79/1891379_image2_1.jpg,"경주 남산자락에 위치한 경상북도 산림환경연구소에는 향토 희귀수목과 천연기념물, 야생화가 어우러진 아름다운 경관으로 도민의 휴식공간과 자연학습의 명소가 되고 있다. ",경주시
3,경주 감은사지,경상북도 경주시 양북면 용당리,129.4768555,35.7482197,http://tong.visitkorea.or.kr/cms/resource/15/2371515_image2_1.jpg,"감은사(感恩寺)는 신라 제30대 문무대왕이 삼국통일의 대업을 성취하고 난 후, 부처님의 힘으로 왜구의 침입을 막고자 이곳에 절을 세우다 완성하지 못하고 돌아가자 아들인 신문왕이 그 뜻을 좇아 즉위한 지 2년 되던 해인 682년에 완성한 신라시대의 사찰이었다. 문무대왕은 죽기 전  내가 죽으면 바다의 용이 되어 나라를 지키고자 하니 화장하여 동해에 장사지낼 것을 유언하였는데, 그 뜻을 받들어 장사한 곳이 바로 대왕암이며 부왕의 은혜에 감사하여 사찰을 완성하고 이름을 감은사라 하였다고 전하고 있다. 현재의 모습은 1979년부터 2년에 걸쳐 전면 발굴조사를 실시하여 얻어진 자료를 통해 창건  당시의 건물 기초대로 노출 정비한 것이며, 아울러 금당의 지하에는 바다용이 된 문무대왕의 휴식을 위한 상징적인 공간을 마련한 특수 구조와 동쪽으로 통로를 만들었다고 하는 흔적도 밝혀 놓은 것이다. 우뚝 솟은 두 삼층석탑은 만들어진 연대가  확실한  통일신라 초기의 석탑으로서 수십 개의 부분으로 나누어 만들어 조립식으로 세운 것으로 전체 높이 13.4m에 이르는 신라 삼층석탑 중 최대의 것이다.",경주시
4,경주 경애왕릉,경상북도 경주시 포석로 602-1,129.2084637,35.79613699,http://tong.visitkorea.or.kr/cms/resource/75/680975_image2_1.jpg,"경애왕은 신라 최말기의 왕이다. 성은 박씨이고 휘는 위응이다. 재위 4년 포석정에 遊宴(유연)할 때 불의에 견훤의 습격을 받아 비참한 최후를 마쳤다. 릉은 평범한 원형토분이다. 표면에는 아무 시설이 없고 릉 앞에 석상(石床)이 있으나 이는 최근에 설치한 것이다. 주변에 송림이 울창하고 봉토가 일반묘보다는 크므로 왕릉으로 구전되어 오고 있다. 경애왕의 최후와 당시의 국세가 재기할 수 없을 만큼 기울었다는 정세를 감안하더라도 왕릉으로서는 빈약한 편이다. 이 능은 신라 제55대 경애왕(재위 924∼927)을 모신 곳이다. 밑 둘레 43m, 지름 12m, 높이 4.2m 규모로 흙을 둥글게 쌓은 형태이다. 남산의 북서쪽 구릉의 끝이자 인천(麟川;기린내)의 동안(東岸)에 위치하고 있다. 왕은 제53대 신덕왕의 아들로 927년 포석정에서 잔치(연회)를 베풀고 있을 때 후백제 견훤의 습격을 받아 생을 마쳤다.",경주시
5,경주 계림,경상북도 경주시 교동,129.2189978,35.83264696,http://tong.visitkorea.or.kr/cms/resource/86/2493186_image2_1.jpg,"이 숲은 첨성대(瞻星臺)와 월성(月城) 사이에 위치해 있으며, 경주 김씨의 시조 알지(閼智)가 태어났다는 전설이 있는 유서 깊은 곳이다. (사적)신라 탈해왕(脫解王) 때 호공(瓠公)이 이 숲에서 닭이 우는 소리를 들었는데, 가까이 가보니, 나뭇가지에 금궤(金櫃)가 빛을 내며 걸려 있었다. 이 사실을 임금께 아뢰어 왕이 몸소 숲에 가서 금궤를 내렸다. 뚜껑을 열자 궤 속에서 사내아이가 나왔다 하여 성(姓)을 김(金), 이름을 알지라 하고, 본래 시림(始林), 구림(鳩林)이라 하던 이 숲을 계림(鷄林)으로 부르게 되었다.

계림은 신라의 國號(국호)로도 쓰이게도 되었다.  펑퍼짐한 숲에는 느티나무 등의 옛 나무들이 울창하게 우거지고 북쪽에서 서쪽으로 작은 실개천이 돌아 흐른다. 왕은 알지를 태자로 삼았으나 후에 박 씨 왕족인 파사왕에게 왕위가 계승되어 왕이 되지 못했고, 후대 내물왕 대부터 신라 김 씨가 왕족이 되었다. 경내의 비는 조선 순조(純祖) 3년(1803)에 세워진 것으로 김알지 탄생에 관한 기록이 새겨져 있다. 신라 왕성 가까이 있는 신성한 숲으로 신라 김 씨 왕족 탄생지로 신성시되고 있으며 지금도 계림에는 왕버들과 느티나무가 하늘을 가릴 듯하다. 대릉원-계림-반월성으로 이어지는 산책로 옆에는 봄이면 노란 유채꽃이 유적지의 운치를 더 깊게 해준다.",경주시
6,경주 구정동 방형분,경상북도 경주시 불국로 15-5,129.2969481,35.77858508,http://tong.visitkorea.or.kr/cms/resource/82/2493282_image2_1.jpg,"통일신라 때의 유일한 방형분(方形墳)으로 고려시대의 동식고분(同式古墳)의 계통을 알려주는 귀중한 고고학적 자료이다. 이 무덤은 경주 시내에서 약 9km 떨어진 대덕산(大德山) 남쪽 구릉 말단과 접하는 평지에 위치해 있으며, 네모나기 때문에 '방형분'이라 불린다. 남쪽으로 널길이 나 있고 그 안에 쌍여닫이 돌문이 있는 돌방무덤[石室墳]이다.한 변이 9m, 높이는 2.7m인 봉토로 되어 있다.방 서쪽에는 주검과 널을 얹었던 돌받침대가 있다. 바깥 아래쪽은 다듬은 돌로 호석(護石)을 둘렀고 방향에 따라 십이지신상(十二支神像)이 조각되어 있다. 모서리에 세웠던 돌기둥에는 무인상과 사자상이 돋을새김되어 있으며, 국립경주박물관으로 옮겨 전시하고 있다. 묻힌 사람이 누구인지 알 수 없지만, 통일신라시대의 네모무덤으로 특이한 것이다.* 호석(護石) 무덤의 봉분이 유실되는 것을 방지하고 무덤을 보호하기 위해 봉분 하단 가장자리에 돌려둔 깬돌이나 판돌. 둘레돌, 보호석",경주시
7,경주 김유신묘,경상북도 경주시 충효2길 44-7,129.1923887,35.84533113,http://tong.visitkorea.or.kr/cms/resource/66/179566_image2_1.jpg,"경주 고속버스터미널 옆 서천교를 넘어 오른쪽으로 김유신 장군 묘 가는 길이 있다. 이 길은 김유신 묘를 위해 특별히 낸 흥무로로, 봄이면 길가에 노란 개나리와 벚꽃이 만발하여 드라이브 코스로 인기가 높다. 묘자리는 송화산 줄기가 동쪽으로 뻗어 전망이 좋은 울창한 소나무숲속이며, 어느 왕릉에 견주어도 손색이 없는 화려한 모습을 하고 있다. 묘는 30m에 달하는 큰 원형분인데, 둘레에는 24장의 호석과 돌난간을 둘렀고 호석과 돌난간 사이의 바닥에는 돌을 깔았다. 호석은 12지 신상이 새겨져 있는데, 대개의 경우 능을 지키는 수호신으로는 갑옷을 입은 조각들이 새겨져 있으나, 이 묘의 12지 신상은 평복을 입고 무기를 들었다. 몸체는 정면을 보고 서 있으나, 오른쪽으로 고개를 돌려 주시하는 모습이 이색적이며 무장을 하지 않아 매우 온화해 보인다. 묘역에는 김유신장군의 위패를 모신 금산재의 비각이 있다.",경주시
8,경주 남산,경상북도 경주시 남산동,129.2305315,35.78398877,http://tong.visitkorea.or.kr/cms/resource/50/2037050_image2_1.jpg,"남산은 경주시의 남쪽에 솟은 산으로 신라인들의 신앙의 대상이 되어 왔다. 금오봉(468m)과 고위봉(494m)의 두 봉우리에서 흘러내리는 40여 개의 계곡과 산줄기들로 이루어진 남산은 남북 8km, 동서 4km로 남북으로 길게 뻗어내린 타원형이면서 약간 남쪽으로 치우쳐 정상을 이룬 직삼각형 모습을 취하고 있다.100여 곳의 절터, 80여 구의 석불, 60여 기의 석탑이 산재해 있는 남산은 노천박물관이다. 남산에는 40여 개의 골짜기가 있으며, 신라 태동의 성지 서남산, 미륵골·탑골·부처골 등의 수많은 돌속에 묻힌 부처가 있는 동남산으로 구분된다.

남산 서쪽 기슭에 있는 나정은 신라의 첫임금인 박혁거세의 탄생신화가 깃든 곳이며 양산재는 신라 건국 이전 서라벌에 있었던 6촌의 시조를 모신 사당이다. 포석정은 신라 천년의 막을 내린 비극이 서린 곳이다.  동남산에는 한국적 아름다움과 자비가 가득한 보리사 석불좌상, 9m 높이의 사면 바위에 탑과 불상 등을 새긴 불무사 부처바위,바위에 아치형 감실을 파고 앉은 부처골 감실석불좌상이 있다. 남산에는 미륵골(보리사) 석불좌상, 용장사터 삼층석탑, 국보 칠불암 마애불상군을 비롯한 11개의 보물, 포석정터,  나정과 삼릉을 비롯한 12개의 사적, 삼릉골 마애관음보살상, 입골석불, 약수골 마애입상을 비롯한 9개의 지방 유형문화재, 1개의 중요 민속자료가 있다.

유적 뿐만 아니라 남산은 자연경관도 뛰어나다. 변화무쌍한 많은 계곡이 있고 기암괴석들이 만물상을 이루며, 등산객의 발길만큼이나 수많은 등산로가 있다. 엄지손가락을 곧추 세워 남산을 일등으로 꼽는 사람들은  ""남산에 오르지 않고서는  경주를 보았다고 말할 수 없다"" 고 한다. 곧, 자연의 아름다움에다 신라의 오랜 역사, 신라인의 미의식과 종교의식이 예술로서 승화된 곳이 바로 남산인 것이다.",경주시
9,경주 남산 신선암 마애보살반가상,경상북도 경주시 남산동,129.2268429,35.78791882,http://tong.visitkorea.or.kr/cms/resource/80/2726880_image2_1.jpg,"경주 남산은 유물·유적의 보고(寶庫)라고 할 수 있는데, 여기에 가면 삼국시대부터 통일신라 후기까지의 불상들을 모두 만나볼 수 있다. 그중에 하나인 높이 1.4m의 마애보살 반가상은 칠불암(七佛庵) 위에 곧바로 선 남쪽 바위에 새겨져 있다. 마치 구름 위에 앉아 있는 것처럼 보이는데 머리에 삼면보관(三面寶冠)을 쓰고 있어서 보살상임을 알 수 있다. 얼굴은 풍만하고, 지그시 감은 두 눈은 깊은 생각에 잠긴 모습으로 구름 위의 세계에서 중생을 살펴보고 있는 듯하다. 오른손에는 꽃을 잡고 있으며, 왼손은 가슴까지 들어 올려서 설법하는 모양을 표현하고 있다. 천의(天衣)는 아주 얇아 신체의 굴곡이 사실적으로 드러나 보이며 옷자락들은 대좌(臺座)를 덮고 길게 늘어져 있다. 머리 광배와 몸 광배를 갖춘 광배 (光背) 자체를 불상이 들어앉을 공간으로 이용했기 때문에 보살상이 더욱 두드러져 보이며, 통일신라시대 8세기 후반의 작품으로 보인다.",경주시
