,title,addr1,mapx,mapy,firstimage,overview,addr2
0,개경포공원,경상북도 고령군 개진면 개경포로 681,128.3502165,35.70821713,http://tong.visitkorea.or.kr/cms/resource/98/1001698_image2_1.jpg,"개경포기념공원은 낙동강을 끼고 있는 고령군 개경포의 역사적 의미를 되돌아보기 위해 2001년 조성되었다. 공원에는 깔끔하게 손질된 넓은 잔디에 개경포의 유래를 적은 유래비와 표석, 팔각정·벤치 등의 휴식공간, 음수대 등의 시설이 갖추고 있다. 개경포는 조선시대까지 경상도 내륙지역의 곡식과 소금을 운송하던 커다란 포구였다. 즉, 경상도 삶을 이루던 곳이었다고 할 수 있는데 배를 타고 가는 길이 너무 아름다워 낙강칠현이라 불리던 송암 김면, 옥산 이기춘, 청휘당 이승 등이 뱃놀이를 즐기며 시를 읊은 곳이기도 했다. 그리고 1592년 임진왜란 때에는 의병장으로 활약하던 송암 김면이 궁중보물을 탈취해 운반하던 왜적 1,600여 명을 수장시키고 보물을 되찾은 현장이기도 하다.* 팔만대장경과 개경포의 이야기 *개포는 옛날 개산포라 불리웠다. 팔만대장경이 강화도로부터 운반될 때 서해와 남해를 거쳐 낙동강을 거슬러 온 배가 도착한 곳이 개산포였다. 영남 일대의 승려들이 이곳에 도착한 경판을 머리에 이고 열뫼재, 고령읍, 낫질신동재를 거쳐 해인사까지 운반했다 하여, 이후 경전이 도착한 곳이라 하여 개경포(開經浦)라 부르기 시작하였다. 일제강점기에 개포로 이름을 바꾸었으나, 예전의 역사를 의의를 되살리기 위하여 개경포로 바꾸었다.",고령군
1,개실마을,경상북도 고령군 쌍림면 개실1길 29,128.227459,35.66772226,http://tong.visitkorea.or.kr/cms/resource/14/2629214_image2_1.bmp,"조선중엽 영남사림학파의 종조인 점필재 김종직(1431~1492) 선생의 후손들의 집성촌으로 350여년간 전통을 이어오고 있으며, 점필재종택(민속자료), 도연재(문화재자료), 유점필재의 문적유품(유형문화재) 등의 문화재가 있다.현재 개실마을은 아름마을가꾸기 사업을 통해 도시민에게는 건전한 여가선용과 농촌체험의 기회를 제공하고, 지역민에게는 소득과 삶의 질을 향상시키는 한편 전통문화를 후세에 물려주기 위한 운동을 전개하고 있다.마을 안길을 흙담으로, 주민이 공동 식수로 사용하던 우물과 한옥 등을 보수/복원하여 옛고향의 모습을 갖추었다.
또한 상/하수도, 경로당, 마을회관 등 생활편의시설을 갖추고 주민이 함께 사용할 수 있는 인터넷카페와 등산로 개설 등 편리하고 쾌적한 주거환경을 마련하였다.주민들의 소득증대를 위해 채소, 버섯, 부추, 오이 등을 유기농으로 재배하고 이를 체험할 수 있는 벤처농장을 운영하고 있으며, 마을 브랜드 개발, 민박, 일선김씨 종가에 전승되는 한과, 안주 등 전통음식과 충효, 예절, 한문, 서예, 관혼상제 등의 전통문화의 상품화에도 최선을 다하고 있다.그 외에도 전국 각지의 도시 주민들을 대상으로 하는 농산물재배, 전통예절 및 놀이 등 각종 체험프로그램 개발을 통해 도/농교류를 활성화시키고 있습니다.",고령군
2,고령 고아리 벽화 고분,경상북도 고령군 대가야읍 고아리,128.2702622,35.71612312,http://tong.visitkorea.or.kr/cms/resource/72/2493172_image2_1.jpg,"6세기초 대가야시대에 축조된 가야지역 유일의 벽화고분. 1963년 당시 도굴된 상태로 발견되었으며, 남북길이 20m. 동서길이 25m. 높이 3.1m의 크기를 갖추고 있다. 현실과 연도를 갖춘 횡혈식 석실의 구조를 하고 있으며, 현실은 동서로 터널형을 이루고 있고, 연도는 현실 남벽 동편에 나 있다.원래 네 개의 벽면에 모두 벽화가 그려진 것으로 추정되지만, 지금은 천장에 그린 연꽃만 남아 있다. 천장 벽화는 벽면에 회를 바르고, 그 위에 백(白) ·적(赤) ·녹(綠) ·갈색 등으로 그린 연꽃은 겹꽃 모양이다. 꽃잎은 적색, 중심 꽃술은 녹색, 꽃술 주위는 백색, 꽃잎 내부는 갈색이다.국립중앙박물관에 소장된 금동마안금구(金銅馬鞍金具)가 이 고분 출토라는 설도 있다. 이 고분은 고구려벽화고분의 영향을 받은 것이며, 백제 벽화고분과도 통한다. 가야시대 말기의 고분으로 가야문화를 연구하는 데 중요한 유적이다.",고령군
3,고령 대가야유적지,경상북도 고령군 대가야로 1203 대가야박물관,128.2585881,35.72200835,http://tong.visitkorea.or.kr/cms/resource/66/2493166_image2_1.jpg,"고령 대가야유적지는 520년 동안(A.D.42 - 562) 번영하였던 대가야국의 도읍 고령에 있는 유적지들을 말한다. 최근 대가야 문화에 대한 연구가 활발해지고, 문화답사에 대한 일반인들의 관심이 고조되고 있다. 한반도의 문화와 역사를 바로 알기 위해서 고대 문화의 흔적을 살펴볼 만한 곳이다. 국내답사가들 외에 일본인이 많이 드나드는 곳이기도 하다.이 유적지에는 200여기의 고분이 밀집되어 있는 지산동고분군과 대가야시대의 대표적인 산성인 주산성, 대가야시대의 유일한 벽화인 고아동벽화고분 등 다양한 가야시대의 문화를 접할 수 있다.

* 알아두면 좋은 유적지내 문화 유적 *
1. 지산동고분군
고령읍 뒤편 주산의 주능선상에 축조된 대형 고분과 동남쪽 사면에 축조된 200여기의 고분을 말한다. 1977년부터 발굴한 32-35호 고분에서는 철제 투구, 갑옷, 금동관 등이 출토되어 지배계급의 무덤으로 밝혀졌고, 44-45호 고분은 고대 사회의 순장 제도를 보여주는 귀중한 유적지로 평가되고 있다. 사적 제79호로 지정되어 있으며, 문화재 보존과 방문자에 대한 공개를 위해 현재 대가야왕릉전시관이 2000. 9.18 개관 운영하고 있다.

2. 주산성
주산에 있는 산성으로 내성과 외성으로 이중의 성을 이루고 있으며, 총 길이가 
1,351m로 동쪽 구릉에 석축으로 견고히 쌓은 산성이 아직 남아 있다. 대가야시대의 대표적인 산성으로 추측되고 있고, 사적 제61로 지정되어 있다.

3. 고아동벽화고분
1963년 무덤에서 그림이 발견되어 조사됨으로써 세상에 알려졌다. 대가야 시대의 유일한 벽화고분으로 사적 제165호이다. 외형 직경은 동서로 약25m, 남북으로 20m, 높이 6.9m이다. 벽화는 벽과 천장에 회미장을 하여 그린 것이고, 천장의 판석 위에 분홍, 녹, 흑, 갈색으로 채색하여 그린 연화문(연꽃무늬)이 이채롭다. 고분은 고령읍 고아리에 소재하고 있으나, 보존을 위해 내부관람은 허용되지 않고, 실제와 같은 크기의 모사도가 고령군청에 전시되고 있다.

4. 대가야박물관
대가야왕릉이 모여있는 주산 기슭에 자리잡고 있는 대가야박물관은 대가야왕릉전시관과 함께 국내 유일의 대가야전문박물관이다. 2000년 9월에 개관한 대가야왕릉전시관은 국내에서 최초로 확인된 대규모 순장무덤인 지산리 44호분 전문전시관이다. 지산리 44호분의 내부를 원래의 모습대로 재현해 놓아 관람객들이 실물크기로 복원된 44호분 속으로 들어 가, 무덤의 구조와 축조방식, 주인공과 순장자들의 매장무습, 부장품의 종류와 성격 등을 직접 볼 수 있게 꾸며져 있다. 2005년 4월 개관한 대가야박물관은 대가야의 역사와 문화를 중심으로 구석기시대부터 근대에 이르는 고령지역의 역사와 문화를 종합적으로 이해할 수 있도록 꾸며져 있다. 또한 연간 1~2회 정도 기획전을 개최할 수 있는 기획전시실과 어린이 체험학습실, 야외전시장 등이 갖추어져 있다.

5. 대가야문화학교
폐교(구 월막초등학교)를 이용해 우리나라 목판 인쇄 문화인 판각과 고인쇄 문화를 단순히 관람하는 차원을 벗어나 직접 체험함으로써, 그 속에 깃든 조상들의 과학과 정신문화를 배울 수 있도록 한 곳이다. 이곳에서는 고인쇄체험, 판각체험, 한지공예, 다도체험 등 많은 프로그램을 운영하고 있으며, 학생, 어른, 외국인 할 것 없이 매년 많은 수의 관광객들이 찾고 있다. 대가야문화학교의 교장은 팔만대장경의 판각 기술 전승자이신 안준영씨로서 판각 경력 20년의 장인이다.

6. 왕정
대가야 시대 왕궁에서 사용하던 우물로 추정되고 있다. 가야토기와 기와파편이 이곳에서 출토되었으며, 현재 고령초등학교 내에 소재하고 있다.",고령군
4,고령 신촌숲,경상북도 고령군 쌍림면 신촌길 39-5,128.196609,35.6656886,http://tong.visitkorea.or.kr/cms/resource/32/1967232_image2_1.jpg,"* 가족 단위의 휴양지로 좋은 신촌숲 *
신촌숲은 신촌리에 위치한 휴양지이다. 아름드리나무가 무성한 신촌숲은 주차공간과 야영지가 넓어 캠핑을 하기에 안성맞춤이다. 마을 뒤쪽으로는 산이 있으며, 야산에서 흐르는 내와 경남 합천군 묘산에서 흘러오는 내가 서로 합류하여 안림천을 이룬다. 앞에는 깊지 않은 강이 흐르고 있기 때문에 가족단위의 물놀이 장소로도 좋다.
* 신촌숲이 아름다운, 신촌리에 대하여 *
자연마을로는 새나리, 송정 등이 있다. 새나리는 마을 주민들이 내왕하기 위하여 나루터를 만들려고 하는데 큰 새(봉)가 날아와 울어 이 나루 이름을 봉나루, 봉진이라 부르다가 새나루, 새나리로 바뀌면서 붙여진 동명이다. 송정은 해인사로 가는 국도변 산기슭에 위치한 작은 마을이다. 10여 가구가 있으며 이곳에 벽송정이라는 정자가 있어 송정이라고 부르게 되었다.",고령군
5,고령 장기리 암각화,경상북도 고령군 대가야읍 아래알터길 15-5,128.2921604,35.71281556,http://tong.visitkorea.or.kr/cms/resource/62/2493262_image2_1.jpg,"양전동 암각화는 높이 3m, 너비 5.5m의 직사각형 암벽에 새긴 그림으로, 1971년에 발견되었다. 암각화는 선사시대의 신앙과 생활상을 생생하게 표현한 그림으로, 주로 풍요로운 다산을 기원하는 주술적인 내용을 바위나 성스러운 장소에 새긴 것을 말한다. 양전동 암각화의 내용은 겹둥근무늬(동심원)와 십자무늬, 탈모양(가면형) 등이 조각되어 있다. 세 겹의 동심원은 4점으로 해와 달을 상징하고, 십자형은 부족사회의 생활권을 표시한 것으로 추정되며, 가면형은 모두 17점으로 사람의 얼굴 형태를 하고 있다.양전동 암각화 유적은 당시 주민들의 농경의식이나 제사 때 사용했던 장소로 추정되며, 이곳에 새겨진 각종 문양들은 우리나라 선사문화 연구의 귀중한 자료로 간주된다. 또한, 고령의 알터에 암각화가 있는 것으로 보아 《삼국유사(三國遺事)》 등에 나오는 난생설화(卵生說話)의 근원을 찾아볼 수 있으며, 6가야의 중심지가 김해가 아니라 고령으로 추측하는 가설도 나오고 있다. ",고령군
6,고령 주산성,경상북도 고령군 고령읍 중화리,128.2603459,35.73615956,http://tong.visitkorea.or.kr/cms/resource/03/1004703_image2_1.jpg,"* 대가야시대의 산성, 고령 주산성 *고령의 서쪽에 있는, 이산(耳山)이라고 불리기도 하는 주산(主山, 311m)에 있는 성으로 가야 시대의 산성이다. 정상부에서 6부 능선까지 내려오면서 능선상에 내. 외 이중으로 축조된 테뫼식으로 성(城) 전체의 길이가 1,351m로 토석으로 견고히 석축한 성벽의 일부가 남아 있다. 당시 신라군에 대항하기 위해 대가야 시대에 축조된 산성으로 추정하고 있으며 지표 조사 결과 성내에는 망대 8개소, 건물지 2개소, 연못지 1개소가 있고 삼국시대의 석곽 1기가 확인되었다. 읍내에서 산성으로 올라가는 산책로가 당시 성내로 통하는 통행로가 아닌가 추정하고 있으며, 주위의 지산동고분군과 연조리 추정 궁성지 등과 연결되는 대가야시대의 핵심적인 산성이다.* 고령주산성과 가야시대의 고분군의 의의 *성보에서부터 남쪽으로 이어지는 능선 위에 큰 고분 5기가 한 줄로 늘어서 있고, 부근에 대가야시대 고분군들이 흩어져 있다. 성내에는 인근의 지산동 고분군에서 출토된 것과 같은 가야시대의 각종 토기 조각과 통일신라 및 고려·조선시대의 유물들이 출토된 것으로 보아 이 산성이 오랜 세월 이 지역의 중심 요새 역할을 하였던 것으로 짐작된다.[문화재 정보]지정번호 : 사적지정연도 : 1963년 1월 21일시대 : 삼국시대크기 : 면적 895,171㎡종류 : 성곽유적",고령군
7,고령 지산리 당간지주,경상북도 고령군 대가야읍 지산리,128.2657401,35.72740787,http://tong.visitkorea.or.kr/cms/resource/69/2493269_image2_1.jpg,"지산리 당간지주는 3.14m의 높이의 당간지주로 1963년 1월 21일 보물로 지정되었다. 지산동 민가 안에 있는데, 그 일대가 부락으로 변하여 옛 절터를 찾아볼 수 없으나, 원위치에 원상태로 70cm의 간격을 두고 동서로 마주보고 있는 것을 미루어 당시 이 일대가 대사찰이었을 것으로 추정하고 있다.외면의 모서리를 죽이고 종문를 조각하여 매우 장식적이고 화려한 의장 수법을 보이고 있다. 지주의 정상부는 뾰족하고 바깥으로 내려오면서 3단의 굴곡을 활 모양의 선으로 처리하였으며, 지주의 안쪽에는 간공 2개가 있는데 이들은 장방형의 형태로 구멍을 뚫어 간을 끼우도록 하였다.지산동 당간지주는 상·하부의 크기가 거의 같아서 약간 둔중한 인상을 주지만 지주의 바깥둘레 각 면의 조각장식 수법으로 보아 가작(佳作)이라 할 수 있다. 또한, 전체적으로 화려하고 단아한 조각이나 솜씨를 보이고 있다. 이러한 조각기법과 다듬은 돌 등을 보아 통일신라시대 중기(8세기경)에 건조된 것으로 추정되어 진다.",고령군
8,고령예마을,경상북도 고령군 덕곡면 덕운로 816,128.2134346,35.79319392,http://tong.visitkorea.or.kr/cms/resource/62/2629762_image2_1.bmp,"수려한 자연과 풍성한 즐길 거리와 특색 있는 체험들로 해마다 많은 관광객들이 찾고 있다. 예마을에 들어서면 조형미가 느껴지는 예마을 건축의 아름다움이 가장 먼저 우리의 시선을 사로잡는다. 고급 유럽풍의 아늑한 건물과 넓은 잔디광장이 어우러져 다양한시설에 설레면서도 동시에 아늑함이 느껴진다. 총 면적 16500㎡, 2개의 센터건물과 숙박시설, 야외물놀이장, 잔디광장, 카라반,오토캠핑장, 체험장, 마방 등을 고루 갖춘 가족형 리조트이다.예마을은 체험휴향마을과 농어촌인성학교로 지정된 곳으로 우리 아이들이 올바른 성장을 할 수 있도록 지역에서 재배한 건강한 농산물과 재료들로 다양한 체험학습을 진행하고 있으며, 아이들이 깨끗하고 쾌적한 공간에서 안전하고 재미있게 소중한 추억을 만들 수 있도록 예마을 체험장을 신설하여 운영하고 있다.",고령군
9,고령은행나무숲,경상북도 고령군 다산면 좌학리 969-2,128.4366339,35.81064879,http://tong.visitkorea.or.kr/cms/resource/43/2674943_image2_1.jpeg,은행나무숲에 둘러싸여 잠시나마 답답함을 내려놓고 가슴 깊숙이 맑은 공기를 마실 수 있는 곳이다. 키크고 가을 색감을 띈 은행나무들은 마치 비밀의 숲에 온듯한 기분을 선사한다. 또한 낙동강을 끼고 있어 수변의 억새 또한 장관이다.,고령군
