,title,addr1,mapx,mapy,firstimage,overview,addr2
0,강변공원,경상북도 김천시 강변공원길 169,128.0905362,36.1289258,http://tong.visitkorea.or.kr/cms/resource/79/2754079_image2_1.JPG,"강변공원은 김천을 대표하는 산책로이자 휴식 공간이다. 이곳은 20,000㎡의 면적에 주차장, 놀이마당, 다목적광장, 배드민턴장 등 각종 편의시설이 마련되어 있다. 김천 시민들로부터 기증받은 수목류와 돌을 이용해 조경 시설을 만들었다. 강변공원은 가을철에 접어들면 핑크뮬리가 장관을 이룬다. 이 덕분에 김천 시민은 물론 전국 각지에서 찾아온 관광객으로 인산인해를 이룬다.",김천시
1,국립김천치유의숲,경상북도 김천시 증산면 수도길 1237-89,128.0022378,35.85141406,http://tong.visitkorea.or.kr/cms/resource/41/2675641_image2_1.JPG,"자작나무숲 속에서 산림 치유를 받고 싶다면 국립김천치유의숲을 방문하길 추천한다. 집콕생활로 인해 쌓인 피로를 해소하기에 그만인 이곳은 자작나무숲 뿐만 아니라 숲명상길, 데크 산책길, 전망대, 출렁다리 등을 만날 수 있고 가볍게 산책하고 싶어하는 등린이부터 높은 난이도를 즐기는 프로 등산러까지 모두 만족할 수 있는 산길이다.",김천시
2,김천 녹색미래과학관,경상북도 김천시 혁신6로 31,128.1845252,36.12466688,http://tong.visitkorea.or.kr/cms/resource/53/2369353_image2_1.jpg,"놀다 보면 과학 아이디어가 술술김천 녹색미래과학관은 지속가능한 미래를 꿈꾸는 창의과학 놀이터이다. 생활과 자연의 에머지를 생각하고 무한한 상상의 나래를 현실로 만들어가는 아이들을 위한 체험과학 실습장이다. 4D풀돔영상 관람, 주말 과학체험부스 등 다양한 프로그램을 운영하고 있다.",김천시
3,김천 물소리 생태숲,경상북도 김천시 부항면 파천2길 480,127.9181624,36.03760529,http://tong.visitkorea.or.kr/cms/resource/78/2793178_image2_1.jpg,"경상북도 김천 삼도봉 자락에 위치한 물소리 생태 숲은 2017년 시민들을 위한 산림 휴식 공간으로 처음 문을 열었다. 맑은 부항천의 최상류가 흐르는 이곳은 예부터 계곡 물소리가 워낙 커서 옆 사람과 대화가 어려울 정도였다고 한다. ‘물소리 생태 숲’으로 이름 붙여진 것도 그러한 이유 때문이다. 계곡을 중심으로 약 5만㎡의 생태 숲이 펼쳐져 있는데, 아이들이 걷기 좋은 완만한 산책길부터 제법 가파른 계단, 다양한 테마의 정원과 출렁다리 등이 설치돼 있다. 특히 출렁다리가 설치된 골짜기는 과거 산이 높아 사람의 접근이 어려웠다고 한다. 탐방로 한쪽에는 화전민의 집도 복원해 특별한 볼거리가 된다. 입구 방문자 센터에는 생태숲이 만들어지게 된 과정을 다양한 체험을 통해 살펴볼 수 있는 전시공간과 방문자들을 위한 휴식공간이 마련돼 있다. 미리 전화로 예약하면 유아들을 위한 숲 체험 프로그램도 참여할 수 있다.",김천시
4,김천친환경생태공원,경상북도 김천시 대항면 직지사길 118-50,128.0113741,36.11938656,http://tong.visitkorea.or.kr/cms/resource/02/2794702_image2_1.jpg,"직지사 인근에 자리한 김천 친환경 생태공원은 파릇파릇한 잔디밭은 물론 선인장 온실과 생태 연못, 철쭉 동산 등으로 구성되어 햇살 좋은 날 여유롭게 쉬어가기 좋은 곳이다. 공원에 들어서면 드넓은 잔디광장이 먼저 눈에 들어오는데, 곳곳에 사막 도마뱀 조형물이 자리해 이색적인 풍경을 즐길 수 있다. 투명한 유리 외관이 인상적인 선인장 온실은 한겨울에도 초록빛 가득한 풍경이 넘쳐난다. 온실 안에는 150속 450종의 총 600개의 선인장과 다육식물들이 심어져 있다. 매년 봄이면 연홍색 꽃이 피는 철쭉동산을 만날 수 있다. 산철쭉과 백철쭉, 영산홍, 자산홍이 한데 어우러진 철쭉동산은 5월이면 흐드러진 꽃밭을 이룬다. 그 옆에는 정겨운 장독대와 공원이 한눈에 내려다보이는 전망대와 이국적인 풍차가 볼거리를 더한다.  가족끼리 연인끼리 산책하기 좋은 곳이다.",김천시
5,산내들패밀리어드벤처파크,경상북도 김천시 지례면 부항로 109-38,128.0157554,35.97706671,http://tong.visitkorea.or.kr/cms/resource/54/2501554_image2_1.JPG,"경북 김천시 지례면, 부항댐 아래에 자리 잡고 있는 산내들 패밀리어드벤처파크는 `물`을 테마로한 자연 친화형 놀이공원으로 도심에서 접하기 어려운 카약, RC카 레이싱,드론, 물놀이 및 각종 체험 프로그램등을 온 가족이함께 글램핑을 즐기면서 접할 수 있는 테마형 놀이공원이다.부항댐의 수려한 자연 경관과 어우러진 최고시설의 글램핑장은 물론 국내최초로 약500미터 길이의 초대형 인공 수로에서 즐기는 카약 체험장, 국제규모의 F1 레이싱 코스를 본딴 R/C카 레이싱 서킷 및 드론 레이싱 코스를 갖추고 있다.또한 고가의 카약, GPS 장착 FPV드론 및 R/C카는 모두 대여가 가능 함으로 합리적인 가격으로 온 가족이 부담없이 함께하는 더 없이 좋은 놀이와 체험의 장이 될 것이다.주변 시설로는 인조잔디 축구장, 농구코트, 게이트볼장 및 물놀이장을 갖추고 있어 어린이 뿐 아니라 남녀노소 누구에게나 즐거움을 선사해줄 최고의 공간이 될 것이다.",김천시
6,수도산자연휴양림,경상북도 김천시 대덕면 증산로 326-71,127.9838272,35.89182303,http://tong.visitkorea.or.kr/cms/resource/57/2369357_image2_1.jpg,"소백산맥 중 명산의 하나인 수도산은 대가천과 무흘구곡 등 주변계곡의 경관이 아름답고, 청암사와 수도암으로 대표되는 이름난 고찰을 품고 있다. 정상은 바위로 이루어져 있으며, 진달래, 싸리, 억새 등 관목과 초본류가 군락을 이루고 있다.수도산 자락에 위치한 수도산 자연휴양림은 울창한 숲으로 둘러싸여 있으며 임도를 따라 약 4km정도의 계곡에는 사시사철 맑은 물이 흐른다. 계곡이 만들어낸 작은 폭포는 주변 숲과 어우러져 절경을 이루고 탐방로의 주변에는 침엽수림이 있어 언제든지 상쾌한 산림욕을 즐길 수 있다.또한 산장이 깨끗하고 산책로, 물놀이장, 세미나실이 있어 가족단위 뿐만 아니라 단체 등의 휴식처로도 각광을 받고 있다.",김천시
7,수도암(김천),경상북도 김천시 증산면 수도길 1438,127.9972907,35.86192667,http://tong.visitkorea.or.kr/cms/resource/56/2687556_image2_1.jpg,"* 천 년의 역사가 고즈넉이 묻어있는 곳, 수도암 *수도암은 수도산(해발 1,317m)의 상부에 위치한 도량으로, 옛날 도선국사가 이 도량을 보고 앞으로 무수한 수행인이 나올 것이라 하여, 산과 도량 이름을 각각 수도산, 수도암이라 칭하였다는 데에서 유래되었다. 그러나 백여 년 전터 부처님의 영험과 이적이 많다하여 사람들이 불영산이라고도 부르게 되었다.수도암은 통일신라 헌안왕 3년(859)에 도선국사가 창건했다. 도선은 청암사를 창건한 뒤 수도처로서 이 터를 발견하고 기쁨을 감추지 못하여 7일 동안 춤을 추었다고 한다. 그 뒤 여러 번의 중수를 거쳐 오늘에 이르고 있다.한편 경내에 있는 석불상과 석탑, 그리고 지형을 상징한 석물 등도 모두 천여 년의 역사를 지니고 있다. 매우 조용하고 한적한 곳으로서, 암자까지 걸어 오르는 숲이 우거진 오솔길은 아늑한 정취를 느끼게 해 준다.* 수도암이 위치하고 있는 수도산 *경상북도 김천시 증산면과 대덕면, 경상남도 거창군 가북면의 경계를 이루는 산. 소백산맥 중의 명산의 하나로서 동쪽에는 가야산 국립공원, 서쪽에는 덕유산 국립공원이 있어 경치가 수려하다.가야산을 분수령으로 한 비교적 높은 산으로 일명 불영산, 선령산이라고도 한다. 수도산에서 동남능선을 따라 가면 단지봉(1,327m)과 목통령을 거쳐 가야산에 닿는다. 수도산 - 민봉산 - 가야산 능선 종주는 평균 고도 1,200m 고원에 수림과 초원, 바위길이 잘 어울려서 마치 지리산을 종주하는 느낌이다. 수도계곡은 구비구비마다 독특한 절경의 연속이고, 산기슭에는 비구니 스님들이 수행하는 청암사 승가대학이 있다. ",김천시
8,애니멀필드,경상북도 김천시 농소면 신촌리,128.1745233,36.12544439,http://tong.visitkorea.or.kr/cms/resource/82/2766982_image2_1.jpg,"애니멀필드는 경상북도 김천에 있다.다양한 동물들을 접할 수 있는 동물체험장이다. 포유류, 조류, 파충류, 어류 등 약 100여 종의 동물들이 살고 있다. 야외, 실내로 구성되어 있으며 가까운 거리에서 동물들의 행동을 관찰하며 직접 보고 듣고 만질 수 있는 특별한 공간이다.",김천시
9,오봉저수지,경상북도 김천시 남면 오봉리 1218,128.2363568,36.1223542,http://tong.visitkorea.or.kr/cms/resource/05/2754105_image2_1.jpg,오봉저수지는 금오산 아래 자리 잡고 있다. 이곳은 여름이면 수상스키를 즐기는 관광객이 많이 찾아온다. 산책로가 조성되어 있어 누구나 쉽게 저수지를 둘러볼 수 있다. 중앙에 위치한 정자에서는 저수지의 시원한 풍광을 감상할 수 있다. 저수지 인근에는 갈항사지 석조여래좌상 등 문화재가 있어 연계 관광에 나서기에도 수월하다.,김천시
