,title,addr1,mapx,mapy,firstimage,overview,addr2
0,경북전통음식체험관 모심정,경상북도 문경시 마성면 봉생1길 13,128.1191188,36.66194881,http://tong.visitkorea.or.kr/cms/resource/75/2007975_image2_1.jpg,"경북 전통음식 체험관 모심정은 문희경서의 고장에서 전통발효음식을 기반으로 하는 체험교육관이다. 선조때부터 내려오던 서민음식의 대표적이었던 된장, 간장, 장아찌 등 발효음식에 대한 전통의 손맛과 변하지 않는 어머니의 손맛을 그대로 느낄 수 있으며, 지역 향토음식을 계승, 발전시켜 국민들에게 건강하고 바른 먹거리는 물론 약식동원을 토대로 한 음식체험관, 교육관, 전시실 발효체험관, 약초카페, 텃밭 체험장, 전통혼례체험 등을 할 수 있는 곳이다.",문경시
1,국립 대야산자연휴양림,경상북도 문경시 가은읍 용추길 31-35,127.961977,36.670906,http://tong.visitkorea.or.kr/cms/resource/70/1958770_image2_1.jpg,"* 체험과 자연을 동시에 누릴 수 있는 곳, 대야산자연휴양림 *관광도시로 널리 알려진 문경시의 8경중 중심부에 위치하고 있으며, 대야산(930m)과 둔덕산(970m) 사이로 흐르는 용추계곡, 선유동계곡의 수려하고 청정한 물은 여름철 많은 방문객을 반긴다. 신라9산선문의 봉암사, 견훤유적지, 운강 이강년 생가지, 문경새재 등 역사적으로 유명한 곳이 휴양림 인근에 위치하고 있어 어린이들의 학습에도 많은 도움을 줄 수 있다.* 대야산자연휴양림의 다양한 볼거리 *휴양림에는 산악인을 위한 방문자안내소, 가족들이 편히 쉬어 갈 수 있는 산림문화휴양관과 ?가족들이 함께 체험할 수 있는 도자기체험장, 숲체험로 등 다양한 시설을 고루 갖추고 있다. 이러한 시설을 기반으로 도자기 전시관, 생태공원, 클레이 사격장, 레프팅, 드라마 오픈세트장 등 다양한 체험학습과 관광 및 레포츠를 누구나 쉽게 접할 수 있다. 또한, 앞으로 산막과 야생화원, 야생식물관찰원, 숲속교실 등도 조성될 예정이다. ",문경시
2,궁터산촌생태체험마을,경상북도 문경시 농암면 궁터길 181,127.9628841,36.61363203,http://tong.visitkorea.or.kr/cms/resource/36/1958736_image2_1.jpg,"낮에는 너무도 고요해 찾아드는 산새와 벗하고 밤이면 머리맡으로 별들이 아름답게 펼쳐지고 별똥별이 떨어지는 곳, 그래서 떠날 때 더없이 아쉬움이 남는 마을이 있다. 문경시 궁터마을이 바로 그곳. 32번 국도를 빠져 나와 구불구불 덜컹이는 비포장 도로를 달리면 찾을 수 있는 곳으로 후백제 견훤왕의 아버지 아자개의 고향이며, 견훤왕이 어린 시절 호연지기를 기르던 곳이다. 마을 뒷산에는 원효대사와 의상대사의 수행처가 자리한 신성한 터이다.궁터마을 팜스테이는 '건강체험 마을'의 특색을 갖추고 있어 눈길을 끈다. 전통무예 수련과 전통 침놓기 등과 함께 민간에서 전해 내려오는 치료법을 통해, 찾는 사람들에게 적절한 식이 요법 등을 권해 주기도 한다고 한다. 산간마을이므로 농사체험은 비탈진 밭일이 주가 되는데 봄에 활짝 꽃망울을 터뜨리는 배나무 농사일부터 버섯채취까지 다양하게 체험할 수 있다. 또 목재를 이용한 나무 깎기로 찻잔 등을 만들어 볼 수 있는 것도 특징이다. 문경새재가 인근인데 이 고개를 넘어가면 쌍용계곡, 문경온천에 이른다. 또한, 각종 석탄 관련 전시물을 볼 수 있는 석탄박물관도 권할 만하다.",문경시
3,김룡사(문경),경상북도 문경시 산북면 김용길 372,128.2233073,36.73942797,http://tong.visitkorea.or.kr/cms/resource/54/2367654_image2_1.jpg,"김룡사는, 운달산김룡사사적서에 따르면, 신라 진평왕 10년(588) 운달 조사가 개선하여 사명을 운봉사라 하였다고 되어 있다. 따라서 본래의 절 이름인 운봉사라 사명이 조선시대 후기까지도 그대로 사용되었다고 생각되는 것은 사중에 전해지는 괘불화기에도 운봉사라 기록하고 있기 때문이다. 그러나 김룡사로 이름이 바뀌었다. 지금의 김룡사가 큰절의 초창은 인조2년에 수행 공덕으로 고명했던 혜총선사가 제자들과 힘을 모아 이룩하였으며 그 후 소실된 것을 의윤, 무진,대휴의 세분 대사가 옛모습을 되살려 놓아 번창시에는 48동에 건평 1,188평이나 되었으나 현재는 대소 전각 30여 채가 남아있다. 험상한 모습의 사천왕 신장상이 방문객을 압도하고 대웅전을 위시한 고색 창연한 전각들이 그 옛날의 창성을 말해주고 있다. 그 중에서도 경흥 강원 건물은 국내 최대 강원건물의 하나로 300명을 동시에 수용 할 수 있는 온돌방으로서 그 부엌아궁이는 어린 학생들이 걸어 들어갈 수 있을 만큼 크다.
인조 27년 설잠대사가 조성한 대웅전의 불상은 그 규모가 웅대하며 기예 또한 현묘하고 성균대사가 만든 후불 탱화가 유명하다. 고종26년에 사증대사가 조성한 거대한 쾌불탱화를 비롯한 죽은 사람의 생,전사가 기록 영화처럼 비쳐진다는 거울 등 수많은 문화유산을 소장하였으며 석탑과 석상을 절뒤에 세운것은 그 선익을 진압한다는 뜻이며 혹은 산혈의 촉맥을 보우하는 뜻이라 한다. 김용사에서 특이한 것은 절 입구에 지은 지 300여년 된 해우소 (근심을 해소시키는 장소라는 의미의 화장실) 가 있는데 토속적인 목조 건물로 꼭 한번 확인하기를 권하는 특별한 장소다.

* 운봉사에서 김룡사가 된 이야기 *
김룡사의 사명은 원래 운봉사였는데 김룡사로 바뀐 연유는 여러 가지로 전해지고 있으나, 그 중에서 가장 믿을 만한 것은 김씨 성을 가진 사람이 죄를 지어 이곳 운봉사 아래에 피신하여 숨어 살면서 신녀가를 만나 매양 지극한 정성으로 불전에 참회하더니 한 아들을 낳아 이름을 용이라 하였다. 그 이후부터 가운이 크게 부유해져 사람들은 그를 김장자라 하였고, 이로 인하여 동리 이름 또한 김룡리라 하였으며, 운봉사 역시 김룡사로 개칭하였다는 기록이 전해지고 있다. 그러므로 이 절은 최소한 18세기 이후 김룡사란 이름으로 되었다고 생각된다.",문경시
4,대승사(문경),경상북도 문경시 산북면 대승사길 283,128.2720887,36.74989712,http://tong.visitkorea.or.kr/cms/resource/95/1967495_image2_1.jpg,"사불산 대승사는 아름다운 창건설화와 함께 비교적 풍부한 사적을 보우하고 있다. 창건 이후의 사적에 대하여는 자세하지 않으나 대승사사적기에 따르면 선조 37년(1604) 서총대사가 대웅전 서쪽의 승당을 중창하였고, 다시 효종 2년(1651 경묵 대사가 대웅전 동쪽의 선당을 중창하였다고 하였다.이후에도 인조 8년(1630)에서부터 숙종 29년(1703)에 이르는 사이에는 계담 대사, 각인 대사, 선림 대사, 혜탄 대사, 종수 대사, 원응 대사, 등 역대제사의 중수가 있었다. 당시 건물의 명칭은 대웅전, 응진전, 관음전, 시왕전, 금당, 요사, 종각, 일주문, 누각, 수각, 주고, 문랑 등 전각이 사불산 내에 가득하여 교남의 대가림이 되었다고 하였다. 고종 12년(1875) 목각후불탱을 부석사로부터 이안하여 계속 시비가 일기도 하였으나, 결국 대승사에 귀속되었다. 그리고 1922년 여름 뜻하지 않은 화재로 여러 건물이 불타버리고 말았다. 이에 의운, 취월, 덕산 대사 등이 정재를 모아 1927년에 옛모습대로 복구하였다. 그러나 1956년 1월에 다시 화재를 입어 극락전, 명부전, 산신각 등을 남기고 불타버리자 남인, 대휴, 설월, 정암 대사 등이 힘을 모아 대웅전, 응진전, 대방, 일주문 등을 중창하였다.

* 대승사의 창건 설화 *
사불산의 본래 산명은 공덕산이었다. 그러나 삼국유사권3 사불산, 굴불산, 만불산의 내용에 따르면 “죽령 독쪽 백여 리 지점에 높이 솟은 산봉우리가 있는데, 진평왕 9년 갑신년에 홀연히 사면 10자 정도되는 큰 돌이 사방에 불상을 새겨 붉은 비단에 싸여 하늘로부터 산의 꼭대기에 내려왔다. 왕이 이 사실을 듣고 수레를 타고 가서 예경하고 그 바위 곁에 절을 지어 대승사라 하였으며, 법화경을 독송하는 망명(이름을 밝히지 않은) 비구를 청하여 절을 주관케 하였더니, 그 주변을 깨끗이 청소하고 돌에 공양하여 향화가 끊이지 않았다. 산을 덕산, 또는 사불산이라 하였다. 비구가 죽자 장사 지냈더니 무덤 위에서 연꽃이 나왔다”라고 하였다. 그러므로 이 절은 ‘천강사불하고 지용쌍련’의 설화로서 더욱 잘 알려져 있다.",문경시
5,대야산,경상북도 문경시 가은읍 용추길 31-35,127.9619992,36.67095322,http://tong.visitkorea.or.kr/cms/resource/31/1893631_image2_1.jpg,"* 문경의 산 중 명성이 높은 산, 대야산 *
대야산은 백두대간에 자리잡고 있으면서 문경의 산들 중에서도 그 명성을 높이 사고 있는 명산이다. 경북 문경시 가은읍 완장리에 속한 대야산은 대간 마루금을 경계로 충북 괴산군 청천면 삼송리와 접하고 있다. 내·외선유동을 거느리고 있는 대야산은 2002년 세계 산의 해를 맞아 문경의 주흘산, 황장산, 희양산과 함께 산림청에서 선정한 한국 100대 명산에 올라서 있다. 
예로부터 명산으로 받들어 온 대야산은 여러 기록들에 ‘대야산(大耶山)’으로 적고 있으며 특히 철종 조의 대동지지[(大東地志(1861년 이후 추정)] 에는「大耶山 曦陽山南支上峯曰毘盧爲仙遊洞主山西距淸州華陽洞三十里(희양산남지상봉왈비로위선유동주산서거청주화양동삼십리: 대야산은 희양산의 남쪽 갈래로 제일 높은 봉우리가 비로봉이고, 선유동의 주산이다. 서쪽의 청주 화양동이 30리다)라고 기록하고 있어 대야산 정상을 ‘비로봉(毘盧峯)’으로 부르고 있음을 알 수가 있다. 

* 대야산에서 유명한 계곡, 용추계곡 *
경북 문경시와 충북 괴산군의 경계에 있는 대야산 자락을 흐르는 계곡과 폭포이다. 울창한 숲으로 둘러싸인 암반 위를 사시사철 옥처럼 맑은 물이 흘러내리는 계곡에는 무당소, 용추폭포, 월영대 등의 아름다운 비경이 숨어 있다. 특히 용추폭포는 2단 폭포로, 다른 폭포처럼 물이 높은 위치에서 시원스레 떨어지는 것은 아니지만 위쪽에 하트 모양의 깊게 파인 소(沼)가 있어 보는 이로 하여금 신비로움을 느끼게 해준다. 이곳은 두 마리의 용이 승천했다는 전설이 서려있는 곳으로 폭포 양쪽의 바위에는 용이 승천할 때 떨어뜨렸다고 전하는 용의 비늘 자국이 아직도 남아있다. 소(沼)에서 머물던 푸른빛이 도는 맑은 물은 좁은 홈을 타고 아래 용소로 흘러내리며, 그 아래에는 용이 승천하기 전 알을 품었다고 하는 살짝 파인 웅덩이가 있다.
용추폭포 아래에 있는 무당소는 수심이 3m 정도로, 100여 년 전 물 긷던 새댁이 빠져 죽은 후 그를 위해 굿을 하던 무당마저 빠져 죽었다고 한다. 용추폭포 위의 넓은 암반을 지나 대야산 정상으로 오르는 등산로를 따라 20분 정도 오르면, 밤에 계곡의 맑은 물에 비친 달을 볼 수 있다는 월영대(月影臺)가 있다.",문경시
6,대야산 용추계곡,경상북도 문경시 가은읍,127.9514866,36.65856,http://tong.visitkorea.or.kr/cms/resource/69/2367669_image2_1.jpg,"문경 팔경 중 으뜸인 대야산 용추는 충북 괴산군과 경계를 이루고 있으며, 깎아지른 암봉과 온갖 형상의 기암괴석으로 둘러싸인 대야산 자락에 있다. 많은 비경 가운데 2단으로 이루어진 용추폭포의 장관이야말로 명소 중의 명소로 유명하다. 암수 두 마리의 용이 하늘로 오른 곳이라는 전설을 증명이라도 하듯이 용추 양쪽 거대한 화강암 바위에는 두 마리의 용이 승천을 할 때 용트림하다 남긴 용 비늘 흔적이 신비롭게도 선명하게 남아 있고, 아무리 가물어도 이곳의 물은 마르는 일이 없어 예부터 극심한 가뭄이 들면 이곳에서 기우제(祈雨祭)를 올리기도 하였다고 한다. 용추의 형상을 보면 위아래 두 개의 용추가 이어졌으며 수만 년 기나긴 세월을 쉼 없이 흘러내려 마침내 떨어지는 폭포 아래에는 천하에 보기 드문 신비스러운 하트형(♡)으로 깊게 파인 소(沼)가 위 용추로, 절묘한 형태는 보는 이마다 미소를 머금게 한다.
위 용추에서 잠시 머물던 물이 다시금 매끈한 암반을 미끄럼 타듯 흘러내려 부드럽게 이루어 놓은 것이 아래 용추로 하절기에는 개구쟁이 꼬마들의 미끄럼틀로 이용되기도 하는 곳이다. 용추폭포 위의 넓디넓은 암반지대를 지나 20분쯤 올라가면 월영대가 있다. 휘영청 밝은 달이 중천(中天)에 높이 뜨는 밤이면 흰 바위와 계곡을 흐르는 맑디맑은 물 위에 어린 달그림자가 더할 나위 없이 낭만적이라 하여 월영대라 한다. 대야산은 백두대간에 자리 잡고 있으면서 문경의 산들 중에서도 그 명성을 높이 사고 있는 명산이다. 경북 문경시 가은읍 완장리에 속한 대야산은 대간 마루 금을 경계로 충북 괴산군 청천면 삼송리와 접하고 있다. 내·외선 유동을 거느리고 있는 대야산은 2002년 세계 산의 해를 맞아 문경의 주흘산, 황장산, 희양산과 함께 산림청에서 선정한 한국 100대 명산에 올라서 있다.
예로부터 명산으로 받들어 온 대야산은 여러 기록들에 ‘대야산(大耶山)’으로 적고 있으며 특히 철종 조의 대동지지[(大東地志(1861년 이후 추정)] 에는「大耶山 曦陽山南支上峯曰毘盧爲仙遊洞主山西距淸州華陽洞三十里(희양산남지상봉왈비로위선유동주산서거청주화양동삼십리: 대야산은 희양산의 남쪽 갈래로 제일 높은 봉우리가 비로봉이고, 선유동의 주산이다. 서쪽의 청주 화양동이 30리다)라고 기록하고 있어 대야산 정상을 ‘비로봉(毘盧峯)’으로 부르고 있음을 알 수가 있다.",문경시
7,문경 가은오픈세트장,경상북도 문경시 가은읍 왕능길 112,128.0621824,36.65395145,http://tong.visitkorea.or.kr/cms/resource/10/2352710_image2_1.JPG,"문경시 추천 명소 중 하나인 가은오픈세트장은 탄광에서 채굴한 폐석을 모아 쌓은 곳에 흙을 덮고 아름다운 나무를 심어 만든 곳이다. 심도 있는 역사 고증을 통해 그 당시 모습을 사실적으로 재현해 각종 드라마 촬영과 역사교육을 위해 중요한 가치가 있는 곳이다.이곳에는 총 3개의 촬영장이 있으며, 제1 촬영장에는 고구려궁 같은 궁궐부터 서민들의 초가집, 주막 그리고 실제 크기에 맞게 만들어진 웅대한 성문이 있어 과거로 이동한 듯한 기분을 느낄 수 있다. 근초고왕, 자명고, 연개소문, 최강칠우 등 다양한 드라마 촬영지로 유명하며 지금도 여러 드라마 세트장으로 인기가 많은 곳이다.석탄박물관 용지 내에 있어 석탄박물관과 함께 이곳을 체험하는 관광객들이 많고, 15분 간격으로 운행하는 모노레일을 타고 석탄박물관부터 제1 촬영장까지 편하게 둘러볼 수도 있다.",문경시
8,문경새재 3관문(조령관),경상북도 문경시 문경읍,128.0577534,36.81071118,http://tong.visitkorea.or.kr/cms/resource/03/2392703_image2_1.jpg,"백두대간의 조령산 고개를 넘는 새재는 예로부터 영남지방과 서울을 연결하는 관문이자 군사적 요새지이다. 새재라는 지명은 새도 날아서 넘기 힘든 고개, 새로 된 고개, 억새풀이 우거진 고개 등의 뜻을 가지고 있다. 이름에서 알 수 있듯이 새재는 산새가 높고 험준한 곳에 자리 잡고 있다.문경새재에는 1관문인 주흘관, 2관문인 조곡관, 3관문인 조령관 총 3개의 관문이 있다. 그중 3관문은 새재 정상에 자리 잡고 있다. 북쪽에서 침입하는 적을 막기 위해 선조 때 공사를 시작하여 숙종 때 중창한 3관문은 고려 초부터 조령이라 불리면서 중요한 교통로의 역할을 하였다. 문루는 1907년 훼손되어 불에 탔고, 홍예문과 누각, 좌우의 석성 135m는 1976년 복원하여 현재에 이르렀다.",문경시
9,문경새재 오픈세트장,경상북도 문경시 문경읍 새재로 932,128.077003,36.76165327,http://tong.visitkorea.or.kr/cms/resource/10/2947510_image2_1.jpg,"조선시대로 떠나는 시간 여행
드라마 '킹덤', '옷소매 붉은 끝동', '해를 품은 달' 등을 촬영한 세트장으로 문경 도립공원과 연결되어 있다. 광화문을 생생히 구현해놓은 광화문 세트가 가장 유명한 스폿 중 하나. 한옥촌, 저잣거리, 서민 마을 등 여러 가지 분위기의 세트장이 넓은 부지 위에 펼쳐져 있어 마치 조선시대로 시간 여행하는 기분이 든다. 

촬영장을 문경새재에 설치하게 된 동기는 무엇보다도 조령산과 주흘산의 산세가 고려의 수도 개성의 송악산과 흡사할 뿐만 아니라 옛길이 잘 보존되어 있어 사극 촬영장으로 매우 적합하기 때문이었다.
그동안 드라마 태조왕건, 제국의 아침, 무인시대, 대조영, 근초고왕, 성균관 스캔들, 제중원, 추노, 명가, 천추태후, 인수대비, 광개토태왕, 해를 품은달, 공주의 남자, 전우치, 대왕의 꿈의 촬영 주무대가 되었고 영화는 스캔들, 낭만자객, 활, 미녀삼총사, 관상, 광해, 나는 왕이로소이다, 구르믈 버서난 달, 전우치 등을 촬영하기도 하였다.

현재의 문경새재 오픈세트장은 문경시의 제작지원으로 과거 고려시대를 배경으로 한 세트장을 허물고 새로운 조선시대 모습으로 2008년 4월 16일 준공한 것이다.
공사비는 75억원을 투입하였으며 규모는 70,000㎡ 부지에 광화문, 경복궁, 동궁, 서운관, 궐내각사, 양반집 등 103동을 건립 하였으며 기존 초가집 22동과 기와집 5동을 합하여 130동의 세트 건물들이 존재하고 있다.",문경시
