,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가야산 야생화식물원,경상북도 성주군 수륜면 가야산식물원길 49,128.1418573,35.80312761,http://tong.visitkorea.or.kr/cms/resource/99/2724199_image2_1.jpg,"2006년 6월 16일 개관한 국내 최초 야생화 전문식물원이다. 총 400여종의 수목과 야생화를 식재하여 야생화 자원보전과 자연학습과 학술연구 발전에 기여하기 위한 야생화 문화공간이다. 식물원은 종합전시관과 지상 1층, 지하 1층으로 된 유리온실을 갖추고 있다. 소나무 외 92종의 교목, 산철쭉 외 54종의 관목, 할미꽃 외 257종의 야생화를 보유하고 있으며, 이외에도 성주의 열두 달간의 풍경, 열두 달 식물 이야기 등 여러 가지 볼거리를 설치해 다양한 정보와 휴식 공간을 제공하고 있다.",성주군
1,가야산역사신화테마관,경상북도 성주군 수륜면 가야산식물원길 21,128.1410602,35.80106394,http://tong.visitkorea.or.kr/cms/resource/16/2733516_image2_1.png,"가야문화권의 역사와 신화, 가야산의 생태를 테마로한 2층 규모의 전시 테마관이며, 가야산의 수려한 자연경관을 즐길 수 있는 산책로, 숲속쉼터, 전망대 등을 이용할 수 있으며, 가야산 권역을 조망하며 휴식을 취할 수 있는 편의시설도 갖추고 있는 테마공원이다.",성주군
2,감응사(경북),경상북도 성주군 월항면 대산리,128.3324841,35.93461339,http://tong.visitkorea.or.kr/cms/resource/31/1399731_image2_1.jpg,"* 독수리와 약수의 전설이 전해지는 사찰, 감응사 *감응사는 802년(신라 애장왕 3) 보조국사 체징(體澄)이 창건하였는데, 체징이 창건하였을 당시에는 감은사 혹은 감응암(感應庵)이라 하였다. 창건 이후 수차례 중건과 중수를 거쳤으나 임진왜란 이전의 연혁은 전하지 않는다. 1592년(선조 25) 임진왜란 때 불에 탔으며, 1675년(숙종 2)에 중창하였다. 그 뒤 1740년(영조 16)에 중수, 1780년(정조 4)에 또 중수, 1921년에 또 다시 중수하여 오늘에 이르렀으며, 최근에는 1970년대에 들어서 평타 스님이 영선원을 세우고 대웅전을 중수하여 오늘에 이른다.* 애장왕의 왕자와 독수리의 이야기, 감응사의 전설 *감응사의 창건설화에 따르면 애장왕이 늙으막에 왕자를 낳았는데, 왕자는 날 때부터 눈이 나빠 앞을 볼 수 없었다. 온갖 약을 다 써보았으나 소용이 없자 왕비는 명산을 찾아다니며 기도를 하였다. 그러던 어느 날 한 도인이 꿈에 나타나 말하기를, “내일 아침 문 앞에 독수리가 나타날 것이다. 그 독수리를 따라가면 약수가 있는 곳에 이른다. 그 약수로 눈을 씻고 약수를 마시면 눈병이 나을 것이다.”라고 하였다.다음날 도인의 말대로 독수리를 따라가니 과연 약수가 있었고 약수로 왕자의 눈을 씻고 마시게 하였더니 눈병이 나았다. 애장왕은 이를 부처의 은덕으로 여겨 약수 앞에 감응사를 세우고, 절이 있는 산 이름을 신령스러운 독수리산이란 뜻에서 영취산이라 부르게 했다고 한다. 절 앞에 있는 약수는 옥류정(玉流井)이라 하는데, 지금도 물맛이 차고 달아 많은 사람이 찾는다.",성주군
3,대가천계곡(무흘구곡),경상북도 성주군 수륜면,128.2045455,35.82829812,http://tong.visitkorea.or.kr/cms/resource/85/1399785_image2_1.jpg,"김천시 증산면에서 성주댐을 지나 고령 방면으로 이어지는 대가천계곡. 이 계곡은 한강 정구 선생이 남송 때의 주희가 노래한 무이구곡을  본받아 지은 무흘구곡의 배경이 되는 곳으로 탄성이 절로 나오는 비경을  간직한 곳이다. 기암괴석이 많고 맑은 물이 폭 넓은 계류를 이루어 피서철이면 야영객과  피서객으로 붐빈다.

수륜면 신정리 회연서원 옆에는 봉황이 나는 듯한  형상의 봉비암이 있고, 절벽 밑으로는 수정 같은 맑은 물이 소(沼)를 이루며 돌아  흐른다. 성주댐을 지나 김천으로 이어지는 대가천계곡에 옛날 대가천을 오르내리는  배를 매어 두었다는 배바위와 기이한 모습을 한 선바위가 있다. 수도암 계곡과 청암사  계곡에서 흘러내리는 맑은 물이 기암괴석과 어우러져 장관을 이루는 대가천 계곡은  곡폭이 넓어 여름철 캠핑 장소로 더없이 좋으며, 대가천 계곡을 따라 이어지는 30번  국도는 드라이브 코스로도 소문나 있다.",성주군
4,독용산성,경북 성주군 가천면 금봉리,128.1270922,35.89608902,http://tong.visitkorea.or.kr/cms/resource/41/1399841_image2_1.jpg,"성주군 가천면 금봉리에 위치한 독용산성은 소백산맥의 주봉인 수도산의 줄기인 해발 955m의 독용산 정상에 위치하고 있다. 산성의 둘레는 7.7km(높이 2.5m, 폭 1.5m)에 이르며, 산성내 수원이 풍부하고 활용공간이 넓어 장기 전투에 대비하여 만들어진 포곡식 산성(包谷式 山城)으로 영남지방에 구축한 산성중 가장 큰 규모이다. 그리고 성의 축조 연대는 정확하게 알 수 없으나, 1,500년전 성산 가야 때 쌓은 것으로 추측되며 임진왜란을 피하던 중 발견되었다고 한다. 조선 숙종 원년(1675년) 관찰사 정중휘가 개축하여, 동서남북 7개 포루, 아치형의 동문, 수구문, 남소문 등이 있었으며, 동서군량고가 있어 성주, 합천, 거창의 군량미도 보관하였다. 군기고(軍器庫, 일제시 유물발굴)에는 쇠도끼, 쇠창, 쇠화살, 삼지창, 말안장, 갑옷 등이 출토되었으며, 별장1, 승장1, 호병44호로서 산성을 방어하였다 한다.성주군에서는 1997년부터 성곽을 복원할 계획을 세워, 훼손된 성곽의 일부와 아치만이 남아 있던 동문을 보수하여 원형으로 복원하였으며, 성내에 관아터, 사지가 산재하고 있다. 독용산성에 대한 역사적 기록은 이원정(李元楨)이 1677년에 편찬한 《경산지(京山誌)》를 통해 나타난다. 그 책에 따르면 합천과 거창의 군사가 배속되었고, 성 안에는 3개의 계곡, 객사, 군기고 등등이 있다고 기록한 것으로 보아 정중휘가 개축할 당시의 규모를 짐작할 수 있다. 동문지(東門址), 서문지, 남문지, 북문지, 동암문지(東暗門址), 서문암지, 남문암지, 수구문지(水溝門址), 동치성(東雉城), 서치성, 객사지, 군기고지, 안국사지와 건립연대를 알 수 없는 비석 5기가 있다.",성주군
5,뒷미지수변공원(뒤미지),경상북도 성주군 초전면 용성3길 25,128.2666202,35.94295291,http://tong.visitkorea.or.kr/cms/resource/61/2738461_image2_1.jpg,"뒷미지에는 아름다운 경관과 생태환경을 체험할 수 있도록 조성된 수변공원이 있다. 백련, 홍련 등 연꽃 군락이 있어 매년 7~8월이 되면 만개하여 장관을 이룬다. 연못 중앙까지 데크가 설치되어 있어 아름다운 연꽃을 마음껏 즐길 수 있다.",성주군
6,무흘구곡선바위,경상북도 성주군 금수면 영천길 210,128.0634635,35.93271705,http://tong.visitkorea.or.kr/cms/resource/85/2738485_image2_1.jpg,"무흘구곡은 총 35.7㎞에 이른다. 경북 성주군의 수륜면과 금수면부터 김천시의 증산면까지 이어져 있다. 그 중 1~4곡은 성주군에 위치하고 있으며, 5~9곡은 김천시에 입지하고 있다. 제1곡 봉비암, 제2곡 한강대, 제3곡 무학정, 제4곡 입암, 제5곡 사인암, 제6곡 옥류동, 제7곡 만월담, 제8곡 와룡암, 제9곡 용추폭포로 구분되어 있다.대가천의 맑은 물과 주변 계곡의 기암괴석, 수목이 절경을 이루어 조선 시대 성주가 낳은 대 유학자인 한강 정구 선생(1543~1620)이 시를 지어 노래한 곳으로 경관이 아주 빼어나 행락 피서지로 주목을 받고 있다.",성주군
7,선석사(경북),경상북도 성주군 월항면 세종대왕자태실로 616-33,128.2989043,36.01563969,http://tong.visitkorea.or.kr/cms/resource/58/2780458_image2_1.jpg,"* 성주군에서 가장 큰 사찰, 선석사 *경상북도 성주군 월항면에 자리한 선석사는 대한불교 조계종 제9 교구 본사 동화사의 말사이다. 성주군 서진산 중턱에 위치한 선석사는 성주군에서는 가장 큰 사찰이다. 경북 지역의 다른 사찰들과 마찬가지로 임진왜란 때 모두 불타 버려 창건 연대, 창건 인물 등은 정확히 알 길이 없다.단지 692년(효소왕 1) 의상대사가 신광사라는 이름으로 창건하였다고 전하고 있으며, 창건 당시는 지금보다 서쪽이었으나 고려 말 나옹 스님이 지금의 자리로 옮기려 터를 닦다 큰 바위가 나와 선석사라 했다. 이후 1592년(선조 25)임진왜란 때 전소된 뒤 1684년(숙종 10) 혜묵, 나헌 스님 등이 중창하고 1725년(영조 1) 서쪽의 옛터로 옮겼다가 1804년(순조 4) 서윤 스님이 지금의 자리로 옮기고 대웅전, 명부전, 칠성각, 산왕각, 어필각, 정법료를 지었으나 그 뒤 화재로 어필각은 소실되었고 최근 대웅전 뒤 대나무 숲 아래 야외 미륵부처님을 조성하였다.또 건너 봉우리엔 세종대왕 왕자 태실이 있어 예로부터 선석사는 태실 수호 도량으로 영조로부터 어필을 하사받기도하고 왕조의 권력 투쟁으로 인한 태실의 변화를 지켜보아야 했다. 숱한 역사의 굴곡을 함께 하여온 선석사는 이제 성주 고장 사람들을 위한 도량으로 거듭나고 있다. 봄마다 아름다운 도량에서 열리는 산사 음악회를 비롯해서 문화 공간, 수행 공간, 교육 공간으로 지역주민들과 더불어 살아가고 있다. * 바람이 불면 노래를 하던 대나무 이야기 *
올 곧게 뻗은 나무보다 휘어 자란 소나무가 더 멋있다고 절집 들어오는 길엔 온통 제멋대로 자란 소나무들이 고고함을 자랑하고, 조금 높이 절집 옆 휴식 공간엔 200년이 넘어 보호수로 지정된 아름드리 느티나무가 오는 이를 맞이한다. 느티나무 인근에는 지금은 없어진 전설 속의 대나무숲이 있었다고 전한다. 선석사 뒷산엔 지금은 남아 있지 않지만 바람이 불면 이상한 소리를 내는 쌍곡죽(雙谷竹)이라는 대나무 숲이 있었다고 전한다. 이 대나무를 잘라 만든 피리는 그 소리의 맑고 깨끗함이 어느 피리보다 좋아 교방적(敎坊笛)이라 했다 한다.",성주군
8,성주 경산리 성밖숲,경상북도 성주군 성주읍 경산리,128.2801337,35.91556737,http://tong.visitkorea.or.kr/cms/resource/11/1613511_image2_1.jpg,"성밖숲 수해를 예방하기 위해 조성된 수해방비림으로 수령이 약 300~500년 정도로 추정되는 천연기념품 왕버들나무가 4-5월이면 연두빛으로 물들이고, 8월이면 야생화 맥문동의 보랏빛으로 장관을 이루는 등 유수한 생태자원이 풍부한 곳이다. 1999년에 국가지정 천연기념물로 지정돼 보호 관리되고 있는 성밖숲은 성주군의 대표적인 관광지로써 풍수지리설에 의한 비보임수인 동시에 다양한 역사적 스토리를 간직하고 있는 곳으로, 매년 열리는 성주생명문화축제의 축제 장소로도 이용되고 있다. 또한 주변에는 보기 드문 배치 방법으로 지어진 성주향교와 옛 관아 건물 중 하나인 성산관, 한국 주거사 연구에 중요한 자료인 만산댁, 배리댁이 자리 하고 있어 전통도시로써의 역사자원이 풍부한 곳이기도 하며  성밖숲 주변에 조성된 성밖숲 산책길은 성주읍의 서쪽으로 흐르는 이천변에 조성된 마을 숲 주변의 산책길로써 지역주민과 성밖숲을 찾는 방문객에게 쉼을 누릴 수 있는 또 다른 공간이다.",성주군
9,성주 성산동 고분군,경상북도 성주군 성주읍 성산리,128.2993434,35.90561607,http://tong.visitkorea.or.kr/cms/resource/21/2727421_image2_1.jpg,"* 성산가야 지배층의 고분군, 성산동 고분군 *성산동 고분군은 성주읍의 남동쪽 성산에 입지한 가야시대 고분군으로 성주일대를 거점으로 하였던 성산가야 지배층의 고분군으로 알려져 있다. 고분군은 성산의 능선을 따라 크고 작은 봉토분들이 밀집하여 분포하고 있는데, 대부분 원형으로 현재까지 129기가 확인되어 정비 및 복원을 하고 있다. 1호분은 구덩계앞트기식돌방무덤[竪穴系橫口式石室墳], 2호분은 2개이 딸린덧널[副槨]이 있는 구덩식돌방무덤, 6호분은 구덩식돌방무덤이며, 성산동대분은 으뜸(서)-딸린(동)덧널식무덤이며, 8호분은 경주지역에서 보이는 굴식돌방무덤이다.껴묻거리[副葬品]로는 1호분에서 토기류, 철부, 은제관장식, 금제귀걸이, 은제대구, 고리긴칼[環頭大刀]이, 2호분에서는 토기류와 관못, 손칼,창, 철부, 철제은장고리가, 6호분에서는 소량의 토기 철기류가 출토되었는데 토기류 중 굽다리접시[高杯]는 엇갈린 2단 투창(透窓)이 뚫린 것이다. 성산동대분에서는 300여 점에 달하는 토기류가 출토되었다. 38 ·39 ·57 ·58 ·59호분은 모두 할석(割石) 혹은 판석(板石)으로 된 구덩식돌방무덤이다. 38 ·39 ·59호분에서는 2인 이상을 매장한 다장묘(多葬墓)로 순장의 흔적을 보여준다. 이들 5기의 고분에서는 토기류, 말갖춤류[馬具類], 꾸미개류[裝身具類] 등 900여 점에 이르는 많은 유물이 출토되었다.* 성산고분에서 나온 유물에 대하여 *성산고분은 일제강점기에 일부가 발굴 조사된 바 있으며, 1986년 계명대학교 박물관에 의해 대형 봉토분 5기가 발굴 조사되었다. 이 조사를 통하여 대호를 비롯한 유개장경호, 단경호, 유개고배 등 토기류 및 은제행엽, 재갈, 교구 등의 마구류를 비롯한 다량의 유물이 출토되었다. 성산고분군에서 출토된 유물은 인접한 고령지역 등 다른 낙동강 이서지역과 달리 낙동강 이동양식으로 불리우는 유물이 주를 이루고 있으며, 대구 화원지역의 유물군과 양식적 유사도가 높은 것으로 나타났다. 이러한 유구의 구조와 유물구성 등은 성주지역을 거점으로 하였던 고대 정치체의 일면모를 알 수 있게 한다.[문화재 정보]시대 : 가야규모 : 129기종류 : 고분군",성주군
