,title,addr1,mapx,mapy,firstimage,overview,addr2
0,개목사(안동),경상북도 안동시 서후면 개목사길 362,128.667995,36.65791227,http://tong.visitkorea.or.kr/cms/resource/75/186975_image2_1.jpg,"* 마음의 눈을 뜨게 만드는 사찰, 개목사 *우리 나라에서 가장 오래된 절집 건축물이 있는 안동 봉정사의 위쪽에 있다. 통일신라 초기에 의상대사가 천등산 중턱에 세운 절로 원래는 흥국사라 하였다. 의상대사가 신통한 묘술로 하루에 1시간씩 99일 동안 99칸의 거대한 절을 지었는데, 그 후 이 절은 부처의 영험이 많이 나타나 많은 불도들이 찾아와 기도하고, 소원을 성취하는 사람들도 많았다고 한다. 현재는 보물로 지정된 원통전만 옛 모습을 지니고 있다. 개목사 원통전은 조선 세조 3년에 건립되었다 한다. 측면에서 볼 때 전면으로 퇴간을 달아 맞배지붕의 박공면이 전면으로 길게 나와 있다. 공포는 전, 후면이 다른 수법으로 되었는데 전면은 출목없이 익공형으로 조각되었고 후면은 1출목을 두어 외목도리를 받게 하였다. 내부는 연등천장으로 상부가 노출되었으며, 초각한 파련대공과 솟을 대공을 두어 종도리를 받게 하였다. 솟을대공 수법 역시 고식의 하나로 되어있다.* 개목사의 이름에 대한 두 가지 이야기 *개목사란 이름이 생긴 것에 대해 두 가지 이야기가 전해 온다. 하나는 <영가지(永嘉誌)>에 실린 내용으로 원래는 절 이름을 흥국사(興國寺)였다. 당시 경상북도 안동 지역에 앞을 보지 못하는 소경들이 많았는데 절 건립 소경들이 없어졌다 하여 이름을 개목사(開目寺)로 바꾸었다고 한다. 또 다른 이야기는 조선 초기의 재상인 맹사성(孟思誠, 1360~1438)이 안동부사로 부임해 와서 보니 경상북도 안동의 지세가 눈병 환자가 많을 형상이어서 개목사로 이름을 바꾸었다는 설이다.",안동시
1,고산서원(안동),경상북도 안동시 남후면 암산1길 53-1,128.6772624,36.50528821,http://tong.visitkorea.or.kr/cms/resource/52/2732652_image2_1.jpg,"이 서원은 18세기 유학자인 문경공 대산 이상정(文敬公 大山 李象靖)선생을 추모하는 고산서원이다. 1789년(정조 13)에 사림의 공의로 건립되었다. 선생은 25세에 급제하여 여러 벼슬을 거쳐 공조참의에 제수되었으나 사퇴하고 퇴계의 학통을 계승하여 성리학을 연구하는 한편 후진을 양성하였으며 선생의 문인록에 등재된 제자만도 273인이나 된다. 1882년(고종 19) 이조판서에 증직되고 1910년 문경공이란 시호가 내려졌다. 문집 27책이 있고 이기휘편, 제양록, 퇴계서절요, 사례상변통고, 병명발휘 등 많은 저술을 남겼다. 전체적으로 규모가 크고 격식을 갖추었으며. 특히 앙지재와 백승각의 양 끝은 개방된 마루를 두어 주변 경관을 음미하도록 꾸며져 있다.",안동시
2,고산정,경상북도 안동시 도산면 가송길 177-42,128.892144,36.76767064,http://tong.visitkorea.or.kr/cms/resource/82/2622282_image2_1.jpg,"* 성성재 금난수가 세운 정자, 고산정 *고산정은 정유재란시 안동 수성장으로 활약하여 좌승지에 증직된 바 있는 성성재 금난수(惺惺齋 琴蘭秀 1530∼1599)선생의 정자이다. 선생의 행상(行狀)에 따르면 선생이 35세되던 1564년(명종 19)에 당시 선성현(宣城縣)의 명승지일(名勝之一)이었던 가송협(佳松峽)에 짓고 일동정사(日東精舍)라 부르며 늘 경전을 가까이 한 채 유유자적하였다 한다. 안동팔경의 하나인 가송협의 단애(斷崖)아래에 자리잡고 있다. 주위에는 외병산(外屛山)과 내병산이 병풍처럼 둘러 있고, 낙동강의 상류인 가송협의 건너에는 송림과 함께 독산이 솟아 있어 절경을 이루고 있다. 건립당시 사정과 주위의 절경에 대해서는「일동록(日洞錄)」에 자세히 서술되어 있다.여기에 따르면 창건 당시부터 예안지방의 대표적인 절경으로 알려져 그의 스승인 퇴계(退溪)선생도 누차 문인들과 함께 와서 영시유상(詠詩遊賞)하였다 한다. '고산제영'(孤山題詠)에는 퇴계문도를 비롯하여 재경관인(在京官人)들까지 찾아 차운(次韻)한 시(詩)가 수백 수에 달하고 있다. 정면 3칸, 측면 2칸 규모의 팔작기와집인데 3m가량의 축대를 쌓아 대지를 조성한 후 얕은 기단 위에 자연석 덤벙주초를 놓고 기둥을 세웠다. 모두 원주를 사용하였는데 주두상부에는 보아지를 끼웠으나 외부에는 초각을 하지 않고 내부에만 초각을 하였다. 5량가인데 종량 위에는 키 큰 동자주를 세워 여기에 소로를 끼워 장혀와 창방을 받게 하였으며, 좌측 마루상부에는 우물반자를 설치하였고 귀에는 선자연을 걸었다.어간의 우물마루를 중심으로 좌, 우에 온돌방을 꾸몄는데 좌측방은 통간으로 하였으나 좌측방은 뒤쪽의 1간만을 온돌방으로 꾸며 결국 마루는 ㄱ자형으로 이루어지게 되었다. 전면과 양측면에는 계자난간을 둘렀는데 정자로의 출입은 난간의 양측 끝에서만 하게 하였다. 주위의 빼어난 경관과 잘 어울리게 조성한 조선시대 정자의 특징을 보여주고 있고 건물도 비교적 원형을 잘 유지하고 있다.* 성성재 금난수 선생에 대하여 *금난수는 35세인 1564년(명종 19)에 이미 안동 예안면(禮安面) 부포리에 있는 현재의 성성재 종택(경상북도 민속문화재) 아래쪽에 성재(惺齋)라는 정자를 짓고 학문에 전념하였다. 고산정은 그 후에 지은 정자로서, 주변 경관이 뛰어나 이황을 비롯한 선비들의 내왕이 잦았던 곳이다. 정자 앞으로 강물이 시원하게 흐르고 맞은편 산기슭에는 물맛 좋은 옹달샘이 지금까지 남아 있다. 예전에는 이곳에 학이 많이 서식했다고 하나 지금은 없다. 정자 왼쪽에 조선총독부에서 세운 조학번식지(鳥鶴蕃殖地)라는 천연기념물 비가 서 있다.",안동시
3,관광커뮤니티센터 여기,경상북도 안동시 축제장길 210 탈춤공연장,128.7315894,36.56069957,http://tong.visitkorea.or.kr/cms/resource/70/2826670_image2_1.jpg,"안동을 찾은 관광객들의 휴식 공간으로 제공되고 있으며 무인카페와 지역 특산품을 전시, 판매하는 공간이다.",안동시
4,광산김씨 유일재고택,경상북도 안동시 와룡면 선돌길 113-16,128.7738895,36.61644401,http://tong.visitkorea.or.kr/cms/resource/97/178197_image2_1.jpg,"광산 김씨 유일재공파의 종택이다. 이 파의 선대는 퇴촌 김열을 파조(派祖)로 하고 있다. 그의 23세손인 담암 김용석[1453∼]이 풍천면 구담리로 낙향하였고 이후 유일재 김언기대에 이르러 와룡 가야로 이거하였다. 그리고 1700년대말 그의 9대손인 도상(道常)이 이곳으로 옮기면서 이 집을 구입하였다고 전한다. 건립년대는 1600년대 말로 추정된다.이 집은 마을 뒷산 중턱에 남향으로 자리잡았으며, 구[ㅁ]자형의 정침과 사당으로 구성되어 있다. 사당은 정침의 좌후방 약간 높은 언덕 위에 남서향으로 배치돼 있다. 정침은 전면 중문간을 중심으로 좌우에 사랑채와 행랑채가 일려로 연접하여 일자형을 이루었고 이들 각각이 양 익사로 안채와 연결되어 폐쇄적인 구자형 평면을 이루고 있는데 사랑채는 좌측으로 돌출되어 날개 모양을 하고 있다. 기단은 상면이 몰탈로 마감돼 있고, 주초는 자연석으로 만들어 각주를 세웠는데, 귀를 접어 올려 다소 둔중한 느낌을 감해 주고 있다.",안동시
5,광흥사(안동),경상북도 안동시 서후면 광흥사길 105,128.6135613,36.64603205,http://tong.visitkorea.or.kr/cms/resource/40/1979140_image2_1.jpg,"* 다양한 문화재가 있는 사찰, 광흥사 *학가산 남쪽 기슭에 자리 잡은 광흥사는 신라 신문왕때 의상대사가 창건하였다고 전해진다. 그리고 그 뒤 수차례 중수(重修) ·중창(重創)하여 대찰이 되었다고 한다. 그러나 1946년에는 학서루(鶴棲樓)와 대방(大房)이 퇴락되어 무너져 예전의 풍모를 갖추고 있지 않다. 보물로 지정되어 있는 취지금니묘법연화경과 백지 묵서묘법연화경이 보존되어 있었으나, 현재는 국립경주박물관에 보관중이다. 응진전을 중심으로 명부전·종루·산령각·요사채 등의 건물들이 배치되어 있다. 응진전은 2009년 현재 광흥사의 주전(主殿)으로 규모는 정면 5칸, 측면 2칸이다. 화재로 소실된 대웅전에 있던 석가모니불이 봉안되어 있다.* 광흥사에 가치를 알려주는 다양한 문화재 *문화재로는 보물인 『취지금니묘법연화경』과 보물인 『백지묵서묘법연화경』, 문화재자료인 응진전이 있는데, 『취지금니묘법연화경』과 『백지묵서묘법연화경』은 현재 국립경주박물관에 소장되어 있다. 『취지금니묘법연화경』은 2권 2첩으로 크기는 가로 11㎝, 세로 31㎝이고, 만든 시기는 고려 후기로 추정된다. 『백지묵서묘법연화경』은 1398년(창왕 원년)에 장묘우가 죽은 부모를 위하여 만든 것이다.",안동시
6,권정생동화나라,경상북도 안동시 일직면 성남길 119,128.6651565,36.46134299,http://tong.visitkorea.or.kr/cms/resource/70/2622270_image2_1.jpg,"안동 권정생 동화나라는 아이들이 평화로운 세상을 꿈꾼 고 권정생 선생의 문학과 삶이 담겨 있는 곳이다. ‘강아지 똥’, ‘몽실 언니’ 등 주옥같은 작품들을 만나 볼 수 있다. 강아지 똥, 몽실 언니, 엄마 까투리 등의 조형물도 건물 곳곳에 있으며, 선생의 추억이 깃든 교회 종 모형도 볼 수 있다. 1층 전시실에는 권정생 선생이 남긴 작품과 유품을 볼 수 있으며, 1층 복도에는 선생이 살아온 길을 담은 사진이 전시 중이다. 2층에는 단체 관람객을 위한 숙박 시설과 강당도 있다.",안동시
7,그라스원,경상북도 안동시 육사로 273,128.7314255,36.55856648,http://tong.visitkorea.or.kr/cms/resource/14/2738414_image2_1.jpg,"안동을 가로지르는 낙동강을 따라 낙동강 변 산책로가 조성되어 있다. 이 산책로를 따라가면 영가대교 북단에 다양한 꽃과 식물들이 식재된 그라스원 테마공원이 있다. 그라스원은 계절에 따라 각기 다른 매력을 뽐낸다. 특히 가을에는 핑크뮬리가 장관을 이뤄 사람들에게 최고의 포토존을 선사하고 있다.
주변에 백조공원이 함께 조성되어 있으며 자전거길과 산책로가 있어 맑고 청정한 낙동강 경치를 감상할 수 있다. *사진 출처: 안동시 공식 블로그 '마카다안동'",안동시
8,길안천지생태공원,경상북도 안동시 길안면 천지리,128.8983526,36.45607576,http://tong.visitkorea.or.kr/cms/resource/46/2912246_image2_1.jpg,"길안천지생태공원은 경상북도 안동시 길안면 천지리에 있다. 산으로 둘러싸여 있으며, 하천이 흐르고 있어 산자수명한 느낌이다. 배드민턴, 축구 등을 즐길 수 있는 운동시설이 갖추어져 있고 야외공연장, 화장실, 산책로, 쉼터 등이 마련되어 있다. 특히 차박을 만끽하고자 찾아오는 사람이 많다. 동안동IC에서 가깝고, 주변에 안동 계명산자연휴양림과 용계의은행나무가 있다.",안동시
9,낙강물길공원,경상북도 안동시 상아동 423,128.7709712,36.58790832,http://tong.visitkorea.or.kr/cms/resource/46/2675646_image2_1.JPG,"한국의 지베르니라고 불리는 낙강물길공원은 안동 비밀의 숲이라고도 불린다. 호수를 바라보며 즐기는 혼크닉은 어느 카페 부럽지 않다. 곳곳에 숨어있는 포토존에서 사진을 찍으면 마치 모네가 된 듯한 환상을 가져다준다. 숲속 쉼터를 지나 조금만 더 오르면 안동루로 오르는 계단을 만날 수 있고, 그곳에서는 안동댐을 한눈에 내려다볼 수 있다. 
",안동시
