,title,addr1,mapx,mapy,firstimage,overview,addr2
0,강구항,경상북도 영덕군 강구면 강구리 253-51,129.3900037,36.35929893,http://tong.visitkorea.or.kr/cms/resource/24/2648724_image2_1.jpg,"경상북도 영덕군에서 가장 큰 항구이자 대게로 유명한 곳이다. 11월부터 이듬해 4~5월까지의 대게 철에는 수많은 대게잡이 어선들이 이곳에 집결한다. 대게 위판장이 운영되며, 일명 ‘대게 거리’로 불리는 식당가가 3km에 이른다. 은어낚시로 이름난 영덕의 주요 하천 오십천(五十 川)이 강구항 남쪽을 통해 바다로 빠져나간다. ‘그대 그리고 나’ 드라마가 촬영되었던 촬영지로 유명해지면서부터 사시사철 관광객들로 북적이는 관광명소가 되었다.",영덕군
1,경정해수욕장,경상북도 영덕군 축산면 영덕대게로 1726,129.4330268,36.48204137,http://tong.visitkorea.or.kr/cms/resource/48/1614848_image2_1.jpg,"번잡하지 않고 일상의 자연스러움과 활기를 맛볼 수 있는 곳이다. 물이 맑고 파도가 잔잔한 것이 특징이며 해변의 남쪽은 바위 지대이다. 이곳은 해삼, 전복, 멍게 등을 양식하기 때문에 수영은 피하도록 해야 한다. 바다에 바짝 붙은 길은 드라이브 코스로 좋으며 어부들의 모습은 향수를 불러일으킬 것이다.",영덕군
2,고래불 해안 (경북 동해안 국가지질공원),경상북도 영덕군 병곡면 병곡리,129.4109336,36.59946091,http://tong.visitkorea.or.kr/cms/resource/59/2614459_image2_1.bmp,"고래불 해안은 길이가 약 4.6km, 폭은 30~100m에 달하여, 오목하고 길쭉한 초승달모양의 해빈으로 경북 동해안에서 가장 큰 규모를 보인다. ‘고래불’이라는 이름은 고려 말 학자 이색이 동해 바다에서 고래가 하얀 분수를 뿜으며 노는 것을 보고 ‘고래가 노는 불’이라 한 데에서 유래하였다.고래불 해안을 따라 분포하는 염습지와 해안사구는 지형학적, 생물학적으로 높은 가치를 지닌다. 염습지는 바닷물과 강물이 만나 섞여서 염도 변화가 큰 습지를 말하는데, 이곳에서는 바다나 육지에서 보기 힘든 식물들이 많이 자라며 조류, 어류 등 다양한 생물들의 산란지가 된다. 고래불 해안에는 육지 쪽에 모래가 언덕모양으로 쌓인 지형인 해안사구 또한 대규모로 발달하고 있는데, 이 해안사구는 해안선을 보호하는 자연제방 역할을 하며. 사구에 저장된 지하수는 해수의 침입으로부터 육지를 보호하고 사구 식물의 성장을 돕는다.* 불 : 영덕지역 방언으로 모래해안을 뜻 함",영덕군
3,괴시리 전통마을,경상북도 영덕군 영해면 호지마을1길 16-1,129.4165709,36.54317299,http://tong.visitkorea.or.kr/cms/resource/10/1967610_image2_1.jpg,"200여년 된 고가옥들이 30여 동이나 즐비한 괴시리 전통마을은 영양 남씨 집성촌으로 400여 년간 세거를 누리며 살고 있는 팔자 형국의 마을이다. 마을 전면에는 영해 평야가 광활하게 전개되어 있고, 옛날에 호지가 있었다고 하여 호지골이라 부르게 되었는데 일명 호지마을로도 불리워지고 있다. 그리고 괴시라는 현마을 명칭은 고려 공민왕 8년 때 목은 이색 선생과 교분이 두터운 중국 사신 래왕 시가 마을을 방문하다 마을 형상이 괴시리 수구 풍면의 호지촌과 비슷하다하여 괴시리라 칭하게 되었다. 도내에서도 보기 힘든 고가옥들로  남씨 괴시파종택외 6점의 고택이 지정되어 문화재로 관리되고 있다.",영덕군
4,국립 칠보산자연휴양림,경상북도 영덕군 병곡면 칠보산길 587,129.3703674,36.61127823,http://tong.visitkorea.or.kr/cms/resource/13/2026513_image2_1.jpg,"태백산맥의 끝부분이 영덕군의 서쪽으로 이어져 서쪽이 높고 동쪽으로 갈수록 점차 낮아져 해안 끝에 다다른다. 이 산은 일곱 가지 보배를 거느렸던 동해의 명산으로 칠보산이라고도 한다. 옛날 이 산에서 일곱 가지 보배가 났다 하여 붙여진 이름이다. 즉 돌옷, 더덕, 산삼, 황기, 멧돼지, 구리, 철 등 일곱 가지이며, 산세가 수려하여 정상에 오르면 동해의 푸른 바다가 한눈에 들어온다. 산의 중턱에는 신라 때부터 있었던 유금사라는 절이 있어 지금도 스님의 독경소리가 속세를 잊게 한다. 또 이산의 초입에는 각종 편의 시설과 휴양림을 갖춘 칠보산 자연휴양림이 있어서 여름철에는 피서객들로 만원을 이룬다. 준비물은 텐트, 간단한 식사 도구 등이 필요하다.",영덕군
5,남호해수욕장,경상북도 영덕군 남정면 동해대로 4142,129.3799416,36.32786619,http://tong.visitkorea.or.kr/cms/resource/86/201786_image2_1.jpg,"모래결 고운 백사장이 1km의 해안선을 따라 길게 이어져 있어 분위기가 아늑한 해수욕장이다. 수심은 1.5m 내외로 경사가 완만해서 가족 피서지로 제격이다. 삼사해상공원과 강구항에서 가까워 각종 편의시설 이용이 편리하며, 7번 국도변에 있어 찾아가기 편리하다.",영덕군
6,대게원조 차유어촌체험마을,경상북도 영덕군 차유길 12-4,129.4438395,36.49041285,http://tong.visitkorea.or.kr/cms/resource/15/2014115_image2_1.jpg,"어촌부락으로 죽도산이 보이는 이 곳 앞바다에서 잡은 게의 다리 모양이 대나무와 비슷하다고 하여 대게로 불리워왔다. 마을 내력을 따라 영덕대게원조마을로 명명되었으며 기념표식을 세웠다.『경정리 동명의 유래는 긴 모래불이 있으므로 뱃불 또는 경정이라 하였다. 경정 2리인 수구너미 마을은 11세기 중기(1060년경)에 영해 부사(寧海府使)가 마을을 순시하던 중 말을 타고 재를 넘으면서 이 마을의 형국을 보고 우마차(牛馬車) 길마 같이 생겼다고 하여 우차의 차(車)와 넘을 유(踰)자를 따서 차유(車踰)라 명명하였다 하며, 마을의 형성은 어느 때 누구에 의해서 되었는지 미상이다.조선시대에는 영해부(寧海府) 남면(南面) 지역이었는데 갑오개혁(甲午改革) 뒤인 1895년(高宗 32년) 5월 26일 칙령(勅令) 제98호로 지방 관제 개정을 할 때 영해부가 영해군(寧海郡)이 되었는데, 이때 경정리는 영해군에 속했으며, 1914년 3월 1일 일제(日帝)는 부령(府令) 제111로 행정구역을 자의로 폐합할 때 오매동·차유동의 일부 지역을 병합하여 경정동이라 하고 영덕군 축산면에 편입되었으며, 그 뒤 1988년 5월 1일 군조례(郡條例) 제972호로 동(洞)을 리(里)로 개칭할 때 경정동은 경정리가 되어 오늘에 이르며, 현재 행정구역상 경정 1,2,3리로 분동되어 있다.』마 쪽 : 뱃불 남쪽에 있는 마을수구너미(車踰洞) : 달부고개 너머에 있는 마을오매(烏梅) : 뱃불 남쪽에 있는 마을",영덕군
7,대진1리 어촌체험마을,경상북도 영덕군 영해면 공수진길 73-1,129.4288442,36.56340425,http://tong.visitkorea.or.kr/cms/resource/10/575910_image2_1.jpg,"전국 최고의 수질을 자랑하는 대진해수욕장이 있는 대진1리는 2001년 해양수산부의 '어촌체험관광마을' 조성사업으로 이루어진 해양레포츠 등 기반시설을 겸비한 어촌마을이다. 백사장을 가로질러 흐르는 폭 200m의 송천천이 있어 담수욕도 즐길 수 있고, 소나무 군락을 형성한 해송림과 자연경관이 가히 장관이다. 특히, 송천천 제방 및 구로(10km)에는 갈대를 중심으로 부들, 물억새, 달뿌리풀, 붕어, 미꾸라지 등 민물낚시도 가능하다.",영덕군
8,대진해수욕장,경상북도 영덕군 영해면 영덕대게로 2840,129.4266916,36.56453742,http://tong.visitkorea.or.kr/cms/resource/65/2021965_image2_1.jpg,"영덕군 영해면 해안마을인 대진리를 중심으로 펼쳐진 대진해수욕장은 어디 내놓아도 손색이 없을 만큼 해수욕장으로서의 조건을 두루 갖추고 있다.  맑고 깨끗한 바닷물이 그대로 간직되어 있으며, 길이 8km, 폭 100m의 백사장 뒤로는 송림이 병풍처럼 둘러쳐져 있어 장관을 이루고 있다. 또한, 수심이 1~2m 정도로 깊지 않고 경사도 완만하여 어린이를 동반한 가족단위 피서지로 적당하다. 백사장의 모래는 알이 굵고 질이 좋아 모래찜질에는 그만이며 몸에 잘 붙지 않는 것이 특징이다. 대진해수욕장의 가장 큰 자랑거리는 백사장을 가로질러 흐르는 폭 200m의 송천천이다. 이곳에서는 담수욕을 즐길 수 있어서 천연 샤워장으로도 안성맞춤이다. 또한, 민물과 바닷물이 만나는 곳이라 민물낚시와 바다낚시를 한꺼번에 즐길 수 있고 어족도 풍부한 편이다. 일반적으로 동해안의 해안선을  단조로운 것으로 알고 있지만 축산면 해안만은 예외이다. 산지가 해안에 인접해 있으며, 죽도산 등이 바다로 튀어나와 복잡한 해안선을 그리고 있다. 그 중 대나무 숲이 무성한 죽도산과 동해바다가 어우러진 풍경은 한 폭의 동양화를 떠올릴 만큼 그윽하다. 또한, 축산1리에서 대진해수욕장에 이르는 해안도로는 드라이브를 즐기기에 아주 좋고, 금빛 백사장 위로 하얀 파도가 밀려드는 풍경은 눈부실 정도로 아름답다. ",영덕군
9,덕천해수욕장,경상북도 영덕군 병곡면 고래불로,129.4233029,36.567587,http://tong.visitkorea.or.kr/cms/resource/54/187354_image2_1.jpg,"일곱가지 보물을 간직한 칠보산 중턱길에서 보는 덕천해수욕장의 초록색 파도는 다른 곳에서는 볼 수 없는 소중한 경치다. 넉넉한 인심과 파란 하늘, 하얗게 펼쳐진 넓은 백사장, 파랗다 못해 초록색으로  빛나는 바다, 그리고 넉넉한 살을 자랑하는 영덕 대게를 모두 즐길 수 있는 곳이다. 이쪽의 덕천리 마을에서는 민박도 저렴하다.",영덕군
