,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가오실공원,경상북도 예천군 개포면 가곡리,128.350819,36.61187271,http://tong.visitkorea.or.kr/cms/resource/89/1615189_image2_1.jpg,"작은 섬에서의 휴식, 가오실공원가오실지는 국도 34호선 4차선변 가곡리 마을에 있는 연못이다. 이 연못에 1,000평 정도의 인공섬이 공원으로 조성되어 있다. 그 안에 수령이 200여 년이 된 소나무와 버드나무가 있다. 가오실(佳五室)이라는 이름에는 다섯 가지 아름다움이 있다는 뜻이 담겨 있다. 공원은 여행지라기보다는 지나는 길에 잠시 들려 휴식을 취하기에 좋은 곳이다. 작은 연못 주위에 벤치가 마련되어 있고, 연못 가운데 떠 있는 작은 섬 우로 수령이 오래된 나무들이 가오실지는 기능보다는 경승미를 갖춘 연못이다. 연못 안에 섬을 만드는 것은 신성사상에서 연유한다. 불로장생을 기원하던 데서 영향을 받은 것이다.가오실지의 풍경에 빠져보자연못 안에는 작은 섬을 만들어 놓았는데, 못이 오래되었듯 섬 안의 나무도 300년은 넘어 보이는 노거수이다. 버드나무도 있고 소나무도 있다.물이 깊은데도 느티나무와 플라타너스는 용케도 잘살아 고목이 되었다. 못의 오른쪽에는 와룡담이 있고 오른쪽에는 용린암이 있다. 지금은 없어졌으나 못가에 드러난 조그만 바위는 용귀라 하였다. 용이 누워 있고, 용의 목 비늘이 있으니 용머리 용귀가 있는 것이다. 수변공원 한쪽 옆에는 간단한 운동기구가 마련되어 있어 장기간 운전의 피로를 조금이나마 풀고, 벤치에 앉아 차 한 잔을 마시며 휴식을 취할 수 있는 좋은 쉼터가 되고 있다. 특히 연꽃이 만발하는 7, 8월경에 이 길을 지나면 창 밖으로 아름다운 풍경을 스쳐 지나간다.* 면적 6225㎡(1,883평)",예천군
1,동악사(예천),경상북도 예천군 예천읍 충효로 448,128.4643519,36.6617469,http://tong.visitkorea.or.kr/cms/resource/72/1958772_image2_1.jpg,"* 예천의 사악사(四岳寺) 중 하나, 동악사 *동악사는 예천군 예천읍 동본리 냉정산 아래 자리한 한국불교 태고종 사찰이다. 동악사는 예천 읍내를 남북으로 가로지르는 한천(漢川)가에 있다. 예천 IC에서 읍내로 들어오는 길목인 동본교를 건너기 직전, 예천 온천 방향으로 우회전하면 100m도 못 미쳐서 오른쪽 길가에 동악사라고 쓴 커다란 표지석을 보고 들어서면 바로 동악사 경내이다. 들어서자마자 눈에 보이는 것은 일반 가정집의 요사채와 그 앞 평상에 앉아있는 노보살, 그래서 처음엔 잘못 찾아온 것은 아닌지 당황하게 되는데 조금 더 들어가 보광명전이라는 편액이 걸린 전각을 보고서야 안심하게 된다. 동악사는 서악사와 더불어 예천의 동서남북 사악(四岳)에 있던 절 가운데 하나였다고 한다. 예천 지역에는 지금도 주택가와 논과 밭 곳곳에 불교 유적지들이 남아있다.예전엔 그 주변으로 크고 작은 절들이 있었으리라. 그때를 상상해보면 예천이 하나의 커다란 가람의 모습이었으리라는 즐거운 추측이 가능하다. 그러나 그 영화가 다 스러진 지금 동악사 부처님은 무슨 생각을 하실까? 사람들의 발걸음이 없어서인지 보광명전은 어둡고 쾨쾨하다. 산신각 오르는 길목엔 산신당이라는 안내판이 서글프다. 굳게 닫힌 보광명전의 문을 활짝 열어젖히고 환한 햇살이라도 온몸에 받으실 수 있으면 좋으련만. 절로 가는 마음이 늘 즐겁고 기쁘기만 한 것은 아니다. 동악사는 마음이 아픈 절이다.* 동악사의 유래와 걸어온 길 *동악사는 671년(신라 문무왕 1) 의상 대사가 중국에서 귀국한 뒤 창건하였는데, 동악사 인근의 지형이 학(鶴)을 닮았다고 해서 처음에는 동학사(東鶴寺)라고 불렀다고 한다. 그러나 창건 이후의 연혁이 전하지 않아 자세한 역사는 알 수 없다. 본래 동서남북 사악(四岳)에 있던 절 가운데 하나였으며, 사악 사찰 중 서악사와 함께 가장 오랫동안 남아 있었던 곳이었고, 근세까지 법등이 이어져 왔다는 사실만 짐작된다. 그러나 그 밖의 문헌 기록은 전혀 알려진 것이 없다. 근래에 와서는 1940년 무렵 옛터 위에 중창되었는데 현재에는 태고종 소속의 사찰로 노보살 두 분이 관리하고 있고 상주하는 스님은 없다.",예천군
2,명봉사(예천),경상북도 예천군 효자면 명봉사길 62,128.3763453,36.77765699,http://tong.visitkorea.or.kr/cms/resource/82/1958782_image2_1.jpg,"* 숲과 계곡, 그리고 사찰의 아름다움, 명봉사 *소백산맥의 깊은 산기슭에 위치한 명봉사는 신라 헌강왕 원년(875) 두운대사가 창건하였다. 문화재로는 고려 태조 24년 세운 경청선원자적선사능운탑비(鏡淸禪院慈寂禪師凌雲塔碑-유형문화재 제3호)는 이두문으로 된 비석으로 국문학연구에 귀중한 자료로 최언위(崔彦僞)가 지은 것으로 판독됐다. 이 밖에 문종대왕태실비(유형문화재 제197호)도 있다. 대웅전 안에는 6.25 때에 유일하게 소실되지 않은 대세지보살상이 봉안되어 있다.절 입구의 숲과 계곡이 빼어나며 경내에는 소나무, 전나무, 느티나무 등 큰 느티나무가 해를 가려 한여름에도 추위를 느끼게 한다. 계곡에는 맑은 물이 흘러 여름철 피서지, 산책로로 각광받고 있다.* 명봉사의 창건과 걸어온 길 *
명봉사의 창건은 신라 말 875년(헌강왕 1) 두운(杜雲) 선사에 의해 이루어졌다고 한다. 창건 이후 조선 중기까지의 역사는 전하는 것이 없으며, 그 뒤 1662년(현종 3)에 화재로 소실되었으나 여러 스님들이 힘을 모아서 중건했다. 1668년에 다시 절이 전소되어 신익(信益)?행선(幸善) 스님 등이 시주를 얻어서 크게 중창하였다. 이후 1807년(순조 7)에도 한 차례 중수가 있었으나, 1950년에 일어난 한국전쟁으로 다시 소실되어 버렸다. 그 뒤 1955년에 중건되어 오늘에 이르고 있다.",예천군
3,보문사(예천),경상북도 예천군 보문면 보문사길 243,128.5602019,36.65498558,http://tong.visitkorea.or.kr/cms/resource/80/1614980_image2_1.jpg,"* 깊은 산세에 있는 조용한 사찰, 보문사 *경상북도 예천군 보문면 수계리 학가산에 자리한 대한불교 조계종 제8교구 본사 직지사의 말사이다. 예천 보문사는 중앙고속도로를 따라 단양, 봉화, 영주를 지나 경상도 내륙 깊숙이 위치해 큰맘을 내야 찾을 수 있는 도량이다. 예천IC를 나와 예천읍 방향으로 가다 삼거리에서 우회전, 지나온 고속도로를 마주보며 10분쯤 가다보면 ‘학가산 보문사’라는 팻말을 보게 된다. 이곳에서 2.5km쯤 논밭 사이로 난 콘크리트길을 따라가면 휘어진 소나무들과 잡목들로 잘 어우러진 산길 중간에 보문사가 있다. 중창주인 보조국사 지눌이 『화엄경』을 읽다 깨달음을 얻은 곳으로 유명한 보문사는 부처님 말씀의 사섭법 중 하나인 동사섭(同事攝)을 실천하는 도량이다. 시골마을, 높지도 낮지도 않은 산중턱에서 지역민과 함께, 지역민 속에서 같은 모습으로 살아가는 절집이 특별한 곳이라기보다 이웃인 듯한 느낌이 나는 곳이다. 보문사 사적비에도 있듯 비록 웅장하고 위용을 갖춘 당우는 없지만 스스로 큰 욕망을 자제하고 작은 것을 자족하여 큰 것을 다스리는 지혜와 넉넉함이 있고, 멋을 부리는 기교와 세련된 조각은 없지만 앉고 누워서 정적삼매를 이루는 데 지장이 없는 당우와 요사가 신축되고 복원된 곳이다. 보문사는 대찰이라 위축됨도, 쇠락해 불편함도 없이 외갓집같이 마음을 편히 내려놓고 부처님을 뵐 수 있는 그런 절집이다.* 보문사의 창건 배경 및 유래 *「학가산 보문사 사적비」에 창건, 설화, 연혁에 대한 자세한 내용이 나타나 있다. 학가산은 태백산맥 줄기 가운데 아름답고 덕성을 갖춘 영산이다. 천하의 신령함이 이곳에 모이고 상서로운 기운이 널리 펼쳐져 있음을 신라 문무왕 16년인 서기676년 의상대사가 발견하였다. 이후 구름을 꾸짖고 숲을 헤쳐서 산을 열고 일승(一乘)의 원지(圓旨)를 받들어 정법의 깃발을 세워 삼승(三乘)을 회통(會通)하는 가람을 세우니 바로 이곳이 보문사이다.",예천군
4,뿅뿅다리,경상북도 예천군 지보면 마산리 938-1,128.3472426,36.57477133,http://tong.visitkorea.or.kr/cms/resource/63/2922463_image2_1.jpg,"뿅뿅다리는 경상북도 예천군 지보면 마산리 회룡포마을로 들어가는 길목에 있다. 예전에는 노후화된 외나무다리였는데, 1997년 강관과 철 발판을 이용해 다리를 놓았다. 당시 마을 주민들은 발판 구명에 물이 '퐁퐁'하고 솟는다고 하여 퐁퐁다리라고 불렀고 이후 각종 방송 등에서 '뿅뿅'으로 잘못 소개하는 바람에 현재 뿅뿅다리로 불리고 있다. 점촌함창IC에서 가깝고, 주변에 회룡포전망대와 삼강주막 마을이 있다.",예천군
5,서악사(예천),경상북도 예천군 예천읍 대심1길 160,128.4350768,36.65817454,http://tong.visitkorea.or.kr/cms/resource/90/1958790_image2_1.jpg,"서악사사는 예천군 예천읍 대심동 봉덕산 중턱에 자리한 대한 불교 조계종 제8 교구 본사 직지사의 말사이다. 봉덕산 산길엔 노란 유치원차가 오르내린다. 서악사 천불전, 룸비니 유치원에선 피아노 소리와 까르르 웃는 아이들의 웃음소리가 흘러나온다. 아이들이 아이들답게 자라나도록 하는 일, 미래의 세상을 밝힐 불종자들을 바르게 키워내는 일을 서악사는 하고 있다. 서악사에선 아이들의 웃음소리 외에 또하나의 소리를 들을 수 있다. 서악사 주지스님인 도일스님의 통기타 소리로 노래를 좋아하는 주지스님 때문인지 서악사에서는 가을이면 산사 음악회가 열리고 문경 운암사, 상주 남장사와 더불어 삼사 합창제가 열리기도 한다. 서악사에 오면 세상에서 가장 아름다운 두 가지 음성, 아이들의 웃음소리와 신도들의 노래 소리를 들을 수 있다.",예천군
6,선몽대,경상북도 예천군 호명면,128.4594875,36.59791244,http://tong.visitkorea.or.kr/cms/resource/94/1958794_image2_1.jpg,"* 자연과 함께하여 더 아름다운 정자, 선몽대(仙夢臺) *선몽대는 퇴계 이황의 종손이며 문하생인 우암 이열도(遇岩 李閱道)가 1563년 창건한 정자이다. 건물의 이름을 짓기 전에 하늘에서 신선이 내려와 노는 꿈을 꾸고 지었으며, 정자 내에는 당대의 석학(碩學)인 퇴계 이황, 약포 정탁, 서애 류성룡, 청음 김상헌, 한운 이덕형, 학봉 김성일 등의 친필시가 목판에 새겨 지금까지 전하여 오고 있다.울창한 노송이 들어서 있어 자연 경관이 매우 좋으며, 매년 정월 대보름에는 마을의 무사태평과 안녕을 위하여 동제를 지내고 있다.* 자연의 아름다움에 빠질 수 있는 선몽대의 볼거리 *선몽대의 뒤쪽에 있는 선몽대숲은 수해와 바람으로부터 백송리 마을을 보호하기 위하여 조성된 보호림 또는 비보림(裨補林: 풍수상 단점을 보완하기 위한 숲)으로, 수령 100~200여 년 된 소나무와 은행나무, 버드나무, 향나무 등이 함께 자라고 있다. 특히 臺 위에 올라 가면 내성천 백사장 명사십리를 한눈에 볼 수 있는 가늘고 긴 내가 자랑하고, 뒷산에는 병암으로 둘러싸인 힘찬 기암절벽이 주위를 황홀하게 한다. 이 마을 뒤 높은 산중턱에 있는 넓은 바위 옆에는 잎과 나무줄기가 흰색인 소나무가 있어 마을 이름을 백송이라 불렀다. 여름철 피서지로 적격이며 봄, 가을, 겨울에는 산책코스로 좋다.",예천군
7,예천 곤충연구소&곤충생태원,경상북도 예천군 효자면 은풍로 1045,128.4582255,36.82462814,http://tong.visitkorea.or.kr/cms/resource/22/2619622_image2_1.bmp,"도심 속에 살고 있는 아이들이 쉽게 접하지 못하는 푸른 하늘과 청량한 기분을 경험할 수 있는 곳은 바로 곤충생태원이다. 곤충의 다양한 모습과 정보를 가득 담고 있는 곤충생태체험관. 나비의 아름다운 비행을 관찰할 수 있는 나비터널. 아름다운 자연과 곤충을 체험할 수 있는 곤충생태원. 편안하게 사계절 대자연의 아름다움을 만끽할 수 있는 모노레일. 신기한 동굴 속 곤충과 동굴을 탐험 할 수 있는 동굴곤충체험관. 무당벌레 모형 건물에서 별나고 색다른 체험을 할 수 있는 곤충멀티체험관. 직접 곤충을 만져보고 체험할 수 있는 다양한 전시들, 흥미로운 볼거리와 아이들이 뛰어 놀 수 있는 놀이시설과 만들기 체험거리 등 흥미로운 것들이 가득하다.",예천군
8,예천 금남리 황목근(팽나무),경상북도 예천군 용궁면 금남리,128.2709152,36.60380271,http://tong.visitkorea.or.kr/cms/resource/43/691943_image2_1.jpg,"예천군 용궁면 금남리(금원마을)소재 동신목(팽나무)으로 나무나이가 약 500년으로 추정되는 노거수로 높이는 15m,둘레는 3.2m이다. 사람처럼 황씨성 목근이란 이름으로 토지를 소유하여 세금을 납부하고 있는 국내에서 가장 많은 토지(12,232㎡)를 소유한 부자나무로 5월이면 누런꽃을 피운다하여 성을 황, 근본있는 나무라는 뜻을 따 이름을 목근이라 지었다고 한다. 금원마을에서 이 나무는 매년 정월 보름을 기하여 축·제관을 선정, 태평성대와 마을 평화를 기원하는 당제를 올리고 다음날 주민들이 함께 모여 뒷잔치를 열고 있다.* 소유자 : 국유",예천군
9,예천 금당실마을,경상북도 예천군 용문면 금당실길 54,128.4110114,36.69022321,http://tong.visitkorea.or.kr/cms/resource/67/893167_image2_1.jpg,"금당실 마을은 경상북도 예천군 용문면 상금곡리 일대에 자리한 마을이다. 예천군청에서 금곡천 물줄기를 따라 나란히 달리는 928번 지방도를 타고 북서쪽으로 6km정도 달리면 금당실 마을에 도착을 하게 된다. 물에 떠있는 연꽃을 닮았다 하여 금당이란 이름이 붙여 졌다고 하며, 마을 주변에 고인돌 등이 산재해 있을만큼 오래된 마을이다. 약 700여 가구가 거주하고 있는 제법 큰 마을로 토마토, 양파, 마늘 등의 작물을 주로 재배하는 전형적인 농촌이다. 기록상으로는 15세기 초엽에 감천문씨인 문헌이 이곳에 정착하여 살면서 그의 손자사위인 박종린과 변응녕 등이 금당실 마을에 들어와 살게 되어 지금에 이르렀다고 한다. 현재는 감천 문씨의 자취는 거의 없고, 함양박씨 35%, 원주변씨 10%, 기타 유입된 타성씨가 55%를 이루고 있다고 한다. 정감록에 나타나 있는 십승지중 하나라고 하는 금당실마을은 태조 이성계가 도읍지로 정하려고 했으나, 한강과 같은 큰 냇물이 없어 아쉬워 했다는 전설이 전해 지고 있다. 마을 이름의 유래는 마을 앞의 금당천에서 사금이 생산되어 '금당실', '금곡' 등의 이름으로 불리웠다는 설과, 임진왜란때 명나라 장수가 이곳을 지나면서 중국의 양양 금곡과 지형이 닮았다 하여 '금곡'이라는 이름이 생겼다는 설이 있다.
금당실 마을에는 양주대감 이유인의 99칸 저택 터를 비롯하여, 초간 권문해의 유적인 종택과 초간정, 용문사, 금곡서원, 추원재, 사괴당 고택, 조선 숙종때 도승지인 김빈을 추모하는 반송재 고택 등의 문화 유적이 많이 남아 있고, 10여채의 고택 사이를 미로처럼 이어주는 돌담길이 옛모습 그대로 남아 있다. 7km나 거미줄처럼 이어진 골목길 때문에 마을입구에는 '골목에서 길 잃어버리지 마시게'라는 표지판을 세워놓았다. 금당실 마을에서 또하나 볼거리는 천연기념물로 지정된 금당실 서북쪽의 소나무 숲이다. 금당실 오미봉 아래에서부터 용문초등학교 앞까지 약 800m에 걸쳐 소나무 900여 그루가 울창하게 조성되어 있는데, 수령은 약 100~200년 되었고, 높이는 13~18m 정도의 구불구불하게 자란 자연림이다. 수해방지와 방풍을 위하여 조성되었고, 오늘날은 마을의 휴식처와 행사중심지로 이용이 되고 있다. 애초에 송림이 조성이 될 때는 2km에 달했으나, 1892년 마을 뒷산인 오미봉에서 몰래 금을 채취하던 러시아 광부 두사람이 살해되는 사건이 생기면서, 마을에서 마을의 공동 재산인 소나무를 베어 배상한 일과, 1894년 동학운동 당시 노비 구출 비용을 마련하기 위해 벌채되면서 송림이 많이 훼손 되었다고 한다.
이제는 송림과 어우러지는 벚꽃길이 숲이 시작하는 지점부터 마을 입구의 928번 지방도를 따라서 용문사까지 8km나 가꾸어져 있어, 벚꽃이 피는 봄부터, 신록이 한참 우거지는 여름과 벚나무 낙엽이 지는 가을까지 산림욕을 즐기며 걷기에 알맞은 곳이 되었다.금당실 마을은 고가정비사업을 통해 초가 6채와 기와가 7채를 새로이 복원 하였다. 또한, 시범적으로 한옥 민박체험 사업을 진행하고 있으며, 농촌 체험과 함께, 양반 체험, 꿀 뜨기 체험 등 다채로운 체험프로그램을 개발하여 운영을 하고 있다. 영화 영어완전정복(2003), 나의 결혼원정기(2005), 그해 여름(2006), KBS 드라마 황진이(2006) 등 각종 영화와 드라마의 촬영지인 이곳을 돌아보고, 이곳의 대표적인 향토음식인 청포묵과 복불고기, 용궁면 순대와 오징어불고기 등을 맛 볼 수 있는 금당실 마을로의 여행은 또다른 좋은 경험이 될 것이다. 이중 갓 잡은 돼지 막창을 두른 순대를 파는 집은 다섯집으로 옛방식 그대로의 순대를 맛 볼 수 있다. 금당실 마을의 다양한 문화재와 인근에 있는 예천진호국제양궁장, 석송령, 회룡포, 예천온천, 학가산 우래 자연휴양림 등 볼거리와 먹거리가 풍부한 곳이다.",예천군
