,title,addr1,mapx,mapy,firstimage,overview,addr2
0,"국수바위 (울릉도,독도 국가지질공원)",경상북도 울릉군 울릉읍 도동리,130.8730707,37.49915986,http://tong.visitkorea.or.kr/cms/resource/68/2614568_image2_1.bmp,"국수바위는 약 157만 년 전, 조면암질 용암 분출로 만들어진 높이 약 30m, 길이 약 300m에 달하는 거대한 바위로, 벽면에 수많은 주상절리가 국수가락처럼 긴 띠를 이루고 있다. 주상절리란, 뜨거운 용암이 공기나 물을 만나 빠르게 식을 때, 용암이 수축하면서 각진 기둥 형태로 갈라져 만들어진 틈을 말한다. 우산국의 우해왕은 사랑하던 왕후(풍미녀)가 죽자, 이를 슬퍼하며 국수바위(비파산)에 병풍을 치고 백일 제사를 지내고 열 두 시녀에게 매일 비파를 연주하게 했다고 전해진다.",울릉군
1,나리분지,경상북도 울릉군 북면 나리길,130.8666011,37.52074058,http://tong.visitkorea.or.kr/cms/resource/70/2547570_image2_1.jpg,동서 약 1.5km 남북 약 2km 울릉도 유일한 평지로 성인봉의 북쪽의 칼데라화구가 함몰하여 형성된 화구원으로 그 안에 분출한 알봉(611m)과 알봉에서 흘러내린 용암에 의해 다시 2개의 화구원으로 분리되어 북동쪽에는 나리마을 남서쪽에는 지금은 사람이 살지않는 알봉마을이 있다. 우산국 때부터 사람이 살았으나 조선조에 이르러 공도정책으로  수백 년 비워오다가 고종 때 개척령에 따라 개척민들이 이곳에 왔는데 옛날부터 정주한 사람들이 섬말나리뿌리를 캐어 먹고 연명하였다하여 나리골이라 부른다. 개척당시 거주민 93호에 500여 명이 거주한 적 있는 울릉도 제1의 집단부락이였다.,울릉군
2,남양마을,경북 울릉군 서면,130.8332614,37.46626279,http://tong.visitkorea.or.kr/cms/resource/57/1893657_image2_1.jpg,"비파산을 사이에 두고 동서로 두 골짜기에서 냇물이 흘러내려 다른 마을보다 골짜기와 시내가 많다고해서 골계(곡계)라 부르다가,  겨울에도 본도에서 가장 따뜻한 지세라 하여 남양동이라 하였다. 사자바위, 남서리고분, 남양 조약돌은 해수욕장으로 가족과 함께 지내기 적당한 장소이며  투구봉과 사자바위 뒤편에 자리잡고 있는 일몰전망대는 기암괴석으로 둘러싸인 해안 주변의 경관이  어우러져 장관을 이룬다.",울릉군
3,"도동 해안산책로 (울릉도,독도 국가지질공원)",경상북도 울릉군 울릉읍 도동리,130.9102513,37.48290416,http://tong.visitkorea.or.kr/cms/resource/81/2614581_image2_1.bmp,"도동 해안산책로는 저동 해안산책로와 이어지며, 이들을 통틀어 행남 해안산책로라고 부르며, 울릉해담길 1구간인 행남 해안길(2.8km)에 해당하며 해안누리길 34코스로 알려져 있다. 무지개다리, 지질공원 로고가 들어간 LED가로등 등의 산책로 기반시설이 잘 조성되어 있기 때문에 접근성이 우수하여 관광객들에게 인기 있는 지질명소이다.도동 해안산책로는 울릉도 초기 화산활동의 특징을 간직한 다양한 지질구조가 관찰된다. 도동항에서 도동등대로 갈수록 암석 생성연대가 대체로 젊어지는 경향을 보이며, 하부로부터 현무암질 용암류, 암석조각들이 산사태로 운반되어 만들어진 재퇴적쇄설암, 화산재가 뜨거운 상태에서 쌓여 생성된 이그님브라이트, 분출암의 일종인 조면암이 순서대로 분포한다.",울릉군
4,도동등대(행남등대),경상북도 울릉군 행남길 291-71 행남등대,130.9189559,37.48692333,http://tong.visitkorea.or.kr/cms/resource/38/169338_image2_1.jpg,"등대가 위치한 행남마을은 도동과 저동 사이의 해안을 끼고 있는 촌락으로 울릉도에서 가장 동쪽에 위치하고 있다. 겨울에도 살구꽃을 볼 수 있다는 따뜻한 마을로, 마을 어귀에 큰 살구나무가 한 그루 있었다하여 행남(杏南)으로 전래되고 있다. 또한 지형이 뱀의 입처럼 생겼다고 하여 살구남(口南)이라고도 한다. 청명한 날에는 등탑에서 정동쪽으로 독도를 볼 수 있으며, 북쪽으로는 저동항의 아름다운 모습과 촛대바위를 한 눈에 바라다 볼 수 있고, 울릉도의 상징인 성인봉의 정상을 볼 수 있다.도동행남등대는 울릉도의 동쪽 끝 행남말(杏南末) 끝단(등고 108m)에 위치하며, 1954년 12월 무인등대를 설치하여 운영하여 오다가 독도 근해 조업 선박이 증가하여 연안표지시설의 필요성이 있어 현재의 위치에 광력을 증강하여 1979년 6월 유인등대화 하였다. 등대에서 한 눈에 바라보이는 저동항은 국가어항으로 울릉도의 유일한 어업전진기지로서 새벽에는 울릉도 근해에서 밤새 낚은 오징어의 참맛을 볼 수 있으며 수평선 너머 떠오르는 일출 광경을 볼 수 있어 관광객들이 끊이지않는 곳이다.* 최초점등일 - 1979년 6월 23일* 구조 - 백8각콘크리트조(9.1m)* 등질 - 섬백광 14초 1섬광(Fl W 14s)* 특징 - 우리나라 국토 동쪽 끝 울릉도 동단 행남말에 위치하며 울릉도와 독도근해 조업 및 운항 선박의 육지초인표지 역할을 하고 있다. 청명한 날 등대에서 정동쪽으로 독도를 볼 수 있다.",울릉군
5,도동약수공원,경상북도 울릉군 울릉읍 도동리,130.9004272,37.48241512,http://tong.visitkorea.or.kr/cms/resource/49/169649_image2_1.jpg,"도동약수터는 토류탄산철천으로 철분, 마그네슘, 염소, 탄산이온 등의 성분이 함유되어 있어 빈혈, 생리장애, 류머티스성 질환, 습진 등 피부병에 효과가 있는 것으로 알려졌다. 옛날 옛적 왜인과 싸우던 장군이 돌아가신 뒤에 장군의 갑옷을 이 근처에 묻었는데 이 갑옷이 삭아서 흘러내리는 쇳물이 약수가 되었다고 전해진다. 이 물로 밥을 지으면 푸른색을 띤다.",울릉군
6,도동항,경상북도 울릉군 울릉읍 도동1길,130.9079099,37.48175424,http://tong.visitkorea.or.kr/cms/resource/74/2547574_image2_1.jpg,"포항에서 북동쪽 188km 해상에 위치하는 울릉도의 문호항인 2종항이다. 항내수역 20,000㎡ 이며, 항만시설로는 선적 시설인 안벽(岸壁) 80m, 물량장 133m 외에 외곽시설로  방파제 184.6m, 방사제(防砂堤) 79m가 있다. 안벽은 정부의 울릉도 관광개발계획에 따라 1973년 착공하여 1977년 완공되었는데, 최대 선적 선박은 1,000t급 1척이다. 한편 연간 하역능력은 2만 t으로, 취급 화물은 주민의 생활필수품과 울릉도산 오징어가 대부분이다. 만남의 설레임과 이별의 아쉬움이 파도처럼 밀려드는 곳으로 왼쪽에는 개척민들의  망향가를 대신 불러주던 망향봉, 오른쪽에는 2,500년의 울릉도 지킴이 향나무가 서있는 행남등대가 오가는 이를 맞는다.",울릉군
7,독도,경상북도 울릉군 울릉읍 독도이사부길 55,131.8692558,37.2394439,http://tong.visitkorea.or.kr/cms/resource/16/2653416_image2_1.jpg,"우리나라 가장 동쪽 끝에 있는 섬으로 동도는  동경 131도 52, 북위 37도 14 그리고 서도는 동경 131도 51, 북위 37도 14에 있다. 비교적 큰 두 개의 섬과 작은 바위섬으로 이루어진 화산섬이다. 바다제비, 슴새, 괭이갈매기 등 희귀한 해조류들이 살고 있으며, 천연기념물로 지정·보호되고 있다. 동해의 맑은 바다와 외로이 떠 있는 섬과 해조류들이 어우러져 매우 아름다운 섬이다. 천연기념물(명칭 - 독도 천연보호구역)인 독도는 문화재보호법 제33조에 근거하여 일반인의 자유로운 입도를 제한해 왔으나, 2005년 3월 24일 정부방침이 변경됨에 따라 제한지역(동도, 서도) 중 동도에 한하여 일반인의 출입이 가능하도록 공개제한지역에서 해제되었다.그리고 입도허가제를 신고제로 전환하였으며, 2009년 6월 기존의 1일 입도제한 인원(1,880명)을 폐지하였다. 동남쪽에 있는 동도는 높이 98.6m, 둘레 2.8km, 면적 73,297㎡로 유인등대를 비롯한 대부분의 해양수산시설이 설치되어 있으며, 500톤급 선박이 접안할 수 있는 1,945㎡(588평)에 이르는 동도선착장이 마련되어 있어 매일 독도를 찾는 관광객들을 맞이하고 있다. 또한, 빗물과 담수화 시설을 마련해 하루 1,500ℓ 정도 식수를 생산하고 있어 엄연한 대한민국 국민들의 삶의 터전임을 보여주고 있다. 서북쪽에 위치한 서도는 높이 168.5m, 둘레 2.6km, 면적 88,740㎡로 정상부가 험준한 원추형을 이루고 있다.현재 주민숙소가 들어서 있어 어민들이 비상시에 대피소로 사용하고 있다. 이외에 부속도서의 면적은 25,517㎡이고, 가재바위, 독립문바위, 촛대바위, 얼굴바위 등 각양각색의 모양을 한 부속도서들이 있다. 이러한 독도의 인근해역은 청정수역으로 한류와 난류가 만나 연안어장과 대화퇴어장이 형성되어 있어 황금어장을 이루고 있다 해도 과언이 아니다. 또한, 지질학적, 생태학적, 사회학적인 가치는 물론, 군사전략적 가치에서도 큰 의미를 지니고 있다.",울릉군
8,독도 등대,경상북도 울릉군 울릉읍 독도이사부길 63,131.8605453,37.24342104,http://tong.visitkorea.or.kr/cms/resource/91/2726491_image2_1.jpg,"바다 한복판에 두 기둥이 우뚝 서서 위풍 당당하게 바다를 바라보는 웅장한 모습의 독도! 거기에 우리의 바다를 비추는 독도등대가 서 있다. 독도는 망망대해 위에 깍아지른 바위 봉우리로 규모는 작지만 거제의 해금강이나 여수의 백도 못지않게 독도의 풍광은 웅장하여 관광지로도 손색이 없으며, 코끼리를 닮은 독립문바위와 주변에 크고 작은 암봉, 가제바위와 탕건봉 등은 바다 한가운데 펼쳐진 기암 전시장처럼 보인다. 동도와 서도 두섬 사이 수면 아래로는 자갈과 모래가 환하게 들어올 정도로 맑다. 바다와 하늘과 조화를 이룬 독도의 자연 경관이 그야말로 한폭의 그림을 방불케 한다. 이 섬은 해저 약 2,000m에서 솟은 용암이 굳어져 형성된 화산섬으로 약 460만 년 전부터 250만 년 전 사이에 형성되었다. 울릉도가 약 250만 년 전부터 생성된 것에 비해 약 200만 년 앞선다.
독도등대는 독도 주변해역 조업어선의 안전을 위하여 1954년 8월에 무인등대로 최초 설치되었으며, 1998년 12월 광력을 증강하고 사람이 상주하는 유인등대화하였다. 현재의 독도등대는 백색원형콘크리트 구조로(높이15m) 백색 불빛이 10초에 한번 깜박이며, 46km의 먼곳까지 불빛을 전한다.

* 최초점등일 - 1954년 8월 10일
* 구조 - 백원형콘크리트조(15m)
* 등질 - 섬백광 10초 1섬광(Fl W 10s)
* 특징 - 우리나라 최동단의 화산바위섬에 세워진 등대이며 등대원이 상주근무하여 국토지킴이 역할과 선박안전에 기여하고 있다.",울릉군
9,독도전망대 케이블카,경상북도 울릉군 울릉읍 도동리,130.8983938,37.48849494,http://tong.visitkorea.or.kr/cms/resource/45/1893645_image2_1.jpg,"도동 약수공원에서 망향봉 정상까지 케이블카를 타고 올라가면서 울릉팔경의 하나인 오징어잡이배인 어화(漁火)를 감상할 수 있으며, 독도전망대에서 날씨가 맑은 날은 독도를 볼 수도 있다. 일출명소로 잘 알려져 있으며 탑승장 옆에는 독도박물관이 있다.
  * 망향봉  
  정착민들의 한이 서려 있는 망향봉은, 108개의 계단을 올라 전망대에 가면 울릉도의 정기가 서려있는 곳이다. 특히 좋은 인연을 맺어 준다고 하는 이 곳은 아름다운 도동항과 시가지가 한눈에 들어온다.
 * 해안전망대

  약 10분 거리의 산책로를 걸어가면 울릉도의 해안이 바로 눈 밑에 펼쳐지는 절경으로 뒤로 보이는 망향봉의 바위가 더욱 돋보인다.

 * 일출
  케이블카의 정상에서 독도를 제외하고는 우리나라에서 가장 빠른 일출을 감상할 수 있다.

 * 독도
  아주 맑은 날(연중 50일)에는 92km 거리의 독도를 육안으로도 관찰할 수 있다. 
 * 독도박물관

  서기 512년 이래 울릉도와 함께 우산국의 영토로서 우리의 역사와 문화권에 편입된 후 지금까지 이어져 온 우리의 고유 영토임을 입증하는 자료가 소장되어 있다. 
 * 약수터
  쏘는 듯한 맛의 도동약수터가 바로 옆에 있어 타는 목과 위를 쓸어준다.",울릉군
