,title,addr1,mapx,mapy,firstimage,overview,addr2
0,거일1리 어촌체험마을,경상북도 울진군 울진대게로 671 어촌체험마을회관,129.4751135,36.71098834,http://tong.visitkorea.or.kr/cms/resource/37/1979137_image2_1.jpg,"청정해역 동해상의 해안도로를 따라 울진대게 원조마을인 거일리는 가족 뿐 아니라 바다 낚시꾼과 관광객들이 즐겨 찾고 있다. 낚시어선을 이용한 다양한 어종 낚시, 미역 채취 체험(갯바위 체험)이 가능하다.",울진군
1,구산해수욕장,경상북도 울진군 기성면 기성로 108,129.4674823,36.75332226,http://tong.visitkorea.or.kr/cms/resource/42/634642_image2_1.jpg,"경북 울진군 기성면 구산리에 있는 구산해수욕장은 백사장 길이는 400m, 수심 1.5~2m, 경사도 15~20도의 아담한 규모의 해수욕장이다. 규모는 작지만, 고운 모래와 해수욕장 주변을 둘러싼 울창한 송림으로 조용한 휴식을 원하는 피서객들이 많이 찾아온다. 구산해수욕장 들어가기 전에 소나무 숲이 빽빽한 월송정이 있고, 해수욕장을 감싸는 소나무 숲에서는 식수대와 야영장이 있어 시원한 그늘에서 산림욕도 할 수 있다. 주변에는 애월헌, 노동서원, 명계서원 등의 문화유적지가 있으며 특히 해수욕장과 멀지 않은 곳에 유명한 백암온천이 있어 온천욕을 하러 왔다가 돌아가는 길에 잠시 거쳐 가는 관광객들이 주로 많이 찾아온다.",울진군
2,구수곡자연휴양림,경상북도 울진군 십이령로 2721 구수곡자연휴양림,129.2914247,37.06361669,http://tong.visitkorea.or.kr/cms/resource/18/183218_image2_1.jpg,"구수곡(九水谷)은 매봉산 분수령을 따라 모여든 아홉 계곡물이 한 계곡으로 합수된 계곡을 구수계곡(九水溪谷)이라 부른다. 옛날 전설에 의하면 봉화 사람이 덕구온천 원탕에 갔다가 매봉산 분수령을 따라 길을 걷는 도중 길을 잃고 말았다. 그러나 이곳의 경관이 좋아 머루, 다래를 따 먹으며 세월을 보내다 갔다는 말이 구전되고 있다. 구수계곡은 10km에 달하는 처녀계곡으로 금강송, 박달나무 군락지 등 희귀수목이 생립하고, 천연기념물인 산양 등이 서식하며, 수원이 풍부하고 18개의 소(沼)와 10개 폭포가 있으며 두 계곡의 종점에는 2개의 폭포가 신비의 극치를 더하고 있다. 더구나 7번 국도와 청정 동해 등이 가까이 있어 온천욕, 해수욕, 산림욕을 동시에 즐길 수 있는 휴양 관광지로 주목 받고 있다.",울진군
3,국립 통고산자연휴양림,경상북도 울진군 금강송면 불영계곡로 880,129.191768,36.93371296,http://tong.visitkorea.or.kr/cms/resource/16/183316_image2_1.jpg,"태백산맥의 명승지인 불영사계곡 상류에 위치한 통고산 자연휴양림은 사람의 발길이 많이 닿지 않아, 태고의 신비를 그대로 간직하고 있다. 계곡의 바닥과 양쪽 절벽에는 흰빛을 띠는 화강암이 풍화되어 장관을 이루고, 계곡물이 굽이쳐 쏟아지면서 곳곳에 크고 작은 폭포를 이루는가 하면 바위바닥이 파여 각기 모양이 다른 작은 물항아리를 모아놓은 듯하다. 휴양림 정상에 있는 통고산(1,067m) 등산과 동해 일출광경이 매력이 있다.

주위에는 신라 진덕 여왕때 의상대사가 창건하였다는 불영사가 있으며, 특히 동해안의 해변휴양지를 가까이 하고 있어 여름철 해변 휴양과 연계하여 이용하기 좋은 곳이다. 인근 소광리는 맑은 계곡과 금강송 자생지로 유명하며, 500년생 소나무가 당당함을 자랑하고 있다.",울진군
4,금강송 에코리움,경상북도 울진군 금강송면 십이령로 552,129.2115734,36.97470588,http://tong.visitkorea.or.kr/cms/resource/65/2639065_image2_1.jpg,"한국인이 꼭 가봐야 할 관광지 100선! 몸과 마음을 오롯이 비우고, 국내 1호 금강송 숲길을 온전히 느끼는 공간 금강송 에코리움은 숲을 통한 쉼과 여유 그리고 치유가 함께한다. 울창한 산림과 청정 자연이 선사하는 진정한 휴식이 그곳에 있다. 조선시대부터 황장봉산이라 하여 철저하게 통제 및 보호 관리되어 온 왕실의 소나무 금강송 숲길과 함께하는 힐링의 공간이며, 때묻지 않은 자연을 품은 육지 속의 보물섬이다.",울진군
5,기성망양해수욕장,경상북도 울진군 기성면 망양리,129.4197308,36.85254889,http://tong.visitkorea.or.kr/cms/resource/54/2754154_image2_1.jpg,"기성망양해수욕장은 하늘을 향해 시원스럽게 뻗은 해송과 넓은 백사장이 어우러진 곳이다. 수질이 매우 깨끗하고 백사장이 넓은 것이 장점이다. 송림이 우거진 숲에서 야영과 민박이 가능하다. 여름 오징어 철에는 도로변 양쪽으로 오징어를 건조하는 '오징어거리' 가 형성되는 진풍경을 볼 수 있다. 또한 망양정 옛터가 마을 앞에 있어 옛 관동팔경의 진수를 엿볼 수 있다. 백암온천과 덕구온천이 40분 거리에 있다. 남쪽으로는 구산항, 북쪽으로는 오산항이 있어 신선한 해산물 요리를 손쉽게 먹을 수 있다.",울진군
6,나곡낚시공원 (바다낚시공원),경상북도 울진군 북면 나곡리 33-1,129.3773154,37.11792048,http://tong.visitkorea.or.kr/cms/resource/57/2754157_image2_1.jpg,"나곡낚시공원은 깎아지른 절벽들이 빚어놓은 풍경을 감상하기 좋은 곳이다. 갯바위와 암초가 잘 발달해 낚시인들 사이에 명당으로 알려진 곳이다. 이곳에서는 벵어돔, 감성돔, 노래미, 가자미, 볼락 등이 주로 잡힌다. 낚시공원까지는 해안가와 절벽을 따라 산책로로 활용할 수 있는 데크가 설치되어 있다. 낚시공원에 들어가는 입구에는 나곡어촌체험마을이 있어 스킨스쿠버 체험 등 바다와 관련된 많은 체험을 할 수 있다.",울진군
7,대풍헌,경상북도 울진군 기성면 구산봉산로 105-2,129.4702541,36.76129085,http://tong.visitkorea.or.kr/cms/resource/01/2794601_image2_1.jpg,"조선 시대 울릉도를 관리하던 수토사들이 구산포에서 울릉도로 가는 도중에 순풍을 기다리며 머물렀던 건물이다. 정확한 건립연대는 확인할 수 없으나 구산동사 중수기에 의하면 1851년(철종 2년) 중수하고 '대풍헌'이라는 현판을 걸었다는 기록이 남아있다. 정면(남쪽) 4칸, 우측면(서쪽) 4칸, 좌측면(동쪽) 3칸의 일자형 팔작집으로 동해안 해변의 작은 포구 구산리 마을 중심부에 남향으로 자리 잡고 있으며, 현재 마을 주민들의 집회장으로 이용되고 있다.",울진군
8,덕구계곡 (경북 동해안 국가지질공원),경상북도 울진군 북면 덕구리,129.2796947,37.07982572,http://tong.visitkorea.or.kr/cms/resource/41/2613141_image2_1.jpg,"덕구계곡은 약 3km 의 계곡으로, 계곡을 따라 세계 곳곳의 유명한 다리들의 축소판이 재현되어 있어 특색 있는 경관을 자랑하며, 우리나라에서 유일하게 자연적으로 솟아나는 덕구온천이 위치한다. 덕구계곡 지역은 주로 화강편마암과 화강암으로 이루어져 있고, 이 암석들이 쪼개진 틈을 따라 올라와 굳은 안산암도 곳곳에서 발견된다. 덕구계곡에서는 이곳의 암석들에 영향을 받은 강물의 흐름이 잘 관찰된다. 덕구계곡의 계곡물은 북동쪽으로 흐르다가 동쪽으로 방향을 트는데 이는 북쪽 지역에 단단한 화강암층이 있어 계곡물이 파고들기 힘들기 때문이다. 또한 동쪽방향에는 쪼개진 틈을 따라 발달한 안산암이 많은데, 이 안산암은 화강편마암이나 화강암보다 흐르는 물에 쉽게 깎여 물길을 만들기 쉽다. 덕구계곡의 명소인 용소폭포는 둥글게 굴곡진 폭포인데, 화강편마암이 계곡물에 잘 깎이지 않기 때문에 완만한 경사의 모양으로 만들어지게 되었다.  
<출처 : 경북동해안지질공원>",울진군
9,덕구온천스파월드,경상북도 울진군 북면 덕구온천로 924,129.2842332,37.07905923,http://tong.visitkorea.or.kr/cms/resource/22/2395322_image2_1.jpg,"덕구온천 리조트 호텔은 행정자치부가 인정한 ""경상북도 1호, 국민보양온천""이며, 태백산맥 동쪽, 경북 울진군 북면 덕구리에 위치한 응봉산 중턱 4,000여 평의 수려한 자연경관과 어우러져 있는, 국내 단 한 곳 밖에 없는 자연용출온천이다.? 국내 최고의 수질을 자랑하는 42.4℃의 약 알칼리 성분을 함유하고 있으며 특히 신경통,관절염, 근육통, 피부질환, 당뇨병 등 성인병에 뛰어난 효과가 있다. 자연용출온천수가 자연으로 뿜어져 나오는 원탕의 광경과 기암괴석 맑은 계곡물 등 천하절경의 아름다운 협곡으로 이루어져 찾는 분의 탄성을 자아내는 곳이기도 하다. ",울진군
