,title,addr1,mapx,mapy,firstimage,overview,addr2
0,개천지와 조성지,경상북도 의성군 안계면,128.4624488,36.38802534,http://tong.visitkorea.or.kr/cms/resource/38/722638_image2_1.jpg,"* 동국여지승람에 기록된 연못, 개천지 *1530년(중종 25년)에 간행된 동국여지승람에 기록된 오래된 못이다. 조선 순조 때에 현인복(玄仁福) 고종 때에 남임린(南賃麟) 등 역대의 비안현감과 1913년에 강기덕(康基德) 등 오랜 세월에 황폐된 이 못을 중수하였다는 공덕비가 남아 있다. 규모가 커서 1,000여 정보의 안계평야에 개수(開水)를 공급하고 있다. 현재의 제방은 옛 제방에서 한자리 낮추어서 8.15 광복 직전에 착공하여 공정이 크게 진척되었다가 광복으로 중단되고 수해에 유실되는 비극을 겪기도 하면서 1952년 3월 31일 준공하게 되었다고 한다.1792년(영조 5년)에 간행된 비안현 여지승람(比安縣 輿地勝覽)에는 고개천지(古開天池)와 개천지(開天池)가 나란히 나타나는데 고개천지는 그 규모가 길이 490척, 가로 240척이라 하였고 개천지는 길이가 1,160척, 가로 750척이라 하였다. 유서 깊은 봉성산 아래서 경관이 아름답고 겨울에는 북녘 철새가 날아와 장관을 이루는가 하면 스케이트장이 되기도 하고, 봄부터 가을까지는 소풍객과 태공들이 국내 각처 멀리서 찾아오기도 한다.* 준공 당시 경북 최대의 규모를 뽐냈던 저수지, 조성지 *구천면의 남쪽에 위치한 조성지는 1952년 11월에 시작되어 1959년 12월에 완공되었으며, 제방 길이 258m, 높이 18m, 물넘이 길이 85m, 저수량 400만톤, 만수면적 60ha, 유역 면적 1,855ha, 수리면적 700여ha로서 준공 당시는 경북 최대의 저수지였다. 1개 마을 40여호가 수몰이 되어 이주했으나, 저수지의 위치나 천혜의 조건이 잘 갖추어져 있는 곳이기도 하다. 저수량에 비해서 제당이 짧은 것이 특징이고, 수심은 깊어 만수면적도 개천지에 비해 넓지 않으나 2배의 저수량을 저수하게 된다. 깊은 산속에 바다처럼 넓은 호수가 있으니 겨울철에는 철새들이 찾아오는 진풍경이 아름답고 최근에는 태공들이 많이 찾아오고 있다.",의성군
1,고운사(의성),경상북도 의성군 단촌면 고운사길 415,128.7501073,36.45863934,http://tong.visitkorea.or.kr/cms/resource/38/721738_image2_1.jpg,"고운사는 대한불교 조계종 제16교구 본사이다. 신라 신문왕 원년(681년)에 의상조사가 창건한 사찰로 창건 당시는 고운사(高雲寺)라 하였으나 200여 년 뒤, 고운(孤雲) 최치원이 이곳에서 수도하면서 가운루와 우화루를 지은 후 그의 호를 따서 고운사(孤雲寺)라 하였다. 헌강왕 때에 도선(道詵)이 약사여래불과 석탑을 건립하였다.고려 시대인 948년(정종 3) 고려의 운주조통(雲住照通)이 사찰을 중창하였고, 1018년(현종 9)에 천우(天祐)가 다시 중창하였다. 이후 조선시대에 들어와 1695년(숙종 21)에 행옥(幸玉)과 태운(泰運)이 중수하였다. 그 후 1835년(헌종 1)에 불탄 것을 만송(晩松)·호암(虎巖)·수열(守悅) 등이 재건하였다. 또한 임진왜란 때 사명대사가 승군의 전방 기지로 식량 비축과 부상병 뒷바라지를 하던 사찰이며, 일제 탄압 시는 전국 31 본산지의 하나로 호국불교의 꽃을 피웠던 곳이다. 현재 고운사에는 30동의 건물로 이뤄져 있는 규모 있는 사찰이다.

* 일주문부터 우화루 등 고운사의 다양한 볼거리 *
일주문을 통과하여 맨 먼저 나타나는 건물이 신라 말 학자인 최치원이 세운 누각인 가운루로 옛날에는 이 누각 아래로 계곡물이 많이 흘러내렸다. 그래서 계곡에 잠기는 부분에는 돌기둥을 놓고 그 위로는 나무 기둥을 이어서 누각을 받쳤다. 이제는 예전처럼 물이 흐르지 않아 본래의 진가는 발휘하지는 못하지만 건물 자체의 정교한 아름다움은 그대로 간직하고 있다. 그 옆에 서 있는 최치원이 세운 우화루 벽엔 커다란 호랑이가 그려져 있는데, 보는 방향에 따라 그 모습이 달라지는 걸작이다. 대웅전 옆의 언덕배기에는 전통 깊은 수도 선원 고금당이 자리 잡고 있으며 고금당 옆에 맵시 있게 지어진 자그마한 당우 한 채가 나란히 서 있는데 대웅전으로 원래 쓰이던 나한전이다. 나한전 앞에 있는 높이 2.5m의 단정한 맵시를 자랑하고 있는 고운사 3층 석탑은 경상북도 문화재자료로 지정된 석탑이다. 대웅전 왼쪽으로 돌아앉은 약사전엔 불상광배의 조각 수법이 뛰어난 석조석가여래 좌상이 모셔져 있는데 보물로 지정되어 있다. 고운사에 자리잡고 있는 명부전에는 염라 10왕이 모셔져 있는데, 영험 있는 기도처로 알려져 있어서 사람들이 많이 드나든다.

[주요문화재]
1) 고운사석조석가여래좌상(보물)
2) 고운사가운루(지방유형문화재)
3) 고운사삼층석탑(문화재자료)",의성군
2,교촌농촌체험마을,경상북도 의성군 안계면 교화길 59,128.4658657,36.36648064,http://tong.visitkorea.or.kr/cms/resource/47/1979147_image2_1.jpg,"풀벌레 소리와 새들의 지저귐이 매일 들리는 농촌마을이다. 교촌리에는 큰 하천인 위천이 흐르고 위천으로 흘러들어가는 작은 지류가 흐르고 있다. 주변에 크고 작은 못도 많이 있어 농사가 많이 이루어진다. 교촌이란 이름은 과거에 비안향교가 있어서 붙여진 이름이다. 마을 전체가 내려다 보이는 자리에 위치한 “비안향교”, 부녀회원들이 당번제로 운영하는 “덕방앗간”, 녹색바다로 착각할 정도로 넒은 들판, 다양한 종류의 물고기들이 강태공을 기다리고 있는 여러 저수지, 조개잡이와 물놀이를 안전하게 할 수 있는 위천, 마을 주민들의 땀과 출자로 아름답게 꾸민 교촌무지개수련원 등은 마을이 자랑하는 녹색농촌관광의 훌륭한 자원이다.교촌마을은 다양한 자원을 바탕으로 마을에서 체험할 수 있는 프로그램을 운영하고 있다. 또한 초등학교 폐교를 구입, 리모델링하고, 소하천 정비, 마을조경, 꽃동산조성, 원두막, 야외수영장, 연못, 소공원, 황토방, 숙소, 강당, 식당 등 100여명의 체험객을 수용할 수 있는 시설을 갖추고 있다는 것도 장점이다.",의성군
3,금봉자연휴양림,경상북도 의성군 휴양림길 114 금봉자연휴양림,128.8746305,36.3315256,http://tong.visitkorea.or.kr/cms/resource/60/1979160_image2_1.jpg,"* 자연과 하나가 될 수 있는 쉼터, 금봉자연휴양림 *금봉자연휴양림은 옥산면 소재지에서 휴양림으로 청정자연 휴식공간으로서 의성군에서 2004년 조성하였다. 휴양림 내에는 산림휴양관, 복합수련관, 숲속의 집, 통나무산막과 다양한 숲속 체험을 제공하는 야영데크, 캠프화이어장, 샤워장, 취사장 등이 설치되어 있다. 이 가운데 복합수련관은 세미나실, 대회의실, 소규모공연장 등을 갖추고 있어 단체행사가 가능하고 통나무산막은 참나무, 소나무, 가문비나무, 자작나무 등 다양한 식생의 나무들로 이루어져 자연의 향취를 느낄 수 있다.금봉자연휴양림에는 분수와 무지개다리를 관망할 수 있는 팔각정과 휴양림을 감싸고 있는 6.4km의 등산로 2코스, 7.4km의 청석골 산책로 및 시화산길, 단거리 산책로 등도 조성되어 있다. 휴양림을 감싸고 있는 등산로와 청석골의 산책로는 조용한 산행의 정취를 느낄 수 있다. 봄이면 사과 꽃이 만개한 꽃길, 여름에는 시원한 시냇물과 어우러진 풀벌레 울음소리를 들을 수 있으며, 형형색색으로 갈아입는 단풍길과 빨간 고추잠자리 떼를 볼 수 있는 가을 뿐 아니라, 겨울에는 눈 덮인 산과 놀래 달아나는 산토끼를 볼 수 있는 사계절이 풍요로운 곳이다.",의성군
4,달빛공원,경상북도 의성군 사곡면 의성사곡로 1064-62,128.8026764,36.31042109,http://tong.visitkorea.or.kr/cms/resource/48/2738348_image2_1.jpg,"달빛공원은 2012년 조성되었다. 
의성 달빛공원 주변에 주월사라는 절이 있다. 주월사는 달이 머무는 절이라 하여 지어진 명칭이고, 주월사 인근에 공원을 조성하였다 하여 달빛공원이라 명명되었다. 
해 질 무렵엔 주월사를 방문하고 어둠이 깔리면 공원으로 나와 별자리를 찾아보면서 지친 마음을 달래기 좋다.",의성군
5,대곡사(의성),경상북도 의성군 다인면 대곡사길 80,128.3771312,36.490151,http://tong.visitkorea.or.kr/cms/resource/10/2690110_image2_1.jpg,"* 고려시대의 대찰, 대곡사 *대곡사는 비봉산(579m) 동쪽 자락에 위치한 고려 시대 사찰이다. 고려 공민왕 17년(1368년)에 왕사인 지공선사와 나옹선사가 창건했다. 비봉산 일대에 본원을 비롯한 아홉 개의 암자를 지어 불교를 융성하게 하였으며 또한 호국불교 정신으로 많은 불제자를 배출한 고려 시대의 대찰이다. 경내에는 경북 유형문화재로 지정된 대웅전과 범종각이 있으며 또한, 단출하면서도 고아한 고려 시대의 석탑 양식을 엿볼 수 있는 대곡사 13층 석탑은 대곡사의 또 다른 볼거리이다. 고려 이전에는 태행산, 조선시대에는 자미산이라 불리기도 하였고, 대곡사에서 적조암을 거쳐 3km에 이르는 등산로가 조성되어 시간 반을 걸어 정상에 오르면 100리나 되는 긴 계곡이 펼쳐져 있고 남으로는 저 멀리 안계평야가 북으로부터 흘러오는 낙동강을 마주하는 있는 지역은 산세가 특히 절묘하게 펼쳐져 있어 등산하기 좋은 곳이다. * 대곡사의 창건 역사와 걸어온 길 *대곡사는 1368년(고려 공민왕 17) 인도 승려로 알려져 있는 지공(指空)과 고려의 나옹 혜근(懶翁惠勤, 1320~1376)이 창건하였다고 전한다. 창건 당시에는 대국사(大國寺)라 하였는데, 이는 지공이 중국 원(元)과 고려 두 나라를 다니면서 불법을 편 것을 기념하기 위해서였다고 한다. 그러나 1960년 대곡사 ‘탑 밭’에서 출토된 통일신라시대의 보살상을 볼 때 그 이전에 이미 창건되어 있었다고 보아야 할 듯하다. 더군다나 고려 말의 이규보가 대곡사를 탐방하고 지은 시문 제목에 ‘대곡사’라 되어 있어 13세기 초중반에 이미 절이 있었고, 이름이 대곡사였음을 알 수 있다. 그 밖에 절에 전하는 다층 청석탑도 12세기 이전의 양식을 지니고 있으므로 아무래도 절의 창건은 통일신라 말 또는 고려 시대 초 무렵으로 보아야 할 듯하다. 지공·혜근 두 스님은 14세기에 대곡사를 중창한 것으로 생각해 볼 수 있다. 조선에 들어와서는 세종(1418~1450) 때 교종(敎宗)에 속하였다. 1597년(선조 30) 정유재란으로 불에 탄 것을 1605년(선조 38) 탄우(坦祐)가 중창하면서 대웅전과 범종각·요사 등을 새로 지었다. 1687년(숙종 13) 태전(太顚)이 중건하면서 이곳 태행봉에 올라가서 주위를 둘러보았더니 100리나 되는 긴 계곡이 보인다 해서 대곡사로 절 이름을 바꾸었는데, 이후의 연혁은 전하지 않는다.",의성군
6,문익점 면작기념비,경상북도 의성군 금성면 동부로 2545,128.6772135,36.27317575,http://tong.visitkorea.or.kr/cms/resource/13/722013_image2_1.jpg,"* 붓통과 목화씨로 유명한 문익점 면작기념비 *문익점과 문승로의 목화 재파를 기념하기 위해 1935년데 기념비를 건립하였다. 금성산 고분군 입구에 있으며, 기념비 뒤로는 자그마한 목화밭이 조성되어 있다. 조선 태종 때 의성 현령으로 재직했던 문익점의 손자 문승로가 의성 땅에 목화씨를 파종한 것을 기념하여 세웠다. 목화는 고려 공민왕 때 삼우당 문익점이 원나라에 사신으로 갔다가 금주성에서 목면종자를 필관에 넣어 귀국하였다. 그리고 조선 태종 시절 손자 문승로가 의성 현령으로 재임하면서 의성군의 지세가 금주성과 흡사하여 제오리에 목화를 재파하였다고 전해진다.* 우리나라에 목화를 처음 가져온 삼우당 문익점 *문익점은 고려 공민 왕 때 좌정언으로 서장관이 되어 이공수를 따라 원나라에 갔다가 돌아오면서 붓대 속에 목화씨를 감추어 가져온 것으로 유명하다. 장인 정천익과 함께 재배에 성공하였다. 1360년(공민왕 9) 문과에 급제하여 김해부사록(金海府司錄)·순유박사(諄諭博士) 등을 지내고, 1375년(우왕 1) 다시 전의주부(典儀注簿)로 등용되었다. 1389년 좌사의대부(左司儀大夫)가 되었으며, 공양왕 때 이성계(李成桂) 일파에 의하여 추진된 전제개혁(田制改革)에 반대했다가 조준(趙浚)의 탄핵으로 밀려났다. 1440년(세종 22) 영의정이 추증되고 강성군(江城君)으로 추봉되었으며 세조 때에 사당이 세워졌다.",의성군
7,비봉산,경상북도 의성군 다인면 봉정리,128.3610244,36.48864809,http://tong.visitkorea.or.kr/cms/resource/86/2689586_image2_1.jpg,"비봉산은 일명 자미산이라고도 부르는 명산으로 고려 시대 이전에는 태행산, 또는 대항산으로 불리기도 했으며 삼국시대에 견훤이 이곳에 성을 쌓고 은거했다는 전설이 있다. 이 산을 동쪽에서 바라보면 봉이 날개를 펼치고 앉아 있는 모습이며 남쪽에서 보면 장군이 투구를 쓰고 서 있는 형국이고 북쪽에서 건너다보면 옥녀봉을 바라보는 용기찬 장군 기상으로 보인다. 북쪽에서 건너다보면 옥녀봉을 바라보는 용기찬 장군 기상으로 보인다. 북쪽 산 밑으로는 예천군 지보면과 경계를 이루는 낙동강이 하얀 비단처럼 가로 놓여있고 사방으로 넓은 평야와 학가산, 팔공산, 보현산, 갑장산, 노악산, 속리산 등 명산들이 한눈에 들어온다.",의성군
8,빙계계곡,경상북도 의성군 춘산면,128.7588242,36.22924894,http://tong.visitkorea.or.kr/cms/resource/22/721322_image2_1.jpg,"* 신비함과 아름다움을 갖추고 있는 곳, 빙계계곡(氷溪溪谷) *빙계계곡은 경북 8승의 하나로 1987년 9월 25일 군립공원으로 지정되었다. 얼음구멍과 바람구멍이 있어 빙산이라 하며, 그 산을 감돌아  흐르는 내를 빙계라 하고, 동네를 빙계리라 부른다. 빙계계곡은 빙계(氷溪) 3리 서원(書院)  마을에 위치하고 있다. 삼복 때 시원한 바람이 나오며 얼음이 얼고, 엄동설한엔 더운 김이 무럭무럭 솟아나는 신비의 계곡이다. 계곡 안쪽에 자리한 보물 오층 석탑은 높이 8.15m의 대형 탑이며, 화강석으로 조성된 고려 초의 석탑이 있다. 마을 건너편에 수십  미터 높이의 깎아지른 듯한 절벽이 병풍처럼 둘러져 있고, 그 아래 맑은 시냇물 가운데 우뚝 솟은 크고 작은 무수한 바위는 1933년 10월 4일 경북도내 경북 8승의 하나로 뽑혔을 정도로 아름다운 장관을 보여준다. 계곡 가운데 돋보이는 높이 10m, 둘레가 20m 정도의 유난히도 큰 바위에 빙계동(氷溪洞) 이란 커다란 글씨가 새겨진 건 임진왜난  때 여기 들른 명장 이여송(李如松)의 필적이란 얘기도 있다. 그 옆에 단 하나의 큰  바위 위에는 경북 팔승지일이라고 새긴 아담한 돌비(石碑)가 자리잡고 있다.* 여덟 곳의 이름난 비경, 빙계 8경 *빙계계곡은 깎아 세운 듯한 절벽 사이의 골짜기를 따라 시원한 물이 흐르며, 여덟 곳의 이름난 빙계 8경이 있다. 빙계 8경은 계곡 입구에서부터 용추(龍湫), 물레방아[水礁], 바람구멍[風穴], 어진바위[仁巖], 의각(義閣), 석탑(石塔), 얼음구멍[氷穴], 부처막[佛頂]이다. 용추는 빙계계곡 물에 패인 웅덩이이고, 물레방아는 주민들이 계곡물을 이용하여 방아를 찧던 것이다. 풍혈과 빙혈은 빙계리 입구에 있는  바위틈으로, 한여름에는 얼음이 얼어 영하 4도를 유지하고 겨울에는 영상 3도를 유지해  훈훈한 바람이 불어 나온다. 인암은 정오가 되면 ‘仁’자 모양의 그늘이 생긴다는  바위이고, 의각은 윤은보의 뜻을 기리기 위해 세운 비각이다. 부처막은 빙산 꼭대기에  움푹 팬 곳으로 부처와 용이 싸울 때 생긴 것이라고 한다.제1경 빙혈(氷穴)마을 뒷산 산기슭의 바위 아래 너덧 명이 들어 설수 있는 방 한칸 만한 넓이의 공간이다. 여기선 입춘(入春)이 되면 찬 기운이 나고 한여름엔 얼음이 얼어 있다. 입추(入秋)가 지나면 차차 녹아 동지(冬至)에는 볼 수 없고 훈훈한 바람이 나온다.제2경 풍혈(風穴)동구 도로 변 바위와 바위 사이에 뚫린 좁고 깊은 곳으로 여름엔 찬바람이 나오고, 겨울철은 훈훈한 더운 바람이 일고 있다. 그 근방 크고 작은 바위 사이엔 거의 같은 현상이 일어 나는 편이다.제3경 인암(仁岩)옛날 서원(氷溪 書院)터 앞에 위치한 나비 1.2m, 높이 2.4m가 넘는 큰 바위다. 그 전면에는 햇빛으로 인해 정오가 되면 어질 인(仁)자 모양의 그늘이 나타나 세상 인심을 선도하는 듯한 느낌이 든다는 것이다.제4경 의각(義閣)임진란 때 윤은보(尹殷甫)가 모재, 회재(晦齋) 두 분의 위패를 청송 주왕산(周王山)으로 모셔 들어가 7년 동안 삭망시 향화를 이어와 잘 피난시켰다가 평란 뒤 서원에 안주케 했다. 그 공으로 의사라 일컬음을 받고 그이 갸륵한 의리를 기려 비와 이 전각을 세워 의사각(義士閣) 이라고 불린다.제5경 수대(水 )(물레방아)시냇물을 이용해 매일 많은 곡식을 찧던 규모 큰 물레방아가 있었다가 오래 전 자취를 감춰 버렸고 그 빈터 가까이 대한불교법화종 소속 빙계정사(氷溪精舍)가 세워져 신도들의 발길이 잦다.제6경 석탑(石塔)빙산사 구지(氷山寺 舊址)에 당시 (신라말 내지 고려초) 이뤄진 5층 모전(模塼) 돌탑으로 보물로 지정되어 있다제7경 불정(佛頂)불정봉(佛頂峰) 꼭대기에 움푹 파인 데로, 그 옛날 부처가 용과 싸울 적에 찍은 쇠스랑 자국이란 설이 전한다.제8경 용추(龍湫)(용소)개울의 깎아지른 듯한 절벽 밑 시냇물이 굽이치는 곳에 깊은 웅덩이가 있었다는데 현재 거의 메워졌다. 부처와 싸운 용의 머리가 부딪쳐 파인 데라 한다.",의성군
9,산운마을,경상북도 의성군 금성면 산운마을길 40-9,128.7020288,36.24472667,http://tong.visitkorea.or.kr/cms/resource/12/2794612_image2_1.jpg,"경상북도 의성 산운마을은 400여 년의 역사를 이어온 영천 이 씨 집성촌으로 ‘대감 마을’로도 불린다. 조선 선조 때 강원도 관찰사를 지낸 학동 이광준이 정착해 마을을 이뤘고, 이후 내리 3대가 급제를 하는가 하면 광해군 때 승지를 지낸 경정 이민성, 현종 때 형조판서를 지낸 운곡 이희발 등을 배출하며 명문으로 이름이 높였다. 일제강점기에는 독립운동가인 경산 이태직이 충절과 명예를 지켜내기도 했다. 산운마을은 수많은 전설을 간직한 금성산을 뒤에, 비봉산을 옆에 두고 마을 남쪽으로는 쌍계천이 흘러 전형적인 배산임수의 풍수명당이다. 마을 이름이 “산운”이 된 이유는 불교가 융성했던 신라시대 때 수정계곡 아래 구름이 감도는 것이 보였다 하여 붙여진 이름이다. 마을 내에 학록정사와 운곡당, 소우당, 점우당 등 지정문화재와 전통가옥이 다수 남아 있어 볼거리가 많다.",의성군
