,title,addr1,mapx,mapy,firstimage,overview,addr2
0,감빛고을,경상북도 청도군 금천면 소천길 193,128.9006983,35.72353664,http://tong.visitkorea.or.kr/cms/resource/03/1967203_image2_1.jpg,감빛고을에서는 1200여평의 넓은 공간에서 천연염색 체험 등 다양한 체험을 할 수 있다. 체험은 초중고급반으로 운영하며 자연의 소중함을 느낄 수 있는 체험마을이다.,청도군
1,국립 운문산자연휴양림,경상북도 청도군 운문면 운문로 763,129.0228646,35.64920563,http://tong.visitkorea.or.kr/cms/resource/66/582766_image2_1.jpg,"대구~경남 언양간 지방도(985호선)변에 위치한 운문산 자연휴양림은 영남 7산의 하나로 손꼽히는 운문산(일명 호거산 1,188m)기슭에 위치, 백두대간 낙동정맥의 남부지역에 위치하는 문복산(1.014m)과 영남의 알스라 칭하는 가지산(1,240m) 등 해발 1,000m 이상의 고봉에 둘러싸여 있어 여름철 피서는 물론 등산과 삼림욕을 함께 즐길 수 있는 곳이다.휴양림 시설지구 내에 20m 높이에 은막의 물을 쏟아 붓고 있는 용미폭포와 모래흙이 없는 완전 암반 위를 구슬같이 흘러내는 벽계수계곡이 일품이다. 자생하는 노각나무 등 다양한 수종의 울창한 천연활엽수림 지역으로,  여름에는 울창한 숲으로 가을에는 기암 괴석과 조화된 형형색색의 단풍이, 겨울에는 심산계곡의 고요한 자연속 포근한 설경과 용미폭포의 빙벽이 장관이다. 동쪽 2.5km 지점에 위치한 운문령에서는 동해의 해돋이 관광도 즐길 수 있다. * 구역면적 - 1,961 ha",청도군
2,대비사(청도),경상북도 청도군 금천면 박곡길 590,128.9361054,35.65628655,http://tong.visitkorea.or.kr/cms/resource/81/1967481_image2_1.jpg,"대비사는 신라 진흥왕 때 신승이 호거산(운문산)에서 수행하던 중 산에 오령이 있음을 알고 7년 동안 5개 사찰(오갑사: 대작갑사, 가슬갑사, 천문갑사, 소작갑사, 소보갑사)을 지은 것 중 지금의 운문사인 대작갑사와 대비사인 소작갑사만이 남아 있다. 그 후 여러 스님들이 중창을 거듭하다 고려 시대 박곡리 마을 내에 있던 것을 학일 스님이 중창하면서 지금의 자리로 옮긴 것으로 추정된다. 이 절집의 이름이 대비사라 한 것은 불교의 대자대비라는 뜻으로 지어진 것이라 하나 일설에는 신라 왕실의 대비라는 왕비가 수양 차 이 절에 와서 지낸 것이 인연이 되어 대비갑사라 부르게 되었다 한다. 이절은 부도밭에 있는 고승대덕들의 부도와 대웅전의 불단 내부에서 발견된 묵서의 기록 등으로 17세기 중건된 사실이 전통을 말해 준다 하겠다. 그보다 절집에 머물며 이리저리 발길을 옮기다 보면 절집에 살고 있는 사람들과 주변에서 느껴지는 따뜻함과 편안함이 일타 스님의 보살행이란 법문이 생각나는 그런 절집이다.",청도군
3,대산사(청도),경상북도 청도군 각남면 옥산길 248-170,128.6100355,35.5995536,http://tong.visitkorea.or.kr/cms/resource/88/1967488_image2_1.jpg,"경북 청도의 월은산은 풍수지리학적으로 제비가 알을 품고 있는 형상으로 새들이 많은 곳이다. 풍각면 덕양리에서 대산사로 오르는 산길은 뱀의 모양과 흡사하다. 아마도 이러한 산의 형상 때문인지 제비알을 훔쳐가는 뱀이 많았던 모양이다. 이 뱀을 쫓기 위해 월은산에 소재한 대산사 경내에는 특이하게도 지대석을 멧돼지 형상으로 만든 돼지탑을 조성해 놓아 방문객의 눈길을 끈다.이 탑은 1950년경에 조성해 놓은 것으로 어른 키보다는 조금 더 큰 석탑이다. 네모난 자연석 위에 이층기단과 2층탑의 형상으로 갖추고 있는데, 기단의 네모진 자연석 모서리에 멧돼지를 조각하였는데, 그 형상이 부릅 뜬 눈과 툭 튀어나온 주둥이가 매우 해학적이다. 화악산(華岳山)에서 서쪽으로 뻗어내린 월은산정에 자리잡고 있는 대산사는 옛날에는 용봉암 또는 용봉사라고도 하였다. 이 절은 신라 흥덕왕 5년(830)에 원효대사가 창건하였다고 전해오나 확실치는 않다.전해오는 이야기에 따르면, 목지국(目支國)에서 남해상에 표류해온 천수관음 불상 3구가 있었는데 이중 1구는 청도 운문사에 봉안하고 또 1구는 간 곳을 알 수 없으며, 나머지 1구를 대산사에 봉안하여 용봉사(龍鳳寺)라 하였다고 한다. 그러나 임진왜란 때 화재로 법당이 소실되고, 천수관음불상은 왜적들의 도적질이 두려워 땅 속에 묻었는데, 그 사실을 안자가 고철로 팔려는 생각에 불상을 파내던 도중 피를 토하고 죽었다는 이야기도 전해진다. 임란 후에 불상을 파내어 법당에 다시 봉안하였는데, 고종 13년(1876) 왕후의 꿈에 부처님이 현몽하여 많은 시주를 하고 절을 중건하였다.그후 다시 의문화상(義文和尙)이 중수하여 대산사라 개칭하였다. 이후 여러 번 수리하여 보존되었으나 1930년 일제강점기에 또다시 야습한 도적 때들의 방화로 법당은 사라지고 불상은 반소된 것을 봉안해오다 주변 땅에 묻었다고 전해지고 있다. 지난 2000년 여름 사찰경내 밭에서 발견된 천수관음불상 수인에서 용봉사의 내력을 느낄 수 있다. 대산사로 가는 길은 조용하고 아름다운 곳이다. 경치는 특히 아름다워 봄이면 산을 뒤덮는 꽃구경과 가을이면 단풍을 즐기는 사람들로 붐비는 곳이다.",청도군
4,덕사(청도),경상북도 청도군 화양읍 소라길 16-107,128.7428224,35.65434986,http://tong.visitkorea.or.kr/cms/resource/96/1967496_image2_1.jpg,"청도읍 대남병원 앞에서 좌회전, 길을 따라 가다보면 청도천 교각 아래에서 길이 끊어지고 한참을 제자리에서 헤매게 된다. 분명 바로 여기쯤인데 하면서도 사방 어디에도 덕사 가는 길은 보이지 않는다. 덕사는 가는 길부터가 남다르다. 들어가는 입구 길이 물(잠수교) 속에 있기 때문에 처음 가는 사람은 찾아내기가 쉽지 않다. 가뭄이 들어 내(川)가 마르지 아니면 대부분 다리가 물에 잠겨있기 때문에 다리를 건너려면 마치 차를 몰고 용궁으로 가는 그런 기분이다. 산 하나가 섬 아닌 섬처럼 비가 많이 오면 그 잠수교마저 차량이 통제가 된다. 덕사가 머물고 있는 곳은 산 전체가 하나의 섬처럼 되어있으며 전국 어디에도 볼 수 없는 덕사만이 가질 수 있는 아름다운 특징을 가지고 있다.덕사가 언제 누구에 의해 창건되었는지는 자세한 문헌이 없어 고증하기 어렵다고 한다. 절 이름이 덕사가 된 것은 절이 자리한 주구산과 관계가 깊다고 한다. 주구산의 형국이 마치 달리는 개 모양의 산처럼 생겼기 때문에 이러한 산 이름이 붙었다. 그런데 달아나는 개는 머물게 해야 좋다는 풍수지리적 관점에서 여기에 절을 세웠으며, 달아나지 않게 개가 좋아하는 떡을 준다는 의미에서 절 이름을 ‘떡절’이라 하고, 한자로 병사(餠寺)라고 하였다는 말이 전한다. 그러나 이러한 전설은 덕사라는 절 이름에 맞추어 만들어낸 말로 보인다. 우리나라에 매우 드물기는 하지만 덕사처럼 두 자로 된 절 이름이 더러 있는데, 지금은 확실히 알 수 없지만 위와 같은 전설이 아닌 분명히 어떤 다른 의미를 지니고 있었을 것이다. 또한 덕사는 이서국(伊西國) 때 신라와 격전을 치르다 297년(신라 유례왕 14) 이서국이 패한 패성지였다. 덕사를 찾으려고 근처 주민들에게 덕사가 어디냐고 물으면 다들 고개를 갸우뚱하며 모른다고 하는데, 떡절이 어디냐고 물으면 금방 알고 친절하게 안내해 준다.",청도군
5,보현사(청도),경상북도 청도군 청도읍 앞산공원길 14,128.7397897,35.64064023,http://tong.visitkorea.or.kr/cms/resource/50/1967550_image2_1.jpg,"보현사는 경상북도 청도군 청도읍 화악산에 자리한 한국불교태고종 소속의 사찰이다. 보현사는 청도의 중심지인 고수리에 자리잡고 있는 곳이다. 뒤로는 화악산을 배경을 하며 앞으로는 청도읍내가 환히 내려다 보이는 높은 곳에 위치한 곳으로 1912년 일본인 승려인 사택화상(寺澤和尙)이 창건하여 금강봉사(金剛峯寺)라 하였던 곳이다. 보현사의 전신이 바로 금강봉사가 된다. 그러나 6.25 전란으로 폐허가 되었던 이곳을 다시 일신한 것은 1950년대이다. 신도들의 뜻을 모아 불사를 하면서 동명당대종사(東溟棠大宗師)가 보현사(普賢寺)라 칭하며 오늘에 이르고 있다. 이후 한국전란으로 전사한 호국영령들을 기리며 충혼탑을 조성하였고, 30년간이나 사찰을 지키고 있었다. 그러나 이후 주변 시가지가 확대되면서 충헌탑은 읍내 송읍리로 이건하고, 남북통일을 염원하는 신도들의 정성을 모아서 대형 청동불상이 있는 천불탑을 조성하였다. 이처럼 보현사는 나라위해 몸바친 호국영령과 민족중흥을 위한 불사를 수행하며 불법 홍포를 펼치고 있는 곳이다.",청도군
6,불령사(청도),경상북도 청도군 매전면 용산3길 99-8,128.8262815,35.66129506,http://tong.visitkorea.or.kr/cms/resource/67/1967567_image2_1.jpg,"불영사는 경상북도 청도군 매전면 용산리 산 98번지에 자리한 대한불교조계종 제9교구 본사인 동화사에 소속된 사찰이다. 불영사는 효양산 비룡골 기암절벽 아래에 있는 절벽 위 평탄한 곳에 자리해 있다. 이곳에는 오래 전에 붕괴된 전탑(塼塔)이 있는데, 1968년에 오층탑(문화재자료)으로 새로 복원하였다. 이 탑의 존재로서 사찰의 역사를 짐작할 수 있다. 신도들은 전탑을 세우기 위해 장연동에서 벽돌을 구워 한 장씩 이곳으로 옮겨와 처음에는 삼층탑으로 조성하였다고 한다. 이같은 전탑의 수가 우리 나라에서는 그리 많지 않다. 문헌을 살펴 보면『삼국유사』권4에 선덕여왕 때 양지스님이 작은 전탑을 만들어 경주 석장사에 봉안하였다는 기록이 있다.",청도군
7,비슬도예원,경상북도 청도군 각북면 헐티로 787,128.5903571,35.68645176,http://tong.visitkorea.or.kr/cms/resource/81/1140681_image2_1.jpg,"경상북도 청도의 폐교를 활용한 비슬 도예원(도예가 김병열 운영)은 넓고 쾌적한 공간으로 도자기를 직접 만들고 자연을 체험할 수 있는 학습장이다. 이 곳에서는 흙으로 컵, 그릇, 장식물 등 나만의 도자기를 만들 수 있는 도예체험 뿐만 아니라 천연 염색체험과 감자, 고구마, 감, 딸기 등 계절별 농작물 수확체험 등의 체험교실을 운영하고 있다. 또한 유약에 금가루를 섞어 빚은 신비스런 문양이 매력적인 '결정유자기'와 감물 도자기 등의 기능성 자기 작품 감상을 할 수 있다. 그리고 비슬도예원에는 가족 펜션이 마련되어 있어 여름방학과 휴가철에는 가족단위의 체험객들에게 인기이다. 사계절 언제든지 뛰어놀 수 있는 넓은 운동장에서 단체운동회와 캠프파이어를 즐길 수 있으며, 여름에는 시원하게 보낼 수 있는 야외 미니수영장이 개설되어 물놀이가 가능하다.",청도군
8,비슬리조트관광농원 군불로,경상북도 청도군 각북면 낙산1길 51,128.5714087,35.69005656,http://tong.visitkorea.or.kr/cms/resource/73/1967573_image2_1.jpg,"비슬자연농원은 비슬산 자락에 자리잡은 대구.경북 최대의 자연농원으로 30,000여 평의 규모를 자랑한다. ""초현대식 시설과 수려한 자연경관을 동시에 향유할 수 있는 자연의 품으로 귀하를 모십니다."" 라는 캐치프레이즈를 내걸을 만큼 자연과 시설 규모가 뛰어나다. 따라서 기업체의 사원연수, 수련회 또는 대학과 종교단체, 사회단체 수련회, 어린이 청소년을 위한 다양한 프로그램 개발과  자연학습체험장인 청소년 캠프장으로 인기가 높다. 대자연과 함께 숨쉬는 깨끗한 자연속에 인간의 심성이 함께 어우러지는 곳으로 자랑하는 만큼 인기가 높아 미리 예약을 해야 이용이 가능하다.",청도군
9,사리암,경상북도 청도군 운문면 운문사길 264,128.9606642,35.6613781,http://tong.visitkorea.or.kr/cms/resource/43/2754243_image2_1.jpg,"사리암은 고려 초의 고승 보량국사가 930년 창건하였고, 1845년에 정암당 효원대사가 중창했다. 1924년에 증축, 1935년에 중수하였다. 이곳은 나반존자 기도처로 널리 알려져 있는데, 나반존자는 부처님이 돌아가신 후 미륵불이 출현하기까지 부처님이 계시지 않는 동안 중생을 제도하려는 원력을 세운 분이다. 사리암에는 쌀이 나오다가 물이 나오게 되었다는 전설을 지닌 사리굴, 나반존자상이 봉안된 천태각 등이 있다.*사진 출처: 청도군 SNS 홍보단 엄윤숙 기자",청도군
