,title,addr1,mapx,mapy,firstimage,overview,addr2
0,급수대 주상절리,경상북도 청송군 공원길 346,129.1559482,36.396418,http://tong.visitkorea.or.kr/cms/resource/97/2918197_image2_1.jpg,"주상절리는 암석이 기둥 모양으로 갈라진 형태를 말하며 용암이나 화산재가 빠르게 식어 부피가 수축하면서 만들어진다. 급수대 주상절리는 화산재가 식으면서 만들어진 주상절리로, 주왕산의 많은 응회암 절벽 중 주상절리가 가장 뚜렷하게 발달한 곳이다. 급수대라는 이름은 신라 귀족 김주원이 주왕산으로 피신해 절벽 위에 대궐을 짓고 두레박으로 주방천의 물을 퍼 올렸다는 전설에서 유래한다.
<출처 : 국가지질공원>",청송군
1,기암 단애,경상북도 청송군 공원길 346,129.1559482,36.396418,http://tong.visitkorea.or.kr/cms/resource/60/2918160_image2_1.JPG,"7천만 년 전(중생대 백악기) 격렬한 화산 폭발로 분출한 화산재가 사면을 타고 흘러 500m 이상의 두께로 쌓이고 굳어져서 만들어진 응회암으로 이루어진다. 이때 화산재가 빠르게 식으면서 부피가 감소하여 수직 방향의 틈이 만들어졌고, 틈을 따라 오랜 시간 물, 바람, 식물 등에 의해 깎이고 부서져 오늘날과 같은 신비한 모습을 보이게 되었다.
<출처 : 국가지질공원>",청송군
2,나실 마그마 혼합대,경상북도 청송군 부남면 대전리,129.0652688,36.34715521,http://tong.visitkorea.or.kr/cms/resource/09/2918209_image2_1.jpg,"청송 부남면 대전리에 위치한 나실마을은 능선(최고 540m)으로 둘러싸여 사발모양의 작은 분지를 이룬 마을이다. 이는 신생대 제3기 화강암질 마그마에 섬록암질 마그마가 섞이고, 차별적으로 침식이 이루어진 결과이다. 특히 중간부 능선에서는 두 종류의 마그마가 섞여 만들어진 화강섬록암질 마그마가 관찰된다. 좁은 지역에서 다양한 종류의 화성암이 동심원상으로 분포하는 것은 마그마의 혼합과정을 보여주는 좋은 야외 학습장이라 할 수 있다.
<출처 : 국가지질공원>",청송군
3,노루용추 계곡,경상북도 청송군 청송읍 월외리,129.1152172,36.44083995,http://tong.visitkorea.or.kr/cms/resource/38/2918238_image2_1.jpg,"노루용추 계곡은 월외리 초입부에서 너구동으로 이어지는 도로변에 있는 계곡으로 주왕산응회암과 도계동층(사암, 이암)으로 이루어진다. 이곳에서는 두 층의 부정합면을 관찰할 수 있으며, 달기폭포와 노루용추 등 수려한 자연 경관을 감상할 수 있다. 그중에서도 달기폭포에서는 수직방향의 틈(수직절리), 수평방향의 틈(수평절리)이 관찰되며, 노루용추에서는 암석의 구성 성분의 차이로 인해 발달(차별침식)한 작은 폭포를 관찰할 수 있다.
<출처 : 국가지질공원>",청송군
4,달기약수탕 (청송 국가지질공원),경상북도 청송군 청송읍 약수길 16,129.0836034,36.43835907,http://tong.visitkorea.or.kr/cms/resource/16/2703516_image2_1.jpg,"달기약수탕은 지금으로부터 약 130년 전 수로공사를 하던 중 발견되었다. 톡톡 튀는 맛을 내는 탄산을 비롯하여 다양한 물질들이 녹아 있어 예로부터 위장병, 부인병, 안질과 같은 질병 치료에 효과가 있다고 알려져 왔다.약수는 빗물로부터 시작된다. 빗물이 지하에 스며들어 지하수가 되고, 지하 깊은 곳의 마그마에서 뿜어져 나온 이산화탄소와 반응해 탄산수로 바뀌게 됩니다. 탄산수는 지하의 암석에 포함된 다양한 물질들을 용해시킨 뒤, 화강암과 퇴적암 사이 틈을 따라 지표로 상승하여 지금의 탄산약수로 솟아나고 있다.<출처 : 청송 국가지질공원>",청송군
5,달기폭포,경상북도 청송군 청송읍 달기폭포길,129.1144895,36.44077883,http://tong.visitkorea.or.kr/cms/resource/66/2754766_image2_1.jpg,"청송읍 월외리에 위치하고 있어 월외폭포라고 불리기도 한다. 달기약수탕에서 월외 계곡을 따라 약 3km 거슬러 올라가면 높이 11m의 장엄한 폭포가 앞을 가로막는다. 주왕산의 제 1폭포를 여성에 비유하면 달기폭포는 마치 남성과도 같이 힘차다. 청송읍에서 동쪽으로 이어지는 군도로 달기약수탕까지 1km. 달기약수탕에서 2km 동쪽 도로를 따라가면 월외교가 나오며, 여기서 등산로가 시작된다. 등산로로 2km쯤 올라가면 달기 폭포가 있다.",청송군
6,대전사,경상북도 청송군 주왕산면 공원길 226,129.1460269,36.39684832,http://tong.visitkorea.or.kr/cms/resource/27/2702627_image2_1.jpg,"이 건물은 신라 문무왕(文武王) 12년(672) 의상대사(義湘大師)가 처음 건립하였다고 전한다. 임진왜란때 불타 조선 현종(顯宗) 13년(1672)에 새로 지어 현재  사찰의 중심 건물로 사용되고 있다. 1976년에 보광전을 고칠 때 1662년의 상량문(上樑文)이 발견되었다. 정면 3칸, 측면 3칸의 자그마한 건물로 천장은 '井'자 모양으로 꾸몄으며, 내부에 비로자나불(毘盧子那佛)을 모시고 있다.",청송군
7,만안자암 단애,경상북도 청송군 백석탄로 643,129.0042659,36.34439603,http://tong.visitkorea.or.kr/cms/resource/22/2918222_image2_1.jpg,"깎아지른 절벽이 병풍처럼 펼쳐져 있어 신성계곡의 대표적인 절경 중 하나로 꼽히는 만안 자암 단애는 청송군 안덕면 만안 마을에 있는 붉은 바위 절벽을 의미한다. 자암을 이루는 암석은 중생대 백악기의 퇴적암으로 수직 방향으로 암석에 생긴 틈인 절리가 많이 발달하며, 퇴적구조는 찾아보기 어렵다. 자암의 붉은 색은 못이 시간이 지나 붉게 녹스는 것과 같이 암석에 포함된 철 성분이 지표면에서 오랜 세월동안 풍화를 받으며 산소와 만나 산화하면서 붉게 변한 것이다.
<출처 : 국가지질공원>",청송군
8,망미정 우송당,경상북도 청송군 청송읍 월막리,129.0581503,36.43177045,http://tong.visitkorea.or.kr/cms/resource/35/187635_image2_1.jpg,"망미정은 100여 년 전인 1899년 청송부사 장승원(張承遠)이 건립한 정면3칸 측면3칸 팔작(八作) 집으로 '아름다움을 바라본다'는 뜻에서 명명됐으며 현비암과 조화를 이뤄 형언할 수 없는 절경과, 절벽 밑에는 수심 3m의 소(沼)가 사계절 마르지 않아 보는 이들이 탄성을 자아내고 있다. 또한, 우송당은 300여년전 윤두석선생의 유상지소(遊賞之所)이던 곳을 숙종14년(1688년) 무진년에 그의 손자 윤상영이 그 뜻을 기리기 위해 지은 서당으로 전해지고 있다.",청송군
9,면봉산 칼데라,경상북도 청송군 현동면 월매리,129.0175909,36.2077618,http://tong.visitkorea.or.kr/cms/resource/13/2918213_image2_1.JPG,"칼데라는 스페인어로 큰 솥이라는 의미로, 지질학에서는 솥 모양의 분지 지형을 말한다. 화산폭발로 마그마가 지표면으로 올라오면 마그마가 고여 있던 지하에 빈 공간이 발생한다. 이로 인해 마그마가 지지하고 있던 위쪽 땅이 무너져 솥 모양의 칼데라 지형이 만들어진다. 화산활동이 활발하던 중생대 면봉산 지역에는 지름이 약 10km에 달하는 칼데라가 있었다. 최고 820m까지 함몰되었던 이곳 칼데라는 오랜 세월 동안 깎여 사라지고 그 흔적만 기록되어 있다.
<출처 : 국가지질공원>",청송군
