,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가산산성마을,경상북도 칠곡군 가산면 가산로 891,128.597813,36.05010795,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,"맑은물, 깨끗한 자연, 좋은 사람들이 함께하는 구름도 쉬어가는 아름다운 청정마을 가산산성마을이다. 가산산성마을은 칠곡군 가산산성권역 농촌마을종합개발사업으로 탄생된 마을로 가산면 가산1,2리, 응추리, 용수리 마을 주민들이 함께하고 있으며, 해발 300M의 산간지역의 청정거주지역으로 알려져 있다.사계절이 뚜렷한 이곳은 계절따라 변화하는 주위 풍경과 때묻지 않은 주민들의 순박한 정서가 그대로 살아있어 도시민들의 편안한 쉼터로 충분한 곳이며 생산되는 모든 농산물들은 무공해로 생산되어지고 있다. 유명한 가산산성을 위에 두고 3개의 사찰과 한티순교성지, 팔공산 동화사가 인접지역에 있으며 삼국유사 역사로 유명한 군위 부계도 차로 10분거리에 있어 관광하기도 아주 용이한 마을이다. 팍팍한 도시민들이 가산산성마을로 오셔서 맘의 여유와 정신적 휴식을 취할 수 있도록 최선을 다해 자리를 마련하였으니 방문하셔서 진정한 힐링을 체험하길 바란다.",칠곡군
1,가산수피아,경상북도 칠곡군 가산면 학하들안2길 105,128.4850692,36.08615455,http://tong.visitkorea.or.kr/cms/resource/29/2638129_image2_1.JPG,"싱그러운 자연숲과 향기로운 허브정원, 아름답게 펼쳐진 핑크뮬리 언덕, 문화 예술이 함께하는 아름다운 건물물이 어우러진 숲 테마파크이다. 특히, 봄에는 고목(40년~50년)의 300m 벚꽃길이 펼쳐지고 가을에는 대단지의 핑크뮬리정원과 하늘정원은 전국적인 내방객들로 사랑을 받고 있으며, 솔밭숲과 어우러진 이끼정원은 신비로운 자연의 모습으로 감탄을 불러 일으킨다. 아울러, 카라반(14동)과 캠핑장(36사이트)가 있으며, 수영장, 샤워실등 부대시설들로 갖추고 있어며 수목원 이용을 포함하고 있어 여행자들의 낭만을 충족시키고 있다.",칠곡군
2,가실성당,경상북도 칠곡군 왜관읍 가실1길 1,128.4049221,35.93681725,http://tong.visitkorea.or.kr/cms/resource/86/2687486_image2_1.jpg,"가실성당은 1895년에 조선 교구의 11번째 본당으로 초대본당신부는 파리외방선교회의 하경조 신부다. 본당의 넓은 관할 지역 안에는 공소 31개가 있으며, 현재의 성당 및 사제관은 1924년에 완성되었다. 성당의 주보성인 성당은 인민군 병원으로 그대로 남아있으며, 전쟁 관계로 월남한 성 베네딕도 수도회의 신부들은 1952년부터 가실성당을 위한 사목을 맡고있다. 가실성당에 속하고 있더거 본당이 된 곳은 모두 4개이며, 김천 황금동, 용평, 퇴강, 왜관이 있다. 1995년 100주년 사업으로 현재 성모당이 형성되었고 성당의 거룩한 분위기를 높이는 색유리화는 2002년에 설치되었고 2003년에 성당 및 구사제관은 경상북도 문화재로 지정되었다.",칠곡군
3,금곡사(칠곡),경상북도 칠곡군 가산면 금화길 107,128.5579661,36.06613317,http://tong.visitkorea.or.kr/cms/resource/40/1054240_image2_1.jpg,오행 중 금(金)의 기운은 음극과 양극이 서로 잡아당기는 형국이라고 한다. 따라서 음은 음대로의 방식으로 양은 양대로의 방식으로 살아가되 서로가 발전적인 방향으로 이끌 수 있도록 한다. 그러나 성질이 단단해 독재적일 수 있으나 반면 일사분란하게 추진하는 추진력도 가지고 있다고 한다. 경북 칠곡의 금곡사(金谷寺)는 사명에서 보듯 왠지 이러한 기운과 닮아 있다. 신라 선덕왕대에 창건한 사찰로 창건 후 역사를 알 수 없으나 지금까지 고집스럽게 그 자리 만을 묵묵히 지켜온 외골수이면서 주변의 지세와도 잘 어울려 마치 암자처럼 있는 듯 없는 듯 유유자적한 세월을 보내온 것처럼 집착과 번뇌를 놓아버린 듯 하다. 재미있는 것은 우연인지 필연인지 금곡사와 관련된 것들이 거의 금과 관련한 사실과 맞아 떨어지는 부분이 많다.먼저 금곡사가 자리한 곳이‘금화리(金華里)’이다. 금곡사 아래에 자리한 커다란 저수지가 있는데 ‘금화저수지’라고 부르며 상류계곡을‘금화계곡’이라고 한다. 이는 마을에서 약 3km 정도 떨어진 곳에 일제 때 광산이 한창 성했다고 해 붙여진 이름이라고 한다. 또 금곡사의 주불이 서방정토에 계시는 극락전 아미타부처님인데 서쪽은 금의 방향이라고 하니 이 또한 깊은 관련성을 암시하는 것으로 보인다. 더 재미있는 것은 창건주가 금란(金蘭)이라는 이름을 가진 사람인데 스님인지는 알 수 없으나 ‘금란’이란 ‘철석(鐵石)’ 같은 약속을 뜻하는 단어이기도 하다.,칠곡군
4,금화계곡,경상북도 칠곡군 가산면 가산로 290-8,128.5505588,36.05203186,http://tong.visitkorea.or.kr/cms/resource/39/2746139_image2_1.jpg,"금화계곡은 해발 902m의 가산 기슭에 있다. 맑은 물이 흐르는 계곡 사이로 참나무가 군락을 이루고 있으며, 하류에 금화 저수지가 형성되어 있다. 동쪽에 일제강점기 사금과 중석을 캐던 소화 광산이 폐광된 채로 남아 있다. 
주변에 관광농원이 조성되어 여름철에는 피서객들의 발길이 이어진다. 인근에는 식당가가 있어 자연 속에서 식사를 즐기기 위해 사람들이 자주 찾는다. 금화 저수지 제방 쪽 도로변 산 위에 신라 시대 사찰 금곡사가 있으며, 서쪽으로 중부고속도로와 5번·25번 국도가 지나간다.",칠곡군
5,금화지,경상북도 칠곡군 가산면 가산로 51,128.5533249,36.06192801,http://tong.visitkorea.or.kr/cms/resource/07/2738407_image2_1.jpg,"금화지는 경상북도 칠곡군 가산면 금화리에 있는 저수지이다. 상수원 보호 구역으로 오염되지 않은 자연미를 가지고 있다. 
제방 쪽 상류에는 금화계곡과 신라 시대에 창건됐다고 전해진 금곡사가 있다. 
계곡 주변에 관광농원이 조성되어 있어 칠곡군의 대표적인 관광지로 유명하다. 
금화 저수지는 농업용수 개발을 목적으로 한 농업용 저수지로 1978년 8월 10일에 착공되어 1984년 11월 27일에 준공되었다.",칠곡군
6,꿀벌나라테마공원,경상북도 칠곡군 석적읍 강변대로 1580-1,128.4048921,36.01730534,http://tong.visitkorea.or.kr/cms/resource/24/2638924_image2_1.JPG,"꿀벌나라테마공원은 꿀벌을 테마로 사라져가는 꿀벌을 보호하고 미래의 안전한 먹거리에 대한 중요성을 인식시키는 지속적인 교육의 장이다. 이곳은 지상2층, 지하1층, 야외체험시설, 꿀벌이 좋아하는 식물로 조성된 밀원산책길, 꿀벌잔디마당 등 아이와 어른들의 쉴 곳이 있는 오감만족 창의놀이공간이자 생태체험학습 공간이다.",칠곡군
7,대둔사(칠곡),경상북도 칠곡군 가산면 가산로1길 272-59,128.5789644,36.05901215,http://tong.visitkorea.or.kr/cms/resource/74/1967474_image2_1.jpg,"* 신라 화랑들의 수행도량, 대둔사(칠곡) *대둔사라는 같은 사명을 지닌 사찰이 흔치 않은데 경북 칠곡군 가산에도 같은 사명의 대둔사가 신라시대 고찰로 전해져 내려오고 있으며, 신라 화랑도들의 수행도량으로 알려져 있다. 창건 이후 사적이 알려져 있지 않다가 1840년(조선 헌종 6) 대홍수로 사역 전체가 물에 잠겼다. 1992년 다시 수해로 대웅전이 무너졌으나 1999년 다시 극락전을 세웠다. 지금은 선방인 심검당도 세워져 있다. 현재의 대둔사는 대웅전과 함께 선방인 심검당을 함께 지어 스님 10여 명이 정진에 여념이 없는 비구니 수행도량으로 거듭나고 있다. 대둔사의 사명이 크게 싹을 틔운다는 뜻이니 이제 열매를 맺고 꽃을 피울 때까지 대둔사는 또다시 새로운 생명의 싹을 틔워낼 것이다.* 해남의 대둔사와 칠곡의 대둔사 *전남 해남 지역을 지역을 가보면 유명한 거찰인 대둔산 대둔사를 만나볼 수 있다. 해남의 대둔사가 원래 크다는 뜻의 '한'에 '둥글다'거나, '덩어리'란 의미를 가진 '듬'이나 '둠'을 쓴 한듬, 한둠, 혹은 큰 대(大) 자를 쓴 ‘대듬사’ 또는 ‘한듬절’로 불리웠다. 칠곡 가산의 대둔사 역시 그렇게 불리워지지 않았나 추측해 볼 수 있다. 그 증거로 이 사찰의 사하촌을 ‘한듬마을‘이라 부르고 있다.",칠곡군
8,도덕암(칠곡),경상북도 칠곡군 동명면 한티로 260,128.5990258,35.98604857,http://tong.visitkorea.or.kr/cms/resource/02/1055002_image2_1.jpg,"* 칠곡의 유명한 나한기도처, 도덕암(칠곡) *팔공산은 대구, 영천, 경산, 칠곡, 군위 등 경북 중부를 아우르는 한국불교의 성산이다. 때문에 팔공산 권역 내의 대부분의 사찰이 산명을 당연히 ‘팔공산’이라 쓰고 있다. 그러나 칠곡의 도덕암은 예외이다. 분명 팔공산 도덕암이 분명할 터인데 도덕암은 독자적으로 사명에서 그 이름을 따 ‘도덕산(道德山) 도덕암(道德庵)’이라 지어 부르고 있다. 도덕암은 신라 눌지왕 대에 창건되었다고 하나 정확한 기록은 알 수 없고, 고려 광종 19년(968) 혜거국사(惠居國師)가 칠성암(七星庵)이라는 사명을 가지고 중수했다는 사적만이 남아있다. 훗날 조선 철종 4년 몽계스님에 의해 ‘도덕암’이라는 사명을 고쳐부르고 사명에 따라 도덕산이라고 바꿔 부르게 된 것이다.도덕암에는 조선 철종 13년에 그려진 몽계당 선의대사(夢溪堂 善誼大師)의 진영이 보관되어 있고, 조선 후기에 조성한 것으로 보이는 16나한상이 나한전에 봉안되어 있는 것이 눈길을 모으고 있는데 현재 문화재 지정신청을 해놓은 상황이라고 한다. 특히, 도덕암은 이 16나한상의 존재로 인해 칠곡에서는 유명한 나한기도처로 알려져 있다. 도덕암에서도 나한기도만을 올리는 신행단체인 ‘나한봉참회’가 운영되고 있다. 또한, 고려 광종이 이곳에 와서 도덕암(道德庵) 약수를 마시고 지병이 나았다는 일화가 전해오는 ‘어정수(御井水)‘로 유명한 곳이기도 하다. 도덕암이 팔공산이 아닌 도덕산(道德山)에 자리한 것이라고 내세우는 ‘자존’은 ‘암자답지 않은’ 유구한 내력을 지니고 있음도 하거니와, 예부터 선지식을 많이 배출해 ‘도덕암’이라고 지었다는 연유에서 비롯된 것이기도 할 것이다.* 도덕암의 설화 및 역사 *도덕암은 신라 19대 눌지왕 대(417-458) 창건설이 알려져 있지만 정확히 알 수 없다. 다만 고려 광종 19년(960)에 혜거국사(惠居國師)가 대중수하여 칠성암(七星庵)이라고 이름 붙였다는 사적이 전해온다. 당시 고려 광종은 혜거대사를 왕사로 모시려고 여러 번 사람을 보냈으나 번번히 거절당했다고 한다. 그래서 광종이 친히 어가를 몰아 지금의 도덕암으로 와 왕사로 모실 것을 권했으나 또다시 거절당했다. 이에 광종이 돌아가려 하자 대사는 ‘이것도 속세의 인연’이라며 며칠간 쉬면서 속병을 고치시라 했다.그래서 광종은 여기에서 3일간 쉬면서 절에 있던 샘물을 복용했더니 씻은 듯이 속병이 나았다고 한다. 이런 일이 있은 뒤로 이 샘물을 ‘어정수(御井水)’라 부르게 되었다고 하며 아직도 극락보전 뒤편에 샘물이 남아있다. 이 일로 광종은 절에 대한 지원을 아끼지 않아 이 절을 칠성암이라 부르게 되었으며 후세사람들이 어정수를 약물이라 부르고 있다. 지금도 도덕암을 찾는 불자들은 으레 이 어정수를 꼭 복용한다고 한다. 도덕암의 이 후의 사적은 조선시대 이전까지 전하는 바가 없고 선조 25년(1592)에 임진왜란의 병화를 입고 광해군 12년(1620) 법거선자(法居禪子)가 중수했으며 인조 10년(1632)에 훈장선사(訓?禪師)가 나한전을 건립했다. 또 효종 4년(1653) 기성대사(箕城大師)가 중수했다고 전한다.",칠곡군
9,도봉사,경상북도 칠곡군 석적읍 유학로 785-66,128.4835282,36.06617346,http://tong.visitkorea.or.kr/cms/resource/24/2795424_image2_1.jpg,"비구니들만 거주하는 사찰로, 경상북도 칠곡 유학산 쉰질 바위 아래에 자리해 있다. 쉰질 바위는 절벽의 높이가 어른 키의 50배 정도 된다고 하여 붙은 이름으로 웅장한 절벽과 소박한 절집이 그림처럼 어우러진다. 쉰질 바위는 산악인들의 암벽등반 훈련장으로도 유명하다. 임진왜란 때 소실된 신라시대 고찰인 천수사가 있던 자리에 건립됐으며, 비구니 사찰답게 정갈하고 아기자기한 분위기가 느껴진다. 곳곳에 천진한 표정의 동자승 조각품이 평화로운 분위기를 더한다. 유학산 정상의 팔각정에서 다부동 전적기념관으로 이어지는 6.25전쟁 격전지 순례 코스에 속해 있으며, 도봉산 진입로에서 15분 정도 걸어 올라가거나 사찰 입구까지 자동차로도 이동도 가능하다. 도봉사 앞마당에서 바라보는 탁 트인 전망도 아름답다.",칠곡군
