,title,addr1,mapx,mapy,firstimage,overview,addr2
0,경상북도수목원,경상북도 포항시 북구 죽장면 수목원로 647,129.257125,36.2197511,http://tong.visitkorea.or.kr/cms/resource/80/609080_image2_1.jpg," 경상북도수목원은 평균해발 650m에 위치한 고지대의 2,727ha 국내 최대 면적을 가진 수목원으로서 쉽고 재미있게 관찰할 수 있도록 고산식물원, 울릉도식물원, 침엽수원 등 24개 소원으로 구성되어 있으며, 숲해설전시관, 숲체험학습관, 숲생태관찰로 등의 체험시설과 망개나무, 노랑무늬붓꽃 등 희귀수종과 향토수종의 자생식물 위주로 2,088여종 조성되어 있다. ",포항시
1,고석사(포항),경상북도 포항시 남구 장기면 방산로 526,129.4636185,35.91518395,http://tong.visitkorea.or.kr/cms/resource/39/1967239_image2_1.jpg,"고석사는 상서로운 빛을 발하는 바위에 부처님을 새기면서 생겨난 절이다. 창건 설화에 의하면, 신라 선덕여왕 7년(638) 어느 날 경주에 있는 궁궐에 동쪽으로부터 세 줄기의 서광이 비춰 그 빛이 연 3일간 계속되었다. 선덕여왕의 명으로 혜능 국사가 서광이 발하는 곳을 찾아가니 한 바위에서 서기가 발하는지라 그 바위에 부처님을 새기고 절을 지었다. 그리고 오래된 바위에서 서광이 발하였다 하여 절 이름을 고석사라 칭하고 또한 뒷산 기암괴석이 동해를 바라보며 솟아있어 망해산이라 불렀다고 한다. 보광전 약사여래불 주위를 두 손 합장하고 돌다보면 듬직한 부처님의 뒷모습이 따뜻하고, 모르는 사이 손으로 어루만지며 그 온기를 느끼게 된다. 빛으로 만들어진 절, 고석사는 작지만 환한 빛을 지녔다.",포항시
2,곤륜산 활공장,경상북도 포항시 북구 흥해읍,129.391949,36.13474942,http://tong.visitkorea.or.kr/cms/resource/29/2720529_image2_1.jpg,"곤륜산 활공장은 넓은 평지에 인조잔디가 깔려 있는 패러글라이딩 활공장으로 정상까지는 약 20분 정도 소요가 된다. 곤륜산 활공장은 포항의 핫플레이스로 활공장 정상에서 보이는 탁 트인 경치를 배경으로 인생 샷을 남기기 위해 많은 관광객들이 찾고있다. 활공장으로 올라가는 진입로는 경사가 급하며, 아영, 취사행위, 인화성물질 등의 사용을 금하고 있다.",포항시
3,광남서원,경상북도 포항시 남구 구룡포읍 정동길77번길 11-2,129.5190823,35.94199865,http://tong.visitkorea.or.kr/cms/resource/73/2944973_image2_1.jpg,"단종을 보좌하다 1453년 계유정란 때 수양대군에게 살해된 황보인(皇甫仁)과 함께 살해당한 황보석(皇甫錫), 황보흠을 배양하기 위해 1791년(정조 15)에 지방유림과 그 후손들이 세웠다. 세덕사라 하다가 1831년(순조 31)에 ‘광남서원’이라고 사액(賜額)되었으며, 흥선대원군(興宣大院君)의 서원철폐령으로 1868년(고종 5)에 훼철(毁撤)되었다가 1900년에 복원되어 오늘에 이르고 있다. 이 서원에서는 매년 3월 중정(中丁)에 향사를 지내고 있으며, 제품은 4변(? 4두(豆)이다. 재산으로는 전답 2천평 등이 있다.",포항시
4,구룡소 돌개구멍 (경북 동해안 국가지질공원),경상북도 포항시 남구 호미곶면 대동배리,129.5251368,36.05683024,http://tong.visitkorea.or.kr/cms/resource/77/2614477_image2_1.bmp,"구룡소는 포항시 남구 호미곶면 대동배리 바닷가에 위치하는 연못과 같은 지형이다. 구룡소라는 이름은 과거 이곳에 아홉 마리의 용이 살다가 승천하였다고 하여 붙여졌다. 전설 속 아홉 마리의 용이 살았던 연못은 구룡소 지역 곳곳에 남아있으며, 이것은 사실 머린포트홀(해안형 돌개구멍)이다. 머린포트홀은 파도를 따라 자갈이 움직이면서 집괴암을 깎아 만든 접시 모양의 구조이며, 이곳에 바닷물이 채워지면서 연못처럼 보이게 되었다.이곳의 몇몇 머린포트홀은 바다와 연결된 뚫린 형태여서 바닷물이 머린포트홀을 통해 땅 위로 뿜어지는 것을 종종 볼 수 있는데, 이는 구룡소 전설 속의 용트림을 연상케 한다. 또한 구룡소에서는 파도에 의해 육지가 깎여 평평하게 만들어진 파식대지와 타포니를 볼 수 있다. 집괴암에 박혀있던 돌조각들이 빠져나가고 남은 구멍에 소금알갱이가 들어오면 주변 암석을 깎아 더 큰 구멍을 만들게 되는데, 이러한 큰 구멍들이 모여 마치 벌집처럼 보이는 지형을 타포니라고 한다.* 머린포트홀(해안형 돌개구멍): 바닷물에 의해 움직이는 자갈에 의해 움푹 팬 지형* 집괴암: 화산에서 분출한 다양한 크기와 형태의 돌과 용암이 쌓여서 만들어진 암석 ",포항시
5,구룡포 말목장성탐방로,경상북도 포항시 남구 구룡포읍 구룡포리,129.5490336,35.9984984,http://tong.visitkorea.or.kr/cms/resource/73/2369173_image2_1.jpg,"구룡포 말목장성탐방로는 2009년 구룡포읍사무소에서 약 4km의 석장터를 발굴해 둘레길로 조성한 곳이다. 해발 205m의 정상에 2층 전망대를 설치해 아름다운 해안 마을인 구룡포와 태백산맥의 호미 반도 능선을 한눈에 바라볼 수 있다. 정상 부근에는 진달래, 구철초 등을 심어 더욱 다양한 볼거리를 관광객에게 제공한다.말목장의 석성은 말을 키우던 돌 울타리를 말한다. 정확한 축조 시기는 알려지지 않았지만, 삼국유사 등 여러 기록을 살펴보면 말목장의 역사가 약 1400년 된 것으로 추측되고 있다. 원래는 구룡포에서 남구 흥환리까지 약 8km 길이로 쌓여 있었지만 현재는 5.6km가 남아 있다. 종6품 관리가 목장을 관리하였고, 목자군이 이곳에 살면서 분뇨를 치우는 등 잡일을 했다고 전해진다.",포항시
6,구룡포 일본인 가옥거리,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,129.56143,35.99046621,http://tong.visitkorea.or.kr/cms/resource/95/2716295_image2_1.jpg,"구룡포 일본인 가옥거리는 1883년 조선과 일본이 체결한 '조일통상장정' 이후 일본인이 조선으로 와서 살았던 곳으로 '일본인 가옥 거리'로 가옥 몇채만 남아 있던 곳을 포항시가 '일본인가옥거리'로 조성한 곳이다. 당시 요리점으로 사용되었던 '후루사또야' 일본가옥은 내부 형태 그대로 보존되어 찻집으로 운영되고 있다. 일본의 다양한 차를 맛 볼수 있으며, 유카타 체험이 가능하다고 한다. 또한, 당시 일본인들이 공부하던 심상소학교와 1900년대 당시 형대로 제작한 '모형 우체통' 등이 있다. 공원 계단에서 내려다 본 풍경은 어촌의 모습이 한 눈에 들여다 보여 서민의 생활상이 잘 드러난다고 해서 대한민국 경관대상을 받은 곳이기도 하다.",포항시
7,구룡포근대문화역사거리,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,129.5616049,35.99061342,http://tong.visitkorea.or.kr/cms/resource/26/2794726_image2_1.jpg,"구룡포 근대문화역사 거리는 일제강점기의 비극적인 역사를 간직한 공간이다. 일본인 가옥 거리로 불렸던 이곳은 한때 300여 가구의 일본인들이 거주했다. 일본 가가와현의 고깃배들이 물고기 떼를 쫓아 구룡포로 이주한 것인데, 일제의 비호 아래 이들은 막대한 부를 쌓으며 집단 거주지를 형성했다. 당시 구룡포는 음식점과 주점, 여관은 물론 백화점까지 운영될 만큼 서울 못지않은 번화가로 성장했다. 지금까지 남은 80여 채의 일본식 가옥들을 보면 이들이 얼마나 풍족한 생활을 누렸는지 짐작할 수 있다. 현재 구룡포 근대역사관으로 사용되는 하시모토 젠기치의 가옥도 일본 현지에서 공수한 건축재료들로 화려하게 장식했다. 최근에는 이 거리를 배경으로 인기 드라마 <동백꽃 필 무렵>이 촬영돼 새롭게 주목받았다.",포항시
8,구룡포주상절리,경상북도 포항시 남구 구룡포읍 일출로62번길 65,129.5681958,35.99858765,http://tong.visitkorea.or.kr/cms/resource/75/2739975_image2_1.jpg,"구룡포주상절리는 구룡포해수욕장에 연이어 위치하고 있다. 화산 폭발로 용암이 분출되다가 갑자기 멈춘 듯한 형상을 하고 있는데 이는 타 지역의 주상절리와 가장 큰 차이점이다. 이 같은 구룡포 주상절리는 제1전망대와 제2전망대에서 감상할 수 있다. 두 전망대 간 거리는 30m 안팎으로 가깝다. 모든 전망대에서 주상절리뿐만 아니라 포항 앞바다의 풍경도 함께 조망할 수 있다. 특히 제1전망대에서는 구룡포해수욕장의 전체 풍경이 내려다보인다. 전망대 주변에는 포토존도 마련되어 있다. 
 구룡포주상절리 주차장은 5면으로 협소한 편이다. 하지만 100m가량 떨어진 곳에 80면으로 이뤄진 구룡포해수욕장 주차장이 있어 주차에 어려움이 없다. 구룡포주상절리 주변에는 구룡포과메기물회거리, 구룡포 일본인 가옥거리, 호미곶해맞이광장 등 유명 관광지가 많아 연계 관광이 용이하다.",포항시
9,구룡포항,경상북도 포항시 남구 구룡포읍 호미로 222-1,129.5556416,35.98930512,http://tong.visitkorea.or.kr/cms/resource/13/681913_image2_1.jpg,"포항 호미곶에서 감포쪽으로 내려가는 길목에 있는 구룡포항은 일제강점기인 1923년에 부두를 만들고 방파제를 쌓으면서 항구의 모습을 갖추게 된 곳이다. 현재 북방파제 약 600m, 남방파제 약 400m, 물양장 약 600m의 시설을 갖추고 있으며, 하역능력이 33만 4,000t에 달하는 곳이다.바로 근처에는 구룡포 근대문화역사거리가 있어 일본의 전통 가옥을 볼 수 있고, 구룡포 시장도 가까워 지역 시장의 정겨운 분위기와 맛있는 음식을 즐길 수 있다. 이곳은 특산물인 과메기를 판매하는 곳이 많고, 전국 최대의 대게 산지로 알려진 곳이어서 질 좋은 과메기와 싱싱한 대게를 맛볼 수 있다.",포항시
