,title,addr1,mapx,mapy,firstimage,overview
0,경장각,광주광역시 광산구 용아로 460,126.8052666,35.18436319,http://tong.visitkorea.or.kr/cms/resource/19/1587419_image2_1.jpg,"경장각은 조선인조(仁祖1551∼1627) 때의 문신(文臣)이었던 이신의(李信儀)을 배양하는 곳이다. 이 곳에는 이신의의 유물로 선조왕(宣祖王) 친필병풍(親筆屛風)과 거문고가 보존되어 있다. 병풍은 인조가 그의 충절을 가상히하여 선조왕 친필을 하사(下賜)한 것이며, 거문고는 석탄이 평소 애용하던 거문고이다. 정묘호란,(丁卯胡亂)때 왕을 대동하여 강화도로 가던 중 병으로 인천에 체류하다가 수원(水原) 마정리에서 객사(客死)하였다."
1,고원희가옥,광주광역시 남구 압촌1길 12,126.8395076,35.09220751,http://tong.visitkorea.or.kr/cms/resource/07/1587507_image2_1.jpg,"임진왜란 때 금산(錦山) 전투에서 전사한 의병장 고경명(高敬命)의 옛 집터를 그 후손들이 여러차례 고쳐지은 집이다. 이 집은후손들이 여러 차례 고쳐 지은 집으로 현존 가옥은 1917년 건축한 것이다. 예전에는 더 많은 건물이 있었는데 현재는 사랑채, 안채, 곳간채, 사당, 대문등이 남아있다. 대문은 정면 세칸 측면 한칸이다. 사랑채는 정면 네칸 측면 한칸으로 앞뒤로 마루가 있는 팔작 기와집이다. 다듬돌 바른층 쌓기의 두벌대 기단위에 덤병주초석을 놓고 원형기둥을 세웠다. 기둥 위에는 우미량과 굴도리, 장혀를 보아지와 함께 결합하였다. 평면은 좌로부터 한칸의 방 3개와 한칸의 대청을 1단 높혀 누(樓)마루로 되어 있다. 안채는 정면 여섯칸, 측면 한칸에 전후좌우에 마루가 있는 팔작 기와집이다. 다듬돌 바른층 쌓기의 외벌대 기단위에 덤벙 주초석을 놓고 앞열은 원형 그 외는 사각기둥을 세웠다. 원형 기둥위에는 우미량과 굴도리, 장혀를 보아지와 함께 결합하였다. 내부가구는 고주위에 대량을 걸치고 판대공을 놓았으며 구 위에 종도리를 놓았다. 평면은 좌로부터 한칸반의 부엌, 두칸의 대청, 한칸의 방으로 되어 있다. 창호는 전체가 양쪽으로 열어지는 문이며, 방으로 되어 있고 그 위에 넉살창이 있다. 숭정기원후오갑정사윤이월초구일(崇禎紀元後五甲丁巳閏二月初九日)이라는 상량문에 글씨가 쓰여 있는데 이것으로 건립연대가 1917년임을 알수 있다. 사당은 고경명장군과 그 아들 종후, 인후 형제의 부조묘이다. 이 사당은 정면 세칸 측면 한칸으로 앞에만 마루가 있으며 맞배지붕이다. 외별대의 낮은 기단위에 덤벙 주초석을 놓고 현형기둥을 세웠다. 기둥 위에는 첨자형의 포로 결합하였고, 초익공 위에는 용두를 빼내고 장혀와 굴도리를 얹었다. 내부가구는 대량위에 동자주를 얹고 종보를 걸친 뒤 그 위에 다시 판대공을 놓았으며, 겹처마에 조잡한 모조 단청을 하고 있다. 건립연대는 안채보다 빠른 시기로 추측된다."
2,관덕정의 각궁,광주광역시 남구 사직길 49,126.9118638,35.14192534,http://tong.visitkorea.or.kr/cms/resource/48/566648_image2_1.jpg,"정신과 신체를 동시에 건강하게 해주는, 관덕정의 각궁 궁술은 무사뿐만이 아니라 선비들도 반드시 익혀야 할 필수 요건이었다. 이러한 활이 요즘에는 생존이나 방비기능은 완전히 상실했고, 스포츠와 취미로 그 명맥을 이어가고 있다. 광주에도 스포츠와 취미로서 활의 명맥을 이어주는 곳이 있는데, 사직공원에 있는 활터 관덕정이 그것이다. 관덕정의 사범이자 전남에서는 유일하게 활을 만들고 있는 권태은 씨는 호라의 고장으로 널리 알려진 경북 예천이 고향으로 3대째 활을 만들고 있는데, 광주에 자리를 잡은 것은 23년 전이다. 경상도에서 활을 만들면 팔러나가는 곳이 대부분 전라도이므로 아예 광주로 옮겨와 활을 만들기 시작했다는 권씨의 이야기다. 옛날에는 활의 재료와 쓰임새에 따라 무척 다양했지만 요즘에는 각궁만이 남아 그 명맥을 유지해 주고 있다.* 전통이 실려있는 각궁이란? * 후궁·장궁(長弓)이라고도 한다. 각궁의 모양은 시대에 따라 조금씩의 차이가 있다. 크게 2종류로 나눌 수 있는데, 전쟁이나 사냥에 쓰인 것은 궁간상(弓幹桑)·뿔·힘줄·아교·실·칠 등 6가지로 만들고, 운동이나 오락으로 쓰인 것은 궁간상·참나무·대·벚나무·뿔·힘줄·아교 등 7가지로 만들었다. 강(强)·중(中)·연(軟)의 구별이 있어서, 남녀 누구나 자신의 힘에 맞는 것을 쓸 수 있었다."
3,광석대 (무등산권 국가지질공원),광주광역시 북구 무등로 1550,126.9890014,35.14414583,http://tong.visitkorea.or.kr/cms/resource/64/2614764_image2_1.bmp,"광석대(규봉 주상절리)는 서석대, 입석대와 함께 무등산을 대표하는 3대 주상절리대로서 해발고도 약 850m에 위치한다. 규봉 주상절리대는 북서쪽에 위치한 지공너덜과 함께 문화재 명승으로 지정되어 있다. 불교 수행처인 규봉암을 중심으로 늘어선 주상절리대의 높이는 약 30~40m이며 최대 너비는 약 7m에 이른다. 이는 세계적으로 유례를 볼 수 없는 규모이고, 구성 암석은 '무등산응회암'이라고 불리는 화산암이다."
4,광주 3·1 만세운동 기념비,광주광역시 남구 백서로 13,126.9096947,35.13676199,http://tong.visitkorea.or.kr/cms/resource/92/741492_image2_1.jpg,"* 수피아 여고생의 넋을 기리는 비, 광주 3·1 만세운동 기념비 *광주는 일제강점기 시절 광주학생운동을 시작으로 다양한 독립운동이 펼쳐진 고장이다. 이러한 고장에서 3·1 만세운동이 벌어진 것은 당연한 결과이다. 이러한 광주지역의 3·1 만세운동을 기념하고 당시의 넋을 기리기 위해 만들어진 것이 “광주 3.1 만세운동 기념비”이다.1995년 5월 10일에 건립한 이 기념비는 양림동 256번지 수피아여고 후문 안에 자리 잡고 있다.앞면에는 ""광주 3·1 만세운동 기념""이라고 새겨져 있고, 뒷면은 1919년 3월 10일 광주 3·1 만세운동에 앞장섰기 때문에 옥고를 치른 수피아 학생들의 이름을 새겨 길이 기념하고자 했다.* 당시의 넋을 기리는 기념비의 추모시 *기념비에는 박순애, 이태옥, 김양순, 윤혈녀, 김덕순, 조옥희, 이금봉, 하영자, 강화선, 이라혈, 최수향, 김만순, 홍순해 등 23명의 명단이 새겨져 있으며, 옆면은 ""역사의 별이 되어"" 라는 추모시가 다음과 같이 새겨져 있다.천추에 이름 석자 누구나 남기는가, 기미년 3·1 운동 선두에 서서 구국의 일념으로 충성을 맹세하고 태극기 앞에 두고서 독립만세를 외쳤네. 일제의 총칼 앞에 나라가 침탈 당하자 자유 없는 속박에서 사느니보다 사슬을 끊기 위해 목숨 걸고 싸웠네. 모진 고문을 당하여도 이겨낸 고결한 애국 얼이 역사의 별이 되어 무궁토록 빛나네.* 규 모: 넓이 4㎡ 길이 7m* 형 상: 3·1 운동 때 여학생들이 태극기를 들고 만세를 부르고 있는 형상"
5,광주 경찰충혼탑,광주광역시 남구 사직길 49,126.9155968,35.142542,http://tong.visitkorea.or.kr/cms/resource/63/2493363_image2_1.jpg,"* 여순사건과 한국전쟁 당시 순국한 경찰관을 위로하는 탑 *경찰충혼답은 광주 사직공원에 위치해 있는 탑으로 높이가 약 14m에 이른다. 광주공원 입구의 계단을 한참 오르다 보면 나타난다. 이 탑은 여순 사건과 한국전쟁 등 당시 국가를 위해 목숨을 바친 광주, 전남출신 순국 경찰관 3,196명의 위패를 봉안하고 있다.경찰충혼탑은 원래 1956년 전남도청 앞 상무관 정원에 건립되었는데 시간이 지나 탑이 붕괴 위험에 처해졌고, 이것을 1981년 10월 23일 현재의 위치(사구동 177번지)에 이전 건립하여 지금에 이르고 있다.* 경찰충혼탑이 있는 광주 사직공원 *사직공원은 광주시의 제1호 공원이다. 옛날에는 성거사가 있었으며 일제강점기 때는 일본인들의 신사가 있던 곳인데 현재는 현충각과 광주시립 박물관, 시민관 등이 자리하고 있다.현충탑을 중심으로 한 공터는 노인들의 휴식처로 애용된다. 사직공원은 장수의 상징인 거북이 형상을 하고 있으며, 이곳에는 1974년 새로 설립한 광주시립 국악원과 조선조 이래의 생활도구를 전시한 민속관이 광주시립박물관에 병설되어있다."
6,광주 송정동 떡갈비 골목,광주광역시 광산구 광산로29번길,126.7943076,35.13971527,http://tong.visitkorea.or.kr/cms/resource/65/2368465_image2_1.jpg,"광주 송정동에는 20여 개의 떡갈비 전문점이 모인 골목이 있다. 송정동 떡갈비 골목의 음식점들은 저마다 고소하고 쫄깃한 떡갈비 맛으로 손님들의 발길을 끌고 있다. 평일과 주말을 가리지 않고 관광객이 찾아들고, 호남 지역을 방문한 외국인 관광객이라면 반드시 한 번은 들러 가곤 한다. 송정 떡갈비는 여러 가지 면에서 보통의 떡갈비와 다르다. 보통 떡갈비는 소고기를 이용하지만, 이곳은 소고기와 돼지고기를 섞어 만든다. 원래 송정 떡갈비도 소고기를 이용하다가 1990년대 후반 경제가 어려워지면서 재료비가 인상되자, 음식 값을 올리지 않기 위해 돼지고기를 섞어 메뉴로 내놓았다고 한다. 육질이 서로 다른 돼지고기와 소고기가 만나 환상의 궁합을 만들어내며 송정 떡갈비가 탄생한 셈이다. 이 외에도 떡갈비에 곁들여지는 뼛국은 송정의 독특함이 그대로 드러나는 음식이다. 돼지 뼈와 다시마, 무 등을 넣고 오랫동안 끓이는 뼛국은 이 자체만으로도 훌륭한 메뉴다. 떡갈비 한 접시에 뜨끈한 국물 한 그릇 후루룩 마시면 하루 종일 속이 든든하다."
7,광주 수완호수공원,광주광역시 광산구 장신로82번길 57 공원관리사무소,126.8202597,35.18798248,http://tong.visitkorea.or.kr/cms/resource/65/2822565_image2_1.jpg,"도시계획을 통해 성장한 수완동 안의 공원으로 위치와 접근성이 뛰어나다.
O체어, 벤치그네 등 시민들이 아이들과 함께 재밌게 접할 수 있는 조형물들이 있다.
밤이면 조형물 사이의 전구들과 조형물 자체에서 빛이 나 은은하고 따뜻한 분위기를 만끽할 수 있다.
호수를 가운데 두어 춤추는 분수를 매시 정각마다 즐길 수 있고 그 주변으로 산책길이 잘 조성되어 있다.
공원 주변으로 대형마트들을 비롯한 다양한 상가들이 있어 편의성도 갖추고 있다.
공연무대가 있어 각종 행사진행이 가능하다."
8,광주 예술의 거리,광주광역시 동구 예술길 24,126.9186491,35.14980789,http://tong.visitkorea.or.kr/cms/resource/60/2364360_image2_1.jpg,"서울의 대학로와 인사동 거리, 부산의 Piff 거리 등 지방마다 도시의 특색을 살린 거리가 존재한다. 광주광역시를 대표하는 거리는 바로 광주 예술의 거리이다. 예술의 거리는 호남 문화와 예술의 중심지인 예향 광주의 전통을 계승 발전시키기 위해 조성됐다. 현재 동호인의 편의도모를 위해 서화, 도자기, 공예품 등 이 지방 예술의 상징적 작품을 집산하여 전시, 판매하고 있으며, 한국화, 서예, 남도창을 중심으로 한 남도예술의 진수를 누구나 손쉽게 접할 수 있는 명소이다. 광주 동부 경찰서 앞에서 중앙초등학교 뒤편 사거리에 이르는 이곳을 두루 돌아보는데 구경만 하면 1시간 정도, 매장에 들어가서 감상하면 2시간 정도 소요되는데, 광주가 초행이면 꼭 들러볼 만한 곳이다. 매주 토요일에는 ‘차 없는 거리’로 지정되어 다양한 문화행사를 즐길 수 있고 한달에 한 번 남도문화예술진흥회가 주축이 된 음악회, 빛의 축제, 언더그라운드 공연, 캐릭터 문화 상품전, 빛의 축제 등을 펼치며 예술의 거리를 더욱 활성화 시키고 있다."
9,광주 우치공원 동물원,광주광역시 북구 우치로 677,126.89408,35.22357414,http://tong.visitkorea.or.kr/cms/resource/48/2003548_image2_1.jpg,"광주우치공원 동물원은 코끼리, 기린, 사자, 호랑이 등 다양한 동물들과 관람객들이 직접 참여가 가능한 체험프로그램을 운영하고 있어 가족단위 관람객들에게 좋은 장소이다.동물원 내에 있는 동물은 포유류, 조류, 파충류의 다양한 동물들을 한자리에서 모두 볼 수 있다."
