,title,addr1,mapx,mapy,firstimage,overview
0,갑천,대전광역시 유성구 대학로,127.3686912,36.36749949,http://tong.visitkorea.or.kr/cms/resource/71/1585671_image2_1.jpg,"만년교부근에서부터 엑스포과학공원까지 9.7km에 이르는 갑춘둔치는 사색과 놀이가 가능한 열림공간이다. 봄이면 초록으로 깨어나는 잔디로 치장된 이곳은 대전시민의 사랑받는 명소이다. 아침이면 운동을 위해 찾아오는 주변아파트촌 사람들의 가벼운 발걸음이, 오후가되면 연인인듯한 이들의 한가로운 산보가 끊이지 않는 것이 갑천의 풍경이다.  체육복으로 갈아입고 본격적으로 축구를 하거나 플랜카드를 걸고 단합대회를 하는 장소로서 갑천은 인기이다."
1,광수사,대전광역시 유성구 학하서로63번길 26,127.2980482,36.34253165,http://tong.visitkorea.or.kr/cms/resource/79/2758579_image2_1.jpg,"광수사는 대전시 유성구 계산동에 자리 잡고 있다. 천태종 사찰로 1995년 지어졌다.사찰에는 웅장함이 느껴지는 3층 높이의 대적광전을 비롯해 포대화상, 대자대비 관음보살상 등이 있다. 사찰은 유성IC와 서대전IC에서  가깝고, 주변에는 국립대전숲체원, 유성온천 등이 있다.*사진 출처: 대전시 공식 블로그"
2,괴곡동 느티나무,대전광역시 서구 괴곡동 963,127.354317,36.28634185,http://tong.visitkorea.or.kr/cms/resource/07/2784807_image2_1.jpg,"괴곡동 느티나무는 대전시 서구 괴정동에 자리 잡고 있다. 느티나무는 2013년 천연기념물로 지정되었다. 수령 700년으로 추정하며, 높이 16m, 둘레 9.2m다. 이곳은 갑천 누리길 2코스에 있다. 이 덕분에 자전거 라이딩을 즐기는 사람들의 쉼터가 되기도 한다. 매년 칠월칠석에는 풍물놀이와 민속예술공연 등으로 진행되는 목신제가 개최된다. 주변에는 장태산 자연휴양림, 상보안 유원지 캠핑장, 흑성 유원지가 있어 연계 관광에 나서기 수월하다."
3,국가핵융합연구소,대전광역시 유성구 과학로 169-148,127.354123,36.37305971,http://tong.visitkorea.or.kr/cms/resource/73/2431973_image2_1.jpg,"핵융합에너지는 미래 녹색에너지원으로 주목되고 있다. 특히 자원이 없는 우리나라에서는 더욱 관심을 가지고 지켜봐야 할 에너지이다. 이곳에서는 홍보영상 시청, 특강, 홍보관 견학, KSTAR 주장치실과 주제어실을 둘러 볼 수 있다."
4,국립대전숲체원,대전광역시 유성구 숲체원로 124,127.2912077,36.3243725,http://tong.visitkorea.or.kr/cms/resource/00/2675700_image2_1.jpg,"중부권 대표 산림복지시설 국립대전숲체원은 국민 누구나 자유롭게 숲을 통해 몸과 마음의 건강을 증진할 수 있도록 다양한 숲체험 및 산림교육 프로그램을 제공하고 있다. 전국에서 유일하게 엘리베이터로 숲을 진입하는 데크로드가 있으며, 누구나 자유롭게 숲을 체험할 수 있도록 다양한 코스의 숲길과 세미나실, 숙박·식사를 함께 즐길 수 있는 공간이 마련되어 있다."
5,국립대전현충원 보훈둘레길,대전광역시 유성구 현충원로 251,127.2985588,36.36224607,http://tong.visitkorea.or.kr/cms/resource/25/2661825_image2_1.JPG,"대전광역시 유성구 계룡로 1558번지(구 갑동)에 위치했으며, 부지 면적은 322만 2001㎡, 안장 능력은 6만 3250기이다. 한국의 전통미와 현대감각의 조화, 자연경관의 최대 보존, 기존 국립묘지의 미비점 보완, 전 묘역의 호국공원화를 기본 방향으로 잡아 조성하였다.이곳은 조국수호와 국가번영을 위해 고귀한 생명을 나라에 바치신 순국선열과 호국영령이 고이 잠들어 계시는 민족의 성지로서, 1979년에 착공하여 1985년에 완공하였다. 100만평에 달하는 넓은 부지 위에 묘역은 애국지사, 국가유공자, 장병, 경찰관 및 일반묘역으로 조성되어 있으며, 주요 시설물로는 참배를 드리는 현충탑과 현충문이 있고, 영결식과 호국영화 상영을 위한 현충관, 각종 호국사진과 유품을 전시한 호국관 그리고 군 전투장비를 전시한 야외전시장이 있다. 그 밖에 호국분수탑, 홍살문, 천마웅비상, 23개의 호국경구비 등 조형물이 있으며, 한반도 지도모양을 본 떠 만든 자연석 인공연못인 현충지, 정자 그리고 각 묘역 주변에 잘 가꾸어진 휴게시설 등이 아름다운 자연경관을 배경으로 잘 가꾸어져 있다. 또한 보훈 둘레길도 있어 많은 분들이 사색을 하거나 둘레길을 따라 도보여행도 할 수 있는 시민들의 휴식처로도 이용되고 있는 곳이다.

보훈둘레길은 현충원 주위를 둘러싼 트레킹길로 산책하기 좋고 총 7가지의 코스를 즐길 수 있어 언택트  여행을 원하는 분들께는 안성맞춤입니다. 둘레길을 걸으면서 호국철도기념관, 소나무숲, 대나무숲, 전망대 등 다양한 볼거리도 즐길 수 있다.

* 국립대전현충원 조성 이유 *
서울특별시 동작구 동작동(銅雀洞)에 있는 국립현충원의 안장 능력이 한계에 이름에 따라, 1979년 4월 1일 착공해 같은 해 8월 29일 국립묘지관리소 대전분소로 출범하였다. 1985년 국립묘지를 준공한 뒤, 1991년 국립묘지대전관리소 승격을 거쳐 1996년 6월 1일 지금의 국립대전현충원으로 이름을 변경하였다."
6,금강로하스 대청공원 (암석식물원),대전광역시 대덕구 대덕대로1527번길 200,127.4215953,36.45401275,http://tong.visitkorea.or.kr/cms/resource/02/2796602_image2_1.jpg,"대청댐 인근에 자리한 대전 대청공원은 충청 지역의 대표적인 휴식공간이다. 암석식물원은 대청공원 내에 자리한 식물원으로, 공원 서편 잔디광장 아래 있다. 식물원에 들어서면 가장 먼저 초본식물인 벼, 수크렁, 억새, 피, 물대 등 10여 종의 식물이 자라는 그라스원을 볼 수 있으며, 그 옆으로 50여 종의 고산 지대 식물과 암석이 조화를 이루며 생육하는 환경을 재현한 암석원이 있다. 일상에서 보기 드문 생소한 꽃과 식물마다 표찰이 있어 이름과 설명을 살펴볼 수 있으며 벤치와 산책로가 잘 조성되어 있어 교육적 효과와 함께 산책을 즐기며 관람하기 좋다."
7,금강로하스산호빛공원,대전광역시 대덕구 석봉동,127.420812,36.45412384,http://tong.visitkorea.or.kr/cms/resource/25/2913025_image2_1.jpg,"금강로하스산호빛공원은 대전광역시 대덕구 석봉동에 있다. 한갓지게 산책하기 좋은 곳이라 많은 사람이 찾는다. 공원에는 체력 단련 시설을 비롯해 야외 수영장, 배드민턴장, 롤러스케이트장 등이 갖추어져 있다. 음악분수와 바닥분수도 운영하는데 매년 7~8월 오전 10시, 오후 1시, 오후 3시, 오후 5시부터 각각 30분간 물을 뿜는다. 단, 일요일과 우천 시에는 운영되지 않는다. 신탄진IC에서 가깝고, 주변에 장동산림욕장과 계족산 황톳길이 있다."
8,길치근린공원(가양비래근린공원),대전광역시 대덕구 신상로 65,127.4580085,36.35821881,http://tong.visitkorea.or.kr/cms/resource/03/1585303_image2_1.jpg,"가양비래근린공원은 약 42만평으로 대전광역시의 동부권에 위치한 주로 산림 형태의 공원으로 남간정사가 있는 우암사적공원과 경부고속도로 대전육교(비래동)주변의 중앙광장이 조성되어 있는 곳으로 이용권이 양분되어 있다. 특히, 우암사적공원은 낮은 야산 기슭의 숲이 우거진 골짜기를 배경으로 하여 위치하고 있어 대전시민은 물론, 외지인들의 이용객이 날로 증가하고 있다."
9,김정선생묘소일원,대전광역시 동구 회남로 117,127.4986188,36.35762238,http://tong.visitkorea.or.kr/cms/resource/32/1585532_image2_1.jpg,"조선 중종 때 형조판서(刑曹判書)겸 예문관제학을 지낸 충암 김정(沖菴 金淨:1486∼1521) 선생과 관계된 유적이 자리한 곳이다. 선생은 조광조와 더불어 지치주의를 실현시키기 위해 미신타파와 향론의 상호부조에 힘썼고, 향약(鄕約)을 전국에 걸쳐 시행하는데 큰 업적을 남겼다. 기묘사화(1519) 때 조광조 등과 함께 감옥에 갇혔다가 금산에 유배된 후 제주도에서 사약을 받았다. 1978년 대청댐 수몰로 물에 잠긴 대덕군 동면 내탑리에서 이곳으로 묘를 옮기면서 신도비(神道碑), 충암선생의 위패(位牌)를 봉안한 별묘(別廟), 산해당(山海堂) 그리고 그의 부인의 정려각(旌閭閣) 등도 함께 옮겼다. 대청댐 수몰지구에 들어가게 되어 국비로 선생의 묘소 등 유적이 동구 신하동 묘골로 옮겨지게 되었고, 이 지역은 대덕군 지역이던 곳이 근래 대전 광역시 동구로 편입되었다."
