,title,addr1,mapx,mapy,firstimage,overview
0,가회동성당,서울특별시 종로구 북촌로 57,126.9846617,37.58208588,http://tong.visitkorea.or.kr/cms/resource/61/2780561_image2_1.png,"가회동성당이 위치한 북촌 일대는 최초의 선교사 주문모(周文謨, 야고보) 신부가 조선에 밀입국하여 1795년 4월 5일 부활 대축일에 최인길(崔仁吉, 마티아)의 집에서 조선 땅에서의 ‘첫 미사’를 집전한 지역이다. 본당 관할구역은 주문모 신부가 강완숙(姜完淑, 골롬바)의 집에 숨어 지내면서 사목활동을 펼쳤던 지역으로서 한국 교회사에서 매우 중요한 의미가 있다.
정식으로 본당이 된 것은 1949년이고, 이후 1954년에 성전이 완공되었다. 하지만 성전이 낡아 2011년부터 옛 성전을 허물고 현재의 새 성전을 짓게 되었다. 2013년 11월 21일 준공되었고, 준공 3일 후인 24일(그리스도왕대축일)에 입주하여 입주미사를 봉헌하였다. 현재의 동서양 건축양식이 어우러진 새 성전은 과거의 역사를 되살리고자 2014년 4월 20일 부활대축일에 서울교구장 염수정 추기경님에 의하여 축성되었다. (출처 : 가회동성당 홈페이지)
* 서울대교구 성지 순례길 2코스 (생명의 길) 시작 성지
* 2017년 배우 김태희와 가수 비가 결혼한 장소로도 유명"
1,갈산근린공원,서울 양천구 신정동 162-56,126.8684105,37.50611763,http://tong.visitkorea.or.kr/cms/resource/62/2612062_image2_1.bmp,"대체로 산세가 둥근 양천구의 다른 산들과는 달리 갈산은 동쪽 부분이 벼랑처럼 깎인 절경을 뽐낸다. 안양천의 오랜 침식작용으로 산 정상이 칼날처럼 변한 것으로 ‘칼산’이라는 이름으로 불리다가 ‘갈산’으로 순화되었다. 갈산 입구에는 어린이 교통공원이 들어서 있고, 중턱에는 중심광장과 산책로 등의 쉼터 그리고 정상에는 전망대가 있어 양천을 한눈에 감상할 수 있다. 갈산 정상에는 ‘갈산정’과 함께 그 옆으로 우리나라 최초의 ‘대삼각본점’이 설치되어 있다. 이 삼각점은 모든 측량의 기준이 되는 중요한 국가시설물로 1910년 6월 우리나라 최초로 토지조사 사업을 위해 설치한 측량기준점으로 서울시 미래유산으로 지정된 양천구의 중요한 문화유산이다."
2,감로암(서울),서울특별시 종로구 율곡로23길 16,127.0066015,37.57531484,http://tong.visitkorea.or.kr/cms/resource/85/2031885_image2_1.jpg,"동대문에서 대학로로 들어가는 율곡로 대로변에 자그마한 사찰이 있다. 그 이름도 특이하게 목마른 중생에게 구제의 감로를 준다는'감로암'이다. 도심 속 삭막한 빌딩 숲 사이에 아직 개발되지 않은 주택가 그 곳에 정말 도심에서 보기 힘든 자그마한 암자가 있다. 규모로 보나 사세로 보나 정말 암자의 수준이지만, 그 역사는 벌써 100여년이 흘렀다. 가람은 대로변에서 주택가로 나 있는 골목길을 따라 들어서면 보이는 곳에, 여느 주택과 별반 차이없이 건물을 지어 불상을 봉안하고 예배하고 있다. 하지만 여법하게 산문을 만들고 단청을 하며, 기와를 엮어 고풍스런 가람의 멋을 느끼게 한다.옛부터 관음영험도량으로 알려진 감로암은 동네 어르신들, 특히 할머니들의 다담방, 기도처로 알려져 있다. 감로암은 사찰의 이름처럼 누군가 구제 받을 수 있고, 고통에서 벗어날 수 있는 감로가 있는 곳이다. 지금은 마시지 못하지만 보타전 아래에는 여전히 그 옛날 감로의 맛을 느끼게 했던 감로가 흐르고 있다.<br>"
3,강남,서울특별시 강남구 역삼동,127.0281574,37.49704654,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image2_1.jpg,"강남역 주변은 강남 지역에 있어서 교통의 핵심인 곳이다. 강남대로를 중심으로 동쪽으로는 테헤란로가 뻗어 있어 잠실 방향과 이어지며, 서쪽으로는 사당 방면으로 연결된다. 교보타워 사거리에서 좌측으로는 고속터미널과 이어져 노량진 및 서부 서울로 연결되며, 그대로 북쪽으로는 한남대교를 거쳐 강북으로 연결된다. 그리고 남쪽으로는 양재를 거쳐 분당 등의 신도시와 성남시 등 수도권으로 연결된다. 많은 유동인구가 강남역으로 모이는 이유는 강남역 부근이 만남을 위한 약속장소로 적합하기 때문이다. 각종 모임이나 행사 또는 개인적인 만남을 갖기에 좋은 지역적, 상권적 특성을 지니고 있다. 따라서 평일에는 주로 저녁 시간대, 주말의 경우는 낮부터 강남역 10, 11번 출구, 롯데시네마 앞(구,시티극장), 지오다노 매장 앞 등에서 많은 사람들로 붐비는 것을 흔히 볼 수 있다.<br /><br />편리한 교통과 다수의 패션관련 매장, 극장, 대형서점 등 소비를 하기 좋은 이러한 환경이 거리가 먼 지역의 소비자들까지 강남역으로 모이게 하고 있다. 강남구에서는 내ㆍ외국인 관광객에게 종합관광서비스는 물론, 강남구의 우수 인프라인 의료와 한류에 대하여 보고, 느끼고, 즐길 수 있는 체험형 관광거점시설인 강남관광정보센터를 건립ㆍ운영하고 있으며, 강남관광정보센터는 서울과 강남의 주요 관광명소를 안내하고 관광객 편의시설을 갖춘 ‘종합관광안내센터’와 강남구 특화 병원과 진료 프로그램을 소개하고 체험할 수 있는 ‘메디컬투어센터’,  한류 스타를 활용하여 다양한 한류체험이 가능한 ‘한류체험관’으로 구성되어있다.<br>"
4,강남 시티투어 (트롤리버스),서울특별시 강남구 압구정로 161,127.0264344,37.52698748,http://tong.visitkorea.or.kr/cms/resource/75/1258175_image2_1.jpg,"강남의 주요 관광명소를 순환하는 셔틀버스로, 2016년 5월부터 세빛섬 정거장에서 강북을 여행하는 서울시티투어버스로 환승이 가능하도록 통합 운영 중이다.<br>"
5,강동예찬시비,서울특별시 강동구 천호동,127.1207004,37.54268735,http://tong.visitkorea.or.kr/cms/resource/60/720460_image2_1.jpg,"조선 초기의 서거정 선생이 지은 해질 무렵의 한강변과 강동지역의 아름다운 전원풍경을 노래한 시를 옛 광나루였던 광진교 입구에 한강의 쌍돛배의 모습으로 강동예찬시비를 건립하였다. 강동예찬시비는 한강을 조망하는 훌륭한 쉼터이며, 또한 지방자치시대를 맞아 지역주민들이 고장에 대한 자긍심과 애향심을 간직할 수 있는 한강변의 문화명소이다.<br>"
6,강변스파랜드,서울특별시 광진구 구의강변로 45,127.0916116,37.53482663,http://tong.visitkorea.or.kr/cms/resource/13/1984613_image2_1.jpg,"강변스파랜드는 9917.4m²(3,000평) 규모의 지하 1,200m 게르마늄 탄산 암반유황천의 재래식 불한증막 및 사우나로 한국 최초, 최고의 발맛사지탕을 무료로 이용할 수 있으며, 한차원 높은 문화공간 체험이 가능한 곳이다. 후불제 정산시스템을 도입하여 락커키로 편리하게 시설들을 사용할 수 있으며, 지하 2층은 사우나, 지하 1층은 공용 찜질방이다. 세련된 인테리어와 유황 성분이 함유된 사우나 물은 매끄럽고 피부에도 좋다고 한다. 재래식 소나무장작 불한증막, 넓은 남.녀 공용홀을 비롯하여 숯방, 소금방, 은피라미드방, 황토불가마 등 다양한 찜질방과 야외 공기와 연결되는 발맛사지탕과 이글루체험방, 옥냉방 그외 휴식공간으로 산소방, 생잣나무방, 황토토굴방이 있으며 스넥코너, 아이스크림코너,한식당, 분식당, 헬스장, 에어로빅실, 영화방, 만화대여점(보드게임대여점, 어린이방), 매점, 스포츠마사지, 네일아트, 피부관리실, 좌욕실 등 각종 편의시설이 구비되어 있다.<br>"
7,강서습지생태공원,서울특별시 강서구 양천로27길 279-23,126.8171491,37.58608798,http://tong.visitkorea.or.kr/cms/resource/81/1894481_image2_1.jpg,"방화대교 남쪽 끝에서 행주대교 남쪽 끝 사이 한강 둔치에 있는 생태공원이다. 서울시 생태관광명소 30개소 중 하나로 선정된 강서습지생태공원은&nbsp;담수지·저습지 등을 조성하고 습생·수생식물을 심은 습지공원으로 2002년 7월에 개원되었다. 하중도, 자연관찰로, 습초지 등 습지 생태계를 복원하여 하천의 자연정화 기능을 제공한다. 갈대밭·버드나무숲이 어우러진 습지를 가로질러 두 곳의 탐방로와 철새 조망대 등이 있다. 여름과 겨울에는 철새들이 찾아들며, 다양한 생태학습 프로그램을 운영하고 있다. 또한 방화대교 하부, 가족 피크닉장 앞, 행주대교 하부에는 체력단련기구 등을 갖춰 시민의 여가활동과 스포츠 공간으로서의 기능을 하고있다.
* 면적 : 370,000㎡"
8,강서한강공원,서울특별시 강서구 양천로27길 279-23,126.8171491,37.58608798,http://tong.visitkorea.or.kr/cms/resource/11/2779111_image2_1.png,"강서한강공원은 한강 남단 가양대교에서 서울-김포시 경계까지이며, 습지 생태공원과 체육공원이 결합한 테마형 공원이다.<br>서울시 생태관광명소 30개소 중 하나로 선정된 강서습지생태공원은 하중도, 자연관찰로, 습초지토 등 습지 생태계를 복원하여 하천의 자연정화 기능을 제공하고, 방화대교 하부, 가족 피크닉장 앞, 행주대교 하부에는 체력단련기구 등을 갖춰 시민의 여가활동과 스포츠 공간으로써의 기능을 하고 있다."
9,개봉 유수지,서울특별시 구로구 개봉동,126.8634058,37.49226915,http://tong.visitkorea.or.kr/cms/resource/88/2591788_image2_1.bmp,"유수지의 특성을 고려한 안정적인 생태기반환경 복원과 주변 주거지역과 연계한 다양한 서식공간 조성으로 종다양성 증진, 목감천의 하천생태축과 연계한 도시생태 네트워크 구축했다.<br>"
