,title,addr1,mapx,mapy,firstimage,overview
0,국립세종수목원,세종특별자치시 연기면 수목원로 136,127.2858062,36.49811084,http://tong.visitkorea.or.kr/cms/resource/25/2724225_image2_1.jpg,"국내 최초의 도심형 수목원으로 개장 앞둔 국립세종수목원은 여러 정부 부처가 위치한 세종정부청사와 인접하게 65ha 면적에 조성되었으며, 국내 최대 사계절온실, 한국전통정원, 학습의 장인 청류지원, 분재원 등 다양한 테마로 2,834종 172만본(교목 45,958주 포함)의 식물 관람이 가능하다. 기후 및 식생대별 수목유전 자원의 보존 및 자원화를 위한 국가수목원 확충계획에 따라 국립백두대간수목원에 이어 설립된 또하나의 국립수목원이다."
1,금강보행교,세종특별자치시 연기면 세종리,127.2888008,36.48360422,http://tong.visitkorea.or.kr/cms/resource/57/2812357_image2_1.jpg,"세종시의 랜드마크인 금강보행교는 국내 최초로 복층 일면 강관트러스교로 지어졌으며, 독창적인 디자인으로 도시미관 향상에 크게 기여하고 있다. 금강보행교는 환상의 시간여행이라는 설계 개념으로, 교량상부(폭 12m)는 보행편의를 위한 휴게 및 편의시설과 다양한 이벤트, 놀이 체험시설이 가득한 녹지 보행공간으로 조성했고, 교량하부(폭 7m)에는 쾌적한 자전거 전용도로를 설치하여  보행자 안전을 보장하고 자전거 이용자들에게도 편의를 제공하고 있다."
2,"금강자연휴양림(금강수목원,산림박물관)",세종특별자치시 금남면 산림박물관길 110,127.2305768,36.43544482,http://tong.visitkorea.or.kr/cms/resource/17/1598617_image2_1.jpg,"공주시에서 대전방향으로 강변을 따라오다가 청벽대교를 건너기 전 오른쪽으로는 유유히 흐르는 금강을 바라보면서 잠시 달리다 보면 오른쪽에 붉은 아치 모양의 불티교가 보인다. 이 불티교를 건너면 이렇게 넓은 자연휴양림이 있을까 싶을 만큼 규모도 크고 잘 정돈된 금강자연휴양림이 모습을 드러낸다. 청벽에 가로막혀 나룻배를 타고 드나들어야 했던 오지 마을인 이곳에 1994년 충남산림환경 연구소가 이전하면서 주변의 잘 보존된 울창한 숲을 금강자연휴양림으로 지정하였고, 1997년 10월에는 산림박물관이 문을 열었다. 금강자연휴양림은 첫인상부터 여느 휴양림과는 다른 느낌을 준다. 울창한 숲 속의 산책로를 떠올리게 하는 휴양림이라기 보다는 잘 정비된 도로위에 산림 박물관, 수목원, 온실, 연못, 야생동물원 등 다양한 볼거리들이 산재해있어 테마파크 같은 인상을 주기 때문이다."
3,도토리숲키즈파크,세종특별자치시 장군면 영평사길 34,127.2363001,36.47647633,http://tong.visitkorea.or.kr/cms/resource/41/2771941_image2_1.jpg,"도토리숲키즈파크는 세종시 장군면 산학리에 자리 잡고 있다. 아이들이 안전하고 신나게 즐길 수 있는 놀거리가 많다. 자연 친화적인 공간에 숲속 놀이터를 비롯해 쁘띠아르 조각공원, 소나무 산책길, 싱커토이 놀이터, 상상블록, 갤러리 랑 등 여러 시설이 갖춰져 있다. 이곳은 서세종IC에서 가까운 거리에 있다. 주변에는 연계 여행지로 삼기 좋은 세종호수공원과 전월산 국민 여가 캠핑장이 있다."
4,뒤웅박고을,세종특별자치시 전동면 배일길 90-43,127.2591732,36.67593718,http://tong.visitkorea.or.kr/cms/resource/31/1918231_image2_1.jpg,"뒤웅박고을은 전통장류로 유명한 곳이다. 전통장류박물관(체험장), 전통장류음식 전문식당, 전통장류 등 전시판매장, 커피전문점, 대규모 장독대, 야외전시장 등이 있다. 전통장류박물관은 130여 점의 옹기 유물을 전시하고 있다. 또, 1950년대 뒤웅박고을 설립자의 어머니가 담근 씨간장과 장항아리를 볼 수 있다. 전통장의 제조 과정을 그림과 실물을 통해 보여주며, 이밖에 뒤때그릇, 제주도 화산토로 만든 물허벅, 옹기 등도 있다. 체험 프로그램으로는 콩가루를 이용한 천연비누만들기, 옹기향초만들기, 콩다식만들기 등이 있다. 식당에서는 전통장류음식을 코스 요리로 즐길 수 있다. 다양한 장류를 직접 구매하는 것도 가능하다. 뒤웅박고을의 백미는 야외에 있는 대규모 장독대다."
5,밀마루전망대,세종특별자치시 도움3로 58,127.2558421,36.50544836,http://tong.visitkorea.or.kr/cms/resource/03/1927403_image2_1.jpg,"세종시의 중심행정타운 중앙에 조성된 밀마루전망대는 동서남북 어디서든 도시의 모습을 관람할 수 있도록 설계되었다. 이 전망대에 오르면 하루가 다르게 변화하는 세종시의 모습과 공주, 조치원 등 인근 지역을 한 눈에 볼 수 있다. 또한, 세종시 전체 조감도와 첫마을 조감도, 토지이용 조감도도 설치해 놓아 조감도를 살펴보면서 세종시 미래의 모습을 동시에 상상해 볼 수 있다.- 설치일 : 2009년 3월 12일- 높이 : 42m (해발 : 98m)- 특징 : 누드 엘리베이터와 슬림형"
6,방축천 음악분수,세종특별자치시 어진동,127.2572171,36.4993463,http://tong.visitkorea.or.kr/cms/resource/13/2758613_image2_1.jpg,"방축전 음악 분수는 세종시 어진동 방축천 수변공원 내에 있다. 
신나는 노래와 아름다운 조명이 함께 어우러져 어두운 밤을 화려하게 밝힌다.
아이들과 함께 또는 연인과 데이트 장소로도 손색이 없다. 음악 분수가 있는 방축천 수변공원에는 수변식물 테마공원, 세종광장, 자연 생태학습장 등의 시설이 갖춰져 있다."
7,베어트리파크,세종특별자치시 전동면 신송로 217,127.2092056,36.67206452,http://tong.visitkorea.or.kr/cms/resource/38/2724238_image2_1.jpg," 세종특별자치시에 위치한 베어트리파크는 2009년 5월 개장하였다. 이재연 설립자가 50여년간 가꾸어온 식물과 동물들이 자라 숲과 군락을 이루어 현재의 베어트리파크가 되었다. 베어트리파크 33만여㎡(10만 평)의 대지에 1,000여종 40여만 점에 이르는 꽃과 나무, 비단잉어와 반달곰, 꽃사슴 등이 어우러진 곳이다. 백여마리의 비단잉어가 서식하는 오색연못을 시작으로 수백 마리의 반달곰과 불곰이 재롱을 부리는 모습을 직접 볼 수 있다. 베어트리파크를 한눈에 볼 수 있는 전망대를 시작으로 사시사철 꽃을 피우는 베어트리정원, 아기반달곰과 사슴, 공작새, 원앙 등을 관람할 수 있는 애완동물원 등이 조성되어 있다. 희귀한 소나무를 수집해 조성한 송백원, 고사목과 향나무가 조화를 이룬 하계정원, 수천 송이의 장미를 감상할 수 있는 장미원, 국내 야생화를 모아둔 산책로인 야생화 동산, 다양한 종류의 분재를 만나 볼 수 있는 분재원, 국내에서 보기 힘든 열대 식물을 한자리에 모아 놓은 열대온실원, 선인장과 과목, 나무화석 등 다양한 볼거리가 가득한 만경비원, 수령 100년 이상 된 향나무 사이로 산책로를 조성한 향나무동산, 800년 된 느티나무가 있는 우리나라 지도 모양으로 만든 유럽식 정원 송파원 등이 있다. 11월부터 2월까지 동절기에는 비단잉어 실내 관람 시설에서 먹이주기 체험이 가능핟. 여러 개의 야외 연못에 분산되어 있던 1,000여 마리의 비단잉어가 따듯한 겨울을 날수 있도록 한곳에 모여 더욱 장관을 이룬다. 먹이를 뿌리면 와르르 모여드는 비단 잉어떼를 만나볼 수 있다."
8,별신(삼버들협동조합),세종특별자치시 부강면 시장1길 6-2,127.3701506,36.52775894,http://tong.visitkorea.or.kr/cms/resource/95/2820095_image2_1.JPG,"삼버들협동조합은 큰 버드나무 세 그루가 있었다 하여 지어진 부강의 옛 지명 ‘삼버들’에서 따온 이름으로 전통문화향유 활성화 사업 및 교육 콘텐츠를 기획하는 마을기업이다. 2018년부터 14개의 지역 문화재를 활용한 도보여행 코스 ‘작은 여행자마을’을 운영하며 역사공간을 활용해 문화공연과 돌잔치, 전통혼례장소 대관을 하고 있다."
9,비암사(세종),세종특별자치시 전의면 비암사길 137,127.1920532,36.61140451,http://tong.visitkorea.or.kr/cms/resource/31/1601631_image2_1.jpg,"* 810년 된 느티나무가 있는 비암사 *세종시 전의면 비암사길 137 비암사는 2,000여 년 전 삼한시대의 절이라고 하지만 정확하진 않다. 통일신라 말기 도선국사가 창건했다는 설도 있다. 삼층석탑은 고려시대의 것으로 추정되며, 조선시대 기록에 비암사라는 이름이 나온다. 1960년 삼층석탑 꼭대기에서 ‘계유명전씨아미타불비상’이 발견되어 국보로 지정됐다. 이밖에 17세기에 제작된 것으로 알려진 영산회 괘불탱화와 소조아미타여래좌상이 있다. 비암사에서 방문객을 가장 먼저 반기는 것은 810년 된 느티나무. 높이 15m, 둘레 7.5m인 이 나무는 비암사로 오르는 계단 옆에 있다. 비암사 주차장에 차를 세운 뒤 바로 절로 올라가지 말고 화장실 뒤로 난 계단을 따라 산으로 조금만 올라가면 비암사를 한눈에 담을 수 있다."
