,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가우도 출렁다리,전라남도 강진군 도암면 신기리,126.7717357,34.52886696,http://tong.visitkorea.or.kr/cms/resource/74/2648674_image2_1.jpg,"가우도섬에 위치한 출렁다리는 해안선을 따라 약 3km가량의 산책로가 펼쳐져있고, 한폭의 그림같은 푸른 바닷길을 볼 수 있다.",강진군
1,강진 갯들소리마을,전라남도 강진군 신전면 논정길 10-3,126.745872,34.49850327,http://tong.visitkorea.or.kr/cms/resource/79/1970879_image2_1.jpg,"갯들소리마을(논정마을)은 친환경농법으로 재배하는 벼농사와 굴, 고막, 바지락, 낙지 등을 채취하는 수산업을 주업으로 하고 효와 예절을 바탕으로 한 역사와 전통을 자랑하는 마을이다. 마을 주위는 주로 논과 들이 펼쳐져 있고, 마을 앞 산을 넘으면 강진만이 있어 육지와 바다의 자원을 동시에 지니고 있다.",강진군
2,강진 고려청자 요지,전라남도 강진군 대구면 사당리,126.8017669,34.508142,http://tong.visitkorea.or.kr/cms/resource/38/1606638_image2_1.jpg,"강진군 대구면 일대는 우리 나라 중세미술을 대표하는 고려청자의 생산지다. 1963년 사적으로 지정된 강진 고려청자 요지는 9세기부터 14세기까지 5백여 년간 집단적으로 청자를 생산했던 곳으로 9개 마을에 180여 개소의 가마터가 분포되어 있으며, 약 18만여 평을 문화재 보호구역으로 지정 관리하고 있다. 고려시대 집단적으로 청자를 생산했던 곳으로 이곳 강진과 부안 등을 들 수 있으나, 전국적으로 지금까지 발견된 400여 기의 옛 가마터 중 대부분이 이곳 강진에 분포되어 있다. 그 중에서도 사당리는 제작기술이 최절정을 이룬 시기에  청자를 생산하였던 지역으로, 우리나라의 국보나 보물로 지정된 청자의 80% 이상이 이곳에서 생산되었을 정도로 그 기법의 천재성과 예술적 가치를 세계적으로 인정받아 왔으며, 프랑스 루부르 박물관에도 보관되어 있다. 또한, 강진은 다른 지방에 비해 태토, 연료, 해운, 기후 등 여건이 적합하여 우리나라 청자 문화를 주도해 왔으나, 고려말기에 청자 기법이 쇠퇴한 후 600여 년 동안 전승되지 못한채 단절되어 오던것을 1977년부터 재현사업을 하여 재현에 성공하였다.",강진군
3,강진 금곡사 삼층석탑,전라남도 강진군 군동면 까치내로 261-21,126.7773458,34.66643218,http://tong.visitkorea.or.kr/cms/resource/95/220695_image2_1.jpg,"이 석탑은 기단중심석의 전 후 측면에서 각기 1매씩의 판석이 유실된 상태였고 갑석에서도 부분적으로 파손되어 원형의 모습을 잃은채 보존되어 왔었다. 그러던중 1988년 6월 10일 부터 6월 23일 까지 약 2주간 해체 복원공사를 실시하였으며, 이때 3층탑신에서 세존진신사리 32과가 발견되어 이 탑에 대한 새로운 인식을 갖게 되었다. 이 석탑은 3층석탑으로서는 5m가 넘는 거탑이며, 그 형식면에서는 전형적인 고려양식을 고수하면서도 기단부 구성이나 옥개석의 우동마루 등 일부에서 약간 백제계 석탑의 분위기가 가미되고 있다.조성연대는 고려초반기로 추정된다. 1층 옥개석은 4개의 석재로 결구하였고 비교적 두꺼운 편으로 처마 곡선이 밋밋하여 전각의 반전 또한 완만하다. 층급 받침은 통례(通例)와는 달리 6단이며 옥개석 상면은 1단 탑신에서와 같다. 2,3층 옥개석은 모두 두 개의 석재로 결구되었고 하면의 받침은 2층이 5단, 3층은 4단으로 줄었다. 3층 탑신 역시 각면 모서리에 모서리 기둥없이 편평하게 처리하였다. 상륜은 모두 유실되고 없다. 이 탑은 전반적으로 보아 단층 기단이면서 기단부나 탑신부 각 면에 모서리 기둥없이 편평하게 처리된 점이라든가 또는 층급 받침이 일률적이 아닌 6, 5, 4 단으로 된 점 등은 정형을 따르지 않고 있으나 탑의 각 부재에 있어서의 규율성, 전체적인 체감율 등은 매우 알맞아 안정감이 있다. 또, 1층 탑신이 두 개로 포개진 예는 광주 서5층 석탑(보물 제109호)이나 장성 내계리 5층 석탑(지방 유형 131호)등에서 볼 수 있어 이 탑의 조성연대는 고려 시대로 추정된다.* 규모 - 총고 5.6m* 시대 - 고려시대",강진군
4,강진 백련사 동백나무 숲,전라남도 강진군 도암면 백련사길 145,126.7479252,34.58774052,http://tong.visitkorea.or.kr/cms/resource/53/211953_image2_1.jpg,"동백나무는 우리나라를 비롯하여 일본, 중국 등의 따뜻한 지방에 분포하여, 우리나라에서는 남쪽 해안이나 섬에서 자란다. 꽃은 이른 봄에 피는데, 매우 아름다우며 꽃이 피는 시기에 따라 춘백, 추백, 동백으로 부른다. 백련사의 동백림은 강진의 백련사 부근에 있는데 동백나무 1,500여 그루가 숲을 이루고 있으며, 이밖에 굴참나무, 비자나무, 후박나무, 푸조나무 등도 군데군데 자라고 있다. 동백나무의 높이는 평균 7m쯤 되고, 동백꽃이 필 무렵이면 매우 아름다워 이 지역의 명소로 알려져 있다. 동백림의 유래에 관하여 정확히 알려진 것은 없으나, 정약용 선생의 유배지인 다산초당이 가까이 있고, 이곳에서 다도(茶道)연구를 했던 것으로 미루어 이와 관련이 있을 것이라는 추측이 있다. 또한 그가 백련사를 왕래할 때 그도 이 동백나무 숲을 즐겨 감상하였을 것으로 추정된다.",강진군
5,강진 병영마을 옛 담장,전라남도 강진군 병영면 동삼인길 20,126.8181743,34.71489963,http://tong.visitkorea.or.kr/cms/resource/04/2515604_image2_1.jpg,"강진 병영마을은 옛 병마절도사의 영(營)이란 명칭에서 유래된 마을로 오랜 역사속에서 그 명맥을 이어오고 있다. 주위의 수인산, 성자산, 옥녀봉, 별락산, 화방산 등 크고 작은 산으로 둘러싸여 분지형태의 천연요새로, 일찍이 전라도의 군수권을 통괄했던 병영성이 이곳에 들어섰으며 빠른 상업의 발달을 이룬 곳이다. 이 곳에는 사적으로 지정된 ‘병영성지’가 남아있어 그 역사를 증언하고 있다.병영마을의 담장은 전체적으로 돌과 흙을 번갈아 쌓은 토석담으로 하부는 비교적 큰 화강석을, 중단 이후로는  어른 주먹 크기 정도의 비교적 작은 돌을 사용하여 쌓아 올렸다. 담 위에는 기와로 지붕처리를 하였다.
또한 담장 역할을 하는 부속채도  담장과 같은 높이와 방식으로  축조되어 서로가 조화를  잘 이루고 있다. 담장의 높이는 2m 정도로 높은 편이고 이는 병영마을이라는 특성과 무관하지 않은 것으로 보이며 마을 안길이 직선형으로 되어있어 담장이 한층 정연해 보인다. 특히, 하멜 일행이 1656년부터 1663년까지 7년간 이 곳에 머무는 동안 그들로부터 습득한 것으로 전해오는 담 쌓기 방식인, 중단 위쪽으로 얇은 돌을 약 15° 정도 눕혀서 촘촘하게 쌓고, 다음층에는 다시 엇갈려 쌓는 일종의 빗살무늬 형식(이 곳에서는 이 형식 을 '하멜식 담쌓기’라 부른다) 은  타 지방과 다른 독특한 방식을 보여주고 있다.* 담장형태 - 토담길이 약 10,000m의 돌담, 토석담* 쌓은 형식 - 하멜일행이 약 7년간 머물면서 알려준 일종의 빗살무늬 형식의 하멜식 담쌓기* 마을형성 - 조선시대 옛 병영* 문화재 - 전라 병영성지(사적) 등 3건",강진군
6,강진 삼인리 비자나무,전라남도 강진군 병영면 동삼인길 28-10,126.8191381,34.7148441,http://tong.visitkorea.or.kr/cms/resource/98/220698_image2_1.jpg,"이 비자나무는 수령 약 400년으로 높이가 10m이고 가슴높이 둘레가 5.2m이다. 북향 경사지에 있으며 주위에는 대나무 숲이 있고 밑에는 자주괴불 주머니가 자란다. 앞에서 볼 때에는 지상 1.87m에서 커다란 가지가 길게 뻗었으며, 뒤쪽에 가지는 짧고 양쪽 가지는 비슷하게 자랐다. 가장 큰 가지의 밑부분 둘레는 2.6m나 된다. 태종 17년에 전라 병마절도사영을 이곳으로 정했을때 쓸만한 나무는 모조리 다 베어 버렸으나 이 나무는 굽었고 키가 작아서 쓸모가 없었기 때문에 남게 되어 현재에 이르렀다고 전해오기도 한다. 조선 500년 동안 호남지방의 방어 진지였던 병영성이 갑오동란으로 동학군에 함락되어 마침내 폐영될 때가지 이 근처에는 많은 병사가 있었으나 열매를 촌충구제에 사용하기 때문에 잘 보호되어 온 것 같아 보인다. ",강진군
7,강진 월남사지 삼층석탑,전라남도 강진군 성전면 월남1길 100,126.7113275,34.74298081,http://tong.visitkorea.or.kr/cms/resource/99/221199_image2_1.jpg,"월남사터에 남아있는 삼층석탑으로, 단층의 기단(基壇) 위에 3층의 탑신(塔身)을 올린 모습이다. 기단은 바닥돌 위에 기둥 모양의 돌을 세우고 그 사이를 판돌로 채운 뒤 넓적한 맨윗돌을 얹어 조성하였다. 탑신부의 1층 몸돌은 매우 높으며, 2층 몸돌부터는 그 높이가 급격히 줄어들고 있다. 지붕돌은 기단보다 넓게 시작하였으며, 밑의 받침은 3단을 두었다. 지붕돌의 윗면은 전탑에서와 같이 계단식 층단을 이루었고,추녀는 넓게 수평의 직선을 그리다가 끝에서 가볍게 들려있다. 탑신의 모든 층을 같은 수법으로 조성하였고 위로 오를수록 낮은 체감률을 보인다. 탑의 머리부분에는 받침 위에 꾸밈을 위해 얹은 석재 하나가 남아 있다.이 탑은 백제의 옛 땅에 위치한 지리적 특성상 백제 양식을 많이 따르고 있다. 기단 및 탑신의 각 층을 별도의 돌로 조성한 것이나 1층의 지붕돌이 목탑에서처럼 기단보다 넓게 시작하는 양식 등이 그러한 특징이 된다.대표적인 백제탑이라 할 수 있는 부여 정림사지오층석탑(국보)과 비교해볼 수 있으며, 전라도 지역에서는 규모나 양식으로 매우 중요한 석탑이라 할 수 있다.",강진군
8,강진 월남사지 진각국사비,전라남도 강진군 성전면 월남1길 106-1,126.7107359,34.74270861,http://tong.visitkorea.or.kr/cms/resource/59/220659_image2_1.jpg,"월남사는 고려 중기에 진각국사에 의해 창건된 사찰로, 창건 이후의 기록은 전해지지 않고 있다. 진각국사의 성은 최씨이고 이름은 혜심(慧諶)으로 24세에 사마시에 합격하였으나, 어머니의 죽음으로 출가를 하게 되었다. 출가 후 보조선사 밑에서 수도를 하였고 고종이 왕위에 오르게 되자 대선사(大禪師)가 되었으며, 고종 21년(1234)에 57세로 입적하였다. 월남사 터에 서 있는 이 비는 절을 창건한 진각국사를 추모하기 위해 세운 것이다. 비는 거북받침돌 위에 비몸을 올린 형태이다. 받침돌인 거북은 입에 구슬을 문 상태로 긴 목을 빼어들고 네 발을 단단히 짚고 있는데, 그 모습이 매우 강렬하고 사실적이다. 발톱에서 보이는 현실성이나 목과 머리조각의 세부표현 또한 전체적인 균형과 잘 어우러져 한층 돋보인다. 비몸은 원래 매우 컸다고 하나 윗부분이 떨어져 나가고 아랫부분만 남아 있으며, 표면이 심하게 마모되어 비문은 잘 보이지 않는다. 비문은 당시의 문장가인 이규보가 지은 것으로 전해지며, 비를 세운 시기는 고려 고종 때로 추정된다.",강진군
9,강진 전라병영성,전라남도 강진군 병영면 병영성로 175,126.8171493,34.71997127,http://tong.visitkorea.or.kr/cms/resource/70/2654570_image2_1.jpg,"조선조 600년 간 호남과 제주도 53주 6진을 통할한 육군의 총 지휘부로 1417년(태종 17) 본래 광산현에 설치되어 있던 병마절도사영을 이설한 성이다. 초대 병사인 마천목장군이 꿈속에 계시를 받아 눈(雪)의 자국을 따라 축조하였다 하여 설성이라고도 하는데 평지에 축조된 성으로, ""대동지지""나 ""색지""등에 따르면 둘레 2,820척, 높이 18척, 옹성 12개소, 연못 5개소, 우물 9개소, 포루 2개소였고 성문 4개소, 연회장, 객사 등 15동의 부속 건물이 있었다고 한다. 1599년(선조 32) 일시 장흥으로 이설되었다가 1604년 다시 이곳으로 옮겨왔으며, 제주도에 표착했던 네델란드인 하멜이 이곳으로 압송되어 8년여 동안을 억류생활 했던 곳이다.1894년 동학농민전쟁으로 병영성이 함락되어 막대한 피해를 입었으며 이듬해인 1895년(고종 32) 갑오경장때 폐영되었다. 전라병영성지는 당초 1992년 3월 9일 전라남도 기념물로 지정되어 보호 관리되다가 1997년 국가사적으로 지정되었다. 당시의 성곽흔적이 뚜렷이 남아 있어 그 역사적 중요성과 의의를 한차원 높이기 위해 성곽 등을 복원하였으며, 관련유적으로 하멜체류지, 한골목, 병영홍교, 비자나무, 은행나무 등이 있다.",강진군
