,title,addr1,mapx,mapy,firstimage,overview,addr2
0,거금도,전라남도 고흥군 금산면 일원,127.1657612,34.45930354,http://tong.visitkorea.or.kr/cms/resource/97/2043897_image2_1.jpg,"고흥반도 도양읍에서 남쪽으로 2.3km 떨어진 해상에 있으며, 소록도 바로 아래 위치한 섬이다. 조선시대에는 도양 목장에 속한 마목장의 하나로 절이도(折爾島)라 하였다. 그 후 강진군에 편입되었다가 1897년 돌산군 금산면에 속하였으며 1914년 행정구역 개편 때 고흥군 금산면이 되었다. 큰 금맥이 있어 거억금도라고 불렀다는 기록도 있다. 최고점은 적대봉(592m)이며, 400m 내외의 산지가 많으나 서쪽과 북쪽은 경사가 완만한 구릉성 산지로 되어 있다. 해안은 사질 해안이 많으나 돌출한 갑 일대는 암석 해안을 이루고 있으며, 해식애도 발달해 있다.",고흥군
1,거금생태숲,전라남도 고흥군 금산면 거금일주로 1877,127.2156653,34.45388832,http://tong.visitkorea.or.kr/cms/resource/69/2012369_image2_1.jpg,"고흥군 금산면(錦山面) 거금도(居金島)에 솟아 있는 마치 바다에 떠 있는 고래등 같은 분위기를 풍기는 적대봉(높이 592m)의 남쪽자락인 청석마을에 위치하고 있다. 특히, 적대봉은 우리나라 남부의 난대 섬 지역으로 주요 난대수종인 후박, 이팝 등 11종의 자생군락지가 있는 등 동식물자원의 식생특이성과 식물생태학적 가치가 높은 곳으로 이들 자생식물의 보전 및 관리기능을 강화하고, 청소년들에게 체험 및 학습 장소로 제공하기 위하여 2008년부터 2011년까지 4년에 걸쳐 조성되었다.",고흥군
2,고흥 무열사,전라남도 고흥군 두원면 동신안길 21-6,127.2837657,34.64322939,http://tong.visitkorea.or.kr/cms/resource/50/1608450_image2_1.jpg,"임진왜란과 정묘호란에 전공을 세운 진무성 장군을 추모하기 위해 호남 유림의 발의와 영남 유림의 협찬으로 고종 19년(1882)이전에 있던 용강사를 계승하여 건립한 것이다. 용강사는 순조 26년(1826) 고흥군 대서면 상남리에 건립되어 진장군의 3인이 제향되었으나, 고종 5년(1868)  서· 사우 일제 철폐령에 의해 훼철 당한 후 복원하여 무열사라 하였다. 진무성의 본관은 여양(驪陽)이고, 자는 사규(士赳), 호는 송계(松溪)이다. 1592년(선조 25) 임진왜란 때 전라좌도수군절도사 이순신(李舜臣) 휘하 중군 소속으로 당포해전에서 전공을 세우고, 진주가 포위되자 적의 동태를 탐지하여 적을 물리치는 데 크게 공을 세웠다.",고흥군
3,고흥 신기거북이마을,전라남도 고흥군 대서면 동서로 925,127.2648705,34.74089867,http://tong.visitkorea.or.kr/cms/resource/00/2516100_image2_1.jpg,"신기거북이 마을은 넓은 들판과 야산으로 둘러싸인 전원과 청정 바다가 어우러져 흙냄새, 풀냄새, 바다 내음이 물씬 풍기는 전형적인 농어촌 마을로, 마을 앞 청정 갯벌 양식장에서는 고막, 바지락, 낙지, 전어 등 다양한 해산물이 생산되고, 농경지에서는 친환경 인증(저농약)을 획득한 셀레늄 마늘과 참다래,완두콩, 쌀, 콩, 참깨 등 다양한 농산물이 생산되고 있다. 해안에 우리나라에서 보기 드문 지층, 단층대가 형성되어 있어 지층. 단층 학습 체험을 할 수 있고, 나로우주센터가 있는 우주 항공의 고장에 맞추어 물로켓 제작 및 발사, 별자리 관찰 등의 학습 체험, 그리고 건강 마늘 캐기 체험, 고구마 캐기 체험 등의 농촌 체험을 비롯하여 마을의 청정 해역의 갯벌을 이용한 고막, 바지락 캐기 바지낚시, 갯벌 체험 등 다양한 농어촌 체험거리가 있는 마을이다. 또한, 신기거북이마을은 녹색농촌체험마을, 어촌체험마을, 정보화마을, 농촌마을종합개발사업, 팜스테이 마을, 행복마을 등 다양한 사업을 유치하여 마을을 찾은 관광객들에게 다시 찾고 싶고 머무르고 싶은 전원 마을로 거듭나고 있다.",고흥군
4,고흥 유자공원,전라남도 고흥군 풍양면 대청길 33-11,127.2353523,34.57239206,http://tong.visitkorea.or.kr/cms/resource/82/2043882_image2_1.jpg,"국내의 대표적인 유자 생산지인 고흥과 녹동사이 국도변(풍양면 한동리)에 위치하였으며, 교통이 편리하다.숲을 이루고 있는 유자공원에 오면 늦가을 매혹적인 유자향기를 만끽하면서 공원 산책로를 따라 데이트를 즐길 수 있다.전망대, 산책로, 탐방로, 약수터, 쉼터 등의 시설로 조성된 공원으로 공원 입구쪽에는 유자공원 특산품 전시판매장이 있으며, 고흥 유자 재배의 역사, 특성, 약리효과 등 고흥유자의 모든 것을 한눈에 볼수 있으며 유자제품으로 생과, 유자쥬스, 유자청 등 가공제품을 비롯한 고흥지역의 우수한 농산물을 저렴한 가격에 구입할 수 있다.",고흥군
5,고흥 해창만 간척지 공원,전라남도 고흥군 포두면 팔영로 405,127.393341,34.58221863,http://tong.visitkorea.or.kr/cms/resource/47/2380847_image2_1.jpg,"해창만 간척지 제방 유휴토지에 오토갬핑장, 야외 공연장, 산책로 등을 조성하여 관광객에게 편안한 휴식공간을 제공하고자 해창만 간철지 공원을 조성하였다. 앞쪽으로는 담수호, 뒤쪽으로는 바다가 위치하고 있어 낚시하기에 좋은 장소이다.",고흥군
6,고흥발포만호성,전라남도 고흥군 도화면 발포성촌길 3,127.3359096,34.48408419,http://tong.visitkorea.or.kr/cms/resource/54/1608454_image2_1.jpg,"발포진성은 현재 고흥군 도화면 발포리 성촌마을을 중심으로 있다. 이 성은 전라좌수영 산하의 5관5포(5관 - 순천, 낙안, 보성, 광양, 고흥 / 5포 - 사도, 여도, 녹도, 발포, 방답) 중 수군만호가 다스린 수군진성으로서 성종21년(1490) 축성되어 고종 31년(1894) 폐지된 조선 초기의 성이다. 또 이 성은 선조13년(1580) 이순신장군이 36세 때 발포만호로 부임해와 18개월 동안 재임했던 인연을 맺고 있다. 발포진성에 관한 기록은 『성종실록』에 보이는데 권245, 21년 경술 9월조에『축…전라도발포성주일천삼백육십척병고십삼척(築…全羅道鉢浦城周日千三百六十尺竝高十三尺)』이라 하였으며 성종21년(1490) 적양성, 지세포성, 안골포성 등과 함게 축조하였음을 알 수 있다. 성벽은 옹형에 가까운 사다리꼴 형태로 전체 둘레는 560m이고 높이는 약 4m이다. 또 서벽이 동벽보다 깊고 현재 동서남북 4벽이 거의 원상태로 남아 있으나 동벽과 남벽은 민가의 담으로 이용되고 있다. 성안의 건물지로서는 동헌과 객사, 배수로, 무기고, 동문, 서문, 남문, 망루터 등이 남아 있는데 이는 1977년 전남대학교 박물관 발굴 조사에 의해 확인된 것이다. 이 성은 여천선소 유적과 함게 임진왜란때 좌수영 산하의 수군기지로 매우 귀중한 역사적 배경을 안고 있는 곳이다. 또한 발포마을 앞에는 굴강이 남아 있으며 충무공의 애국 충정을 기리기 위하여 1976년 이충무공 유적 보존위를 결성 거군적인 유적지 복원사업을 벌여 군민의 성금과 도·군비를 투입 충무사를 건립하고 매년 4월 28일 충무공탄신 기념일에는 탄신기념 다례제를 모시고 있다.* 규모 - 성곽일원 * 시대 - 성종 21년(1490)",고흥군
7,고흥우주발사전망대,전라남도 고흥군 영남면 해맞이로 840,127.4923045,34.58501168,http://tong.visitkorea.or.kr/cms/resource/90/2662690_image2_1.bmp,"고흥우주발사전망대는 영남면 남열해돋이해수욕장 옆 50m위에 지하1층, 지상7층으로 조성되어 있다. 한국이 자체 기술로 인공위성을 우주 공간으로 쏘아올리기 위해 건설된 한국 최초의 우주발사체 발사기지인 나로우주센터와는 해상으로 15km 직선거리에 위치하여 나로호 발사 광경을 넓은 바다와 함께 볼 수 있다. 주변에는 남해의 용이 승천했다는 용바위 등 해안절경이 뛰어난 곳으로 많은 관광객이 찾고 있는 지역의 랜드마크로서의 역할을 하고 있다. 특히, 전망대 7층에는 광주·전남권역 최초로 턴테이블을 설치하였고, 2층에서는 수려한 다도해 절경 조망이 가능하며, 1층에는 우주도서관과 우주체험 공간 등이 마련되어 있고, 지하 1층에는 가족놀이방을 운영하고 있다.",고흥군
8,고흥장수호힐링정원,전라남도 고흥군 신호산장길 73-19,127.3036372,34.6043813,http://tong.visitkorea.or.kr/cms/resource/15/2924815_image2_1.JPG,"전라남도 제7호 민간정원으로 등록된 곳으로 생활 속 정원문화 확산을 위해 개인과 기업 등이 조성한 정원을 발굴해 전라남도 민간정원으로 등록하는 사업에 선정된 것이다. 장수호힐링정원은 2005년 당시 고흥 농촌지도자 연합회장 백의용 씨가 본인 소유 야산에 들국화를 심으면서 시작되었다. 현재 고흥 천만 송이 들국화농장으로 소개되고 있는 곳으로, 들국화 명소이자 힐링 정원 역할을 톡톡히 해내고 있다. 매년 가을 천만 송이 들국화 축제를 개최하고 있으며, 들국화 라이브 카페도 운영하고 있다.",고흥군
9,고흥향교,전라남도 고흥군 고흥읍 흥양길 90-29,127.2806779,34.61417148,http://tong.visitkorea.or.kr/cms/resource/66/1608466_image2_1.jpg,"1441년(세종 23) 현유(賢儒)의 위패를 봉안, 배향(配享)하고 지방의 중등교육과 지방민의 교화를 위하여 고흥현 서문(西門) 밖에 창건되었다. 정유재란 때 병화로 소실되었다가 1695년 유생 강익무(姜翊武)·치무(致武) 형제가 향교의 재건을 상소하고 신규(申?)·송만징(宋萬澄) 등이 발의하여 1700년 교궁(校宮)을 중건하였다. 이어 1817년 현감 유민검(柳民儉)이 양사재(養士齋)를 설립하고, 이듬해 현감 신의학(愼宜學)이 동재(東齋)·서재(西齋)와 명륜당의 지붕을 보수하였으며, 1828년 현감 조존승(趙存昇)과 이광문(李光文)·송석흠(宋碩欽) 등의 노력으로 대성전이 중수되었다. 1910년 일본 관헌에게 재당(齋堂) 및 토지 등의 재산을 빼앗기고 사림들의 휴식처마저 없어지자, 신재구(申在求)와 송계성(宋桂星)이 논의하여 대성전 좌우에 방을 마련하였다. 또 1912년 송인섭(宋仁燮)·신재구·유중홍(柳重洪) 등이 존성계(尊聖契)를 조직하여 사청(祀廳)을 보수하고 향사를 받들 재원으로 토지를 마련하는 한편, 담장을 보수하였다. 광복 뒤 몇 차례의 보수를 거쳤으며 1955년 홍살문을 세웠다. 조선시대에는 국가로부터 전답과 노비·전적 등을 지급받아 교관이 교생을 가르쳤으나, 현재 교육적 기능은 없어지고 봄·가을에 석전(釋奠：공자에게 지내는 제사)을 봉행(奉行)하고 초하루·보름에 분향하고 있으며, 전교(典校) 1명과 장의(掌議) 수명이 운영하고 있다.",고흥군
