,title,addr1,mapx,mapy,firstimage,overview,addr2
0,곡성 단군전,전라남도 곡성군 곡성읍 영운1길 33,127.2932709,35.28743486,http://tong.visitkorea.or.kr/cms/resource/32/1609432_image2_1.jpg,"우리나라 시조로 잘 알려진 단군은 천제인 환인의 손자이며, 환웅의 아들이다. 환웅은 곰과 호랑이가 나타나 사람이 되길 애원하자 마늘과 쑥을 주며 '100일 동안 햇빛을 보지 않으면 인간이 될 것이다.'라고 하였다고 한다. 곰은 100일을 잘  참아내어 여자의 몸이 되고, 호랑이는 견디지 못해 인간이 되지 못한다. 이렇게 여자가 된 곰은 환웅과 혼인하여 단군 왕검을 낳았다는 이야기이다. 곡성읍 영운천변에 위치한 이곳은 우리나라 시조인 단군왕검의 영정을 모신 사당이다. 당초 담양군출신 신태윤이 1916년 학정리 삼인동에 세웠던 것을 1931년 봉황대로 옮겨 중건한 것으로, 매년 10월 3일 개천절과 3월 15일 어천절에 단군 성조의 제사를 모시며 일제로부터 독립을 위해 애국동지를 규합하고 단합을 약속하였던 곳으로 경내에는 3·1운동 기념비와 설립자 백당 기념관이 있다. 백당 신태윤 선생은 기미년 (1919) 3.1운동 당시 많은 군민 학도들과 '대한독립만세'를 외치다 일본 경찰에 잡혀 징역 2년을 선도 받고 대구형무소에 수감되기도 했다.",곡성군
1,곡성 함허정,전라남도 곡성군 입면 제월리,127.220232,35.32249353,http://tong.visitkorea.or.kr/cms/resource/79/2516079_image2_1.jpg,"조선 중종 38년(1543년) 심광형이 이 지역 유림들과 풍류를 즐기기 위해 지은 정자로서 '호연정'이라고도 한다. 증손자 심민각이 오래된 정자를 옛 터 아래쪽으로 옮겨 다시 지었으며 5대손 심세익이 고쳤다. 지금 있는 건물은 1980년에 수리를 한 것이다. 앞면 4칸, 옆면 2칸 규모로 지붕은 옆면이 여덟 팔(八)자 모양인 팔작지붕이다. 구성은 마루 1칸을 3면을 터 만들었고 2칸 반은 방으로 꾸몄다. 나머지 오른쪽 반 칸은 바닥을 한 단 높여 쪽마루를 두었다. 정자 아래로 흐르는 섬진강, 울창한 숲, 멀리 무등산이 보이는 경치 좋은 곳에 자리잡고 있으며 약 100m 가량 떨어진 곳에 심광형이 세운 군지촌정사(중요민속자료)가 있다. 당대 학문을 익히던 선비들의 수양지와 휴식처를 빼어난 경치와 함께 감상할 수 있는 곳이다. ",곡성군
2,곡성역,전라남도 곡성군 곡성읍 곡성로 920,127.3036923,35.28367435,http://tong.visitkorea.or.kr/cms/resource/91/2716291_image2_1.jpg,"국도 17호선 멋진 길은 곡성역에서부터 시작한다. KTX역사 중 유일하게 육교나 지하도 없이 선로를 직접 건너는 신기로운 역으로 외관이 인상적이다. 섬진강을 따라 드라이브를 할 때의 시작점이다. 전라선에 해당하는 곡성역은 1933년 10월 15일 보통역으로 영엽을 시작해 1999년 5월 18일 전라선 선로 이설로 역사를 이전하게 되었다. 기존의 역사는 섬진강기차마을로 변경하여 관광지로 운영되고 있어 매년 수많은 관광객들이 발돋움하는 관광명소로 변모하였다. 곡성역 주변으로 섬진강기차마을, 섬진강 침실습지, 곡성섬진강천문대, 압록유원지 등의 관광지가 있다.",곡성군
3,관음사(곡성),전라남도 곡성군 오산면 성덕관음길 453,127.1653257,35.21473809,http://tong.visitkorea.or.kr/cms/resource/90/2032690_image2_1.jpg,"호남고속도로(광주 순천간)를 진행하다 옥과I.C로 진입하여 오산(화순)방면으로 7km를 가다 보면 좌측으로 심청공원이 있는 선세마을이 나온다. 관음사는 선세 마을에서 계곡을 타고 5km쯤 더 올라가면 접할 수 있다. 관음사는 백제 분서왕 4년(301년)성덕보살이 전남 벌교에서 금동 관세음보살상을 모셔와 봉안하여 창건한 남한 제일의 백제 고찰이며 내륙 유일의 관음성지로서 그 가치가 크다. 6·25 당시 공비들이 오래도록 이곳에 남아 관음사를 기지로 삼자 이들을 소탕하기 위해 사찰에 불을 지르게 됐고, 그로 인해 국보로 지정되어 내려오던 고려조 건물 원통전(圓通殿)이 타고 그 안에 보존된 국보 금동관음보살좌상이 불에 타 머리 부분만 남아 있다. 고대소설 심청전의 원류로 추정되는 관음사사적기(원홍장설화)가 순천송광사에 보관되어 있으며, 관음사는 문화재자료이다. ",곡성군
4,군지촌정사,전라남도 곡성군 입면 제월군촌길 53,127.2225624,35.32210195,http://tong.visitkorea.or.kr/cms/resource/64/757464_image2_1.jpg,"'군지촌정사'는 조선 후기의 건물로 사랑채의 이름이다. 군지촌정사는 사랑채와 안채, 대문간채로 이루어져 있다. 전해오는 바에 의하면 18세기 중엽에 건축되었다고 하나 안채는 19세기 초 정도에 지어진 것으로 추정된다. 안채는 '一'자형으로 서쪽부터 2칸의 부엌이 위, 아래에 있으며, 그 옆에 큰방이 있는데앞, 뒤에 툇마루를 깔았다. 전면에 2칸의 대청이 있고, 뒷쪽에는 도장과 작은방이 있다. 큰방과 도장 앞은 문시설 없이 개방되었고, 작은방 앞은 문을 달아 가로막았다. 건물은 높이 쌓은 대 위에 있고, 방 앞쪽에는 큰방의 굴뚝시설로 연기가 나가는 구멍이 있다. 안채의 마당 앞에 있는 행랑채의 동쪽에 사랑채이면서, 동네사랑인 군지정사가 있다. 예전에는 이곳이 동네서당으로 쓰였다고 하며 앞뒤로 담장이 없어서 접근하기 쉽게 하였다. 서쪽부터 사랑방이 위, 아래로 있으며, 그 옆에 대청이 놓여 있는데 개방되었다. 방, 앞,뒤로는 모두 마루가 깔려있다. 대문간채는 '一'자형으로 안채보다 훨씬 늦게 지었으며, 대문간을 중심으로 동쪽에 2칸 방이 있고 서쪽에는 외양간과 헛간이 있다. 집 앞 언덕 위에는 같은 시기에 지은 '함허정'이라는 정자가 있다. * 소유자 : 심해섭 ",곡성군
5,대황강 자연휴식공원,전라남도 곡성군 석곡면 석곡2길 13,127.2549144,35.13025749,http://tong.visitkorea.or.kr/cms/resource/73/2674973_image2_1.JPG,"대황강을 따라 길게 늘어선 제방과 둔치에 코스모스가 대규모로 피어 매년 9월 말에는 ‘코스모스 음악회’가 열린다. 철 따라 벚꽃, 배롱나무꽃, 코스모스, 억새가 잇따라 피어나는 아름다운 강변을 따라 산책이 가능하며 주변에 체육공원과 야영장이 조성되어 있어 체육활동 및 캠핑 등 외부활동을 즐기기에 안성맞춤인 곳이다.",곡성군
6,덕양서원(곡성),전라남도 곡성군 오곡면 덕양서원길 42,127.3104616,35.26342675,http://tong.visitkorea.or.kr/cms/resource/76/757476_image2_1.jpg,"고려의 개국 공신 신숭겸( ~ 927)의 탄생지를 중심으로 이루어진 장군의 유적이다. 신숭겸은 왕건을 도와 궁예를 몰아내고 고려를 건국하는데 큰 공을 세워 개국 일등공신이 되었다. 고려 태조가 즉위한 몇 년 뒤 후백제의 견훤은 신라를 공격하였다. 이에 크게 분개한 태조는 군사를 거느리고 나가 싸웠으나 후백제군에 포위되어 위급하게 되었다. 이 때 신숭겸이 태조를 구하고 후백제군과 싸우다 전사하였다. 선조 22년(1589년)에 창건하여 위패를 모시고 있는 서원으로 정유재란때 모든 건물이 불타고 선조 36년(1603)에 신실이 중수되었으며 현종 6년(1665) 이전의 서원 규모로 모두 중건되었다. 이후 1695년에 덕양이라는 사액을 받아 선현배양과 지방교육의 일익을 담당하여 오다가 흥선대원군의 서원 철폐령으로 고종 5년(1868)에 철폐되었다가 1934년 지방유림의 공의로 복원되어 현재에 이르고 있다. 건물은 강당, 동재인 연서재와 신실인 덕양사, 서재인 신덕재, 전사청, 그리고 외삼문, 내삼문 등이 있다. 유적 및 유물로는 덕양서원 건사사적비와 강당과 연서재의 내부현판 19개가 있으며 출생지인 용산재와 함께 도지방기념물로 지정되어 있다.",곡성군
7,도림사 계곡,전라남도 곡성군 곡성읍 월봉리,127.2618631,35.26491742,http://tong.visitkorea.or.kr/cms/resource/93/1606693_image2_1.jpg,"해발 748.5m의 동악산 남쪽 골짜기를 흘러내리는 동악계곡과 성출계곡이 하나가 되어 아홉 구비마다 펼쳐진 반석 위로 맑은 물줄기가 마치 비단을 펼쳐 놓은 듯이 흐르고, 노송, 폭포 등과 어우러져 절경을 이루고 있는 도림사계곡은 지방기념물로 지정되어 있다. 주변의 경치를 감상할 수 있는 반석들이 있어 예로부터 풍류객들의 발길이 잦았으며 이 곳 9개의 반석에는 선현들의 문구가 음각되어 있어 그들의 풍류를 엿볼 수 있고 한 아름 반석 위로 흐르는 계곡 물에 몸을 담그는 맛이 색다르다. 그리고, 이계곡 정상 부근에는 전망이 좋아 신선이 쉬어 간다고 하는 높이 4m에 넓이 30평에 달하는 신선바위가 있으며, 이 계곡을 따라 오르는 동악산 줄기의 형제봉은 등산코스로 널리 알려져 있다.",곡성군
8,도림사(곡성),전라남도 곡성군 곡성읍 도림로 175,127.2575579,35.26707543,http://tong.visitkorea.or.kr/cms/resource/96/2608396_image2_1.jpg," 곡성읍에서 서남쪽으로 4km 떨어진 월봉리, 동악산 줄기인 성출봉 중턱에 자리잡은 도림사는 신라 무열왕 7년(660년)에 원효대사가 세웠다고 한다. 현재는 보광전, 약사전, 응진당,명부전 등이 있고 절 입구에는 허백련 화백이 쓴 도림사라는 현판이 걸려 있다. 도인이 숲 같이 많이 모여들었다 하여 도림사라 하는데, 인근에는 동악산 남쪽 골짜기에서 시작된 도림계곡이 흐르고 있다. 계곡 물이 연중 그치지 않을 뿐만 아니라, 노송, 계곡, 폭포들이 어울려 절경을 이루고 있다. 주변의 경치를 감상할 수 있는 커다란 반석들이 있어 옛부터 풍류객들의 발길이 잦았으며, 한여름 반석 위로 흐르는 계곡 물에 몸을 담그는 맛은 색다르다. ",곡성군
9,동악산(곡성),전라남도 곡성군 곡성읍 학정리,127.2603293,35.28895079,http://tong.visitkorea.or.kr/cms/resource/21/2014021_image2_1.jpg,"동악산은 전라남도 곡성군 북쪽에 자리잡은 높이 735m의 산이다. 북쪽 아래에는 섬진강이 흐르고 남쪽으로는 형제봉과 최악산으로 이어진다. 산속으로 들어가면 골짜기가 깊고, 바위로 이뤄진 산세는 범상치 않다. 신라 무열왕 7년(660), 원효가 길상암과 도림사를 세울때 하늘의 풍악에 산이 춤을 췄다고 하여 동악산이라 불린다. 산 남쪽 성류구곡에 위치한 도림사는 신라 진평왕 때 창건된 사찰이다. 이 절의 처음 이름은 신덕왕후가 행차한 곳의 절이라는 의미의 신덕사였으나 현재는 도를 닦는 승려들이 수풀처럼 모이는 곳이라는 뜻의 도림사로 불리고 있다.",곡성군
